"transab_cat2","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1998","no migration background","Rural Area","3699","0.870617219727373","0.860628605373249","0.880605834081498"
"Very low transfer dependency","1998","direct migration background","Urban Area","1659","0.837925810316328","0.821783125476404","0.854068495156252"
"Very low transfer dependency","1998","direct migration background","Rural Area","322","0.818756210827732","0.781146115148841","0.856366306506623"
"Very low transfer dependency","1998","indirect migration background","Urban Area","430","0.860493268543218","0.830393682674543","0.890592854411894"
"Very low transfer dependency","1998","indirect migration background","Rural Area","76","0.843633922263187","0.76859698062938","0.918670863896994"
"Low transfer dependency","1998","no migration background","Urban Area","334","0.0385211722226567","0.0339696930718285","0.0430726513734849"
"Low transfer dependency","1998","no migration background","Rural Area","418","0.078411504560221","0.0704111028160133","0.0864119063044287"
"Low transfer dependency","1998","direct migration background","Urban Area","190","0.0785417798889409","0.0667574674576486","0.0903260923202332"
"Low transfer dependency","1998","direct migration background","Rural Area","58","0.124526145343656","0.0922896789276517","0.156762611759659"
"Low transfer dependency","1998","indirect migration background","Urban Area","45","0.0882259581760488","0.0635865085029084","0.112865407849189"
"Low transfer dependency","1998","indirect migration background","Rural Area","6","","",""
"High transfer dependency","1998","no migration background","Urban Area","116","0.0166043443721586","0.0135822504567454","0.0196264382875718"
"High transfer dependency","1998","no migration background","Rural Area","104","0.0195039025282515","0.0153882654269971","0.0236195396295059"
"High transfer dependency","1998","direct migration background","Urban Area","68","0.0302167407535269","0.0227181922472168","0.037715289259837"
"High transfer dependency","1998","direct migration background","Rural Area","11","","",""
"High transfer dependency","1998","indirect migration background","Urban Area","20","","",""
"High transfer dependency","1998","indirect migration background","Rural Area","4","","",""
"Very high transfer dependency","1998","no migration background","Urban Area","163","0.0262789812572007","0.0224958232294866","0.0300621392849147"
"Very high transfer dependency","1998","no migration background","Rural Area","116","0.0314673731841541","0.0262717128313889","0.0366630335369193"
"Very high transfer dependency","1998","direct migration background","Urban Area","85","0.0533156690412037","0.0434745138475418","0.0631568242348656"
"Very high transfer dependency","1998","direct migration background","Rural Area","12","","",""
"Very high transfer dependency","1998","indirect migration background","Urban Area","14","","",""
"Very high transfer dependency","1998","indirect migration background","Rural Area","4","","",""
"Very low transfer dependency","1999","no migration background","Urban Area","6086","0.929236421827083","0.923058353402103","0.935414490252062"
"Very low transfer dependency","1999","no migration background","Rural Area","3621","0.872142290008565","0.862098092828179","0.882186487188952"
"Very low transfer dependency","1999","direct migration background","Urban Area","1539","0.847945810885294","0.831565750935174","0.864325870835414"
"Very low transfer dependency","1999","direct migration background","Rural Area","286","0.869092139541084","0.833755126053015","0.904429153029153"
"Very low transfer dependency","1999","indirect migration background","Urban Area","448","0.884757366151198","0.857259316461223","0.912255415841173"
"Very low transfer dependency","1999","indirect migration background","Rural Area","69","0.768645600114307","0.67952033805945","0.857770862169165"
"Low transfer dependency","1999","no migration background","Urban Area","291","0.036309782248187","0.0318030136761238","0.0408165508202503"
"Low transfer dependency","1999","no migration background","Rural Area","389","0.0736966185496379","0.0658377775621082","0.0815554595371676"
"Low transfer dependency","1999","direct migration background","Urban Area","202","0.0906741374893262","0.0775752705394894","0.103773004439163"
"Low transfer dependency","1999","direct migration background","Rural Area","44","0.0828413619818567","0.0539638405781142","0.111718883385599"
"Low transfer dependency","1999","indirect migration background","Urban Area","44","0.0704503107237501","0.0484128793631242","0.092487742084376"
"Low transfer dependency","1999","indirect migration background","Rural Area","8","","",""
"High transfer dependency","1999","no migration background","Urban Area","125","0.0150014256128505","0.0120727668173801","0.017930084408321"
"High transfer dependency","1999","no migration background","Rural Area","120","0.0213284323092892","0.0169827692601757","0.0256740953584027"
"High transfer dependency","1999","direct migration background","Urban Area","44","0.0279291618527937","0.0204127572228312","0.0354455664827563"
"High transfer dependency","1999","direct migration background","Rural Area","8","","",""
"High transfer dependency","1999","indirect migration background","Urban Area","15","","",""
"High transfer dependency","1999","indirect migration background","Rural Area","4","","",""
"Very high transfer dependency","1999","no migration background","Urban Area","116","0.0194523703118797","0.0161249679466328","0.0227797726771267"
"Very high transfer dependency","1999","no migration background","Rural Area","116","0.0328326591325074","0.0274726943460804","0.0381926239189344"
"Very high transfer dependency","1999","direct migration background","Urban Area","61","0.0334508897725858","0.0252483557115995","0.0416534238335721"
"Very high transfer dependency","1999","direct migration background","Rural Area","12","","",""
"Very high transfer dependency","1999","indirect migration background","Urban Area","11","","",""
"Very high transfer dependency","1999","indirect migration background","Rural Area","5","","",""
"Very low transfer dependency","2000","no migration background","Urban Area","11512","0.936557987452935","0.932270744698391","0.940845230207479"
"Very low transfer dependency","2000","no migration background","Rural Area","6549","0.882364497915457","0.8750977670781","0.889631228752814"
"Very low transfer dependency","2000","direct migration background","Urban Area","2223","0.815946565138935","0.80142303305879","0.830470097219081"
"Very low transfer dependency","2000","direct migration background","Rural Area","447","0.826136636366116","0.794830903623739","0.857442369108492"
"Very low transfer dependency","2000","indirect migration background","Urban Area","622","0.892841592787274","0.870057497209336","0.915625688365213"
"Very low transfer dependency","2000","indirect migration background","Rural Area","92","0.814434065831694","0.741785199769858","0.887082931893531"
"Low transfer dependency","2000","no migration background","Urban Area","523","0.0337240325984655","0.0305490408380524","0.0368990243588785"
"Low transfer dependency","2000","no migration background","Rural Area","624","0.0716691882471268","0.0658513253674583","0.0774870511267953"
"Low transfer dependency","2000","direct migration background","Urban Area","279","0.0938669316718635","0.0829368922961517","0.104796971047575"
"Low transfer dependency","2000","direct migration background","Rural Area","62","0.0866528664787271","0.0634146231170068","0.109891109840447"
"Low transfer dependency","2000","indirect migration background","Urban Area","53","0.0610869381171424","0.0434461358806697","0.0787277403536151"
"Low transfer dependency","2000","indirect migration background","Rural Area","13","","",""
"High transfer dependency","2000","no migration background","Urban Area","140","0.0108030361454935","0.00898485744749516","0.0126212148434919"
"High transfer dependency","2000","no migration background","Rural Area","199","0.0219102270674574","0.0186083670754576","0.0252120870594571"
"High transfer dependency","2000","direct migration background","Urban Area","86","0.0295515565656219","0.0232048876933782","0.0358982254378656"
"High transfer dependency","2000","direct migration background","Rural Area","21","","",""
"High transfer dependency","2000","indirect migration background","Urban Area","19","","",""
"High transfer dependency","2000","indirect migration background","Rural Area","3","","",""
"Very high transfer dependency","2000","no migration background","Urban Area","243","0.0189149438031059","0.0165189917589541","0.0213108958472576"
"Very high transfer dependency","2000","no migration background","Rural Area","179","0.0240560867699587","0.0206001103026842","0.0275120632372331"
"Very high transfer dependency","2000","direct migration background","Urban Area","147","0.0606349466235793","0.0516906102168194","0.0695792830303392"
"Very high transfer dependency","2000","direct migration background","Rural Area","33","0.050324099739778","0.0322661013742681","0.068382098105288"
"Very high transfer dependency","2000","indirect migration background","Urban Area","14","","",""
"Very high transfer dependency","2000","indirect migration background","Rural Area","2","","",""
"Very low transfer dependency","2001","no migration background","Urban Area","10520","0.932333510492381","0.927717530165254","0.936949490819507"
"Very low transfer dependency","2001","no migration background","Rural Area","5888","0.883923973871305","0.876339627892907","0.891508319849703"
"Very low transfer dependency","2001","direct migration background","Urban Area","1964","0.806833494283487","0.791042485238595","0.822624503328379"
"Very low transfer dependency","2001","direct migration background","Rural Area","388","0.813533244131901","0.779394192794506","0.847672295469296"
"Very low transfer dependency","2001","indirect migration background","Urban Area","585","0.899577577587455","0.876801984777373","0.922353170397536"
"Very low transfer dependency","2001","indirect migration background","Rural Area","83","0.82661689909797","0.751278264212271","0.901955533983668"
"Low transfer dependency","2001","no migration background","Urban Area","476","0.0355869532689652","0.0321823350286895","0.038991571509241"
"Low transfer dependency","2001","no migration background","Rural Area","606","0.0686326313952651","0.0626462380707898","0.0746190247197404"
"Low transfer dependency","2001","direct migration background","Urban Area","253","0.097366966641417","0.085508912122881","0.109225021159953"
"Low transfer dependency","2001","direct migration background","Rural Area","78","0.102744697884187","0.0761312700755313","0.129358125692842"
"Low transfer dependency","2001","indirect migration background","Urban Area","45","0.0524169494060785","0.0355288978901073","0.0693050009220497"
"Low transfer dependency","2001","indirect migration background","Rural Area","7","","",""
"High transfer dependency","2001","no migration background","Urban Area","166","0.0135823003523309","0.0114550991379818","0.0157095015666801"
"High transfer dependency","2001","no migration background","Rural Area","169","0.0184053461868213","0.015222779582191","0.0215879127914515"
"High transfer dependency","2001","direct migration background","Urban Area","78","0.0358726294126708","0.0284338646937589","0.0433113941315827"
"High transfer dependency","2001","direct migration background","Rural Area","10","","",""
"High transfer dependency","2001","indirect migration background","Urban Area","14","","",""
"High transfer dependency","2001","indirect migration background","Rural Area","6","","",""
"Very high transfer dependency","2001","no migration background","Urban Area","212","0.0184972358863232","0.0160210077155504","0.020973464057096"
"Very high transfer dependency","2001","no migration background","Rural Area","189","0.0290380485466085","0.0250622512575023","0.0330138458357148"
"Very high transfer dependency","2001","direct migration background","Urban Area","106","0.059926909662425","0.0504330291224345","0.0694207902024154"
"Very high transfer dependency","2001","direct migration background","Rural Area","24","","",""
"Very high transfer dependency","2001","indirect migration background","Urban Area","25","","",""
"Very high transfer dependency","2001","indirect migration background","Rural Area","1","","",""
"Very low transfer dependency","2002","no migration background","Urban Area","11569","0.921353017090986","0.916615821932558","0.926090212249413"
"Very low transfer dependency","2002","no migration background","Rural Area","6141","0.8725112894584","0.864718255522912","0.880304323393888"
"Very low transfer dependency","2002","direct migration background","Urban Area","1911","0.811540676896228","0.795544134953913","0.827537218838543"
"Very low transfer dependency","2002","direct migration background","Rural Area","391","0.816149594206633","0.78112957798192","0.851169610431347"
"Very low transfer dependency","2002","indirect migration background","Urban Area","589","0.856514336669001","0.830145876015166","0.882882797322836"
"Very low transfer dependency","2002","indirect migration background","Rural Area","78","0.724113780302263","0.635166917631275","0.813060642973251"
"Low transfer dependency","2002","no migration background","Urban Area","443","0.0371550036979551","0.0338264615886149","0.0404835458072953"
"Low transfer dependency","2002","no migration background","Rural Area","565","0.0776309231896038","0.071378405656038","0.0838834407231697"
"Low transfer dependency","2002","direct migration background","Urban Area","225","0.101172292400785","0.0888375191511796","0.11350706565039"
"Low transfer dependency","2002","direct migration background","Rural Area","39","0.0882432279687648","0.0625996067039354","0.113886849233594"
"Low transfer dependency","2002","indirect migration background","Urban Area","44","0.0583133871274651","0.0406875182019472","0.075939256052983"
"Low transfer dependency","2002","indirect migration background","Rural Area","11","","",""
"High transfer dependency","2002","no migration background","Urban Area","196","0.0206062112891582","0.0181061827911666","0.0231062397871499"
"High transfer dependency","2002","no migration background","Rural Area","164","0.0230920624299908","0.019582577706703","0.0266015471532785"
"High transfer dependency","2002","direct migration background","Urban Area","64","0.0361200816238225","0.0284879126527531","0.0437522505948918"
"High transfer dependency","2002","direct migration background","Rural Area","13","","",""
"High transfer dependency","2002","indirect migration background","Urban Area","16","","",""
"High transfer dependency","2002","indirect migration background","Rural Area","6","","",""
"Very high transfer dependency","2002","no migration background","Urban Area","196","0.020885767921901","0.0183691973262178","0.0234023385175843"
"Very high transfer dependency","2002","no migration background","Rural Area","166","0.0267657249220055","0.02299449180915","0.030536958034861"
"Very high transfer dependency","2002","direct migration background","Urban Area","96","0.0511669490791646","0.0421543134719965","0.0601795846863326"
"Very high transfer dependency","2002","direct migration background","Rural Area","27","","",""
"Very high transfer dependency","2002","indirect migration background","Urban Area","30","0.0424874510559614","0.0273163961629265","0.0576585059489962"
"Very high transfer dependency","2002","indirect migration background","Rural Area","2","","",""
"Very low transfer dependency","2003","no migration background","Urban Area","11113","0.917653543304907","0.912739083870079","0.922568002739736"
"Very low transfer dependency","2003","no migration background","Rural Area","5792","0.86276537942907","0.854534088245646","0.870996670612495"
"Very low transfer dependency","2003","direct migration background","Urban Area","1780","0.798365835543178","0.781418200310173","0.815313470776183"
"Very low transfer dependency","2003","direct migration background","Rural Area","363","0.79152722538917","0.754283973614095","0.828770477164245"
"Very low transfer dependency","2003","indirect migration background","Urban Area","574","0.838662614645795","0.81105575210723","0.86626947718436"
"Very low transfer dependency","2003","indirect migration background","Rural Area","77","0.725585530355202","0.636786129728487","0.814384930981916"
"Low transfer dependency","2003","no migration background","Urban Area","505","0.0400133276251087","0.0365094505603621","0.0435172046898554"
"Low transfer dependency","2003","no migration background","Rural Area","554","0.0789086916563921","0.0724595260257034","0.0853578572870808"
"Low transfer dependency","2003","direct migration background","Urban Area","212","0.0978294655356413","0.0852805777476183","0.110378353323664"
"Low transfer dependency","2003","direct migration background","Rural Area","63","0.13389609946546","0.102674226590724","0.165117972340197"
"Low transfer dependency","2003","indirect migration background","Urban Area","61","0.0891075645427631","0.0677256426698849","0.110489486415641"
"Low transfer dependency","2003","indirect migration background","Rural Area","10","","",""
"High transfer dependency","2003","no migration background","Urban Area","168","0.0147502550590234","0.0125950586535187","0.0169054514645281"
"High transfer dependency","2003","no migration background","Rural Area","176","0.0278066108341096","0.0238734642843141","0.0317397573839051"
"High transfer dependency","2003","direct migration background","Urban Area","60","0.0319502736804362","0.0245215842775326","0.0393789630833398"
"High transfer dependency","2003","direct migration background","Rural Area","7","","",""
"High transfer dependency","2003","indirect migration background","Urban Area","22","","",""
"High transfer dependency","2003","indirect migration background","Rural Area","5","","",""
"Very high transfer dependency","2003","no migration background","Urban Area","233","0.0275828740109604","0.0246549487894036","0.0305107992325171"
"Very high transfer dependency","2003","no migration background","Rural Area","191","0.0305193180804278","0.0264045367561146","0.034634099404741"
"Very high transfer dependency","2003","direct migration background","Urban Area","101","0.0718544252407443","0.0609460294978657","0.082762820983623"
"Very high transfer dependency","2003","direct migration background","Rural Area","24","","",""
"Very high transfer dependency","2003","indirect migration background","Urban Area","25","","",""
"Very high transfer dependency","2003","indirect migration background","Rural Area","5","","",""
"Very low transfer dependency","2004","no migration background","Urban Area","10748","0.913396881252107","0.908289695466704","0.918504067037511"
"Very low transfer dependency","2004","no migration background","Rural Area","5654","0.854554647965449","0.846036307619041","0.863072988311857"
"Very low transfer dependency","2004","direct migration background","Urban Area","1696","0.807257322678912","0.790297540908616","0.824217104449208"
"Very low transfer dependency","2004","direct migration background","Rural Area","347","0.786551729774148","0.748266459454683","0.824837000093613"
"Very low transfer dependency","2004","indirect migration background","Urban Area","586","0.841834322956375","0.814607749826331","0.869060896086419"
"Very low transfer dependency","2004","indirect migration background","Rural Area","85","0.54101085045519","0.449934972173283","0.632086728737096"
"Low transfer dependency","2004","no migration background","Urban Area","481","0.0423932998367381","0.0387345953938982","0.0460520042795779"
"Low transfer dependency","2004","no migration background","Rural Area","566","0.0837375630863584","0.0770448031962416","0.0904303229764752"
"Low transfer dependency","2004","direct migration background","Urban Area","219","0.10258831999581","0.0895425373914336","0.115634102600187"
"Low transfer dependency","2004","direct migration background","Rural Area","60","0.115093404012794","0.0852742247108185","0.144912583314769"
"Low transfer dependency","2004","indirect migration background","Urban Area","46","0.074577625912917","0.0549757416642833","0.0941795101615506"
"Low transfer dependency","2004","indirect migration background","Rural Area","16","","",""
"High transfer dependency","2004","no migration background","Urban Area","186","0.0176568853769186","0.0152653666833552","0.020048404070482"
"High transfer dependency","2004","no migration background","Rural Area","151","0.025889456836364","0.0220523778817688","0.0297265357909593"
"High transfer dependency","2004","direct migration background","Urban Area","54","0.0223198708565343","0.0159684695746665","0.0286712721384021"
"High transfer dependency","2004","direct migration background","Rural Area","16","","",""
"High transfer dependency","2004","indirect migration background","Urban Area","27","","",""
"High transfer dependency","2004","indirect migration background","Rural Area","6","","",""
"Very high transfer dependency","2004","no migration background","Urban Area","235","0.0265529335342359","0.0236335069870654","0.0294723600814065"
"Very high transfer dependency","2004","no migration background","Rural Area","209","0.0358183321118284","0.0313281158471661","0.0403085483764907"
"Very high transfer dependency","2004","direct migration background","Urban Area","109","0.0678344864687435","0.0570227088079728","0.0786462641295141"
"Very high transfer dependency","2004","direct migration background","Rural Area","17","","",""
"Very high transfer dependency","2004","indirect migration background","Urban Area","31","0.0482850032274543","0.0322900441076116","0.0642799623472971"
"Very high transfer dependency","2004","indirect migration background","Rural Area","8","","",""
"Very low transfer dependency","2005","no migration background","Urban Area","10276","0.912216963310619","0.906964711308465","0.917469215312774"
"Very low transfer dependency","2005","no migration background","Rural Area","5338","0.835755414624442","0.826608091477526","0.844902737771358"
"Very low transfer dependency","2005","direct migration background","Urban Area","1552","0.781341591937621","0.762962872281875","0.799720311593368"
"Very low transfer dependency","2005","direct migration background","Rural Area","309","0.73701514720198","0.694296097432534","0.779734196971427"
"Very low transfer dependency","2005","indirect migration background","Urban Area","597","0.846052881152146","0.819654918749737","0.872450843554555"
"Very low transfer dependency","2005","indirect migration background","Rural Area","80","0.729332236124883","0.644750590471264","0.813913881778503"
"Low transfer dependency","2005","no migration background","Urban Area","487","0.0411818147081142","0.0374936351668161","0.0448699942494122"
"Low transfer dependency","2005","no migration background","Rural Area","566","0.0969526830984844","0.0896472820756699","0.104258084121299"
"Low transfer dependency","2005","direct migration background","Urban Area","208","0.106700533385626","0.0929729679273017","0.120428098843951"
"Low transfer dependency","2005","direct migration background","Rural Area","62","0.16053524815791","0.124914384589501","0.196156111726319"
"Low transfer dependency","2005","indirect migration background","Urban Area","50","0.0614074966089897","0.0438470682377344","0.0789679249802451"
"Low transfer dependency","2005","indirect migration background","Rural Area","15","","",""
"High transfer dependency","2005","no migration background","Urban Area","161","0.0177792942580207","0.0153265459513626","0.0202320425646789"
"High transfer dependency","2005","no migration background","Rural Area","183","0.0276350788682508","0.0235878861292389","0.0316822716072627"
"High transfer dependency","2005","direct migration background","Urban Area","74","0.0447326914140421","0.0355411856699546","0.0539241971581295"
"High transfer dependency","2005","direct migration background","Rural Area","17","","",""
"High transfer dependency","2005","indirect migration background","Urban Area","30","0.0395761328763345","0.0253156569883389","0.0538366087643301"
"High transfer dependency","2005","indirect migration background","Rural Area","5","","",""
"Very high transfer dependency","2005","no migration background","Urban Area","227","0.0288219277232458","0.025716637974815","0.0319272174716766"
"Very high transfer dependency","2005","no migration background","Rural Area","215","0.0396568234088226","0.0348386649290294","0.0444749818886157"
"Very high transfer dependency","2005","direct migration background","Urban Area","109","0.0672251832627103","0.0560908018455536","0.0783595646798669"
"Very high transfer dependency","2005","direct migration background","Rural Area","20","","",""
"Very high transfer dependency","2005","indirect migration background","Urban Area","41","0.05296348936253","0.0365818438070343","0.0693451349180258"
"Very high transfer dependency","2005","indirect migration background","Rural Area","6","","",""
"Very low transfer dependency","2006","no migration background","Urban Area","11076","0.902847218097826","0.897568653786974","0.908125782408679"
"Very low transfer dependency","2006","no migration background","Rural Area","5950","0.848761870954313","0.840319170303337","0.857204571605289"
"Very low transfer dependency","2006","direct migration background","Urban Area","1534","0.757743344034252","0.73870245542677","0.776784232641733"
"Very low transfer dependency","2006","direct migration background","Rural Area","307","0.722588855084986","0.680122817936158","0.765054892233813"
"Very low transfer dependency","2006","indirect migration background","Urban Area","577","0.753144324870062","0.721844277933453","0.784444371806672"
"Very low transfer dependency","2006","indirect migration background","Rural Area","93","0.807636678971487","0.737114354544368","0.878159003398606"
"Low transfer dependency","2006","no migration background","Urban Area","528","0.0458187957110373","0.0420921480979717","0.0495454433241029"
"Low transfer dependency","2006","no migration background","Rural Area","506","0.0716071448576442","0.0655313670143075","0.0776829227009809"
"Low transfer dependency","2006","direct migration background","Urban Area","187","0.105387849428522","0.0917419880386275","0.119033710818417"
"Low transfer dependency","2006","direct migration background","Rural Area","54","0.107128578013125","0.077793902741238","0.136463253285012"
"Low transfer dependency","2006","indirect migration background","Urban Area","64","0.111981917731133","0.0890906849470054","0.13487315051526"
"Low transfer dependency","2006","indirect migration background","Rural Area","15","","",""
"High transfer dependency","2006","no migration background","Urban Area","208","0.0199673391568094","0.0174741143655327","0.0224605639480861"
"High transfer dependency","2006","no migration background","Rural Area","202","0.0330310012198325","0.0288196161168662","0.0372423863227988"
"High transfer dependency","2006","direct migration background","Urban Area","79","0.0396695734112422","0.0309954140274719","0.0483437327950126"
"High transfer dependency","2006","direct migration background","Rural Area","29","","",""
"High transfer dependency","2006","indirect migration background","Urban Area","36","0.0610493929585101","0.04366952889289","0.0784292570241302"
"High transfer dependency","2006","indirect migration background","Rural Area","4","","",""
"Very high transfer dependency","2006","no migration background","Urban Area","281","0.031366647034327","0.0282599791880052","0.0344733148806487"
"Very high transfer dependency","2006","no migration background","Rural Area","260","0.04659998296821","0.041633050344592","0.051566915591828"
"Very high transfer dependency","2006","direct migration background","Urban Area","145","0.0971992331259838","0.0840343906449495","0.110364075607018"
"Very high transfer dependency","2006","direct migration background","Rural Area","37","0.10333676985826","0.0744648093539171","0.132208730362603"
"Very high transfer dependency","2006","indirect migration background","Urban Area","52","0.0738243644402948","0.0548428499297396","0.09280587895085"
"Very high transfer dependency","2006","indirect migration background","Rural Area","8","","",""
"Very low transfer dependency","2007","no migration background","Urban Area","10407","0.905762734412189","0.900383587936215","0.911141880888164"
"Very low transfer dependency","2007","no migration background","Rural Area","5639","0.859957799524801","0.851540112202778","0.868375486846825"
"Very low transfer dependency","2007","direct migration background","Urban Area","1390","0.754535570842382","0.734325950354596","0.774745191330168"
"Very low transfer dependency","2007","direct migration background","Rural Area","295","0.722326587551825","0.678105040770977","0.766548134332674"
"Very low transfer dependency","2007","indirect migration background","Urban Area","574","0.755466873955038","0.723918288686746","0.787015459223329"
"Very low transfer dependency","2007","indirect migration background","Rural Area","86","0.760613655903964","0.683947029073245","0.837280282734682"
"Low transfer dependency","2007","no migration background","Urban Area","444","0.0413386037622267","0.0376733391841577","0.0450038683402956"
"Low transfer dependency","2007","no migration background","Rural Area","494","0.0705937370744693","0.0643806042136254","0.0768068699353132"
"Low transfer dependency","2007","direct migration background","Urban Area","164","0.106609337426872","0.0921168696862708","0.121101805167473"
"Low transfer dependency","2007","direct migration background","Rural Area","55","0.153733251678623","0.118117876377294","0.189348626979952"
"Low transfer dependency","2007","indirect migration background","Urban Area","61","0.110450749759671","0.0874430787224361","0.133458420796907"
"Low transfer dependency","2007","indirect migration background","Rural Area","19","","",""
"High transfer dependency","2007","no migration background","Urban Area","198","0.0209241615342042","0.0182888800734666","0.0235594429949418"
"High transfer dependency","2007","no migration background","Rural Area","160","0.0281021161559156","0.0240934066377673","0.032110825674064"
"High transfer dependency","2007","direct migration background","Urban Area","81","0.0598162333339648","0.0486799590050051","0.0709525076629246"
"High transfer dependency","2007","direct migration background","Rural Area","16","","",""
"High transfer dependency","2007","indirect migration background","Urban Area","29","","",""
"High transfer dependency","2007","indirect migration background","Rural Area","4","","",""
"Very high transfer dependency","2007","no migration background","Urban Area","283","0.0319745002913798","0.0287352829420185","0.0352137176407411"
"Very high transfer dependency","2007","no migration background","Rural Area","236","0.0413463472448137","0.0365171583165","0.0461755361731274"
"Very high transfer dependency","2007","direct migration background","Urban Area","107","0.0790388583967812","0.0663691972931348","0.0917085195004277"
"Very high transfer dependency","2007","direct migration background","Rural Area","28","","",""
"Very high transfer dependency","2007","indirect migration background","Urban Area","49","0.0921612780247938","0.0709297172227814","0.113392838826806"
"Very high transfer dependency","2007","indirect migration background","Rural Area","10","","",""
"Very low transfer dependency","2008","no migration background","Urban Area","9894","0.909863805307723","0.904438895035241","0.915288715580205"
"Very low transfer dependency","2008","no migration background","Rural Area","5410","0.873167731915612","0.864841782888496","0.881493680942728"
"Very low transfer dependency","2008","direct migration background","Urban Area","1260","0.789145080329178","0.768850852645554","0.809439308012802"
"Very low transfer dependency","2008","direct migration background","Rural Area","271","0.740539461136602","0.694285566771749","0.786793355501456"
"Very low transfer dependency","2008","indirect migration background","Urban Area","571","0.780766692066326","0.750117927127405","0.811415457005246"
"Very low transfer dependency","2008","indirect migration background","Rural Area","83","0.732456499418955","0.652584380035107","0.812328618802804"
"Low transfer dependency","2008","no migration background","Urban Area","426","0.0407245323656692","0.0369803716933025","0.0444686930380358"
"Low transfer dependency","2008","no migration background","Rural Area","385","0.0658607355636131","0.0596550590763734","0.0720664120508529"
"Low transfer dependency","2008","direct migration background","Urban Area","141","0.0879613211848015","0.0738699020450831","0.10205274032452"
"Low transfer dependency","2008","direct migration background","Rural Area","32","0.135219253506879","0.0991355740276674","0.171302932986091"
"Low transfer dependency","2008","indirect migration background","Urban Area","54","0.0783416164271171","0.0584357849042056","0.0982474479500287"
"Low transfer dependency","2008","indirect migration background","Rural Area","22","","",""
"High transfer dependency","2008","no migration background","Urban Area","152","0.0172233610848228","0.0147587912945341","0.0196879308751116"
"High transfer dependency","2008","no migration background","Rural Area","123","0.0222132635012338","0.0185260500072731","0.0259004769951944"
"High transfer dependency","2008","direct migration background","Urban Area","63","0.0495018867494068","0.0387102147184784","0.0602935587803351"
"High transfer dependency","2008","direct migration background","Rural Area","16","","",""
"High transfer dependency","2008","indirect migration background","Urban Area","38","0.0808825893824496","0.0606844162440467","0.101080762520852"
"High transfer dependency","2008","indirect migration background","Rural Area","2","","",""
"Very high transfer dependency","2008","no migration background","Urban Area","233","0.032188301241785","0.0288448174861891","0.0355317849973809"
"Very high transfer dependency","2008","no migration background","Rural Area","219","0.0387582690195413","0.0339291431620536","0.043587394877029"
"Very high transfer dependency","2008","direct migration background","Urban Area","88","0.0733917117366136","0.0604177135968705","0.0863657098763567"
"Very high transfer dependency","2008","direct migration background","Rural Area","26","","",""
"Very high transfer dependency","2008","indirect migration background","Urban Area","37","0.0600091021241078","0.0424149047546974","0.0776032994935182"
"Very high transfer dependency","2008","indirect migration background","Rural Area","11","","",""
"Very low transfer dependency","2009","no migration background","Urban Area","9304","0.914967808107243","0.909506619769176","0.92042899644531"
"Very low transfer dependency","2009","no migration background","Rural Area","5175","0.877786004361803","0.869384952785672","0.886187055937934"
"Very low transfer dependency","2009","direct migration background","Urban Area","1123","0.800706506113811","0.779389541936936","0.822023470290686"
"Very low transfer dependency","2009","direct migration background","Rural Area","244","0.762954537995557","0.716213356708956","0.809695719282159"
"Very low transfer dependency","2009","indirect migration background","Urban Area","513","0.788560746717147","0.756573908777803","0.820547584656492"
"Very low transfer dependency","2009","indirect migration background","Rural Area","94","0.805938193992064","0.737157408094216","0.874718979889911"
"Low transfer dependency","2009","no migration background","Urban Area","386","0.0441298483648572","0.0401086247183771","0.0481510720113374"
"Low transfer dependency","2009","no migration background","Rural Area","379","0.0685265307915156","0.0620462552702648","0.0750068063127664"
"Low transfer dependency","2009","direct migration background","Urban Area","116","0.101074596486767","0.0849894525636743","0.11715974040986"
"Low transfer dependency","2009","direct migration background","Rural Area","41","0.101517959898878","0.0683238771724861","0.13471204262527"
"Low transfer dependency","2009","indirect migration background","Urban Area","58","0.113719163294802","0.0888498707125984","0.138588455877006"
"Low transfer dependency","2009","indirect migration background","Rural Area","22","","",""
"High transfer dependency","2009","no migration background","Urban Area","143","0.0137903168027101","0.0115070097780757","0.0160736238273445"
"High transfer dependency","2009","no migration background","Rural Area","109","0.0205119706011897","0.0168763202249987","0.0241476209773807"
"High transfer dependency","2009","direct migration background","Urban Area","42","0.0380048258216694","0.0278013547828711","0.0482082968604678"
"High transfer dependency","2009","direct migration background","Rural Area","15","","",""
"High transfer dependency","2009","indirect migration background","Urban Area","24","","",""
"High transfer dependency","2009","indirect migration background","Rural Area","6","","",""
"Very high transfer dependency","2009","no migration background","Urban Area","188","0.0271120267251898","0.023932188913377","0.0302918645370026"
"Very high transfer dependency","2009","no migration background","Rural Area","176","0.033175494245492","0.0285818074700626","0.0377691810209214"
"Very high transfer dependency","2009","direct migration background","Urban Area","68","0.0602140715777528","0.0475198643880988","0.0729082787674068"
"Very high transfer dependency","2009","direct migration background","Rural Area","18","","",""
"Very high transfer dependency","2009","indirect migration background","Urban Area","31","0.0530841556636933","0.0355211406264865","0.0706471707009002"
"Very high transfer dependency","2009","indirect migration background","Rural Area","5","","",""
"Very low transfer dependency","2010","no migration background","Urban Area","10903","0.905173483741319","0.900062378628556","0.910284588854081"
