"transab_cat2","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Very low transfer dependency","1993","Brandenburg","East Germany","509","0.84851879566526","0.82047877190976","0.876558819420759","0"
"Very low transfer dependency","1993","Mecklenburg-Western Pomerania","West Germany","","","","","0"
"Very low transfer dependency","1993","Mecklenburg-Western Pomerania","East Germany","340","0.849134775434018","0.813927232052597","0.884342318815439","0"
"Very low transfer dependency","1993","Saxony","West Germany","","","","","0"
"Very low transfer dependency","1993","Saxony","East Germany","899","0.829220190661873","0.807092083915175","0.85134829740857","0"
"High transfer dependency","1994","Schleswig-Holstein","West Germany","11","","","","2"
"High transfer dependency","1994","Schleswig-Holstein","East Germany","","","","","2"
"High transfer dependency","1994","Hamburg","West Germany","2","","","","2"
"High transfer dependency","1994","Hamburg","East Germany","","","","","2"
"High transfer dependency","1994","Lower Saxony","East Germany","","","","","2"
"High transfer dependency","1994","Lower Saxony","West Germany","10","","","","2"
"High transfer dependency","1994","Bremen","West Germany","2","","","","2"
"High transfer dependency","1994","Bremen","East Germany","","","","","2"
"High transfer dependency","1994","North Rhine-Westphalia","West Germany","35","0.00983521037986039","0.0059363484970072","0.0137340722627136","2"
"High transfer dependency","1994","North Rhine-Westphalia","East Germany","","","","","2"
"High transfer dependency","1994","Hesse","West Germany","10","","","","2"
"High transfer dependency","1994","Hesse","East Germany","","","","","2"
"High transfer dependency","1994","Rhineland-Palatinate,Saarland","West Germany","2","","","","2"
"High transfer dependency","1994","Baden-Württemberg","West Germany","19","","","","2"
"High transfer dependency","1994","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"High transfer dependency","1994","Baden-Württemberg","East Germany","","","","","2"
"High transfer dependency","1994","Bavaria","West Germany","5","","","","2"
"High transfer dependency","1994","Bavaria","East Germany","","","","","2"
"High transfer dependency","1994","Berlin","East Germany","3","","","","2"
"High transfer dependency","1994","Berlin","West Germany","9","","","","2"
"High transfer dependency","1994","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"High transfer dependency","1994","Brandenburg","East Germany","13","","","","2"
"High transfer dependency","1994","Brandenburg","West Germany","","","","","2"
"High transfer dependency","1994","Mecklenburg-Western Pomerania","East Germany","16","","","","2"
"High transfer dependency","1994","Saxony","West Germany","","","","","2"
"High transfer dependency","1994","Saxony","East Germany","46","0.0445430259033941","0.0324557489457407","0.0566303028610475","2"
"High transfer dependency","1994","Saxony-Anhalt","West Germany","","","","","2"
"High transfer dependency","1994","Saxony-Anhalt","East Germany","22","","","","2"
"High transfer dependency","1994","Thuringia","West Germany","","","","","2"
"High transfer dependency","1994","Thuringia","East Germany","24","","","","2"
"Low transfer dependency","1994","Schleswig-Holstein","West Germany","9","","","","1"
"Low transfer dependency","1994","Schleswig-Holstein","East Germany","","","","","1"
"Low transfer dependency","1994","Hamburg","East Germany","","","","","1"
"Low transfer dependency","1994","Hamburg","West Germany","7","","","","1"
"Low transfer dependency","1994","Lower Saxony","West Germany","38","0.0418963031865639","0.0292684662915089","0.0545241400816189","1"
"Low transfer dependency","1994","Lower Saxony","East Germany","","","","","1"
"Low transfer dependency","1994","Bremen","West Germany","4","","","","1"
"Low transfer dependency","1994","Bremen","East Germany","","","","","1"
"Low transfer dependency","1994","North Rhine-Westphalia","West Germany","106","0.0270053626207791","0.0206010501375752","0.033409675103983","1"
"Low transfer dependency","1994","North Rhine-Westphalia","East Germany","","","","","1"
"Low transfer dependency","1994","Hesse","West Germany","33","0.0288718767942565","0.0180752552340064","0.0396684983545066","1"
"Low transfer dependency","1994","Hesse","East Germany","","","","","1"
"Low transfer dependency","1994","Rhineland-Palatinate,Saarland","West Germany","27","","","","1"
"Low transfer dependency","1994","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Low transfer dependency","1994","Baden-Württemberg","West Germany","77","0.0267325398408503","0.0191601038558263","0.0343049758258743","1"
"Low transfer dependency","1994","Baden-Württemberg","East Germany","","","","","1"
"Low transfer dependency","1994","Bavaria","West Germany","27","","","","1"
"Low transfer dependency","1994","Bavaria","East Germany","","","","","1"
"Low transfer dependency","1994","Berlin","West Germany","16","","","","1"
"Low transfer dependency","1994","Berlin","East Germany","23","","","","1"
"Low transfer dependency","1994","Brandenburg","West Germany","","","","","1"
"Low transfer dependency","1994","Brandenburg","East Germany","78","0.0967616970368286","0.0732045162428304","0.120318877830827","1"
"Low transfer dependency","1994","Saxony-Anhalt","East Germany","61","0.0796627961005599","0.0594740042976216","0.0998515879034982","1"
"Low transfer dependency","1994","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Low transfer dependency","1994","Mecklenburg-Western Pomerania","East Germany","54","0.12513810391736","0.0931107765755606","0.157165431259159","1"
"Low transfer dependency","1994","Thuringia","East Germany","80","0.0840122919281584","0.0628325032305051","0.105192080625812","1"
"Low transfer dependency","1994","Thuringia","West Germany","","","","","1"
"Low transfer dependency","1994","Saxony-Anhalt","West Germany","","","","","1"
"Low transfer dependency","1994","Saxony","West Germany","","","","","1"
"Low transfer dependency","1994","Saxony","East Germany","137","0.109690709486543","0.091380706160639","0.128000712812447","1"
"Very high transfer dependency","1994","Schleswig-Holstein","West Germany","4","","","","3"
"Very high transfer dependency","1994","Schleswig-Holstein","East Germany","","","","","3"
"Very high transfer dependency","1994","Hamburg","West Germany","1","","","","3"
"Very high transfer dependency","1994","Hamburg","East Germany","","","","","3"
"Very high transfer dependency","1994","Lower Saxony","East Germany","","","","","3"
"Very high transfer dependency","1994","Bremen","West Germany","4","","","","3"
"Very high transfer dependency","1994","Lower Saxony","West Germany","12","","","","3"
"Very high transfer dependency","1994","Bremen","East Germany","","","","","3"
"Very high transfer dependency","1994","North Rhine-Westphalia","West Germany","45","0.0207462152266843","0.0151149062971079","0.0263775241562606","3"
"Very high transfer dependency","1994","North Rhine-Westphalia","East Germany","","","","","3"
"Very high transfer dependency","1994","Hesse","West Germany","14","","","","3"
"Very high transfer dependency","1994","Hesse","East Germany","","","","","3"
"Very high transfer dependency","1994","Rhineland-Palatinate,Saarland","West Germany","13","","","","3"
"Very high transfer dependency","1994","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"Very high transfer dependency","1994","Baden-Württemberg","West Germany","22","","","","3"
"Very high transfer dependency","1994","Baden-Württemberg","East Germany","","","","","3"
"Very high transfer dependency","1994","Bavaria","West Germany","12","","","","3"
"Very high transfer dependency","1994","Bavaria","East Germany","","","","","3"
"Very high transfer dependency","1994","Berlin","West Germany","16","","","","3"
"Very high transfer dependency","1994","Berlin","East Germany","3","","","","3"
"Very high transfer dependency","1994","Brandenburg","West Germany","","","","","3"
"Very high transfer dependency","1994","Brandenburg","East Germany","11","","","","3"
"Very high transfer dependency","1994","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"Very high transfer dependency","1994","Mecklenburg-Western Pomerania","East Germany","18","","","","3"
"Very high transfer dependency","1994","Saxony","West Germany","","","","","3"
"Very high transfer dependency","1994","Saxony","East Germany","28","","","","3"
"Very high transfer dependency","1994","Saxony-Anhalt","West Germany","","","","","3"
"Very high transfer dependency","1994","Saxony-Anhalt","East Germany","17","","","","3"
"Very high transfer dependency","1994","Thuringia","West Germany","","","","","3"
"Very high transfer dependency","1994","Thuringia","East Germany","16","","","","3"
"Very low transfer dependency","1994","Hamburg","East Germany","","","","","0"
"Very low transfer dependency","1994","Lower Saxony","West Germany","907","0.934784592554925","0.919222581024954","0.950346604084897","0"
"Very low transfer dependency","1994","Schleswig-Holstein","West Germany","262","0.908216705966716","0.874755496270775","0.941677915662657","0"
"Very low transfer dependency","1994","Schleswig-Holstein","East Germany","","","","","0"
"Very low transfer dependency","1994","Hamburg","West Germany","131","0.943705826552533","0.905661616019282","0.981750037085783","0"
"Very low transfer dependency","1994","Lower Saxony","East Germany","","","","","0"
"Very low transfer dependency","1994","Bremen","West Germany","79","0.875259123824325","0.806611453057468","0.943906794591182","0"
"Very low transfer dependency","1994","Bremen","East Germany","","","","","0"
"Very low transfer dependency","1994","North Rhine-Westphalia","West Germany","2275","0.942413211772676","0.933209258697485","0.951617164847867","0"
"Very low transfer dependency","1994","North Rhine-Westphalia","East Germany","","","","","0"
"Very low transfer dependency","1994","Hesse","West Germany","867","0.946128987610245","0.931572223367068","0.960685751853421","0"
"Very low transfer dependency","1994","Hesse","East Germany","","","","","0"
"Very low transfer dependency","1994","Rhineland-Palatinate,Saarland","West Germany","593","0.943973338294827","0.926086298813787","0.961860377775867","0"
"Very low transfer dependency","1994","Rhineland-Palatinate,Saarland","East Germany","","","","","0"
"Very low transfer dependency","1994","Bavaria","West Germany","1549","0.974039526631843","0.966230717687726","0.98184833557596","0"
"Very low transfer dependency","1994","Bavaria","East Germany","","","","","0"
"Very low transfer dependency","1994","Baden-Württemberg","West Germany","1625","0.954108752974138","0.944285320434207","0.963932185514068","0"
"Very low transfer dependency","1994","Baden-Württemberg","East Germany","","","","","0"
"Very low transfer dependency","1994","Thuringia","East Germany","539","0.824360820530696","0.795308906193793","0.853412734867599","0"
"Very low transfer dependency","1994","Thuringia","West Germany","","","","","0"
"Very low transfer dependency","1994","Berlin","West Germany","251","0.886104295969731","0.849666444763036","0.922542147176426","0"
"Very low transfer dependency","1994","Berlin","East Germany","227","0.883720818788976","0.844453013035855","0.922988624542098","0"
"Very low transfer dependency","1994","Brandenburg","West Germany","","","","","0"
"Very low transfer dependency","1994","Saxony-Anhalt","West Germany","","","","","0"
"Very low transfer dependency","1994","Saxony-Anhalt","East Germany","591","0.845012373408473","0.818029442870873","0.871995303946073","0"
"Very low transfer dependency","1994","Brandenburg","East Germany","503","0.86359924235735","0.836250653564493","0.890947831150207","0"
"Very low transfer dependency","1994","Mecklenburg-Western Pomerania","West Germany","","","","","0"
"Very low transfer dependency","1994","Saxony","West Germany","","","","","0"
"Very low transfer dependency","1994","Saxony","East Germany","908","0.818098334435783","0.795495956119444","0.840700712752121","0"
"Very low transfer dependency","1994","Mecklenburg-Western Pomerania","East Germany","322","0.784555103187944","0.744759417302233","0.824350789073655","0"
"High transfer dependency","1995","Schleswig-Holstein","East Germany","","","","","2"
"High transfer dependency","1995","Schleswig-Holstein","West Germany","5","","","","2"
"High transfer dependency","1995","Hamburg","West Germany","","","","","2"
"High transfer dependency","1995","Lower Saxony","West Germany","10","","","","2"
"High transfer dependency","1995","Hamburg","East Germany","","","","","2"
"High transfer dependency","1995","Lower Saxony","East Germany","","","","","2"
"High transfer dependency","1995","Bremen","West Germany","5","","","","2"
"High transfer dependency","1995","Bremen","East Germany","","","","","2"
"High transfer dependency","1995","North Rhine-Westphalia","West Germany","43","0.0125205266775448","0.00823080193267415","0.0168102514224155","2"
"High transfer dependency","1995","North Rhine-Westphalia","East Germany","","","","","2"
"High transfer dependency","1995","Hesse","West Germany","16","","","","2"
"High transfer dependency","1995","Hesse","East Germany","","","","","2"
"High transfer dependency","1995","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"High transfer dependency","1995","Rhineland-Palatinate,Saarland","West Germany","11","","","","2"
"High transfer dependency","1995","Baden-Württemberg","West Germany","38","0.0166185837515097","0.0107129046902161","0.0225242628128034","2"
"High transfer dependency","1995","Baden-Württemberg","East Germany","","","","","2"
"High transfer dependency","1995","Bavaria","West Germany","19","","","","2"
"High transfer dependency","1995","Bavaria","East Germany","","","","","2"
"High transfer dependency","1995","Berlin","West Germany","10","","","","2"
"High transfer dependency","1995","Berlin","East Germany","4","","","","2"
"High transfer dependency","1995","Brandenburg","East Germany","15","","","","2"
"High transfer dependency","1995","Brandenburg","West Germany","","","","","2"
"High transfer dependency","1995","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"High transfer dependency","1995","Mecklenburg-Western Pomerania","East Germany","12","","","","2"
"High transfer dependency","1995","Saxony","West Germany","","","","","2"
"High transfer dependency","1995","Saxony","East Germany","25","","","","2"
"High transfer dependency","1995","Saxony-Anhalt","East Germany","20","","","","2"
"High transfer dependency","1995","Saxony-Anhalt","West Germany","","","","","2"
"High transfer dependency","1995","Thuringia","West Germany","","","","","2"
"High transfer dependency","1995","Thuringia","East Germany","15","","","","2"
"Low transfer dependency","1995","Schleswig-Holstein","West Germany","13","","","","1"
"Low transfer dependency","1995","Hamburg","East Germany","","","","","1"
"Low transfer dependency","1995","Schleswig-Holstein","East Germany","","","","","1"
"Low transfer dependency","1995","Hamburg","West Germany","5","","","","1"
"Low transfer dependency","1995","Lower Saxony","West Germany","42","0.0271326046172846","0.0172393136801355","0.0370258955544337","1"
"Low transfer dependency","1995","Lower Saxony","East Germany","","","","","1"
"Low transfer dependency","1995","Bremen","West Germany","5","","","","1"
"Low transfer dependency","1995","Bremen","East Germany","","","","","1"
"Low transfer dependency","1995","North Rhine-Westphalia","West Germany","115","0.026977969546821","0.0207273933252441","0.033228545768398","1"
"Low transfer dependency","1995","North Rhine-Westphalia","East Germany","","","","","1"
"Low transfer dependency","1995","Hesse","West Germany","40","0.0375533526068774","0.0254831563882409","0.049623548825514","1"
"Low transfer dependency","1995","Hesse","East Germany","","","","","1"
"Low transfer dependency","1995","Rhineland-Palatinate,Saarland","West Germany","33","0.0400963681009478","0.0256146573754365","0.0545780788264591","1"
"Low transfer dependency","1995","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Low transfer dependency","1995","Baden-Württemberg","West Germany","76","0.0268926335106239","0.0194193942746229","0.0343658727466249","1"
"Low transfer dependency","1995","Baden-Württemberg","East Germany","","","","","1"
"Low transfer dependency","1995","Bavaria","West Germany","56","0.0292664441660189","0.0212351984645257","0.0372976898675121","1"
"Low transfer dependency","1995","Bavaria","East Germany","","","","","1"
"Low transfer dependency","1995","Berlin","West Germany","13","","","","1"
"Low transfer dependency","1995","Berlin","East Germany","4","","","","1"
"Low transfer dependency","1995","Brandenburg","West Germany","","","","","1"
"Low transfer dependency","1995","Saxony-Anhalt","East Germany","77","0.104788598329603","0.0819521329217371","0.127625063737468","1"
"Low transfer dependency","1995","Brandenburg","East Germany","66","0.098923484657085","0.0748529969887817","0.122993972325388","1"
"Low transfer dependency","1995","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Low transfer dependency","1995","Mecklenburg-Western Pomerania","East Germany","50","0.110338635060184","0.0801946815179453","0.140482588602423","1"
"Low transfer dependency","1995","Thuringia","West Germany","","","","","1"
"Low transfer dependency","1995","Thuringia","East Germany","61","0.0838650590021225","0.0624736946113527","0.105256423392892","1"
"Low transfer dependency","1995","Saxony-Anhalt","West Germany","","","","","1"
"Low transfer dependency","1995","Saxony","East Germany","111","0.0883018408759161","0.0714578398261971","0.105145841925635","1"
"Low transfer dependency","1995","Saxony","West Germany","","","","","1"
"Very high transfer dependency","1995","Hamburg","West Germany","2","","","","3"
"Very high transfer dependency","1995","Schleswig-Holstein","West Germany","7","","","","3"
"Very high transfer dependency","1995","Schleswig-Holstein","East Germany","","","","","3"
"Very high transfer dependency","1995","Hamburg","East Germany","","","","","3"
"Very high transfer dependency","1995","Lower Saxony","West Germany","44","0.0490615554485684","0.0359088506603024","0.0622142602368343","3"
"Very high transfer dependency","1995","Lower Saxony","East Germany","","","","","3"
"Very high transfer dependency","1995","Bremen","West Germany","2","","","","3"
"Very high transfer dependency","1995","North Rhine-Westphalia","West Germany","60","0.0195275501565714","0.014189340000243","0.0248657603128998","3"
"Very high transfer dependency","1995","Bremen","East Germany","","","","","3"
"Very high transfer dependency","1995","North Rhine-Westphalia","East Germany","","","","","3"
"Very high transfer dependency","1995","Hesse","West Germany","19","","","","3"
"Very high transfer dependency","1995","Hesse","East Germany","","","","","3"
"Very high transfer dependency","1995","Rhineland-Palatinate,Saarland","West Germany","34","0.0376907728311509","0.0236326161655097","0.0517489294967922","3"
"Very high transfer dependency","1995","Baden-Württemberg","West Germany","27","","","","3"
"Very high transfer dependency","1995","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"Very high transfer dependency","1995","Bavaria","West Germany","24","","","","3"
"Very high transfer dependency","1995","Baden-Württemberg","East Germany","","","","","3"
"Very high transfer dependency","1995","Bavaria","East Germany","","","","","3"
"Very high transfer dependency","1995","Berlin","West Germany","18","","","","3"
"Very high transfer dependency","1995","Berlin","East Germany","5","","","","3"
"Very high transfer dependency","1995","Brandenburg","West Germany","","","","","3"
"Very high transfer dependency","1995","Brandenburg","East Germany","8","","","","3"
"Very high transfer dependency","1995","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"Very high transfer dependency","1995","Mecklenburg-Western Pomerania","East Germany","20","","","","3"
"Very high transfer dependency","1995","Saxony","West Germany","","","","","3"
"Very high transfer dependency","1995","Saxony","East Germany","37","0.0340227778340144","0.0232605255196259","0.0447850301484029","3"
"Very high transfer dependency","1995","Saxony-Anhalt","West Germany","","","","","3"
"Very high transfer dependency","1995","Saxony-Anhalt","East Germany","11","","","","3"
"Very high transfer dependency","1995","Thuringia","West Germany","","","","","3"
"Very high transfer dependency","1995","Thuringia","East Germany","17","","","","3"
"Very low transfer dependency","1995","Hamburg","East Germany","","","","","0"
"Very low transfer dependency","1995","Lower Saxony","West Germany","940","0.913362855498571","0.896233463381253","0.930492247615889","0"
"Very low transfer dependency","1995","Lower Saxony","East Germany","","","","","0"
"Very low transfer dependency","1995","Bremen","West Germany","84","0.858010800671474","0.788189729551079","0.927831871791868","0"
"Very low transfer dependency","1995","Schleswig-Holstein","West Germany","258","0.904161776663586","0.869865472513348","0.938458080813824","0"
"Very low transfer dependency","1995","Schleswig-Holstein","East Germany","","","","","0"
"Very low transfer dependency","1995","Hamburg","West Germany","126","0.950642604432578","0.913829111577841","0.987456097287314","0"
"Very low transfer dependency","1995","Bremen","East Germany","","","","","0"
"Very low transfer dependency","1995","North Rhine-Westphalia","West Germany","2363","0.940973953619063","0.931881842449207","0.950066064788918","0"
"Very low transfer dependency","1995","North Rhine-Westphalia","East Germany","","","","","0"
"Very low transfer dependency","1995","Hesse","West Germany","878","0.925194094920709","0.908491420804499","0.941896769036918","0"
"Very low transfer dependency","1995","Hesse","East Germany","","","","","0"
"Very low transfer dependency","1995","Rhineland-Palatinate,Saarland","West Germany","627","0.902879716780963","0.881021061005153","0.924738372556774","0"
"Very low transfer dependency","1995","Rhineland-Palatinate,Saarland","East Germany","","","","","0"
"Very low transfer dependency","1995","Bavaria","West Germany","1593","0.942976624063802","0.931927576638184","0.95402567148942","0"
"Very low transfer dependency","1995","Baden-Württemberg","East Germany","","","","","0"
"Very low transfer dependency","1995","Bavaria","East Germany","","","","","0"
"Very low transfer dependency","1995","Baden-Württemberg","West Germany","1659","0.94279232472813","0.93206362705079","0.953521022405471","0"
"Very low transfer dependency","1995","Berlin","West Germany","283","0.885948373863289","0.851336067870069","0.920560679856508","0"
"Very low transfer dependency","1995","Berlin","East Germany","233","0.927270963046818","0.894819238121184","0.959722687972453","0"
"Very low transfer dependency","1995","Saxony","West Germany","","","","","0"
"Very low transfer dependency","1995","Saxony-Anhalt","East Germany","583","0.851784300600527","0.825291919930889","0.878276681270165","0"
"Very low transfer dependency","1995","Thuringia","West Germany","","","","","0"
"Very low transfer dependency","1995","Thuringia","East Germany","552","0.848977291899346","0.8213436963066","0.876610887492092","0"
"Very low transfer dependency","1995","Brandenburg","West Germany","","","","","0"
"Very low transfer dependency","1995","Mecklenburg-Western Pomerania","West Germany","","","","","0"
"Very low transfer dependency","1995","Mecklenburg-Western Pomerania","East Germany","333","0.787107247008925","0.747723100604696","0.826491393413154","0"
"Very low transfer dependency","1995","Saxony","East Germany","917","0.856221579083346","0.83539227398677","0.877050884179921","0"
"Very low transfer dependency","1995","Saxony-Anhalt","West Germany","","","","","0"
"Very low transfer dependency","1995","Brandenburg","East Germany","502","0.868590117794046","0.841352080789588","0.895828154798503","0"
"High transfer dependency","1996","Hamburg","East Germany","","","","","2"
"High transfer dependency","1996","Lower Saxony","East Germany","","","","","2"
"High transfer dependency","1996","Schleswig-Holstein","West Germany","5","","","","2"
"High transfer dependency","1996","Schleswig-Holstein","East Germany","","","","","2"
"High transfer dependency","1996","Lower Saxony","West Germany","16","","","","2"
"High transfer dependency","1996","Hamburg","West Germany","","","","","2"
"High transfer dependency","1996","Bremen","West Germany","3","","","","2"
"High transfer dependency","1996","Bremen","East Germany","","","","","2"
"High transfer dependency","1996","North Rhine-Westphalia","West Germany","56","0.0221998826041053","0.0164825528267745","0.0279172123814361","2"
"High transfer dependency","1996","North Rhine-Westphalia","East Germany","","","","","2"
"High transfer dependency","1996","Hesse","West Germany","8","","","","2"
"High transfer dependency","1996","Hesse","East Germany","","","","","2"
"High transfer dependency","1996","Rhineland-Palatinate,Saarland","West Germany","10","","","","2"
"High transfer dependency","1996","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"High transfer dependency","1996","Baden-Württemberg","West Germany","43","0.0145596288026788","0.00888234816872747","0.0202369094366302","2"
"High transfer dependency","1996","Baden-Württemberg","East Germany","","","","","2"
"High transfer dependency","1996","Bavaria","West Germany","19","","","","2"
"High transfer dependency","1996","Bavaria","East Germany","","","","","2"
"High transfer dependency","1996","Berlin","East Germany","4","","","","2"
"High transfer dependency","1996","Berlin","West Germany","2","","","","2"
"High transfer dependency","1996","Brandenburg","West Germany","","","","","2"
"High transfer dependency","1996","Brandenburg","East Germany","17","","","","2"
"High transfer dependency","1996","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"High transfer dependency","1996","Mecklenburg-Western Pomerania","East Germany","16","","","","2"
"High transfer dependency","1996","Saxony","West Germany","","","","","2"
"High transfer dependency","1996","Saxony","East Germany","43","0.0399387224652257","0.0283193606104641","0.0515580843199872","2"
"High transfer dependency","1996","Saxony-Anhalt","West Germany","","","","","2"
"High transfer dependency","1996","Saxony-Anhalt","East Germany","31","0.0322729257812384","0.0189311463012113","0.0456147052612655","2"
"High transfer dependency","1996","Thuringia","West Germany","","","","","2"
"High transfer dependency","1996","Thuringia","East Germany","33","0.0668093811229493","0.0477020478869771","0.0859167143589214","2"
"Low transfer dependency","1996","Schleswig-Holstein","West Germany","16","","","","1"
"Low transfer dependency","1996","Schleswig-Holstein","East Germany","","","","","1"
"Low transfer dependency","1996","Hamburg","West Germany","5","","","","1"
"Low transfer dependency","1996","Hamburg","East Germany","","","","","1"
"Low transfer dependency","1996","Lower Saxony","West Germany","45","0.0305247275500123","0.0200696878148815","0.0409797672851431","1"
"Low transfer dependency","1996","Lower Saxony","East Germany","","","","","1"
"Low transfer dependency","1996","Bremen","West Germany","4","","","","1"
"Low transfer dependency","1996","Bremen","East Germany","","","","","1"
"Low transfer dependency","1996","North Rhine-Westphalia","West Germany","111","0.0297545792571424","0.0231611618654927","0.036347996648792","1"
"Low transfer dependency","1996","North Rhine-Westphalia","East Germany","","","","","1"
"Low transfer dependency","1996","Hesse","West Germany","27","","","","1"
"Low transfer dependency","1996","Hesse","East Germany","","","","","1"
"Low transfer dependency","1996","Rhineland-Palatinate,Saarland","West Germany","15","","","","1"
"Low transfer dependency","1996","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Low transfer dependency","1996","Baden-Württemberg","West Germany","77","0.0380970150116639","0.0290238011717176","0.0471702288516102","1"
"Low transfer dependency","1996","Baden-Württemberg","East Germany","","","","","1"
"Low transfer dependency","1996","Bavaria","West Germany","74","0.0364765534422037","0.0274499392899678","0.0455031675944396","1"
"Low transfer dependency","1996","Bavaria","East Germany","","","","","1"
"Low transfer dependency","1996","Berlin","West Germany","16","","","","1"
"Low transfer dependency","1996","Berlin","East Germany","19","","","","1"
"Low transfer dependency","1996","Brandenburg","West Germany","","","","","1"
"Low transfer dependency","1996","Saxony-Anhalt","East Germany","87","0.126673713267387","0.101563542877661","0.151783883657112","1"
"Low transfer dependency","1996","Brandenburg","East Germany","76","0.134138750595309","0.106662616269608","0.16161488492101","1"
"Low transfer dependency","1996","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Low transfer dependency","1996","Mecklenburg-Western Pomerania","East Germany","56","0.154950387967328","0.119355283246137","0.190545492688518","1"
"Low transfer dependency","1996","Thuringia","East Germany","72","0.0846750380860893","0.0633710198704884","0.10597905630169","1"
"Low transfer dependency","1996","Saxony","East Germany","136","0.129472101590285","0.109550916921215","0.149393286259354","1"
"Low transfer dependency","1996","Thuringia","West Germany","","","","","1"
"Low transfer dependency","1996","Saxony","West Germany","","","","","1"
"Low transfer dependency","1996","Saxony-Anhalt","West Germany","","","","","1"
"Very high transfer dependency","1996","Schleswig-Holstein","East Germany","","","","","3"
"Very high transfer dependency","1996","Hamburg","West Germany","4","","","","3"
"Very high transfer dependency","1996","Schleswig-Holstein","West Germany","4","","","","3"
"Very high transfer dependency","1996","Hamburg","East Germany","","","","","3"
"Very high transfer dependency","1996","Lower Saxony","West Germany","44","0.0408338660048629","0.0288059997788251","0.0528617322309008","3"
"Very high transfer dependency","1996","Bremen","West Germany","2","","","","3"
"Very high transfer dependency","1996","Lower Saxony","East Germany","","","","","3"
"Very high transfer dependency","1996","Bremen","East Germany","","","","","3"
"Very high transfer dependency","1996","North Rhine-Westphalia","West Germany","64","0.0209416998674614","0.0153851770250377","0.0264982227098852","3"
"Very high transfer dependency","1996","North Rhine-Westphalia","East Germany","","","","","3"
"Very high transfer dependency","1996","Hesse","West Germany","22","","","","3"
"Very high transfer dependency","1996","Hesse","East Germany","","","","","3"
"Very high transfer dependency","1996","Baden-Württemberg","West Germany","27","","","","3"
"Very high transfer dependency","1996","Rhineland-Palatinate,Saarland","West Germany","26","","","","3"
"Very high transfer dependency","1996","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"Very high transfer dependency","1996","Baden-Württemberg","East Germany","","","","","3"
"Very high transfer dependency","1996","Bavaria","West Germany","21","","","","3"
"Very high transfer dependency","1996","Bavaria","East Germany","","","","","3"
"Very high transfer dependency","1996","Berlin","West Germany","15","","","","3"
"Very high transfer dependency","1996","Berlin","East Germany","5","","","","3"
"Very high transfer dependency","1996","Brandenburg","West Germany","","","","","3"
"Very high transfer dependency","1996","Brandenburg","East Germany","11","","","","3"
"Very high transfer dependency","1996","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"Very high transfer dependency","1996","Mecklenburg-Western Pomerania","East Germany","22","","","","3"
"Very high transfer dependency","1996","Saxony","West Germany","","","","","3"
"Very high transfer dependency","1996","Saxony","East Germany","27","","","","3"
"Very high transfer dependency","1996","Saxony-Anhalt","West Germany","","","","","3"
"Very high transfer dependency","1996","Saxony-Anhalt","East Germany","23","","","","3"
"Very high transfer dependency","1996","Thuringia","West Germany","","","","","3"
"Very high transfer dependency","1996","Thuringia","East Germany","15","","","","3"
"Very low transfer dependency","1996","Hamburg","East Germany","","","","","0"
"Very low transfer dependency","1996","Lower Saxony","West Germany","935","0.913681149775937","0.896613191311123","0.930749108240751","0"
"Very low transfer dependency","1996","Lower Saxony","East Germany","","","","","0"
"Very low transfer dependency","1996","Bremen","West Germany","86","0.929542343110065","0.878080542773622","0.981004143446508","0"
"Very low transfer dependency","1996","Bremen","East Germany","","","","","0"
"Very low transfer dependency","1996","North Rhine-Westphalia","West Germany","2320","0.927103838271291","0.917015738191059","0.937191938351523","0"
"Very low transfer dependency","1996","North Rhine-Westphalia","East Germany","","","","","0"
"Very low transfer dependency","1996","Schleswig-Holstein","West Germany","262","0.920110573915625","0.888743659128601","0.951477488702648","0"
"Very low transfer dependency","1996","Schleswig-Holstein","East Germany","","","","","0"
"Very low transfer dependency","1996","Hamburg","West Germany","119","0.922606650964183","0.876314941701244","0.968898360227121","0"
"Very low transfer dependency","1996","Hesse","West Germany","856","0.946873405646918","0.932325025183587","0.96142178611025","0"
"Very low transfer dependency","1996","Hesse","East Germany","","","","","0"
"Very low transfer dependency","1996","Rhineland-Palatinate,Saarland","West Germany","638","0.923622991618606","0.903790961679057","0.943455021558155","0"
