"transab_cat2","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"Low transfer dependency","2009","16-34 y.","379","0.0985407825679055","0.0895441737923646","0.107537391343446","1"
"Low transfer dependency","2009","35-65 y.","524","0.0595164846971577","0.0548459140827209","0.0641870553115945","1"
"Low transfer dependency","2009","66 and older","99","0.0263491785659468","0.0215091603893514","0.0311891967425421","1"
"Very high transfer dependency","2009","16-34 y.","199","0.0588433563974599","0.0517397733128064","0.0659469394821134","3"
"Very high transfer dependency","2009","35-65 y.","278","0.0369702518123801","0.0332452904832316","0.0406952131415286","3"
"Very high transfer dependency","2009","66 and older","9","","","","3"
"Very low transfer dependency","2009","16-34 y.","3495","0.810730662910559","0.798906341673731","0.822554984147386","0"
"Very low transfer dependency","2009","35-65 y.","8873","0.880911418247975","0.874517355498678","0.887305480997271","0"
"Very low transfer dependency","2009","66 and older","4085","0.964554462624996","0.958967111110346","0.970141814139646","0"
"High transfer dependency","2010","16-34 y.","446","0.0474768606295394","0.0424346481272498","0.0525190731318289","2"
"High transfer dependency","2010","35-65 y.","483","0.0255726912228921","0.0228860695120332","0.028259312933751","2"
"High transfer dependency","2010","66 and older","16","","","","2"
"Low transfer dependency","2010","16-34 y.","920","0.0889187275150071","0.0821700673402357","0.0956673876897785","1"
"Low transfer dependency","2010","35-65 y.","1192","0.0625923334333284","0.05846975999377","0.0667149068728868","1"
"Low transfer dependency","2010","66 and older","91","0.0255570088376237","0.0207087687735796","0.0304052489016678","1"
"Very high transfer dependency","2010","16-34 y.","650","0.0660025938200644","0.0601155710270906","0.0718896166130382","3"
"Very high transfer dependency","2010","35-65 y.","603","0.042306356651811","0.0388805748754852","0.0457321384281369","3"
"Very high transfer dependency","2010","66 and older","7","","","","3"
"Very low transfer dependency","2010","16-34 y.","4817","0.797601818035389","0.788075200020132","0.807128436050646","0"
"Very low transfer dependency","2010","35-65 y.","10984","0.869528618691968","0.863796130753544","0.875261106630393","0"
"Very low transfer dependency","2010","66 and older","3956","0.965978244936484","0.960408787156949","0.971547702716018","0"
"High transfer dependency","2011","16-34 y.","530","0.0558635104832835","0.0505749147129602","0.0611521062536068","2"
"High transfer dependency","2011","35-65 y.","631","0.0314224782985516","0.0287420654611906","0.0341028911359127","2"
"High transfer dependency","2011","66 and older","46","0.0115515007460454","0.00864663422122631","0.0144563672708644","2"
"Low transfer dependency","2011","16-34 y.","1063","0.0936578446465913","0.0869485472966523","0.10036714199653","1"
"Low transfer dependency","2011","35-65 y.","1481","0.0560431059663032","0.0525092287313488","0.0595769832012576","1"
"Low transfer dependency","2011","66 and older","116","0.0257466117587145","0.0214410883185577","0.0300521351988712","1"
"Very high transfer dependency","2011","16-34 y.","659","0.0599032832101458","0.0544385312916555","0.065368035128636","3"
"Very high transfer dependency","2011","35-65 y.","774","0.0400686452975008","0.0370553846680764","0.0430819059269253","3"
"Very high transfer dependency","2011","66 and older","12","","","","3"
"Very low transfer dependency","2011","16-34 y.","4992","0.790575361659979","0.781205258010494","0.799945465309465","0"
"Very low transfer dependency","2011","35-65 y.","13387","0.872465770437644","0.867340676158793","0.877590864716496","0"
"Very low transfer dependency","2011","66 and older","5024","0.957696165967784","0.952224322152893","0.963168009782676","0"
"High transfer dependency","2012","35-65 y.","583","0.0268777145742509","0.024372494593869","0.0293829345546328","2"
"High transfer dependency","2012","16-34 y.","489","0.0507296650724667","0.0455211527266099","0.0559381774183234","2"
"High transfer dependency","2012","66 and older","46","0.015501592892915","0.0121599186455362","0.0188432671402937","2"
"Low transfer dependency","2012","16-34 y.","837","0.0875521453456519","0.080843649283657","0.0942606414076467","1"
"Low transfer dependency","2012","35-65 y.","1285","0.0557034960299195","0.0521507725511889","0.0592562195086501","1"
"Low transfer dependency","2012","66 and older","105","0.0182918453247441","0.0146670090211646","0.0219166816283236","1"
"Very high transfer dependency","2012","16-34 y.","534","0.0515235003654105","0.0462765891758209","0.056770411555","3"
"Very high transfer dependency","2012","35-65 y.","720","0.041177194076976","0.0380992300413189","0.0442551581126331","3"
"Very high transfer dependency","2012","66 and older","12","","","","3"
"Very low transfer dependency","2012","16-34 y.","4959","0.810194689216471","0.800887112558651","0.819502265874291","0"
"Very low transfer dependency","2012","35-65 y.","13421","0.876241595318853","0.871140478460921","0.881342712176786","0"
"Very low transfer dependency","2012","66 and older","5087","0.962540431248481","0.957404025581425","0.967676836915537","0"
"High transfer dependency","2013","35-65 y.","744","0.02856198572605","0.0261019268639062","0.0310220445881937","2"
"High transfer dependency","2013","16-34 y.","598","0.0495035705959313","0.0448425616638568","0.0541645795280058","2"
"High transfer dependency","2013","66 and older","38","0.00720171665777434","0.00488151149957704","0.00952192181597165","2"
"Low transfer dependency","2013","16-34 y.","982","0.0896983447343271","0.0835583032063875","0.0958383862622667","1"
"Low transfer dependency","2013","35-65 y.","1373","0.056585408287661","0.0531731077534942","0.0599977088218277","1"
"Low transfer dependency","2013","66 and older","122","0.0215439408856506","0.0175600163645987","0.0255278654067025","1"
"Very high transfer dependency","2013","16-34 y.","675","0.059509643809535","0.0544262087878966","0.0645930788311734","3"
"Very high transfer dependency","2013","35-65 y.","945","0.0450838229924387","0.042019484433744","0.0481481615511334","3"
"Very high transfer dependency","2013","66 and older","28","","","","3"
"Very low transfer dependency","2013","16-34 y.","6065","0.801288440860207","0.79271426410365","0.809862617616763","0"
"Very low transfer dependency","2013","35-65 y.","14550","0.86976878299385","0.864798247146219","0.874739318841481","0"
"Very low transfer dependency","2013","66 and older","4914","0.965939422046544","0.960962293978849","0.97091655011424","0"
"High transfer dependency","2014","35-65 y.","585","0.0280101650199483","0.0254100555714997","0.0306102744683969","2"
"High transfer dependency","2014","16-34 y.","512","0.0542125266211534","0.0489376933374172","0.0594873599048896","2"
"High transfer dependency","2014","66 and older","40","0.00859561781747469","0.00603507953208897","0.0111561561028604","2"
"Low transfer dependency","2014","16-34 y.","870","0.0989723647531304","0.092015906806955","0.105928822699306","1"
"Low transfer dependency","2014","35-65 y.","1205","0.0576272527758385","0.0539550364980887","0.0612994690535883","1"
"Low transfer dependency","2014","66 and older","108","0.0199665158310806","0.0160864516581397","0.0238465800040215","1"
"Very high transfer dependency","2014","16-34 y.","550","0.0636139785977445","0.0579285151079394","0.0692994420875496","3"
"Very high transfer dependency","2014","35-65 y.","792","0.0466557516271639","0.0433323685451488","0.0499791347091789","3"
"Very high transfer dependency","2014","66 and older","30","0.00409428358762273","0.00232309265258128","0.00586547452266417","3"
"Very low transfer dependency","2014","16-34 y.","5147","0.783201130027972","0.773602101228834","0.792800158827109","0"
"Very low transfer dependency","2014","35-65 y.","12888","0.867706830577049","0.862367852311476","0.873045808842623","0"
"Very low transfer dependency","2014","66 and older","4815","0.967343582763822","0.962413639133037","0.972273526394607","0"
"High transfer dependency","2015","16-34 y.","504","0.0542919652006816","0.0490551219822623","0.059528808419101","2"
"High transfer dependency","2015","35-65 y.","526","0.0254706606130925","0.0229609051721903","0.0279804160539947","2"
"High transfer dependency","2015","66 and older","36","0.00691302967103201","0.0046055293007478","0.00922053004131622","2"
"Low transfer dependency","2015","16-34 y.","749","0.078823907220982","0.0725962663516322","0.0850515480903317","1"
"Low transfer dependency","2015","35-65 y.","1066","0.0562522221917094","0.0525818369214396","0.0599226074619792","1"
"Low transfer dependency","2015","66 and older","112","0.0212647526327419","0.0172470599967797","0.0252824452687042","1"
"Very high transfer dependency","2015","16-34 y.","621","0.0637915498910414","0.0581435964623785","0.0694395033197043","3"
"Very high transfer dependency","2015","35-65 y.","820","0.0485523181879795","0.045128495369269","0.0519761410066899","3"
"Very high transfer dependency","2015","66 and older","36","0.00521314058016849","0.00320761287814665","0.00721866828219032","3"
"Very low transfer dependency","2015","16-34 y.","5318","0.803092577687295","0.793902120819677","0.812283034554913","0"
"Very low transfer dependency","2015","35-65 y.","12726","0.869724799007219","0.864362689941856","0.875086908072581","0"
"Very low transfer dependency","2015","66 and older","4769","0.966609077116058","0.961605811346345","0.97161234288577","0"
"High transfer dependency","2016","16-34 y.","346","0.0501216725110891","0.0446523675397516","0.0555909774824267","2"
"High transfer dependency","2016","35-65 y.","447","0.0254917813496711","0.022866387542822","0.0281171751565201","2"
"High transfer dependency","2016","66 and older","43","0.00842030768203526","0.00582695117979606","0.0110136641842745","2"
"Low transfer dependency","2016","16-34 y.","739","0.103853496101763","0.0962065955572319","0.111500396646294","1"
"Low transfer dependency","2016","35-65 y.","1008","0.0531358098703931","0.0493995325030701","0.0568720872377161","1"
"Low transfer dependency","2016","66 and older","97","0.0217148221313924","0.0175782052044708","0.0258514390583141","1"
"Very high transfer dependency","2016","16-34 y.","501","0.0613254467370323","0.0553114490540867","0.067339444419978","3"
"Very high transfer dependency","2016","35-65 y.","694","0.0431390996074854","0.0397548564969862","0.0465233427179846","3"
"Very high transfer dependency","2016","66 and older","37","0.00656812839819419","0.00427554949631395","0.00886070730007442","3"
"Very low transfer dependency","2016","16-34 y.","4528","0.784699384650115","0.774396480360831","0.7950022889394","0"
"Very low transfer dependency","2016","35-65 y.","11696","0.87823330917245","0.872786140603862","0.883680477741039","0"
"Very low transfer dependency","2016","66 and older","4592","0.963296741788378","0.957960115576584","0.968633368000172","0"
"High transfer dependency","2017","16-34 y.","463","0.0475676931834528","0.0428510336275335","0.0522843527393721","2"
"High transfer dependency","2017","35-65 y.","591","0.0286243754736611","0.0260630240815172","0.0311857268658051","2"
"High transfer dependency","2017","66 and older","45","0.00617157121222212","0.00400770027014151","0.00833544215430273","2"
"Low transfer dependency","2017","16-34 y.","793","0.0881434943673655","0.0818611779243284","0.0944258108104026","1"
"Low transfer dependency","2017","66 and older","106","0.023646739252492","0.0194485027867925","0.0278449757181915","1"
"Low transfer dependency","2017","35-65 y.","985","0.046348180763567","0.0431188032292022","0.0495775582979318","1"
"Very high transfer dependency","2017","16-34 y.","1403","0.0687008800565508","0.0630957309201442","0.0743060291929573","3"
"Very high transfer dependency","2017","35-65 y.","1500","0.044350365971303","0.0411880482213606","0.0475126837212453","3"
"Very high transfer dependency","2017","66 and older","52","0.00654143047691307","0.00431407763733464","0.0087687833164915","3"
"Very low transfer dependency","2017","16-34 y.","5164","0.795587932392631","0.786651610891225","0.804524253894037","0"
"Very low transfer dependency","2017","35-65 y.","13205","0.880677077791469","0.875697668337268","0.88565648724567","0"
"Very low transfer dependency","2017","66 and older","4829","0.963640259058373","0.958468412484364","0.968812105632382","0"
"High transfer dependency","2018","16-34 y.","618","0.0441346840195151","0.0397138235623467","0.0485555444766835","2"
"High transfer dependency","2018","35-65 y.","660","0.0279249924623411","0.0253743191092666","0.0304756658154156","2"
"High transfer dependency","2018","66 and older","60","0.0129271814755254","0.00981782417341671","0.0160365387776341","2"
"Low transfer dependency","2018","16-34 y.","772","0.0782828341388311","0.0725012007149457","0.0840644675627164","1"
"Low transfer dependency","2018","35-65 y.","984","0.0496211322658482","0.0462591908247809","0.0529830737069155","1"
"Low transfer dependency","2018","66 and older","130","0.0209389981520773","0.0169978121045457","0.024880184199609","1"
"Very high transfer dependency","2018","16-34 y.","1797","0.0669352496788202","0.0615562467647235","0.0723142525929169","3"
"Very high transfer dependency","2018","66 and older","68","0.00729071376347594","0.00494896565780522","0.00963246186914666","3"
"Very high transfer dependency","2018","35-65 y.","1921","0.0457940758814599","0.0425578850129171","0.0490302667500027","3"
"Very low transfer dependency","2018","16-34 y.","5105","0.810647232162834","0.802214462745743","0.819080001579924","0"
"Very low transfer dependency","2018","35-65 y.","12463","0.876659799390351","0.87156911356358","0.881750485217122","0"
"Very low transfer dependency","2018","66 and older","4812","0.958843106608921","0.953374972221477","0.964311240996365","0"
"High transfer dependency","2019","16-34 y.","506","0.0421016088630225","0.0375469589158089","0.046656258810236","2"
"High transfer dependency","2019","35-65 y.","568","0.0267146245621306","0.0242686636315286","0.0291605854927327","2"
"High transfer dependency","2019","66 and older","60","0.0107652028422939","0.00797561588699708","0.0135547897975908","2"
"Low transfer dependency","2019","35-65 y.","866","0.0518486314382902","0.0484853565380151","0.0552119063385653","1"
"Low transfer dependency","2019","16-34 y.","684","0.0858642755397641","0.0795101245256791","0.0922184265538491","1"
"Low transfer dependency","2019","66 and older","135","0.0246197763742472","0.0204307979130283","0.0288087548354662","1"
"Very high transfer dependency","2019","16-34 y.","1483","0.0632811363646646","0.0577592469597501","0.0688030257695792","3"
"Very high transfer dependency","2019","35-65 y.","1826","0.0401152285442188","0.0371386382209306","0.0430918188675071","3"
"Very high transfer dependency","2019","66 and older","72","0.00900446590814755","0.00645091847034037","0.0115580133459547","3"
"Very low transfer dependency","2019","16-34 y.","4795","0.808752979232549","0.799833259216745","0.817672699248353","0"
"Very low transfer dependency","2019","35-65 y.","13435","0.88132151545536","0.876415735531534","0.886227295379187","0"
"Very low transfer dependency","2019","66 and older","4990","0.955610554875311","0.950043065080537","0.961178044670085","0"
