"transab_cat2","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1994","1-pers.-HH","Male","457","0.892548059691708","0.865801531755028","0.919294587628388"
"Very low transfer dependency","1994","1-pers.-HH","Female","841","0.951069913444748","0.936929127596754","0.965210699292742"
"Very low transfer dependency","1994","(Married) couple without C. ","Male","1582","0.950489742979802","0.940147230670261","0.960832255289342"
"Very low transfer dependency","1994","(Married) couple without C. ","Female","1597","0.953170954760362","0.943139674885819","0.963202234634905"
"Very low transfer dependency","1994","Single parent ","Male","162","0.909562573367466","0.86719026287177","0.951934883863163"
"Very low transfer dependency","1994","Single parent ","Female","310","0.795200977464243","0.755603817727947","0.834798137200539"
"Very low transfer dependency","1994","Couple + C. LE 16 ","Male","1287","0.889170376897125","0.87320404013629","0.905136713657961"
"Very low transfer dependency","1994","Couple + C. LE 16 ","Female","1315","0.890028079865508","0.874315738802222","0.905740420928793"
"Very low transfer dependency","1994","Couple + C. GT 16 ","Male","1242","0.935270038714555","0.922154657154626","0.948385420274483"
"Very low transfer dependency","1994","Couple + C. GT 16 ","Female","1006","0.93543362479043","0.920870682743841","0.949996566837019"
"Very low transfer dependency","1994","Couple + C. LE and GT 16","Male","540","0.93736855302545","0.917948567068855","0.956788538982045"
"Very low transfer dependency","1994","Couple + C. LE and GT 16","Female","515","0.923999203886784","0.902414123098918","0.94558428467465"
"Low transfer dependency","1994","1-pers.-HH","Male","14","","",""
"Low transfer dependency","1994","1-pers.-HH","Female","21","","",""
"Low transfer dependency","1994","(Married) couple without C. ","Male","63","0.0265412150130196","0.0188777721590561","0.0342046578669832"
"Low transfer dependency","1994","(Married) couple without C. ","Female","63","0.024976427299337","0.017566976621061","0.0323858779776129"
"Low transfer dependency","1994","Single parent ","Male","9","","",""
"Low transfer dependency","1994","Single parent ","Female","33","0.0665123946616177","0.0420630505436378","0.0909617387795975"
"Low transfer dependency","1994","Couple + C. LE 16 ","Male","134","0.0726073604242804","0.0594093942522439","0.085805326596317"
"Low transfer dependency","1994","Couple + C. LE 16 ","Female","141","0.0721103650153435","0.0591192882805868","0.0851014417501002"
"Low transfer dependency","1994","Couple + C. GT 16 ","Male","85","0.0458826852390041","0.0347298561441732","0.057035514333835"
"Low transfer dependency","1994","Couple + C. GT 16 ","Female","67","0.0477968758218505","0.0351552192981305","0.0604385323455706"
"Low transfer dependency","1994","Couple + C. LE and GT 16","Male","37","0.0424044635216103","0.0262536522552296","0.058555274787991"
"Low transfer dependency","1994","Couple + C. LE and GT 16","Female","47","0.0566249530186258","0.0377990885053687","0.0754508175318829"
"High transfer dependency","1994","1-pers.-HH","Male","12","","",""
"High transfer dependency","1994","1-pers.-HH","Female","10","","",""
"High transfer dependency","1994","(Married) couple without C. ","Male","26","","",""
"High transfer dependency","1994","(Married) couple without C. ","Female","25","","",""
"High transfer dependency","1994","Single parent ","Male","","","",""
"High transfer dependency","1994","Single parent ","Female","14","","",""
"High transfer dependency","1994","Couple + C. LE 16 ","Male","37","0.0238316025013503","0.0160740654367613","0.0315891395659392"
"High transfer dependency","1994","Couple + C. LE 16 ","Female","39","0.0243139135894243","0.0165785518195827","0.0320492753592659"
"High transfer dependency","1994","Couple + C. GT 16 ","Male","15","","",""
"High transfer dependency","1994","Couple + C. GT 16 ","Female","13","","",""
"High transfer dependency","1994","Couple + C. LE and GT 16","Male","15","","",""
"High transfer dependency","1994","Couple + C. LE and GT 16","Female","11","","",""
"Very high transfer dependency","1994","1-pers.-HH","Male","32","0.069310174159733","0.0473747793933811","0.091245568926085"
"Very high transfer dependency","1994","1-pers.-HH","Female","22","","",""
"Very high transfer dependency","1994","(Married) couple without C. ","Male","19","","",""
"Very high transfer dependency","1994","(Married) couple without C. ","Female","19","","",""
"Very high transfer dependency","1994","Single parent ","Male","5","","",""
"Very high transfer dependency","1994","Single parent ","Female","42","0.105293588155428","0.0751772003508718","0.135409975959984"
"Very high transfer dependency","1994","Couple + C. LE 16 ","Male","27","","",""
"Very high transfer dependency","1994","Couple + C. LE 16 ","Female","28","","",""
"Very high transfer dependency","1994","Couple + C. GT 16 ","Male","10","","",""
"Very high transfer dependency","1994","Couple + C. GT 16 ","Female","8","","",""
"Very high transfer dependency","1994","Couple + C. LE and GT 16","Male","6","","",""
"Very high transfer dependency","1994","Couple + C. LE and GT 16","Female","6","","",""
"Very low transfer dependency","1995","1-pers.-HH","Male","464","0.8569785761364","0.827340416876937","0.886616735395862"
"Very low transfer dependency","1995","1-pers.-HH","Female","860","0.94126336337995","0.926053095420169","0.956473631339731"
"Very low transfer dependency","1995","(Married) couple without C. ","Male","1637","0.949354059572729","0.939080628948801","0.959627490196658"
"Very low transfer dependency","1995","(Married) couple without C. ","Female","1654","0.951354756194088","0.941321447359181","0.961388065028995"
"Very low transfer dependency","1995","Single parent ","Male","171","0.930551781933366","0.894404793798703","0.96669877006803"
"Very low transfer dependency","1995","Single parent ","Female","307","0.764860866514356","0.724302811205848","0.805418921822863"
"Very low transfer dependency","1995","Couple + C. LE 16 ","Male","1345","0.890082564075016","0.874485879453166","0.905679248696866"
"Very low transfer dependency","1995","Couple + C. LE 16 ","Female","1381","0.887219200286414","0.871656223185645","0.902782177387182"
"Very low transfer dependency","1995","Couple + C. GT 16 ","Male","1251","0.930105929422209","0.916540156572877","0.943671702271541"
"Very low transfer dependency","1995","Couple + C. GT 16 ","Female","1040","0.937826497191842","0.923716213441766","0.951936780941917"
"Very low transfer dependency","1995","Couple + C. LE and GT 16","Male","572","0.915771632052936","0.894254673169963","0.937288590935909"
"Very low transfer dependency","1995","Couple + C. LE and GT 16","Female","533","0.895480692779644","0.871142959909415","0.919818425649872"
"Low transfer dependency","1995","1-pers.-HH","Male","26","","",""
"Low transfer dependency","1995","1-pers.-HH","Female","20","","",""
"Low transfer dependency","1995","(Married) couple without C. ","Male","67","0.0274136514113218","0.0197633843797094","0.0350639184429341"
"Low transfer dependency","1995","(Married) couple without C. ","Female","67","0.0279528397776592","0.0202649105464821","0.0356407690088363"
"Low transfer dependency","1995","Single parent ","Male","13","","",""
"Low transfer dependency","1995","Single parent ","Female","35","0.0567243268961717","0.0346021715092502","0.0788464822830933"
"Low transfer dependency","1995","Couple + C. LE 16 ","Male","114","0.0600692450849052","0.0482208953178469","0.0719175948519636"
"Low transfer dependency","1995","Couple + C. LE 16 ","Female","118","0.0629492495749183","0.0510001147158888","0.0748983844339477"
"Low transfer dependency","1995","Couple + C. GT 16 ","Male","82","0.0495390492394852","0.037993910926226","0.0610841875527445"
"Low transfer dependency","1995","Couple + C. GT 16 ","Female","64","0.0473492356141981","0.0349385670937431","0.0597599041346531"
"Low transfer dependency","1995","Couple + C. LE and GT 16","Male","37","0.0410152516369532","0.0256501072981873","0.0563803959757191"
"Low transfer dependency","1995","Couple + C. LE and GT 16","Female","44","0.047315670849884","0.0304256277726393","0.0642057139271288"
"High transfer dependency","1995","1-pers.-HH","Male","12","","",""
"High transfer dependency","1995","1-pers.-HH","Female","10","","",""
"High transfer dependency","1995","(Married) couple without C. ","Male","20","","",""
"High transfer dependency","1995","(Married) couple without C. ","Female","19","","",""
"High transfer dependency","1995","Single parent ","Male","2","","",""
"High transfer dependency","1995","Single parent ","Female","32","0.07497626900643","0.049790118421856","0.100162419591004"
"High transfer dependency","1995","Couple + C. LE 16 ","Male","34","0.0188604809805336","0.0120774216539407","0.0256435403071265"
"High transfer dependency","1995","Couple + C. LE 16 ","Female","36","0.0203109530764576","0.0133708023056621","0.0272511038472532"
"High transfer dependency","1995","Couple + C. GT 16 ","Male","16","","",""
"High transfer dependency","1995","Couple + C. GT 16 ","Female","13","","",""
"High transfer dependency","1995","Couple + C. LE and GT 16","Male","17","","",""
"High transfer dependency","1995","Couple + C. LE and GT 16","Female","15","","",""
"Very high transfer dependency","1995","1-pers.-HH","Male","34","0.0712662224913875","0.0494864576511425","0.0930459873316326"
"Very high transfer dependency","1995","1-pers.-HH","Female","28","","",""
"Very high transfer dependency","1995","(Married) couple without C. ","Male","26","","",""
"Very high transfer dependency","1995","(Married) couple without C. ","Female","26","","",""
"Very high transfer dependency","1995","Single parent ","Male","4","","",""
"Very high transfer dependency","1995","Single parent ","Female","46","0.103438537583043","0.074314293278902","0.132562781887183"
"Very high transfer dependency","1995","Couple + C. LE 16 ","Male","52","0.0309877098595454","0.0223471231595214","0.0396282965595694"
"Very high transfer dependency","1995","Couple + C. LE 16 ","Female","52","0.0295205970622105","0.0211930833325196","0.0378481107919014"
"Very high transfer dependency","1995","Couple + C. GT 16 ","Male","8","","",""
"Very high transfer dependency","1995","Couple + C. GT 16 ","Female","8","","",""
"Very high transfer dependency","1995","Couple + C. LE and GT 16","Male","14","","",""
"Very high transfer dependency","1995","Couple + C. LE and GT 16","Female","15","","",""
"Very low transfer dependency","1996","1-pers.-HH","Male","487","0.896967032393854","0.871514314929391","0.922419749858318"
"Very low transfer dependency","1996","1-pers.-HH","Female","859","0.942644218482901","0.927716183648673","0.95757225331713"
"Very low transfer dependency","1996","(Married) couple without C. ","Male","1594","0.920388590529842","0.9077494247976","0.933027756262084"
"Very low transfer dependency","1996","(Married) couple without C. ","Female","1619","0.918454091442421","0.905772529853095","0.931135653031747"
"Very low transfer dependency","1996","Single parent ","Male","205","0.926400258613172","0.892356982327864","0.96044353489848"
"Very low transfer dependency","1996","Single parent ","Female","320","0.767132128329917","0.726996213692715","0.807268042967118"
"Very low transfer dependency","1996","Couple + C. LE 16 ","Male","1304","0.909696109986465","0.89502434019462","0.92436787977831"
"Very low transfer dependency","1996","Couple + C. LE 16 ","Female","1341","0.898945310399393","0.883753236397378","0.914137384401407"
"Very low transfer dependency","1996","Couple + C. GT 16 ","Male","1131","0.911543260212337","0.895962922738952","0.927123597685721"
"Very low transfer dependency","1996","Couple + C. GT 16 ","Female","957","0.914520373120362","0.897829974393479","0.931210771847245"
"Very low transfer dependency","1996","Couple + C. LE and GT 16","Male","577","0.897764740564446","0.874456614055642","0.92107286707325"
"Very low transfer dependency","1996","Couple + C. LE and GT 16","Female","530","0.892952915152715","0.868173035023308","0.917732795282122"
"Low transfer dependency","1996","1-pers.-HH","Male","19","","",""
"Low transfer dependency","1996","1-pers.-HH","Female","24","","",""
"Low transfer dependency","1996","(Married) couple without C. ","Male","89","0.0418043459347508","0.0324592674357526","0.051149424433749"
"Low transfer dependency","1996","(Married) couple without C. ","Female","90","0.0406500076373339","0.0314991505106905","0.0498008647639774"
"Low transfer dependency","1996","Single parent ","Male","9","","",""
"Low transfer dependency","1996","Single parent ","Female","32","0.0609024218050123","0.0381924846098651","0.0836123590001594"
"Low transfer dependency","1996","Couple + C. LE 16 ","Male","107","0.0633287974635448","0.050861414193087","0.0757961807340025"
"Low transfer dependency","1996","Couple + C. LE 16 ","Female","110","0.0647890425214266","0.0523817286265812","0.0771963564162719"
"Low transfer dependency","1996","Couple + C. GT 16 ","Male","104","0.0649284720541412","0.0514089056915552","0.0784480384167271"
"Low transfer dependency","1996","Couple + C. GT 16 ","Female","81","0.0601373476536414","0.0459453659835947","0.074329329323688"
"Low transfer dependency","1996","Couple + C. LE and GT 16","Male","39","0.0622454137523013","0.0436577837042771","0.0808330438003255"
"Low transfer dependency","1996","Couple + C. LE and GT 16","Female","41","0.0639497514599031","0.0443402518788818","0.0835592510409244"
"High transfer dependency","1996","1-pers.-HH","Male","8","","",""
"High transfer dependency","1996","1-pers.-HH","Female","18","","",""
"High transfer dependency","1996","(Married) couple without C. ","Male","34","0.0158134095456757","0.00998840028593347","0.0216384188054179"
"High transfer dependency","1996","(Married) couple without C. ","Female","35","0.0193102523797046","0.0129334535965363","0.0256870511628729"
"High transfer dependency","1996","Single parent ","Male","5","","",""
"High transfer dependency","1996","Single parent ","Female","31","0.0599113092719641","0.0373750354494575","0.0824475830944706"
"High transfer dependency","1996","Couple + C. LE 16 ","Male","30","0.0148080137940814","0.00862514619879072","0.020990881389372"
"High transfer dependency","1996","Couple + C. LE 16 ","Female","33","0.0204604369516268","0.0133246703210678","0.0275962035821857"
"High transfer dependency","1996","Couple + C. GT 16 ","Male","28","","",""
"High transfer dependency","1996","Couple + C. GT 16 ","Female","25","","",""
"High transfer dependency","1996","Couple + C. LE and GT 16","Male","19","","",""
"High transfer dependency","1996","Couple + C. LE and GT 16","Female","14","","",""
"Very high transfer dependency","1996","1-pers.-HH","Male","34","0.060716946284349","0.0407224247626148","0.0807114678060831"
"Very high transfer dependency","1996","1-pers.-HH","Female","31","0.0240450686040084","0.0142102121266651","0.0338799250813517"
"Very high transfer dependency","1996","(Married) couple without C. ","Male","45","0.0219936539897315","0.0151456395164181","0.028841668463045"
"Very high transfer dependency","1996","(Married) couple without C. ","Female","45","0.021585648540541","0.0148514350771096","0.0283198620039725"
"Very high transfer dependency","1996","Single parent ","Male","7","","",""
"Very high transfer dependency","1996","Single parent ","Female","43","0.112054140593107","0.0821004396686186","0.142007841517596"
"Very high transfer dependency","1996","Couple + C. LE 16 ","Male","25","","",""
"Very high transfer dependency","1996","Couple + C. LE 16 ","Female","28","","",""
"Very high transfer dependency","1996","Couple + C. GT 16 ","Male","13","","",""
"Very high transfer dependency","1996","Couple + C. GT 16 ","Female","15","","",""
"Very high transfer dependency","1996","Couple + C. LE and GT 16","Male","14","","",""
"Very high transfer dependency","1996","Couple + C. LE and GT 16","Female","13","","",""
"Very low transfer dependency","1997","1-pers.-HH","Male","465","0.883948999132358","0.856909928653715","0.910988069611001"
"Very low transfer dependency","1997","1-pers.-HH","Female","844","0.919919095095092","0.902361458602803","0.93747673158738"
"Very low transfer dependency","1997","(Married) couple without C. ","Male","1604","0.912795306338884","0.899739806576743","0.925850806101024"
"Very low transfer dependency","1997","(Married) couple without C. ","Female","1610","0.907710251034993","0.894343015916645","0.921077486153342"
"Very low transfer dependency","1997","Single parent ","Male","189","0.866050612687848","0.820941110337185","0.911160115038511"
"Very low transfer dependency","1997","Single parent ","Female","292","0.712282036752989","0.668193055487469","0.756371018018508"
"Very low transfer dependency","1997","Couple + C. LE 16 ","Male","1166","0.858926922794868","0.840581100658872","0.877272744930865"
"Very low transfer dependency","1997","Couple + C. LE 16 ","Female","1205","0.856488729009561","0.838336547426786","0.874640910592336"
"Very low transfer dependency","1997","Couple + C. GT 16 ","Male","1161","0.912873423965699","0.897465666873053","0.928281181058344"
"Very low transfer dependency","1997","Couple + C. GT 16 ","Female","948","0.909008616018104","0.89176837338582","0.926248858650388"
"Very low transfer dependency","1997","Couple + C. LE and GT 16","Male","532","0.888614126152775","0.863769675429006","0.913458576876545"
"Very low transfer dependency","1997","Couple + C. LE and GT 16","Female","506","0.876354147825101","0.849633719659232","0.903074575990971"
"Low transfer dependency","1997","1-pers.-HH","Male","21","","",""
"Low transfer dependency","1997","1-pers.-HH","Female","22","","",""
"Low transfer dependency","1997","(Married) couple without C. ","Male","110","0.0500443591560427","0.0399549414875295","0.0601337768245558"
"Low transfer dependency","1997","(Married) couple without C. ","Female","112","0.0545009975741619","0.0440170703422185","0.0649849248061053"
"Low transfer dependency","1997","Single parent ","Male","21","","",""
"Low transfer dependency","1997","Single parent ","Female","36","0.0762401153316997","0.0503942009690648","0.102086029694335"
"Low transfer dependency","1997","Couple + C. LE 16 ","Male","144","0.0954723207960173","0.0799846299345395","0.110960011657495"
"Low transfer dependency","1997","Couple + C. LE 16 ","Female","152","0.0935963506678911","0.0785158667978862","0.108676834537896"
"Low transfer dependency","1997","Couple + C. GT 16 ","Male","89","0.0572371333689791","0.044546041466912","0.0699282252710462"
"Low transfer dependency","1997","Couple + C. GT 16 ","Female","86","0.0571741904056488","0.0432562497112443","0.0710921311000532"
"Low transfer dependency","1997","Couple + C. LE and GT 16","Male","57","0.0756915501318492","0.0548038849992062","0.0965792152644921"
"Low transfer dependency","1997","Couple + C. LE and GT 16","Female","50","0.0750736773467239","0.0536836555048689","0.096463699188579"
"High transfer dependency","1997","1-pers.-HH","Male","15","","",""
"High transfer dependency","1997","1-pers.-HH","Female","17","","",""
"High transfer dependency","1997","(Married) couple without C. ","Male","43","0.0181193217135081","0.0119471614152033","0.024291482011813"
"High transfer dependency","1997","(Married) couple without C. ","Female","43","0.0197354047728013","0.013311694980491","0.0261591145651116"
"High transfer dependency","1997","Single parent ","Male","6","","",""
"High transfer dependency","1997","Single parent ","Female","30","0.0812336220090888","0.0546269206335071","0.10784032338467"
"High transfer dependency","1997","Couple + C. LE 16 ","Male","34","0.0207661394015317","0.0132506356712908","0.0282816431317727"
"High transfer dependency","1997","Couple + C. LE 16 ","Female","36","0.0238117272295792","0.0159179068805048","0.0317055475786536"
"High transfer dependency","1997","Couple + C. GT 16 ","Male","18","","",""
"High transfer dependency","1997","Couple + C. GT 16 ","Female","18","","",""
"High transfer dependency","1997","Couple + C. LE and GT 16","Male","16","","",""
"High transfer dependency","1997","Couple + C. LE and GT 16","Female","16","","",""
"Very high transfer dependency","1997","1-pers.-HH","Male","38","0.0598203844291926","0.039799478563625","0.0798412902947601"
"Very high transfer dependency","1997","1-pers.-HH","Female","35","0.0388161058055784","0.0263211140344618","0.0513110975766949"
"Very high transfer dependency","1997","(Married) couple without C. ","Male","37","0.0190410127915655","0.0127167876951763","0.0253652378879547"
"Very high transfer dependency","1997","(Married) couple without C. ","Female","36","0.0180533466180436","0.0119042114161128","0.0242024818199743"
"Very high transfer dependency","1997","Single parent ","Male","3","","",""
"Very high transfer dependency","1997","Single parent ","Female","47","0.130244225906223","0.0974650161644177","0.163023435648028"
"Very high transfer dependency","1997","Couple + C. LE 16 ","Male","39","0.0248346170075826","0.0166328982606973","0.0330363357544679"
"Very high transfer dependency","1997","Couple + C. LE 16 ","Female","40","0.026103193092969","0.0178479800659271","0.0343584061200109"
"Very high transfer dependency","1997","Couple + C. GT 16 ","Male","19","","",""
"Very high transfer dependency","1997","Couple + C. GT 16 ","Female","17","","",""
"Very high transfer dependency","1997","Couple + C. LE and GT 16","Male","11","","",""
"Very high transfer dependency","1997","Couple + C. LE and GT 16","Female","11","","",""
"Very low transfer dependency","1998","1-pers.-HH","Male","559","0.840761246238071","0.812888495951273","0.86863399652487"
"Very low transfer dependency","1998","1-pers.-HH","Female","1018","0.939847462756561","0.925770839871678","0.953924085641443"
"Very low transfer dependency","1998","(Married) couple without C. ","Male","1872","0.922370447887091","0.910831952980635","0.933908942793547"
"Very low transfer dependency","1998","(Married) couple without C. ","Female","1898","0.922276635981234","0.910803724335418","0.93374954762705"
"Very low transfer dependency","1998","Single parent ","Male","202","0.859456686353536","0.815577692414567","0.903335680292505"
"Very low transfer dependency","1998","Single parent ","Female","321","0.696158724017287","0.654266336128448","0.738051111906125"
"Very low transfer dependency","1998","Couple + C. LE 16 ","Male","1263","0.86598070828711","0.848820485525994","0.883140931048227"
"Very low transfer dependency","1998","Couple + C. LE 16 ","Female","1296","0.856041979378915","0.838633010824721","0.87345094793311"
"Very low transfer dependency","1998","Couple + C. GT 16 ","Male","1272","0.911145607319351","0.896235781221003","0.9260554334177"
"Very low transfer dependency","1998","Couple + C. GT 16 ","Female","1048","0.92423557152564","0.908994418386467","0.939476724664812"
"Very low transfer dependency","1998","Couple + C. LE and GT 16","Male","554","0.883018508657459","0.858118380390949","0.907918636923969"
"Very low transfer dependency","1998","Couple + C. LE and GT 16","Female","524","0.890762724908936","0.8658445464373","0.915680903380571"
"Low transfer dependency","1998","1-pers.-HH","Male","28","","",""
"Low transfer dependency","1998","1-pers.-HH","Female","21","","",""
"Low transfer dependency","1998","(Married) couple without C. ","Male","120","0.0483043674221929","0.0390589788203103","0.0575497560240754"
"Low transfer dependency","1998","(Married) couple without C. ","Female","123","0.0493276017089851","0.0400480350953998","0.0586071683225703"
"Low transfer dependency","1998","Single parent ","Male","22","","",""
"Low transfer dependency","1998","Single parent ","Female","49","0.0973957911569788","0.0703887897195895","0.124402792594368"
"Low transfer dependency","1998","Couple + C. LE 16 ","Male","167","0.0815533074616035","0.0677674774149242","0.0953391375082829"
"Low transfer dependency","1998","Couple + C. LE 16 ","Female","179","0.0903626455698307","0.076144721578973","0.104580569560688"
"Low transfer dependency","1998","Couple + C. GT 16 ","Male","85","0.0629657409584825","0.0502374783315603","0.0756940035854048"
"Low transfer dependency","1998","Couple + C. GT 16 ","Female","76","0.0544839507367002","0.0414113330698738","0.0675565684035266"
"Low transfer dependency","1998","Couple + C. LE and GT 16","Male","57","0.0775673667948847","0.0568437784100691","0.0982909551797004"
"Low transfer dependency","1998","Couple + C. LE and GT 16","Female","51","0.0579295910389462","0.0392682969142594","0.076590885163633"
"High transfer dependency","1998","1-pers.-HH","Male","15","","",""
"High transfer dependency","1998","1-pers.-HH","Female","17","","",""
"High transfer dependency","1998","(Married) couple without C. ","Male","34","0.0140317514907126","0.00895985549410179","0.0191036474873233"
"High transfer dependency","1998","(Married) couple without C. ","Female","34","0.0145255624182046","0.00939864394887822","0.0196524808875309"
"High transfer dependency","1998","Single parent ","Male","8","","",""
"High transfer dependency","1998","Single parent ","Female","27","","",""
"High transfer dependency","1998","Couple + C. LE 16 ","Male","44","0.0247174821799843","0.0168966586229811","0.0325383057369875"
"High transfer dependency","1998","Couple + C. LE 16 ","Female","46","0.0256753438893681","0.0178317056115124","0.0335189821672239"
"High transfer dependency","1998","Couple + C. GT 16 ","Male","27","","",""
"High transfer dependency","1998","Couple + C. GT 16 ","Female","20","","",""
"High transfer dependency","1998","Couple + C. LE and GT 16","Male","17","","",""
"High transfer dependency","1998","Couple + C. LE and GT 16","Female","14","","",""
"Very high transfer dependency","1998","1-pers.-HH","Male","60","0.0944172910654729","0.072142741781645","0.116691840349301"
"Very high transfer dependency","1998","1-pers.-HH","Female","40","0.0330381804829044","0.0224564782167785","0.0436198827490302"
"Very high transfer dependency","1998","(Married) couple without C. ","Male","40","0.0152934332000036","0.010001810817808","0.0205850555821993"
"Very high transfer dependency","1998","(Married) couple without C. ","Female","37","0.0138701998915765","0.00885860852459783","0.0188817912585552"
"Very high transfer dependency","1998","Single parent ","Male","9","","",""
"Very high transfer dependency","1998","Single parent ","Female","66","0.157712134758543","0.124513484848061","0.190910784669025"
"Very high transfer dependency","1998","Couple + C. LE 16 ","Male","40","0.0277485020713019","0.0194749074929857","0.0360220966496182"
"Very high transfer dependency","1998","Couple + C. LE 16 ","Female","41","0.0279200311618859","0.0197501352671012","0.0360899270566706"
"Very high transfer dependency","1998","Couple + C. GT 16 ","Male","15","","",""
"Very high transfer dependency","1998","Couple + C. GT 16 ","Female","14","","",""
"Very high transfer dependency","1998","Couple + C. LE and GT 16","Male","12","","",""
"Very high transfer dependency","1998","Couple + C. LE and GT 16","Female","13","","",""
"Very low transfer dependency","1999","1-pers.-HH","Male","556","0.857671528182341","0.830955505961329","0.884387550403353"
"Very low transfer dependency","1999","1-pers.-HH","Female","957","0.932810884548516","0.917566339161722","0.94805542993531"
"Very low transfer dependency","1999","(Married) couple without C. ","Male","1907","0.942034757544742","0.931941363937627","0.952128151151858"
"Very low transfer dependency","1999","(Married) couple without C. ","Female","1908","0.936534507865064","0.926024366176918","0.947044649553209"
"Very low transfer dependency","1999","Single parent ","Male","194","0.815455975170511","0.766979527079591","0.863932423261432"
"Very low transfer dependency","1999","Single parent ","Female","312","0.694534999509977","0.65275990441741","0.736310094602543"
"Very low transfer dependency","1999","Couple + C. LE 16 ","Male","1252","0.868766031496036","0.851563523030342","0.885968539961731"
"Very low transfer dependency","1999","Couple + C. LE 16 ","Female","1266","0.860579074599933","0.843073210837268","0.878084938362598"
"Very low transfer dependency","1999","Couple + C. GT 16 ","Male","1242","0.945867709170745","0.933752271860124","0.957983146481365"
"Very low transfer dependency","1999","Couple + C. GT 16 ","Female","1062","0.94581788538894","0.932773814571233","0.958861956206647"
"Very low transfer dependency","1999","Couple + C. LE and GT 16","Male","501","0.86708405440034","0.839874799981708","0.894293308818973"
"Very low transfer dependency","1999","Couple + C. LE and GT 16","Female","465","0.868255444432632","0.840293328677542","0.896217560187722"
"Low transfer dependency","1999","1-pers.-HH","Male","28","","",""
"Low transfer dependency","1999","1-pers.-HH","Female","21","","",""
"Low transfer dependency","1999","(Married) couple without C. ","Male","94","0.0366272521969824","0.0285135462258257","0.0447409581681391"
"Low transfer dependency","1999","(Married) couple without C. ","Female","101","0.0414881110672845","0.0328912791473385","0.0500849429872305"
"Low transfer dependency","1999","Single parent ","Male","32","0.101240014246187","0.0635454696650177","0.138934558827356"
"Low transfer dependency","1999","Single parent ","Female","62","0.113136780001084","0.0844078216391596","0.141865738363008"
"Low transfer dependency","1999","Couple + C. LE 16 ","Male","163","0.08775166697784","0.0733371046553381","0.102166229300342"
"Low transfer dependency","1999","Couple + C. LE 16 ","Female","168","0.0930100223092948","0.0783312311648023","0.107688813453787"
"Low transfer dependency","1999","Couple + C. GT 16 ","Male","71","0.040733950809642","0.0301501051972195","0.0513177964220644"
"Low transfer dependency","1999","Couple + C. GT 16 ","Female","66","0.0381464928298622","0.0271091842257128","0.0491838014340115"
"Low transfer dependency","1999","Couple + C. LE and GT 16","Male","62","0.0912501487949004","0.0681701136365363","0.114330183953264"
"Low transfer dependency","1999","Couple + C. LE and GT 16","Female","66","0.0881050668929919","0.0646707241674673","0.111539409618517"
"High transfer dependency","1999","1-pers.-HH","Male","22","","",""
"High transfer dependency","1999","1-pers.-HH","Female","24","","",""
"High transfer dependency","1999","(Married) couple without C. ","Male","34","0.0115246963826942","0.0069145196375827","0.0161348731278056"
"High transfer dependency","1999","(Married) couple without C. ","Female","35","0.0124612246214202","0.0076789413921796","0.0172435078506608"
"High transfer dependency","1999","Single parent ","Male","9","","",""
"High transfer dependency","1999","Single parent ","Female","28","","",""
"High transfer dependency","1999","Couple + C. LE 16 ","Male","33","0.020558195540934","0.0133288489230333","0.0277875421588347"
"High transfer dependency","1999","Couple + C. LE 16 ","Female","36","0.0230076354714139","0.0154304877945656","0.0305847831482621"
"High transfer dependency","1999","Couple + C. GT 16 ","Male","18","","",""
"High transfer dependency","1999","Couple + C. GT 16 ","Female","20","","",""
"High transfer dependency","1999","Couple + C. LE and GT 16","Male","25","","",""
"High transfer dependency","1999","Couple + C. LE and GT 16","Female","21","","",""
"Very high transfer dependency","1999","1-pers.-HH","Male","51","0.0683233509937059","0.0490311138846886","0.0876155881027232"
"Very high transfer dependency","1999","1-pers.-HH","Female","34","0.0280551421154719","0.0179998367732585","0.0381104474576853"
"Very high transfer dependency","1999","(Married) couple without C. ","Male","24","","",""
"Very high transfer dependency","1999","(Married) couple without C. ","Female","23","","",""
"Very high transfer dependency","1999","Single parent ","Male","11","","",""
"Very high transfer dependency","1999","Single parent ","Female","65","0.141992175788718","0.110335341572164","0.173649010005273"
"Very high transfer dependency","1999","Couple + C. LE 16 ","Male","32","0.0229241059851896","0.0152993212601619","0.0305488907102172"
"Very high transfer dependency","1999","Couple + C. LE 16 ","Female","34","0.0234032676193581","0.0157627979550723","0.031043737283644"
"Very high transfer dependency","1999","Couple + C. GT 16 ","Male","9","","",""
"Very high transfer dependency","1999","Couple + C. GT 16 ","Female","9","","",""
"Very high transfer dependency","1999","Couple + C. LE and GT 16","Male","10","","",""
"Very high transfer dependency","1999","Couple + C. LE and GT 16","Female","10","","",""
"Very low transfer dependency","2000","1-pers.-HH","Male","1219","0.889028398627108","0.8725399252355","0.905516872018716"
"Very low transfer dependency","2000","1-pers.-HH","Female","1839","0.94791787160807","0.938078653435915","0.957757089780225"
"Very low transfer dependency","2000","(Married) couple without C. ","Male","3519","0.944222682024453","0.936899990884821","0.951545373164084"
"Very low transfer dependency","2000","(Married) couple without C. ","Female","3545","0.944185988640151","0.936885179338805","0.951486797941498"
"Very low transfer dependency","2000","Single parent ","Male","306","0.851021044945985","0.814690867440319","0.887351222451651"
