"transab_cat2","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Very low transfer dependency","1992","Not Working","Couple + C. GT 16 ","719","0.948800711972338","0.9334990574559","0.964102366488776","0"
"Very low transfer dependency","1992","Not Working","Couple + C. LE and GT 16","253","0.880044670618506","0.843093176909306","0.916996164327705","0"
"High transfer dependency","1993","Full Time","1-pers.-HH","1","","","","2"
"High transfer dependency","1993","Full Time","(Married) couple without C. ","6","","","","2"
"High transfer dependency","1993","Full Time","Single parent ","5","","","","2"
"High transfer dependency","1993","Full Time","Couple + C. LE 16 ","15","","","","2"
"High transfer dependency","1993","Full Time","Couple + C. GT 16 ","","","","","2"
"High transfer dependency","1993","Full Time","Couple + C. LE and GT 16","4","","","","2"
"High transfer dependency","1993","Part Time","1-pers.-HH","11","","","","2"
"High transfer dependency","1993","Part Time","Couple + C. LE and GT 16","4","","","","2"
"High transfer dependency","1993","Not Working","Single parent ","11","","","","2"
"High transfer dependency","1993","Not Working","Couple + C. LE 16 ","33","0.0487611662536555","0.031427015374139","0.0660953171331719","2"
"High transfer dependency","1993","Part Time","(Married) couple without C. ","19","","","","2"
"High transfer dependency","1993","Part Time","Single parent ","11","","","","2"
"High transfer dependency","1993","Part Time","Couple + C. LE 16 ","23","","","","2"
"High transfer dependency","1993","Part Time","Couple + C. GT 16 ","3","","","","2"
"High transfer dependency","1993","Not Working","1-pers.-HH","10","","","","2"
"High transfer dependency","1993","Not Working","(Married) couple without C. ","25","","","","2"
"High transfer dependency","1993","Not Working","Couple + C. GT 16 ","13","","","","2"
"High transfer dependency","1993","Not Working","Couple + C. LE and GT 16","14","","","","2"
"Low transfer dependency","1993","Full Time","(Married) couple without C. ","34","0.0170901220024693","0.0103560916071234","0.0238241523978152","1"
"Low transfer dependency","1993","Part Time","1-pers.-HH","17","","","","1"
"Low transfer dependency","1993","Part Time","Couple + C. LE 16 ","57","0.0532553354567237","0.0370000687633319","0.0695106021501155","1"
"Low transfer dependency","1993","Full Time","1-pers.-HH","3","","","","1"
"Low transfer dependency","1993","Full Time","Single parent ","12","","","","1"
"Low transfer dependency","1993","Full Time","Couple + C. GT 16 ","43","0.0221465436490603","0.0140306512281214","0.0302624360699991","1"
"Low transfer dependency","1993","Full Time","Couple + C. LE and GT 16","24","","","","1"
"Low transfer dependency","1993","Full Time","Couple + C. LE 16 ","107","0.0487209705638507","0.038685935650492","0.0587560054772093","1"
"Low transfer dependency","1993","Part Time","(Married) couple without C. ","22","","","","1"
"Low transfer dependency","1993","Part Time","Single parent ","18","","","","1"
"Low transfer dependency","1993","Part Time","Couple + C. GT 16 ","40","0.0454061545123414","0.0280540481247611","0.0627582608999218","1"
"Low transfer dependency","1993","Not Working","(Married) couple without C. ","65","0.0279289355451344","0.0194829447368333","0.0363749263534355","1"
"Low transfer dependency","1993","Not Working","Single parent ","21","","","","1"
"Low transfer dependency","1993","Part Time","Couple + C. LE and GT 16","24","","","","1"
"Low transfer dependency","1993","Not Working","1-pers.-HH","13","","","","1"
"Low transfer dependency","1993","Not Working","Couple + C. LE and GT 16","41","0.108443626922745","0.0745339812825555","0.142353272562935","1"
"Low transfer dependency","1993","Not Working","Couple + C. LE 16 ","97","0.109034884152793","0.0839487449549613","0.134121023350624","1"
"Low transfer dependency","1993","Not Working","Couple + C. GT 16 ","71","0.0577646308761983","0.041123404913194","0.0744058568392026","1"
"Very high transfer dependency","1993","Full Time","(Married) couple without C. ","1","","","","3"
"Very high transfer dependency","1993","Full Time","1-pers.-HH","1","","","","3"
"Very high transfer dependency","1993","Full Time","Single parent ","1","","","","3"
"Very high transfer dependency","1993","Full Time","Couple + C. LE 16 ","1","","","","3"
"Very high transfer dependency","1993","Full Time","Couple + C. GT 16 ","","","","","3"
"Very high transfer dependency","1993","Full Time","Couple + C. LE and GT 16","1","","","","3"
"Very high transfer dependency","1993","Part Time","Single parent ","6","","","","3"
"Very high transfer dependency","1993","Part Time","Couple + C. LE 16 ","11","","","","3"
"Very high transfer dependency","1993","Part Time","1-pers.-HH","1","","","","3"
"Very high transfer dependency","1993","Part Time","(Married) couple without C. ","4","","","","3"
"Very high transfer dependency","1993","Part Time","Couple + C. GT 16 ","1","","","","3"
"Very high transfer dependency","1993","Part Time","Couple + C. LE and GT 16","1","","","","3"
"Very high transfer dependency","1993","Not Working","1-pers.-HH","47","0.0527501719020718","0.0363309602418364","0.0691693835623071","3"
"Very high transfer dependency","1993","Not Working","(Married) couple without C. ","27","","","","3"
"Very high transfer dependency","1993","Not Working","Single parent ","35","0.161615678601852","0.110213882211935","0.213017474991769","3"
"Very high transfer dependency","1993","Not Working","Couple + C. LE 16 ","28","","","","3"
"Very high transfer dependency","1993","Not Working","Couple + C. GT 16 ","12","","","","3"
"Very high transfer dependency","1993","Not Working","Couple + C. LE and GT 16","7","","","","3"
"Very low transfer dependency","1993","Full Time","1-pers.-HH","555","0.993671020317429","0.987102882750461","1.0002391578844","0"
"Very low transfer dependency","1993","Full Time","(Married) couple without C. ","1382","0.977687770373149","0.970013851250136","0.985361689496163","0"
"Very low transfer dependency","1993","Full Time","Single parent ","233","0.9349002146399","0.904380277249694","0.965420152030107","0"
"Very low transfer dependency","1993","Full Time","Couple + C. LE 16 ","1645","0.944563660410138","0.933897211671641","0.955230109148634","0"
"Very low transfer dependency","1993","Full Time","Couple + C. GT 16 ","1220","0.97785345635094","0.969737563930001","0.985969348771879","0"
"Very low transfer dependency","1993","Full Time","Couple + C. LE and GT 16","576","0.967333785692234","0.953169065974596","0.981498505409872","0"
"Very low transfer dependency","1993","Part Time","1-pers.-HH","110","0.822617942406691","0.759114886651864","0.886120998161518","0"
"Very low transfer dependency","1993","Part Time","(Married) couple without C. ","395","0.928828634337369","0.904804806870282","0.952852461804456","0"
"Very low transfer dependency","1993","Part Time","Single parent ","123","0.826491303532189","0.767444102601414","0.885538504462964","0"
"Very low transfer dependency","1993","Part Time","Couple + C. LE 16 ","642","0.909004978175135","0.888184626960431","0.92982532938984","0"
"Very low transfer dependency","1993","Part Time","Couple + C. GT 16 ","509","0.950579708450617","0.93251493802976","0.968644478871474","0"
"Very low transfer dependency","1993","Part Time","Couple + C. LE and GT 16","229","0.90370410884332","0.867708025822459","0.93970019186418","0"
"Very low transfer dependency","1993","Not Working","1-pers.-HH","642","0.920771236003873","0.900931978858315","0.940610493149431","0"
"Very low transfer dependency","1993","Not Working","(Married) couple without C. ","1345","0.944298792277954","0.932542742192097","0.956054842363812","0"
"Very low transfer dependency","1993","Not Working","Single parent ","130","0.671021350750437","0.605411809075577","0.736630892425297","0"
"Very low transfer dependency","1993","Not Working","Couple + C. LE 16 ","435","0.809324845145539","0.777707220842604","0.840942469448475","0"
"Very low transfer dependency","1993","Not Working","Couple + C. GT 16 ","659","0.926687111131459","0.908094887134674","0.945279335128243","0"
"Very low transfer dependency","1993","Not Working","Couple + C. LE and GT 16","261","0.85270616979581","0.814057120953213","0.891355218638407","0"
"High transfer dependency","1994","Full Time","1-pers.-HH","1","","","","2"
"High transfer dependency","1994","Full Time","(Married) couple without C. ","5","","","","2"
"High transfer dependency","1994","Full Time","Single parent ","2","","","","2"
"High transfer dependency","1994","Full Time","Couple + C. LE 16 ","15","","","","2"
"High transfer dependency","1994","Full Time","Couple + C. GT 16 ","3","","","","2"
"High transfer dependency","1994","Full Time","Couple + C. LE and GT 16","3","","","","2"
"High transfer dependency","1994","Part Time","1-pers.-HH","10","","","","2"
"High transfer dependency","1994","Part Time","Couple + C. LE and GT 16","9","","","","2"
"High transfer dependency","1994","Not Working","Single parent ","8","","","","2"
"High transfer dependency","1994","Not Working","Couple + C. LE 16 ","33","0.0497139333383076","0.0329788903733281","0.0664489763032872","2"
"High transfer dependency","1994","Not Working","Couple + C. GT 16 ","16","","","","2"
"High transfer dependency","1994","Not Working","Couple + C. LE and GT 16","14","","","","2"
"High transfer dependency","1994","Part Time","(Married) couple without C. ","11","","","","2"
"High transfer dependency","1994","Part Time","Single parent ","4","","","","2"
"High transfer dependency","1994","Part Time","Couple + C. LE 16 ","28","","","","2"
"High transfer dependency","1994","Part Time","Couple + C. GT 16 ","9","","","","2"
"High transfer dependency","1994","Not Working","1-pers.-HH","11","","","","2"
"High transfer dependency","1994","Not Working","(Married) couple without C. ","35","0.0162260564579906","0.00986821857448789","0.0225838943414934","2"
"Low transfer dependency","1994","Full Time","1-pers.-HH","5","","","","1"
"Low transfer dependency","1994","Full Time","(Married) couple without C. ","36","0.0173935427279985","0.010612947519704","0.024174137936293","1"
"Low transfer dependency","1994","Full Time","Single parent ","4","","","","1"
"Low transfer dependency","1994","Full Time","Couple + C. LE 16 ","107","0.0526876055968562","0.0419662201715662","0.0634089910221462","1"
"Low transfer dependency","1994","Full Time","Couple + C. GT 16 ","29","","","","1"
"Low transfer dependency","1994","Full Time","Couple + C. LE and GT 16","24","","","","1"
"Low transfer dependency","1994","Part Time","1-pers.-HH","14","","","","1"
"Low transfer dependency","1994","Part Time","Couple + C. LE 16 ","67","0.0705093147633711","0.0514353572126121","0.0895832723141301","1"
"Low transfer dependency","1994","Part Time","(Married) couple without C. ","28","","","","1"
"Low transfer dependency","1994","Part Time","Single parent ","20","","","","1"
"Low transfer dependency","1994","Part Time","Couple + C. GT 16 ","33","0.0503343560624195","0.0311705966153943","0.0694981155094447","1"
"Low transfer dependency","1994","Not Working","(Married) couple without C. ","62","0.0275991870945752","0.0193554126148194","0.035842961574331","1"
"Low transfer dependency","1994","Not Working","Single parent ","18","","","","1"
"Low transfer dependency","1994","Part Time","Couple + C. LE and GT 16","24","","","","1"
"Low transfer dependency","1994","Not Working","1-pers.-HH","16","","","","1"
"Low transfer dependency","1994","Not Working","Couple + C. LE and GT 16","36","0.0704748586601543","0.0427338727420872","0.0982158445782214","1"
"Low transfer dependency","1994","Not Working","Couple + C. LE 16 ","101","0.123626563389588","0.0982833844997414","0.148969742279435","1"
"Low transfer dependency","1994","Not Working","Couple + C. GT 16 ","90","0.0809986176113566","0.0619973582485118","0.0999998769742015","1"
"Very high transfer dependency","1994","Full Time","(Married) couple without C. ","","","","","3"
"Very high transfer dependency","1994","Full Time","1-pers.-HH","1","","","","3"
"Very high transfer dependency","1994","Full Time","Single parent ","1","","","","3"
"Very high transfer dependency","1994","Full Time","Couple + C. LE 16 ","1","","","","3"
"Very high transfer dependency","1994","Full Time","Couple + C. GT 16 ","1","","","","3"
"Very high transfer dependency","1994","Full Time","Couple + C. LE and GT 16","2","","","","3"
"Very high transfer dependency","1994","Part Time","Couple + C. LE 16 ","5","","","","3"
"Very high transfer dependency","1994","Part Time","Couple + C. LE and GT 16","2","","","","3"
"Very high transfer dependency","1994","Not Working","1-pers.-HH","44","0.0563610485818151","0.039608732322664","0.0731133648409661","3"
"Very high transfer dependency","1994","Not Working","(Married) couple without C. ","33","0.0201081269800642","0.013044460455285","0.0271717935048434","3"
"Very high transfer dependency","1994","Part Time","1-pers.-HH","9","","","","3"
"Very high transfer dependency","1994","Part Time","(Married) couple without C. ","5","","","","3"
"Very high transfer dependency","1994","Part Time","Single parent ","8","","","","3"
"Very high transfer dependency","1994","Part Time","Couple + C. GT 16 ","","","","","3"
"Very high transfer dependency","1994","Not Working","Single parent ","38","0.1951766675399","0.140110382140974","0.250242952938825","3"
"Very high transfer dependency","1994","Not Working","Couple + C. LE 16 ","49","0.0586407984019484","0.0405508132056368","0.0767307835982601","3"
"Very high transfer dependency","1994","Not Working","Couple + C. GT 16 ","17","","","","3"
"Very high transfer dependency","1994","Not Working","Couple + C. LE and GT 16","8","","","","3"
"Very low transfer dependency","1994","Full Time","1-pers.-HH","534","0.987683121961559","0.978388995120493","0.996977248802626","0"
"Very low transfer dependency","1994","Full Time","(Married) couple without C. ","1387","0.979078585601676","0.971655434787464","0.986501736415888","0"
"Very low transfer dependency","1994","Full Time","Single parent ","240","0.98651014402896","0.972123680519974","1.00089660753795","0"
"Very low transfer dependency","1994","Full Time","Couple + C. LE 16 ","1545","0.938593965079309","0.927072851071444","0.950115079087173","0"
"Very low transfer dependency","1994","Full Time","Couple + C. GT 16 ","1121","0.977892137226986","0.969408852496208","0.986375421957764","0"
"Very low transfer dependency","1994","Full Time","Couple + C. LE and GT 16","549","0.968801625291443","0.954628436043134","0.982974814539752","0"
"Very low transfer dependency","1994","Part Time","1-pers.-HH","107","0.779776946543968","0.711133250606142","0.848420642481794","0"
"Very low transfer dependency","1994","Part Time","(Married) couple without C. ","405","0.931268061341921","0.907866675798042","0.954669446885799","0"
"Very low transfer dependency","1994","Part Time","Single parent ","97","0.772263085497731","0.699894082430652","0.844632088564811","0"
"Very low transfer dependency","1994","Part Time","Couple + C. LE 16 ","592","0.888911423713968","0.865498320051711","0.912324527376226","0"
"Very low transfer dependency","1994","Part Time","Couple + C. GT 16 ","458","0.914809591841759","0.890340165206116","0.939279018477401","0"
"Very low transfer dependency","1994","Part Time","Couple + C. LE and GT 16","237","0.907428184390723","0.872984534833964","0.941871833947481","0"
"Very low transfer dependency","1994","Not Working","1-pers.-HH","657","0.920630513780726","0.900994565999597","0.940266461561855","0"
"Very low transfer dependency","1994","Not Working","(Married) couple without C. ","1387","0.93606662946737","0.923756220455685","0.948377038479055","0"
"Very low transfer dependency","1994","Not Working","Single parent ","135","0.698609214268062","0.634855764058269","0.762362664477854","0"
"Very low transfer dependency","1994","Not Working","Couple + C. LE 16 ","465","0.768018704870156","0.73551948237817","0.800517927362142","0"
"Very low transfer dependency","1994","Not Working","Couple + C. GT 16 ","669","0.893120749716606","0.871603473779714","0.914638025653497","0"
"Very low transfer dependency","1994","Not Working","Couple + C. LE and GT 16","269","0.889057510442326","0.855017624528797","0.923097396355855","0"
"High transfer dependency","1995","Full Time","1-pers.-HH","1","","","","2"
"High transfer dependency","1995","Full Time","(Married) couple without C. ","3","","","","2"
"High transfer dependency","1995","Full Time","Single parent ","2","","","","2"
"High transfer dependency","1995","Full Time","Couple + C. LE 16 ","11","","","","2"
"High transfer dependency","1995","Full Time","Couple + C. GT 16 ","4","","","","2"
"High transfer dependency","1995","Full Time","Couple + C. LE and GT 16","5","","","","2"
"High transfer dependency","1995","Part Time","1-pers.-HH","8","","","","2"
"High transfer dependency","1995","Part Time","Couple + C. LE and GT 16","4","","","","2"
"High transfer dependency","1995","Not Working","Single parent ","22","","","","2"
"High transfer dependency","1995","Not Working","Couple + C. LE 16 ","29","","","","2"
"High transfer dependency","1995","Not Working","Couple + C. GT 16 ","17","","","","2"
"High transfer dependency","1995","Not Working","Couple + C. LE and GT 16","23","","","","2"
"High transfer dependency","1995","Part Time","(Married) couple without C. ","11","","","","2"
"High transfer dependency","1995","Part Time","Single parent ","10","","","","2"
"High transfer dependency","1995","Part Time","Couple + C. LE 16 ","30","0.0327412549049683","0.0201960621946712","0.0452864476152653","2"
"High transfer dependency","1995","Part Time","Couple + C. GT 16 ","8","","","","2"
"High transfer dependency","1995","Not Working","1-pers.-HH","13","","","","2"
"High transfer dependency","1995","Not Working","(Married) couple without C. ","25","","","","2"
"Low transfer dependency","1995","Full Time","1-pers.-HH","4","","","","1"
"Low transfer dependency","1995","Full Time","(Married) couple without C. ","36","0.0188720396449031","0.0119017664706471","0.025842312819159","1"
"Low transfer dependency","1995","Full Time","Single parent ","5","","","","1"
"Low transfer dependency","1995","Full Time","Couple + C. LE 16 ","79","0.04164149307335","0.031970172882551","0.051312813264149","1"
"Low transfer dependency","1995","Full Time","Couple + C. GT 16 ","32","0.0226323038860878","0.0139949721054538","0.0312696356667219","1"
"Low transfer dependency","1995","Full Time","Couple + C. LE and GT 16","25","","","","1"
"Low transfer dependency","1995","Part Time","1-pers.-HH","27","","","","1"
"Low transfer dependency","1995","Part Time","Couple + C. LE 16 ","65","0.0628089324689632","0.0457055061769073","0.079912358761019","1"
"Low transfer dependency","1995","Part Time","(Married) couple without C. ","31","0.042622909124442","0.0249870799951924","0.0602587382536916","1"
"Low transfer dependency","1995","Part Time","Single parent ","24","","","","1"
"Low transfer dependency","1995","Part Time","Couple + C. GT 16 ","30","0.0506773985276995","0.0320215547144585","0.0693332423409404","1"
"Low transfer dependency","1995","Not Working","(Married) couple without C. ","67","0.0299331493551436","0.0214444793429585","0.0384218193673288","1"
"Low transfer dependency","1995","Not Working","Single parent ","19","","","","1"
"Low transfer dependency","1995","Part Time","Couple + C. LE and GT 16","19","","","","1"
"Low transfer dependency","1995","Not Working","1-pers.-HH","15","","","","1"
"Low transfer dependency","1995","Not Working","Couple + C. LE and GT 16","37","0.0628380541767971","0.0389670040626528","0.0867091042909413","1"
"Low transfer dependency","1995","Not Working","Couple + C. LE 16 ","88","0.104740005764828","0.0823727487291304","0.127107262800525","1"
"Low transfer dependency","1995","Not Working","Couple + C. GT 16 ","84","0.0789022902385693","0.0603598139509939","0.0974447665261446","1"
"Very high transfer dependency","1995","Full Time","(Married) couple without C. ","","","","","3"
"Very high transfer dependency","1995","Full Time","1-pers.-HH","","","","","3"
"Very high transfer dependency","1995","Full Time","Single parent ","","","","","3"
"Very high transfer dependency","1995","Full Time","Couple + C. LE 16 ","2","","","","3"
"Very high transfer dependency","1995","Full Time","Couple + C. GT 16 ","","","","","3"
"Very high transfer dependency","1995","Full Time","Couple + C. LE and GT 16","1","","","","3"
"Very high transfer dependency","1995","Part Time","Couple + C. LE 16 ","16","","","","3"
"Very high transfer dependency","1995","Part Time","Couple + C. LE and GT 16","3","","","","3"
"Very high transfer dependency","1995","Not Working","1-pers.-HH","57","0.0738043764975116","0.0549668163834335","0.0926419366115897","3"
"Very high transfer dependency","1995","Not Working","(Married) couple without C. ","49","0.0274336431657029","0.0192966495228343","0.0355706368085716","3"
"Very high transfer dependency","1995","Part Time","1-pers.-HH","5","","","","3"
"Very high transfer dependency","1995","Part Time","(Married) couple without C. ","3","","","","3"
"Very high transfer dependency","1995","Part Time","Single parent ","7","","","","3"
"Very high transfer dependency","1995","Part Time","Couple + C. GT 16 ","3","","","","3"
"Very high transfer dependency","1995","Not Working","Single parent ","43","0.184076463666633","0.13309697612263","0.235055951210636","3"
"Very high transfer dependency","1995","Not Working","Couple + C. LE 16 ","86","0.113311731795013","0.0901588655663595","0.136464598023666","3"
"Very high transfer dependency","1995","Not Working","Couple + C. GT 16 ","13","","","","3"
"Very high transfer dependency","1995","Not Working","Couple + C. LE and GT 16","25","","","","3"
"Very low transfer dependency","1995","Full Time","1-pers.-HH","517","0.989167208578145","0.980287107983747","0.998047309172543","0"
"Very low transfer dependency","1995","Full Time","(Married) couple without C. ","1425","0.979729264075118","0.972510458403981","0.986948069746256","0"
"Very low transfer dependency","1995","Full Time","Single parent ","222","0.98508482954809","0.969385493860934","1.00078416523525","0"
"Very low transfer dependency","1995","Full Time","Couple + C. LE 16 ","1547","0.950816744329697","0.940347492138717","0.961285996520677","0"
"Very low transfer dependency","1995","Full Time","Couple + C. GT 16 ","1103","0.971399971501883","0.961720124229341","0.981079818774425","0"
"Very low transfer dependency","1995","Full Time","Couple + C. LE and GT 16","548","0.960888667957905","0.945098140084025","0.976679195831786","0"
"Very low transfer dependency","1995","Part Time","1-pers.-HH","152","0.774785166522341","0.715698890212873","0.833871442831809","0"
"Very low transfer dependency","1995","Part Time","(Married) couple without C. ","459","0.939019430154175","0.91812811159667","0.95991074871168","0"
"Very low transfer dependency","1995","Part Time","Single parent ","118","0.797594147352191","0.735141329096482","0.8600469656079","0"
"Very low transfer dependency","1995","Part Time","Couple + C. LE 16 ","662","0.890022474897311","0.86796728497266","0.912077664821961","0"
"Very low transfer dependency","1995","Not Working","Couple + C. LE 16 ","517","0.747131351313014","0.715382514613888","0.778880188012141","0"
"Very low transfer dependency","1995","Part Time","Couple + C. GT 16 ","490","0.932303743208904","0.910935841753514","0.953671644664294","0"
"Very low transfer dependency","1995","Part Time","Couple + C. LE and GT 16","245","0.940407163818638","0.912222137962304","0.968592189674972","0"
"Very low transfer dependency","1995","Not Working","1-pers.-HH","655","0.896099311250165","0.874114663265148","0.918083959235182","0"
"Very low transfer dependency","1995","Not Working","(Married) couple without C. ","1407","0.931871716868696","0.91931996340256","0.944423470334833","0"
"Very low transfer dependency","1995","Not Working","Single parent ","138","0.670467256103618","0.60863577103269","0.732298741174546","0"
"Very low transfer dependency","1995","Not Working","Couple + C. GT 16 ","698","0.888001058728012","0.866309848832434","0.909692268623591","0"
"Very low transfer dependency","1995","Not Working","Couple + C. LE and GT 16","312","0.809301862182884","0.770657928018074","0.847945796347694","0"
"High transfer dependency","1996","Full Time","1-pers.-HH","","","","","2"
"High transfer dependency","1996","Full Time","Couple + C. LE 16 ","7","","","","2"
"High transfer dependency","1996","Full Time","Couple + C. GT 16 ","8","","","","2"
"High transfer dependency","1996","Not Working","Single parent ","19","","","","2"
"High transfer dependency","1996","Not Working","Couple + C. LE and GT 16","14","","","","2"
"High transfer dependency","1996","Full Time","(Married) couple without C. ","5","","","","2"
"High transfer dependency","1996","Full Time","Single parent ","3","","","","2"
"High transfer dependency","1996","Full Time","Couple + C. LE and GT 16","4","","","","2"
"High transfer dependency","1996","Part Time","1-pers.-HH","10","","","","2"
"High transfer dependency","1996","Part Time","(Married) couple without C. ","20","","","","2"
"High transfer dependency","1996","Part Time","Single parent ","14","","","","2"
"High transfer dependency","1996","Part Time","Couple + C. LE 16 ","25","","","","2"
"High transfer dependency","1996","Part Time","Couple + C. LE and GT 16","15","","","","2"
"High transfer dependency","1996","Not Working","1-pers.-HH","16","","","","2"
"High transfer dependency","1996","Not Working","(Married) couple without C. ","44","0.0245126491112204","0.0168219059396735","0.0322033922827672","2"
"High transfer dependency","1996","Not Working","Couple + C. LE 16 ","31","0.042103224827512","0.0267703913194256","0.0574360583355984","2"
"High transfer dependency","1996","Not Working","Couple + C. GT 16 ","32","0.0285239239509435","0.0168790725054297","0.0401687753964573","2"
"High transfer dependency","1996","Part Time","Couple + C. GT 16 ","13","","","","2"
"Low transfer dependency","1996","Full Time","(Married) couple without C. ","34","0.0165783236779526","0.00998115042264665","0.0231754969332586","1"
"Low transfer dependency","1996","Full Time","1-pers.-HH","3","","","","1"
"Low transfer dependency","1996","Full Time","Couple + C. LE 16 ","88","0.0497698758266392","0.0389609989439505","0.060578752709328","1"
"Low transfer dependency","1996","Full Time","Couple + C. GT 16 ","44","0.0308590932536397","0.0204286881798818","0.0412894983273975","1"
"Low transfer dependency","1996","Full Time","Couple + C. LE and GT 16","25","","","","1"
"Low transfer dependency","1996","Part Time","1-pers.-HH","19","","","","1"
"Low transfer dependency","1996","Part Time","Couple + C. LE 16 ","46","0.0605411303374502","0.043630275566422","0.0774519851084785","1"
"Low transfer dependency","1996","Part Time","Couple + C. GT 16 ","43","0.0659292647726603","0.0444549948543813","0.0874035346909394","1"
"Low transfer dependency","1996","Full Time","Single parent ","7","","","","1"
"Low transfer dependency","1996","Part Time","(Married) couple without C. ","43","0.0740784363027478","0.0523676681539583","0.0957892044515372","1"
"Low transfer dependency","1996","Part Time","Single parent ","18","","","","1"
"Low transfer dependency","1996","Part Time","Couple + C. LE and GT 16","24","","","","1"
"Low transfer dependency","1996","Not Working","1-pers.-HH","21","","","","1"
"Low transfer dependency","1996","Not Working","(Married) couple without C. ","102","0.0491143511335506","0.0383662754718322","0.0598624267952689","1"
"Low transfer dependency","1996","Not Working","Single parent ","16","","","","1"
"Low transfer dependency","1996","Not Working","Couple + C. LE and GT 16","31","0.0867666697482365","0.0572762190390627","0.11625712045741","1"
"Low transfer dependency","1996","Not Working","Couple + C. LE 16 ","83","0.101055141120373","0.0780433132580983","0.124066968982647","1"
"Low transfer dependency","1996","Not Working","Couple + C. GT 16 ","98","0.0991214625299114","0.0782174222504061","0.120025502809417","1"
"Very high transfer dependency","1996","Full Time","1-pers.-HH","","","","","3"
"Very high transfer dependency","1996","Full Time","(Married) couple without C. ","1","","","","3"
"Very high transfer dependency","1996","Full Time","Single parent ","1","","","","3"
"Very high transfer dependency","1996","Full Time","Couple + C. LE 16 ","","","","","3"
"Very high transfer dependency","1996","Full Time","Couple + C. GT 16 ","","","","","3"
"Very high transfer dependency","1996","Full Time","Couple + C. LE and GT 16","1","","","","3"
"Very high transfer dependency","1996","Part Time","Couple + C. LE 16 ","5","","","","3"
"Very high transfer dependency","1996","Part Time","Couple + C. LE and GT 16","5","","","","3"
"Very high transfer dependency","1996","Not Working","1-pers.-HH","61","0.0633077060742618","0.0457506120810795","0.080864800067444","3"
"Very high transfer dependency","1996","Not Working","(Married) couple without C. ","83","0.0398340945175494","0.0301074514712587","0.0495607375638401","3"
"Very high transfer dependency","1996","Part Time","1-pers.-HH","4","","","","3"
"Very high transfer dependency","1996","Part Time","(Married) couple without C. ","6","","","","3"
"Very high transfer dependency","1996","Part Time","Single parent ","3","","","","3"
"Very high transfer dependency","1996","Part Time","Couple + C. GT 16 ","5","","","","3"
"Very high transfer dependency","1996","Not Working","Single parent ","46","0.222594618286596","0.168360201676805","0.276829034896387","3"
"Very high transfer dependency","1996","Not Working","Couple + C. LE 16 ","48","0.0592335171840369","0.0412103935302298","0.0772566408378439","3"
"Very high transfer dependency","1996","Not Working","Couple + C. GT 16 ","23","","","","3"
"Very high transfer dependency","1996","Not Working","Couple + C. LE and GT 16","21","","","","3"
"Very low transfer dependency","1996","Full Time","Couple + C. LE 16 ","1460","0.947540867822693","0.936459524244362","0.958622211401025","0"
"Very low transfer dependency","1996","Full Time","1-pers.-HH","556","0.997218806474517","0.99285311518717","1.00158449776186","0"
"Very low transfer dependency","1996","Full Time","(Married) couple without C. ","1399","0.980344518442589","0.973172376092398","0.98751666079278","0"
"Very low transfer dependency","1996","Full Time","Single parent ","239","0.963189073450782","0.939847924245121","0.986530222656443","0"
"Very low transfer dependency","1996","Full Time","Couple + C. GT 16 ","1004","0.966093136453105","0.955176987840384","0.977009285065827","0"
"Very low transfer dependency","1996","Full Time","Couple + C. LE and GT 16","546","0.941292190591216","0.922094587212738","0.960489793969693","0"
"Very low transfer dependency","1996","Part Time","1-pers.-HH","149","0.863238945508851","0.813320720975292","0.91315717004241","0"
"Very low transfer dependency","1996","Part Time","(Married) couple without C. ","490","0.884850580670729","0.858389472184883","0.911311689156574","0"
"Very low transfer dependency","1996","Part Time","Single parent ","141","0.833597420797478","0.7785736987097","0.888621142885255","0"
"Very low transfer dependency","1996","Part Time","Couple + C. LE 16 ","688","0.91081677794702","0.890607141449623","0.931026414444416","0"
"Very low transfer dependency","1996","Part Time","Couple + C. GT 16 ","452","0.900240640061532","0.874308071020979","0.926173209102084","0"
"Very low transfer dependency","1996","Part Time","Couple + C. LE and GT 16","277","0.895459009752027","0.861988545609645","0.92892947389441","0"
"Very low transfer dependency","1996","Not Working","1-pers.-HH","641","0.89725935675626","0.875368840192112","0.919149873320408","0"
"Very low transfer dependency","1996","Not Working","(Married) couple without C. ","1324","0.88653890523768","0.870765162712994","0.902312647762365","0"
"Very low transfer dependency","1996","Not Working","Single parent ","145","0.662019220591289","0.600349046797228","0.723689394385349","0"
"Very low transfer dependency","1996","Not Working","Couple + C. LE 16 ","497","0.797608116868078","0.766932259356434","0.828283974379723","0"
"Very low transfer dependency","1996","Not Working","Couple + C. GT 16 ","632","0.856936402773791","0.832442830525297","0.881429975022284","0"
"Very low transfer dependency","1996","Not Working","Couple + C. LE and GT 16","284","0.8279801122596","0.788442234762754","0.867517989756446","0"
"High transfer dependency","1997","Full Time","1-pers.-HH","3","","","","2"
"High transfer dependency","1997","Full Time","Couple + C. LE 16 ","15","","","","2"
"High transfer dependency","1997","Full Time","Couple + C. GT 16 ","4","","","","2"
"High transfer dependency","1997","Not Working","Single parent ","16","","","","2"
"High transfer dependency","1997","Not Working","Couple + C. LE and GT 16","18","","","","2"
"High transfer dependency","1997","Full Time","(Married) couple without C. ","9","","","","2"
