"transab_cat2","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Very high transfer dependency","1997","direct migration background","West Germany","109","0.0543565894245113","0.0451744381029274","0.0635387407460951","3"
"Very high transfer dependency","1997","direct migration background","East Germany","5","","","","3"
"Very high transfer dependency","1997","indirect migration background","West Germany","19","","","","3"
"Very high transfer dependency","1997","indirect migration background","East Germany","1","","","","3"
"Very low transfer dependency","1997","no migration background","West Germany","5872","0.924725096233487","0.918217400658019","0.931232791808955","0"
"Very low transfer dependency","1997","no migration background","East Germany","2739","0.789653497479941","0.776038154458924","0.803268840500959","0"
"Very low transfer dependency","1997","direct migration background","East Germany","105","0.790034421399788","0.720022261942933","0.860046580856642","0"
"Very low transfer dependency","1997","direct migration background","West Germany","1937","0.838487745148906","0.82358364549979","0.853391844798023","0"
"Very low transfer dependency","1997","indirect migration background","East Germany","15","","","","0"
"Very low transfer dependency","1997","indirect migration background","West Germany","464","0.869140241388404","0.840955455960934","0.897325026815874","0"
"High transfer dependency","1998","no migration background","East Germany","129","0.031082235131325","0.0254882289000797","0.0366762413625704","2"
"High transfer dependency","1998","no migration background","West Germany","91","0.013816627225778","0.0111762509782034","0.0164570034733526","2"
"High transfer dependency","1998","direct migration background","East Germany","2","","","","2"
"High transfer dependency","1998","direct migration background","West Germany","77","0.027900136419416","0.0211520803038162","0.0346481925350157","2"
"High transfer dependency","1998","indirect migration background","West Germany","24","","","","2"
"High transfer dependency","1998","indirect migration background","East Germany","","","","","2"
"Low transfer dependency","1998","no migration background","East Germany","455","0.108670368907167","0.0986381243934325","0.118702613420901","1"
"Low transfer dependency","1998","no migration background","West Germany","297","0.0357812291289061","0.0315797580588823","0.0399827001989298","1"
"Low transfer dependency","1998","direct migration background","East Germany","20","","","","1"
"Low transfer dependency","1998","direct migration background","West Germany","228","0.0798040701590528","0.0687002413931218","0.0909078989249838","1"
"Low transfer dependency","1998","indirect migration background","West Germany","48","0.0825106644561701","0.0600021050824987","0.105019223829842","1"
"Low transfer dependency","1998","indirect migration background","East Germany","3","","","","1"
"Very high transfer dependency","1998","no migration background","West Germany","157","0.023877557205798","0.0204242671725049","0.0273308472390911","3"
"Very high transfer dependency","1998","no migration background","East Germany","122","0.0428126697236878","0.0362872569052016","0.0493380825421739","3"
"Very high transfer dependency","1998","direct migration background","West Germany","94","0.0534093320873175","0.0441961476840417","0.0626225164905932","3"
"Very high transfer dependency","1998","direct migration background","East Germany","3","","","","3"
"Very high transfer dependency","1998","indirect migration background","West Germany","16","","","","3"
"Very high transfer dependency","1998","indirect migration background","East Germany","2","","","","3"
"Very low transfer dependency","1998","no migration background","West Germany","6963","0.926524586439518","0.920622773329049","0.932426399549987","0"
"Very low transfer dependency","1998","no migration background","East Germany","2991","0.817434726237821","0.804982156177743","0.829887296297898","0"
"Very low transfer dependency","1998","direct migration background","East Germany","92","0.768208833289159","0.691747256603494","0.844670409974824","0"
"Very low transfer dependency","1998","direct migration background","West Germany","1889","0.838886461334214","0.82382255204074","0.853950370627688","0"
"Very low transfer dependency","1998","indirect migration background","East Germany","20","","","","0"
"Very low transfer dependency","1998","indirect migration background","West Germany","486","0.857939899484446","0.829380002509382","0.88649979645951","0"
"High transfer dependency","1999","no migration background","West Germany","80","0.00924530253348603","0.00703784146910169","0.0114527635978704","2"
"High transfer dependency","1999","no migration background","East Germany","165","0.0459054914164455","0.0391095985484055","0.0527013842844854","2"
"High transfer dependency","1999","direct migration background","West Germany","47","0.027315288403472","0.0203204146748009","0.0343101621321431","2"
"High transfer dependency","1999","direct migration background","East Germany","5","","","","2"
"High transfer dependency","1999","indirect migration background","West Germany","18","","","","2"
"High transfer dependency","1999","indirect migration background","East Germany","1","","","","2"
"Low transfer dependency","1999","no migration background","West Germany","267","0.0333700275914883","0.029227572298772","0.0375124828842046","1"
"Low transfer dependency","1999","no migration background","East Germany","413","0.104403435099436","0.0944738269796387","0.114333043219234","1"
"Low transfer dependency","1999","direct migration background","East Germany","12","","","","1"
"Low transfer dependency","1999","direct migration background","West Germany","234","0.088670037759843","0.0764712349761058","0.10086884054358","1"
"Low transfer dependency","1999","indirect migration background","West Germany","49","0.0712860234267154","0.0503820047895039","0.0921900420639269","1"
"Low transfer dependency","1999","indirect migration background","East Germany","3","","","","1"
"Very high transfer dependency","1999","no migration background","West Germany","124","0.0202090427058158","0.0169634874844404","0.0234545979271912","3"
"Very high transfer dependency","1999","no migration background","East Germany","108","0.0371560636966218","0.031014042588958","0.0432980848042856","3"
"Very high transfer dependency","1999","direct migration background","West Germany","72","0.0315594236403409","0.0240571662615828","0.039061681019099","3"
"Very high transfer dependency","1999","direct migration background","East Germany","1","","","","3"
"Very high transfer dependency","1999","indirect migration background","West Germany","15","","","","3"
"Very high transfer dependency","1999","indirect migration background","East Germany","1","","","","3"
"Very low transfer dependency","1999","no migration background","West Germany","6750","0.93717562716921","0.931579030725566","0.942772223612854","0"
"Very low transfer dependency","1999","no migration background","East Germany","2957","0.812535009787496","0.799861420366348","0.825208599208644","0"
"Very low transfer dependency","1999","direct migration background","East Germany","92","0.833856765940232","0.764300091971662","0.903413439908802","0"
"Very low transfer dependency","1999","direct migration background","West Germany","1733","0.852455250196344","0.837236162692781","0.867674337699908","0"
"Very low transfer dependency","1999","indirect migration background","East Germany","17","","","","0"
"Very low transfer dependency","1999","indirect migration background","West Germany","500","0.875202750229728","0.84835280260468","0.902052697854776","0"
"High transfer dependency","2000","no migration background","West Germany","133","0.00864292724722511","0.00712827468029701","0.0101575798141532","2"
"High transfer dependency","2000","no migration background","East Germany","206","0.0361327538870243","0.0312545290496468","0.0410109787244018","2"
"High transfer dependency","2000","direct migration background","East Germany","3","","","","2"
"High transfer dependency","2000","direct migration background","West Germany","104","0.0310718590075859","0.0250106378196715","0.0371330801955003","2"
"High transfer dependency","2000","indirect migration background","West Germany","22","","","","2"
"High transfer dependency","2000","indirect migration background","East Germany","","","","","2"
"Low transfer dependency","2000","no migration background","West Germany","540","0.0333479663031607","0.0304100643134993","0.0362858682928221","1"
"Low transfer dependency","2000","no migration background","East Germany","607","0.094639534563058","0.0869879790873901","0.102291090038726","1"
"Low transfer dependency","2000","direct migration background","East Germany","15","","","","1"
"Low transfer dependency","2000","direct migration background","West Germany","326","0.0938597259348287","0.08367221502718","0.104047236842477","1"
"Low transfer dependency","2000","indirect migration background","West Germany","62","0.0680075815950824","0.0504740114320459","0.085541151758119","1"
"Low transfer dependency","2000","indirect migration background","East Germany","4","","","","1"
"Very high transfer dependency","2000","no migration background","East Germany","195","0.0373755140342667","0.0324173063990581","0.0423337216694754","3"
"Very high transfer dependency","2000","no migration background","West Germany","227","0.0160735067569731","0.0140157019010886","0.0181313116128576","3"
"Very high transfer dependency","2000","direct migration background","West Germany","166","0.0578157925347063","0.0496627092058634","0.0659688758635492","3"
"Very high transfer dependency","2000","direct migration background","East Germany","14","","","","3"
"Very high transfer dependency","2000","indirect migration background","West Germany","14","","","","3"
"Very high transfer dependency","2000","indirect migration background","East Germany","2","","","","3"
"Very low transfer dependency","2000","no migration background","West Germany","13447","0.941935599692641","0.938108823002836","0.945762376382446","0"
"Very low transfer dependency","2000","no migration background","East Germany","4614","0.831852197515651","0.822075968820587","0.841628426210715","0"
"Very low transfer dependency","2000","direct migration background","West Germany","2552","0.817252622522879","0.803752600801308","0.83075264424445","0"
"Very low transfer dependency","2000","direct migration background","East Germany","118","0.826096723184282","0.765440998765957","0.886752447602607","0"
"Very low transfer dependency","2000","indirect migration background","East Germany","20","","","","0"
"Very low transfer dependency","2000","indirect migration background","West Germany","694","0.886113185892344","0.863989024299855","0.908237347484834","0"
"High transfer dependency","2001","no migration background","West Germany","142","0.0106517858285596","0.0088856940260128","0.0124178776311064","2"
"High transfer dependency","2001","no migration background","East Germany","193","0.0319147088517261","0.0271586763575045","0.0366707413459477","2"
"High transfer dependency","2001","direct migration background","West Germany","82","0.0334392365744095","0.0267538776614077","0.0401245954874112","2"
"High transfer dependency","2001","direct migration background","East Germany","6","","","","2"
"High transfer dependency","2001","indirect migration background","West Germany","17","","","","2"
"High transfer dependency","2001","indirect migration background","East Germany","3","","","","2"
"Low transfer dependency","2001","no migration background","West Germany","459","0.0318121537826109","0.0287928707619597","0.034831436803262","1"
"Low transfer dependency","2001","no migration background","East Germany","623","0.101172963243623","0.0930134761880245","0.109332450299221","1"
"Low transfer dependency","2001","direct migration background","East Germany","12","","","","1"
"Low transfer dependency","2001","direct migration background","West Germany","319","0.0995024697493539","0.0883713164590151","0.110633623039693","1"
"Low transfer dependency","2001","indirect migration background","West Germany","49","0.0520844154289278","0.036096756775004","0.0680720740828516","1"
"Low transfer dependency","2001","indirect migration background","East Germany","3","","","","1"
"Very high transfer dependency","2001","no migration background","East Germany","210","0.0446006295996336","0.0390152135451335","0.0501860456541337","3"
"Very high transfer dependency","2001","no migration background","West Germany","191","0.0158852657267501","0.0137342301970106","0.0180363012564895","3"
"Very high transfer dependency","2001","direct migration background","West Germany","125","0.0601039892358065","0.0512655918826863","0.0689423865889266","3"
"Very high transfer dependency","2001","direct migration background","East Germany","5","","","","3"
"Very high transfer dependency","2001","indirect migration background","West Germany","25","","","","3"
"Very high transfer dependency","2001","indirect migration background","East Germany","1","","","","3"
"Very low transfer dependency","2001","no migration background","West Germany","12187","0.941650794662079","0.93761815064431","0.945683438679849","0"
"Very low transfer dependency","2001","no migration background","East Germany","4221","0.822311698305018","0.811968848656886","0.832654547953149","0"
"Very low transfer dependency","2001","direct migration background","West Germany","2252","0.80695430444043","0.79227733118762","0.821631277693241","0"
"Very low transfer dependency","2001","direct migration background","East Germany","100","0.830942277689612","0.764705610800224","0.897178944579","0"
"Very low transfer dependency","2001","indirect migration background","East Germany","17","","","","0"
"Very low transfer dependency","2001","indirect migration background","West Germany","651","0.894673066967118","0.872585491856443","0.916760642077793","0"
"High transfer dependency","2002","no migration background","West Germany","177","0.0176772577599338","0.0155086386703587","0.0198458768495088","2"
"High transfer dependency","2002","no migration background","East Germany","183","0.035237239763461","0.0302526247733352","0.0402218547535868","2"
"High transfer dependency","2002","direct migration background","East Germany","7","","","","2"
"High transfer dependency","2002","direct migration background","West Germany","70","0.035458135593587","0.0284183129737342","0.0424979582134399","2"
"High transfer dependency","2002","indirect migration background","West Germany","22","","","","2"
"High transfer dependency","2002","indirect migration background","East Germany","","","","","2"
"Low transfer dependency","2002","no migration background","West Germany","466","0.0377212221838198","0.0345858286272893","0.0408566157403503","1"
"Low transfer dependency","2002","no migration background","East Germany","542","0.0990121420129095","0.0909374845153676","0.107086799510451","1"
"Low transfer dependency","2002","direct migration background","West Germany","256","0.100701078868203","0.0892456243581465","0.11215653337826","1"
"Low transfer dependency","2002","direct migration background","East Germany","8","","","","1"
"Low transfer dependency","2002","indirect migration background","West Germany","54","0.063102631952681","0.0457242668533192","0.0804809970520428","1"
"Low transfer dependency","2002","indirect migration background","East Germany","1","","","","1"
"Very high transfer dependency","2002","no migration background","East Germany","208","0.0511084182289579","0.045154882975192","0.0570619534827238","3"
"Very high transfer dependency","2002","no migration background","West Germany","154","0.0151575180530612","0.013146823211306","0.0171682128948164","3"
"Very high transfer dependency","2002","direct migration background","West Germany","118","0.051373294873444","0.0429698063628346","0.0597767833840534","3"
"Very high transfer dependency","2002","direct migration background","East Germany","5","","","","3"
"Very high transfer dependency","2002","indirect migration background","West Germany","27","","","","3"
"Very high transfer dependency","2002","indirect migration background","East Germany","5","","","","3"
"Very low transfer dependency","2002","no migration background","West Germany","13387","0.929444002003185","0.925229683898286","0.933658320108085","0"
"Very low transfer dependency","2002","no migration background","East Germany","4323","0.814642199994672","0.804136879709994","0.825147520279349","0"
"Very low transfer dependency","2002","direct migration background","West Germany","2207","0.812467490664766","0.797608664363552","0.827326316965979","0"
"Very low transfer dependency","2002","direct migration background","East Germany","95","0.808884769949416","0.737024284155519","0.880745255743313","0"
"Very low transfer dependency","2002","indirect migration background","East Germany","18","","","","0"
"Very low transfer dependency","2002","indirect migration background","West Germany","649","0.841581531377061","0.815484556092831","0.86767850666129","0"
"High transfer dependency","2003","no migration background","West Germany","165","0.0145032255008919","0.0124907704157361","0.0165156805860476","2"
"High transfer dependency","2003","no migration background","East Germany","179","0.0360432730598454","0.030964792502024","0.0411217536176669","2"
"High transfer dependency","2003","direct migration background","East Germany","2","","","","2"
"High transfer dependency","2003","direct migration background","West Germany","65","0.0294310548507929","0.0228138638966045","0.0360482458049812","2"
"High transfer dependency","2003","indirect migration background","West Germany","20","","","","2"
"High transfer dependency","2003","indirect migration background","East Germany","7","","","","2"
"Low transfer dependency","2003","no migration background","West Germany","490","0.0372787654857019","0.0340898182792425","0.0404677126921613","1"
"Low transfer dependency","2003","no migration background","East Germany","569","0.110728200454809","0.102178728441053","0.119277672468566","1"
"Low transfer dependency","2003","direct migration background","East Germany","7","","","","1"
"Low transfer dependency","2003","direct migration background","West Germany","268","0.10632052671541","0.0942519235057151","0.118389129925106","1"
"Low transfer dependency","2003","indirect migration background","West Germany","68","0.0878592525799733","0.0675720590196503","0.108146446140296","1"
"Low transfer dependency","2003","indirect migration background","East Germany","3","","","","1"
"Very high transfer dependency","2003","no migration background","East Germany","239","0.0572512074257502","0.050921505899611","0.0635809089518895","3"
"Very high transfer dependency","2003","no migration background","West Germany","185","0.0206989703164162","0.0183023525777881","0.0230955880550443","3"
"Very high transfer dependency","2003","direct migration background","West Germany","117","0.06920753499033","0.0592704117122286","0.0791446582684314","3"
"Very high transfer dependency","2003","direct migration background","East Germany","8","","","","3"
"Very high transfer dependency","2003","indirect migration background","West Germany","27","","","","3"
"Very high transfer dependency","2003","indirect migration background","East Germany","3","","","","3"
"Very low transfer dependency","2003","no migration background","West Germany","12717","0.92751903869699","0.923154486599744","0.931883590794237","0"
"Very low transfer dependency","2003","no migration background","East Germany","4188","0.795977319059595","0.784997821021216","0.806956817097974","0"
"Very low transfer dependency","2003","direct migration background","West Germany","2056","0.795040883443467","0.779236196096847","0.810845570790086","0"
"Very low transfer dependency","2003","direct migration background","East Germany","87","0.8528076477917","0.78471509952284","0.92090019606056","0"
"Very low transfer dependency","2003","indirect migration background","East Germany","18","","","","0"
"Very low transfer dependency","2003","indirect migration background","West Germany","633","0.837638366565335","0.811210185193","0.86406654793767","0"
"High transfer dependency","2004","no migration background","West Germany","165","0.0150054779917309","0.0129289872132297","0.0170819687702322","2"
"High transfer dependency","2004","no migration background","East Germany","172","0.04028215284418","0.0348656978030747","0.0456986078852853","2"
"High transfer dependency","2004","direct migration background","East Germany","3","","","","2"
"High transfer dependency","2004","direct migration background","West Germany","67","0.0257766744878705","0.019459069451856","0.0320942795238851","2"
"High transfer dependency","2004","indirect migration background","West Germany","31","0.0445564588115885","0.0299830691697725","0.0591298484534046","2"
"High transfer dependency","2004","indirect migration background","East Germany","2","","","","2"
"Low transfer dependency","2004","no migration background","West Germany","517","0.0435311905637237","0.0400460214164757","0.0470163597109718","1"
"Low transfer dependency","2004","no migration background","East Germany","530","0.103225237070604","0.0948437389106864","0.111606735230521","1"
"Low transfer dependency","2004","direct migration background","West Germany","270","0.105729979612233","0.0934713146432921","0.117988644581174","1"
"Low transfer dependency","2004","direct migration background","East Germany","9","","","","1"
"Low transfer dependency","2004","indirect migration background","West Germany","58","0.0950952894658898","0.0743755802911076","0.115814998640672","1"
"Low transfer dependency","2004","indirect migration background","East Germany","4","","","","1"
"Very high transfer dependency","2004","no migration background","East Germany","262","0.0668034832666997","0.0599253097257527","0.0736816568076466","3"
"Very high transfer dependency","2004","no migration background","West Germany","182","0.019520644641729","0.0171576948884212","0.0218835943950367","3"
"Very high transfer dependency","2004","direct migration background","East Germany","3","","","","3"
"Very high transfer dependency","2004","direct migration background","West Germany","123","0.0668267865715623","0.0568712152754301","0.0767823578676945","3"
"Very high transfer dependency","2004","indirect migration background","West Germany","28","","","","3"
"Very high transfer dependency","2004","indirect migration background","East Germany","11","","","","3"
"Very low transfer dependency","2004","no migration background","West Germany","12304","0.921942686802816","0.917360772700878","0.926524600904754","0"
"Very low transfer dependency","2004","no migration background","East Germany","4098","0.789689126818517","0.778462585915717","0.800915667721316","0"
"Very low transfer dependency","2004","direct migration background","West Germany","1957","0.801666559328334","0.785769945551799","0.817563173104869","0"
"Very low transfer dependency","2004","direct migration background","East Germany","86","0.858498727809894","0.790525576567233","0.926471879052554","0"
"Very low transfer dependency","2004","indirect migration background","West Germany","653","0.810454136044371","0.78277043784541","0.838137834243331","0"
"Very low transfer dependency","2004","indirect migration background","East Germany","18","","","","0"
"High transfer dependency","2005","no migration background","West Germany","165","0.0163836388883072","0.0141665438905068","0.0186007338861076","2"
"High transfer dependency","2005","no migration background","East Germany","179","0.0385556089287545","0.0331420794023074","0.0439691384552015","2"
"High transfer dependency","2005","direct migration background","East Germany","8","","","","2"
"High transfer dependency","2005","direct migration background","West Germany","83","0.0399151494296623","0.0318264160558475","0.0480038828034771","2"
"High transfer dependency","2005","indirect migration background","East Germany","8","","","","2"
"High transfer dependency","2005","indirect migration background","West Germany","27","","","","2"
"Low transfer dependency","2005","no migration background","West Germany","534","0.0455181266955826","0.0418777839168847","0.0491584694742805","1"
"Low transfer dependency","2005","no migration background","East Germany","519","0.113898740374844","0.104966183727521","0.122831297022166","1"
"Low transfer dependency","2005","direct migration background","East Germany","10","","","","1"
"Low transfer dependency","2005","direct migration background","West Germany","260","0.116827181679936","0.103554715449113","0.130099647910758","1"
"Low transfer dependency","2005","indirect migration background","East Germany","1","","","","1"
"Low transfer dependency","2005","indirect migration background","West Germany","64","0.0739220237911054","0.0556885023786417","0.0921555452035691","1"
"Very high transfer dependency","2005","no migration background","East Germany","251","0.0704426945432188","0.0632476960768522","0.0776376930095855","3"
"Very high transfer dependency","2005","no migration background","West Germany","191","0.0221647957454606","0.0195936248247614","0.0247359666661598","3"
"Very high transfer dependency","2005","direct migration background","East Germany","4","","","","3"
"Very high transfer dependency","2005","direct migration background","West Germany","125","0.067418457103605","0.0570577440796592","0.0777791701275508","3"
"Very high transfer dependency","2005","indirect migration background","West Germany","41","0.0548931443049693","0.0390201317390187","0.0707661568709199","3"
"Very high transfer dependency","2005","indirect migration background","East Germany","6","","","","3"
"Very low transfer dependency","2005","no migration background","West Germany","11704","0.91593343867065","0.91108714368442","0.920779733656879","0"
"Very low transfer dependency","2005","no migration background","East Germany","3910","0.777102956153183","0.765400794951782","0.788805117354583","0"
"Very low transfer dependency","2005","direct migration background","West Germany","1782","0.775839211786797","0.758607734288101","0.793070689285494","0"
"Very low transfer dependency","2005","direct migration background","East Germany","79","0.720658278725964","0.633155872345637","0.80816068510629","0"
"Very low transfer dependency","2005","indirect migration background","West Germany","659","0.838254502641044","0.812594074599174","0.863914930682915","0"
"Very low transfer dependency","2005","indirect migration background","East Germany","18","","","","0"
"High transfer dependency","2006","no migration background","West Germany","202","0.0171870880612688","0.0150198370003413","0.0193543391221963","2"
"High transfer dependency","2006","no migration background","East Germany","208","0.0504591164874677","0.0445074282332102","0.0564108047417252","2"
"High transfer dependency","2006","direct migration background","East Germany","6","","","","2"
"High transfer dependency","2006","direct migration background","West Germany","102","0.0443966973152501","0.0359103663125904","0.0528830283179098","2"
"High transfer dependency","2006","indirect migration background","West Germany","34","0.0504124770391107","0.0353449458195812","0.0654800082586402","2"
"High transfer dependency","2006","indirect migration background","East Germany","6","","","","2"
"Low transfer dependency","2006","no migration background","West Germany","570","0.0437022744041327","0.0402933197237041","0.0471112290845613","1"
"Low transfer dependency","2006","no migration background","East Germany","464","0.0939942899663407","0.0860596043693898","0.101928975563292","1"
"Low transfer dependency","2006","direct migration background","West Germany","237","0.10918495638492","0.096335611447482","0.122034301322358","1"
"Low transfer dependency","2006","direct migration background","East Germany","4","","","","1"
"Low transfer dependency","2006","indirect migration background","West Germany","77","0.113311773444385","0.0914830383264053","0.135140508562365","1"
"Low transfer dependency","2006","indirect migration background","East Germany","2","","","","1"
"Very high transfer dependency","2006","no migration background","East Germany","280","0.0738538249777957","0.0667426758721406","0.0809649740834508","3"
"Very high transfer dependency","2006","no migration background","West Germany","261","0.0261798018652221","0.023517267553861","0.0288423361765831","3"
"Very high transfer dependency","2006","direct migration background","East Germany","15","","","","3"
"Very high transfer dependency","2006","direct migration background","West Germany","167","0.0916455335105125","0.0797580714481159","0.103532995572909","3"
"Very high transfer dependency","2006","indirect migration background","West Germany","49","0.0667800749915261","0.0495882875005025","0.0839718624825496","3"
"Very high transfer dependency","2006","indirect migration background","East Germany","11","","","","3"
"Very low transfer dependency","2006","no migration background","West Germany","12782","0.912930835669376","0.908229472803831","0.917632198534922","0"
"Very low transfer dependency","2006","no migration background","East Germany","4244","0.781692768568396","0.770460547875818","0.792924989260974","0"
"Very low transfer dependency","2006","direct migration background","West Germany","1757","0.754772812789317","0.737047322911657","0.772498302666978","0"
"Very low transfer dependency","2006","direct migration background","East Germany","84","0.677939778251771","0.590219713346505","0.765659843157038","0"
"Very low transfer dependency","2006","indirect migration background","West Germany","650","0.769495674524978","0.740492321234681","0.798499027815276","0"
"Very low transfer dependency","2006","indirect migration background","East Germany","20","","","","0"
"High transfer dependency","2007","no migration background","West Germany","189","0.0181295061275511","0.0158296402452511","0.0204293720098511","2"
"High transfer dependency","2007","no migration background","East Germany","169","0.0421192924959896","0.0365141226087844","0.0477244623831948","2"
"High transfer dependency","2007","direct migration background","East Germany","5","","","","2"
"High transfer dependency","2007","direct migration background","West Germany","92","0.0567542624546877","0.0467213834329772","0.0667871414763982","2"
"High transfer dependency","2007","indirect migration background","East Germany","3","","","","2"
"High transfer dependency","2007","indirect migration background","West Germany","30","0.0409307090037844","0.027097128279508","0.0547642897280608","2"
"Low transfer dependency","2007","no migration background","West Germany","479","0.0404906174130506","0.0370929236594636","0.0438883111666376","1"
"Low transfer dependency","2007","no migration background","East Germany","459","0.0902956718694764","0.0822977689051382","0.0982935748338146","1"
"Low transfer dependency","2007","direct migration background","East Germany","5","","","","1"
"Low transfer dependency","2007","direct migration background","West Germany","214","0.119179633944179","0.105130207168779","0.133229060719579","1"
"Low transfer dependency","2007","indirect migration background","East Germany","9","","","","1"
"Low transfer dependency","2007","indirect migration background","West Germany","71","0.105349303465223","0.0839141020479857","0.12678450488246","1"
"Very high transfer dependency","2007","no migration background","West Germany","270","0.0275782563308037","0.0247553715526872","0.0304011411089202","3"
"Very high transfer dependency","2007","no migration background","East Germany","249","0.0623013399139175","0.055556480924691","0.0690461989031441","3"
"Very high transfer dependency","2007","direct migration background","West Germany","125","0.07260405668964","0.0613521286187806","0.0838559847604994","3"
"Very high transfer dependency","2007","direct migration background","East Germany","10","","","","3"
"Very high transfer dependency","2007","indirect migration background","West Germany","52","0.0869009125397845","0.0672330979667952","0.106568727112774","3"
"Very high transfer dependency","2007","indirect migration background","East Germany","7","","","","3"
"Very low transfer dependency","2007","no migration background","West Germany","11990","0.913801620128595","0.908963708481462","0.918639531775727","0"
"Very low transfer dependency","2007","no migration background","East Germany","4056","0.805283695720616","0.794233546432517","0.816333845008716","0"
"Very low transfer dependency","2007","direct migration background","West Germany","1612","0.751462046911493","0.732722296951584","0.770201796871402","0"
"Very low transfer dependency","2007","direct migration background","East Germany","73","0.673700110017132","0.578409876865682","0.768990343168582","0"
"Very low transfer dependency","2007","indirect migration background","West Germany","635","0.766819074991208","0.737294888053639","0.796343261928778","0"
"Very low transfer dependency","2007","indirect migration background","East Germany","25","","","","0"
"High transfer dependency","2008","no migration background","West Germany","146","0.0139701567975806","0.0118854669982718","0.0160548465968894","2"
"High transfer dependency","2008","no migration background","East Germany","129","0.0370350796596364","0.0316164733465819","0.042453685972691","2"
"High transfer dependency","2008","direct migration background","East Germany","6","","","","2"
"High transfer dependency","2008","direct migration background","West Germany","73","0.0484396926551729","0.0385653312763559","0.05831405403399","2"
"High transfer dependency","2008","indirect migration background","East Germany","2","","","","2"
"High transfer dependency","2008","indirect migration background","West Germany","38","0.0697993925359263","0.0518482646224467","0.0877505204494059","2"
"Low transfer dependency","2008","no migration background","West Germany","432","0.0425340180574752","0.0389495422527253","0.046118493862225","1"
"Low transfer dependency","2008","no migration background","East Germany","379","0.0741289826099633","0.0666119750262628","0.0816459901936638","1"
"Low transfer dependency","2008","direct migration background","East Germany","7","","","","1"
"Low transfer dependency","2008","direct migration background","West Germany","166","0.097773327130693","0.0841130913014583","0.111433562959928","1"
"Low transfer dependency","2008","indirect migration background","East Germany","16","","","","1"
"Low transfer dependency","2008","indirect migration background","West Germany","60","0.093558044674271","0.0730422578151064","0.114073831533436","1"
"Very high transfer dependency","2008","no migration background","East Germany","240","0.0652968860087716","0.0582083132117955","0.0723854588057478","3"
"Very high transfer dependency","2008","no migration background","West Germany","212","0.0259800231468118","0.0231544960909111","0.0288055502027125","3"
"Very high transfer dependency","2008","direct migration background","East Germany","7","","","","3"
"Very high transfer dependency","2008","direct migration background","West Germany","107","0.0709909551543898","0.0591795477454169","0.0828023625633627","3"
"Very high transfer dependency","2008","indirect migration background","West Germany","45","0.0538898184388565","0.0379823222094396","0.0697973146682735","3"
"Very high transfer dependency","2008","indirect migration background","East Germany","3","","","","3"
"Very low transfer dependency","2008","no migration background","West Germany","11386","0.917515801998133","0.912629414258627","0.922402189737638","0"
"Very low transfer dependency","2008","no migration background","East Germany","3918","0.823539051721629","0.812600945737029","0.834477157706229","0"
"Very low transfer dependency","2008","direct migration background","West Germany","1470","0.782796025059744","0.76383122103719","0.801760829082298","0"
"Very low transfer dependency","2008","direct migration background","East Germany","61","0.68976251258108","0.58902238128238","0.79050264387978","0"
"Very low transfer dependency","2008","indirect migration background","West Germany","631","0.782752744350946","0.753701344781619","0.811804143920274","0"
"Very low transfer dependency","2008","indirect migration background","East Germany","23","","","","0"
"High transfer dependency","2009","no migration background","West Germany","131","0.0126358733898993","0.0105870081455473","0.0146847386342512","2"
"High transfer dependency","2009","no migration background","East Germany","121","0.0284826556977399","0.0235913427091826","0.0333739686862972","2"
"High transfer dependency","2009","direct migration background","East Germany","","","","","2"
"High transfer dependency","2009","direct migration background","West Germany","57","0.0431476699082195","0.0331697196101379","0.0531256202063012","2"
"High transfer dependency","2009","indirect migration background","West Germany","29","","","","2"
"High transfer dependency","2009","indirect migration background","East Germany","1","","","","2"
"Low transfer dependency","2009","no migration background","West Germany","429","0.0416279001159444","0.037964102941118","0.0452916972907709","1"
"Low transfer dependency","2009","no migration background","East Germany","336","0.0914095041555244","0.0829354798408954","0.0998835284701535","1"
"Low transfer dependency","2009","direct migration background","East Germany","5","","","","1"
"Low transfer dependency","2009","direct migration background","West Germany","152","0.102225318867579","0.0873487383642426","0.117101899370916","1"
"Low transfer dependency","2009","indirect migration background","West Germany","69","0.104888631004596","0.0823503047206107","0.127426957288582","1"
"Low transfer dependency","2009","indirect migration background","East Germany","11","","","","1"
"Very high transfer dependency","2009","no migration background","West Germany","162","0.0196328226412992","0.0170879981048104","0.0221776471777881","3"
"Very high transfer dependency","2009","no migration background","East Germany","202","0.0634262461875877","0.0562596088080442","0.0705928835671311","3"
"Very high transfer dependency","2009","direct migration background","West Germany","81","0.0628598261740133","0.0509411212226567","0.0747785311253698","3"
"Very high transfer dependency","2009","direct migration background","East Germany","5","","","","3"
"Very high transfer dependency","2009","indirect migration background","West Germany","33","0.0465929217818106","0.0310898386707574","0.0620960048928639","3"
"Very high transfer dependency","2009","indirect migration background","East Germany","3","","","","3"
"Very low transfer dependency","2009","no migration background","West Germany","10695","0.926103403852857","0.921304809397946","0.930901998307768","0"
"Very low transfer dependency","2009","no migration background","East Germany","3784","0.816681593959148","0.805304290170444","0.828058897747852","0"
"Very low transfer dependency","2009","direct migration background","West Germany","1303","0.791767185050188","0.771827718403926","0.81170665169645","0"
