"transab_cat2","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"High transfer dependency","1992","(1b) general elementary school","42","0.015453919578182","0.0103908019729443","0.0205170371834197"
"High transfer dependency","1992","(1c) basic vocational qualification","42","0.00937636038375562","0.00649037020170384","0.0122623505658074"
"High transfer dependency","1992","(2b) intermediate general qualification","5","","",""
"High transfer dependency","1992","(2a) intermediate vocational","25","","",""
"High transfer dependency","1992","(2c_gen) general maturity certificate","6","","",""
"High transfer dependency","1992","(2c_voc) vocational maturity certificate","10","","",""
"High transfer dependency","1992","(3a) lower tertiary education","12","","",""
"High transfer dependency","1992","(3b) higher tertiary education","8","","",""
"Very high transfer dependency","1992","(0) in school","5","","",""
"Very high transfer dependency","1992","(1a) inadequately completed","18","","",""
"Very high transfer dependency","1992","(1b) general elementary school","40","0.018499250804626","0.0129682584845407","0.0240302431247114"
"Very high transfer dependency","1992","(1c) basic vocational qualification","38","0.012956759568517","0.0095703487007579","0.0163431704362761"
"Very high transfer dependency","1992","(2b) intermediate general qualification","10","","",""
"Very high transfer dependency","1992","(2a) intermediate vocational","12","","",""
"Very high transfer dependency","1992","(2c_gen) general maturity certificate","8","","",""
"Very high transfer dependency","1992","(2c_voc) vocational maturity certificate","13","","",""
"Very high transfer dependency","1992","(3a) lower tertiary education","6","","",""
"Very high transfer dependency","1992","(3b) higher tertiary education","1","","",""
"Very low transfer dependency","1993","(0) in school","121","0.957547370939921","0.92261922477502","0.992475517104822"
"Very low transfer dependency","1993","(1a) inadequately completed","637","0.873542253101874","0.849332325759177","0.897752180444571"
"Very low transfer dependency","1993","(1b) general elementary school","2000","0.929303763252902","0.918561378686925","0.94004614781888"
"Very low transfer dependency","1993","(1c) basic vocational qualification","3852","0.940826168826765","0.933666458038231","0.947985879615299"
"Very low transfer dependency","1993","(2b) intermediate general qualification","464","0.910145739675271","0.885542674387215","0.934748804963326"
"Very low transfer dependency","1993","(2a) intermediate vocational","2245","0.90889801331836","0.897768604843573","0.920027421793148"
"Very low transfer dependency","1993","(2c_gen) general maturity certificate","363","0.942061200616769","0.91916610825785","0.964956292975689"
"Very low transfer dependency","1993","(2c_voc) vocational maturity certificate","468","0.952996844364951","0.934628405707105","0.971365283022797"
"Very low transfer dependency","1993","(3a) lower tertiary education","771","0.935270155199914","0.918640972146917","0.951899338252911"
"Very low transfer dependency","1993","(3b) higher tertiary education","746","0.961469017615799","0.948030304890507","0.974907730341091"
"Low transfer dependency","1993","(0) in school","4","","",""
"Low transfer dependency","1993","(1a) inadequately completed","44","0.060833395392855","0.0434224979590116","0.0782442928266984"
"Low transfer dependency","1993","(1b) general elementary school","104","0.0346251313812329","0.0269626856998266","0.0422875770626393"
"Low transfer dependency","1993","(1c) basic vocational qualification","215","0.034022916612087","0.0285218725542053","0.0395239606699687"
"Low transfer dependency","1993","(2b) intermediate general qualification","39","0.0566465965860427","0.0367587146391207","0.0765344785329647"
"Low transfer dependency","1993","(2a) intermediate vocational","241","0.0613215681271052","0.0520422593394028","0.0706008769148077"
"Low transfer dependency","1993","(2c_gen) general maturity certificate","23","","",""
"Low transfer dependency","1993","(2c_voc) vocational maturity certificate","24","","",""
"Low transfer dependency","1993","(3a) lower tertiary education","48","0.0370190281756933","0.0242584176737238","0.0497796386776627"
"Low transfer dependency","1993","(3b) higher tertiary education","28","","",""
"High transfer dependency","1993","(0) in school","2","","",""
"High transfer dependency","1993","(1a) inadequately completed","22","","",""
"High transfer dependency","1993","(1b) general elementary school","39","0.0134625370158726","0.00863257243871616","0.018292501593029"
"High transfer dependency","1993","(1c) basic vocational qualification","57","0.0125828215635614","0.00920049684607853","0.0159651462810443"
"High transfer dependency","1993","(2b) intermediate general qualification","7","","",""
"High transfer dependency","1993","(2a) intermediate vocational","42","0.0147165467877033","0.0100592476474524","0.0193738459279542"
"High transfer dependency","1993","(2c_gen) general maturity certificate","3","","",""
"High transfer dependency","1993","(2c_voc) vocational maturity certificate","9","","",""
"High transfer dependency","1993","(3a) lower tertiary education","14","","",""
"High transfer dependency","1993","(3b) higher tertiary education","10","","",""
"Very high transfer dependency","1993","(0) in school","1","","",""
"Very high transfer dependency","1993","(1a) inadequately completed","21","","",""
"Very high transfer dependency","1993","(1b) general elementary school","44","0.0226085683499921","0.0163784758565924","0.0288386608433918"
"Very high transfer dependency","1993","(1c) basic vocational qualification","48","0.0125680929975864","0.00918772320449692","0.0159484627906759"
"Very high transfer dependency","1993","(2b) intermediate general qualification","9","","",""
"Very high transfer dependency","1993","(2a) intermediate vocational","40","0.0150638717668311","0.010352765285652","0.0197749782480101"
"Very high transfer dependency","1993","(2c_gen) general maturity certificate","11","","",""
"Very high transfer dependency","1993","(2c_voc) vocational maturity certificate","9","","",""
"Very high transfer dependency","1993","(3a) lower tertiary education","8","","",""
"Very high transfer dependency","1993","(3b) higher tertiary education","4","","",""
"Very low transfer dependency","1994","(0) in school","184","0.927981614879603","0.892419183351304","0.963544046407903"
"Very low transfer dependency","1994","(1a) inadequately completed","569","0.862000308909132","0.835424363773304","0.888576254044959"
"Very low transfer dependency","1994","(1b) general elementary school","1854","0.923995274837155","0.912551490824117","0.935439058850193"
"Very low transfer dependency","1994","(1c) basic vocational qualification","3724","0.93231338842812","0.924578648422862","0.940048128433379"
"Very low transfer dependency","1994","(2b) intermediate general qualification","417","0.904546500653739","0.877953150878647","0.931139850428832"
"Very low transfer dependency","1994","(2a) intermediate vocational","2247","0.904968782874509","0.893630912841417","0.916306652907601"
"Very low transfer dependency","1994","(2c_gen) general maturity certificate","362","0.928718212163836","0.903566570473358","0.953869853854313"
"Very low transfer dependency","1994","(2c_voc) vocational maturity certificate","470","0.921269015574852","0.898143293457624","0.94439473769208"
"Very low transfer dependency","1994","(3a) lower tertiary education","780","0.928900145522292","0.911613404837278","0.946186886207306"
"Very low transfer dependency","1994","(3b) higher tertiary education","757","0.960352432143335","0.946839318510061","0.973865545776609"
"Low transfer dependency","1994","(0) in school","9","","",""
"Low transfer dependency","1994","(1a) inadequately completed","43","0.0672548601804595","0.0479556611421893","0.0865540592187297"
"Low transfer dependency","1994","(1b) general elementary school","112","0.0315159163737074","0.0239714992098192","0.0390603335375957"
"Low transfer dependency","1994","(1c) basic vocational qualification","198","0.0348518627642455","0.029204790326145","0.0404989352023459"
"Low transfer dependency","1994","(2b) intermediate general qualification","32","0.0543019621577241","0.0337929059646728","0.0748110183507754"
"Low transfer dependency","1994","(2a) intermediate vocational","234","0.0595780548114745","0.0504266858231981","0.0687294237997509"
"Low transfer dependency","1994","(2c_gen) general maturity certificate","29","","",""
"Low transfer dependency","1994","(2c_voc) vocational maturity certificate","33","0.0424443986350613","0.0251334278957687","0.0597553693743539"
"Low transfer dependency","1994","(3a) lower tertiary education","46","0.0421426364553611","0.0286279642064524","0.0556573087042698"
"Low transfer dependency","1994","(3b) higher tertiary education","28","","",""
"High transfer dependency","1994","(0) in school","5","","",""
"High transfer dependency","1994","(1a) inadequately completed","14","","",""
"High transfer dependency","1994","(1b) general elementary school","44","0.0196544047489343","0.0136601661012682","0.0256486433966005"
"High transfer dependency","1994","(1c) basic vocational qualification","63","0.0135185806735312","0.00996289488437648","0.0170742664626859"
"High transfer dependency","1994","(2b) intermediate general qualification","10","","",""
"High transfer dependency","1994","(2a) intermediate vocational","49","0.0169983132258101","0.0120007122847437","0.0219959141668766"
"High transfer dependency","1994","(2c_gen) general maturity certificate","6","","",""
"High transfer dependency","1994","(2c_voc) vocational maturity certificate","7","","",""
"High transfer dependency","1994","(3a) lower tertiary education","15","","",""
"High transfer dependency","1994","(3b) higher tertiary education","11","","",""
"Very high transfer dependency","1994","(0) in school","5","","",""
"Very high transfer dependency","1994","(1a) inadequately completed","21","","",""
"Very high transfer dependency","1994","(1b) general elementary school","50","0.0248344040402034","0.0181142297382409","0.0315545783421659"
"Very high transfer dependency","1994","(1c) basic vocational qualification","67","0.0193161681341031","0.0150783885066443","0.0235539477615619"
"Very high transfer dependency","1994","(2b) intermediate general qualification","10","","",""
"Very high transfer dependency","1994","(2a) intermediate vocational","40","0.0184548490882063","0.0132513926950007","0.0236583054814119"
"Very high transfer dependency","1994","(2c_gen) general maturity certificate","5","","",""
"Very high transfer dependency","1994","(2c_voc) vocational maturity certificate","11","","",""
"Very high transfer dependency","1994","(3a) lower tertiary education","8","","",""
"Very high transfer dependency","1994","(3b) higher tertiary education","5","","",""
"Very low transfer dependency","1995","(0) in school","231","0.894340989569486","0.857118768620617","0.931563210518355"
"Very low transfer dependency","1995","(1a) inadequately completed","528","0.847624836898158","0.819221493676086","0.87602818012023"
"Very low transfer dependency","1995","(1b) general elementary school","1806","0.897528723593719","0.884387962266135","0.910669484921303"
"Very low transfer dependency","1995","(1c) basic vocational qualification","3704","0.918246970324922","0.909845977960737","0.926647962689107"
"Very low transfer dependency","1995","(2b) intermediate general qualification","418","0.91250346080073","0.887039250137369","0.937967671464092"
"Very low transfer dependency","1995","(2a) intermediate vocational","2353","0.920123578197","0.909760585821143","0.930486570572857"
"Very low transfer dependency","1995","(2c_gen) general maturity certificate","421","0.925810012314707","0.902014847415641","0.949605177213773"
"Very low transfer dependency","1995","(2c_voc) vocational maturity certificate","530","0.891081932740424","0.866216374305303","0.915947491175546"
"Very low transfer dependency","1995","(3a) lower tertiary education","797","0.938274762753785","0.922200061263895","0.954349464243675"
"Very low transfer dependency","1995","(3b) higher tertiary education","845","0.950027702332716","0.935736947938911","0.96431845672652"
"Low transfer dependency","1995","(0) in school","15","","",""
"Low transfer dependency","1995","(1a) inadequately completed","41","0.0552104428633534","0.0371599655442432","0.0732609201824637"
"Low transfer dependency","1995","(1b) general elementary school","117","0.0448923478144557","0.0359199690637607","0.0538647265651507"
"Low transfer dependency","1995","(1c) basic vocational qualification","226","0.0429192799814639","0.0367048770682232","0.0491336828947047"
"Low transfer dependency","1995","(2b) intermediate general qualification","29","","",""
"Low transfer dependency","1995","(2a) intermediate vocational","185","0.0480340615612963","0.039859995225036","0.0562081278975566"
"Low transfer dependency","1995","(2c_gen) general maturity certificate","25","","",""
"Low transfer dependency","1995","(2c_voc) vocational maturity certificate","36","0.0403846452101027","0.0246721135740429","0.0560971768461625"
"Low transfer dependency","1995","(3a) lower tertiary education","43","0.0389995169412261","0.0260683436376001","0.0519306902448521"
"Low transfer dependency","1995","(3b) higher tertiary education","25","","",""
"High transfer dependency","1995","(0) in school","9","","",""
"High transfer dependency","1995","(1a) inadequately completed","21","","",""
"High transfer dependency","1995","(1b) general elementary school","49","0.0221294798248198","0.0157553404419437","0.0285036192076959"
"High transfer dependency","1995","(1c) basic vocational qualification","67","0.0137381661426557","0.010169060478011","0.0173072718073005"
"High transfer dependency","1995","(2b) intermediate general qualification","14","","",""
"High transfer dependency","1995","(2a) intermediate vocational","49","0.0179323244104007","0.0128595937970202","0.0230050550237812"
"High transfer dependency","1995","(2c_gen) general maturity certificate","5","","",""
"High transfer dependency","1995","(2c_voc) vocational maturity certificate","10","","",""
"High transfer dependency","1995","(3a) lower tertiary education","10","","",""
"High transfer dependency","1995","(3b) higher tertiary education","4","","",""
"Very high transfer dependency","1995","(0) in school","7","","",""
"Very high transfer dependency","1995","(1a) inadequately completed","25","","",""
"Very high transfer dependency","1995","(1b) general elementary school","74","0.0354494487670055","0.0274370507223535","0.0434618468116576"
"Very high transfer dependency","1995","(1c) basic vocational qualification","89","0.0250955835509585","0.0202995901352346","0.0298915769666823"
"Very high transfer dependency","1995","(2b) intermediate general qualification","12","","",""
"Very high transfer dependency","1995","(2a) intermediate vocational","42","0.0139100358313032","0.00943315853010815","0.0183869131324982"
"Very high transfer dependency","1995","(2c_gen) general maturity certificate","15","","",""
"Very high transfer dependency","1995","(2c_voc) vocational maturity certificate","27","","",""
"Very high transfer dependency","1995","(3a) lower tertiary education","11","","",""
"Very high transfer dependency","1995","(3b) higher tertiary education","19","","",""
"Very low transfer dependency","1996","(0) in school","256","0.92562319170522","0.895107388635548","0.956138994774891"
"Very low transfer dependency","1996","(1a) inadequately completed","455","0.818888183669494","0.786819664652221","0.850956702686767"
"Very low transfer dependency","1996","(1b) general elementary school","1677","0.887396269350754","0.873362402220832","0.901430136480676"
"Very low transfer dependency","1996","(1c) basic vocational qualification","3542","0.90358482728602","0.894422999379083","0.912746655192956"
"Very low transfer dependency","1996","(2b) intermediate general qualification","406","0.904762643709203","0.878110869288783","0.931414418129623"
"Very low transfer dependency","1996","(2a) intermediate vocational","2352","0.914505238802857","0.903835014572035","0.92517546303368"
"Very low transfer dependency","1996","(2c_gen) general maturity certificate","392","0.921969926359037","0.896822313929311","0.947117538788762"
"Very low transfer dependency","1996","(2c_voc) vocational maturity certificate","545","0.905633554815195","0.882203001246309","0.929064108384081"
"Very low transfer dependency","1996","(3a) lower tertiary education","797","0.935832816790655","0.919549454428874","0.952116179152436"
"Very low transfer dependency","1996","(3b) higher tertiary education","833","0.944779796462742","0.929782135236726","0.959777457688759"
"Low transfer dependency","1996","(0) in school","11","","",""
"Low transfer dependency","1996","(1a) inadequately completed","51","0.0813607585730936","0.0585954679028657","0.104126049243322"
"Low transfer dependency","1996","(1b) general elementary school","140","0.0550057441192392","0.0448838735892193","0.0651276146492591"
"Low transfer dependency","1996","(1c) basic vocational qualification","232","0.0473411433770011","0.0407492063598706","0.0539330803941315"
"Low transfer dependency","1996","(2b) intermediate general qualification","37","0.0590317453462592","0.0376331419002287","0.0804303487922896"
"Low transfer dependency","1996","(2a) intermediate vocational","201","0.0546024524699745","0.0459323544817839","0.0632725504581651"
"Low transfer dependency","1996","(2c_gen) general maturity certificate","22","","",""
"Low transfer dependency","1996","(2c_voc) vocational maturity certificate","33","0.0496639391536004","0.0322516173416434","0.0670762609655575"
"Low transfer dependency","1996","(3a) lower tertiary education","49","0.0410115141273536","0.0278335578313223","0.0541894704233848"
"Low transfer dependency","1996","(3b) higher tertiary education","38","0.0302050900256233","0.0189670841086633","0.0414430959425834"
"High transfer dependency","1996","(0) in school","6","","",""
"High transfer dependency","1996","(1a) inadequately completed","19","","",""
"High transfer dependency","1996","(1b) general elementary school","57","0.0242519255277848","0.0174225005925785","0.031081350462991"
"High transfer dependency","1996","(1c) basic vocational qualification","111","0.0231683871852854","0.0184987544219924","0.0278380199485784"
"High transfer dependency","1996","(2b) intermediate general qualification","15","","",""
"High transfer dependency","1996","(2a) intermediate vocational","54","0.0191376078294209","0.013909331148469","0.0243658845103729"
"High transfer dependency","1996","(2c_gen) general maturity certificate","9","","",""
"High transfer dependency","1996","(2c_voc) vocational maturity certificate","6","","",""
"High transfer dependency","1996","(3a) lower tertiary education","14","","",""
"High transfer dependency","1996","(3b) higher tertiary education","2","","",""
"Very high transfer dependency","1996","(0) in school","11","","",""
"Very high transfer dependency","1996","(1a) inadequately completed","29","","",""
"Very high transfer dependency","1996","(1b) general elementary school","75","0.0333460610022221","0.0253752969385265","0.0413168250659177"
"Very high transfer dependency","1996","(1c) basic vocational qualification","102","0.0259056421516937","0.0209747821948399","0.0308365021085475"
"Very high transfer dependency","1996","(2b) intermediate general qualification","8","","",""
"Very high transfer dependency","1996","(2a) intermediate vocational","31","0.0117547008977473","0.00764179412551788","0.0158676076699768"
"Very high transfer dependency","1996","(2c_gen) general maturity certificate","14","","",""
"Very high transfer dependency","1996","(2c_voc) vocational maturity certificate","14","","",""
"Very high transfer dependency","1996","(3a) lower tertiary education","10","","",""
"Very high transfer dependency","1996","(3b) higher tertiary education","18","","",""
"Very low transfer dependency","1997","(0) in school","277","0.890577066322582","0.855826877015268","0.925327255629895"
"Very low transfer dependency","1997","(1a) inadequately completed","416","0.797873072082246","0.763356678629276","0.832389465535216"
"Very low transfer dependency","1997","(1b) general elementary school","1584","0.859311525283758","0.843631863483206","0.87499118708431"
"Very low transfer dependency","1997","(1c) basic vocational qualification","3405","0.886890163067845","0.876926812017118","0.896853514118572"
"Very low transfer dependency","1997","(2b) intermediate general qualification","399","0.894146462897858","0.86633292846474","0.921959997330976"
"Very low transfer dependency","1997","(2a) intermediate vocational","2230","0.88653954243515","0.874303938521903","0.898775146348397"
"Very low transfer dependency","1997","(2c_gen) general maturity certificate","377","0.900857798061355","0.872676329625352","0.929039266497357"
"Very low transfer dependency","1997","(2c_voc) vocational maturity certificate","526","0.877836985010492","0.851502084795818","0.904171885225166"
"Very low transfer dependency","1997","(3a) lower tertiary education","783","0.916228900098618","0.897830158688396","0.934627641508839"
"Very low transfer dependency","1997","(3b) higher tertiary education","832","0.943128636216011","0.92794724336176","0.958310029070262"
"Low transfer dependency","1997","(0) in school","19","","",""
"Low transfer dependency","1997","(1a) inadequately completed","61","0.102547585387171","0.0764731535567415","0.1286220172176"
"Low transfer dependency","1997","(1b) general elementary school","156","0.0601020930917668","0.0493840067392939","0.0708201794442398"
"Low transfer dependency","1997","(1c) basic vocational qualification","283","0.061106896224341","0.0535720652789753","0.0686417271697067"
"Low transfer dependency","1997","(2b) intermediate general qualification","44","0.0609179149763533","0.0392945412227242","0.0825412887299825"
"Low transfer dependency","1997","(2a) intermediate vocational","234","0.0703252631523551","0.0604607583975887","0.0801897679071215"
"Low transfer dependency","1997","(2c_gen) general maturity certificate","28","","",""
"Low transfer dependency","1997","(2c_voc) vocational maturity certificate","42","0.071205040654988","0.0505241059808957","0.0918859753290803"
"Low transfer dependency","1997","(3a) lower tertiary education","60","0.0566417840379479","0.0412904616056578","0.0719931064702381"
"Low transfer dependency","1997","(3b) higher tertiary education","39","0.0319621077992104","0.0204317385267372","0.0434924770716836"
"High transfer dependency","1997","(0) in school","6","","",""
"High transfer dependency","1997","(1a) inadequately completed","17","","",""
"High transfer dependency","1997","(1b) general elementary school","70","0.0396934999740907","0.0308891612297569","0.0484978387184245"
"High transfer dependency","1997","(1c) basic vocational qualification","90","0.0207277448111219","0.0162459901667442","0.0252094994554995"
"High transfer dependency","1997","(2b) intermediate general qualification","11","","",""
"High transfer dependency","1997","(2a) intermediate vocational","66","0.0231202588526351","0.0173223553036043","0.028918162401666"
"High transfer dependency","1997","(2c_gen) general maturity certificate","13","","",""
"High transfer dependency","1997","(2c_voc) vocational maturity certificate","13","","",""
"High transfer dependency","1997","(3a) lower tertiary education","15","","",""
"High transfer dependency","1997","(3b) higher tertiary education","13","","",""
"Very high transfer dependency","1997","(0) in school","8","","",""
"Very high transfer dependency","1997","(1a) inadequately completed","26","","",""
"Very high transfer dependency","1997","(1b) general elementary school","79","0.0408928816503847","0.0319620988563239","0.0498236644444455"
"Very high transfer dependency","1997","(1c) basic vocational qualification","104","0.0312751958966925","0.0257997366009705","0.0367506551924146"
"Very high transfer dependency","1997","(2b) intermediate general qualification","16","","",""
"Very high transfer dependency","1997","(2a) intermediate vocational","51","0.0200149355598597","0.0146118615645556","0.0254180095551638"
"Very high transfer dependency","1997","(2c_gen) general maturity certificate","14","","",""
"Very high transfer dependency","1997","(2c_voc) vocational maturity certificate","13","","",""
"Very high transfer dependency","1997","(3a) lower tertiary education","13","","",""
"Very high transfer dependency","1997","(3b) higher tertiary education","10","","",""
"Very low transfer dependency","1998","(0) in school","288","0.878398150661796","0.843136152588962","0.91366014873463"
"Very low transfer dependency","1998","(1a) inadequately completed","387","0.801162576937806","0.765930842660474","0.836394311215138"
"Very low transfer dependency","1998","(1b) general elementary school","1758","0.887266217267717","0.873555453182165","0.900976981353269"
"Very low transfer dependency","1998","(1c) basic vocational qualification","3663","0.892120309936962","0.882690837250865","0.901549782623058"
"Very low transfer dependency","1998","(2b) intermediate general qualification","451","0.890714338391737","0.864177349348707","0.917251327434766"
"Very low transfer dependency","1998","(2a) intermediate vocational","2495","0.896274702917062","0.885058953238346","0.907490452595777"
"Very low transfer dependency","1998","(2c_gen) general maturity certificate","417","0.877181363096784","0.847879083607146","0.906483642586423"
"Very low transfer dependency","1998","(2c_voc) vocational maturity certificate","593","0.887294823589559","0.86334972689333","0.911239920285788"
"Very low transfer dependency","1998","(3a) lower tertiary education","852","0.913023170537916","0.895141149995943","0.930905191079889"
"Very low transfer dependency","1998","(3b) higher tertiary education","923","0.926186852185263","0.910021646712681","0.942352057657845"
"Low transfer dependency","1998","(0) in school","19","","",""
"Low transfer dependency","1998","(1a) inadequately completed","58","0.0989927057131251","0.0726299756844991","0.125355435741751"
"Low transfer dependency","1998","(1b) general elementary school","156","0.0536829677144257","0.0439118503003485","0.0634540851285028"
"Low transfer dependency","1998","(1c) basic vocational qualification","286","0.0553786370218596","0.0484266994835595","0.0623305745601596"
"Low transfer dependency","1998","(2b) intermediate general qualification","47","0.058841409710605","0.0388255720399798","0.0788572473812302"
"Low transfer dependency","1998","(2a) intermediate vocational","228","0.0622201289315926","0.0533346405893273","0.0711056172738578"
"Low transfer dependency","1998","(2c_gen) general maturity certificate","34","0.0504417473658753","0.0309037323279703","0.0699797624037804"
"Low transfer dependency","1998","(2c_voc) vocational maturity certificate","45","0.0536610910308226","0.0365977611409398","0.0707244209207054"
"Low transfer dependency","1998","(3a) lower tertiary education","70","0.0557027773776956","0.0411493030274919","0.0702562517278993"
"Low transfer dependency","1998","(3b) higher tertiary education","54","0.0434119370994918","0.0308130518261881","0.0560108223727956"
"High transfer dependency","1998","(0) in school","9","","",""
"High transfer dependency","1998","(1a) inadequately completed","18","","",""
"High transfer dependency","1998","(1b) general elementary school","53","0.0198699732470451","0.0138200741188955","0.0259198723751947"
"High transfer dependency","1998","(1c) basic vocational qualification","99","0.0220194940300844","0.0175590857301226","0.0264799023300461"
"High transfer dependency","1998","(2b) intermediate general qualification","20","","",""
"High transfer dependency","1998","(2a) intermediate vocational","50","0.0144374345991023","0.0100495771557911","0.0188252920424134"
"High transfer dependency","1998","(2c_gen) general maturity certificate","13","","",""
"High transfer dependency","1998","(2c_voc) vocational maturity certificate","18","","",""
"High transfer dependency","1998","(3a) lower tertiary education","16","","",""
"High transfer dependency","1998","(3b) higher tertiary education","14","","",""
"Very high transfer dependency","1998","(0) in school","14","","",""
"Very high transfer dependency","1998","(1a) inadequately completed","30","0.0701259569727476","0.0475848056654936","0.0926671082800016"
"Very high transfer dependency","1998","(1b) general elementary school","77","0.0391808417708126","0.0307694985705129","0.0475921849711124"
"Very high transfer dependency","1998","(1c) basic vocational qualification","110","0.0304815590110945","0.0252563643622113","0.0357067536599778"
"Very high transfer dependency","1998","(2b) intermediate general qualification","13","","",""
"Very high transfer dependency","1998","(2a) intermediate vocational","66","0.0270677335522433","0.0210983065679373","0.0330371605365494"
"Very high transfer dependency","1998","(2c_gen) general maturity certificate","18","","",""
"Very high transfer dependency","1998","(2c_voc) vocational maturity certificate","14","","",""
"Very high transfer dependency","1998","(3a) lower tertiary education","16","","",""
"Very high transfer dependency","1998","(3b) higher tertiary education","14","","",""
"Very low transfer dependency","1999","(0) in school","277","0.863193050980611","0.825541649323578","0.900844452637645"
"Very low transfer dependency","1999","(1a) inadequately completed","367","0.810230451067874","0.774818065774343","0.845642836361405"
"Very low transfer dependency","1999","(1b) general elementary school","1689","0.894681099044235","0.881053182605939","0.90830901548253"
"Very low transfer dependency","1999","(1c) basic vocational qualification","3639","0.908528339452808","0.899681589359804","0.917375089545813"
"Very low transfer dependency","1999","(2b) intermediate general qualification","449","0.873822482791596","0.84555333266017","0.902091632923021"
"Very low transfer dependency","1999","(2a) intermediate vocational","2481","0.893812239847224","0.882457720167834","0.905166759526615"
"Very low transfer dependency","1999","(2c_gen) general maturity certificate","404","0.881475207445884","0.852407489393672","0.910542925498096"
"Very low transfer dependency","1999","(2c_voc) vocational maturity certificate","612","0.926542220463756","0.906802621000838","0.946281819926674"
"Very low transfer dependency","1999","(3a) lower tertiary education","863","0.92985274339118","0.913595146306351","0.946110340476009"
"Very low transfer dependency","1999","(3b) higher tertiary education","945","0.933723104038177","0.918403995223719","0.949042212852634"
"Low transfer dependency","1999","(0) in school","21","","",""
"Low transfer dependency","1999","(1a) inadequately completed","66","0.114007417209124","0.085304949697352","0.142709884720895"
"Low transfer dependency","1999","(1b) general elementary school","148","0.0511677574950964","0.0413855903229056","0.0609499246672871"
"Low transfer dependency","1999","(1c) basic vocational qualification","249","0.0455733027290905","0.0391730403318582","0.0519735651263228"
"Low transfer dependency","1999","(2b) intermediate general qualification","46","0.068662006257763","0.047133095332596","0.0901909171829301"
"Low transfer dependency","1999","(2a) intermediate vocational","245","0.0709731694766566","0.0615092809348902","0.0804370580184231"
"Low transfer dependency","1999","(2c_gen) general maturity certificate","42","0.0681668950504417","0.0455018226725076","0.0908319674283759"
"Low transfer dependency","1999","(2c_voc) vocational maturity certificate","32","0.0395629729883512","0.0248138655886935","0.054312080388009"
"Low transfer dependency","1999","(3a) lower tertiary education","53","0.0411015865729672","0.0284641346723532","0.0537390384735812"
"Low transfer dependency","1999","(3b) higher tertiary education","47","0.0416974099652677","0.029387659788935","0.0540071601416004"
"High transfer dependency","1999","(0) in school","12","","",""
"High transfer dependency","1999","(1a) inadequately completed","18","","",""
"High transfer dependency","1999","(1b) general elementary school","50","0.0236000761928057","0.0168608079575385","0.0303393444280728"
"High transfer dependency","1999","(1c) basic vocational qualification","93","0.0175489689210465","0.0135194565153974","0.0215784813266957"
"High transfer dependency","1999","(2b) intermediate general qualification","19","","",""
"High transfer dependency","1999","(2a) intermediate vocational","54","0.0161223838020651","0.011480507571971","0.0207642600321591"
"High transfer dependency","1999","(2c_gen) general maturity certificate","16","","",""
"High transfer dependency","1999","(2c_voc) vocational maturity certificate","14","","",""
"High transfer dependency","1999","(3a) lower tertiary education","17","","",""
"High transfer dependency","1999","(3b) higher tertiary education","10","","",""
"Very high transfer dependency","1999","(0) in school","10","","",""
"Very high transfer dependency","1999","(1a) inadequately completed","20","","",""
"Very high transfer dependency","1999","(1b) general elementary school","62","0.0305510672678634","0.0229106367057656","0.0381914978299613"
"Very high transfer dependency","1999","(1c) basic vocational qualification","98","0.0283493888970546","0.0232561018447325","0.0334426759493766"
"Very high transfer dependency","1999","(2b) intermediate general qualification","16","","",""
"Very high transfer dependency","1999","(2a) intermediate vocational","48","0.0190922068740539","0.0140484917773726","0.0241359219707352"
"Very high transfer dependency","1999","(2c_gen) general maturity certificate","13","","",""
"Very high transfer dependency","1999","(2c_voc) vocational maturity certificate","13","","",""
"Very high transfer dependency","1999","(3a) lower tertiary education","15","","",""
"Very high transfer dependency","1999","(3b) higher tertiary education","11","","",""
"Very low transfer dependency","2000","(0) in school","419","0.857720677023078","0.826946296011645","0.888495058034512"
"Very low transfer dependency","2000","(1a) inadequately completed","315","0.775157576973621","0.735183798053829","0.815131355893413"
"Very low transfer dependency","2000","(1b) general elementary school","2487","0.89263320456991","0.881293312229824","0.903973096909997"
"Very low transfer dependency","2000","(1c) basic vocational qualification","7027","0.913009113990356","0.906755665865223","0.91926256211549"
"Very low transfer dependency","2000","(2b) intermediate general qualification","611","0.844811408483353","0.81850920204287","0.871113614923836"
"Very low transfer dependency","2000","(2a) intermediate vocational","4868","0.899132840996655","0.891187643104715","0.907078038888595"
"Very low transfer dependency","2000","(2c_gen) general maturity certificate","710","0.875669835721802","0.853181682850689","0.898157988592916"
"Very low transfer dependency","2000","(2c_voc) vocational maturity certificate","1410","0.910531923922788","0.896345774431328","0.924718073414247"
"Very low transfer dependency","2000","(3a) lower tertiary education","1573","0.938956959322082","0.927566320227115","0.950347598417049"
"Very low transfer dependency","2000","(3b) higher tertiary education","1984","0.933432244334482","0.922843764416421","0.944020724252543"
"Low transfer dependency","2000","(0) in school","45","0.0786254396439473","0.0549146977231555","0.102336181564739"
"Low transfer dependency","2000","(1a) inadequately completed","42","0.0934210847543168","0.0655556168749241","0.121286552633709"
"Low transfer dependency","2000","(1b) general elementary school","192","0.0533681732127731","0.0451349642808722","0.0616013821446739"
"Low transfer dependency","2000","(1c) basic vocational qualification","431","0.0463904940031692","0.0417234176875366","0.0510575703188017"
