"transab_cat2","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1997","35-65 y.","East Germany","97","0.0488068256841108","0.03937565626433","0.0582379951038916","2"
"High transfer dependency","1997","66 and older","West Germany","8","","","","2"
"High transfer dependency","1997","66 and older","East Germany","3","","","","2"
"Low transfer dependency","1997","16-34 y.","West Germany","226","0.0583947346930239","0.0505645003124388","0.0662249690736091","1"
"Low transfer dependency","1997","16-34 y.","East Germany","195","0.175605624561673","0.153576740194563","0.197634508928783","1"
"Low transfer dependency","1997","35-65 y.","East Germany","267","0.143511097769087","0.128165121727468","0.158857073810705","1"
"Low transfer dependency","1997","35-65 y.","West Germany","273","0.048978767467049","0.0427378041747651","0.0552197307593328","1"
"Low transfer dependency","1997","66 and older","West Germany","20","","","","1"
"Low transfer dependency","1997","66 and older","East Germany","10","","","","1"
"Very high transfer dependency","1997","16-34 y.","West Germany","121","0.0388496084488937","0.0323968935873495","0.0453023233104378","3"
"Very high transfer dependency","1997","16-34 y.","East Germany","40","0.0440324099882142","0.0321538554897957","0.0559109644866327","3"
"Very high transfer dependency","1997","35-65 y.","West Germany","122","0.0317691008445362","0.0266975062966173","0.0368406953924552","3"
"Very high transfer dependency","1997","35-65 y.","East Germany","68","0.0437838484029011","0.0348276046288811","0.0527400921769212","3"
"Very high transfer dependency","1997","66 and older","West Germany","4","","","","3"
"Very high transfer dependency","1997","66 and older","East Germany","","","","","3"
"Very low transfer dependency","1997","16-34 y.","West Germany","3022","0.882295999293243","0.871534909750562","0.893057088835924","0"
"Very low transfer dependency","1997","16-34 y.","East Germany","858","0.71439628644352","0.688244142293424","0.740548430593616","0"
"Very low transfer dependency","1997","35-65 y.","East Germany","1573","0.763898228143901","0.745309131853626","0.782487324434176","0"
"Very low transfer dependency","1997","35-65 y.","West Germany","4116","0.900707197105063","0.892059443694483","0.909354950515642","0"
"Very low transfer dependency","1997","66 and older","East Germany","428","0.977108419247181","0.963149941269866","0.991066897224497","0"
"Very low transfer dependency","1997","66 and older","West Germany","1135","0.97068362208393","0.961005152940938","0.980362091226922","0"
"High transfer dependency","1998","16-34 y.","East Germany","44","0.0392455085530022","0.0282268414713503","0.050264175634654","2"
"High transfer dependency","1998","16-34 y.","West Germany","91","0.0241049695449429","0.019125148300044","0.0290847907898418","2"
"High transfer dependency","1998","35-65 y.","East Germany","86","0.0363316203010757","0.0284425305762722","0.0442207100258792","2"
"High transfer dependency","1998","35-65 y.","West Germany","97","0.0187882604508113","0.015140081650407","0.0224364392512156","2"
"High transfer dependency","1998","66 and older","West Germany","4","","","","2"
"High transfer dependency","1998","66 and older","East Germany","1","","","","2"
"Low transfer dependency","1998","16-34 y.","East Germany","193","0.154465746002181","0.133958394971765","0.174973097032598","1"
"Low transfer dependency","1998","16-34 y.","West Germany","241","0.056639052593736","0.049133963644036","0.064144141543436","1"
"Low transfer dependency","1998","35-65 y.","East Germany","271","0.122938583325978","0.109094002446711","0.136783164205245","1"
"Low transfer dependency","1998","35-65 y.","West Germany","300","0.0487330304556544","0.0429478837125228","0.054518177198786","1"
"Low transfer dependency","1998","66 and older","West Germany","32","0.0147396162192609","0.00843833986085111","0.0210408925776708","1"
"Low transfer dependency","1998","66 and older","East Germany","14","","","","1"
"Very high transfer dependency","1998","16-34 y.","West Germany","121","0.0403804282436776","0.0339890588950915","0.0467717975922637","3"
"Very high transfer dependency","1998","16-34 y.","East Germany","45","0.055254034663354","0.0422891878405724","0.0682188814861356","3"
"Very high transfer dependency","1998","35-65 y.","West Germany","138","0.0301003493853291","0.0255094198040904","0.0346912789665679","3"
"Very high transfer dependency","1998","35-65 y.","East Germany","82","0.0503676290628687","0.0411467098568082","0.0595885482689293","3"
"Very high transfer dependency","1998","66 and older","West Germany","8","","","","3"
"Very high transfer dependency","1998","66 and older","East Germany","","","","","3"
"Very low transfer dependency","1998","16-34 y.","West Germany","3191","0.878875549617643","0.868282073109703","0.889469026125584","0"
"Very low transfer dependency","1998","16-34 y.","East Germany","911","0.751034710781462","0.726497382414471","0.775572039148454","0"
"Very low transfer dependency","1998","35-65 y.","East Germany","1722","0.790362167310078","0.77320013916371","0.807524195456446","0"
"Very low transfer dependency","1998","35-65 y.","West Germany","4786","0.902378359708205","0.894403577197369","0.910353142219041","0"
"Very low transfer dependency","1998","66 and older","East Germany","470","0.9797256608288","0.967182620544457","0.992268701113143","0"
"Very low transfer dependency","1998","66 and older","West Germany","1361","0.976654380448521","0.968758817834642","0.984549943062401","0"
"High transfer dependency","1999","16-34 y.","West Germany","81","0.0233808212356175","0.0183060289122361","0.0284556135589988","2"
"High transfer dependency","1999","16-34 y.","East Germany","68","0.0708257043008262","0.0560758044508741","0.0855756041507784","2"
"High transfer dependency","1999","35-65 y.","West Germany","56","0.00871948158491482","0.00617909962844536","0.0112598635413843","2"
"High transfer dependency","1999","35-65 y.","East Germany","101","0.0491564502929142","0.03995571479006","0.0583571857957683","2"
"High transfer dependency","1999","66 and older","West Germany","8","","","","2"
"High transfer dependency","1999","66 and older","East Germany","2","","","","2"
"Low transfer dependency","1999","16-34 y.","West Germany","232","0.0541539380002088","0.0465532829840557","0.061754593016362","1"
"Low transfer dependency","1999","16-34 y.","East Germany","176","0.165225630492056","0.143872168859742","0.186579092124369","1"
"Low transfer dependency","1999","35-65 y.","East Germany","242","0.105461659157986","0.0923901859728722","0.118533132343099","1"
"Low transfer dependency","1999","35-65 y.","West Germany","292","0.0500988823287043","0.0441380264803841","0.0560597381770245","1"
"Low transfer dependency","1999","66 and older","West Germany","26","","","","1"
"Low transfer dependency","1999","66 and older","East Germany","10","","","","1"
"Very high transfer dependency","1999","16-34 y.","West Germany","97","0.032589833172608","0.0266267322247127","0.0385529341205033","3"
"Very high transfer dependency","1999","16-34 y.","East Germany","44","0.0484126057380745","0.0360716556343463","0.0607535558418026","3"
"Very high transfer dependency","1999","35-65 y.","West Germany","112","0.0243932878673933","0.0201779929801491","0.0286085827546374","3"
"Very high transfer dependency","1999","35-65 y.","East Germany","66","0.0431436677304855","0.0344967832756072","0.0517905521853639","3"
"Very high transfer dependency","1999","66 and older","West Germany","2","","","","3"
"Very high transfer dependency","1999","66 and older","East Germany","","","","","3"
"Very low transfer dependency","1999","16-34 y.","West Germany","2996","0.889875407591566","0.879362265634611","0.900388549548521","0"
"Very low transfer dependency","1999","16-34 y.","East Germany","874","0.715536059469044","0.689595794950842","0.741476323987245","0"
"Very low transfer dependency","1999","35-65 y.","East Germany","1712","0.802238222818615","0.785287016495556","0.819189429141673","0"
"Very low transfer dependency","1999","35-65 y.","West Germany","4685","0.916788348218988","0.909241215009619","0.924335481428356","0"
"Very low transfer dependency","1999","66 and older","East Germany","480","0.977980509813888","0.965013666311743","0.990947353316033","0"
"Very low transfer dependency","1999","66 and older","West Germany","1302","0.978998566415934","0.971315483274997","0.986681649556871","0"
"High transfer dependency","2000","16-34 y.","West Germany","129","0.0235803457918856","0.0195384761144881","0.0276222154692832","2"
"High transfer dependency","2000","16-34 y.","East Germany","65","0.0469011648022143","0.0366809983715023","0.0571213312329263","2"
"High transfer dependency","2000","35-65 y.","East Germany","137","0.0415796341515637","0.0347353912251434","0.048423877077984","2"
"High transfer dependency","2000","35-65 y.","West Germany","121","0.0107513312154431","0.00874234327151816","0.012760319159368","2"
"High transfer dependency","2000","66 and older","West Germany","9","","","","2"
"High transfer dependency","2000","66 and older","East Germany","7","","","","2"
"Low transfer dependency","2000","16-34 y.","West Germany","383","0.0669129278903591","0.0602570542522922","0.073568801528426","1"
"Low transfer dependency","2000","16-34 y.","East Germany","230","0.136361393424531","0.119772824420625","0.152949962428437","1"
"Low transfer dependency","2000","35-65 y.","East Germany","376","0.103261170355623","0.0928281855146246","0.113694155196621","1"
"Low transfer dependency","2000","35-65 y.","West Germany","485","0.0413317885764505","0.0374541284972253","0.0452094486556758","1"
"Low transfer dependency","2000","66 and older","West Germany","60","0.0182770298001034","0.0132705896305697","0.0232834699696372","1"
"Low transfer dependency","2000","66 and older","East Germany","20","","","","1"
"Very high transfer dependency","2000","16-34 y.","East Germany","85","0.0548735902043884","0.0438651998359754","0.0658819805728014","3"
"Very high transfer dependency","2000","16-34 y.","West Germany","145","0.0257588524138618","0.0215391147245183","0.0299785901032053","3"
"Very high transfer dependency","2000","35-65 y.","West Germany","252","0.0278431845637291","0.0246382358200441","0.0310481333074142","3"
"Very high transfer dependency","2000","35-65 y.","East Germany","124","0.046025562957471","0.0388414195927213","0.0532097063222207","3"
"Very high transfer dependency","2000","66 and older","West Germany","10","","","","3"
"Very high transfer dependency","2000","66 and older","East Germany","","","","","3"
"Very low transfer dependency","2000","16-34 y.","West Germany","4757","0.883747873903893","0.875209923878486","0.892285823929301","0"
"Very low transfer dependency","2000","16-34 y.","East Germany","1264","0.761863851568867","0.74127422210763","0.782453481030103","0"
"Very low transfer dependency","2000","35-65 y.","West Germany","9265","0.920073695644377","0.914791072300743","0.925356318988011","0"
"Very low transfer dependency","2000","35-65 y.","East Germany","2631","0.809133632535343","0.795660086892495","0.82260717817819","0"
"Very low transfer dependency","2000","66 and older","East Germany","857","0.971944148462127","0.961058499113131","0.982829797811122","0"
"Very low transfer dependency","2000","66 and older","West Germany","2671","0.975495456826878","0.969716922800301","0.981273990853455","0"
"High transfer dependency","2001","16-34 y.","West Germany","91","0.0218590029446502","0.0176808514548092","0.0260371544344911","2"
"High transfer dependency","2001","16-34 y.","East Germany","84","0.0547864340023096","0.0433085691387415","0.0662642988658776","2"
"High transfer dependency","2001","35-65 y.","West Germany","135","0.0136994775201638","0.0113247355948512","0.0160742194454764","2"
"High transfer dependency","2001","35-65 y.","East Germany","114","0.0338744084767083","0.0274393890755982","0.0403094278778183","2"
"High transfer dependency","2001","66 and older","West Germany","15","","","","2"
"High transfer dependency","2001","66 and older","East Germany","4","","","","2"
"Low transfer dependency","2001","16-34 y.","West Germany","346","0.0688785000139011","0.0616422544732476","0.0761147455545546","1"
"Low transfer dependency","2001","16-34 y.","East Germany","238","0.143306842739176","0.125634027775322","0.16097965770303","1"
"Low transfer dependency","2001","35-65 y.","East Germany","379","0.112044173519534","0.100824311223234","0.123264035815835","1"
"Low transfer dependency","2001","35-65 y.","West Germany","435","0.0396083208005261","0.0356237899312026","0.0435928516698497","1"
"Low transfer dependency","2001","66 and older","West Germany","46","0.0168747680250568","0.0119143127771499","0.0218352232729637","1"
"Low transfer dependency","2001","66 and older","East Germany","21","","","","1"
"Very high transfer dependency","2001","16-34 y.","East Germany","76","0.0560733923031186","0.0444694076209093","0.0676773769853278","3"
"Very high transfer dependency","2001","16-34 y.","West Germany","132","0.0325600377717516","0.0274886976492216","0.0376313778942816","3"
"Very high transfer dependency","2001","35-65 y.","West Germany","201","0.0256613561772862","0.0224309691896741","0.0288917431648982","3"
"Very high transfer dependency","2001","35-65 y.","East Germany","140","0.057204676807714","0.0489438848422043","0.0654654687732237","3"
"Very high transfer dependency","2001","66 and older","West Germany","8","","","","3"
"Very high transfer dependency","2001","66 and older","East Germany","","","","","3"
"Very low transfer dependency","2001","16-34 y.","West Germany","4136","0.876702459269697","0.867308004134687","0.886096914404708","0"
"Very low transfer dependency","2001","16-34 y.","East Germany","1112","0.745833330955396","0.723872953020016","0.767793708890777","0"
"Very low transfer dependency","2001","35-65 y.","West Germany","8433","0.921030845502024","0.915521175122315","0.926540515881733","0"
"Very low transfer dependency","2001","35-65 y.","East Germany","2403","0.796876741196044","0.782565654564967","0.81118782782712","0"
"Very low transfer dependency","2001","66 and older","East Germany","823","0.973093501754338","0.962202795581229","0.983984207927447","0"
"Very low transfer dependency","2001","66 and older","West Germany","2521","0.97291046603598","0.966658229305593","0.979162702766367","0"
"High transfer dependency","2002","16-34 y.","West Germany","106","0.0349381509434457","0.0296586935804298","0.0402176083064617","2"
"High transfer dependency","2002","16-34 y.","East Germany","79","0.0633893487776002","0.0509249092634801","0.0758537882917202","2"
"High transfer dependency","2002","35-65 y.","East Germany","108","0.0366797977180872","0.0299900354302887","0.0433695600058857","2"
"High transfer dependency","2002","35-65 y.","West Germany","143","0.0201921020395805","0.0174628390764061","0.0229213650027548","2"
"High transfer dependency","2002","66 and older","West Germany","20","","","","2"
"High transfer dependency","2002","66 and older","East Germany","3","","","","2"
"Low transfer dependency","2002","16-34 y.","West Germany","319","0.0743795641930397","0.0668355058803584","0.0819236225057209","1"
"Low transfer dependency","2002","16-34 y.","East Germany","201","0.138508327273455","0.120837839112794","0.156178815434116","1"
"Low transfer dependency","2002","35-65 y.","West Germany","412","0.0477679229152435","0.0436296061549453","0.0519062396755418","1"
"Low transfer dependency","2002","35-65 y.","East Germany","335","0.114169706215333","0.102851891188043","0.125487521242623","1"
"Low transfer dependency","2002","66 and older","West Germany","45","0.0170563595743978","0.0122055059217483","0.0219072132270474","1"
"Low transfer dependency","2002","66 and older","East Germany","15","","","","1"
"Very high transfer dependency","2002","16-34 y.","East Germany","81","0.0710592864266233","0.05791643849345","0.0842021343597966","3"
"Very high transfer dependency","2002","16-34 y.","West Germany","104","0.0289594044368996","0.0241379811503309","0.0337808277234684","3"
"Very high transfer dependency","2002","35-65 y.","West Germany","187","0.0248531966537389","0.0218324780065488","0.0278739153009291","3"
"Very high transfer dependency","2002","35-65 y.","East Germany","137","0.0654242502072562","0.0566241317768941","0.0742243686376184","3"
"Very high transfer dependency","2002","66 and older","West Germany","8","","","","3"
"Very high transfer dependency","2002","66 and older","East Germany","","","","","3"
"Very low transfer dependency","2002","16-34 y.","West Germany","4118","0.861722880426615","0.851798104071845","0.871647656781385","0"
"Very low transfer dependency","2002","16-34 y.","East Germany","1107","0.727043037522321","0.704254722658388","0.749831352386255","0"
"Very low transfer dependency","2002","35-65 y.","West Germany","9461","0.907186778391437","0.901556402012352","0.912817154770522","0"
"Very low transfer dependency","2002","35-65 y.","East Germany","2453","0.783726245859324","0.769074276871369","0.798378214847279","0"
"Very low transfer dependency","2002","66 and older","East Germany","876","0.980996727873129","0.972046639887342","0.989946815858916","0"
"Very low transfer dependency","2002","66 and older","West Germany","2664","0.970268635554195","0.9639056035301","0.976631667578289","0"
"High transfer dependency","2003","16-34 y.","West Germany","109","0.0300647088849758","0.0250040322962051","0.0351253854737464","2"
"High transfer dependency","2003","16-34 y.","East Germany","88","0.0655473192325956","0.0527601675030165","0.0783344709621747","2"
"High transfer dependency","2003","35-65 y.","East Germany","98","0.0374319076890521","0.0305844930698988","0.0442793223082055","2"
"High transfer dependency","2003","35-65 y.","West Germany","128","0.0157858308639047","0.013300063183209","0.0182715985446003","2"
"High transfer dependency","2003","66 and older","West Germany","13","","","","2"
"High transfer dependency","2003","66 and older","East Germany","2","","","","2"
"Low transfer dependency","2003","16-34 y.","West Germany","324","0.0738257263657787","0.0660764897352595","0.0815749629962979","1"
"Low transfer dependency","2003","16-34 y.","East Germany","214","0.159442969019961","0.140528072351535","0.178357865688386","1"
"Low transfer dependency","2003","35-65 y.","East Germany","346","0.123212991133896","0.111356253279695","0.135069728988097","1"
"Low transfer dependency","2003","35-65 y.","West Germany","445","0.0493941312795413","0.0450727764361438","0.0537154861229388","1"
"Low transfer dependency","2003","66 and older","West Germany","57","0.0224227253626271","0.0169171626023539","0.0279282881229004","1"
"Low transfer dependency","2003","66 and older","East Germany","19","","","","1"
"Very high transfer dependency","2003","16-34 y.","East Germany","99","0.0912695424791219","0.0763897055072789","0.106149379450965","3"
"Very high transfer dependency","2003","16-34 y.","West Germany","133","0.0453945009026484","0.0392253940812011","0.0515636077240957","3"
"Very high transfer dependency","2003","35-65 y.","West Germany","190","0.0320607926479755","0.0285476710948763","0.0355739142010746","3"
"Very high transfer dependency","2003","35-65 y.","East Germany","151","0.0694910508378532","0.0603179824534354","0.078664119222271","3"
"Very high transfer dependency","2003","66 and older","West Germany","6","","","","3"
"Very high transfer dependency","2003","66 and older","East Germany","","","","","3"
"Very low transfer dependency","2003","16-34 y.","West Germany","3808","0.850715063846597","0.8401539735323","0.861276154160894","0"
"Very low transfer dependency","2003","16-34 y.","East Germany","1038","0.683740169268322","0.659713959820377","0.707766378716267","0"
"Very low transfer dependency","2003","35-65 y.","West Germany","8896","0.902759245208579","0.896850542478147","0.90866794793901","0"
"Very low transfer dependency","2003","35-65 y.","East Germany","2357","0.769864050339199","0.754679946425138","0.785048154253259","0"
"Very low transfer dependency","2003","66 and older","East Germany","898","0.971419613192697","0.960646832461649","0.982192393923746","0"
"Very low transfer dependency","2003","66 and older","West Germany","2702","0.968707722259075","0.962233360840864","0.975182083677286","0"
"High transfer dependency","2004","16-34 y.","West Germany","113","0.0296380944711593","0.0244908822837574","0.0347853066585612","2"
"High transfer dependency","2004","16-34 y.","East Germany","76","0.0703237656744099","0.0569681569481457","0.0836793744006741","2"
"High transfer dependency","2004","35-65 y.","East Germany","100","0.0433441975486546","0.0358312055754829","0.0508571895218262","2"
"High transfer dependency","2004","35-65 y.","West Germany","136","0.0173476098881611","0.0147000369060639","0.0199951828702584","2"
"High transfer dependency","2004","66 and older","West Germany","14","","","","2"
"High transfer dependency","2004","66 and older","East Germany","1","","","","2"
"Low transfer dependency","2004","16-34 y.","West Germany","341","0.0931342834270356","0.084313516550925","0.101955050303146","1"
"Low transfer dependency","2004","16-34 y.","East Germany","221","0.169022867042512","0.149447314374747","0.188598419710276","1"
"Low transfer dependency","2004","35-65 y.","West Germany","447","0.0521884245091429","0.04767842746848","0.0566984215498057","1"
"Low transfer dependency","2004","35-65 y.","East Germany","302","0.109321031662257","0.0978082028844325","0.120833860440082","1"
"Low transfer dependency","2004","66 and older","West Germany","57","0.0211445462484452","0.0158562213559794","0.0264328711409109","1"
"Low transfer dependency","2004","66 and older","East Germany","20","","","","1"
"Very high transfer dependency","2004","16-34 y.","East Germany","115","0.107446159856705","0.0912705961588509","0.123621723554559","3"
"Very high transfer dependency","2004","16-34 y.","West Germany","126","0.0422158453864024","0.0361127292706426","0.0483189615021622","3"
"Very high transfer dependency","2004","35-65 y.","East Germany","161","0.0814695515573785","0.071376696698935","0.091562406415822","3"
"Very high transfer dependency","2004","35-65 y.","West Germany","201","0.0323534972761003","0.0287655410023884","0.0359414535498123","3"
"Very high transfer dependency","2004","66 and older","West Germany","6","","","","3"
"Very high transfer dependency","2004","66 and older","East Germany","","","","","3"
"Very low transfer dependency","2004","16-34 y.","West Germany","3590","0.835011776715403","0.823746215371878","0.846277338058927","0"
"Very low transfer dependency","2004","16-34 y.","East Germany","996","0.653207207426374","0.628346855109351","0.678067559743396","0"
"Very low transfer dependency","2004","35-65 y.","West Germany","8558","0.898110468326596","0.89197626987774","0.904244666775451","0"
"Very low transfer dependency","2004","35-65 y.","East Germany","2259","0.76586521923171","0.75024170503603","0.781488733427389","0"
"Very low transfer dependency","2004","66 and older","West Germany","2766","0.970542395037667","0.96432704441091","0.976757745664424","0"
"Very low transfer dependency","2004","66 and older","East Germany","947","0.971212114161604","0.960678622794351","0.981745605528857","0"
"High transfer dependency","2005","16-34 y.","West Germany","112","0.0331549733947197","0.027563736718334","0.0387462100711054","2"
"High transfer dependency","2005","16-34 y.","East Germany","86","0.0819336898041605","0.0671939250417977","0.0966734545665234","2"
"High transfer dependency","2005","35-65 y.","East Germany","109","0.0423237286884311","0.0347170938800585","0.0499303634968036","2"
"High transfer dependency","2005","35-65 y.","West Germany","142","0.0202304931813302","0.0172986181997057","0.0231623681629546","2"
"High transfer dependency","2005","66 and older","East Germany","","","","","2"
"High transfer dependency","2005","66 and older","West Germany","21","","","","2"
"Low transfer dependency","2005","16-34 y.","West Germany","347","0.0933116875672252","0.0842282103488938","0.102395164785557","1"
"Low transfer dependency","2005","16-34 y.","East Germany","206","0.184587128912357","0.163736855268202","0.205437402556511","1"
"Low transfer dependency","2005","35-65 y.","East Germany","303","0.119493669311113","0.107238200411915","0.13174913821031","1"
"Low transfer dependency","2005","35-65 y.","West Germany","451","0.0546036450714534","0.0498721539191121","0.0593351362237947","1"
"Low transfer dependency","2005","66 and older","East Germany","21","","","","1"
"Low transfer dependency","2005","66 and older","West Germany","60","0.0244758573541396","0.0187908652849925","0.0301608494232868","1"
"Very high transfer dependency","2005","16-34 y.","East Germany","117","0.11207920737199","0.0951252179035414","0.129033196840438","3"
"Very high transfer dependency","2005","16-34 y.","West Germany","151","0.0470687272057244","0.0404549110639609","0.0536825433474879","3"
"Very high transfer dependency","2005","35-65 y.","East Germany","144","0.0832530534369245","0.0728150829720176","0.0936910239018313","3"
"Very high transfer dependency","2005","35-65 y.","West Germany","197","0.0333587245422147","0.029619189223028","0.0370982598614015","3"
"Very high transfer dependency","2005","66 and older","West Germany","9","","","","3"
"Very high transfer dependency","2005","66 and older","East Germany","","","","","3"
"Very low transfer dependency","2005","16-34 y.","West Germany","3329","0.826464611832331","0.814637975089589","0.838291248575073","0"
"Very low transfer dependency","2005","16-34 y.","East Germany","921","0.621399973911493","0.595332544531417","0.647467403291569","0"
"Very low transfer dependency","2005","35-65 y.","West Germany","8068","0.891807137205002","0.885338466683686","0.898275807726317","0"
"Very low transfer dependency","2005","35-65 y.","East Germany","2135","0.754929548563532","0.738678180375981","0.771180916751083","0"
"Very low transfer dependency","2005","66 and older","West Germany","2748","0.962988674944361","0.956042914475625","0.969934435413098","0"
"Very low transfer dependency","2005","66 and older","East Germany","951","0.977047519244576","0.967633228259838","0.986461810229314","0"
"High transfer dependency","2006","16-34 y.","West Germany","151","0.0409558611202123","0.0348362082797228","0.0470755139607017","2"
"High transfer dependency","2006","16-34 y.","East Germany","114","0.111203676096388","0.094513502263963","0.127893849928813","2"
"High transfer dependency","2006","35-65 y.","East Germany","103","0.0440874309522917","0.0365452469152034","0.0516296149893801","2"
"High transfer dependency","2006","35-65 y.","West Germany","171","0.0218913368539485","0.0189514693958712","0.0248312043120258","2"
"High transfer dependency","2006","66 and older","West Germany","16","","","","2"
"High transfer dependency","2006","66 and older","East Germany","3","","","","2"
"Low transfer dependency","2006","16-34 y.","West Germany","351","0.101233666549329","0.0919196857422124","0.110547647356445","1"
"Low transfer dependency","2006","16-34 y.","East Germany","179","0.13795199942512","0.119644463828828","0.156259535021412","1"
"Low transfer dependency","2006","35-65 y.","West Germany","464","0.0509178953081689","0.046501324774643","0.0553344658416947","1"
"Low transfer dependency","2006","35-65 y.","East Germany","278","0.106709044029695","0.0953660494048844","0.118052038654506","1"
"Low transfer dependency","2006","66 and older","West Germany","69","0.0240389038488616","0.0188459023076459","0.0292319053900772","1"
"Low transfer dependency","2006","66 and older","East Germany","13","","","","1"
"Very high transfer dependency","2006","16-34 y.","East Germany","133","0.147044409840735","0.128243120527869","0.1658456991536","3"
"Very high transfer dependency","2006","16-34 y.","West Germany","190","0.058304620320093","0.0510693266546992","0.0655399139854868","3"
"Very high transfer dependency","2006","35-65 y.","East Germany","172","0.0868439009390843","0.0764978927728769","0.0971899091052917","3"
"Very high transfer dependency","2006","35-65 y.","West Germany","274","0.0416998966725337","0.0376836875962904","0.045716105748777","3"
"Very high transfer dependency","2006","66 and older","West Germany","13","","","","3"
"Very high transfer dependency","2006","66 and older","East Germany","1","","","","3"
"Very low transfer dependency","2006","16-34 y.","West Germany","3337","0.799505852010366","0.787143214614877","0.811868489405855","0"
"Very low transfer dependency","2006","16-34 y.","East Germany","937","0.603799914637758","0.577833979426485","0.62976584984903","0"
"Very low transfer dependency","2006","35-65 y.","West Germany","8608","0.885490871165349","0.879093373209163","0.891888369121535","0"
"Very low transfer dependency","2006","35-65 y.","East Germany","2293","0.762359624078929","0.746722002396923","0.777997245760935","0"
"Very low transfer dependency","2006","66 and older","West Germany","3244","0.961712158810841","0.955206401452601","0.968217916169082","0"
"Very low transfer dependency","2006","66 and older","East Germany","1118","0.982649719573342","0.975053407874535","0.990246031272149","0"
"High transfer dependency","2007","16-34 y.","West Germany","141","0.0501696092378619","0.0431632034096236","0.0571760150661003","2"
"High transfer dependency","2007","16-34 y.","East Germany","64","0.0669623668303095","0.0533380790995449","0.0805866545610741","2"
"High transfer dependency","2007","35-65 y.","East Germany","108","0.0491005534462575","0.0408549738870904","0.0573461330054245","2"
"High transfer dependency","2007","35-65 y.","West Germany","148","0.0210639130442801","0.0180590774012891","0.0240687486872711","2"
"High transfer dependency","2007","66 and older","East Germany","5","","","","2"
"High transfer dependency","2007","66 and older","West Germany","22","","","","2"
"Low transfer dependency","2007","16-34 y.","West Germany","287","0.0893951305019512","0.0802376961305314","0.098552564873371","1"
"Low transfer dependency","2007","16-34 y.","East Germany","212","0.160829007493199","0.140804757844265","0.180853257142132","1"
"Low transfer dependency","2007","35-65 y.","East Germany","245","0.0904511992200197","0.0795058187443536","0.101396579695686","1"
"Low transfer dependency","2007","35-65 y.","West Germany","404","0.0542078915602812","0.0494698035107279","0.0589459796098346","1"
"Low transfer dependency","2007","66 and older","East Germany","16","","","","1"
"Low transfer dependency","2007","66 and older","West Germany","73","0.0240648193540541","0.0188017268698682","0.02932791183824","1"
"Very high transfer dependency","2007","16-34 y.","West Germany","165","0.0591900321372662","0.0516160000220229","0.0667640642525094","3"
"Very high transfer dependency","2007","16-34 y.","East Germany","118","0.121354774831573","0.103556248738213","0.139153300924932","3"
"Very high transfer dependency","2007","35-65 y.","West Germany","274","0.0424025901719269","0.0381859970026937","0.0466191833411602","3"
"Very high transfer dependency","2007","35-65 y.","East Germany","148","0.0756693206656761","0.0655771567218027","0.0857614846095495","3"
"Very high transfer dependency","2007","66 and older","West Germany","8","","","","3"
"Very high transfer dependency","2007","66 and older","East Germany","","","","","3"
"Very low transfer dependency","2007","16-34 y.","West Germany","3136","0.801245228122921","0.788436871546585","0.814053584699256","0"
"Very low transfer dependency","2007","16-34 y.","East Germany","899","0.650853850844919","0.624870557515479","0.676837144174359","0"
"Very low transfer dependency","2007","35-65 y.","West Germany","7947","0.882325605223512","0.875582973270204","0.889068237176819","0"
"Very low transfer dependency","2007","35-65 y.","East Germany","2137","0.784778926668047","0.769096012767207","0.800461840568887","0"
"Very low transfer dependency","2007","66 and older","West Germany","3154","0.964419661189706","0.958057901218674","0.970781421160739","0"
"Very low transfer dependency","2007","66 and older","East Germany","1118","0.980965423086901","0.973029733110957","0.988901113062844","0"
"High transfer dependency","2008","16-34 y.","West Germany","111","0.0395596320147688","0.0330182644133383","0.0461009996161993","2"
"High transfer dependency","2008","16-34 y.","East Germany","55","0.0634632630778187","0.0494397898652792","0.0774867362903581","2"
"High transfer dependency","2008","35-65 y.","East Germany","80","0.0452642433856961","0.0371137445518938","0.0534147422194984","2"
"High transfer dependency","2008","35-65 y.","West Germany","129","0.0211735548460424","0.0180457547798858","0.024301354912199","2"
"High transfer dependency","2008","66 and older","East Germany","2","","","","2"
"High transfer dependency","2008","66 and older","West Germany","17","","","","2"
"Low transfer dependency","2008","16-34 y.","West Germany","251","0.0906526856683131","0.0810174473038877","0.100287924032739","1"
"Low transfer dependency","2008","16-34 y.","East Germany","179","0.144232828875568","0.12402396712136","0.164441690629775","1"
"Low transfer dependency","2008","35-65 y.","East Germany","202","0.0716803179112919","0.0615665332269331","0.0817941025956506","1"
"Low transfer dependency","2008","35-65 y.","West Germany","332","0.0480347573372196","0.0433887745673558","0.0526807401070834","1"
"Low transfer dependency","2008","66 and older","East Germany","21","","","","1"
"Low transfer dependency","2008","66 and older","West Germany","75","0.0276839945683445","0.0220145481435911","0.0333534409930978","1"
"Very high transfer dependency","2008","16-34 y.","East Germany","106","0.113347404602266","0.0951120372720094","0.131582771932522","3"
"Very high transfer dependency","2008","16-34 y.","West Germany","132","0.0485016362465674","0.0412923968175846","0.0557108756755503","3"
"Very high transfer dependency","2008","35-65 y.","East Germany","144","0.07917488196893","0.068588507455265","0.0897612564825951","3"
"Very high transfer dependency","2008","35-65 y.","West Germany","224","0.0402770621869179","0.0360054572633515","0.0445486671104842","3"
