"pli0092_h","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Rarely","1989","inadequately","Rural Area","","","",""
"Rarely","1989","general elemantary","Urban Area","","","",""
"Rarely","1989","general elemantary","Rural Area","","","",""
"Rarely","1989","middle vocational","Urban Area","","","",""
"Rarely","1989","middle vocational","Rural Area","","","",""
"Rarely","1989","vocational + Abi","Urban Area","","","",""
"Rarely","1989","vocational + Abi","Rural Area","","","",""
"Rarely","1989","higher vocational","Urban Area","","","",""
"Rarely","1989","higher vocational","Rural Area","","","",""
"Rarely","1989","higher education","Urban Area","","","",""
"Rarely","1989","higher education","Rural Area","","","",""
"Never","1989","in school","Urban Area","","","",""
"Never","1989","in school","Rural Area","","","",""
"Never","1989","inadequately","Urban Area","","","",""
"Never","1989","inadequately","Rural Area","","","",""
"Never","1989","general elemantary","Urban Area","","","",""
"Never","1989","general elemantary","Rural Area","","","",""
"Never","1989","middle vocational","Urban Area","","","",""
"Never","1989","middle vocational","Rural Area","","","",""
"Never","1989","vocational + Abi","Urban Area","","","",""
"Never","1989","vocational + Abi","Rural Area","","","",""
"Never","1989","higher vocational","Urban Area","","","",""
"Never","1989","higher vocational","Rural Area","","","",""
"Never","1989","higher education","Urban Area","","","",""
"Never","1989","higher education","Rural Area","","","",""
"Daily","1990","in school","Urban Area","12","","",""
"Daily","1990","in school","Rural Area","5","","",""
"Daily","1990","inadequately","Urban Area","9","","",""
"Daily","1990","inadequately","Rural Area","3","","",""
"Daily","1990","general elemantary","Urban Area","69","0.0277941720735661","0.02074673950741","0.0348416046397222"
"Daily","1990","general elemantary","Rural Area","18","","",""
"Daily","1990","middle vocational","Urban Area","141","0.0354032282602954","0.0299198296306623","0.0408866268899286"
"Daily","1990","middle vocational","Rural Area","40","0.0239207045574702","0.0180302697850808","0.0298111393298596"
"Daily","1990","vocational + Abi","Urban Area","12","","",""
"Daily","1990","vocational + Abi","Rural Area","2","","",""
"Daily","1990","higher vocational","Urban Area","20","","",""
"Daily","1990","higher vocational","Rural Area","3","","",""
"Daily","1990","higher education","Urban Area","41","0.0547816555663224","0.0406141004417963","0.0689492106908484"
"Daily","1990","higher education","Rural Area","4","","",""
"Min 1x per week","1990","in school","Urban Area","81","0.641080735275032","0.561904785353092","0.720256685196973"
"Min 1x per week","1990","in school","Rural Area","27","","",""
"Min 1x per week","1990","inadequately","Urban Area","29","","",""
"Min 1x per week","1990","inadequately","Rural Area","5","","",""
"Min 1x per week","1990","general elemantary","Urban Area","327","0.15933031599457","0.143639813587453","0.175020818401688"
"Min 1x per week","1990","general elemantary","Rural Area","140","0.153234096148534","0.129270741507336","0.177197450789733"
"Min 1x per week","1990","middle vocational","Urban Area","1016","0.241327120115699","0.228630567127383","0.254023673104015"
"Min 1x per week","1990","middle vocational","Rural Area","388","0.174579050713521","0.159945435719302","0.18921266570774"
"Min 1x per week","1990","vocational + Abi","Urban Area","91","0.379574353377269","0.323817931183095","0.435330775571443"
"Min 1x per week","1990","vocational + Abi","Rural Area","28","","",""
"Min 1x per week","1990","higher vocational","Urban Area","128","0.270608352610091","0.231069122081041","0.310147583139141"
"Min 1x per week","1990","higher vocational","Rural Area","45","0.182974647799309","0.137025563030773","0.228923732567846"
"Min 1x per week","1990","higher education","Urban Area","318","0.344162104026206","0.31458258951275","0.373741618539661"
"Min 1x per week","1990","higher education","Rural Area","120","0.208167354919997","0.177216662135384","0.23911804770461"
"Min 1x per month","1990","in school","Urban Area","17","","",""
"Min 1x per month","1990","in school","Rural Area","2","","",""
"Min 1x per month","1990","inadequately","Urban Area","18","","",""
"Min 1x per month","1990","inadequately","Rural Area","4","","",""
