"pli0092_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Min 1x per month","1986","Full Time","vocational + Abi","8","","",""
"Min 1x per month","1986","Full Time","higher vocational","24","","",""
"Min 1x per month","1986","Full Time","higher education","42","0.0979711503585987","0.0710955311118809","0.124846769605317"
"Min 1x per month","1986","Part Time","in school","","","",""
"Min 1x per month","1986","Part Time","inadequately","2","","",""
"Min 1x per month","1986","Part Time","general elemantary","23","","",""
"Min 1x per month","1986","Part Time","middle vocational","51","0.0607697423682051","0.0449670688325836","0.0765724159038265"
"Min 1x per month","1986","Part Time","vocational + Abi","8","","",""
"Min 1x per month","1986","Part Time","higher vocational","3","","",""
"Min 1x per month","1986","Part Time","higher education","13","","",""
"Min 1x per month","1986","Not Working","in school","6","","",""
"Min 1x per month","1986","Not Working","inadequately","5","","",""
"Min 1x per month","1986","Not Working","general elemantary","45","0.0282182458099546","0.0194108486154558","0.0370256430044534"
"Min 1x per month","1986","Not Working","middle vocational","55","0.0278985528072151","0.0198643468919478","0.0359327587224825"
"Min 1x per month","1986","Not Working","vocational + Abi","2","","",""
"Min 1x per month","1986","Not Working","higher vocational","8","","",""
"Min 1x per month","1986","Not Working","higher education","12","","",""
"Rarely","1986","Full Time","in school","","","",""
"Rarely","1986","Full Time","inadequately","33","0.107128113271644","0.0750011708774232","0.139255055665865"
"Rarely","1986","Full Time","general elemantary","123","0.138322174836998","0.116967173775557","0.159677175898438"
"Rarely","1986","Full Time","middle vocational","405","0.169715767617948","0.154929884715138","0.184501650520757"
"Rarely","1986","Full Time","vocational + Abi","27","","",""
"Rarely","1986","Full Time","higher vocational","59","0.208411343732717","0.163341998170209","0.253480689295225"
"Rarely","1986","Full Time","higher education","69","0.144032900824455","0.112289127316201","0.175776674332709"
"Rarely","1986","Part Time","in school","1","","",""
"Rarely","1986","Part Time","inadequately","7","","",""
"Rarely","1986","Part Time","general elemantary","63","0.120980538795796","0.0930855981512966","0.148875479440295"
"Rarely","1986","Part Time","middle vocational","131","0.150542805892601","0.126888969660547","0.174196642124654"
"Rarely","1986","Part Time","vocational + Abi","12","","",""
"Rarely","1986","Part Time","higher vocational","20","","",""
"Rarely","1986","Part Time","higher education","25","","",""
"Rarely","1986","Not Working","in school","32","0.155924884548353","0.103073414987511","0.208776354109194"
"Rarely","1986","Not Working","inadequately","10","","",""
"Rarely","1986","Not Working","general elemantary","75","0.0423818153434433","0.0316670127096299","0.0530966179772568"
"Rarely","1986","Not Working","middle vocational","139","0.0700329373047383","0.0575825953334128","0.0824832792760638"
"Rarely","1986","Not Working","vocational + Abi","8","","",""
