"pli0092_h","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","2003","Urban Area","Male","529","0.0697498395566711","0.0638356305912884","0.0756640485220538","1"
"Daily","2003","Urban Area","Female","522","0.0609566199897932","0.055617253987671","0.0662959859919154","1"
"Daily","2003","Rural Area","Male","210","0.0590450334818815","0.0512814677628368","0.0668085992009262","1"
"Daily","2003","Rural Area","Female","219","0.0551837778721475","0.0479017223864978","0.0624658333577972","1"
"Min 1x per month","2003","Rural Area","Male","274","0.0783186345124708","0.0694693515010351","0.0871679175239065","3"
"Min 1x per month","2003","Rural Area","Female","268","0.062327274461451","0.0546175419877468","0.0700370069351552","3"
"Min 1x per month","2003","Urban Area","Female","534","0.0650057407682899","0.0595037893241675","0.0705076922124124","3"
"Min 1x per month","2003","Urban Area","Male","658","0.0933837687546502","0.0866280334446282","0.100139504064672","3"
"Min 1x per week","2003","Rural Area","Female","979","0.245466025231007","0.231741109279608","0.259190941182407","2"
"Min 1x per week","2003","Urban Area","Male","2129","0.278382683419332","0.267976301429502","0.288789065409163","2"
"Min 1x per week","2003","Urban Area","Female","2357","0.283286167042889","0.273230242570291","0.293342091515487","2"
"Min 1x per week","2003","Rural Area","Male","924","0.24712311471462","0.232916068471827","0.261330160957412","2"
"Never","2003","Urban Area","Female","3007","0.427200024710568","0.416160419184571","0.438239630236565","5"
"Never","2003","Urban Area","Male","2402","0.359067029814979","0.347928721045447","0.37020533858451","5"
"Never","2003","Rural Area","Male","1334","0.402173959267215","0.386023699382663","0.418324219151767","5"
"Never","2003","Rural Area","Female","1531","0.446366058972399","0.430512326176413","0.462219791768384","5"
"Rarely","2003","Rural Area","Female","780","0.190656863462995","0.178129284042304","0.203184442883687","4"
"Rarely","2003","Urban Area","Male","1408","0.199416678454368","0.19013964355748","0.208693713351255","4"
"Rarely","2003","Urban Area","Female","1293","0.16355144748846","0.155297090673848","0.171805804303072","4"
"Rarely","2003","Rural Area","Male","799","0.213339258023813","0.199846079807819","0.226832436239807","4"
"Daily","2004","Urban Area","Male","","","","","1"
"Daily","2004","Urban Area","Female","","","","","1"
"Daily","2004","Rural Area","Male","","","","","1"
"Daily","2004","Rural Area","Female","","","","","1"
"Min 1x per month","2004","Rural Area","Male","","","","","3"
"Min 1x per month","2004","Rural Area","Female","","","","","3"
"Min 1x per month","2004","Urban Area","Male","","","","","3"
"Min 1x per month","2004","Urban Area","Female","","","","","3"
"Min 1x per week","2004","Rural Area","Male","","","","","2"
"Min 1x per week","2004","Rural Area","Female","","","","","2"
"Min 1x per week","2004","Urban Area","Female","","","","","2"
"Min 1x per week","2004","Urban Area","Male","","","","","2"
"Never","2004","Urban Area","Female","","","","","5"
"Never","2004","Urban Area","Male","","","","","5"
"Never","2004","Rural Area","Male","","","","","5"
"Never","2004","Rural Area","Female","","","","","5"
"Rarely","2004","Urban Area","Female","","","","","4"
"Rarely","2004","Rural Area","Female","","","","","4"
"Rarely","2004","Rural Area","Male","","","","","4"
"Rarely","2004","Urban Area","Male","","","","","4"
"Daily","2005","Urban Area","Male","","","","","1"
"Daily","2005","Urban Area","Female","","","","","1"
"Daily","2005","Rural Area","Male","","","","","1"
"Daily","2005","Rural Area","Female","","","","","1"
"Min 1x per month","2005","Rural Area","Female","237","0.0676080891209252","0.0593385042873702","0.0758776739544802","3"
"Min 1x per month","2005","Urban Area","Female","550","0.0749716692735918","0.0689089828505534","0.0810343556966303","3"
"Min 1x per month","2005","Rural Area","Male","258","0.0803466675437376","0.0710595667574132","0.089633768330062","3"
"Min 1x per month","2005","Urban Area","Male","582","0.0904276907031366","0.0835034091454761","0.0973519722607971","3"
"Min 1x per week","2005","Rural Area","Male","953","0.269697195277274","0.254534589306227","0.284859801248321","2"
"Min 1x per week","2005","Rural Area","Female","1059","0.271946396581833","0.257290632689983","0.286602160473684","2"
"Min 1x per week","2005","Urban Area","Male","2280","0.325870161929843","0.314553992089589","0.337186331770098","2"
"Min 1x per week","2005","Urban Area","Female","2488","0.317548756755491","0.306831589174283","0.328265924336698","2"
"Never","2005","Urban Area","Male","2475","0.390909845004718","0.379128782022563","0.402690907986873","5"
"Never","2005","Urban Area","Female","2981","0.445253310349823","0.433811626672534","0.456694994027111","5"
"Never","2005","Rural Area","Male","1377","0.442704781213029","0.425734700237631","0.459674862188427","5"
"Never","2005","Rural Area","Female","1555","0.468085446845941","0.451650487527561","0.484520406164322","5"
"Rarely","2005","Rural Area","Male","703","0.207251355965959","0.193402924243692","0.221099787688227","4"
"Rarely","2005","Urban Area","Male","1253","0.192792302362302","0.183267787233213","0.202316817491391","4"
"Rarely","2005","Urban Area","Female","1229","0.162226263621095","0.153739092625537","0.170713434616652","4"
"Rarely","2005","Rural Area","Female","690","0.1923600674513","0.179377772259529","0.205342362643071","4"
"Daily","2006","Urban Area","Male","","","","","1"
"Daily","2006","Urban Area","Female","","","","","1"
"Daily","2006","Rural Area","Male","","","","","1"
"Daily","2006","Rural Area","Female","","","","","1"
"Min 1x per month","2006","Urban Area","Female","","","","","3"
"Min 1x per month","2006","Rural Area","Male","","","","","3"
"Min 1x per month","2006","Rural Area","Female","","","","","3"
"Min 1x per month","2006","Urban Area","Male","","","","","3"
"Min 1x per week","2006","Rural Area","Female","","","","","2"
"Min 1x per week","2006","Urban Area","Female","","","","","2"
"Min 1x per week","2006","Rural Area","Male","","","","","2"
"Min 1x per week","2006","Urban Area","Male","","","","","2"
"Never","2006","Urban Area","Male","","","","","5"
"Never","2006","Urban Area","Female","","","","","5"
"Never","2006","Rural Area","Male","","","","","5"
"Never","2006","Rural Area","Female","","","","","5"
"Rarely","2006","Urban Area","Male","","","","","4"
"Rarely","2006","Rural Area","Male","","","","","4"
"Rarely","2006","Rural Area","Female","","","","","4"
"Rarely","2006","Urban Area","Female","","","","","4"
"Daily","2007","Urban Area","Male","","","","","1"
"Daily","2007","Urban Area","Female","","","","","1"
"Daily","2007","Rural Area","Male","","","","","1"
"Daily","2007","Rural Area","Female","","","","","1"
"Min 1x per month","2007","Rural Area","Male","249","0.0753985258856333","0.0664562258882423","0.0843408258830242","3"
"Min 1x per month","2007","Urban Area","Male","537","0.0826693080980767","0.0759304723005743","0.089408143895579","3"
"Min 1x per month","2007","Urban Area","Female","492","0.0623647676948341","0.056757728552491","0.0679718068371773","3"
"Min 1x per month","2007","Rural Area","Female","227","0.0611870269550804","0.0533491373191259","0.0690249165910349","3"
"Min 1x per week","2007","Urban Area","Female","2705","0.349409397263497","0.338354157702349","0.360464636824646","2"
"Min 1x per week","2007","Rural Area","Male","978","0.301053717758156","0.285517889408522","0.316589546107789","2"
"Min 1x per week","2007","Rural Area","Female","1150","0.311069827197441","0.295930852124637","0.326208802270246","2"
"Min 1x per week","2007","Urban Area","Male","2316","0.34382531629487","0.332202043744719","0.355448588845021","2"
"Never","2007","Urban Area","Male","2394","0.380490114250313","0.368609317400231","0.392370911100395","5"
"Never","2007","Urban Area","Female","2814","0.427580097916561","0.416108786281361","0.439051409551761","5"
"Never","2007","Rural Area","Male","1429","0.426554273369059","0.409803925678643","0.443304621059475","5"
"Never","2007","Rural Area","Female","1570","0.452858240861148","0.436579867853055","0.469136613869241","5"
"Rarely","2007","Urban Area","Female","1134","0.160645737125108","0.152131333628235","0.169160140621981","4"
"Rarely","2007","Rural Area","Female","645","0.17488490498633","0.16246228054493","0.18730752942773","4"
"Rarely","2007","Urban Area","Male","1168","0.19301526135674","0.183357460498978","0.202673062214502","4"
"Rarely","2007","Rural Area","Male","693","0.196993482987152","0.183523222887751","0.210463743086553","4"
"Daily","2008","Urban Area","Male","503","0.0835013271676037","0.0765310969284603","0.0904715574067472","1"
"Daily","2008","Urban Area","Female","536","0.0736122433745565","0.0673746765152815","0.0798498102338314","1"
"Daily","2008","Rural Area","Female","261","0.0720332924578015","0.0633249109942827","0.0807416739213203","1"
"Daily","2008","Rural Area","Male","245","0.0771361922987873","0.0678262644583116","0.0864461201392629","1"
"Min 1x per month","2008","Urban Area","Male","523","0.0860233486368518","0.0789583800140777","0.093088317259626","3"
"Min 1x per month","2008","Urban Area","Female","489","0.0667931396484526","0.0608296746540899","0.0727566046428153","3"
"Min 1x per month","2008","Rural Area","Female","235","0.0775864095863767","0.0685756731239358","0.0865971460488176","3"
"Min 1x per month","2008","Rural Area","Male","244","0.088499455833668","0.0785889191016545","0.0984099925656815","3"
"Min 1x per week","2008","Rural Area","Male","854","0.269634549649935","0.254149725078555","0.285119374221315","2"
"Min 1x per week","2008","Urban Area","Male","2024","0.326320728343352","0.314507096356342","0.338134360330361","2"
"Min 1x per week","2008","Urban Area","Female","2352","0.333353062013849","0.322092917807632","0.344613206220067","2"
"Min 1x per week","2008","Rural Area","Female","1038","0.286146603238368","0.27092349179308","0.301369714683656","2"
"Never","2008","Urban Area","Male","1819","0.301420494508102","0.289858604758642","0.312982384257561","5"
"Never","2008","Urban Area","Female","2242","0.359849283943956","0.348385045165689","0.371313522722223","5"
"Never","2008","Rural Area","Male","1124","0.352582769681193","0.335911407809491","0.369254131552895","5"
"Never","2008","Rural Area","Female","1185","0.358866946240813","0.34271051534133","0.375023377140295","5"
"Rarely","2008","Urban Area","Female","1114","0.166392271019186","0.157496343725947","0.175288198312424","4"
"Rarely","2008","Rural Area","Male","688","0.212147032536416","0.197881451095407","0.226412613977426","4"
"Rarely","2008","Rural Area","Female","667","0.205366748476641","0.191760041107979","0.218973455845303","4"
"Rarely","2008","Urban Area","Male","1182","0.202734101344091","0.192604333040148","0.212863869648034","4"
"Daily","2009","Urban Area","Male","","","","","1"
"Daily","2009","Urban Area","Female","","","","","1"
"Daily","2009","Rural Area","Male","","","","","1"
"Daily","2009","Rural Area","Female","","","","","1"
"Min 1x per month","2009","Urban Area","Female","406","0.0620482147205721","0.0560500640766748","0.0680463653644693","3"
"Min 1x per month","2009","Urban Area","Male","476","0.0889210838292448","0.0814609798340716","0.0963811878244181","3"
"Min 1x per month","2009","Rural Area","Male","224","0.0783342664741204","0.0687400141434839","0.087928518804757","3"
"Min 1x per month","2009","Rural Area","Female","230","0.0859017236627119","0.0762049268526044","0.0955985204728193","3"
"Min 1x per week","2009","Rural Area","Female","1035","0.30950229364182","0.293505093906834","0.325499493376805","2"
"Min 1x per week","2009","Urban Area","Male","2100","0.36597947289186","0.353354090731554","0.378604855052167","2"
"Min 1x per week","2009","Urban Area","Female","2507","0.389508649290303","0.377384234736779","0.401633063843826","2"
"Min 1x per week","2009","Rural Area","Male","906","0.313157370609038","0.29659744180859","0.329717299409486","2"
"Never","2009","Urban Area","Male","1954","0.34553679674781","0.333072887506938","0.358000705988681","5"
"Never","2009","Urban Area","Female","2306","0.391406908428344","0.379271896179356","0.403541920677332","5"
"Never","2009","Rural Area","Male","1263","0.405828978084605","0.388295188680425","0.423362767488784","5"
"Never","2009","Rural Area","Female","1401","0.452841634998997","0.435616580381005","0.470066689616988","5"
"Rarely","2009","Urban Area","Male","1062","0.199562646531085","0.189087314180215","0.210037978881955","4"
"Rarely","2009","Rural Area","Male","620","0.202679384832237","0.188325488328754","0.21703328133572","4"
"Rarely","2009","Rural Area","Female","542","0.151754347696472","0.139338902319908","0.164169793073036","4"
"Rarely","2009","Urban Area","Female","995","0.157036227560781","0.147990013739541","0.166082441382021","4"
"Daily","2010","Urban Area","Male","","","","","1"
"Daily","2010","Urban Area","Female","","","","","1"
"Daily","2010","Rural Area","Male","","","","","1"
"Daily","2010","Rural Area","Female","","","","","1"
"Min 1x per month","2010","Urban Area","Male","","","","","3"
"Min 1x per month","2010","Rural Area","Male","","","","","3"
"Min 1x per month","2010","Rural Area","Female","","","","","3"
"Min 1x per month","2010","Urban Area","Female","","","","","3"
"Min 1x per week","2010","Urban Area","Female","","","","","2"
"Min 1x per week","2010","Rural Area","Female","","","","","2"
"Min 1x per week","2010","Urban Area","Male","","","","","2"
"Min 1x per week","2010","Rural Area","Male","","","","","2"
"Never","2010","Rural Area","Male","","","","","5"
"Never","2010","Urban Area","Male","","","","","5"
"Never","2010","Urban Area","Female","","","","","5"
"Never","2010","Rural Area","Female","","","","","5"
"Rarely","2010","Rural Area","Female","","","","","4"
"Rarely","2010","Urban Area","Male","","","","","4"
"Rarely","2010","Urban Area","Female","","","","","4"
"Rarely","2010","Rural Area","Male","","","","","4"
"Daily","2011","Urban Area","Male","","","","","1"
"Daily","2011","Urban Area","Female","","","","","1"
"Daily","2011","Rural Area","Male","","","","","1"
"Daily","2011","Rural Area","Female","","","","","1"
"Min 1x per month","2011","Rural Area","Female","298","0.0512241812246393","0.0453540486866042","0.0570943137626744","3"
"Min 1x per month","2011","Urban Area","Male","600","0.0736882549494267","0.0680505955019478","0.0793259143969057","3"
"Min 1x per month","2011","Urban Area","Female","624","0.0613868542828513","0.0567069232854401","0.0660667852802625","3"
"Min 1x per month","2011","Rural Area","Male","293","0.0636975753076992","0.0566402733520807","0.0707548772633176","3"
"Min 1x per week","2011","Rural Area","Male","1436","0.322103023054995","0.30859945852343","0.335606587586561","2"
"Min 1x per week","2011","Urban Area","Male","3201","0.377435748882887","0.366975675718578","0.387895822047195","2"
"Min 1x per week","2011","Urban Area","Female","3977","0.391477164485282","0.381961259408401","0.400993069562162","2"
"Min 1x per week","2011","Rural Area","Female","1764","0.334458462906983","0.321895639121055","0.347021286692911","2"
"Never","2011","Rural Area","Male","2069","0.441398995983687","0.427049531236735","0.45574846073064","5"
"Never","2011","Urban Area","Male","3050","0.375258503089983","0.364810421278834","0.385706584901133","5"
"Never","2011","Urban Area","Female","4009","0.405989493927809","0.396415064446135","0.415563923409483","5"
"Never","2011","Rural Area","Female","2457","0.450551845555942","0.437303417959106","0.463800273152778","5"
"Rarely","2011","Rural Area","Female","899","0.163765510312436","0.153911707892536","0.173619312732335","4"
"Rarely","2011","Urban Area","Female","1496","0.141146487304058","0.134358312312988","0.147934662295128","4"
"Rarely","2011","Rural Area","Male","802","0.172800405653618","0.161874770081464","0.183726041225772","4"
"Rarely","2011","Urban Area","Male","1399","0.173617493077703","0.165443986528973","0.181790999626433","4"
"Daily","2012","Urban Area","Male","","","","","1"
"Daily","2012","Urban Area","Female","","","","","1"
"Daily","2012","Rural Area","Male","","","","","1"
"Daily","2012","Rural Area","Female","","","","","1"
"Min 1x per month","2012","Rural Area","Female","","","","","3"
"Min 1x per month","2012","Urban Area","Female","","","","","3"
"Min 1x per month","2012","Rural Area","Male","","","","","3"
"Min 1x per month","2012","Urban Area","Male","","","","","3"
"Min 1x per week","2012","Urban Area","Male","","","","","2"
"Min 1x per week","2012","Rural Area","Male","","","","","2"
"Min 1x per week","2012","Rural Area","Female","","","","","2"
"Min 1x per week","2012","Urban Area","Female","","","","","2"
"Never","2012","Urban Area","Female","","","","","5"
"Never","2012","Rural Area","Male","","","","","5"
"Never","2012","Urban Area","Male","","","","","5"
"Never","2012","Rural Area","Female","","","","","5"
"Rarely","2012","Rural Area","Male","","","","","4"
"Rarely","2012","Rural Area","Female","","","","","4"
"Rarely","2012","Urban Area","Male","","","","","4"
"Rarely","2012","Urban Area","Female","","","","","4"
"Daily","2013","Urban Area","Male","1034","0.150408596479378","0.142234043495668","0.158583149463088","1"
"Daily","2013","Urban Area","Female","1254","0.147183973280369","0.139873751544061","0.154494195016677","1"
"Daily","2013","Rural Area","Male","585","0.140779115681518","0.130243255279705","0.151314976083331","1"
"Daily","2013","Rural Area","Female","657","0.135834617912419","0.126284416627398","0.145384819197441","1"
"Min 1x per month","2013","Rural Area","Male","208","0.0534074724113161","0.0465961564395889","0.0602187883830432","3"
"Min 1x per month","2013","Rural Area","Female","232","0.0469932877240585","0.0410943371852884","0.0528922382628286","3"
"Min 1x per month","2013","Urban Area","Male","410","0.0575000274623432","0.0521765266069984","0.062823528317688","3"
"Min 1x per month","2013","Urban Area","Female","405","0.0460431645828369","0.041718827328687","0.0503675018369869","3"
"Min 1x per week","2013","Rural Area","Female","1574","0.322418882295902","0.309390222573456","0.335447542018349","2"
"Min 1x per week","2013","Urban Area","Female","3298","0.364439842606248","0.354509508296236","0.37437017691626","2"
"Min 1x per week","2013","Urban Area","Male","2541","0.338754333815024","0.327931363223718","0.34957730440633","2"
"Min 1x per week","2013","Rural Area","Male","1163","0.286572346036129","0.272874868769959","0.300269823302299","2"
"Never","2013","Rural Area","Female","1757","0.347977756795491","0.334700272150393","0.361255241440588","5"
"Never","2013","Urban Area","Female","2950","0.323265817469349","0.313615056451993","0.332916578486704","5"
"Never","2013","Rural Area","Male","1483","0.347481206444326","0.333056378169917","0.361906034718735","5"
"Never","2013","Urban Area","Male","2283","0.305455713465139","0.294922843392814","0.315988583537463","5"
"Rarely","2013","Rural Area","Female","724","0.146775455272129","0.136911133095656","0.156639777448602","4"
"Rarely","2013","Rural Area","Male","747","0.171759859426711","0.160334037417313","0.18318568143611","4"
"Rarely","2013","Urban Area","Male","1078","0.147881328778115","0.139763697105295","0.155998960450936","4"
"Rarely","2013","Urban Area","Female","1116","0.119067202061198","0.112384684999853","0.125749719122542","4"
"Daily","2014","Urban Area","Male","","","","","1"
"Daily","2014","Urban Area","Female","","","","","1"
"Daily","2014","Rural Area","Male","","","","","1"
"Daily","2014","Rural Area","Female","","","","","1"
"Min 1x per month","2014","Rural Area","Female","","","","","3"
"Min 1x per month","2014","Rural Area","Male","","","","","3"
"Min 1x per month","2014","Urban Area","Male","","","","","3"
"Min 1x per month","2014","Urban Area","Female","","","","","3"
"Min 1x per week","2014","Urban Area","Female","","","","","2"
"Min 1x per week","2014","Rural Area","Male","","","","","2"
"Min 1x per week","2014","Rural Area","Female","","","","","2"
"Min 1x per week","2014","Urban Area","Male","","","","","2"
"Never","2014","Rural Area","Male","","","","","5"
"Never","2014","Urban Area","Female","","","","","5"
"Never","2014","Rural Area","Female","","","","","5"
"Never","2014","Urban Area","Male","","","","","5"
"Rarely","2014","Urban Area","Female","","","","","4"
"Rarely","2014","Rural Area","Male","","","","","4"
"Rarely","2014","Rural Area","Female","","","","","4"
"Rarely","2014","Urban Area","Male","","","","","4"
"Daily","2015","Urban Area","Male","","","","","1"
"Daily","2015","Urban Area","Female","","","","","1"
"Daily","2015","Rural Area","Male","","","","","1"
"Daily","2015","Rural Area","Female","","","","","1"
"Min 1x per month","2015","Rural Area","Female","252","0.0474362216389331","0.0414837621591893","0.0533886811186768","3"
"Min 1x per month","2015","Urban Area","Female","447","0.0525564641468371","0.0480933872991802","0.057019540994494","3"
"Min 1x per month","2015","Rural Area","Male","254","0.0615046684742779","0.0542824164751445","0.0687269204734113","3"
"Min 1x per month","2015","Urban Area","Male","496","0.0599073183355256","0.0547411319929819","0.0650735046780693","3"
"Min 1x per week","2015","Rural Area","Male","1498","0.359924267281721","0.345495680889774","0.374352853673668","2"
"Min 1x per week","2015","Rural Area","Female","1917","0.403902657730312","0.390162512615548","0.417642802845076","2"
"Min 1x per week","2015","Urban Area","Male","3586","0.452832165297427","0.441996047813886","0.463668282780968","2"
"Min 1x per week","2015","Urban Area","Female","4287","0.457042214175535","0.447078854313778","0.467005574037291","2"
"Never","2015","Rural Area","Male","1828","0.414718807437557","0.39990858134868","0.429529033526434","5"
"Never","2015","Urban Area","Female","3654","0.378669495918698","0.368968057635405","0.38837093420199","5"
"Never","2015","Rural Area","Female","2075","0.405787932632999","0.392037553629974","0.419538311636025","5"
"Never","2015","Urban Area","Male","2870","0.347782425061395","0.337414428232301","0.35815042189049","5"
"Rarely","2015","Rural Area","Male","671","0.163852256806444","0.152725457283084","0.174979056329804","4"
"Rarely","2015","Rural Area","Female","655","0.142873187997756","0.13307395059458","0.152672425400931","4"
"Rarely","2015","Urban Area","Female","1215","0.11173182575893","0.105430888933142","0.118032762584719","4"
"Rarely","2015","Urban Area","Male","1154","0.139478091305652","0.131936226291449","0.147019956319855","4"
"Daily","2016","Urban Area","Male","","","","","1"
"Daily","2016","Urban Area","Female","","","","","1"
"Daily","2016","Rural Area","Male","","","","","1"
"Daily","2016","Rural Area","Female","","","","","1"
"Min 1x per month","2016","Rural Area","Male","","","","","3"
"Min 1x per month","2016","Rural Area","Female","","","","","3"
"Min 1x per month","2016","Urban Area","Female","","","","","3"
"Min 1x per month","2016","Urban Area","Male","","","","","3"
"Min 1x per week","2016","Urban Area","Male","","","","","2"
"Min 1x per week","2016","Rural Area","Female","","","","","2"
"Min 1x per week","2016","Rural Area","Male","","","","","2"
"Min 1x per week","2016","Urban Area","Female","","","","","2"
"Never","2016","Urban Area","Female","","","","","5"
"Never","2016","Rural Area","Male","","","","","5"
"Never","2016","Urban Area","Male","","","","","5"
"Never","2016","Rural Area","Female","","","","","5"
"Rarely","2016","Rural Area","Female","","","","","4"
"Rarely","2016","Urban Area","Male","","","","","4"
"Rarely","2016","Urban Area","Female","","","","","4"
"Rarely","2016","Rural Area","Male","","","","","4"
"Daily","2017","Urban Area","Male","420","0.0036507150674393","0.00248394697172263","0.00481748316315597","1"
"Daily","2017","Urban Area","Female","90","0.000371217568138468","9.71685096804088e-06","0.000732718285308896","1"
"Daily","2017","Rural Area","Male","164","0.0032775712991965","0.00174971802047046","0.00480542457792255","1"
"Daily","2017","Rural Area","Female","51","0.000512126760730627","-7.91665075063169e-05","0.00110342002896757","1"
"Min 1x per month","2017","Rural Area","Male","313","0.0598952811144946","0.0535521617922573","0.0662384004367319","3"
"Min 1x per month","2017","Rural Area","Female","256","0.044852814556675","0.0394433356028147","0.0502622935105353","3"
"Min 1x per month","2017","Urban Area","Female","490","0.0453545773877874","0.0414497023895378","0.049259452386037","3"
"Min 1x per month","2017","Urban Area","Male","588","0.0555687306165808","0.0511368282313224","0.0600006330018392","3"
"Min 1x per week","2017","Urban Area","Male","4342","0.468710005220174","0.459055996203095","0.478364014237254","2"
"Min 1x per week","2017","Urban Area","Female","4662","0.484468789918359","0.475090235345725","0.493847344490994","2"
"Min 1x per week","2017","Rural Area","Male","1891","0.385471262347044","0.372461014725133","0.398481509968954","2"
"Min 1x per week","2017","Rural Area","Female","2124","0.420456341667397","0.407555175541505","0.433357507793289","2"
"Never","2017","Urban Area","Female","4338","0.363611231817846","0.354583982764844","0.372638480870848","5"
"Never","2017","Rural Area","Male","2178","0.400530215059995","0.387431769722681","0.413628660397309","5"
"Never","2017","Urban Area","Male","3484","0.328251220550331","0.319166817652595","0.337335623448067","5"
"Never","2017","Rural Area","Female","2466","0.406287177489801","0.393451162743547","0.419123192236056","5"
"Rarely","2017","Urban Area","Female","1328","0.106194183307869","0.100412590794355","0.111975775821383","4"
"Rarely","2017","Rural Area","Female","727","0.127891539525396","0.119163200785849","0.136619878264944","4"
"Rarely","2017","Rural Area","Male","830","0.15082567017927","0.141259138335975","0.160392202022565","4"
"Rarely","2017","Urban Area","Male","1430","0.143819328545474","0.137030714671271","0.150607942419678","4"
"Daily","2018","Urban Area","Male","249","0.160432414940223","0.143271671362913","0.177593158517533","1"
"Daily","2018","Urban Area","Female","78","0.0670950696819554","0.052201546415622","0.0819885929482888","1"
"Daily","2018","Rural Area","Male","124","0.232347393239243","0.199369031080165","0.265325755398321","1"
"Daily","2018","Rural Area","Female","31","0.0645413872754363","0.039965233499279","0.0891175410515937","1"
"Min 1x per month","2018","Rural Area","Female","7","","","","3"
"Min 1x per month","2018","Urban Area","Female","47","0.0410509295955597","0.0292397650671937","0.0528620941239257","3"
"Min 1x per month","2018","Rural Area","Male","37","0.0768533087636204","0.0560542127391221","0.0976524047881187","3"
"Min 1x per month","2018","Urban Area","Male","125","0.0819480309701191","0.0691228026623758","0.0947732592778625","3"
"Min 1x per week","2018","Urban Area","Male","407","0.264902377984759","0.244268652531214","0.285536103438305","2"
"Min 1x per week","2018","Rural Area","Female","43","0.109506616814702","0.0782733070757499","0.140739926553655","2"
"Min 1x per week","2018","Rural Area","Male","139","0.273306637395246","0.238506696808273","0.308106577982219","2"
"Min 1x per week","2018","Urban Area","Female","131","0.132923175175643","0.112713348326902","0.153133002024383","2"
"Never","2018","Urban Area","Male","661","0.314635798777174","0.292922441143595","0.336349156410752","5"
"Never","2018","Urban Area","Female","665","0.60114068340249","0.571991165216493","0.630290201588486","5"
"Never","2018","Rural Area","Male","256","0.296618067511134","0.260950604368498","0.332285530653771","5"
"Never","2018","Rural Area","Female","237","0.610263019327251","0.561484702109386","0.659041336545117","5"
"Rarely","2018","Rural Area","Male","74","0.120874593090756","0.0954197312286499","0.146329454952862","4"
"Rarely","2018","Rural Area","Female","66","0.208154918084085","0.16754838339684","0.248761452771329","4"
"Rarely","2018","Urban Area","Male","315","0.178081377327725","0.160192385175061","0.195970369480389","4"
"Rarely","2018","Urban Area","Female","163","0.157790142144353","0.136088952419831","0.179491331868874","4"
"Daily","2019","Urban Area","Male","1782","0.197825487161523","0.189504331896344","0.206146642426701","1"
"Daily","2019","Urban Area","Female","1583","0.176139202415676","0.168321452116013","0.183956952715339","1"
"Daily","2019","Rural Area","Male","820","0.170050356589045","0.159458932978238","0.180641780199853","1"
"Daily","2019","Rural Area","Female","816","0.169177426728763","0.158748069197037","0.17960678426049","1"
"Min 1x per month","2019","Urban Area","Female","349","0.0419198503378886","0.037807049815967","0.0460326508598101","3"
"Min 1x per month","2019","Rural Area","Male","274","0.050412772678191","0.0442443032352725","0.0565812421211095","3"
"Min 1x per month","2019","Rural Area","Female","211","0.046203040056912","0.0403632740252786","0.0520428060885455","3"
"Min 1x per month","2019","Urban Area","Male","450","0.0499010587967338","0.0453527769257785","0.0544493406676891","3"
"Min 1x per week","2019","Rural Area","Female","1662","0.347259782540898","0.334015463465956","0.36050410161584","2"
"Min 1x per week","2019","Urban Area","Male","3097","0.357207962694392","0.347198658598531","0.367217266790254","2"
"Min 1x per week","2019","Rural Area","Male","1539","0.320403983462139","0.307248280499069","0.333559686425209","2"
"Min 1x per week","2019","Urban Area","Female","3329","0.372947933783595","0.36302356789172","0.382872299675469","2"
"Never","2019","Urban Area","Male","2360","0.264235355753767","0.255025072319432","0.273445639188102","5"
"Never","2019","Urban Area","Female","2741","0.286883961668238","0.277601565499855","0.29616635783662","5"
"Never","2019","Rural Area","Male","1451","0.300197597936723","0.287275559922648","0.313119635950799","5"
"Never","2019","Rural Area","Female","1627","0.298588968743361","0.285858177992016","0.311319759494705","5"
"Rarely","2019","Urban Area","Male","1115","0.130830135593584","0.123786217458535","0.137874053728633","4"
"Rarely","2019","Rural Area","Male","749","0.158935289333901","0.148627522940275","0.169243055727526","4"
"Rarely","2019","Rural Area","Female","648","0.138770781930066","0.129153760142469","0.148387803717664","4"
"Rarely","2019","Urban Area","Female","1119","0.122109051794603","0.115389797491074","0.128828306098132","4"
