"pli0092_h","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"Never","1995","Rhineland-Palatinate,Saarland","Male","164","0.478006099404609","0.425066034266682","0.530946164542536","5"
"Never","1995","Rhineland-Palatinate,Saarland","Female","211","0.567481649593973","0.516932589103088","0.618030710084858","5"
"Never","1995","Baden-Württemberg","Male","355","0.387767822987296","0.355593894176558","0.419941751798034","5"
"Never","1995","Baden-Württemberg","Female","455","0.454122379761338","0.421949623065734","0.486295136456943","5"
"Never","1995","Bavaria","Male","263","0.3199393218494","0.288090591252214","0.351788052446586","5"
"Never","1995","Bavaria","Female","389","0.45618109505845","0.422892561977871","0.489469628139029","5"
"Never","1995","Berlin","Male","92","0.315258388458169","0.259528375217099","0.370988401699238","5"
"Never","1995","Berlin","Female","133","0.473820270018619","0.417318592969648","0.53032194706759","5"
"Never","1995","Brandenburg","Male","134","0.52195898718027","0.463450368620958","0.580467605739582","5"
"Rarely","1995","North Rhine-Westphalia","Male","258","0.213525943577801","0.190717020854967","0.236334866300635","4"
"Rarely","1995","North Rhine-Westphalia","Female","257","0.173778256119428","0.153467391338623","0.194089120900233","4"
"Rarely","1995","Hesse","Male","93","0.213813354636264","0.176182341183752","0.251444368088775","4"
"Rarely","1995","Baden-Württemberg","Male","182","0.20807537890032","0.181270589054737","0.234880168745903","4"
"Rarely","1995","Baden-Württemberg","Female","172","0.19457642253882","0.168995779713381","0.22015706536426","4"
"Rarely","1995","Bavaria","Male","193","0.237944109874762","0.2088694008819","0.267018818867624","4"
"Rarely","1995","Thuringia","Female","87","0.191798079016792","0.149637384810003","0.23395877322358","4"
"Rarely","1995","Hesse","Female","89","0.207698227017985","0.171816853975008","0.243579600060961","4"
"Rarely","1995","Rhineland-Palatinate,Saarland","Male","66","0.205428246013591","0.162609723433872","0.248246768593309","4"
"Rarely","1995","Rhineland-Palatinate,Saarland","Female","65","0.152356749261865","0.115690008248698","0.189023490275031","4"
"Rarely","1995","Schleswig-Holstein","Male","34","0.315801659478421","0.237098185243772","0.394505133713069","4"
"Rarely","1995","Schleswig-Holstein","Female","26","","","","4"
"Rarely","1995","Hamburg","Male","10","","","","4"
"Rarely","1995","Hamburg","Female","8","","","","4"
"Rarely","1995","Lower Saxony","Male","107","0.194598670877855","0.160538994439003","0.228658347316707","4"
"Rarely","1995","Lower Saxony","Female","92","0.186065081295102","0.152744718120726","0.219385444469478","4"
"Rarely","1995","Bremen","Male","10","","","","4"
"Rarely","1995","Bremen","Female","11","","","","4"
"Rarely","1995","Brandenburg","Female","96","0.276246355631656","0.226228788497164","0.326263922766149","4"
"Rarely","1995","Mecklenburg-Western Pomerania","Male","62","0.280891975463968","0.219218312789971","0.342565638137965","4"
"Rarely","1995","Mecklenburg-Western Pomerania","Female","66","0.289185664952552","0.227718749852975","0.35065258005213","4"
"Rarely","1995","Saxony","Male","147","0.275803944530874","0.237205234520428","0.314402654541321","4"
"Rarely","1995","Saxony","Female","137","0.208418074101145","0.175276295755639","0.241559852446652","4"
"Rarely","1995","Saxony-Anhalt","Male","93","0.243621169012299","0.19644075742239","0.290801580602209","4"
"Rarely","1995","Saxony-Anhalt","Female","92","0.205334709279746","0.164230675651409","0.246438742908082","4"
"Rarely","1995","Thuringia","Male","88","0.246728701517669","0.198892538127176","0.294564864908163","4"
"Rarely","1995","Bavaria","Female","174","0.188517167070352","0.162376661298766","0.214657672841937","4"
"Rarely","1995","Berlin","Male","79","0.282750561212291","0.228733704739372","0.33676741768521","4"
"Rarely","1995","Berlin","Female","68","0.214496595452408","0.168048094633173","0.260945096271643","4"
"Rarely","1995","Brandenburg","Male","75","0.228119360126062","0.178969167774033","0.277269552478091","4"
"Daily","1996","North Rhine-Westphalia","Male","","","","","1"
"Daily","1996","North Rhine-Westphalia","Female","","","","","1"
"Daily","1996","Hesse","Male","","","","","1"
"Daily","1996","Hesse","Female","","","","","1"
"Daily","1996","Rhineland-Palatinate,Saarland","Male","","","","","1"
"Daily","1996","Rhineland-Palatinate,Saarland","Female","","","","","1"
"Daily","1996","Baden-Württemberg","Male","","","","","1"
"Daily","1996","Baden-Württemberg","Female","","","","","1"
"Daily","1996","Bavaria","Male","","","","","1"
"Daily","1996","Bavaria","Female","","","","","1"
"Daily","1996","Berlin","Male","","","","","1"
"Daily","1996","Berlin","Female","","","","","1"
"Daily","1996","Brandenburg","Male","","","","","1"
"Daily","1996","Schleswig-Holstein","Male","","","","","1"
"Daily","1996","Schleswig-Holstein","Female","","","","","1"
"Daily","1996","Hamburg","Male","","","","","1"
"Daily","1996","Hamburg","Female","","","","","1"
"Daily","1996","Lower Saxony","Male","","","","","1"
"Daily","1996","Lower Saxony","Female","","","","","1"
"Daily","1996","Bremen","Male","","","","","1"
"Daily","1996","Bremen","Female","","","","","1"
"Daily","1996","Brandenburg","Female","","","","","1"
"Daily","1996","Mecklenburg-Western Pomerania","Male","","","","","1"
"Daily","1996","Mecklenburg-Western Pomerania","Female","","","","","1"
"Daily","1996","Saxony","Male","","","","","1"
"Daily","1996","Saxony","Female","","","","","1"
"Daily","1996","Saxony-Anhalt","Male","","","","","1"
"Daily","1996","Saxony-Anhalt","Female","","","","","1"
"Daily","1996","Thuringia","Male","","","","","1"
"Daily","1996","Thuringia","Female","","","","","1"
"Min 1x per month","1996","Schleswig-Holstein","Male","15","","","","3"
"Min 1x per month","1996","Schleswig-Holstein","Female","13","","","","3"
"Min 1x per month","1996","Hamburg","Male","6","","","","3"
"Min 1x per month","1996","Hamburg","Female","3","","","","3"
"Min 1x per month","1996","Brandenburg","Female","12","","","","3"
"Min 1x per month","1996","Mecklenburg-Western Pomerania","Male","17","","","","3"
"Min 1x per month","1996","Mecklenburg-Western Pomerania","Female","13","","","","3"
"Min 1x per month","1996","Saxony","Male","42","0.063699484930238","0.0427693109653033","0.0846296588951727","3"
"Min 1x per month","1996","North Rhine-Westphalia","Male","114","0.0995644748428801","0.0827354164336378","0.116393533252122","3"
"Min 1x per month","1996","North Rhine-Westphalia","Female","98","0.0765388467049579","0.0622935891159618","0.0907841042939541","3"
"Min 1x per month","1996","Hesse","Male","28","","","","3"
"Min 1x per month","1996","Hesse","Female","20","","","","3"
"Min 1x per month","1996","Rhineland-Palatinate,Saarland","Male","27","","","","3"
"Min 1x per month","1996","Rhineland-Palatinate,Saarland","Female","16","","","","3"
"Min 1x per month","1996","Baden-Württemberg","Male","75","0.0774252564046971","0.0592647257479722","0.0955857870614219","3"
"Min 1x per month","1996","Baden-Württemberg","Female","55","0.0549370903997498","0.0398567383221447","0.0700174424773548","3"
"Min 1x per month","1996","Bavaria","Male","78","0.0905598001688891","0.0708329557389297","0.110286644598849","3"
"Min 1x per month","1996","Bavaria","Female","67","0.0709406565966733","0.0534857749390349","0.0883955382543116","3"
"Min 1x per month","1996","Berlin","Male","15","","","","3"
"Min 1x per month","1996","Berlin","Female","21","","","","3"
"Min 1x per month","1996","Brandenburg","Male","13","","","","3"
"Min 1x per month","1996","Saxony","Female","34","0.0437457356150702","0.027129174351884","0.0603622968782564","3"
"Min 1x per month","1996","Saxony-Anhalt","Male","21","","","","3"
"Min 1x per month","1996","Saxony-Anhalt","Female","8","","","","3"
"Min 1x per month","1996","Thuringia","Male","14","","","","3"
"Min 1x per month","1996","Thuringia","Female","16","","","","3"
"Min 1x per month","1996","Bremen","Female","3","","","","3"
"Min 1x per month","1996","Lower Saxony","Male","42","0.0780069326511315","0.0546629721515686","0.101350893150694","3"
"Min 1x per month","1996","Lower Saxony","Female","31","0.0494053933610102","0.0310590063797971","0.0677517803422233","3"
"Min 1x per month","1996","Bremen","Male","4","","","","3"
"Min 1x per week","1996","North Rhine-Westphalia","Male","342","0.296193549691014","0.270531241093957","0.321855858288072","2"
"Min 1x per week","1996","North Rhine-Westphalia","Female","275","0.236342525701656","0.213578960911524","0.259106090491789","2"
"Min 1x per week","1996","Hesse","Male","121","0.279114960666666","0.237297128007575","0.320932793325758","2"
"Min 1x per week","1996","Hesse","Female","107","0.247999260473302","0.20883192953948","0.287166591407124","2"
"Min 1x per week","1996","Rhineland-Palatinate,Saarland","Male","83","0.236028454231017","0.190556202513885","0.281500705948149","2"
"Min 1x per week","1996","Thuringia","Male","64","0.178082626830033","0.135900409348131","0.220264844311936","2"
"Min 1x per week","1996","Thuringia","Female","41","0.107788174193961","0.0747764819765475","0.140799866411374","2"
"Min 1x per week","1996","Brandenburg","Female","36","0.0958691355296213","0.0633050924835431","0.128433178575699","2"
"Min 1x per week","1996","Mecklenburg-Western Pomerania","Male","34","0.13769784427143","0.0893336349811406","0.18606205356172","2"
"Min 1x per week","1996","Mecklenburg-Western Pomerania","Female","26","","","","2"
"Min 1x per week","1996","Saxony","Male","95","0.173804844447209","0.141328322892073","0.206281366002346","2"
"Min 1x per week","1996","Saxony","Female","89","0.1453762917244","0.11673973082667","0.17401285262213","2"
"Min 1x per week","1996","Saxony-Anhalt","Male","48","0.111301301422169","0.076403490335294","0.146199112509045","2"
"Min 1x per week","1996","Saxony-Anhalt","Female","54","0.135160031193049","0.0997934658769458","0.170526596509152","2"
"Min 1x per week","1996","Hamburg","Male","19","","","","2"
"Min 1x per week","1996","Hamburg","Female","18","","","","2"
"Min 1x per week","1996","Lower Saxony","Male","144","0.297165460947793","0.257384998770962","0.336945923124623","2"
"Min 1x per week","1996","Schleswig-Holstein","Male","43","0.319591449058601","0.241219419477591","0.397963478639612","2"
"Min 1x per week","1996","Schleswig-Holstein","Female","40","0.3191835657829","0.243568742846313","0.394798388719486","2"
"Min 1x per week","1996","Lower Saxony","Female","139","0.248665078547438","0.212072763769132","0.285257393325744","2"
"Min 1x per week","1996","Bremen","Male","13","","","","2"
"Min 1x per week","1996","Bremen","Female","12","","","","2"
"Min 1x per week","1996","Baden-Württemberg","Male","199","0.239214023610418","0.210226508021946","0.268201539198891","2"
"Min 1x per week","1996","Baden-Württemberg","Female","186","0.262724804092283","0.233596604327785","0.29185300385678","2"
"Min 1x per week","1996","Bavaria","Male","253","0.310384175983355","0.278582045631933","0.342186306334776","2"
"Min 1x per week","1996","Bavaria","Female","185","0.246363126277029","0.217066574807836","0.275659677746223","2"
"Min 1x per week","1996","Rhineland-Palatinate,Saarland","Female","60","0.182215948119529","0.142172958554745","0.222258937684314","2"
"Min 1x per week","1996","Berlin","Male","64","0.278315380760156","0.223308080623532","0.333322680896781","2"
"Min 1x per week","1996","Berlin","Female","62","0.187277737188112","0.141904154137074","0.232651320239151","2"
"Min 1x per week","1996","Brandenburg","Male","40","0.157394771106828","0.115114974819557","0.199674567394098","2"
"Never","1996","Mecklenburg-Western Pomerania","Male","95","0.512324584095621","0.442167938656688","0.582481229534554","5"
"Never","1996","Mecklenburg-Western Pomerania","Female","113","0.590268172605093","0.522449866235051","0.658086478975135","5"
"Never","1996","Thuringia","Female","215","0.699761039700792","0.650968138134925","0.74855394126666","5"
"Never","1996","Saxony","Male","266","0.559363165576137","0.516814633837688","0.601911697314586","5"
"Never","1996","Saxony","Female","363","0.659658268265111","0.621163323038856","0.698153213491366","5"
"Never","1996","Saxony-Anhalt","Male","179","0.646946582493742","0.593916144339656","0.699977020647829","5"
"Never","1996","Saxony-Anhalt","Female","225","0.699194231354771","0.651754429621868","0.746634033087674","5"
"Never","1996","Thuringia","Male","157","0.544375624178386","0.489464876119672","0.599286372237099","5"
"Never","1996","Brandenburg","Female","202","0.684666604358619","0.633273148353441","0.736060060363798","5"
"Never","1996","Schleswig-Holstein","Male","53","0.349256891797889","0.269134128703969","0.429379654891808","5"
"Never","1996","Schleswig-Holstein","Female","63","0.387916064581632","0.308876227506696","0.466955901656568","5"
"Never","1996","Hamburg","Male","24","","","","5"
"Never","1996","Hamburg","Female","36","0.557045826818017","0.437206051927177","0.676885601708856","5"
"Never","1996","Lower Saxony","Male","216","0.418302883624527","0.375365260868413","0.461240506380641","5"
"Never","1996","Lower Saxony","Female","266","0.485816030912983","0.44350429113033","0.528127770695636","5"
"Never","1996","Bremen","Male","22","","","","5"
"Never","1996","Bremen","Female","27","","","","5"
"Never","1996","North Rhine-Westphalia","Male","497","0.382951213868117","0.355629195438884","0.410273232297349","5"
"Never","1996","North Rhine-Westphalia","Female","690","0.49406359587187","0.467274415483189","0.52085277626055","5"
"Never","1996","Hesse","Male","211","0.454014908057405","0.407599475148085","0.500430340966725","5"
"Never","1996","Hesse","Female","274","0.559373113481338","0.514345809777282","0.604400417185395","5"
"Never","1996","Rhineland-Palatinate,Saarland","Male","156","0.472902400366173","0.419438952142397","0.52636584858995","5"
"Never","1996","Rhineland-Palatinate,Saarland","Female","224","0.620937532469038","0.570611426077725","0.671263638860352","5"
"Never","1996","Baden-Württemberg","Male","364","0.445993258625974","0.412217267668136","0.479769249583813","5"
"Never","1996","Baden-Württemberg","Female","467","0.507671015285195","0.47458326945349","0.540758761116901","5"
"Never","1996","Bavaria","Male","287","0.363089704671276","0.330033809685168","0.396145599657383","5"
"Never","1996","Bavaria","Female","401","0.500477837423456","0.466482654285182","0.53447302056173","5"
"Never","1996","Berlin","Male","106","0.406853056268516","0.346558522587098","0.467147589949934","5"
"Never","1996","Berlin","Female","153","0.574276803005897","0.516770795668402","0.631782810343392","5"
"Never","1996","Brandenburg","Male","155","0.562939469196014","0.505352091211585","0.620526847180443","5"
"Rarely","1996","North Rhine-Westphalia","Male","263","0.221290761597989","0.197958834604983","0.244622688590995","4"
"Rarely","1996","North Rhine-Westphalia","Female","275","0.193055031721516","0.171906386296504","0.214203677146528","4"
"Rarely","1996","Hesse","Male","82","0.179326189645196","0.143562352896071","0.215090026394322","4"
"Rarely","1996","Hesse","Female","66","0.15049041532324","0.118061814359793","0.182919016286688","4"
"Rarely","1996","Rhineland-Palatinate,Saarland","Male","69","0.212781590572213","0.168954732858598","0.256608448285827","4"
"Rarely","1996","Rhineland-Palatinate,Saarland","Female","57","0.14949888605911","0.112510072207925","0.186487699910295","4"
"Rarely","1996","Baden-Württemberg","Male","194","0.23736746135891","0.20845702239175","0.26627790032607","4"
"Rarely","1996","Baden-Württemberg","Female","169","0.174667090222772","0.149538482980168","0.199795697465377","4"
"Rarely","1996","Bavaria","Male","195","0.23596631917648","0.206779680664919","0.265152957688041","4"
"Rarely","1996","Thuringia","Female","67","0.154971576923967","0.116449479386887","0.193493674461046","4"
"Rarely","1996","Hamburg","Male","11","","","","4"
"Rarely","1996","Hamburg","Female","9","","","","4"
"Rarely","1996","Lower Saxony","Male","105","0.206524722776549","0.171287892455475","0.241761553097622","4"
"Rarely","1996","Lower Saxony","Female","100","0.216113497178569","0.181269077561257","0.250957916795881","4"
"Rarely","1996","Bremen","Male","7","","","","4"
"Rarely","1996","Bremen","Female","7","","","","4"
"Rarely","1996","Mecklenburg-Western Pomerania","Female","50","0.237019504985922","0.178375831432607","0.295663178539236","4"
"Rarely","1996","Saxony","Male","120","0.203132505046416","0.168651492172071","0.23761351792076","4"
"Rarely","1996","Saxony","Female","96","0.151219704395419","0.122113308275933","0.180326100514905","4"
"Rarely","1996","Saxony-Anhalt","Male","64","0.178767260917566","0.136251699898751","0.221282821936382","4"
"Rarely","1996","Saxony-Anhalt","Female","72","0.145282864965359","0.108831040538488","0.18173468939223","4"
"Rarely","1996","Thuringia","Male","81","0.236401111975049","0.189556251380524","0.283245972569574","4"
"Rarely","1996","Schleswig-Holstein","Male","25","","","","4"
"Rarely","1996","Schleswig-Holstein","Female","30","0.191147726505367","0.12736679806429","0.254928654946443","4"
"Rarely","1996","Brandenburg","Female","64","0.18981911756809","0.146443643183422","0.233194591952757","4"
"Rarely","1996","Mecklenburg-Western Pomerania","Male","49","0.29321791833302","0.229322634481451","0.357113202184588","4"
"Rarely","1996","Berlin","Male","70","0.26717228796301","0.212862932638277","0.321481643287744","4"
"Rarely","1996","Brandenburg","Male","77","0.253175924737296","0.202692824418871","0.303659025055721","4"
"Rarely","1996","Bavaria","Female","178","0.182218379702842","0.155972426981741","0.208464332423942","4"
"Rarely","1996","Berlin","Female","48","0.158816520353176","0.116307399169638","0.201325641536714","4"
"Daily","1997","North Rhine-Westphalia","Male","","","","","1"
"Daily","1997","North Rhine-Westphalia","Female","","","","","1"
"Daily","1997","Hesse","Male","","","","","1"
"Daily","1997","Hesse","Female","","","","","1"
"Daily","1997","Rhineland-Palatinate,Saarland","Male","","","","","1"
"Daily","1997","Rhineland-Palatinate,Saarland","Female","","","","","1"
"Daily","1997","Baden-Württemberg","Male","","","","","1"
"Daily","1997","Baden-Württemberg","Female","","","","","1"
"Daily","1997","Bavaria","Male","","","","","1"
"Daily","1997","Bavaria","Female","","","","","1"
"Daily","1997","Berlin","Male","","","","","1"
"Daily","1997","Berlin","Female","","","","","1"
"Daily","1997","Brandenburg","Male","","","","","1"
"Daily","1997","Schleswig-Holstein","Male","","","","","1"
"Daily","1997","Schleswig-Holstein","Female","","","","","1"
"Daily","1997","Hamburg","Male","","","","","1"
"Daily","1997","Hamburg","Female","","","","","1"
"Daily","1997","Lower Saxony","Male","","","","","1"
"Daily","1997","Lower Saxony","Female","","","","","1"
"Daily","1997","Bremen","Male","","","","","1"
"Daily","1997","Bremen","Female","","","","","1"
"Daily","1997","Brandenburg","Female","","","","","1"
"Daily","1997","Mecklenburg-Western Pomerania","Male","","","","","1"
"Daily","1997","Mecklenburg-Western Pomerania","Female","","","","","1"
"Daily","1997","Saxony","Male","","","","","1"
"Daily","1997","Saxony","Female","","","","","1"
"Daily","1997","Saxony-Anhalt","Male","","","","","1"
"Daily","1997","Saxony-Anhalt","Female","","","","","1"
"Daily","1997","Thuringia","Male","","","","","1"
"Daily","1997","Thuringia","Female","","","","","1"
"Min 1x per month","1997","Schleswig-Holstein","Male","8","","","","3"
"Min 1x per month","1997","Schleswig-Holstein","Female","7","","","","3"
"Min 1x per month","1997","Hamburg","Male","3","","","","3"
"Min 1x per month","1997","Hamburg","Female","1","","","","3"
"Min 1x per month","1997","Brandenburg","Female","7","","","","3"
"Min 1x per month","1997","Mecklenburg-Western Pomerania","Male","14","","","","3"
"Min 1x per month","1997","Mecklenburg-Western Pomerania","Female","9","","","","3"
"Min 1x per month","1997","Saxony","Male","34","0.0544993280385472","0.0348367886674251","0.0741618674096692","3"
"Min 1x per month","1997","North Rhine-Westphalia","Male","95","0.0910358051588048","0.0747193641720186","0.107352246145591","3"
"Min 1x per month","1997","North Rhine-Westphalia","Female","63","0.0490188903684177","0.0372957607665769","0.0607420199702585","3"
"Min 1x per month","1997","Hesse","Male","35","0.0634029670195662","0.039872493726548","0.0869334403125845","3"
"Min 1x per month","1997","Hesse","Female","22","","","","3"
"Min 1x per month","1997","Rhineland-Palatinate,Saarland","Male","20","","","","3"
"Min 1x per month","1997","Rhineland-Palatinate,Saarland","Female","14","","","","3"
"Min 1x per month","1997","Baden-Württemberg","Male","61","0.0591511984872724","0.0432451819811649","0.0750572149933798","3"
"Min 1x per month","1997","Baden-Württemberg","Female","41","0.0499318188584583","0.0354339348072029","0.0644297029097137","3"
"Min 1x per month","1997","Bavaria","Male","80","0.0783803158329146","0.0596738875663719","0.0970867440994573","3"
"Min 1x per month","1997","Bavaria","Female","61","0.0563349448940585","0.0406016750948923","0.0720682146932247","3"
"Min 1x per month","1997","Berlin","Male","21","","","","3"
"Min 1x per month","1997","Berlin","Female","9","","","","3"
"Min 1x per month","1997","Brandenburg","Male","17","","","","3"
"Min 1x per month","1997","Saxony","Female","23","","","","3"
"Min 1x per month","1997","Saxony-Anhalt","Male","13","","","","3"
"Min 1x per month","1997","Saxony-Anhalt","Female","9","","","","3"
"Min 1x per month","1997","Thuringia","Male","11","","","","3"
"Min 1x per month","1997","Thuringia","Female","5","","","","3"
"Min 1x per month","1997","Bremen","Female","1","","","","3"
"Min 1x per month","1997","Lower Saxony","Male","39","0.0702407908381484","0.047930113085642","0.0925514685906548","3"
"Min 1x per month","1997","Bremen","Male","4","","","","3"
"Min 1x per month","1997","Lower Saxony","Female","36","0.0694145931360919","0.047715264685927","0.0911139215862568","3"
"Min 1x per week","1997","North Rhine-Westphalia","Male","329","0.273429439351654","0.248147670160933","0.298711208542375","2"
"Min 1x per week","1997","North Rhine-Westphalia","Female","305","0.249486607448492","0.225991430232248","0.272981784664735","2"
"Min 1x per week","1997","Hesse","Male","125","0.324761680200606","0.279543777699592","0.36997958270162","2"
"Min 1x per week","1997","Hesse","Female","94","0.252146973922975","0.211150692680151","0.293143255165799","2"
"Min 1x per week","1997","Rhineland-Palatinate,Saarland","Male","81","0.250085884241469","0.203849539367115","0.296322229115822","2"
"Min 1x per week","1997","Brandenburg","Female","37","0.11345645592105","0.0778051090565701","0.14910780278553","2"
"Min 1x per week","1997","Mecklenburg-Western Pomerania","Male","38","0.178065161876733","0.123951658650558","0.232178665102908","2"
"Min 1x per week","1997","Mecklenburg-Western Pomerania","Female","27","","","","2"
"Min 1x per week","1997","Saxony","Male","101","0.179783596582658","0.146521289562984","0.213045903602331","2"
"Min 1x per week","1997","Saxony","Female","90","0.149240446639722","0.119833141607243","0.178647751672201","2"
"Min 1x per week","1997","Saxony-Anhalt","Male","48","0.109587606647228","0.0747017773035311","0.144473435990925","2"
"Min 1x per week","1997","Saxony-Anhalt","Female","50","0.120133644267046","0.086169753078009","0.154097535456082","2"
"Min 1x per week","1997","Thuringia","Male","63","0.181636100674278","0.139059877800414","0.224212323548142","2"
"Min 1x per week","1997","Thuringia","Female","39","0.0900336567729802","0.0596982273210436","0.120369086224917","2"
"Min 1x per week","1997","Hamburg","Male","24","","","","2"
"Min 1x per week","1997","Hamburg","Female","22","","","","2"
"Min 1x per week","1997","Lower Saxony","Male","148","0.293848355976804","0.254079468425528","0.333617243528079","2"
"Min 1x per week","1997","Schleswig-Holstein","Male","50","0.429672608959102","0.344247766752474","0.51509745116573","2"
"Min 1x per week","1997","Schleswig-Holstein","Female","43","0.333984816145417","0.255859911570466","0.412109720720368","2"
"Min 1x per week","1997","Lower Saxony","Female","142","0.258672927450984","0.221285704942339","0.296060149959629","2"
"Min 1x per week","1997","Bremen","Male","14","","","","2"
"Min 1x per week","1997","Bremen","Female","14","","","","2"
"Min 1x per week","1997","Baden-Württemberg","Male","224","0.264476695276085","0.234738701912383","0.294214688639787","2"
"Min 1x per week","1997","Baden-Württemberg","Female","190","0.24853271552821","0.219766325544349","0.277299105512071","2"
"Min 1x per week","1997","Bavaria","Male","242","0.30275166859023","0.270773873751093","0.334729463429367","2"
"Min 1x per week","1997","Berlin","Male","61","0.282412463186363","0.225811434121646","0.339013492251079","2"
"Min 1x per week","1997","Rhineland-Palatinate,Saarland","Female","75","0.206786847881726","0.165630859974719","0.247942835788733","2"
"Min 1x per week","1997","Bavaria","Female","184","0.250149611905235","0.220596151217135","0.279703072593334","2"
"Min 1x per week","1997","Berlin","Female","69","0.250313834217885","0.197859712455659","0.302767955980111","2"
"Min 1x per week","1997","Brandenburg","Male","43","0.164815996278916","0.12240629732009","0.207225695237741","2"
"Never","1997","Mecklenburg-Western Pomerania","Male","100","0.53172918650751","0.461147623537151","0.602310749477869","5"
"Never","1997","Mecklenburg-Western Pomerania","Female","115","0.621706594672169","0.553287620435057","0.690125568909281","5"
"Never","1997","Thuringia","Male","163","0.562479161947583","0.50769621328965","0.617262110605515","5"
"Never","1997","Thuringia","Female","218","0.684003295650722","0.63473070335048","0.733275887950965","5"
"Never","1997","Saxony","Male","264","0.556529593987407","0.513497788921376","0.599561399053437","5"
"Never","1997","Saxony","Female","349","0.662966466943609","0.623955126179878","0.701977807707339","5"
"Never","1997","Saxony-Anhalt","Male","180","0.632532929417228","0.578690640243071","0.686375218591386","5"
"Never","1997","Saxony-Anhalt","Female","225","0.689936724346193","0.641618990645289","0.738254458047098","5"
"Never","1997","Brandenburg","Female","197","0.681604051018691","0.629236634696387","0.733971467340995","5"
"Never","1997","Schleswig-Holstein","Male","50","0.350075446635071","0.2677629956199","0.432387897650242","5"
"Never","1997","Schleswig-Holstein","Female","61","0.436442106309575","0.354290385796876","0.518593826822274","5"
"Never","1997","Hamburg","Male","21","","","","5"
"Never","1997","Hamburg","Female","35","0.562302997753153","0.437807066252642","0.686798929253664","5"
"Never","1997","Lower Saxony","Male","224","0.460302872405672","0.416788801145075","0.503816943666269","5"
"Never","1997","Lower Saxony","Female","250","0.50327304132253","0.460585269888872","0.545960812756189","5"
"Never","1997","Bremen","Male","25","","","","5"
"Never","1997","Bremen","Female","28","","","","5"
"Never","1997","North Rhine-Westphalia","Male","524","0.421190810443581","0.393184681757641","0.449196939129521","5"
"Never","1997","North Rhine-Westphalia","Female","713","0.53016435802535","0.503065304254721","0.557263411795979","5"
"Never","1997","Hesse","Male","187","0.458411431473497","0.410298485793645","0.50652437715335","5"
"Never","1997","Hesse","Female","251","0.549232957134407","0.502258277319522","0.596207636949292","5"
"Never","1997","Rhineland-Palatinate,Saarland","Male","162","0.486053197134324","0.432690947886243","0.539415446382405","5"
"Never","1997","Rhineland-Palatinate,Saarland","Female","235","0.63105992968188","0.58202677490139","0.68009308446237","5"
"Never","1997","Baden-Württemberg","Male","404","0.499582075322671","0.465869681692368","0.533294468952973","5"
"Never","1997","Baden-Württemberg","Female","477","0.527431497936731","0.494199690778923","0.56066330509454","5"
"Never","1997","Bavaria","Male","295","0.396464605044989","0.362418684573812","0.430510525516167","5"
"Never","1997","Bavaria","Female","393","0.476540231918773","0.442459214059148","0.510621249778399","5"
"Never","1997","Berlin","Male","112","0.45619034558637","0.3935662515717","0.518814439601041","5"
"Never","1997","Berlin","Female","135","0.538119811930836","0.477752532603865","0.598487091257807","5"
"Never","1997","Brandenburg","Male","166","0.559373532426717","0.502624211003099","0.616122853850336","5"
"Rarely","1997","North Rhine-Westphalia","Male","246","0.21434394504596","0.191067440180019","0.2376204499119","4"
"Rarely","1997","North Rhine-Westphalia","Female","222","0.171330144157741","0.150871184601953","0.191789103713528","4"
"Rarely","1997","Hesse","Male","65","0.153423921306331","0.118623939363807","0.188223903248854","4"
"Rarely","1997","Hesse","Female","64","0.148370930277863","0.114811923065968","0.181929937489759","4"
"Rarely","1997","Rhineland-Palatinate,Saarland","Male","74","0.202004044667385","0.159137989525948","0.244870099808822","4"
"Rarely","1997","Rhineland-Palatinate,Saarland","Female","48","0.129561744875555","0.0954358538150354","0.163687635936075","4"
"Rarely","1997","Baden-Württemberg","Male","156","0.176790030913972","0.151068078350147","0.202511983477796","4"
"Rarely","1997","Baden-Württemberg","Female","159","0.1741039676766","0.148863025242228","0.199344910110972","4"
"Rarely","1997","Bavaria","Male","176","0.222403410531866","0.193459354361843","0.251347466701889","4"
"Rarely","1997","Thuringia","Female","80","0.215028069768952","0.171485938800656","0.258570200737248","4"
"Rarely","1997","Schleswig-Holstein","Male","21","","","","4"
"Rarely","1997","Schleswig-Holstein","Female","29","","","","4"
"Rarely","1997","Hamburg","Male","10","","","","4"
"Rarely","1997","Hamburg","Female","3","","","","4"
"Rarely","1997","Lower Saxony","Male","93","0.175607980779376","0.142390106520765","0.208825855037987","4"
"Rarely","1997","Lower Saxony","Female","99","0.168639438090393","0.136671320360361","0.200607555820426","4"
"Rarely","1997","Bremen","Male","2","","","","4"
"Rarely","1997","Bremen","Female","5","","","","4"
"Rarely","1997","Brandenburg","Female","63","0.184458127975539","0.140858445194831","0.228057810756247","4"
"Rarely","1997","Mecklenburg-Western Pomerania","Male","40","0.239328299107518","0.17897609525848","0.299680502956556","4"
"Rarely","1997","Mecklenburg-Western Pomerania","Female","42","0.219329850247425","0.160951462818465","0.277708237676384","4"
"Rarely","1997","Saxony","Male","113","0.209187481391388","0.173957069243292","0.244417893539484","4"
"Rarely","1997","Saxony","Female","102","0.152009979702088","0.122379412832681","0.181640546571496","4"
"Rarely","1997","Saxony-Anhalt","Male","67","0.201647902873047","0.156838740786534","0.246457064959561","4"
