"ple0160","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2004","Bavaria","direct migration background","24","","",""
"Yes","2004","Bavaria","indirect migration background","8","","",""
"Yes","2004","Berlin","no migration background","48","0.0590555121256828","0.041667178602208","0.0764438456491575"
"Yes","2004","Berlin","direct migration background","5","","",""
"Yes","2004","Berlin","indirect migration background","1","","",""
"Yes","2004","Brandenburg","no migration background","57","0.0716317863625665","0.0547182125293497","0.0885453601957832"
"Yes","2004","Brandenburg","direct migration background","1","","",""
"Yes","2004","Brandenburg","indirect migration background","","","",""
"Yes","2004","Mecklenburg-Western Pomerania","no migration background","38","0.0743036223697952","0.0511529341175649","0.0974543106220255"
"Yes","2004","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","2004","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","2004","Saxony","no migration background","152","0.0802635457010345","0.0666979883310629","0.093829103071006"
"Yes","2004","Saxony","direct migration background","1","","",""
"Yes","2004","Saxony","indirect migration background","","","",""
"Yes","2004","Saxony-Anhalt","no migration background","79","0.0763990118160384","0.0589863407248276","0.0938116829072491"
"Yes","2004","Saxony-Anhalt","direct migration background","","","",""
"Yes","2004","Saxony-Anhalt","indirect migration background","","","",""
"Yes","2004","Thuringia","no migration background","63","0.0493228751273283","0.035322777968561","0.0633229722860955"
"Yes","2004","Thuringia","direct migration background","","","",""
"Yes","2004","Thuringia","indirect migration background","2","","",""
"No","2004","Schleswig-Holstein","no migration background","566","0.946159875565742","0.928024569103323","0.964295182028162"
"No","2004","Schleswig-Holstein","direct migration background","64","0.923958732008081","0.860010714468087","0.987906749548074"
"No","2004","Schleswig-Holstein","indirect migration background","13","","",""
"No","2004","Hamburg","no migration background","235","0.923659609846218","0.891748608167356","0.955570611525079"
"No","2004","Hamburg","direct migration background","20","","",""
"No","2004","Hamburg","indirect migration background","6","","",""
"No","2004","Lower Saxony","no migration background","1526","0.952357364314912","0.941975127206387","0.962739601423438"
"No","2004","Lower Saxony","direct migration background","194","0.947873362830572","0.917445168999926","0.978301556661219"
"No","2004","Lower Saxony","indirect migration background","46","0.893028821341326","0.809022387772176","0.977035254910476"
"No","2004","Bremen","no migration background","135","0.979520860239714","0.956059846558168","1.00298187392126"
"No","2004","Bremen","direct migration background","23","","",""
"No","2004","Bremen","indirect migration background","3","","",""
"No","2004","North Rhine-Westphalia","no migration background","3429","0.951410341870474","0.944397562068332","0.958423121672617"
"No","2004","North Rhine-Westphalia","direct migration background","654","0.957973845128716","0.942947980924984","0.972999709332449"
"No","2004","North Rhine-Westphalia","indirect migration background","203","0.906742618612341","0.868317043760794","0.945168193463887"
"No","2004","Hesse","no migration background","1058","0.946634939961934","0.933512762728414","0.959757117195454"
"No","2004","Hesse","direct migration background","231","0.956697626231178","0.930839156945924","0.982556095516432"
"No","2004","Hesse","indirect migration background","66","0.900233775130142","0.830524857813552","0.969942692446732"
"No","2004","Rhineland-Palatinate,Saarland","no migration background","1007","0.960402989129865","0.948707445386608","0.972098532873122"
"No","2004","Rhineland-Palatinate,Saarland","direct migration background","182","0.959483065019522","0.931593969753027","0.987372160286017"
"No","2004","Rhineland-Palatinate,Saarland","indirect migration background","41","0.96063957697748","0.903184042510194","1.01809511144477"
"No","2004","Baden-Württemberg","no migration background","1723","0.941196181852988","0.930449756210188","0.951942607495789"
"No","2004","Baden-Württemberg","direct migration background","553","0.964910890710334","0.94980520517933","0.980016576241337"
"No","2004","Baden-Württemberg","indirect migration background","183","0.894798125388693","0.852276743967264","0.937319506810123"
"No","2004","Bavaria","no migration background","2379","0.939411996633611","0.930126720197511","0.948697273069712"
"No","2004","Bavaria","direct migration background","354","0.917770662687051","0.890076855018068","0.945464470356034"
"No","2004","Bavaria","indirect migration background","121","0.8609847295818","0.801283645857788","0.920685813305813"
"No","2004","Berlin","no migration background","658","0.940944487874317","0.923556154350842","0.958332821397792"
"No","2004","Berlin","direct migration background","58","0.959014744273975","0.910058929492928","1.00797055905502"
"No","2004","Berlin","indirect migration background","35","0.96565575933391","0.906166992336457","1.02514452633136"
"No","2004","Brandenburg","no migration background","836","0.928368213637434","0.911454639804217","0.94528178747065"
"No","2004","Brandenburg","direct migration background","12","","",""
"No","2004","Brandenburg","indirect migration background","3","","",""
"No","2004","Mecklenburg-Western Pomerania","no migration background","455","0.925696377630205","0.902545689377974","0.948847065882435"
"No","2004","Mecklenburg-Western Pomerania","direct migration background","17","","",""
"No","2004","Mecklenburg-Western Pomerania","indirect migration background","2","","",""
"No","2004","Saxony","no migration background","1389","0.919736454298966","0.906170896928994","0.933302011668937"
"No","2004","Saxony","direct migration background","28","","",""
"No","2004","Saxony","indirect migration background","7","","",""
"No","2004","Saxony-Anhalt","no migration background","815","0.923600988183962","0.906188317092751","0.941013659275173"
"No","2004","Saxony-Anhalt","direct migration background","24","","",""
"No","2004","Saxony-Anhalt","indirect migration background","7","","",""
"No","2004","Thuringia","no migration background","856","0.950677124872672","0.936677027713904","0.964677222031439"
"No","2004","Thuringia","direct migration background","16","","",""
"No","2004","Thuringia","indirect migration background","5","","",""
"Yes","2005","Schleswig-Holstein","no migration background","26","","",""
"Yes","2005","Schleswig-Holstein","direct migration background","3","","",""
"Yes","2005","Schleswig-Holstein","indirect migration background","1","","",""
"Yes","2005","Hamburg","no migration background","24","","",""
"Yes","2005","Hamburg","direct migration background","1","","",""
"Yes","2005","Hamburg","indirect migration background","2","","",""
"Yes","2005","Lower Saxony","no migration background","75","0.0348891247539118","0.0256793965992572","0.0440988529085665"
"Yes","2005","Lower Saxony","direct migration background","12","","",""
"Yes","2005","Lower Saxony","indirect migration background","1","","",""
"Yes","2005","Bremen","no migration background","8","","",""
"Yes","2005","Bremen","direct migration background","","","",""
"Yes","2005","Bremen","indirect migration background","","","",""
"Yes","2005","North Rhine-Westphalia","no migration background","183","0.0513906866057182","0.0440124127292732","0.0587689604821632"
"Yes","2005","North Rhine-Westphalia","direct migration background","42","0.0499383899264682","0.0331416505030324","0.066735129349904"
"Yes","2005","North Rhine-Westphalia","indirect migration background","22","","",""
"Yes","2005","Hesse","no migration background","57","0.0617472422552373","0.0473655277528944","0.0761289567575801"
"Yes","2005","Hesse","direct migration background","12","","",""
"Yes","2005","Hesse","indirect migration background","6","","",""
"Yes","2005","Rhineland-Palatinate,Saarland","no migration background","64","0.0655094600220015","0.050227719536443","0.0807912005075601"
"Yes","2005","Rhineland-Palatinate,Saarland","direct migration background","2","","",""
"Yes","2005","Rhineland-Palatinate,Saarland","indirect migration background","3","","",""
"Yes","2005","Baden-Württemberg","no migration background","98","0.0623577525012429","0.0510673623533818","0.0736481426491041"
"Yes","2005","Baden-Württemberg","direct migration background","14","","",""
"Yes","2005","Baden-Württemberg","indirect migration background","19","","",""
"Yes","2005","Bavaria","no migration background","104","0.0405805391564517","0.0327271812975219","0.0484338970153815"
"Yes","2005","Bavaria","direct migration background","12","","",""
"Yes","2005","Bavaria","indirect migration background","4","","",""
"Yes","2005","Berlin","no migration background","36","0.052156725028767","0.0352577372525676","0.0690557128049663"
"Yes","2005","Berlin","direct migration background","3","","",""
"Yes","2005","Berlin","indirect migration background","4","","",""
"Yes","2005","Brandenburg","no migration background","51","0.0524532508659879","0.0375446105621218","0.0673618911698541"
"Yes","2005","Brandenburg","direct migration background","1","","",""
"Yes","2005","Brandenburg","indirect migration background","","","",""
"Yes","2005","Mecklenburg-Western Pomerania","no migration background","25","","",""
"Yes","2005","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","2005","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","2005","Saxony","no migration background","137","0.0856383013950423","0.0713529020842225","0.0999237007058621"
"Yes","2005","Saxony","direct migration background","1","","",""
"Yes","2005","Saxony","indirect migration background","","","",""
"Yes","2005","Saxony-Anhalt","no migration background","60","0.0634762852122553","0.0472186879545606","0.0797338824699499"
"Yes","2005","Saxony-Anhalt","direct migration background","","","",""
"Yes","2005","Saxony-Anhalt","indirect migration background","","","",""
"Yes","2005","Thuringia","no migration background","59","0.0613710508057281","0.0453580972075703","0.0773840044038859"
"Yes","2005","Thuringia","direct migration background","1","","",""
"Yes","2005","Thuringia","indirect migration background","","","",""
"No","2005","Schleswig-Holstein","no migration background","545","0.942844495514971","0.923803962441125","0.961885028588817"
"No","2005","Schleswig-Holstein","direct migration background","61","0.955065334866887","0.904311904636621","1.00581876509715"
"No","2005","Schleswig-Holstein","indirect migration background","10","","",""
"No","2005","Hamburg","no migration background","235","0.941909665177436","0.91342213649307","0.970397193861801"
"No","2005","Hamburg","direct migration background","21","","",""
"No","2005","Hamburg","indirect migration background","7","","",""
"No","2005","Lower Saxony","no migration background","1450","0.965110875246088","0.955901147091433","0.974320603400743"
"No","2005","Lower Saxony","direct migration background","188","0.936026536813304","0.90211268604818","0.969940387578428"
"No","2005","Lower Saxony","indirect migration background","48","0.991207344100766","0.965068140876241","1.01734654732529"
"No","2005","Bremen","no migration background","117","0.96108210330567","0.927178331987138","0.994985874624202"
"No","2005","Bremen","direct migration background","16","","",""
"No","2005","Bremen","indirect migration background","4","","",""
"No","2005","North Rhine-Westphalia","no migration background","3257","0.948609313394282","0.941231039517837","0.955987587270727"
"No","2005","North Rhine-Westphalia","direct migration background","604","0.950061610073532","0.933264870650096","0.966858349496968"
"No","2005","North Rhine-Westphalia","indirect migration background","215","0.917604790685405","0.882597964773281","0.95261161659753"
"No","2005","Hesse","no migration background","1019","0.938252757744763","0.92387104324242","0.952634472247106"
"No","2005","Hesse","direct migration background","202","0.977964768443125","0.958296704190725","0.997632832695526"
"No","2005","Hesse","indirect migration background","62","0.946956050112342","0.893686813353039","1.00022528687165"
"No","2005","Rhineland-Palatinate,Saarland","no migration background","943","0.934490539977998","0.91920879949244","0.949772280463557"
"No","2005","Rhineland-Palatinate,Saarland","direct migration background","173","0.993013612078052","0.980673104707865","1.00535411944824"
"No","2005","Rhineland-Palatinate,Saarland","indirect migration background","44","0.900987904347286","0.815598738948019","0.986377069746554"
"No","2005","Baden-Württemberg","no migration background","1664","0.937642247498757","0.926351857350896","0.948932637646618"
"No","2005","Baden-Württemberg","direct migration background","525","0.94575377546754","0.926632031058993","0.964875519876088"
"No","2005","Baden-Württemberg","indirect migration background","194","0.860055299380795","0.813464548900753","0.906646049860838"
"No","2005","Bavaria","no migration background","2321","0.959419460843548","0.951566102984619","0.967272818702478"
"No","2005","Bavaria","direct migration background","324","0.944221027535229","0.919682384608247","0.96875967046221"
"No","2005","Bavaria","indirect migration background","119","0.955219389127364","0.918668991432621","0.991769786822107"
"No","2005","Berlin","no migration background","629","0.947843274971233","0.930944287195034","0.964742262747432"
"No","2005","Berlin","direct migration background","50","0.969248764461219","0.922769519001654","1.01572800992078"
"No","2005","Berlin","indirect migration background","31","0.910551202259798","0.816002949235858","1.00509945528374"
"No","2005","Brandenburg","no migration background","808","0.947546749134012","0.932638108830146","0.962455389437878"
"No","2005","Brandenburg","direct migration background","12","","",""
"No","2005","Brandenburg","indirect migration background","5","","",""
"No","2005","Mecklenburg-Western Pomerania","no migration background","457","0.95794978186302","0.940032172255491","0.975867391470549"
"No","2005","Mecklenburg-Western Pomerania","direct migration background","15","","",""
"No","2005","Mecklenburg-Western Pomerania","indirect migration background","2","","",""
"No","2005","Saxony","no migration background","1337","0.914361698604958","0.900076299294138","0.928647097915778"
"No","2005","Saxony","direct migration background","27","","",""
"No","2005","Saxony","indirect migration background","7","","",""
"No","2005","Saxony-Anhalt","no migration background","804","0.936523714787745","0.92026611753005","0.952781312045439"
"No","2005","Saxony-Anhalt","direct migration background","23","","",""
"No","2005","Saxony-Anhalt","indirect migration background","6","","",""
"No","2005","Thuringia","no migration background","804","0.938628949194272","0.922615995596114","0.95464190279243"
"No","2005","Thuringia","direct migration background","15","","",""
"No","2005","Thuringia","indirect migration background","7","","",""
"Yes","2006","Schleswig-Holstein","no migration background","23","","",""
"Yes","2006","Schleswig-Holstein","direct migration background","1","","",""
"Yes","2006","Schleswig-Holstein","indirect migration background","2","","",""
"Yes","2006","Hamburg","no migration background","11","","",""
"Yes","2006","Hamburg","direct migration background","2","","",""
"Yes","2006","Hamburg","indirect migration background","3","","",""
"Yes","2006","Lower Saxony","no migration background","63","0.0342574179352039","0.0256514949989566","0.0428633408714512"
"Yes","2006","Lower Saxony","direct migration background","1","","",""
"Yes","2006","Lower Saxony","indirect migration background","2","","",""
"Yes","2006","Bremen","no migration background","2","","",""
"Yes","2006","Bremen","direct migration background","2","","",""
"Yes","2006","Bremen","indirect migration background","","","",""
"Yes","2006","North Rhine-Westphalia","no migration background","169","0.041814510407188","0.035311037038396","0.0483179837759799"
"Yes","2006","North Rhine-Westphalia","direct migration background","45","0.0622170685040892","0.0437045651135964","0.0807295718945821"
"Yes","2006","North Rhine-Westphalia","indirect migration background","15","","",""
"Yes","2006","Hesse","no migration background","58","0.0382100141172462","0.0273135425933456","0.0491064856411467"
"Yes","2006","Hesse","direct migration background","6","","",""
"Yes","2006","Hesse","indirect migration background","6","","",""
"Yes","2006","Rhineland-Palatinate,Saarland","no migration background","66","0.0676294436349072","0.0525055959985858","0.0827532912712286"
"Yes","2006","Rhineland-Palatinate,Saarland","direct migration background","6","","",""
"Yes","2006","Rhineland-Palatinate,Saarland","indirect migration background","4","","",""
"Yes","2006","Baden-Württemberg","no migration background","83","0.0499349952819238","0.0403652424693766","0.0595047480944709"
"Yes","2006","Baden-Württemberg","direct migration background","16","","",""
"Yes","2006","Baden-Württemberg","indirect migration background","12","","",""
"Yes","2006","Bavaria","no migration background","116","0.04339970001087","0.0356522116232228","0.0511471883985172"
"Yes","2006","Bavaria","direct migration background","13","","",""
"Yes","2006","Bavaria","indirect migration background","12","","",""
"Yes","2006","Berlin","no migration background","19","","",""
"Yes","2006","Berlin","direct migration background","5","","",""
"Yes","2006","Berlin","indirect migration background","1","","",""
"Yes","2006","Brandenburg","no migration background","41","0.0412100764530011","0.0283375499437046","0.0540826029622976"
"Yes","2006","Brandenburg","direct migration background","","","",""
"Yes","2006","Brandenburg","indirect migration background","","","",""
"Yes","2006","Mecklenburg-Western Pomerania","no migration background","28","","",""
"Yes","2006","Mecklenburg-Western Pomerania","direct migration background","1","","",""
"Yes","2006","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","2006","Saxony","no migration background","106","0.0714364721601076","0.0585773126973296","0.0842956316228856"
"Yes","2006","Saxony","direct migration background","1","","",""
"Yes","2006","Saxony","indirect migration background","","","",""
"Yes","2006","Saxony-Anhalt","no migration background","52","0.0529543188909304","0.0381330819066986","0.0677755558751622"
"Yes","2006","Saxony-Anhalt","direct migration background","1","","",""
"Yes","2006","Saxony-Anhalt","indirect migration background","","","",""
"Yes","2006","Thuringia","no migration background","49","0.055009442056228","0.0402605599194378","0.0697583241930182"
"Yes","2006","Thuringia","direct migration background","","","",""
"Yes","2006","Thuringia","indirect migration background","","","",""
"No","2006","Schleswig-Holstein","no migration background","581","0.964151465176751","0.949324988471222","0.978977941882279"
"No","2006","Schleswig-Holstein","direct migration background","55","0.95622012160596","0.902631783094394","1.00980846011753"
"No","2006","Schleswig-Holstein","indirect migration background","10","","",""
"No","2006","Hamburg","no migration background","260","0.975208972766848","0.956696708084457","0.993721237449239"
"No","2006","Hamburg","direct migration background","27","","",""
"No","2006","Hamburg","indirect migration background","4","","",""
"No","2006","Lower Saxony","no migration background","1653","0.965742582064796","0.957136659128549","0.974348505001043"
"No","2006","Lower Saxony","direct migration background","194","0.997437687116587","0.99034207686948","1.00453329736369"
"No","2006","Lower Saxony","indirect migration background","44","0.966444868314608","0.914404879909764","1.01848485671945"
"No","2006","Bremen","no migration background","127","0.994589092659541","0.981929779877801","1.00724840544128"
"No","2006","Bremen","direct migration background","9","","",""
"No","2006","Bremen","indirect migration background","5","","",""
"No","2006","North Rhine-Westphalia","no migration background","3470","0.958185489592812","0.95168201622402","0.964688962961604"
"No","2006","North Rhine-Westphalia","direct migration background","609","0.937782931495911","0.919270428105418","0.956295434886404"
"No","2006","North Rhine-Westphalia","indirect migration background","213","0.928708369190463","0.895308895606949","0.962107842773977"
"No","2006","Hesse","no migration background","1131","0.961789985882754","0.950893514358853","0.972686457406654"
"No","2006","Hesse","direct migration background","210","0.977570360142385","0.957823121331387","0.997317598953382"
"No","2006","Hesse","indirect migration background","66","0.883965933528224","0.809989674843089","0.957942192213358"
"No","2006","Rhineland-Palatinate,Saarland","no migration background","993","0.932370556365093","0.917246708728771","0.947494404001414"
"No","2006","Rhineland-Palatinate,Saarland","direct migration background","174","0.967590826134761","0.941721108417078","0.993460543852444"
"No","2006","Rhineland-Palatinate,Saarland","indirect migration background","46","0.973541830627297","0.9290561444932","1.0180275167614"
"No","2006","Baden-Württemberg","no migration background","1907","0.950065004718076","0.940495251905529","0.959634757530623"
"No","2006","Baden-Württemberg","direct migration background","507","0.967542191699822","0.952354499104817","0.982729884294826"
"No","2006","Baden-Württemberg","indirect migration background","191","0.947758331312389","0.917148749398084","0.978367913226694"
"No","2006","Bavaria","no migration background","2541","0.95660029998913","0.948852811601483","0.964347788376777"
"No","2006","Bavaria","direct migration background","337","0.938355004423469","0.913158135950535","0.963551872896403"
"No","2006","Bavaria","indirect migration background","115","0.924139810942817","0.878090617202201","0.970189004683433"
"No","2006","Berlin","no migration background","668","0.965463293617914","0.951808722458122","0.979117864777706"
"No","2006","Berlin","direct migration background","54","0.889887877817756","0.810013535169564","0.969762220465947"
"No","2006","Berlin","indirect migration background","34","0.913525028596125","0.820410058599009","1.00663999859324"
"No","2006","Brandenburg","no migration background","875","0.958789923546999","0.945917397037703","0.971662450056295"
"No","2006","Brandenburg","direct migration background","17","","",""
"No","2006","Brandenburg","indirect migration background","7","","",""
"No","2006","Mecklenburg-Western Pomerania","no migration background","503","0.960731935840003","0.944211492791587","0.97725237888842"
"No","2006","Mecklenburg-Western Pomerania","direct migration background","12","","",""
"No","2006","Mecklenburg-Western Pomerania","indirect migration background","2","","",""
"No","2006","Saxony","no migration background","1435","0.928563527839892","0.915704368377114","0.94142268730267"
"No","2006","Saxony","direct migration background","29","","",""
"No","2006","Saxony","indirect migration background","7","","",""
"No","2006","Saxony-Anhalt","no migration background","825","0.94704568110907","0.932224444124838","0.961866918093301"
"No","2006","Saxony-Anhalt","direct migration background","27","","",""
"No","2006","Saxony-Anhalt","indirect migration background","7","","",""
"No","2006","Thuringia","no migration background","869","0.944990557943772","0.930241675806982","0.959739440080562"
"No","2006","Thuringia","direct migration background","17","","",""
"No","2006","Thuringia","indirect migration background","8","","",""
"Yes","2007","Schleswig-Holstein","no migration background","26","","",""
"Yes","2007","Schleswig-Holstein","direct migration background","4","","",""
"Yes","2007","Schleswig-Holstein","indirect migration background","","","",""
"Yes","2007","Hamburg","no migration background","14","","",""
"Yes","2007","Hamburg","direct migration background","","","",""
"Yes","2007","Hamburg","indirect migration background","1","","",""
"Yes","2007","Lower Saxony","no migration background","83","0.0538070274838262","0.0427058515117462","0.0649082034559062"
"Yes","2007","Lower Saxony","direct migration background","7","","",""
"Yes","2007","Lower Saxony","indirect migration background","1","","",""
"Yes","2007","Bremen","no migration background","8","","",""
"Yes","2007","Bremen","direct migration background","1","","",""
"Yes","2007","Bremen","indirect migration background","","","",""
"Yes","2007","North Rhine-Westphalia","no migration background","160","0.0478749530337669","0.0406847414868439","0.0550651645806898"
"Yes","2007","North Rhine-Westphalia","direct migration background","29","","",""
"Yes","2007","North Rhine-Westphalia","indirect migration background","20","","",""
"Yes","2007","Hesse","no migration background","84","0.0724969727487504","0.0572628267708407","0.08773111872666"
"Yes","2007","Hesse","direct migration background","11","","",""
"Yes","2007","Hesse","indirect migration background","8","","",""
"Yes","2007","Rhineland-Palatinate,Saarland","no migration background","58","0.0525533373376786","0.0385613841126509","0.0665452905627064"
"Yes","2007","Rhineland-Palatinate,Saarland","direct migration background","11","","",""
"Yes","2007","Rhineland-Palatinate,Saarland","indirect migration background","4","","",""
"Yes","2007","Baden-Württemberg","no migration background","80","0.0482499925557127","0.0384075432205288","0.0580924418908965"
"Yes","2007","Baden-Württemberg","direct migration background","18","","",""
"Yes","2007","Baden-Württemberg","indirect migration background","9","","",""
"Yes","2007","Bavaria","no migration background","117","0.0405255877389395","0.0328005781729771","0.0482505973049019"
"Yes","2007","Bavaria","direct migration background","13","","",""
"Yes","2007","Bavaria","indirect migration background","11","","",""
"Yes","2007","Berlin","no migration background","22","","",""
"Yes","2007","Berlin","direct migration background","2","","",""
"Yes","2007","Berlin","indirect migration background","1","","",""
"Yes","2007","Brandenburg","no migration background","53","0.0724586141845916","0.0548746612230236","0.0900425671461597"
"Yes","2007","Brandenburg","direct migration background","","","",""
"Yes","2007","Brandenburg","indirect migration background","1","","",""
"Yes","2007","Mecklenburg-Western Pomerania","no migration background","27","","",""
"Yes","2007","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","2007","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","2007","Saxony","no migration background","101","0.0767400694979299","0.0630958878513913","0.0903842511444686"
"Yes","2007","Saxony","direct migration background","","","",""
"Yes","2007","Saxony","indirect migration background","3","","",""
"Yes","2007","Saxony-Anhalt","no migration background","46","0.0572003219968594","0.0415240332876137","0.0728766107061051"
"Yes","2007","Saxony-Anhalt","direct migration background","","","",""
"Yes","2007","Saxony-Anhalt","indirect migration background","","","",""
"Yes","2007","Thuringia","no migration background","48","0.0668890742025304","0.0504294208142123","0.0833487275908486"
"Yes","2007","Thuringia","direct migration background","","","",""
"Yes","2007","Thuringia","indirect migration background","1","","",""
"No","2007","Schleswig-Holstein","no migration background","526","0.958704089606979","0.942105378566549","0.975302800647409"
"No","2007","Schleswig-Holstein","direct migration background","46","0.957750592293741","0.901993564382395","1.01350762020509"
"No","2007","Schleswig-Holstein","indirect migration background","9","","",""
"No","2007","Hamburg","no migration background","247","0.936701545268495","0.907160557713775","0.966242532823215"
"No","2007","Hamburg","direct migration background","25","","",""
"No","2007","Hamburg","indirect migration background","8","","",""
"No","2007","Lower Saxony","no migration background","1504","0.946192972516174","0.935091796544094","0.957294148488254"
"No","2007","Lower Saxony","direct migration background","166","0.986976053912053","0.970081386670059","1.00387072115405"
"No","2007","Lower Saxony","indirect migration background","49","0.982520048300085","0.946195191287217","1.01884490531295"
"No","2007","Bremen","no migration background","123","0.951419824542495","0.914604546824938","0.988235102260053"
"No","2007","Bremen","direct migration background","11","","",""
"No","2007","Bremen","indirect migration background","4","","",""
"No","2007","North Rhine-Westphalia","no migration background","3227","0.952125046966233","0.94493483541931","0.959315258513156"
"No","2007","North Rhine-Westphalia","direct migration background","538","0.941780061125647","0.922506268589308","0.961053853661986"
"No","2007","North Rhine-Westphalia","indirect migration background","195","0.895237735083766","0.85430219821482","0.936173271952712"
"No","2007","Hesse","no migration background","1029","0.92750302725125","0.91226888127334","0.942737173229159"
"No","2007","Hesse","direct migration background","185","0.944807172578544","0.912837884324832","0.976776460832256"
"No","2007","Hesse","indirect migration background","64","0.92692377055549","0.866807515555855","0.987040025555126"
"No","2007","Rhineland-Palatinate,Saarland","no migration background","919","0.947446662662321","0.933454709437294","0.961438615887349"
"No","2007","Rhineland-Palatinate,Saarland","direct migration background","138","0.927811121043694","0.886256445807352","0.969365796280036"
"No","2007","Rhineland-Palatinate,Saarland","indirect migration background","42","0.94978692291135","0.886678011918361","1.01289583390434"
"No","2007","Baden-Württemberg","no migration background","1741","0.951750007444287","0.941907558109103","0.961592456779471"
"No","2007","Baden-Württemberg","direct migration background","451","0.96697903292909","0.95080698229619","0.983151083561991"
"No","2007","Baden-Württemberg","indirect migration background","180","0.950995040508562","0.920218037128099","0.981772043889026"
"No","2007","Bavaria","no migration background","2386","0.959474412261061","0.951749402695098","0.967199421827023"
"No","2007","Bavaria","direct migration background","320","0.962587272227813","0.942204853529628","0.982969690925999"
"No","2007","Bavaria","indirect migration background","106","0.849581919956812","0.784806861823317","0.914356978090308"
"No","2007","Berlin","no migration background","638","0.964964989079194","0.950937400166733","0.978992577991656"
"No","2007","Berlin","direct migration background","56","0.981261804117718","0.946364616479654","1.01615899175578"
"No","2007","Berlin","indirect migration background","29","","",""
"No","2007","Brandenburg","no migration background","782","0.927541385815408","0.90995743285384","0.945125338776976"
"No","2007","Brandenburg","direct migration background","14","","",""
"No","2007","Brandenburg","indirect migration background","9","","",""
"No","2007","Mecklenburg-Western Pomerania","no migration background","470","0.954709792038339","0.936428463961971","0.972991120114708"
"No","2007","Mecklenburg-Western Pomerania","direct migration background","8","","",""
"No","2007","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"No","2007","Saxony","no migration background","1361","0.92325993050207","0.909615748855532","0.936904112148609"
"No","2007","Saxony","direct migration background","28","","",""
"No","2007","Saxony","indirect migration background","6","","",""
"No","2007","Saxony-Anhalt","no migration background","797","0.942799678003141","0.927123389293895","0.958475966712386"
"No","2007","Saxony-Anhalt","direct migration background","19","","",""
"No","2007","Saxony-Anhalt","indirect migration background","8","","",""
"No","2007","Thuringia","no migration background","837","0.93311092579747","0.916651272409151","0.949570579185788"
"No","2007","Thuringia","direct migration background","17","","",""
"No","2007","Thuringia","indirect migration background","6","","",""
"Yes","2008","Schleswig-Holstein","no migration background","25","","",""
"Yes","2008","Schleswig-Holstein","direct migration background","1","","",""
"Yes","2008","Schleswig-Holstein","indirect migration background","","","",""
"Yes","2008","Hamburg","no migration background","9","","",""
"Yes","2008","Hamburg","direct migration background","","","",""
"Yes","2008","Hamburg","indirect migration background","1","","",""
"Yes","2008","Lower Saxony","no migration background","74","0.0426890093800002","0.0326380586351142","0.0527399601248861"
"Yes","2008","Lower Saxony","direct migration background","7","","",""
"Yes","2008","Lower Saxony","indirect migration background","1","","",""
"Yes","2008","Bremen","no migration background","2","","",""
"Yes","2008","Bremen","direct migration background","","","",""
"Yes","2008","Bremen","indirect migration background","","","",""
"Yes","2008","North Rhine-Westphalia","no migration background","131","0.0423575912519335","0.035389231796286","0.049325950707581"
"Yes","2008","North Rhine-Westphalia","direct migration background","26","","",""
"Yes","2008","North Rhine-Westphalia","indirect migration background","13","","",""
"Yes","2008","Hesse","no migration background","54","0.047601711733563","0.0348379165524608","0.0603655069146653"
"Yes","2008","Hesse","direct migration background","7","","",""
"Yes","2008","Hesse","indirect migration background","4","","",""
"Yes","2008","Rhineland-Palatinate,Saarland","no migration background","60","0.0731717181693222","0.0562331603050452","0.0901102760335993"
"Yes","2008","Rhineland-Palatinate,Saarland","direct migration background","13","","",""
"Yes","2008","Rhineland-Palatinate,Saarland","indirect migration background","4","","",""
"Yes","2008","Baden-Württemberg","no migration background","100","0.0414929372770881","0.0321679776819225","0.0508178968722537"
"Yes","2008","Baden-Württemberg","direct migration background","30","0.0321762443305691","0.0156687314290702","0.0486837572320681"
"Yes","2008","Baden-Württemberg","indirect migration background","16","","",""
"Yes","2008","Bavaria","no migration background","95","0.0370253664134916","0.0293812658211151","0.0446694670058681"
"Yes","2008","Bavaria","direct migration background","13","","",""
"Yes","2008","Bavaria","indirect migration background","6","","",""
"Yes","2008","Berlin","no migration background","33","0.0413085388390963","0.0259507893216391","0.0566662883565534"
"Yes","2008","Berlin","direct migration background","1","","",""
"Yes","2008","Berlin","indirect migration background","2","","",""
"Yes","2008","Brandenburg","no migration background","39","0.0645033556701857","0.0475129953307211","0.0814937160096503"
"Yes","2008","Brandenburg","direct migration background","","","",""
"Yes","2008","Brandenburg","indirect migration background","2","","",""
"Yes","2008","Mecklenburg-Western Pomerania","no migration background","25","","",""
"Yes","2008","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","2008","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","2008","Saxony","no migration background","73","0.0443547230557207","0.0335663109269778","0.0551431351844637"
