"ple0160","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","2005","Not Working","vocational + Abi","271","0.97813412556046","0.961004348695289","0.99526390242563"
"No","2005","Not Working","higher vocational","444","0.982879941026845","0.970960791808718","0.994799090244972"
"No","2005","Not Working","higher education","966","0.964710428907688","0.953251603600802","0.976169254214574"
"Yes","2006","Full Time","in school","1","","",""
"Yes","2006","Full Time","inadequately","","","",""
"Yes","2006","Full Time","general elemantary","27","","",""
"Yes","2006","Full Time","middle vocational","211","0.0580450051813411","0.0507576094996589","0.0653324008630234"
"Yes","2006","Full Time","vocational + Abi","41","0.0865032811949838","0.0632210893234738","0.109785473066494"
"Yes","2006","Full Time","higher vocational","52","0.057459429064402","0.0412723488229522","0.0736465093058518"
"Yes","2006","Full Time","higher education","137","0.0622848497181908","0.0526680766123372","0.0719016228240445"
"Yes","2006","Part Time","in school","4","","",""
"Yes","2006","Part Time","inadequately","3","","",""
"Yes","2006","Part Time","general elemantary","45","0.0869545920138915","0.0624280365033118","0.111481147524471"
"Yes","2006","Part Time","middle vocational","158","0.0567243696849667","0.0478755043934236","0.0655732349765099"
"Yes","2006","Part Time","vocational + Abi","27","","",""
"Yes","2006","Part Time","higher vocational","24","","",""
"Yes","2006","Part Time","higher education","63","0.0637443609500216","0.048425766516367","0.0790629553836762"
"Yes","2006","Not Working","in school","19","","",""
"Yes","2006","Not Working","inadequately","","","",""
"Yes","2006","Not Working","general elemantary","38","0.0175231213028393","0.0108156885592799","0.0242305540463988"
"Yes","2006","Not Working","middle vocational","123","0.0232461834183415","0.0188293182229459","0.0276630486137371"
"Yes","2006","Not Working","vocational + Abi","10","","",""
"Yes","2006","Not Working","higher vocational","8","","",""
"Yes","2006","Not Working","higher education","29","","",""
"No","2006","Full Time","in school","3","","",""
"No","2006","Full Time","inadequately","55","1","1","1"
"No","2006","Full Time","general elemantary","483","0.94801568303747","0.928749000788271","0.967282365286668"
"No","2006","Full Time","middle vocational","3744","0.941954994818659","0.934667599136977","0.949242390500341"
"No","2006","Full Time","vocational + Abi","519","0.913496718805016","0.890214526933506","0.936778910676526"
"No","2006","Full Time","higher vocational","742","0.942540570935598","0.926353490694148","0.958727651177048"
"No","2006","Full Time","higher education","2289","0.937715150281809","0.928098377175956","0.947331923387663"
"No","2006","Part Time","in school","60","0.950607087146883","0.897519749328217","1.00369442496555"
"No","2006","Part Time","inadequately","33","0.897676241747675","0.798674018447693","0.996678465047657"
"No","2006","Part Time","general elemantary","462","0.913045407986109","0.888518852475529","0.937571963496688"
"No","2006","Part Time","middle vocational","2467","0.943275630315033","0.93442676502349","0.952124495606576"
"No","2006","Part Time","vocational + Abi","330","0.930011863068299","0.903546951717766","0.956476774418831"
"No","2006","Part Time","higher vocational","310","0.950912271537724","0.927741977166396","0.974082565909052"
"No","2006","Part Time","higher education","914","0.936255639049978","0.920937044616324","0.951574233483633"
"No","2006","Not Working","in school","305","0.953223021719787","0.93023037698077","0.976215666458804"
"No","2006","Not Working","inadequately","149","1","1","1"
"No","2006","Not Working","general elemantary","1432","0.982476878697161","0.975769445953601","0.98918431144072"
"No","2006","Not Working","middle vocational","4348","0.976753816581658","0.972336951386263","0.981170681777054"
"No","2006","Not Working","vocational + Abi","289","0.972551472489752","0.954032012433815","0.991070932545689"
