"ple0160","year","bula_h","n","percent","lower_confidence","upper_confidence"
"No","2005","Hesse","1283","0.945831005136708","0.933792283634611","0.957869726638805"
"No","2005","Rhineland-Palatinate,Saarland","1160","0.941022712524984","0.927851838388465","0.954193586661502"
"No","2005","Baden-Württemberg","2383","0.934488650822996","0.924816774335666","0.944160527310325"
"No","2005","Bavaria","2764","0.95719325949213","0.949805608694702","0.964580910289558"
"No","2005","Berlin","710","0.948474715837793","0.932685023067451","0.964264408608135"
"No","2005","Brandenburg","825","0.94732492412481","0.932540637926933","0.962109210322687"
"No","2005","Mecklenburg-Western Pomerania","474","0.959656268290873","0.942392177792337","0.976920358789409"
"No","2005","Saxony","1371","0.916324857789826","0.902353891821278","0.930295823758374"
"No","2005","Saxony-Anhalt","833","0.939228865165082","0.923559307016177","0.954898423313988"
"No","2005","Thuringia","826","0.940798297230973","0.925258455529254","0.956338138932692"
"Yes","2006","Schleswig-Holstein","26","","",""
"Yes","2006","Hamburg","16","","",""
"Yes","2006","Lower Saxony","66","0.0308192033617718","0.0231620775538951","0.0384763291696485"
"Yes","2006","Bremen","4","","",""
"Yes","2006","North Rhine-Westphalia","229","0.0466675100502587","0.0405191350299069","0.0528158850706105"
"Yes","2006","Hesse","70","0.040167784174988","0.0301540872691704","0.0501814810808056"
"Yes","2006","Rhineland-Palatinate,Saarland","76","0.060256953745586","0.0472663367397305","0.0732475707514416"
"Yes","2006","Baden-Württemberg","111","0.0465022454912259","0.0385830692592726","0.0544214217231792"
"Yes","2006","Bavaria","141","0.0474939922359325","0.0400474990710083","0.0549404854008567"
"Yes","2006","Berlin","25","","",""
"Yes","2006","Brandenburg","41","0.0402639025259493","0.027697296143665","0.0528305089082336"
"Yes","2006","Mecklenburg-Western Pomerania","29","","",""
"Yes","2006","Saxony","107","0.0701862121118609","0.0575819192697584","0.0827905049539633"
"Yes","2006","Saxony-Anhalt","53","0.0516877417235465","0.037318953859404","0.066056529587689"
"Yes","2006","Thuringia","49","0.0531498842865568","0.0388318293433537","0.0674679392297599"
"No","2006","Schleswig-Holstein","646","0.962413431196089","0.948033373352497","0.976793489039681"
"No","2006","Hamburg","291","0.972679691350108","0.95444465521916","0.990914727481056"
"No","2006","Lower Saxony","1891","0.969180796638228","0.961523670830351","0.976837922446105"
"No","2006","Bremen","141","0.987068771335038","0.968679789167652","1.00545775350243"
"No","2006","North Rhine-Westphalia","4292","0.953332489949741","0.947184114929389","0.959480864970093"
"No","2006","Hesse","1407","0.959832215825012","0.949818518919194","0.96984591273083"
"No","2006","Rhineland-Palatinate,Saarland","1213","0.939743046254414","0.926752429248558","0.95273366326027"
"No","2006","Baden-Württemberg","2605","0.953497754508774","0.945578578276821","0.961416930740727"
"No","2006","Bavaria","2993","0.952506007764068","0.945059514599143","0.959952500928992"
"No","2006","Berlin","756","0.955813519143872","0.941400536429965","0.970226501857779"
"No","2006","Brandenburg","899","0.959736097474051","0.947169491091767","0.972302703856335"
"No","2006","Mecklenburg-Western Pomerania","517","0.960270077067107","0.943886552790559","0.976653601343655"
"No","2006","Saxony","1471","0.929813787888139","0.917209495046037","0.942418080730242"
"No","2006","Saxony-Anhalt","859","0.948312258276453","0.933943470412311","0.962681046140596"
"No","2006","Thuringia","894","0.946850115713443","0.93253206077024","0.961168170656646"
"Yes","2007","Schleswig-Holstein","30","0.0409879405062298","0.0252673965704809","0.0567084844419788"
"Yes","2007","Hamburg","15","","",""
"Yes","2007","Lower Saxony","91","0.047997351929139","0.0381496131376146","0.0578450907206634"
"Yes","2007","Bremen","9","","",""
"Yes","2007","North Rhine-Westphalia","209","0.0526783382098467","0.0458972887718565","0.0594593876478369"
"Yes","2007","Hesse","103","0.0694244236465018","0.0560189174356638","0.0828299298573398"
"Yes","2007","Rhineland-Palatinate,Saarland","73","0.0549919862258482","0.0419407474918748","0.0680432249598216"
"Yes","2007","Baden-Württemberg","107","0.0450949609680609","0.0369262425120444","0.0532636794240773"
"Yes","2007","Bavaria","141","0.0450726176504977","0.0375899245797141","0.0525553107212813"
"Yes","2007","Berlin","25","","",""
"Yes","2007","Brandenburg","54","0.0706815996490628","0.0535425411112612","0.0878206581868644"
"Yes","2007","Mecklenburg-Western Pomerania","27","","",""
"Yes","2007","Saxony","104","0.0783709884033664","0.0647658487123247","0.0919761280944081"
"Yes","2007","Saxony-Anhalt","46","0.0553006679280102","0.0401126725166238","0.0704886633393966"
"Yes","2007","Thuringia","49","0.0656946629112847","0.049589111127836","0.0818002146947335"
"No","2007","Schleswig-Holstein","581","0.95901205949377","0.943291515558021","0.974732603429519"
"No","2007","Hamburg","280","0.942210962273056","0.915583247832738","0.968838676713374"
"No","2007","Lower Saxony","1719","0.952002648070861","0.942154909279337","0.961850386862385"
"No","2007","Bremen","138","0.952999988383285","0.918787484953409","0.987212491813162"
"No","2007","North Rhine-Westphalia","3960","0.947321661790153","0.940540612352163","0.954102711228143"
"No","2007","Hesse","1278","0.930575576353498","0.91717007014266","0.943981082564336"
"No","2007","Rhineland-Palatinate,Saarland","1099","0.945008013774152","0.931956775040178","0.958059252508125"
"No","2007","Baden-Württemberg","2372","0.954905039031939","0.946736320575923","0.963073757487955"
"No","2007","Bavaria","2812","0.954927382349502","0.947444689278719","0.962410075420286"
"No","2007","Berlin","723","0.966232185633384","0.953287559314059","0.97917681195271"
"No","2007","Brandenburg","805","0.929318400350937","0.912179341813136","0.946457458888739"
"No","2007","Mecklenburg-Western Pomerania","479","0.955604959200994","0.937658480007854","0.973551438394133"
"No","2007","Saxony","1395","0.921629011596634","0.908023871905592","0.935234151287675"
"No","2007","Saxony-Anhalt","824","0.94469933207199","0.929511336660603","0.959887327483376"
"No","2007","Thuringia","860","0.934305337088715","0.918199785305267","0.950410888872164"
"Yes","2008","Schleswig-Holstein","26","","",""
"Yes","2008","Hamburg","10","","",""
"Yes","2008","Lower Saxony","82","0.0434528069075873","0.0339036036694582","0.0530020101457163"
"Yes","2008","Bremen","2","","",""
"Yes","2008","North Rhine-Westphalia","170","0.0435066319037523","0.0371353187945806","0.0498779450129241"
"Yes","2008","Hesse","65","0.0473219878193882","0.0358634222603163","0.05878055337846"
"Yes","2008","Rhineland-Palatinate,Saarland","77","0.0797344609348612","0.0637193904011526","0.0957495314685699"
"Yes","2008","Baden-Württemberg","146","0.0399213204111146","0.0320460840889758","0.0477965567332534"
"Yes","2008","Bavaria","114","0.0374323851926047","0.0303571660358437","0.0445076043493656"
"Yes","2008","Berlin","36","0.0391876700261264","0.025024043591218","0.0533512964610347"
"Yes","2008","Brandenburg","41","0.0636781639308084","0.0470463060681999","0.080310021793417"
"Yes","2008","Mecklenburg-Western Pomerania","25","","",""
"Yes","2008","Saxony","79","0.0492668660907102","0.0380613521733236","0.0604723800080967"
"Yes","2008","Saxony-Anhalt","48","0.0785045261244184","0.0600728262298101","0.0969362260190267"
"Yes","2008","Thuringia","57","0.0596128647820421","0.0439516960310721","0.0752740335330122"
"No","2008","Schleswig-Holstein","531","0.931237414402004","0.910222539895444","0.952252288908564"
"No","2008","Hamburg","271","0.952220656419973","0.927281381675256","0.977159931164691"
"No","2008","Lower Saxony","1669","0.956547193092413","0.946997989854284","0.966096396330542"
"No","2008","Bremen","136","0.99132016069008","0.975843710307764","1.0067966110724"
"No","2008","North Rhine-Westphalia","3768","0.956493368096248","0.950122054987076","0.962864681205419"
"No","2008","Hesse","1254","0.952678012180612","0.94121944662154","0.964136577739684"
"No","2008","Rhineland-Palatinate,Saarland","1022","0.920265539065139","0.90425046853143","0.936280609598847"
"No","2008","Baden-Württemberg","2228","0.960078679588885","0.952203443266747","0.967953915911024"
"No","2008","Bavaria","2651","0.962567614807395","0.955492395650634","0.969642833964156"
"No","2008","Berlin","685","0.960812329973874","0.946648703538965","0.974975956408782"
"No","2008","Brandenburg","787","0.936321836069192","0.919689978206583","0.9529536939318"
"No","2008","Mecklenburg-Western Pomerania","468","0.957280405683828","0.939429601908112","0.975131209459543"
"No","2008","Saxony","1354","0.95073313390929","0.939527619991903","0.961938647826676"
"No","2008","Saxony-Anhalt","770","0.921495473875582","0.903063773980973","0.93992717377019"
"No","2008","Thuringia","821","0.940387135217958","0.924725966466988","0.956048303968928"
"Yes","2009","Schleswig-Holstein","23","","",""
"Yes","2009","Hamburg","8","","",""
"Yes","2009","Lower Saxony","73","0.0475371870639235","0.0372576411760263","0.0578167329518206"
