"year","pgisced97","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2008","general elemantary","Male","2.74","3","632","2","2","3","4","4","2.67","2.81","1","4","3","3"
"2008","higher education","Female","2.37","2","1905","1","2","3","3","4","2.34","2.4","1","4","2","2"
"2008","higher education","Male","2.45","2","2293","1","2","3","3","4","2.42","2.48","1","4","2","3"
"2008","higher vocational","Female","2.62","3","587","2","2","3","4","4","2.56","2.68","1","4","3","3"
"2008","higher vocational","Male","2.67","3","833","2","2","3","4","4","2.62","2.72","1","4","3","3"
"2008","in school","Female","2.28","2","182","1","2","3","3","4","2.16","2.4","1","4","2","2"
"2008","in school","Male","2.32","2","170","1","2","3","3","4","2.19","2.45","1","4","2","3"
"2008","inadequately","Female","3.01","3","111","2","2","4","4","4","2.84","3.18","1","4","3","4"
"2008","inadequately","Male","2.88","3","73","2","2","4","4","4","2.7","3.06","1","4","3","3"
"2008","middle vocational","Female","2.71","3","5124","2","2","3","4","4","2.69","2.73","1","4","3","3"
"2008","middle vocational","Male","2.7","3","4612","2","2","3","4","4","2.68","2.72","1","4","3","3"
"2008","vocational + Abi","Female","2.51","3","656","2","2","3","3","4","2.45","2.57","1","4","2","3"
"2008","vocational + Abi","Male","2.54","3","440","2","2","3","3","4","2.47","2.61","1","4","2","3"
"2009","general elemantary","Female","","","","","","","","","","","","","",""
"2009","general elemantary","Male","","","","","","","","","","","","","",""
"2009","higher education","Female","","","","","","","","","","","","","",""
"2009","higher education","Male","","","","","","","","","","","","","",""
"2009","higher vocational","Female","","","","","","","","","","","","","",""
"2009","higher vocational","Male","","","","","","","","","","","","","",""
"2009","in school","Female","","","","","","","","","","","","","",""
"2009","in school","Male","","","","","","","","","","","","","",""
"2009","inadequately","Female","","","","","","","","","","","","","",""
"2009","inadequately","Male","","","","","","","","","","","","","",""
"2009","middle vocational","Female","","","","","","","","","","","","","",""
"2009","middle vocational","Male","","","","","","","","","","","","","",""
"2009","vocational + Abi","Female","","","","","","","","","","","","","",""
"2009","vocational + Abi","Male","","","","","","","","","","","","","",""
"2010","general elemantary","Female","2.59","3","526","2","2","3","4","4","2.52","2.66","1","4","3","3"
"2010","general elemantary","Male","2.4","2","303","1","2","3","3","4","2.31","2.49","1","4","2","3"
"2010","higher education","Female","2.34","2","836","1","2","3","3","4","2.29","2.39","1","4","2","2"
"2010","higher education","Male","2.35","2","703","1","2","3","3","4","2.29","2.41","1","4","2","2"
"2010","higher vocational","Female","2.49","3","136","1","2","3","3","4","2.36","2.62","1","4","3","3"
"2010","higher vocational","Male","2.54","3","222","2","2","3","3","4","2.44","2.64","1","4","2","3"
"2010","in school","Female","2.02","2","72","1","1","3","3","4","1.84","2.2","1","4","2","2"
"2010","in school","Male","2.24","2","71","1","2","3","3","4","2.05","2.43","1","4","2","3"
"2010","inadequately","Female","2.6","3","128","1","2","3","4","4","2.44","2.76","1","4","3","3"
"2010","inadequately","Male","2.59","3","75","2","2","3","4","4","2.4","2.78","1","4","2","3"
"2010","middle vocational","Female","2.72","3","2087","2","2","3","4","4","2.69","2.75","1","4","3","3"
"2010","middle vocational","Male","2.61","3","1357","2","2","3","4","4","2.57","2.65","1","4","3","3"
"2010","vocational + Abi","Female","2.45","3","534","1","2","3","3","4","2.38","2.52","1","4","3","3"
"2010","vocational + Abi","Male","2.45","3","231","1","2","3","3","4","2.35","2.55","1","4","2","3"
"2011","general elemantary","Female","","","","","","","","","","","","","",""
"2011","general elemantary","Male","","","","","","","","","","","","","",""
"2011","higher education","Female","","","","","","","","","","","","","",""
"2011","higher education","Male","","","","","","","","","","","","","",""
"2011","higher vocational","Female","","","","","","","","","","","","","",""
"2011","higher vocational","Male","","","","","","","","","","","","","",""
"2011","in school","Female","","","","","","","","","","","","","",""
"2011","in school","Male","","","","","","","","","","","","","",""
"2011","inadequately","Female","","","","","","","","","","","","","",""
"2011","inadequately","Male","","","","","","","","","","","","","",""
"2011","middle vocational","Female","","","","","","","","","","","","","",""
"2011","middle vocational","Male","","","","","","","","","","","","","",""
"2011","vocational + Abi","Female","","","","","","","","","","","","","",""
"2011","vocational + Abi","Male","","","","","","","","","","","","","",""
"2012","general elemantary","Female","2.85","3","1918","2","2","4","4","4","2.81","2.89","1","4","3","3"
"2012","general elemantary","Male","2.54","3","978","1","2","3","4","4","2.48","2.6","1","4","2","3"
"2012","higher education","Female","2.32","2","2995","1","2","3","3","4","2.29","2.35","1","4","2","2"
"2012","higher education","Male","2.4","2","3153","1","2","3","3","4","2.37","2.43","1","4","2","2"
"2012","higher vocational","Female","2.51","3","688","2","2","3","3","4","2.45","2.57","1","4","3","3"
"2012","higher vocational","Male","2.64","3","1122","2","2","3","4","4","2.59","2.69","1","4","3","3"
"2012","in school","Female","2","2","248","1","1","3","3","4","1.9","2.1","1","4","2","2"
"2012","in school","Male","2.25","2","225","1","2","3","3","4","2.14","2.36","1","4","2","2"
"2012","inadequately","Female","2.77","3","227","1","2","4","4","4","2.65","2.89","1","4","3","3"
"2012","inadequately","Male","2.54","3","159","1","2","3","4","4","2.4","2.68","1","4","3","3"
"2012","middle vocational","Female","2.6","3","7521","1","2","3","4","4","2.58","2.62","1","4","3","3"
"2012","middle vocational","Male","2.61","3","6045","2","2","3","4","4","2.59","2.63","1","4","3","3"
"2012","vocational + Abi","Female","2.44","2","1297","1","2","3","3","4","2.4","2.48","1","4","2","3"
"2012","vocational + Abi","Male","2.52","3","670","2","2","3","3","4","2.46","2.58","1","4","3","3"
"2013","general elemantary","Female","","","","","","","","","","","","","",""
"2013","general elemantary","Male","","","","","","","","","","","","","",""
"2013","higher education","Female","","","","","","","","","","","","","",""
"2013","higher education","Male","","","","","","","","","","","","","",""
"2013","higher vocational","Female","","","","","","","","","","","","","",""
"2013","higher vocational","Male","","","","","","","","","","","","","",""
"2013","in school","Female","","","","","","","","","","","","","",""
"2013","in school","Male","","","","","","","","","","","","","",""
"2013","inadequately","Female","","","","","","","","","","","","","",""
"2013","inadequately","Male","","","","","","","","","","","","","",""
"2013","middle vocational","Female","","","","","","","","","","","","","",""
"2013","middle vocational","Male","","","","","","","","","","","","","",""
"2013","vocational + Abi","Female","","","","","","","","","","","","","",""
"2013","vocational + Abi","Male","","","","","","","","","","","","","",""
"2014","general elemantary","Female","","","","","","","","","","","","","",""
"2014","general elemantary","Male","","","","","","","","","","","","","",""
"2014","higher education","Female","","","","","","","","","","","","","",""
"2014","higher education","Male","","","","","","","","","","","","","",""
"2014","higher vocational","Female","","","","","","","","","","","","","",""
"2014","higher vocational","Male","","","","","","","","","","","","","",""
"2014","in school","Female","","","","","","","","","","","","","",""
"2014","in school","Male","","","","","","","","","","","","","",""
"2014","inadequately","Female","","","","","","","","","","","","","",""
"2014","inadequately","Male","","","","","","","","","","","","","",""
"2014","middle vocational","Female","","","","","","","","","","","","","",""
"2014","middle vocational","Male","","","","","","","","","","","","","",""
"2014","vocational + Abi","Female","","","","","","","","","","","","","",""
"2014","vocational + Abi","Male","","","","","","","","","","","","","",""
"2015","general elemantary","Female","","","","","","","","","","","","","",""
"2015","general elemantary","Male","","","","","","","","","","","","","",""
"2015","higher education","Female","","","","","","","","","","","","","",""
"2015","higher education","Male","","","","","","","","","","","","","",""
"2015","higher vocational","Female","","","","","","","","","","","","","",""
"2015","higher vocational","Male","","","","","","","","","","","","","",""
"2015","in school","Female","","","","","","","","","","","","","",""
"2015","in school","Male","","","","","","","","","","","","","",""
"2015","inadequately","Female","","","","","","","","","","","","","",""
"2015","inadequately","Male","","","","","","","","","","","","","",""
"2015","middle vocational","Female","","","","","","","","","","","","","",""
"2015","middle vocational","Male","","","","","","","","","","","","","",""
"2015","vocational + Abi","Female","","","","","","","","","","","","","",""
"2015","vocational + Abi","Male","","","","","","","","","","","","","",""
"2016","general elemantary","Female","2.78","3","1588","2","2","3","4","4","2.74","2.82","1","4","3","3"
"2016","general elemantary","Male","2.54","3","1007","1","2","3","4","4","2.48","2.6","1","4","2","3"
"2016","higher education","Female","2.28","2","2982","1","2","3","3","4","2.25","2.31","1","4","2","2"
"2016","higher education","Male","2.33","2","2938","1","2","3","3","4","2.3","2.36","1","4","2","2"
"2016","higher vocational","Female","2.56","3","550","2","2","3","3","4","2.5","2.62","1","4","3","3"
"2016","higher vocational","Male","2.62","3","860","2","2","3","4","4","2.57","2.67","1","4","3","3"
"2016","in school","Female","1.85","2","194","1","1","2","3","4","1.73","1.97","1","4","2","2"
"2016","in school","Male","2.04","2","146","1","1","2","3","4","1.91","2.17","1","4","2","2"
"2016","inadequately","Female","2.74","3","238","1","2","4","4","4","2.62","2.86","1","4","2","3"
"2016","inadequately","Male","2.65","3","175","1","2","3","4","4","2.51","2.79","1","4","3","3"
"2016","middle vocational","Female","2.59","3","6084","1","2","3","4","4","2.57","2.61","1","4","3","3"
"2016","middle vocational","Male","2.56","3","4964","1","2","3","4","4","2.54","2.58","1","4","3","3"
"2016","vocational + Abi","Female","2.39","2","1274","1","2","3","3","4","2.35","2.43","1","4","2","2"
"2016","vocational + Abi","Male","2.45","2","759","1","2","3","3","4","2.39","2.51","1","4","2","3"
