"year","hgtyp1hh","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2007","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"2007","Couple + C. GT 16 ","West Germany","","","","","","","","","","","","","",""
"2007","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"2007","Couple + C. LE 16","West Germany","","","","","","","","","","","","","",""
"2007","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"2007","Couple + C. LE and GT 16","West Germany","","","","","","","","","","","","","",""
"2007","Single parent","East Germany","","","","","","","","","","","","","",""
"2007","Single parent","West Germany","","","","","","","","","","","","","",""
"2008","(Married) couple without C.","East Germany","2.72","3","1857","2","2","3","4","4","2.68","2.76","1","4","3","3"
"2008","(Married) couple without C.","West Germany","2.59","3","5203","1","2","3","4","4","2.57","2.61","1","4","3","3"
"2008","1-pers.-HH","East Germany","2.75","3","764","2","2","3","4","4","2.69","2.81","1","4","3","3"
"2008","1-pers.-HH","West Germany","2.71","3","2268","2","2","3","4","4","2.67","2.75","1","4","3","3"
"2008","Couple + C. GT 16 ","East Germany","2.65","3","927","2","2","3","4","4","2.6","2.7","1","4","3","3"
"2008","Couple + C. GT 16 ","West Germany","2.62","3","2428","2","2","3","4","4","2.59","2.65","1","4","3","3"
"2008","Couple + C. LE 16","East Germany","2.64","3","616","2","2","3","3","4","2.58","2.7","1","4","3","3"
"2008","Couple + C. LE 16","West Germany","2.71","3","2589","2","2","3","4","4","2.68","2.74","1","4","3","3"
"2008","Couple + C. LE and GT 16","East Germany","2.68","3","240","2","2","3","3","4","2.59","2.77","1","4","3","3"
"2008","Couple + C. LE and GT 16","West Germany","2.6","3","974","2","2","3","4","4","2.55","2.65","1","4","3","3"
"2008","Single parent","East Germany","2.72","3","281","2","2","3","4","4","2.62","2.82","1","4","3","3"
"2008","Single parent","West Germany","2.68","3","804","2","2","3","4","4","2.62","2.74","1","4","3","3"
"2009","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"2009","(Married) couple without C.","West Germany","","","","","","","","","","","","","",""
"2009","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"2009","1-pers.-HH","West Germany","","","","","","","","","","","","","",""
"2009","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"2009","Couple + C. GT 16 ","West Germany","","","","","","","","","","","","","",""
"2009","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
