"year","pgcasmin","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1995","(3b) higher tertiary education","West Germany","3.27","3","162","1","2","4","6","8","3","3.54","1","9","3","4"
"1996","(0) in school","East Germany","","","","","","","","","","","","","",""
"1996","(0) in school","West Germany","","","","","","","","","","","","","",""
"1996","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"1996","(1a) inadequately completed","West Germany","2.9","3","52","2","2","4","4","6","2.58","3.22","1","6","3","4"
"1996","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"1996","(1b) general elementary school","West Germany","3.18","3","158","2","2","4","5","8","2.95","3.41","1","9","3","3"
"1996","(1c) basic vocational qualification","East Germany","2.69","2","86","1","2","3","4","7","2.41","2.97","1","7","2","3"
"1996","(1c) basic vocational qualification","West Germany","3.53","3","346","2","2","4","6","8","3.36","3.7","1","11","3","3"
"1996","(2a) intermediate vocational","East Germany","3.21","3","174","1","2","4","5","9","3","3.42","1","9","3","3"
"1996","(2a) intermediate vocational","West Germany","3.55","3","197","2","3","4","6","8","3.33","3.77","1","8","3","4"
"1996","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"1996","(2b) intermediate general qualification","West Germany","3.06","3","42","1","2","3","5","9","2.49","3.63","1","9","2","3"
"1996","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"1996","(2c_gen) general maturity certificate","West Germany","2.86","2","67","1","2","4","5","7","2.54","3.18","1","7","2","3"
"1996","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"1996","(2c_voc) vocational maturity certificate","West Germany","3.71","3","81","2","2","5","6","8","3.32","4.1","1","8","3","4"
"1996","(3a) lower tertiary education","East Germany","3.25","3","47","1","2","4","6","9","2.79","3.71","1","9","3","4"
"1996","(3a) lower tertiary education","West Germany","3.9","3","52","2","3","5","7","11","3.4","4.4","1","11","3","4"
"1996","(3b) higher tertiary education","East Germany","3.71","4","49","2","3","4","6","8","3.24","4.18","1","8","3","4"
"1996","(3b) higher tertiary education","West Germany","3.61","3.24","85","2","2","4","6","7","3.29","3.93","1","7","3","4"
"1997","(0) in school","East Germany","","","","","","","","","","","","","",""
"1997","(0) in school","West Germany","","","","","","","","","","","","","",""
