"ple0008","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Good","2014","16-34 y.","3245","0.487614598243889","0.475535406370499","0.49969379011728"
"Good","2014","35-65 y.","6438","0.39000468727293","0.382351747730704","0.397657626815156"
"Good","2014","66 and older","1253","0.228253604279643","0.216625948219644","0.239881260339641"
"Satisfactory","2014","16-34 y.","1376","0.19820028535892","0.188566737864641","0.2078338328532"
"Satisfactory","2014","35-65 y.","5199","0.34481453154471","0.337356829494094","0.352272233595326"
"Satisfactory","2014","66 and older","2089","0.427037056648009","0.413333222339313","0.440740890956705"
"Less good","2014","16-34 y.","497","0.0739350245537836","0.0676116778170269","0.0802583712905403"
"Less good","2014","35-65 y.","2192","0.154533282863516","0.14886189442629","0.160204671300741"
"Less good","2014","66 and older","1168","0.240396368049305","0.22855768162478","0.252235054473831"
"Poor","2014","16-34 y.","73","0.0103980325347652","0.00794667297370857","0.0128493920958218"
"Poor","2014","35-65 y.","531","0.0368845879649988","0.0339273126735961","0.0398418632564016"
"Poor","2014","66 and older","348","0.0743930315072603","0.0671231809034013","0.0816628821111192"
"Very good","2015","16-34 y.","1575","0.229875554712808","0.219815732532348","0.239935376893269"
"Very good","2015","35-65 y.","1328","0.0786883654522504","0.0744147032755807","0.0829620276289201"
"Very good","2015","66 and older","123","0.0261128046906554","0.021672107313982","0.0305535020673288"
"Good","2015","16-34 y.","3254","0.48725447816615","0.475303806570809","0.499205149761492"
"Good","2015","35-65 y.","6293","0.38435745192127","0.376636450797384","0.392078453045156"
"Good","2015","66 and older","1262","0.248008297601886","0.235982615481453","0.260033979722319"
"Satisfactory","2015","16-34 y.","1347","0.201578174330045","0.191986345755876","0.211170002904213"
"Satisfactory","2015","35-65 y.","5003","0.348723609452166","0.341159374806429","0.356287844097903"
"Satisfactory","2015","66 and older","2095","0.407724128019123","0.394040057090686","0.421408198947559"
"Less good","2015","16-34 y.","481","0.070931359794048","0.0647936479113571","0.077069071676739"
"Less good","2015","35-65 y.","2114","0.148552161530049","0.142907210734292","0.154197112325806"
"Less good","2015","66 and older","1142","0.241761524608349","0.229839044903178","0.253684004313521"
"Poor","2015","16-34 y.","63","0.0103604329969487","0.00793945449487029","0.0127814114990271"
"Poor","2015","35-65 y.","510","0.0396784116442645","0.0365800854781442","0.0427767378103849"
"Poor","2015","66 and older","332","0.0763932450799867","0.0689964920297523","0.083789998130221"
"Very good","2016","16-34 y.","2512","0.226491360549884","0.217452876376326","0.235529844723442"
"Very good","2016","35-65 y.","1606","0.0688102148145545","0.0648651054106872","0.0727553242184218"
"Very good","2016","66 and older","126","0.0247598978843266","0.0203652711037706","0.0291545246648826"
"Good","2016","16-34 y.","3550","0.49407296429512","0.483276620985866","0.504869307604375"
"Good","2016","35-65 y.","6328","0.389593959356741","0.381993689520045","0.397194229193438"
"Good","2016","66 and older","1240","0.247841375503793","0.235630876208835","0.260051874798751"
"Satisfactory","2016","16-34 y.","1424","0.189966146231409","0.181495298242531","0.198436994220287"
"Satisfactory","2016","35-65 y.","5015","0.34847862572478","0.341052438407677","0.355904813041884"
"Satisfactory","2016","66 and older","2053","0.415712549028146","0.401774511020653","0.429650587035639"
"Less good","2016","16-34 y.","613","0.0771405704037055","0.0713789267144373","0.0829022140929737"
"Less good","2016","35-65 y.","2270","0.156028320363645","0.150372714365504","0.161683926361786"
"Less good","2016","66 and older","1060","0.234358402919971","0.222378733803214","0.246338072036727"
"Poor","2016","16-34 y.","139","0.0123289585198811","0.0099460544822724","0.0147118625574898"
"Poor","2016","35-65 y.","596","0.0370888797402786","0.0341435871019231","0.0400341723786342"
"Poor","2016","66 and older","324","0.0773277746637639","0.0697736651332924","0.0848818841942354"
"Very good","2017","16-34 y.","2959","0.229474903563127","0.221010333295009","0.237939473831245"
"Very good","2017","35-65 y.","1856","0.075500114144676","0.0716057711829478","0.0793944571064042"
"Very good","2017","66 and older","146","0.0288587865042494","0.024253838460284","0.0334637345482148"
"Good","2017","16-34 y.","4082","0.476437439826603","0.466383618684754","0.486491260968452"
"Good","2017","35-65 y.","7097","0.38849194155832","0.381307400015804","0.395676483100837"
"Good","2017","66 and older","1356","0.248206883194424","0.236324581024372","0.260089185364476"
"Satisfactory","2017","16-34 y.","1661","0.204493441760841","0.196374386511167","0.212612497010515"
"Satisfactory","2017","35-65 y.","5617","0.346186465293964","0.339173705614903","0.353199224973025"
"Satisfactory","2017","66 and older","2201","0.425237802361957","0.411638878564977","0.438836726158937"
"Less good","2017","16-34 y.","669","0.0805711117142459","0.0750922205567664","0.0860500028717254"
"Less good","2017","35-65 y.","2487","0.152084642735434","0.146791350246873","0.157377935223995"
"Less good","2017","66 and older","1057","0.232620977852539","0.220999164156674","0.244242791548404"
"Poor","2017","16-34 y.","109","0.00902310313518243","0.00711959977449733","0.0109266064958675"
"Poor","2017","35-65 y.","623","0.0377368362676049","0.0349279339598222","0.0405457385753876"
"Poor","2017","66 and older","317","0.0650755500868306","0.0582906775692879","0.0718604226043732"
"Very good","2018","16-34 y.","2689","0.244299762735046","0.235094257931299","0.253505267538792"
"Very good","2018","35-65 y.","1804","0.0792651378042019","0.0751582309295913","0.0833720446788125"
"Very good","2018","66 and older","152","0.0289419170070665","0.024337787791613","0.03354604622252"
"Good","2018","16-34 y.","3491","0.466549737715759","0.455861471843798","0.477238003587719"
"Good","2018","35-65 y.","6661","0.394437242645188","0.387007479175029","0.401867006115346"
"Good","2018","66 and older","1384","0.254251267079457","0.242292426458028","0.266210107700887"
"Satisfactory","2018","16-34 y.","1540","0.199420761238907","0.190860270659304","0.207981251818511"
"Satisfactory","2018","35-65 y.","5317","0.343129986601566","0.335912674154112","0.35034729904902"
"Satisfactory","2018","66 and older","2180","0.437118450096999","0.423495557626219","0.450741342567778"
"Less good","2018","16-34 y.","548","0.0771724276319661","0.0714549737636945","0.0828898815002377"
"Less good","2018","35-65 y.","2245","0.145485827531623","0.140125683849297","0.150845971213949"
"Less good","2018","66 and older","1074","0.218860184513581","0.207504612368058","0.230215756659103"
"Poor","2018","16-34 y.","101","0.0125573106783219","0.0101716120762216","0.0149430092804222"
"Poor","2018","35-65 y.","595","0.0376818054174216","0.0347869181781893","0.0405766926566539"
"Poor","2018","66 and older","303","0.0608281813028967","0.0542639149462191","0.0673924476595743"
"Very good","2019","16-34 y.","2143","0.222097000858845","0.21259319432036","0.23160080739733"
"Very good","2019","35-65 y.","2025","0.0840827093517958","0.0799205013549324","0.0882449173486591"
"Very good","2019","66 and older","221","0.030000559975442","0.0253992493556574","0.0346018705952265"
"Good","2019","16-34 y.","3316","0.499848915090058","0.488416618004954","0.511281212175161"
"Good","2019","35-65 y.","7115","0.400541690067193","0.393192395456449","0.407890984677937"
"Good","2019","66 and older","1506","0.258617555608524","0.246806702180306","0.270428409036743"
"Satisfactory","2019","16-34 y.","1316","0.195896383348374","0.1868216737918","0.204971092904947"
"Satisfactory","2019","35-65 y.","5178","0.329925024721212","0.322873035655056","0.336977013787368"
"Satisfactory","2019","66 and older","2214","0.433584437027429","0.4202173873755","0.446951486679359"
"Less good","2019","16-34 y.","475","0.067135603329648","0.0614135852667572","0.0728576213925389"
"Less good","2019","35-65 y.","2242","0.152219403862366","0.146831509820165","0.157607297904567"
"Less good","2019","66 and older","1038","0.218109498250424","0.206970621776277","0.229248374724571"
"Poor","2019","16-34 y.","98","0.0150220973730758","0.0122408344433046","0.0178033603028471"
"Poor","2019","35-65 y.","517","0.0332311719974332","0.0305428799312622","0.0359194640636042"
"Poor","2019","66 and older","301","0.0596879491381805","0.0532978078715601","0.0660780904048009"
