"pli0083","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Never","1998","Full Time","East Germany","10","","",""
"Never","1998","Part Time","West Germany","21","","",""
"Never","1998","Part Time","East Germany","3","","",""
"Never","1998","Not Working","West Germany","47","0.0132402035995425","0.00968913051935883","0.0167912766797262"
"Never","1998","Not Working","East Germany","8","","",""
"Daily","1999","Full Time","West Germany","","","",""
"Daily","1999","Full Time","East Germany","","","",""
"Daily","1999","Part Time","West Germany","","","",""
"Daily","1999","Part Time","East Germany","","","",""
"Daily","1999","Not Working","West Germany","","","",""
"Daily","1999","Not Working","East Germany","","","",""
"Min 1x per week","1999","Full Time","West Germany","","","",""
"Min 1x per week","1999","Full Time","East Germany","","","",""
"Min 1x per week","1999","Part Time","West Germany","","","",""
"Min 1x per week","1999","Part Time","East Germany","","","",""
"Min 1x per week","1999","Not Working","West Germany","","","",""
"Min 1x per week","1999","Not Working","East Germany","","","",""
"Min 1x per month","1999","Full Time","West Germany","","","",""
"Min 1x per month","1999","Full Time","East Germany","","","",""
"Min 1x per month","1999","Part Time","West Germany","","","",""
"Min 1x per month","1999","Part Time","East Germany","","","",""
"Min 1x per month","1999","Not Working","West Germany","","","",""
"Min 1x per month","1999","Not Working","East Germany","","","",""
"Rarely","1999","Full Time","West Germany","","","",""
"Rarely","1999","Full Time","East Germany","","","",""
"Rarely","1999","Part Time","West Germany","","","",""
"Rarely","1999","Part Time","East Germany","","","",""
"Rarely","1999","Not Working","West Germany","","","",""
"Rarely","1999","Not Working","East Germany","","","",""
"Never","1999","Full Time","West Germany","","","",""
"Never","1999","Full Time","East Germany","","","",""
"Never","1999","Part Time","West Germany","","","",""
"Never","1999","Part Time","East Germany","","","",""
"Never","1999","Not Working","West Germany","","","",""
"Never","1999","Not Working","East Germany","","","",""
"Daily","2000","Full Time","West Germany","","","",""
"Daily","2000","Full Time","East Germany","","","",""
"Daily","2000","Part Time","West Germany","","","",""
"Daily","2000","Part Time","East Germany","","","",""
"Daily","2000","Not Working","West Germany","","","",""
"Daily","2000","Not Working","East Germany","","","",""
"Min 1x per week","2000","Full Time","West Germany","","","",""
"Min 1x per week","2000","Full Time","East Germany","","","",""
