"plb0037_h","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Permanent","1992","Single parent ","middle vocational","43","0.770583919852101","0.661431702689508","0.879736137014694"
"Permanent","1992","Single parent ","vocational + Abi","3","","",""
"Permanent","1992","Single parent ","higher vocational","4","","",""
"Permanent","1992","Single parent ","higher education","14","","",""
"Permanent","1992","Couple + C. LE 16 ","in school","","","",""
"Permanent","1992","Couple + C. LE 16 ","inadequately","7","","",""
"Permanent","1992","Couple + C. LE 16 ","general elemantary","41","0.905999706245359","0.823442287425725","0.988557125064994"
"Permanent","1992","Couple + C. LE 16 ","middle vocational","211","0.805099661972002","0.757585444768601","0.852613879175402"
"Permanent","1992","Couple + C. LE 16 ","vocational + Abi","10","","",""
"Permanent","1992","Couple + C. LE 16 ","higher vocational","28","","",""
"Permanent","1992","Couple + C. LE 16 ","higher education","122","0.790952104048295","0.726937327309828","0.854966880786763"
"Permanent","1992","Couple + C. GT 16 ","in school","1","","",""
"Permanent","1992","Couple + C. GT 16 ","inadequately","3","","",""
"Permanent","1992","Couple + C. GT 16 ","general elemantary","36","0.456336247064963","0.340478097130206","0.57219439699972"
"Permanent","1992","Couple + C. GT 16 ","middle vocational","160","0.689799592010573","0.628950478893816","0.75064870512733"
"Permanent","1992","Couple + C. GT 16 ","vocational + Abi","8","","",""
"Permanent","1992","Couple + C. GT 16 ","higher vocational","12","","",""
"Permanent","1992","Couple + C. GT 16 ","higher education","30","0.629301080939725","0.4865887000916","0.772013461787851"
"Permanent","1992","Couple + C. LE and GT 16","in school","2","","",""
"Permanent","1992","Couple + C. LE and GT 16","inadequately","9","","",""
"Permanent","1992","Couple + C. LE and GT 16","general elemantary","18","","",""
"Permanent","1992","Couple + C. LE and GT 16","middle vocational","50","0.741061379434848","0.636170869939361","0.845951888930335"
"Permanent","1992","Couple + C. LE and GT 16","vocational + Abi","2","","",""
"Permanent","1992","Couple + C. LE and GT 16","higher vocational","6","","",""
"Permanent","1992","Couple + C. LE and GT 16","higher education","15","","",""
"Limited","1992","1-pers.-HH","in school","","","",""
"Limited","1992","1-pers.-HH","inadequately","","","",""
"Limited","1992","1-pers.-HH","general elemantary","2","","",""
"Limited","1992","1-pers.-HH","middle vocational","14","","",""
"Limited","1992","1-pers.-HH","vocational + Abi","2","","",""
"Limited","1992","1-pers.-HH","higher vocational","","","",""
"Limited","1992","1-pers.-HH","higher education","2","","",""
"Limited","1992","(Married) couple without C. ","in school","","","",""
"Limited","1992","(Married) couple without C. ","inadequately","3","","",""
"Limited","1992","(Married) couple without C. ","general elemantary","10","","",""
"Limited","1992","(Married) couple without C. ","middle vocational","26","","",""
"Limited","1992","(Married) couple without C. ","vocational + Abi","4","","",""
"Limited","1992","(Married) couple without C. ","higher vocational","3","","",""
"Limited","1992","(Married) couple without C. ","higher education","12","","",""
"Limited","1992","Single parent ","in school","","","",""
"Limited","1992","Single parent ","inadequately","1","","",""
"Limited","1992","Single parent ","general elemantary","5","","",""
"Limited","1992","Single parent ","middle vocational","14","","",""
"Limited","1992","Single parent ","vocational + Abi","1","","",""
"Limited","1992","Single parent ","higher vocational","","","",""
"Limited","1992","Single parent ","higher education","4","","",""
"Limited","1992","Couple + C. LE 16 ","in school","","","",""
"Limited","1992","Couple + C. LE 16 ","inadequately","","","",""
"Limited","1992","Couple + C. LE 16 ","general elemantary","7","","",""
"Limited","1992","Couple + C. LE 16 ","middle vocational","56","0.194900338027998","0.147386120824598","0.242414555231399"
"Limited","1992","Couple + C. LE 16 ","vocational + Abi","2","","",""
"Limited","1992","Couple + C. LE 16 ","higher vocational","6","","",""
"Limited","1992","Couple + C. LE 16 ","higher education","33","0.209047895951705","0.145033119213237","0.273062672690172"
"Limited","1992","Couple + C. GT 16 ","in school","","","",""
"Limited","1992","Couple + C. GT 16 ","inadequately","","","",""
"Limited","1992","Couple + C. GT 16 ","general elemantary","35","0.543663752935037","0.42780560300028","0.659521902869794"
"Limited","1992","Couple + C. GT 16 ","middle vocational","62","0.310200407989427","0.24935129487267","0.371049521106184"
"Limited","1992","Couple + C. GT 16 ","vocational + Abi","3","","",""
"Limited","1992","Couple + C. GT 16 ","higher vocational","5","","",""
"Limited","1992","Couple + C. GT 16 ","higher education","14","","",""
"Limited","1992","Couple + C. LE and GT 16","in school","","","",""
"Limited","1992","Couple + C. LE and GT 16","inadequately","","","",""
"Limited","1992","Couple + C. LE and GT 16","general elemantary","17","","",""
"Limited","1992","Couple + C. LE and GT 16","middle vocational","17","","",""
"Limited","1992","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Limited","1992","Couple + C. LE and GT 16","higher vocational","2","","",""
"Limited","1992","Couple + C. LE and GT 16","higher education","4","","",""
"Permanent","1993","1-pers.-HH","in school","","","",""
"Permanent","1993","1-pers.-HH","inadequately","1","","",""
"Permanent","1993","1-pers.-HH","general elemantary","12","","",""
"Permanent","1993","1-pers.-HH","middle vocational","39","0.821851644967944","0.716836816911503","0.926866473024386"
"Permanent","1993","1-pers.-HH","vocational + Abi","7","","",""
"Permanent","1993","1-pers.-HH","higher vocational","6","","",""
"Permanent","1993","1-pers.-HH","higher education","24","","",""
"Permanent","1993","(Married) couple without C. ","in school","","","",""
"Permanent","1993","(Married) couple without C. ","inadequately","","","",""
"Permanent","1993","(Married) couple without C. ","general elemantary","23","","",""
"Permanent","1993","(Married) couple without C. ","middle vocational","117","0.799279140094272","0.733399773850686","0.865158506337859"
"Permanent","1993","(Married) couple without C. ","vocational + Abi","10","","",""
"Permanent","1993","(Married) couple without C. ","higher vocational","20","","",""
"Permanent","1993","(Married) couple without C. ","higher education","28","","",""
"Permanent","1993","Single parent ","in school","","","",""
"Permanent","1993","Single parent ","inadequately","1","","",""
"Permanent","1993","Single parent ","general elemantary","8","","",""
"Permanent","1993","Single parent ","middle vocational","32","0.749636996787051","0.618618072887344","0.880655920686758"
"Permanent","1993","Single parent ","vocational + Abi","","","",""
"Permanent","1993","Single parent ","higher vocational","1","","",""
"Permanent","1993","Single parent ","higher education","6","","",""
"Permanent","1993","Couple + C. LE 16 ","in school","","","",""
"Permanent","1993","Couple + C. LE 16 ","inadequately","5","","",""
"Permanent","1993","Couple + C. LE 16 ","general elemantary","30","0.95310416143457","0.880972081215357","1.02523624165378"
"Permanent","1993","Couple + C. LE 16 ","middle vocational","196","0.847896885263301","0.801785230858044","0.894008539668558"
"Permanent","1993","Couple + C. LE 16 ","vocational + Abi","14","","",""
"Permanent","1993","Couple + C. LE 16 ","higher vocational","24","","",""
"Permanent","1993","Couple + C. LE 16 ","higher education","96","0.860436534706173","0.796824255168946","0.924048814243399"
"Permanent","1993","Couple + C. GT 16 ","in school","1","","",""
"Permanent","1993","Couple + C. GT 16 ","inadequately","3","","",""
"Permanent","1993","Couple + C. GT 16 ","general elemantary","32","0.591775776291856","0.458185638739097","0.725365913844614"
"Permanent","1993","Couple + C. GT 16 ","middle vocational","97","0.670833667450142","0.592432292789622","0.749235042110663"
"Permanent","1993","Couple + C. GT 16 ","vocational + Abi","9","","",""
"Permanent","1993","Couple + C. GT 16 ","higher vocational","10","","",""
"Permanent","1993","Couple + C. GT 16 ","higher education","25","","",""
"Permanent","1993","Couple + C. LE and GT 16","in school","","","",""
"Permanent","1993","Couple + C. LE and GT 16","inadequately","5","","",""
"Permanent","1993","Couple + C. LE and GT 16","general elemantary","28","","",""
"Permanent","1993","Couple + C. LE and GT 16","middle vocational","44","0.731002347944138","0.616880781334297","0.84512391455398"
"Permanent","1993","Couple + C. LE and GT 16","vocational + Abi","3","","",""
"Permanent","1993","Couple + C. LE and GT 16","higher vocational","6","","",""
"Permanent","1993","Couple + C. LE and GT 16","higher education","13","","",""
"Limited","1993","1-pers.-HH","in school","","","",""
"Limited","1993","1-pers.-HH","inadequately","1","","",""
"Limited","1993","1-pers.-HH","general elemantary","5","","",""
"Limited","1993","1-pers.-HH","middle vocational","12","","",""
"Limited","1993","1-pers.-HH","vocational + Abi","","","",""
"Limited","1993","1-pers.-HH","higher vocational","","","",""
"Limited","1993","1-pers.-HH","higher education","6","","",""
"Limited","1993","(Married) couple without C. ","in school","","","",""
"Limited","1993","(Married) couple without C. ","inadequately","2","","",""
"Limited","1993","(Married) couple without C. ","general elemantary","8","","",""
"Limited","1993","(Married) couple without C. ","middle vocational","25","","",""
"Limited","1993","(Married) couple without C. ","vocational + Abi","1","","",""
"Limited","1993","(Married) couple without C. ","higher vocational","2","","",""
"Limited","1993","(Married) couple without C. ","higher education","13","","",""
"Limited","1993","Single parent ","in school","","","",""
"Limited","1993","Single parent ","inadequately","","","",""
"Limited","1993","Single parent ","general elemantary","6","","",""
"Limited","1993","Single parent ","middle vocational","10","","",""
"Limited","1993","Single parent ","vocational + Abi","","","",""
"Limited","1993","Single parent ","higher vocational","","","",""
"Limited","1993","Single parent ","higher education","5","","",""
"Limited","1993","Couple + C. LE 16 ","in school","","","",""
"Limited","1993","Couple + C. LE 16 ","inadequately","2","","",""
"Limited","1993","Couple + C. LE 16 ","general elemantary","3","","",""
"Limited","1993","Couple + C. LE 16 ","middle vocational","37","0.152103114736699","0.105991460331442","0.198214769141956"
"Limited","1993","Couple + C. LE 16 ","vocational + Abi","1","","",""
"Limited","1993","Couple + C. LE 16 ","higher vocational","5","","",""
"Limited","1993","Couple + C. LE 16 ","higher education","18","","",""
"Limited","1993","Couple + C. GT 16 ","in school","","","",""
"Limited","1993","Couple + C. GT 16 ","inadequately","1","","",""
"Limited","1993","Couple + C. GT 16 ","general elemantary","20","","",""
"Limited","1993","Couple + C. GT 16 ","middle vocational","41","0.329166332549858","0.250764957889337","0.407567707210378"
"Limited","1993","Couple + C. GT 16 ","vocational + Abi","5","","",""
"Limited","1993","Couple + C. GT 16 ","higher vocational","1","","",""
"Limited","1993","Couple + C. GT 16 ","higher education","12","","",""
"Limited","1993","Couple + C. LE and GT 16","in school","","","",""
"Limited","1993","Couple + C. LE and GT 16","inadequately","","","",""
"Limited","1993","Couple + C. LE and GT 16","general elemantary","20","","",""
"Limited","1993","Couple + C. LE and GT 16","middle vocational","14","","",""
"Limited","1993","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"Limited","1993","Couple + C. LE and GT 16","higher vocational","2","","",""
"Limited","1993","Couple + C. LE and GT 16","higher education","4","","",""
"Permanent","1994","1-pers.-HH","in school","","","",""
"Permanent","1994","1-pers.-HH","inadequately","3","","",""
"Permanent","1994","1-pers.-HH","general elemantary","4","","",""
"Permanent","1994","1-pers.-HH","middle vocational","37","0.768868846449516","0.653172837311838","0.884564855587194"
"Permanent","1994","1-pers.-HH","vocational + Abi","7","","",""
"Permanent","1994","1-pers.-HH","higher vocational","7","","",""
"Permanent","1994","1-pers.-HH","higher education","15","","",""
"Permanent","1994","(Married) couple without C. ","in school","","","",""
"Permanent","1994","(Married) couple without C. ","inadequately","3","","",""
"Permanent","1994","(Married) couple without C. ","general elemantary","17","","",""
"Permanent","1994","(Married) couple without C. ","middle vocational","106","0.815411619613427","0.749477092145119","0.881346147081734"
"Permanent","1994","(Married) couple without C. ","vocational + Abi","14","","",""
"Permanent","1994","(Married) couple without C. ","higher vocational","17","","",""
"Permanent","1994","(Married) couple without C. ","higher education","32","0.78160666325695","0.653570717503208","0.909642609010691"
"Permanent","1994","Single parent ","in school","1","","",""
"Permanent","1994","Single parent ","inadequately","1","","",""
"Permanent","1994","Single parent ","general elemantary","6","","",""
"Permanent","1994","Single parent ","middle vocational","23","","",""
"Permanent","1994","Single parent ","vocational + Abi","1","","",""
"Permanent","1994","Single parent ","higher vocational","3","","",""
"Permanent","1994","Single parent ","higher education","5","","",""
"Permanent","1994","Couple + C. LE 16 ","in school","","","",""
"Permanent","1994","Couple + C. LE 16 ","inadequately","2","","",""
"Permanent","1994","Couple + C. LE 16 ","general elemantary","23","","",""
"Permanent","1994","Couple + C. LE 16 ","middle vocational","145","0.845419572242995","0.792608469041954","0.898230675444035"
"Permanent","1994","Couple + C. LE 16 ","vocational + Abi","8","","",""
"Permanent","1994","Couple + C. LE 16 ","higher vocational","21","","",""
"Permanent","1994","Couple + C. LE 16 ","higher education","49","0.695358260807649","0.589046611683231","0.801669909932066"
"Permanent","1994","Couple + C. GT 16 ","in school","1","","",""
"Permanent","1994","Couple + C. GT 16 ","inadequately","3","","",""
"Permanent","1994","Couple + C. GT 16 ","general elemantary","23","","",""
"Permanent","1994","Couple + C. GT 16 ","middle vocational","85","0.588450539715646","0.504815499218347","0.672085580212945"
"Permanent","1994","Couple + C. GT 16 ","vocational + Abi","8","","",""
"Permanent","1994","Couple + C. GT 16 ","higher vocational","8","","",""
"Permanent","1994","Couple + C. GT 16 ","higher education","13","","",""
"Permanent","1994","Couple + C. LE and GT 16","in school","1","","",""
"Permanent","1994","Couple + C. LE and GT 16","inadequately","4","","",""
"Permanent","1994","Couple + C. LE and GT 16","general elemantary","16","","",""
"Permanent","1994","Couple + C. LE and GT 16","middle vocational","36","0.614947458193585","0.496651361358458","0.733243555028712"
"Permanent","1994","Couple + C. LE and GT 16","vocational + Abi","2","","",""
"Permanent","1994","Couple + C. LE and GT 16","higher vocational","5","","",""
"Permanent","1994","Couple + C. LE and GT 16","higher education","7","","",""
"Limited","1994","1-pers.-HH","in school","","","",""
"Limited","1994","1-pers.-HH","inadequately","","","",""
"Limited","1994","1-pers.-HH","general elemantary","9","","",""
"Limited","1994","1-pers.-HH","middle vocational","14","","",""
"Limited","1994","1-pers.-HH","vocational + Abi","3","","",""
"Limited","1994","1-pers.-HH","higher vocational","1","","",""
"Limited","1994","1-pers.-HH","higher education","12","","",""
"Limited","1994","(Married) couple without C. ","in school","","","",""
"Limited","1994","(Married) couple without C. ","inadequately","1","","",""
"Limited","1994","(Married) couple without C. ","general elemantary","6","","",""
"Limited","1994","(Married) couple without C. ","middle vocational","27","","",""
"Limited","1994","(Married) couple without C. ","vocational + Abi","3","","",""
"Limited","1994","(Married) couple without C. ","higher vocational","4","","",""
"Limited","1994","(Married) couple without C. ","higher education","8","","",""
"Limited","1994","Single parent ","in school","","","",""
"Limited","1994","Single parent ","inadequately","","","",""
"Limited","1994","Single parent ","general elemantary","8","","",""
"Limited","1994","Single parent ","middle vocational","14","","",""
"Limited","1994","Single parent ","vocational + Abi","","","",""
"Limited","1994","Single parent ","higher vocational","","","",""
"Limited","1994","Single parent ","higher education","2","","",""
"Limited","1994","Couple + C. LE 16 ","in school","","","",""
"Limited","1994","Couple + C. LE 16 ","inadequately","2","","",""
"Limited","1994","Couple + C. LE 16 ","general elemantary","4","","",""
"Limited","1994","Couple + C. LE 16 ","middle vocational","35","0.154580427757005","0.101769324555965","0.207391530958046"
"Limited","1994","Couple + C. LE 16 ","vocational + Abi","6","","",""
"Limited","1994","Couple + C. LE 16 ","higher vocational","4","","",""
"Limited","1994","Couple + C. LE 16 ","higher education","23","","",""
"Limited","1994","Couple + C. GT 16 ","in school","1","","",""
"Limited","1994","Couple + C. GT 16 ","inadequately","3","","",""
"Limited","1994","Couple + C. GT 16 ","general elemantary","35","0.646392146003012","0.523353064343692","0.769431227662332"
"Limited","1994","Couple + C. GT 16 ","middle vocational","48","0.411549460284354","0.327914419787055","0.495184500781653"
"Limited","1994","Couple + C. GT 16 ","vocational + Abi","4","","",""
"Limited","1994","Couple + C. GT 16 ","higher vocational","2","","",""
"Limited","1994","Couple + C. GT 16 ","higher education","9","","",""
"Limited","1994","Couple + C. LE and GT 16","in school","2","","",""
"Limited","1994","Couple + C. LE and GT 16","inadequately","2","","",""
"Limited","1994","Couple + C. LE and GT 16","general elemantary","35","0.65912495702703","0.529034786243944","0.789215127810116"
"Limited","1994","Couple + C. LE and GT 16","middle vocational","29","","",""
"Limited","1994","Couple + C. LE and GT 16","vocational + Abi","2","","",""
"Limited","1994","Couple + C. LE and GT 16","higher vocational","2","","",""
"Limited","1994","Couple + C. LE and GT 16","higher education","5","","",""
"Permanent","1995","1-pers.-HH","in school","","","",""
"Permanent","1995","1-pers.-HH","inadequately","12","","",""
"Permanent","1995","1-pers.-HH","general elemantary","76","0.825501504589435","0.747089670159092","0.903913339019778"
"Permanent","1995","1-pers.-HH","middle vocational","296","0.876953688899546","0.841724918401183","0.912182459397908"
"Permanent","1995","1-pers.-HH","vocational + Abi","29","","",""
"Permanent","1995","1-pers.-HH","higher vocational","29","","",""
"Permanent","1995","1-pers.-HH","higher education","77","0.805260647866421","0.726045621152979","0.884475674579863"
"Permanent","1995","(Married) couple without C. ","in school","","","",""
"Permanent","1995","(Married) couple without C. ","inadequately","26","","",""
"Permanent","1995","(Married) couple without C. ","general elemantary","175","0.908348737214688","0.868159382715487","0.948538091713889"
"Permanent","1995","(Married) couple without C. ","middle vocational","845","0.922322220698538","0.904988567998827","0.939655873398249"
"Permanent","1995","(Married) couple without C. ","vocational + Abi","65","0.884441558980321","0.811104739919036","0.957778378041605"
"Permanent","1995","(Married) couple without C. ","higher vocational","120","0.989708339016016","0.971872568086214","1.00754410994582"
"Permanent","1995","(Married) couple without C. ","higher education","238","0.864480849201424","0.82417331504402","0.904788383358828"
"Permanent","1995","Single parent ","in school","1","","",""
"Permanent","1995","Single parent ","inadequately","6","","",""
"Permanent","1995","Single parent ","general elemantary","40","0.625831353492259","0.507276194024602","0.744386512959916"
"Permanent","1995","Single parent ","middle vocational","149","0.872387302883322","0.823093381403876","0.921681224362769"
"Permanent","1995","Single parent ","vocational + Abi","4","","",""
"Permanent","1995","Single parent ","higher vocational","14","","",""
"Permanent","1995","Single parent ","higher education","47","0.902055546130478","0.824205183023385","0.979905909237571"
"Permanent","1995","Couple + C. LE 16 ","in school","","","",""
"Permanent","1995","Couple + C. LE 16 ","inadequately","40","0.841472557069891","0.738148921725864","0.944796192413919"
"Permanent","1995","Couple + C. LE 16 ","general elemantary","181","0.932890406444017","0.897950430978455","0.967830381909578"
"Permanent","1995","Couple + C. LE 16 ","middle vocational","1028","0.93602511785431","0.921577182408562","0.950473053300059"
"Permanent","1995","Couple + C. LE 16 ","vocational + Abi","88","0.916437474608844","0.860495040057935","0.972379909159754"
"Permanent","1995","Couple + C. LE 16 ","higher vocational","150","0.959553996166662","0.928738385152178","0.990369607181145"
"Permanent","1995","Couple + C. LE 16 ","higher education","368","0.903267984901551","0.874336592818348","0.932199376984755"
"Permanent","1995","Couple + C. GT 16 ","in school","3","","",""
"Permanent","1995","Couple + C. GT 16 ","inadequately","60","0.864504143811777","0.781301340475347","0.947706947148207"
"Permanent","1995","Couple + C. GT 16 ","general elemantary","181","0.596613774967341","0.540441572715481","0.652785977219202"
"Permanent","1995","Couple + C. GT 16 ","middle vocational","645","0.863050017172712","0.838412538240338","0.887687496105086"
"Permanent","1995","Couple + C. GT 16 ","vocational + Abi","29","","",""
"Permanent","1995","Couple + C. GT 16 ","higher vocational","64","0.973775525518277","0.935222457214143","1.01232859382241"
"Permanent","1995","Couple + C. GT 16 ","higher education","161","0.913339574650489","0.872125256276811","0.954553893024168"
"Permanent","1995","Couple + C. LE and GT 16","in school","1","","",""
"Permanent","1995","Couple + C. LE and GT 16","inadequately","42","0.882423489899294","0.792235467530809","0.972611512267779"
"Permanent","1995","Couple + C. LE and GT 16","general elemantary","99","0.52342071667003","0.450048587210861","0.596792846129198"
"Permanent","1995","Couple + C. LE and GT 16","middle vocational","283","0.870209068763368","0.834380973724199","0.906037163802537"
"Permanent","1995","Couple + C. LE and GT 16","vocational + Abi","22","","",""
"Permanent","1995","Couple + C. LE and GT 16","higher vocational","33","0.935453720640208","0.855185506499112","1.0157219347813"
"Permanent","1995","Couple + C. LE and GT 16","higher education","101","0.887808098234089","0.830126208920234","0.945489987547945"
"Limited","1995","1-pers.-HH","in school","","","",""
"Limited","1995","1-pers.-HH","inadequately","","","",""
"Limited","1995","1-pers.-HH","general elemantary","14","","",""
"Limited","1995","1-pers.-HH","middle vocational","38","0.123046311100454","0.0878175406020915","0.158275081598817"
"Limited","1995","1-pers.-HH","vocational + Abi","6","","",""
"Limited","1995","1-pers.-HH","higher vocational","1","","",""
"Limited","1995","1-pers.-HH","higher education","19","","",""
"Limited","1995","(Married) couple without C. ","in school","","","",""
"Limited","1995","(Married) couple without C. ","inadequately","1","","",""
"Limited","1995","(Married) couple without C. ","general elemantary","23","","",""
"Limited","1995","(Married) couple without C. ","middle vocational","71","0.0776777793014622","0.0603441266017514","0.095011432001173"
"Limited","1995","(Married) couple without C. ","vocational + Abi","8","","",""
"Limited","1995","(Married) couple without C. ","higher vocational","3","","",""
"Limited","1995","(Married) couple without C. ","higher education","39","0.135519150798576","0.0952116166411715","0.17582668495598"
"Limited","1995","Single parent ","in school","","","",""
"Limited","1995","Single parent ","inadequately","1","","",""
"Limited","1995","Single parent ","general elemantary","24","","",""
"Limited","1995","Single parent ","middle vocational","27","","",""
"Limited","1995","Single parent ","vocational + Abi","1","","",""
"Limited","1995","Single parent ","higher vocational","","","",""
"Limited","1995","Single parent ","higher education","9","","",""
"Limited","1995","Couple + C. LE 16 ","in school","","","",""
"Limited","1995","Couple + C. LE 16 ","inadequately","8","","",""
"Limited","1995","Couple + C. LE 16 ","general elemantary","16","","",""
"Limited","1995","Couple + C. LE 16 ","middle vocational","74","0.0639748821456896","0.0495269466999415","0.0784228175914378"
"Limited","1995","Couple + C. LE 16 ","vocational + Abi","6","","",""
"Limited","1995","Couple + C. LE 16 ","higher vocational","7","","",""
"Limited","1995","Couple + C. LE 16 ","higher education","33","0.0967320150984486","0.0678006230152455","0.125663407181652"
"Limited","1995","Couple + C. GT 16 ","in school","3","","",""
"Limited","1995","Couple + C. GT 16 ","inadequately","5","","",""
"Limited","1995","Couple + C. GT 16 ","general elemantary","112","0.403386225032659","0.347214022780798","0.45955842728452"
"Limited","1995","Couple + C. GT 16 ","middle vocational","103","0.136949982827288","0.112312503894914","0.161587461759662"
"Limited","1995","Couple + C. GT 16 ","vocational + Abi","3","","",""
"Limited","1995","Couple + C. GT 16 ","higher vocational","2","","",""
"Limited","1995","Couple + C. GT 16 ","higher education","18","","",""
"Limited","1995","Couple + C. LE and GT 16","in school","2","","",""
"Limited","1995","Couple + C. LE and GT 16","inadequately","7","","",""
"Limited","1995","Couple + C. LE and GT 16","general elemantary","79","0.47657928332997","0.403207153870801","0.549951412789139"
"Limited","1995","Couple + C. LE and GT 16","middle vocational","55","0.129790931236632","0.0939628361974627","0.165619026275801"
"Limited","1995","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"Limited","1995","Couple + C. LE and GT 16","higher vocational","3","","",""
"Limited","1995","Couple + C. LE and GT 16","higher education","14","","",""
"Permanent","1996","1-pers.-HH","in school","","","",""
"Permanent","1996","1-pers.-HH","inadequately","9","","",""
"Permanent","1996","1-pers.-HH","general elemantary","70","0.838295323846417","0.758605846931948","0.917984800760886"
"Permanent","1996","1-pers.-HH","middle vocational","303","0.88595278416311","0.852065452492511","0.919840115833708"
"Permanent","1996","1-pers.-HH","vocational + Abi","35","0.900524630056514","0.806590943580297","0.994458316532731"
"Permanent","1996","1-pers.-HH","higher vocational","35","0.988671061983768","0.954099631314388","1.02324249265315"
"Permanent","1996","1-pers.-HH","higher education","85","0.826290029994189","0.753476841321069","0.899103218667309"
"Permanent","1996","(Married) couple without C. ","in school","","","",""
"Permanent","1996","(Married) couple without C. ","inadequately","23","","",""
"Permanent","1996","(Married) couple without C. ","general elemantary","147","0.891098775179037","0.844271063484337","0.937926486873737"
"Permanent","1996","(Married) couple without C. ","middle vocational","867","0.936322558330789","0.920721328813335","0.951923787848243"
"Permanent","1996","(Married) couple without C. ","vocational + Abi","63","0.910836042058377","0.84501017085365","0.976661913263103"
"Permanent","1996","(Married) couple without C. ","higher vocational","115","0.946365637032973","0.906056034804107","0.986675239261839"
"Permanent","1996","(Married) couple without C. ","higher education","249","0.911088975152222","0.877265218364019","0.944912731940425"
"Permanent","1996","Single parent ","in school","1","","",""
"Permanent","1996","Single parent ","inadequately","9","","",""
"Permanent","1996","Single parent ","general elemantary","39","0.573074206509194","0.453741977949327","0.692406435069062"
"Permanent","1996","Single parent ","middle vocational","174","0.819225878847922","0.766417483849735","0.872034273846109"
"Permanent","1996","Single parent ","vocational + Abi","4","","",""
"Permanent","1996","Single parent ","higher vocational","12","","",""
"Permanent","1996","Single parent ","higher education","42","0.816702431193633","0.712537763486478","0.920867098900788"
"Permanent","1996","Couple + C. LE 16 ","in school","","","",""
"Permanent","1996","Couple + C. LE 16 ","inadequately","29","","",""
"Permanent","1996","Couple + C. LE 16 ","general elemantary","167","0.89573563135217","0.852281689928726","0.939189572775614"
"Permanent","1996","Couple + C. LE 16 ","middle vocational","975","0.943428328214665","0.929360658082556","0.957495998346775"
"Permanent","1996","Couple + C. LE 16 ","vocational + Abi","85","0.878601411951477","0.812225670871353","0.944977153031601"
"Permanent","1996","Couple + C. LE 16 ","higher vocational","153","0.953573801445189","0.920869246276501","0.986278356613878"
"Permanent","1996","Couple + C. LE 16 ","higher education","341","0.918344345128121","0.890289785275856","0.946398904980387"
"Permanent","1996","Couple + C. GT 16 ","in school","1","","",""
"Permanent","1996","Couple + C. GT 16 ","inadequately","51","0.886115326375832","0.803646763198223","0.968583889553442"
"Permanent","1996","Couple + C. GT 16 ","general elemantary","168","0.674448979160323","0.616936500862692","0.731961457457954"
"Permanent","1996","Couple + C. GT 16 ","middle vocational","588","0.886147351979828","0.862203209777298","0.910091494182358"
"Permanent","1996","Couple + C. GT 16 ","vocational + Abi","34","0.757046002341394","0.624141022062184","0.889950982620604"
"Permanent","1996","Couple + C. GT 16 ","higher vocational","65","0.980193454356757","0.947076232061589","1.01331067665192"
"Permanent","1996","Couple + C. GT 16 ","higher education","162","0.886223863799283","0.840342481863299","0.932105245735266"
"Permanent","1996","Couple + C. LE and GT 16","in school","4","","",""
"Permanent","1996","Couple + C. LE and GT 16","inadequately","48","0.922970347472468","0.849791452592176","0.996149242352759"
"Permanent","1996","Couple + C. LE and GT 16","general elemantary","87","0.444195789817681","0.372206037195012","0.516185542440349"
"Permanent","1996","Couple + C. LE and GT 16","middle vocational","293","0.88212920695354","0.848103453795795","0.916154960111285"
"Permanent","1996","Couple + C. LE and GT 16","vocational + Abi","21","","",""
"Permanent","1996","Couple + C. LE and GT 16","higher vocational","31","0.859902062279931","0.74652186532168","0.973282259238181"
"Permanent","1996","Couple + C. LE and GT 16","higher education","107","0.908435413459466","0.856175828357588","0.960694998561344"
"Limited","1996","1-pers.-HH","in school","","","",""
"Limited","1996","1-pers.-HH","inadequately","1","","",""
"Limited","1996","1-pers.-HH","general elemantary","12","","",""
"Limited","1996","1-pers.-HH","middle vocational","35","0.11404721583689","0.0801598841662921","0.147934547507489"
"Limited","1996","1-pers.-HH","vocational + Abi","4","","",""
"Limited","1996","1-pers.-HH","higher vocational","1","","",""
"Limited","1996","1-pers.-HH","higher education","19","","",""
"Limited","1996","(Married) couple without C. ","in school","","","",""
"Limited","1996","(Married) couple without C. ","inadequately","1","","",""
"Limited","1996","(Married) couple without C. ","general elemantary","23","","",""
"Limited","1996","(Married) couple without C. ","middle vocational","74","0.0636774416692107","0.0480762121517569","0.0792786711866646"
"Limited","1996","(Married) couple without C. ","vocational + Abi","9","","",""
"Limited","1996","(Married) couple without C. ","higher vocational","5","","",""
"Limited","1996","(Married) couple without C. ","higher education","23","","",""
"Limited","1996","Single parent ","in school","","","",""
"Limited","1996","Single parent ","inadequately","2","","",""
"Limited","1996","Single parent ","general elemantary","27","","",""
"Limited","1996","Single parent ","middle vocational","30","0.180774121152078","0.127965726153891","0.233582516150265"
"Limited","1996","Single parent ","vocational + Abi","","","",""
"Limited","1996","Single parent ","higher vocational","","","",""
"Limited","1996","Single parent ","higher education","11","","",""
"Limited","1996","Couple + C. LE 16 ","in school","","","",""
