"year","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2008","(Married) couple without C.","4.48","5","7051","3","4","5","5","5","4.46","4.5","1","5","5","5"
"2008","1-pers.-HH","4.52","5","3041","3","4","5","5","5","4.49","4.55","1","5","5","5"
"2008","Couple + C. GT 16 ","4.22","4","3356","3","4","5","5","5","4.19","4.25","1","5","4","5"
"2008","Couple + C. LE 16","4.26","4","3205","3","4","5","5","5","4.23","4.29","1","5","4","5"
"2008","Couple + C. LE and GT 16","4.11","4","1203","2","4","5","5","5","4.06","4.16","1","5","4","4"
"2008","Single parent","4.36","5","1082","3","4","5","5","5","4.31","4.41","1","5","5","5"
"2009","(Married) couple without C.","","","","","","","","","","","","","",""
"2009","1-pers.-HH","","","","","","","","","","","","","",""
"2009","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2009","Couple + C. LE 16","","","","","","","","","","","","","",""
"2009","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2009","Single parent","","","","","","","","","","","","","",""
"2010","(Married) couple without C.","","","","","","","","","","","","","",""
"2010","1-pers.-HH","","","","","","","","","","","","","",""
"2010","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2010","Couple + C. LE 16","","","","","","","","","","","","","",""
"2010","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2010","Single parent","","","","","","","","","","","","","",""
"2011","(Married) couple without C.","","","","","","","","","","","","","",""
"2011","1-pers.-HH","","","","","","","","","","","","","",""
"2011","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2011","Couple + C. LE 16","","","","","","","","","","","","","",""
"2011","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2011","Single parent","","","","","","","","","","","","","",""
"2012","(Married) couple without C.","","","","","","","","","","","","","",""
"2012","1-pers.-HH","","","","","","","","","","","","","",""
"2012","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2012","Couple + C. LE 16","","","","","","","","","","","","","",""
"2012","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2012","Single parent","","","","","","","","","","","","","",""
"2013","(Married) couple without C.","4.42","5","7609","3","4","5","5","5","4.4","4.44","1","5","5","5"
"2013","1-pers.-HH","4.49","5","3566","3","4","5","5","5","4.46","4.52","1","5","5","5"
"2013","Couple + C. GT 16 ","4.1","4","2774","2","4","5","5","5","4.06","4.14","1","5","4","4"
"2013","Couple + C. LE 16","4.16","4","6472","3","4","5","5","5","4.14","4.18","1","5","4","4"
"2013","Couple + C. LE and GT 16","4.07","4","2019","3","4","5","5","5","4.03","4.11","1","5","4","4"
"2013","Single parent","4.25","5","2606","3","4","5","5","5","4.21","4.29","1","5","5","5"
