"hlf0001_h","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Sub-Tenant","1992","higher vocational","West Germany","10","","","","2"
"Sub-Tenant","1992","higher vocational","East Germany","2","","","","2"
"Sub-Tenant","1992","higher education","West Germany","11","","","","2"
"Sub-Tenant","1992","higher education","East Germany","10","","","","2"
"Sub-Tenant","1992","general elemantary","West Germany","57","0.0323553596447443","0.0252029424269748","0.0395077768625137","2"
"Sub-Tenant","1992","general elemantary","East Germany","18","","","","2"
"Sub-Tenant","1992","middle vocational","West Germany","101","0.0287972759788247","0.0239251168265723","0.0336694351310771","2"
"Sub-Tenant","1992","in school","West Germany","1","","","","2"
"Sub-Tenant","1992","in school","East Germany","","","","","2"
"Sub-Tenant","1992","inadequately","West Germany","21","","","","2"
"Sub-Tenant","1992","inadequately","East Germany","2","","","","2"
"Sub-Tenant","1992","middle vocational","East Germany","78","0.0318349078662067","0.0245401716524721","0.0391296440799414","2"
"Sub-Tenant","1992","vocational + Abi","West Germany","9","","","","2"
"Tenant","1992","in school","West Germany","","","","","5"
"Tenant","1992","in school","East Germany","","","","","5"
"Tenant","1992","inadequately","West Germany","","","","","5"
"Tenant","1992","inadequately","East Germany","","","","","5"
"Tenant","1992","general elemantary","West Germany","3","","","","5"
"Tenant","1992","general elemantary","East Germany","","","","","5"
"Tenant","1992","middle vocational","West Germany","2","","","","5"
"Tenant","1992","middle vocational","East Germany","2","","","","5"
"Tenant","1992","vocational + Abi","West Germany","","","","","5"
"Tenant","1992","vocational + Abi","East Germany","","","","","5"
"Tenant","1992","higher vocational","West Germany","","","","","5"
"Tenant","1992","higher vocational","East Germany","1","","","","5"
"Tenant","1992","higher education","West Germany","","","","","5"
"Tenant","1992","higher education","East Germany","","","","","5"
"Main Tenant","1993","in school","West Germany","62","0.391753906667092","0.306520636668631","0.476987176665553","1"
"Main Tenant","1993","in school","East Germany","42","0.743064675253945","0.632504763757799","0.853624586750092","1"
"Main Tenant","1993","inadequately","West Germany","497","0.779964295000309","0.746733183617923","0.813195406382695","1"
"Main Tenant","1993","inadequately","East Germany","9","","","","1"
"Main Tenant","1993","general elemantary","West Germany","1372","0.528101163983866","0.507601145786734","0.548601182180998","1"
"Main Tenant","1993","general elemantary","East Germany","270","0.665092902675257","0.620432485324695","0.709753320025819","1"
"Main Tenant","1993","middle vocational","West Germany","2377","0.487496205870408","0.472970933492335","0.502021478248482","1"
"Main Tenant","1993","middle vocational","East Germany","1367","0.665291447665279","0.645321642956927","0.685261252373631","1"
"Main Tenant","1993","vocational + Abi","West Germany","191","0.57976514187707","0.525428781216384","0.634101502537757","1"
"Main Tenant","1993","vocational + Abi","East Germany","46","0.684173277186208","0.575278622619786","0.79306793175263","1"
"Main Tenant","1993","higher vocational","West Germany","228","0.441413058766056","0.398775021268618","0.484051096263495","1"
"Main Tenant","1993","higher vocational","East Germany","129","0.591026421802165","0.526928352949897","0.655124490654433","1"
"Main Tenant","1993","higher education","West Germany","359","0.450147839294511","0.414870001042283","0.48542567754674","1"
"Main Tenant","1993","higher education","East Germany","612","0.708811398457421","0.67870931217189","0.738913484742951","1"
"Nursing Home/Retirement Community","1993","in school","West Germany","","","","","4"
"Nursing Home/Retirement Community","1993","in school","East Germany","","","","","4"
"Nursing Home/Retirement Community","1993","inadequately","West Germany","","","","","4"
"Nursing Home/Retirement Community","1993","inadequately","East Germany","","","","","4"
"Nursing Home/Retirement Community","1993","general elemantary","West Germany","","","","","4"
"Nursing Home/Retirement Community","1993","general elemantary","East Germany","","","","","4"
"Nursing Home/Retirement Community","1993","middle vocational","West Germany","","","","","4"
"Nursing Home/Retirement Community","1993","middle vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1993","vocational + Abi","West Germany","","","","","4"
"Nursing Home/Retirement Community","1993","vocational + Abi","East Germany","","","","","4"
"Nursing Home/Retirement Community","1993","higher vocational","West Germany","","","","","4"
"Nursing Home/Retirement Community","1993","higher vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1993","higher education","West Germany","","","","","4"
"Nursing Home/Retirement Community","1993","higher education","East Germany","","","","","4"
"Owner","1993","in school","West Germany","63","0.585196516242178","0.499169495648364","0.671223536835991","3"
"Owner","1993","in school","East Germany","18","","","","3"
"Owner","1993","inadequately","West Germany","79","0.154280770250442","0.125305337730096","0.183256202770788","3"
"Owner","1993","inadequately","East Germany","6","","","","3"
"Owner","1993","vocational + Abi","East Germany","21","","","","3"
"Owner","1993","higher vocational","West Germany","282","0.534747954153955","0.491917967310396","0.577577940997513","3"
"Owner","1993","higher vocational","East Germany","94","0.396637096546344","0.332857783229425","0.460416409863263","3"
"Owner","1993","higher education","West Germany","392","0.527034793024959","0.491632152774888","0.56243743327503","3"
"Owner","1993","higher education","East Germany","250","0.275380863517819","0.245782626556245","0.304979100479394","3"
"Owner","1993","general elemantary","West Germany","820","0.421347760548822","0.401070914899021","0.441624606198623","3"
"Owner","1993","general elemantary","East Germany","153","0.325128438955732","0.280802546535814","0.36945433137565","3"
"Owner","1993","middle vocational","West Germany","2063","0.487785604625461","0.473260124308282","0.50231108494264","3"
"Owner","1993","middle vocational","East Germany","714","0.306083080249864","0.286579791848227","0.3255863686515","3"
"Owner","1993","vocational + Abi","West Germany","115","0.392997493519565","0.339231386473511","0.446763600565619","3"
"Sub-Tenant","1993","vocational + Abi","East Germany","3","","","","2"
"Sub-Tenant","1993","higher vocational","West Germany","11","","","","2"
"Sub-Tenant","1993","higher vocational","East Germany","3","","","","2"
"Sub-Tenant","1993","higher education","West Germany","13","","","","2"
"Sub-Tenant","1993","higher education","East Germany","13","","","","2"
"Sub-Tenant","1993","in school","West Germany","1","","","","2"
"Sub-Tenant","1993","in school","East Germany","","","","","2"
"Sub-Tenant","1993","inadequately","West Germany","21","","","","2"
"Sub-Tenant","1993","inadequately","East Germany","2","","","","2"
"Sub-Tenant","1993","general elemantary","West Germany","86","0.0505510754673123","0.0415546034308563","0.0595475475037684","2"
"Sub-Tenant","1993","general elemantary","East Germany","6","","","","2"
"Sub-Tenant","1993","middle vocational","West Germany","109","0.0247181895041305","0.0202062474488018","0.0292301315594593","2"
"Sub-Tenant","1993","middle vocational","East Germany","64","0.0286254720848577","0.0215687319131794","0.035682212256536","2"
"Sub-Tenant","1993","vocational + Abi","West Germany","11","","","","2"
"Tenant","1993","in school","West Germany","","","","","5"
"Tenant","1993","in school","East Germany","","","","","5"
"Tenant","1993","inadequately","West Germany","","","","","5"
"Tenant","1993","inadequately","East Germany","","","","","5"
"Tenant","1993","general elemantary","West Germany","","","","","5"
"Tenant","1993","general elemantary","East Germany","","","","","5"
"Tenant","1993","middle vocational","West Germany","","","","","5"
"Tenant","1993","middle vocational","East Germany","","","","","5"
"Tenant","1993","vocational + Abi","West Germany","","","","","5"
"Tenant","1993","vocational + Abi","East Germany","","","","","5"
"Tenant","1993","higher vocational","West Germany","","","","","5"
"Tenant","1993","higher vocational","East Germany","","","","","5"
"Tenant","1993","higher education","West Germany","","","","","5"
"Tenant","1993","higher education","East Germany","","","","","5"
"Main Tenant","1994","in school","West Germany","70","0.348743330205911","0.273958271468164","0.423528388943659","1"
"Main Tenant","1994","in school","East Germany","63","0.790401406045672","0.703359882825967","0.877442929265376","1"
"Main Tenant","1994","inadequately","West Germany","461","0.826473150702505","0.794766123356115","0.858180178048895","1"
"Main Tenant","1994","inadequately","East Germany","7","","","","1"
"Main Tenant","1994","general elemantary","West Germany","1306","0.556898565383476","0.535687843434558","0.578109287332395","1"
"Main Tenant","1994","general elemantary","East Germany","244","0.668611357050184","0.622936868347171","0.714285845753198","1"
"Main Tenant","1994","middle vocational","West Germany","2321","0.47725864591884","0.462661810978614","0.491855480859065","1"
"Main Tenant","1994","middle vocational","East Germany","1305","0.663263617862654","0.643031536613664","0.683495699111643","1"
"Main Tenant","1994","vocational + Abi","West Germany","197","0.593879506130485","0.539986876917251","0.647772135343719","1"
"Main Tenant","1994","vocational + Abi","East Germany","48","0.653732462669368","0.545330250241466","0.76213467509727","1"
"Main Tenant","1994","higher vocational","West Germany","233","0.431784542480793","0.389292959857573","0.474276125104013","1"
"Main Tenant","1994","higher vocational","East Germany","130","0.565468558441962","0.502226365079001","0.628710751804922","1"
"Main Tenant","1994","higher education","West Germany","359","0.435945162211614","0.401475175007677","0.470415149415551","1"
"Main Tenant","1994","higher education","East Germany","583","0.699984855065297","0.669357127414165","0.730612582716429","1"
"Nursing Home/Retirement Community","1994","in school","West Germany","","","","","4"
"Nursing Home/Retirement Community","1994","in school","East Germany","","","","","4"
"Nursing Home/Retirement Community","1994","inadequately","West Germany","","","","","4"
"Nursing Home/Retirement Community","1994","inadequately","East Germany","","","","","4"
"Nursing Home/Retirement Community","1994","general elemantary","West Germany","","","","","4"
"Nursing Home/Retirement Community","1994","general elemantary","East Germany","","","","","4"
"Nursing Home/Retirement Community","1994","middle vocational","West Germany","","","","","4"
"Nursing Home/Retirement Community","1994","middle vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1994","vocational + Abi","West Germany","","","","","4"
"Nursing Home/Retirement Community","1994","vocational + Abi","East Germany","","","","","4"
"Nursing Home/Retirement Community","1994","higher vocational","West Germany","","","","","4"
"Nursing Home/Retirement Community","1994","higher vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1994","higher education","West Germany","","","","","4"
"Nursing Home/Retirement Community","1994","higher education","East Germany","","","","","4"
"Owner","1994","in school","West Germany","84","0.639750120333536","0.564415795184907","0.715084445482165","3"
"Owner","1994","in school","East Germany","21","","","","3"
"Owner","1994","inadequately","West Germany","70","0.147011328912023","0.117362684253305","0.176659973570742","3"
"Owner","1994","inadequately","East Germany","3","","","","3"
"Owner","1994","vocational + Abi","East Germany","24","","","","3"
"Owner","1994","higher vocational","West Germany","282","0.558830308400702","0.516235599946961","0.601425016854443","3"
"Owner","1994","higher vocational","East Germany","102","0.420233243201978","0.357258856466164","0.483207629937792","3"
"Owner","1994","higher education","West Germany","416","0.534652200583217","0.499979390699896","0.569325010466538","3"
"Owner","1994","higher education","East Germany","266","0.289041928485135","0.258744812950702","0.319339044019568","3"
"Owner","1994","general elemantary","West Germany","745","0.403218775465615","0.382273128851567","0.424164422079663","3"
"Owner","1994","general elemantary","East Germany","147","0.296631909459599","0.252310019196197","0.340953799723002","3"
"Owner","1994","middle vocational","West Germany","2065","0.494232386123232","0.479621401827927","0.508843370418536","3"
"Owner","1994","middle vocational","East Germany","720","0.305175755090391","0.28546220013728","0.324889310043502","3"
"Owner","1994","vocational + Abi","West Germany","115","0.381942957561778","0.328625886646128","0.435260028477429","3"
"Sub-Tenant","1994","vocational + Abi","East Germany","2","","","","2"
"Sub-Tenant","1994","higher vocational","West Germany","7","","","","2"
"Sub-Tenant","1994","higher vocational","East Germany","4","","","","2"
"Sub-Tenant","1994","higher education","West Germany","20","","","","2"
"Sub-Tenant","1994","higher education","East Germany","11","","","","2"
"Sub-Tenant","1994","in school","West Germany","2","","","","2"
"Sub-Tenant","1994","in school","East Germany","","","","","2"
"Sub-Tenant","1994","inadequately","West Germany","17","","","","2"
"Sub-Tenant","1994","inadequately","East Germany","1","","","","2"
"Sub-Tenant","1994","general elemantary","West Germany","56","0.0398826591509086","0.0315272055184805","0.0482381127833366","2"
"Sub-Tenant","1994","general elemantary","East Germany","17","","","","2"
"Sub-Tenant","1994","middle vocational","West Germany","112","0.0285089679579287","0.0236454725364145","0.0333724633794429","2"
"Sub-Tenant","1994","middle vocational","East Germany","71","0.0315606270469556","0.0240761496289534","0.0390451044649577","2"
"Sub-Tenant","1994","vocational + Abi","West Germany","7","","","","2"
"Tenant","1994","in school","West Germany","","","","","5"
"Tenant","1994","in school","East Germany","","","","","5"
"Tenant","1994","inadequately","West Germany","","","","","5"
"Tenant","1994","inadequately","East Germany","","","","","5"
"Tenant","1994","general elemantary","West Germany","","","","","5"
"Tenant","1994","general elemantary","East Germany","","","","","5"
"Tenant","1994","middle vocational","West Germany","","","","","5"
"Tenant","1994","middle vocational","East Germany","","","","","5"
"Tenant","1994","vocational + Abi","West Germany","","","","","5"
"Tenant","1994","vocational + Abi","East Germany","","","","","5"
"Tenant","1994","higher vocational","West Germany","","","","","5"
"Tenant","1994","higher vocational","East Germany","","","","","5"
"Tenant","1994","higher education","West Germany","","","","","5"
"Tenant","1994","higher education","East Germany","","","","","5"
"Main Tenant","1995","in school","West Germany","101","0.458354134665798","0.387505810274327","0.52920245905727","1"
"Main Tenant","1995","in school","East Germany","59","0.610800395667606","0.513772173535703","0.707828617799509","1"
"Main Tenant","1995","inadequately","West Germany","436","0.786848439434005","0.751850294834093","0.821846584033917","1"
"Main Tenant","1995","inadequately","East Germany","5","","","","1"
"Main Tenant","1995","general elemantary","West Germany","1356","0.558107411073253","0.537027355833745","0.579187466312762","1"
"Main Tenant","1995","general elemantary","East Germany","222","0.633091869492298","0.584886600047873","0.681297138936724","1"
"Main Tenant","1995","middle vocational","West Germany","2506","0.469565115976209","0.455298633177118","0.483831598775301","1"
"Main Tenant","1995","middle vocational","East Germany","1273","0.652568029819345","0.631986183927812","0.673149875710879","1"
"Main Tenant","1995","vocational + Abi","West Germany","264","0.605949008432814","0.558650176630062","0.653247840235565","1"
"Main Tenant","1995","vocational + Abi","East Germany","42","0.634532689570848","0.520907449290161","0.748157929851534","1"
"Main Tenant","1995","higher vocational","West Germany","230","0.387707139436877","0.346304905796635","0.429109373077118","1"
"Main Tenant","1995","higher vocational","East Germany","124","0.520809860742451","0.456664734237412","0.58495498724749","1"
"Main Tenant","1995","higher education","West Germany","452","0.456127245969128","0.424064561377099","0.488189930561156","1"
"Main Tenant","1995","higher education","East Germany","544","0.664649213858435","0.632646201119801","0.69665222659707","1"
"Nursing Home/Retirement Community","1995","vocational + Abi","East Germany","","","","","4"
"Nursing Home/Retirement Community","1995","higher vocational","West Germany","","","","","4"
"Nursing Home/Retirement Community","1995","higher vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1995","higher education","West Germany","","","","","4"
"Nursing Home/Retirement Community","1995","higher education","East Germany","","","","","4"
"Nursing Home/Retirement Community","1995","in school","West Germany","","","","","4"
"Nursing Home/Retirement Community","1995","in school","East Germany","","","","","4"
"Nursing Home/Retirement Community","1995","inadequately","West Germany","","","","","4"
"Nursing Home/Retirement Community","1995","inadequately","East Germany","","","","","4"
"Nursing Home/Retirement Community","1995","general elemantary","West Germany","","","","","4"
"Nursing Home/Retirement Community","1995","general elemantary","East Germany","","","","","4"
"Nursing Home/Retirement Community","1995","middle vocational","West Germany","","","","","4"
"Nursing Home/Retirement Community","1995","middle vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1995","vocational + Abi","West Germany","","","","","4"
"Owner","1995","in school","West Germany","87","0.522438360639994","0.45141462082168","0.593462100458308","3"
"Owner","1995","in school","East Germany","37","0.384393074154427","0.287587191404935","0.481198956903918","3"
"Owner","1995","inadequately","West Germany","69","0.169974773868502","0.137875655756425","0.20207389198058","3"
"Owner","1995","inadequately","East Germany","3","","","","3"
"Owner","1995","vocational + Abi","East Germany","24","","","","3"
"Owner","1995","higher vocational","West Germany","290","0.587000706759376","0.545161230334592","0.62884018318416","3"
"Owner","1995","higher vocational","East Germany","101","0.451000846480977","0.387109116669954","0.514892576292","3"
"Owner","1995","higher education","West Germany","449","0.515193961589217","0.483021994462915","0.54736592871552","3"
"Owner","1995","higher education","East Germany","277","0.317609914538472","0.286051997370864","0.349167831706081","3"
"Owner","1995","middle vocational","West Germany","2071","0.499062816093438","0.484769855153415","0.513355777033462","3"
"Owner","1995","middle vocational","East Germany","706","0.312076459750542","0.292048480783375","0.332104438717708","3"
"Owner","1995","vocational + Abi","West Germany","132","0.342842040647081","0.29689705877115","0.388787022523011","3"
"Owner","1995","general elemantary","West Germany","727","0.401175576118436","0.380370395712887","0.421980756523985","3"
"Owner","1995","general elemantary","East Germany","144","0.316834312928323","0.270301253623681","0.363367372232965","3"
"Sub-Tenant","1995","in school","West Germany","2","","","","2"
"Sub-Tenant","1995","in school","East Germany","1","","","","2"
"Sub-Tenant","1995","inadequately","West Germany","21","","","","2"
"Sub-Tenant","1995","inadequately","East Germany","2","","","","2"
"Sub-Tenant","1995","general elemantary","West Germany","49","0.0407170128083107","0.03232790421221","0.0491061214044113","2"
"Sub-Tenant","1995","general elemantary","East Germany","18","","","","2"
"Sub-Tenant","1995","middle vocational","West Germany","124","0.0313720679303526","0.026388928569232","0.0363552072914732","2"
"Sub-Tenant","1995","middle vocational","East Germany","77","0.0353555104301127","0.0273728301473297","0.0433381907128956","2"
"Sub-Tenant","1995","vocational + Abi","West Germany","14","","","","2"
"Sub-Tenant","1995","vocational + Abi","East Germany","3","","","","2"
"Sub-Tenant","1995","higher vocational","West Germany","12","","","","2"
"Sub-Tenant","1995","higher vocational","East Germany","8","","","","2"
"Sub-Tenant","1995","higher education","West Germany","26","","","","2"
"Sub-Tenant","1995","higher education","East Germany","15","","","","2"
"Tenant","1995","in school","West Germany","","","","","5"
"Tenant","1995","in school","East Germany","","","","","5"
"Tenant","1995","inadequately","West Germany","","","","","5"
"Tenant","1995","inadequately","East Germany","","","","","5"
"Tenant","1995","general elemantary","West Germany","","","","","5"
"Tenant","1995","general elemantary","East Germany","","","","","5"
"Tenant","1995","middle vocational","West Germany","","","","","5"
"Tenant","1995","middle vocational","East Germany","","","","","5"
"Tenant","1995","vocational + Abi","West Germany","","","","","5"
"Tenant","1995","vocational + Abi","East Germany","","","","","5"
"Tenant","1995","higher vocational","West Germany","","","","","5"
"Tenant","1995","higher vocational","East Germany","","","","","5"
"Tenant","1995","higher education","West Germany","","","","","5"
"Tenant","1995","higher education","East Germany","","","","","5"
"Main Tenant","1996","in school","West Germany","96","0.426689173253833","0.357446960405255","0.495931386102411","1"
"Main Tenant","1996","in school","East Germany","57","0.533809305258911","0.435042746212669","0.632575864305153","1"
"Main Tenant","1996","inadequately","West Germany","402","0.780159599278349","0.743226138233621","0.817093060323078","1"
"Main Tenant","1996","inadequately","East Germany","9","","","","1"
"Main Tenant","1996","general elemantary","West Germany","1249","0.543942078665309","0.522312955856655","0.565571201473964","1"
"Main Tenant","1996","general elemantary","East Germany","223","0.65995801495007","0.611818573577653","0.708097456322486","1"
"Main Tenant","1996","middle vocational","West Germany","2427","0.473645458697771","0.459233719115484","0.488057198280058","1"
"Main Tenant","1996","middle vocational","East Germany","1248","0.653876654743434","0.633212265848546","0.674541043638322","1"
"Main Tenant","1996","vocational + Abi","West Germany","255","0.60147716446436","0.553676740824665","0.649277588104055","1"
"Main Tenant","1996","vocational + Abi","East Germany","47","0.64391479228657","0.535544903732544","0.752284680840596","1"
"Main Tenant","1996","higher vocational","West Germany","232","0.393974322348176","0.352723445937016","0.435225198759335","1"
"Main Tenant","1996","higher vocational","East Germany","122","0.539597376806609","0.475321810660957","0.603872942952261","1"
"Main Tenant","1996","higher education","West Germany","449","0.465462670408407","0.433387299857677","0.497538040959137","1"
"Main Tenant","1996","higher education","East Germany","521","0.653259351131986","0.621093482087","0.685425220176973","1"
"Nursing Home/Retirement Community","1996","vocational + Abi","East Germany","","","","","4"
"Nursing Home/Retirement Community","1996","higher vocational","West Germany","","","","","4"
"Nursing Home/Retirement Community","1996","higher vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1996","higher education","West Germany","","","","","4"
"Nursing Home/Retirement Community","1996","higher education","East Germany","","","","","4"
"Nursing Home/Retirement Community","1996","in school","West Germany","","","","","4"
"Nursing Home/Retirement Community","1996","in school","East Germany","","","","","4"
"Nursing Home/Retirement Community","1996","inadequately","West Germany","","","","","4"
"Nursing Home/Retirement Community","1996","inadequately","East Germany","","","","","4"
"Nursing Home/Retirement Community","1996","general elemantary","West Germany","","","","","4"
"Nursing Home/Retirement Community","1996","general elemantary","East Germany","","","","","4"
"Nursing Home/Retirement Community","1996","middle vocational","West Germany","","","","","4"
"Nursing Home/Retirement Community","1996","middle vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1996","vocational + Abi","West Germany","","","","","4"
"Owner","1996","vocational + Abi","East Germany","27","","","","3"
"Owner","1996","in school","West Germany","96","0.554932519545711","0.485357542028393","0.624507497063029","3"
"Owner","1996","in school","East Germany","41","0.466190694741089","0.367424135694847","0.564957253787331","3"
"Owner","1996","inadequately","West Germany","63","0.177767262060012","0.143671704270275","0.211862819849748","3"
"Owner","1996","inadequately","East Germany","4","","","","3"
"Owner","1996","general elemantary","East Germany","139","0.312244133971973","0.265152808264439","0.359335459679508","3"
"Owner","1996","middle vocational","West Germany","2054","0.496682002091391","0.482250518774694","0.511113485408087","3"
"Owner","1996","higher vocational","West Germany","293","0.58049373652583","0.53883350279184","0.62215397025982","3"
"Owner","1996","higher vocational","East Germany","104","0.438759187649502","0.374766575944453","0.502751799354551","3"
"Owner","1996","higher education","West Germany","455","0.511661081627016","0.479517660755675","0.543804502498357","3"
"Owner","1996","higher education","East Germany","310","0.332418439309954","0.300580510123216","0.364256368496693","3"
"Owner","1996","general elemantary","West Germany","713","0.414691959182251","0.393297188840915","0.436086729523586","3"
"Owner","1996","middle vocational","East Germany","713","0.304220381625897","0.284236069278627","0.324204693973168","3"
"Owner","1996","vocational + Abi","West Germany","138","0.37163865772522","0.324458353305595","0.418818962144845","3"
"Sub-Tenant","1996","in school","West Germany","4","","","","2"
"Sub-Tenant","1996","in school","East Germany","","","","","2"
"Sub-Tenant","1996","inadequately","West Germany","18","","","","2"
"Sub-Tenant","1996","inadequately","East Germany","","","","","2"
"Sub-Tenant","1996","general elemantary","West Germany","75","0.0413659621524404","0.0327182631616879","0.0500136611431929","2"
"Sub-Tenant","1996","general elemantary","East Germany","10","","","","2"
"Sub-Tenant","1996","middle vocational","West Germany","130","0.0296725392108388","0.0247748970902586","0.034570181331419","2"
"Sub-Tenant","1996","middle vocational","East Germany","75","0.041902963630669","0.0331996161596064","0.0506063111017316","2"
"Sub-Tenant","1996","vocational + Abi","West Germany","10","","","","2"
"Sub-Tenant","1996","vocational + Abi","East Germany","1","","","","2"
"Sub-Tenant","1996","higher vocational","West Germany","14","","","","2"
"Sub-Tenant","1996","higher vocational","East Germany","5","","","","2"
"Sub-Tenant","1996","higher education","West Germany","25","","","","2"
"Sub-Tenant","1996","higher education","East Germany","10","","","","2"
"Tenant","1996","in school","West Germany","","","","","5"
"Tenant","1996","in school","East Germany","","","","","5"
"Tenant","1996","inadequately","West Germany","","","","","5"
"Tenant","1996","inadequately","East Germany","","","","","5"
"Tenant","1996","general elemantary","West Germany","","","","","5"
"Tenant","1996","general elemantary","East Germany","","","","","5"
"Tenant","1996","middle vocational","West Germany","","","","","5"
"Tenant","1996","middle vocational","East Germany","","","","","5"
"Tenant","1996","vocational + Abi","West Germany","","","","","5"
"Tenant","1996","vocational + Abi","East Germany","","","","","5"
"Tenant","1996","higher vocational","West Germany","","","","","5"
"Tenant","1996","higher vocational","East Germany","","","","","5"
"Tenant","1996","higher education","West Germany","","","","","5"
"Tenant","1996","higher education","East Germany","","","","","5"
"Main Tenant","1997","in school","West Germany","106","0.438062627179385","0.370309937472215","0.505815316886555","1"
"Main Tenant","1997","in school","East Germany","56","0.50233116718833","0.408894565961108","0.595767768415552","1"
"Main Tenant","1997","inadequately","West Germany","384","0.779859629113101","0.741871486710896","0.817847771515306","1"
"Main Tenant","1997","inadequately","East Germany","7","","","","1"
"Main Tenant","1997","general elemantary","West Germany","1214","0.54279962812768","0.520950600350984","0.564648655904375","1"
"Main Tenant","1997","general elemantary","East Germany","201","0.637983954532822","0.587850281249688","0.688117627815957","1"
"Main Tenant","1997","middle vocational","West Germany","2335","0.472711175655587","0.458161375928718","0.487260975382455","1"
"Main Tenant","1997","middle vocational","East Germany","1190","0.635334938935012","0.614202827664614","0.656467050205409","1"
"Main Tenant","1997","vocational + Abi","West Germany","233","0.596131470719068","0.54711875604936","0.645144185388776","1"
"Main Tenant","1997","vocational + Abi","East Germany","45","0.673733496687234","0.566181871995806","0.781285121378662","1"
"Main Tenant","1997","higher vocational","West Germany","219","0.38804035406684","0.346553548626038","0.429527159507642","1"
"Main Tenant","1997","higher vocational","East Germany","121","0.535862312612949","0.471826908511116","0.599897716714782","1"
"Main Tenant","1997","higher education","West Germany","450","0.458023941129737","0.426088242113525","0.489959640145949","1"
"Main Tenant","1997","higher education","East Germany","502","0.625626521569717","0.592898589818969","0.658354453320464","1"
"Nursing Home/Retirement Community","1997","in school","West Germany","","","","","4"
"Nursing Home/Retirement Community","1997","in school","East Germany","","","","","4"
"Nursing Home/Retirement Community","1997","inadequately","West Germany","","","","","4"
"Nursing Home/Retirement Community","1997","inadequately","East Germany","","","","","4"
"Nursing Home/Retirement Community","1997","vocational + Abi","East Germany","","","","","4"
"Nursing Home/Retirement Community","1997","higher vocational","West Germany","","","","","4"
"Nursing Home/Retirement Community","1997","higher vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1997","higher education","West Germany","","","","","4"
"Nursing Home/Retirement Community","1997","higher education","East Germany","","","","","4"
"Nursing Home/Retirement Community","1997","general elemantary","West Germany","","","","","4"
"Nursing Home/Retirement Community","1997","general elemantary","East Germany","","","","","4"
"Nursing Home/Retirement Community","1997","middle vocational","West Germany","","","","","4"
"Nursing Home/Retirement Community","1997","middle vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1997","vocational + Abi","West Germany","","","","","4"
"Owner","1997","vocational + Abi","East Germany","25","","","","3"
"Owner","1997","higher vocational","West Germany","293","0.568595947205361","0.526430748965613","0.610761145445109","3"
"Owner","1997","higher vocational","East Germany","108","0.444419631771112","0.380616764853774","0.50822249868845","3"
"Owner","1997","higher education","West Germany","471","0.532676874234449","0.500696551415074","0.564657197053823","3"
"Owner","1997","higher education","East Germany","322","0.353316453984316","0.320991621343115","0.385641286625517","3"
"Owner","1997","in school","West Germany","98","0.558050457749107","0.490233616201556","0.625867299296658","3"
"Owner","1997","in school","East Germany","51","0.469282510000277","0.376021388694864","0.562543631305691","3"
"Owner","1997","inadequately","West Germany","62","0.202217106410665","0.165392230109419","0.23904198271191","3"
"Owner","1997","inadequately","East Germany","2","","","","3"
"Owner","1997","general elemantary","West Germany","727","0.421443693241133","0.399786525802084","0.443100860680182","3"
"Owner","1997","general elemantary","East Germany","139","0.329328697274291","0.280302253917859","0.378355140630723","3"
"Owner","1997","middle vocational","West Germany","2084","0.499602922043502","0.485031408491963","0.514174435595041","3"
"Owner","1997","middle vocational","East Germany","721","0.31466448804744","0.294276708632114","0.335052267462765","3"
"Owner","1997","vocational + Abi","West Germany","143","0.374158145420904","0.325821374949173","0.422494915892635","3"
"Sub-Tenant","1997","in school","West Germany","2","","","","2"
"Sub-Tenant","1997","in school","East Germany","3","","","","2"
"Sub-Tenant","1997","inadequately","West Germany","11","","","","2"
"Sub-Tenant","1997","inadequately","East Germany","2","","","","2"
"Sub-Tenant","1997","general elemantary","West Germany","56","0.0357566786311878","0.0276128061651627","0.0439005510972129","2"
"Sub-Tenant","1997","general elemantary","East Germany","13","","","","2"
"Sub-Tenant","1997","middle vocational","West Germany","104","0.0276859023009113","0.0229043663055027","0.0324674382963199","2"
"Sub-Tenant","1997","middle vocational","East Germany","82","0.0500005730175489","0.0404320786827662","0.0595690673523316","2"
"Sub-Tenant","1997","vocational + Abi","West Germany","9","","","","2"
"Sub-Tenant","1997","vocational + Abi","East Germany","3","","","","2"
"Sub-Tenant","1997","higher vocational","West Germany","18","","","","2"
"Sub-Tenant","1997","higher vocational","East Germany","4","","","","2"
"Sub-Tenant","1997","higher education","West Germany","14","","","","2"
"Sub-Tenant","1997","higher education","East Germany","16","","","","2"
"Tenant","1997","in school","West Germany","","","","","5"
"Tenant","1997","in school","East Germany","","","","","5"
"Tenant","1997","inadequately","West Germany","","","","","5"
