"hlf0001_h","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"Main Tenant","2000","Not Employed","West Germany","2987","0.449976222598968","0.438179545902413","0.461772899295522"
"Main Tenant","2000","Not Employed","East Germany","1337","0.64945024482106","0.629677686032917","0.669222803609202"
"Main Tenant","2000","Employed","West Germany","5673","0.514886930898671","0.505774762313076","0.523999099484267"
"Main Tenant","2000","Employed","East Germany","1836","0.555457063586881","0.539312022032755","0.571602105141007"
"Sub-Tenant","2000","Not Employed","West Germany","70","0.0138804471261338","0.0111062285508536","0.0166546657014141"
"Sub-Tenant","2000","Not Employed","East Germany","33","0.0142046324602357","0.00930093705540096","0.0191083278650705"
"Sub-Tenant","2000","Employed","West Germany","180","0.0193131972544474","0.0168039897484895","0.0218224047604054"
"Sub-Tenant","2000","Employed","East Germany","67","0.0177032207819332","0.0134186771874012","0.0219877643764652"
"Owner","2000","Not Employed","West Germany","3750","0.52966812198806","0.51783284878159","0.54150339519453"
"Owner","2000","Not Employed","East Germany","860","0.330931684955651","0.311432363179788","0.350431006731513"
"Owner","2000","Employed","West Germany","5703","0.465799871846881","0.456705012213253","0.47489473148051"
"Owner","2000","Employed","East Germany","1735","0.425839199269044","0.409773610322014","0.441904788216074"
"Nursing Home/Retirement Community","2000","Not Employed","West Germany","25","","",""
"Nursing Home/Retirement Community","2000","Not Employed","East Germany","7","","",""
"Nursing Home/Retirement Community","2000","Employed","West Germany","","","",""
"Nursing Home/Retirement Community","2000","Employed","East Germany","1","","",""
"Tenant","2000","Not Employed","West Germany","","","",""
"Tenant","2000","Not Employed","East Germany","","","",""
"Tenant","2000","Employed","West Germany","","","",""
"Tenant","2000","Employed","East Germany","","","",""
"Main Tenant","2001","Not Employed","West Germany","2622","0.4477646935866","0.435202284635683","0.460327102537518"
"Main Tenant","2001","Not Employed","East Germany","1236","0.636195383745348","0.615716347245536","0.65667442024516"
"Main Tenant","2001","Employed","West Germany","5163","0.51135381552131","0.501828403089329","0.52087922795329"
"Main Tenant","2001","Employed","East Germany","1655","0.551766991991699","0.534913891684878","0.56862009229852"
"Sub-Tenant","2001","Not Employed","West Germany","60","0.0143299866797296","0.0113275449682173","0.0173324283912419"
"Sub-Tenant","2001","Not Employed","East Germany","33","0.0165501692055479","0.0111194482941532","0.0219808901169426"
"Sub-Tenant","2001","Employed","West Germany","167","0.0203736220482159","0.0176815285421065","0.0230657155543254"
"Sub-Tenant","2001","Employed","East Germany","69","0.0187216304300627","0.0141284027134668","0.0233148581466586"
"Owner","2001","Not Employed","West Germany","3309","0.529466490961525","0.516856916293042","0.542076065630007"
"Owner","2001","Not Employed","East Germany","845","0.341372348736022","0.321188020010207","0.361556677461837"
"Owner","2001","Employed","West Germany","5246","0.468220491155657","0.458711886522795","0.477729095788518"
"Owner","2001","Employed","East Germany","1620","0.428429021485342","0.411659349972715","0.445198692997968"
"Nursing Home/Retirement Community","2001","Not Employed","West Germany","28","","",""
"Nursing Home/Retirement Community","2001","Not Employed","East Germany","6","","",""
"Nursing Home/Retirement Community","2001","Employed","West Germany","3","","",""
"Nursing Home/Retirement Community","2001","Employed","East Germany","1","","",""
"Tenant","2001","Not Employed","West Germany","","","",""
"Tenant","2001","Not Employed","East Germany","","","",""
"Tenant","2001","Employed","West Germany","","","",""
"Tenant","2001","Employed","East Germany","","","",""
"Main Tenant","2002","Not Employed","West Germany","2527","0.441120526991552","0.428754355520162","0.453486698462941"
"Main Tenant","2002","Not Employed","East Germany","1233","0.63842541242999","0.617954165733765","0.658896659126214"
"Main Tenant","2002","Employed","West Germany","5116","0.507834067827565","0.498699193091186","0.516968942563943"
"Main Tenant","2002","Employed","East Germany","1609","0.556924673783091","0.540083130694385","0.573766216871796"
"Sub-Tenant","2002","Not Employed","West Germany","71","0.0143939025789407","0.0114274424106625","0.0173603627472188"
