"hlf0001_h","year","migback","n","percent","lower_confidence","upper_confidence"
"Sub-Tenant","2005","indirect migration background","30","0.0623164831848699","0.0459206133365779","0.0787123530331619"
"Owner","2005","no migration background","10013","0.494793447423657","0.48740527640065","0.502181618446664"
"Owner","2005","direct migration background","818","0.278393894272078","0.260402081702837","0.296385706841318"
"Owner","2005","indirect migration background","298","0.299412594213144","0.268347616362268","0.33047757206402"
"Nursing Home/Retirement Community","2005","no migration background","37","0.00390065554882429","0.0029795474293349","0.00482176366831369"
"Nursing Home/Retirement Community","2005","direct migration background","2","","",""
"Nursing Home/Retirement Community","2005","indirect migration background","","","",""
"Tenant","2005","no migration background","","","",""
"Tenant","2005","direct migration background","","","",""
"Tenant","2005","indirect migration background","","","",""
"Main Tenant","2006","no migration background","7777","0.482012283463328","0.474929124241279","0.489095442685376"
"Main Tenant","2006","direct migration background","1507","0.69017141434117","0.671667134268442","0.708675694413898"
"Main Tenant","2006","indirect migration background","522","0.653572884873468","0.621826400017602","0.685319369729334"
"Sub-Tenant","2006","no migration background","308","0.0208477507901367","0.0188224341200274","0.022873067460246"
"Sub-Tenant","2006","direct migration background","45","0.0254333103693613","0.0191333155225117","0.031733305216211"
"Sub-Tenant","2006","indirect migration background","16","","",""
"Owner","2006","no migration background","10987","0.493462847992605","0.486375706498175","0.500549989487036"
"Owner","2006","direct migration background","844","0.282954269982824","0.264929716284025","0.300978823681622"
"Owner","2006","indirect migration background","325","0.313489918328072","0.282538686212566","0.344441150443577"
"Nursing Home/Retirement Community","2006","no migration background","45","0.00367711775393021","0.00281910836117565","0.00453512714668477"
"Nursing Home/Retirement Community","2006","direct migration background","3","","",""
"Nursing Home/Retirement Community","2006","indirect migration background","","","",""
"Tenant","2006","no migration background","","","",""
"Tenant","2006","direct migration background","","","",""
"Tenant","2006","indirect migration background","","","",""
"Main Tenant","2007","no migration background","7310","0.471282280315357","0.463984102215961","0.478580458414753"
"Main Tenant","2007","direct migration background","1343","0.696621244251896","0.67718462069292","0.716057867810873"
"Main Tenant","2007","indirect migration background","504","0.64702638139809","0.614804428794798","0.679248334001381"
"Sub-Tenant","2007","no migration background","286","0.0225965831570384","0.0204237805060394","0.0247693858080375"
"Sub-Tenant","2007","direct migration background","36","0.0219323964223717","0.0157400197798409","0.0281247730649025"
"Sub-Tenant","2007","indirect migration background","27","","",""
"Owner","2007","no migration background","10329","0.501980654101915","0.494670465770566","0.509290842433264"
"Owner","2007","direct migration background","764","0.277307657257748","0.25838040628718","0.296234908228316"
"Owner","2007","indirect migration background","314","0.31130581398846","0.280086269602952","0.342525358373967"
"Nursing Home/Retirement Community","2007","no migration background","46","0.00414048242568965","0.00320165345895671","0.0050793113924226"
"Nursing Home/Retirement Community","2007","direct migration background","6","","",""
"Nursing Home/Retirement Community","2007","indirect migration background","","","",""
"Tenant","2007","no migration background","","","",""
"Tenant","2007","direct migration background","","","",""
"Tenant","2007","indirect migration background","","","",""
"Main Tenant","2008","no migration background","6796","0.460909927114013","0.453402668674441","0.468417185553585"
"Main Tenant","2008","direct migration background","1179","0.688054986450417","0.667332203708113","0.708777769192721"
"Main Tenant","2008","indirect migration background","485","0.637219476576624","0.60450985293616","0.669929100217087"
"Sub-Tenant","2008","no migration background","283","0.0241865189573583","0.0218727885249161","0.0265002493898004"
"Sub-Tenant","2008","direct migration background","31","0.0173858519086882","0.0115394728350109","0.0232322309823656"
"Sub-Tenant","2008","indirect migration background","20","","",""
"Owner","2008","no migration background","9812","0.510366904766405","0.502838216706424","0.517895592826386"
"Owner","2008","direct migration background","706","0.291832116716491","0.271497680649288","0.312166552783694"
"Owner","2008","indirect migration background","325","0.33308220855445","0.301017971229884","0.365146445879017"
"Nursing Home/Retirement Community","2008","no migration background","45","0.00453664916222385","0.00352455037675016","0.00554874794769754"
"Nursing Home/Retirement Community","2008","direct migration background","4","","",""
"Nursing Home/Retirement Community","2008","indirect migration background","","","",""
"Tenant","2008","no migration background","","","",""
"Tenant","2008","direct migration background","","","",""
"Tenant","2008","indirect migration background","","","",""
"Main Tenant","2009","no migration background","6398","0.460818734535117","0.45307816950763","0.468559299562604"
"Main Tenant","2009","direct migration background","994","0.657815967244491","0.63510199140455","0.680529943084431"
"Main Tenant","2009","indirect migration background","441","0.625175581117483","0.590691783096134","0.659659379138833"
"Sub-Tenant","2009","no migration background","293","0.023122122421173","0.0207882657106865","0.0254559791316594"
"Sub-Tenant","2009","direct migration background","39","0.0287914836522473","0.020785782992806","0.0367971843116886"
"Sub-Tenant","2009","indirect migration background","15","","",""
"Owner","2009","no migration background","9200","0.512028905310675","0.504266711343959","0.519791099277391"
"Owner","2009","direct migration background","640","0.311518666973541","0.289346956102212","0.33369037784487"
