"hlf0001_h","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Nursing Home/Retirement Community","1992","Not Working","Single parent ","","","","","4"
"Nursing Home/Retirement Community","1992","Not Working","Couple + C. GT 16 ","","","","","4"
"Nursing Home/Retirement Community","1992","Not Working","Couple + C. LE and GT 16","","","","","4"
"Owner","1992","Full Time","1-pers.-HH","82","0.164368751941402","0.133052201501997","0.195685302380806","3"
"Owner","1992","Full Time","(Married) couple without C. ","395","0.32907789818648","0.304975676872915","0.353180119500045","3"
"Owner","1992","Full Time","Single parent ","92","0.412252573035754","0.355985868280615","0.468519277790893","3"
"Owner","1992","Full Time","Couple + C. LE 16 ","667","0.42372481769728","0.401644644976196","0.445804990418365","3"
"Owner","1992","Full Time","Couple + C. GT 16 ","709","0.633127742928468","0.607672090716081","0.658583395140854","3"
"Owner","1992","Full Time","Couple + C. LE and GT 16","237","0.469765348094534","0.429996322887495","0.509534373301572","3"
"Owner","1992","Not Working","Couple + C. GT 16 ","444","0.664547693749448","0.631850513490292","0.697244874008604","3"
"Owner","1992","Part Time","1-pers.-HH","13","","","","3"
"Owner","1992","Part Time","Couple + C. GT 16 ","311","0.64931540993221","0.609828526604426","0.688802293259994","3"
"Owner","1992","Part Time","Couple + C. LE and GT 16","108","0.523019022898271","0.46159468205544","0.584443363741102","3"
"Owner","1992","Not Working","(Married) couple without C. ","653","0.518551519961085","0.492103069722398","0.544999970199772","3"
"Owner","1992","Not Working","Single parent ","68","0.388943790946503","0.318503169035086","0.459384412857919","3"
"Owner","1992","Not Working","Couple + C. LE 16 ","202","0.414375640029432","0.374490974165185","0.454260305893679","3"
"Owner","1992","Not Working","Couple + C. LE and GT 16","117","0.48187652750452","0.425707640413286","0.538045414595753","3"
"Owner","1992","Part Time","(Married) couple without C. ","166","0.433264210540208","0.387582158813325","0.478946262267091","3"
"Owner","1992","Part Time","Single parent ","42","0.30217263768222","0.231893288350265","0.372451987014175","3"
"Owner","1992","Part Time","Couple + C. LE 16 ","292","0.425532783824135","0.3910117240975","0.46005384355077","3"
"Owner","1992","Not Working","1-pers.-HH","169","0.238231601401325","0.20628321706024","0.270179985742411","3"
"Sub-Tenant","1992","Full Time","1-pers.-HH","42","0.0681138582932178","0.0468248162046156","0.08940290038182","2"
"Sub-Tenant","1992","Full Time","(Married) couple without C. ","42","0.0327936391850318","0.0236582712818609","0.0419290070882026","2"
"Sub-Tenant","1992","Full Time","Single parent ","8","","","","2"
"Sub-Tenant","1992","Part Time","1-pers.-HH","20","","","","2"
"Sub-Tenant","1992","Part Time","(Married) couple without C. ","14","","","","2"
"Sub-Tenant","1992","Part Time","Couple + C. GT 16 ","8","","","","2"
"Sub-Tenant","1992","Not Working","Single parent ","6","","","","2"
"Sub-Tenant","1992","Full Time","Couple + C. LE 16 ","51","0.0275868711964463","0.0202683693352586","0.034905373057634","2"
"Sub-Tenant","1992","Part Time","Couple + C. LE and GT 16","","","","","2"
"Sub-Tenant","1992","Full Time","Couple + C. GT 16 ","18","","","","2"
"Sub-Tenant","1992","Full Time","Couple + C. LE and GT 16","6","","","","2"
"Sub-Tenant","1992","Part Time","Single parent ","5","","","","2"
"Sub-Tenant","1992","Part Time","Couple + C. LE 16 ","25","","","","2"
"Sub-Tenant","1992","Not Working","1-pers.-HH","23","","","","2"
"Sub-Tenant","1992","Not Working","(Married) couple without C. ","17","","","","2"
"Sub-Tenant","1992","Not Working","Couple + C. LE 16 ","15","","","","2"
"Sub-Tenant","1992","Not Working","Couple + C. GT 16 ","14","","","","2"
"Sub-Tenant","1992","Not Working","Couple + C. LE and GT 16","","","","","2"
"Tenant","1992","Full Time","1-pers.-HH","","","","","5"
"Tenant","1992","Full Time","(Married) couple without C. ","1","","","","5"
"Tenant","1992","Part Time","Couple + C. LE 16 ","1","","","","5"
"Tenant","1992","Full Time","Single parent ","","","","","5"
"Tenant","1992","Full Time","Couple + C. LE 16 ","1","","","","5"
"Tenant","1992","Full Time","Couple + C. GT 16 ","","","","","5"
"Tenant","1992","Full Time","Couple + C. LE and GT 16","","","","","5"
"Tenant","1992","Part Time","1-pers.-HH","","","","","5"
"Tenant","1992","Part Time","(Married) couple without C. ","1","","","","5"
"Tenant","1992","Part Time","Single parent ","","","","","5"
"Tenant","1992","Part Time","Couple + C. GT 16 ","","","","","5"
"Tenant","1992","Part Time","Couple + C. LE and GT 16","","","","","5"
"Tenant","1992","Not Working","1-pers.-HH","2","","","","5"
"Tenant","1992","Not Working","(Married) couple without C. ","2","","","","5"
"Tenant","1992","Not Working","Single parent ","","","","","5"
"Tenant","1992","Not Working","Couple + C. LE 16 ","","","","","5"
"Tenant","1992","Not Working","Couple + C. GT 16 ","","","","","5"
"Tenant","1992","Not Working","Couple + C. LE and GT 16","","","","","5"
"Main Tenant","1993","Full Time","1-pers.-HH","430","0.76844376445203","0.733568764238713","0.803318764665347","1"
"Main Tenant","1993","Full Time","(Married) couple without C. ","955","0.616189708682824","0.590948865632496","0.641430551733152","1"
"Main Tenant","1993","Full Time","Single parent ","163","0.551419066836427","0.489891105593262","0.612947028079593","1"
"Main Tenant","1993","Full Time","Couple + C. LE 16 ","1103","0.534682919569123","0.511517573959253","0.557848265178992","1"
"Main Tenant","1993","Full Time","Couple + C. GT 16 ","594","0.347738236351507","0.321545346637973","0.373931126065042","1"
"Main Tenant","1993","Full Time","Couple + C. LE and GT 16","366","0.517876833656042","0.47806037360143","0.557693293710653","1"
"Main Tenant","1993","Part Time","1-pers.-HH","112","0.810034069428955","0.745285819104296","0.874782319753613","1"
"Main Tenant","1993","Part Time","(Married) couple without C. ","265","0.503846326186558","0.457339815120396","0.55035283725272","1"
"Main Tenant","1993","Part Time","Single parent ","118","0.718065854883407","0.648129095456075","0.78800261431074","1"
"Main Tenant","1993","Part Time","Couple + C. LE 16 ","419","0.491936632829939","0.455940776462731","0.527932489197147","1"
"Main Tenant","1993","Part Time","Couple + C. GT 16 ","248","0.339096402098514","0.299852441043243","0.378340363153785","1"
"Main Tenant","1993","Not Working","(Married) couple without C. ","762","0.461360669002252","0.435842446435595","0.486878891568909","1"
"Main Tenant","1993","Not Working","Single parent ","126","0.607386444323621","0.539367374495929","0.675405514151313","1"
"Main Tenant","1993","Not Working","Couple + C. LE 16 ","400","0.587369828276994","0.547977760978802","0.626761895575186","1"
"Main Tenant","1993","Part Time","Couple + C. LE and GT 16","160","0.52717101297692","0.466601281950833","0.587740744003007","1"
"Main Tenant","1993","Not Working","1-pers.-HH","507","0.696177073559924","0.66239562844762","0.729958518672229","1"
"Main Tenant","1993","Not Working","Couple + C. GT 16 ","367","0.346312573524834","0.312640519879456","0.379984627170212","1"
"Main Tenant","1993","Not Working","Couple + C. LE and GT 16","189","0.471889730962664","0.417616087168201","0.526163374757128","1"
"Nursing Home/Retirement Community","1993","Full Time","(Married) couple without C. ","","","","","4"
"Nursing Home/Retirement Community","1993","Full Time","Single parent ","","","","","4"
"Nursing Home/Retirement Community","1993","Full Time","1-pers.-HH","","","","","4"
"Nursing Home/Retirement Community","1993","Full Time","Couple + C. LE 16 ","","","","","4"
"Nursing Home/Retirement Community","1993","Full Time","Couple + C. GT 16 ","","","","","4"
"Nursing Home/Retirement Community","1993","Full Time","Couple + C. LE and GT 16","","","","","4"
"Nursing Home/Retirement Community","1993","Part Time","1-pers.-HH","","","","","4"
"Nursing Home/Retirement Community","1993","Part Time","(Married) couple without C. ","","","","","4"
"Nursing Home/Retirement Community","1993","Part Time","Single parent ","","","","","4"
"Nursing Home/Retirement Community","1993","Part Time","Couple + C. LE 16 ","","","","","4"
"Nursing Home/Retirement Community","1993","Part Time","Couple + C. GT 16 ","","","","","4"
"Nursing Home/Retirement Community","1993","Part Time","Couple + C. LE and GT 16","","","","","4"
"Nursing Home/Retirement Community","1993","Not Working","1-pers.-HH","","","","","4"
"Nursing Home/Retirement Community","1993","Not Working","Couple + C. LE 16 ","","","","","4"
"Nursing Home/Retirement Community","1993","Not Working","(Married) couple without C. ","","","","","4"
"Nursing Home/Retirement Community","1993","Not Working","Single parent ","","","","","4"
"Nursing Home/Retirement Community","1993","Not Working","Couple + C. GT 16 ","","","","","4"
"Nursing Home/Retirement Community","1993","Not Working","Couple + C. LE and GT 16","","","","","4"
"Owner","1993","Full Time","(Married) couple without C. ","417","0.355740508223769","0.330892853609028","0.380588162838511","3"
"Owner","1993","Full Time","1-pers.-HH","89","0.163744586296976","0.133150824599201","0.194338347994751","3"
"Owner","1993","Full Time","Single parent ","80","0.410447876880218","0.349592165868111","0.471303587892324","3"
"Owner","1993","Full Time","Couple + C. LE 16 ","635","0.438426896582794","0.415382365494474","0.461471427671114","3"
"Owner","1993","Full Time","Couple + C. GT 16 ","659","0.638480770600229","0.612057544388139","0.66490399681232","3"
"Owner","1993","Full Time","Couple + C. LE and GT 16","235","0.478970438979501","0.439163760502822","0.518777117456179","3"
"Owner","1993","Part Time","1-pers.-HH","17","","","","3"
"Owner","1993","Not Working","Couple + C. GT 16 ","384","0.638136308464096","0.604128422041272","0.672144194886919","3"
"Owner","1993","Part Time","(Married) couple without C. ","162","0.460275932688952","0.413915056891225","0.506636808486679","3"
"Owner","1993","Part Time","Single parent ","36","0.256733764587647","0.18883478843502","0.324632740740274","3"
"Owner","1993","Part Time","Couple + C. LE 16 ","290","0.461952987519564","0.426056827773764","0.497849147265365","3"
"Owner","1993","Part Time","Couple + C. GT 16 ","306","0.648530155333253","0.60895238635289","0.688107924313616","3"
"Owner","1993","Part Time","Couple + C. LE and GT 16","101","0.47282898702308","0.412259255996993","0.533398718049167","3"
"Owner","1993","Not Working","(Married) couple without C. ","682","0.524872034656449","0.499308958171209","0.550435111141689","3"
"Owner","1993","Not Working","Single parent ","66","0.352321129013952","0.285783900816465","0.418858357211439","3"
"Owner","1993","Not Working","Couple + C. LE 16 ","188","0.385375419272214","0.346433313372959","0.424317525171468","3"
"Owner","1993","Not Working","Couple + C. LE and GT 16","136","0.528110269037336","0.473836625242872","0.582383912831799","3"
"Owner","1993","Not Working","1-pers.-HH","172","0.247269308097616","0.215579981302322","0.278958634892911","3"
"Sub-Tenant","1993","Full Time","1-pers.-HH","43","0.0678116492509937","0.0470250270663354","0.0885982714356519","2"
"Sub-Tenant","1993","Full Time","(Married) couple without C. ","54","0.0280697830934068","0.0194969296609377","0.0366426365258758","2"
"Sub-Tenant","1993","Full Time","Single parent ","8","","","","2"
"Sub-Tenant","1993","Full Time","Couple + C. LE 16 ","43","0.0268901838480839","0.019377520226874","0.0344028474692938","2"
"Sub-Tenant","1993","Full Time","Couple + C. GT 16 ","17","","","","2"
"Sub-Tenant","1993","Full Time","Couple + C. LE and GT 16","4","","","","2"
"Sub-Tenant","1993","Part Time","1-pers.-HH","12","","","","2"
"Sub-Tenant","1993","Part Time","(Married) couple without C. ","17","","","","2"
"Sub-Tenant","1993","Part Time","Couple + C. GT 16 ","5","","","","2"
"Sub-Tenant","1993","Part Time","Couple + C. LE and GT 16","","","","","2"
"Sub-Tenant","1993","Not Working","Single parent ","6","","","","2"
"Sub-Tenant","1993","Part Time","Single parent ","5","","","","2"
"Sub-Tenant","1993","Part Time","Couple + C. LE 16 ","32","0.0461103796504965","0.031010016299944","0.061210743001049","2"
"Sub-Tenant","1993","Not Working","1-pers.-HH","33","0.0565536183424593","0.0395869369670265","0.0735202997178922","2"
"Sub-Tenant","1993","Not Working","(Married) couple without C. ","22","","","","2"
"Sub-Tenant","1993","Not Working","Couple + C. LE 16 ","12","","","","2"
"Sub-Tenant","1993","Not Working","Couple + C. GT 16 ","16","","","","2"
"Sub-Tenant","1993","Not Working","Couple + C. LE and GT 16","","","","","2"
"Tenant","1993","Full Time","1-pers.-HH","","","","","5"
"Tenant","1993","Full Time","(Married) couple without C. ","","","","","5"
"Tenant","1993","Full Time","Single parent ","","","","","5"
"Tenant","1993","Full Time","Couple + C. LE 16 ","","","","","5"
"Tenant","1993","Full Time","Couple + C. GT 16 ","","","","","5"
"Tenant","1993","Full Time","Couple + C. LE and GT 16","","","","","5"
"Tenant","1993","Part Time","Couple + C. LE 16 ","","","","","5"
"Tenant","1993","Part Time","1-pers.-HH","","","","","5"
"Tenant","1993","Part Time","(Married) couple without C. ","","","","","5"
"Tenant","1993","Part Time","Single parent ","","","","","5"
"Tenant","1993","Part Time","Couple + C. GT 16 ","","","","","5"
"Tenant","1993","Part Time","Couple + C. LE and GT 16","","","","","5"
"Tenant","1993","Not Working","1-pers.-HH","","","","","5"
"Tenant","1993","Not Working","(Married) couple without C. ","","","","","5"
"Tenant","1993","Not Working","Single parent ","","","","","5"
"Tenant","1993","Not Working","Couple + C. LE 16 ","","","","","5"
"Tenant","1993","Not Working","Couple + C. GT 16 ","","","","","5"
"Tenant","1993","Not Working","Couple + C. LE and GT 16","","","","","5"
"Main Tenant","1994","Full Time","1-pers.-HH","411","0.759718184613686","0.723715393426165","0.795720975801207","1"
"Main Tenant","1994","Full Time","(Married) couple without C. ","952","0.601168601428128","0.575789695974356","0.626547506881901","1"
"Main Tenant","1994","Full Time","Single parent ","161","0.565037671073786","0.503212669132647","0.626862673014926","1"
"Main Tenant","1994","Full Time","Couple + C. LE 16 ","1005","0.525466996209281","0.501560440124977","0.549373552293586","1"
"Main Tenant","1994","Full Time","Couple + C. GT 16 ","554","0.359370572200078","0.331734996949373","0.387006147450784","1"
"Main Tenant","1994","Full Time","Couple + C. LE and GT 16","334","0.496659529869749","0.455933777060879","0.537385282678619","1"
"Main Tenant","1994","Part Time","1-pers.-HH","107","0.777491633160326","0.708838625251944","0.846144641068707","1"
"Main Tenant","1994","Part Time","(Married) couple without C. ","277","0.539300425183763","0.493348558242878","0.585252292124647","1"
"Main Tenant","1994","Part Time","Single parent ","103","0.77097276773193","0.699288441617622","0.842657093846238","1"
"Main Tenant","1994","Part Time","Couple + C. LE 16 ","409","0.515409793834825","0.478334548854702","0.552485038814949","1"
"Main Tenant","1994","Part Time","Couple + C. GT 16 ","223","0.332862253846417","0.291802828763171","0.373921678929662","1"
"Main Tenant","1994","Not Working","(Married) couple without C. ","798","0.461850469456715","0.436812430147362","0.486888508766068","1"
"Main Tenant","1994","Part Time","Couple + C. LE and GT 16","146","0.440505676525878","0.381723399311025","0.499287953740731","1"
"Main Tenant","1994","Not Working","1-pers.-HH","509","0.68008078125278","0.646244153212954","0.713917409292605","1"
"Main Tenant","1994","Not Working","Single parent ","125","0.570799858647041","0.502373737979205","0.639225979314878","1"
"Main Tenant","1994","Not Working","Couple + C. LE and GT 16","183","0.454959912316132","0.401151406719587","0.508768417912678","1"
"Main Tenant","1994","Not Working","Couple + C. LE 16 ","415","0.551182152467478","0.512975390800437","0.58938891413452","1"
"Main Tenant","1994","Not Working","Couple + C. GT 16 ","386","0.353160470702798","0.32008201495068","0.386238926454917","1"
"Nursing Home/Retirement Community","1994","Full Time","(Married) couple without C. ","","","","","4"
"Nursing Home/Retirement Community","1994","Full Time","1-pers.-HH","","","","","4"
"Nursing Home/Retirement Community","1994","Full Time","Single parent ","","","","","4"
"Nursing Home/Retirement Community","1994","Full Time","Couple + C. LE 16 ","","","","","4"
"Nursing Home/Retirement Community","1994","Full Time","Couple + C. GT 16 ","","","","","4"
"Nursing Home/Retirement Community","1994","Full Time","Couple + C. LE and GT 16","","","","","4"
"Nursing Home/Retirement Community","1994","Part Time","(Married) couple without C. ","","","","","4"
"Nursing Home/Retirement Community","1994","Part Time","1-pers.-HH","","","","","4"
"Nursing Home/Retirement Community","1994","Part Time","Single parent ","","","","","4"
"Nursing Home/Retirement Community","1994","Part Time","Couple + C. LE 16 ","","","","","4"
"Nursing Home/Retirement Community","1994","Part Time","Couple + C. GT 16 ","","","","","4"
"Nursing Home/Retirement Community","1994","Part Time","Couple + C. LE and GT 16","","","","","4"
"Nursing Home/Retirement Community","1994","Not Working","Couple + C. LE 16 ","","","","","4"
"Nursing Home/Retirement Community","1994","Not Working","1-pers.-HH","","","","","4"
"Nursing Home/Retirement Community","1994","Not Working","(Married) couple without C. ","","","","","4"
"Nursing Home/Retirement Community","1994","Not Working","Single parent ","","","","","4"
"Nursing Home/Retirement Community","1994","Not Working","Couple + C. LE and GT 16","","","","","4"
"Nursing Home/Retirement Community","1994","Not Working","Couple + C. GT 16 ","","","","","4"
"Owner","1994","Full Time","1-pers.-HH","86","0.169558451331171","0.137938316757123","0.201178585905218","3"
"Owner","1994","Full Time","(Married) couple without C. ","427","0.369919844442899","0.344897281635524","0.394942407250274","3"
"Owner","1994","Full Time","Single parent ","79","0.402184537505824","0.341034620615538","0.463334454396111","3"
"Owner","1994","Full Time","Couple + C. LE 16 ","638","0.460522754576344","0.436659855944954","0.484385653207735","3"
"Owner","1994","Full Time","Couple + C. GT 16 ","593","0.625654324698854","0.597780443360699","0.653528206037009","3"
"Owner","1994","Full Time","Couple + C. LE and GT 16","238","0.496456918553206","0.455731279348795","0.537182557757617","3"
"Owner","1994","Part Time","1-pers.-HH","18","","","","3"
"Owner","1994","Part Time","(Married) couple without C. ","150","0.413646587989784","0.368244761448235","0.459048414531333","3"
"Owner","1994","Part Time","Single parent ","27","","","","3"
"Owner","1994","Part Time","Couple + C. LE 16 ","273","0.463752069071817","0.426756805601583","0.500747332542051","3"
"Owner","1994","Part Time","Couple + C. GT 16 ","279","0.660937492077314","0.619690440314628","0.70218454384","3"
"Owner","1994","Not Working","(Married) couple without C. ","702","0.523990364385167","0.498908046839169","0.549072681931164","3"
"Owner","1994","Not Working","Single parent ","72","0.381417572867392","0.314267080629515","0.448568065105269","3"
"Owner","1994","Not Working","Couple + C. LE 16 ","216","0.425551304339264","0.387570935012445","0.463531673666083","3"
"Owner","1994","Not Working","Couple + C. GT 16 ","409","0.640277902646918","0.607063325934289","0.673492479359548","3"
"Owner","1994","Not Working","Couple + C. LE and GT 16","144","0.542592834818027","0.488761065905023","0.59642460373103","3"
"Owner","1994","Part Time","Couple + C. LE and GT 16","126","0.555866287599844","0.49703412031903","0.614698454880658","3"
"Owner","1994","Not Working","1-pers.-HH","184","0.256473131110211","0.224795264078259","0.288150998142163","3"
"Sub-Tenant","1994","Full Time","1-pers.-HH","44","0.0707233640551428","0.0491208934572144","0.0923258346530711","2"
"Sub-Tenant","1994","Full Time","(Married) couple without C. ","51","0.0289115541289724","0.0202270468295596","0.0375960614283852","2"
"Sub-Tenant","1994","Full Time","Single parent ","7","","","","2"
"Sub-Tenant","1994","Full Time","Couple + C. LE 16 ","33","0.0140102492143744","0.00838333603253872","0.01963716239621","2"
"Sub-Tenant","1994","Full Time","Couple + C. GT 16 ","11","","","","2"
"Sub-Tenant","1994","Full Time","Couple + C. LE and GT 16","7","","","","2"
"Sub-Tenant","1994","Part Time","1-pers.-HH","16","","","","2"
"Sub-Tenant","1994","Part Time","Couple + C. LE 16 ","16","","","","2"
"Sub-Tenant","1994","Part Time","Couple + C. GT 16 ","4","","","","2"
"Sub-Tenant","1994","Not Working","(Married) couple without C. ","23","","","","2"
"Sub-Tenant","1994","Not Working","Single parent ","4","","","","2"
"Sub-Tenant","1994","Not Working","Couple + C. LE and GT 16","2","","","","2"
"Sub-Tenant","1994","Part Time","(Married) couple without C. ","25","","","","2"
"Sub-Tenant","1994","Part Time","Single parent ","2","","","","2"
"Sub-Tenant","1994","Part Time","Couple + C. LE and GT 16","2","","","","2"
"Sub-Tenant","1994","Not Working","1-pers.-HH","37","0.0634460876370094","0.045763106829815","0.0811290684442038","2"
"Sub-Tenant","1994","Not Working","Couple + C. LE 16 ","20","","","","2"
"Sub-Tenant","1994","Not Working","Couple + C. GT 16 ","7","","","","2"
"Tenant","1994","Full Time","1-pers.-HH","","","","","5"
"Tenant","1994","Full Time","(Married) couple without C. ","","","","","5"
"Tenant","1994","Full Time","Single parent ","","","","","5"
"Tenant","1994","Full Time","Couple + C. LE 16 ","","","","","5"
"Tenant","1994","Full Time","Couple + C. GT 16 ","","","","","5"
"Tenant","1994","Full Time","Couple + C. LE and GT 16","","","","","5"
"Tenant","1994","Part Time","Couple + C. LE 16 ","","","","","5"
"Tenant","1994","Part Time","1-pers.-HH","","","","","5"
"Tenant","1994","Part Time","(Married) couple without C. ","","","","","5"
"Tenant","1994","Part Time","Single parent ","","","","","5"
"Tenant","1994","Part Time","Couple + C. GT 16 ","","","","","5"
"Tenant","1994","Part Time","Couple + C. LE and GT 16","","","","","5"
"Tenant","1994","Not Working","1-pers.-HH","","","","","5"
"Tenant","1994","Not Working","(Married) couple without C. ","","","","","5"
"Tenant","1994","Not Working","Single parent ","","","","","5"
"Tenant","1994","Not Working","Couple + C. LE 16 ","","","","","5"
"Tenant","1994","Not Working","Couple + C. GT 16 ","","","","","5"
"Tenant","1994","Not Working","Couple + C. LE and GT 16","","","","","5"
"Main Tenant","1995","Full Time","1-pers.-HH","404","0.7740130178617","0.738134980044693","0.809891055678707","1"
"Main Tenant","1995","Full Time","(Married) couple without C. ","933","0.553683370083726","0.528245232700658","0.579121507466794","1"
"Main Tenant","1995","Full Time","Single parent ","150","0.562222054347256","0.497966418110846","0.626477690583665","1"
"Main Tenant","1995","Full Time","Couple + C. LE 16 ","971","0.486237936239103","0.462106958253595","0.510368914224611","1"
"Main Tenant","1995","Full Time","Couple + C. GT 16 ","541","0.353963589034412","0.326253184134109","0.381673993934715","1"
"Main Tenant","1995","Full Time","Couple + C. LE and GT 16","327","0.489146843848506","0.448429777711685","0.529863909985327","1"
"Main Tenant","1995","Part Time","1-pers.-HH","149","0.763514554272403","0.703565780337852","0.823463328206954","1"
"Main Tenant","1995","Part Time","(Married) couple without C. ","329","0.572714913906822","0.529569909714899","0.615859918098746","1"
"Main Tenant","1995","Part Time","Single parent ","115","0.64972963482629","0.576040545655592","0.723418723996988","1"
"Main Tenant","1995","Part Time","Couple + C. LE 16 ","460","0.50813122510766","0.473001814697868","0.543260635517452","1"
"Main Tenant","1995","Part Time","Couple + C. GT 16 ","254","0.338292630253523","0.298238717236846","0.3783465432702","1"
"Main Tenant","1995","Part Time","Couple + C. LE and GT 16","145","0.427561007034354","0.368659406539514","0.486462607529195","1"
"Main Tenant","1995","Not Working","1-pers.-HH","510","0.657768096541423","0.623698530354551","0.691837662728295","1"
"Main Tenant","1995","Not Working","(Married) couple without C. ","850","0.472237008543223","0.447423831728593","0.497050185357852","1"
"Main Tenant","1995","Not Working","Single parent ","149","0.569731738737312","0.505181369005498","0.634282108469125","1"
"Main Tenant","1995","Not Working","Couple + C. LE and GT 16","237","0.503509917413152","0.454512025105324","0.55250780972098","1"
"Main Tenant","1995","Not Working","Couple + C. GT 16 ","405","0.344082687166305","0.311704592093606","0.376460782239003","1"
"Main Tenant","1995","Not Working","Couple + C. LE 16 ","481","0.543066316388993","0.50697974920704","0.579152883570946","1"
"Nursing Home/Retirement Community","1995","Full Time","1-pers.-HH","","","","","4"
"Nursing Home/Retirement Community","1995","Full Time","(Married) couple without C. ","","","","","4"
"Nursing Home/Retirement Community","1995","Full Time","Couple + C. GT 16 ","","","","","4"
"Nursing Home/Retirement Community","1995","Full Time","Couple + C. LE and GT 16","","","","","4"
"Nursing Home/Retirement Community","1995","Full Time","Single parent ","","","","","4"
"Nursing Home/Retirement Community","1995","Full Time","Couple + C. LE 16 ","","","","","4"
"Nursing Home/Retirement Community","1995","Part Time","1-pers.-HH","","","","","4"
"Nursing Home/Retirement Community","1995","Part Time","(Married) couple without C. ","","","","","4"
"Nursing Home/Retirement Community","1995","Part Time","Single parent ","","","","","4"
"Nursing Home/Retirement Community","1995","Part Time","Couple + C. LE 16 ","","","","","4"
"Nursing Home/Retirement Community","1995","Part Time","Couple + C. GT 16 ","","","","","4"
"Nursing Home/Retirement Community","1995","Part Time","Couple + C. LE and GT 16","","","","","4"
"Nursing Home/Retirement Community","1995","Not Working","(Married) couple without C. ","","","","","4"
"Nursing Home/Retirement Community","1995","Not Working","Single parent ","","","","","4"
"Nursing Home/Retirement Community","1995","Not Working","Couple + C. LE 16 ","","","","","4"
"Nursing Home/Retirement Community","1995","Not Working","1-pers.-HH","","","","","4"
"Nursing Home/Retirement Community","1995","Not Working","Couple + C. GT 16 ","","","","","4"
"Nursing Home/Retirement Community","1995","Not Working","Couple + C. LE and GT 16","","","","","4"
"Owner","1995","Full Time","(Married) couple without C. ","473","0.399912993694036","0.374844807993287","0.424981179394785","3"
"Owner","1995","Full Time","Single parent ","71","0.398179607360579","0.334777556426193","0.461581658294964","3"
"Owner","1995","Full Time","1-pers.-HH","75","0.152837654216324","0.121969451522347","0.183705856910301","3"
"Owner","1995","Full Time","Couple + C. LE 16 ","643","0.49706925123514","0.472929542205232","0.521208960265048","3"
"Owner","1995","Full Time","Couple + C. GT 16 ","588","0.630002934522833","0.602025653528034","0.657980215517633","3"
"Owner","1995","Full Time","Couple + C. LE and GT 16","243","0.503219717509991","0.462493900175679","0.543945534844302","3"
"Owner","1995","Part Time","1-pers.-HH","21","","","","3"
"Owner","1995","Part Time","(Married) couple without C. ","164","0.401264446785778","0.358514530702361","0.444014362869196","3"
"Owner","1995","Part Time","Single parent ","45","0.349605939217888","0.275949140873782","0.423262737561995","3"
"Owner","1995","Part Time","Couple + C. LE 16 ","299","0.471069357984272","0.435994163820365","0.506144552148178","3"
"Owner","1995","Not Working","(Married) couple without C. ","671","0.504576420346047","0.479725944652585","0.529426896039508","3"
"Owner","1995","Not Working","Single parent ","72","0.382521319885062","0.319158765375549","0.445883874394576","3"
"Owner","1995","Not Working","Couple + C. GT 16 ","408","0.645015270736296","0.612402689788779","0.677627851683814","3"
"Owner","1995","Not Working","Couple + C. LE and GT 16","160","0.493522511403561","0.444527523757174","0.542517499049947","3"
"Owner","1995","Part Time","Couple + C. GT 16 ","276","0.649981244642218","0.609601667485257","0.69036082179918","3"
"Owner","1995","Part Time","Couple + C. LE and GT 16","123","0.56759700452257","0.5086138711518","0.626580137893341","3"
"Owner","1995","Not Working","1-pers.-HH","196","0.286319858159342","0.253859934350307","0.318779781968378","3"
"Owner","1995","Not Working","Couple + C. LE 16 ","226","0.419221501674372","0.383476148705613","0.45496685464313","3"
"Sub-Tenant","1995","Full Time","1-pers.-HH","43","0.0731493279219761","0.0508124282132923","0.0954862276306599","2"
"Sub-Tenant","1995","Full Time","(Married) couple without C. ","61","0.0464036362222383","0.0356391988829211","0.0571680735615555","2"
"Sub-Tenant","1995","Full Time","Couple + C. GT 16 ","15","","","","2"
"Sub-Tenant","1995","Full Time","Couple + C. LE and GT 16","9","","","","2"
"Sub-Tenant","1995","Part Time","1-pers.-HH","23","","","","2"
"Sub-Tenant","1995","Part Time","Couple + C. LE 16 ","19","","","","2"
"Sub-Tenant","1995","Part Time","Couple + C. GT 16 ","6","","","","2"
"Sub-Tenant","1995","Not Working","(Married) couple without C. ","34","0.0231865711107309","0.0157064785927182","0.0306666636287435","2"
"Sub-Tenant","1995","Not Working","Single parent ","5","","","","2"
"Sub-Tenant","1995","Not Working","Couple + C. LE and GT 16","3","","","","2"
"Sub-Tenant","1995","Full Time","Single parent ","8","","","","2"
"Sub-Tenant","1995","Full Time","Couple + C. LE 16 ","34","0.0166928125257572","0.0105072549725972","0.0228783700789173","2"
"Sub-Tenant","1995","Part Time","(Married) couple without C. ","12","","","","2"
"Sub-Tenant","1995","Part Time","Single parent ","1","","","","2"
"Sub-Tenant","1995","Part Time","Couple + C. LE and GT 16","3","","","","2"
"Sub-Tenant","1995","Not Working","1-pers.-HH","39","0.0559120452992346","0.0394141374820345","0.0724099531164347","2"
"Sub-Tenant","1995","Not Working","Couple + C. LE 16 ","25","","","","2"
"Sub-Tenant","1995","Not Working","Couple + C. GT 16 ","14","","","","2"
"Tenant","1995","Full Time","(Married) couple without C. ","","","","","5"
"Tenant","1995","Full Time","1-pers.-HH","","","","","5"
