"year","migback","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1988","no migration background","(2c_gen) general maturity certificate","856.41","785.51","219","409.33","596.67","1079.44","1288.4","2045","806.19","906.63","128","2940.8","756.799987792969","903.333312988281"
"1988","no migration background","(2c_voc) vocational maturity certificate","1116.53","1022.71","260","614.29","784","1356.67","1704","2921.9","1053.25","1179.81","153","4090.67","988.666687011719","1120"
"1988","no migration background","(3a) lower tertiary education","1345.18","1138.46","199","682","895","1466","1976.67","6135.33","1156.38","1533.98","256","17895","1023","1189"
"1988","no migration background","(3b) higher tertiary education","1396.87","1261.4","379","692.31","984.17","1653.33","2045","3749.33","1283.82","1509.92","0","17895","1193","1278.33337402344"
"1989","direct migration background","(0) in school","","","","","","","","","","","","","",""
"1989","direct migration background","(1a) inadequately completed","738.67","682","633","387.27","532.5","895","1141.2","1636","715.55","761.79","183.33","2086","681.777770996094","730.357177734375"
"1989","direct migration background","(1b) general elementary school","764.28","717.91","816","415.31","539.33","954.67","1193.33","1661.5","743.14","785.42","146.19","2911.67","690","738.333374023438"
"1989","direct migration background","(1c) basic vocational qualification","876.83","793.89","564","511.5","647.33","1022.67","1278","2556","847.45","906.21","161","3408.67","767","838.666687011719"
"1989","direct migration background","(2a) intermediate vocational","1081.74","989.46","91","528.89","730.48","1363.33","1942.67","2498.67","982.26","1181.22","161","2556","818","1022.66668701172"
"1989","direct migration background","(2b) intermediate general qualification","919.64","837.95","52","562.5","690","1145.2","1278","1687.33","844.25","995.03","426","1687.33","696.190490722656","988.333312988281"
"1989","direct migration background","(2c_gen) general maturity certificate","762.15","745.83","97","383.5","523.33","971","1022.67","1738.67","706.23","818.07","161","1738.67","647.333312988281","791.428588867188"
"1989","direct migration background","(2c_voc) vocational maturity certificate","880.82","795.79","105","460","596.67","1022.67","1397.33","2045","819.42","942.22","164.29","2045","698.666687011719","886"
"1989","direct migration background","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1989","direct migration background","(3b) higher tertiary education","1425.26","1283.06","61","665","992","1790","2045.2","3408.67","1288.1","1562.42","306.67","3408.67","988.666687011719","1217.14294433594"
"1989","indirect migration background","(0) in school","","","","","","","","","","","","","",""
"1989","indirect migration background","(1a) inadequately completed","","","","","","","","","","","","","",""
"1989","indirect migration background","(1b) general elementary school","787.89","732.58","73","422.69","608.57","971.33","1086.67","1826.07","686.93","888.85","201","3408.67","639.285705566406","880.555603027344"
"1989","indirect migration background","(1c) basic vocational qualification","835.33","709.82","53","547.86","682","988.67","1136.11","2086","700.22","970.44","350.4","3408.67","685.200012207031","988.666687011719"
"1989","indirect migration background","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1989","indirect migration background","(2b) intermediate general qualification","758.88","690.15","34","450","511.5","1022.5","1145.2","1268","666.22","851.54","365.36","1268","552","882"
"1989","indirect migration background","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1989","indirect migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1989","indirect migration background","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1989","indirect migration background","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1989","no migration background","(0) in school","917.7","904.19","112","511.2","613.6","1151.3","1400.43","2045","841.71","993.69","244.44","2924.4","818","946"
"1989","no migration background","(1a) inadequately completed","731.74","652.6","58","250","474.76","1022.4","1227.2","1704","632.35","831.13","92","1704","562.5","741.5"
"1989","no migration background","(1b) general elementary school","783.45","741.47","1265","435","562","956","1193.33","1704","766.16","800.74","0","2726.67","742.380981445312","784"
"1989","no migration background","(1c) basic vocational qualification","925.43","852.38","2554","520.45","672.63","1090.67","1363.33","2147.33","907.71","943.15","92","10226","852","886"
"1989","no migration background","(2a) intermediate vocational","1098.57","1022.67","1099","622","779.05","1329.5","1636","2386","1068.88","1128.26","0","10226","1010","1039.33337402344"
"1989","no migration background","(2b) intermediate general qualification","942.68","858.06","294","460","647.33","1186","1483","2249.6","896.01","989.35","179","2812","818","970.666687011719"
"1989","no migration background","(2c_gen) general maturity certificate","936.76","886.08","223","460","613.33","1168.57","1406","2924.4","878.24","995.28","102","3323.5","852","971.5"
"1989","no migration background","(2c_voc) vocational maturity certificate","1225.3","1057.94","269","648.85","869","1363.33","1738.4","3068","1060.82","1389.78","0","22156","1023","1176"
"1989","no migration background","(3a) lower tertiary education","1320.26","1232.86","192","710","916.25","1500","2045","3408.67","1222.17","1418.35","102","6817.33","1023","1278"
"1989","no migration background","(3b) higher tertiary education","1481.61","1346.16","383","716","1001.25","1761.11","2173","3221","1358.59","1604.63","256","22156","1261.33337402344","1431.5"
"1990","direct migration background","(0) in school","","","","","","","","","","","","","",""
"1990","direct migration background","(1a) inadequately completed","767.22","730.36","611","401.79","545.33","954.67","1158.67","2045","742.8","791.64","102","2414.44","716","775.555603027344"
"1990","direct migration background","(1b) general elementary school","800","730.36","809","429.33","577.42","954.67","1227.2","1772.67","767.17","832.83","200.42","7866.15","710","767"
"1990","direct migration background","(1c) basic vocational qualification","867.86","818","626","432.69","596.67","1023","1363.33","2045.33","836.69","899.03","179","5112.92","766.95654296875","852"
"1990","direct migration background","(2a) intermediate vocational","1068.24","901.5","106","579.33","716","1295.33","2045.33","2572","974.14","1162.34","264.48","2572","818","973.8095703125"
"1990","direct migration background","(2b) intermediate general qualification","929.97","852.02","52","575","698.67","1124.8","1363.33","1840.67","837.54","1022.4","199","1840.67","750","971.599975585938"
"1990","direct migration background","(2c_gen) general maturity certificate","771.97","750","88","460","477.33","973.23","1132.38","1976.67","708.67","835.27","319.5","1976.67","702.916625976562","842.799987792969"
"1990","direct migration background","(2c_voc) vocational maturity certificate","822.43","737.95","110","409","532.5","1095.71","1278.33","1790","750.66","894.2","161","2147","682","852.222229003906"
"1990","direct migration background","(3a) lower tertiary education","1155.26","819.42","44","460","682","1329.33","1670","6817.33","851.08","1459.44","210","6817.33","682","960"
"1990","direct migration background","(3b) higher tertiary education","1193.11","1072.19","76","511.5","736.4","1460.95","2199","2897.33","1071.21","1315.01","350.67","2897.33","784","1073.66662597656"
"1990","indirect migration background","(0) in school","627.1","595.47","33","466.96","511.5","736.4","818","961.2","561","693.2","179","961.2","547.857177734375","767"
"1990","indirect migration background","(1a) inadequately completed","","","","","","","","","","","","","",""
"1990","indirect migration background","(1b) general elementary school","820.33","784","86","443.33","584.29","1023","1193.33","1738.4","740.74","899.92","179","2840.56","681.666687011719","886.333312988281"
"1990","indirect migration background","(1c) basic vocational qualification","905.19","799.96","58","580","767","1107.67","1329.5","1592.29","812.82","997.56","341","1592.29","791","1193.33337402344"
"1990","indirect migration background","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1990","indirect migration background","(2b) intermediate general qualification","771.11","694.45","34","456.43","547.86","930.4","1070","1595.2","672.22","870","456.43","1595.2","590","930.400024414062"
"1990","indirect migration background","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1990","indirect migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
