"year","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1999","(1c) basic vocational qualification","1201.93","1100.64","3914","695.2","886","1420","1738.67","3068","1187.05","1216.81","235","6391","1090.66662597656","1124.66662597656"
"1999","(2a) intermediate vocational","1342.41","1221.67","2733","767","973.81","1636","2045.33","3170","1320.99","1363.83","202.76","12782","1136.11108398438","1176"
"1999","(2b) intermediate general qualification","1111.82","1022.67","507","562","790.23","1337.31","1732.78","2726.67","1071.38","1152.26","170.67","3579","954.666687011719","1058.92858886719"
"1999","(2c_gen) general maturity certificate","1193.39","1055.02","444","542.42","745.83","1420","1841","3550.56","1130.33","1256.45","186.06","6391","1022.40002441406","1084.54541015625"
"1999","(2c_voc) vocational maturity certificate","1388.68","1278","640","716","973.81","1636","2079.33","3579","1340.05","1437.31","170.67","7101.11","1218","1335"
"1999","(3a) lower tertiary education","1542.36","1363.33","918","844.78","1044","1840.67","2250","4260.56","1498.62","1586.1","306.8","7101.11","1278","1342"
"1999","(3b) higher tertiary education","1759.01","1647.38","967","920","1227.2","2113.33","2795.33","4869.52","1709.01","1809.01","230","7498.67","1476","1605"
"2000","(0) in school","1172.42","1047.87","473","613.6","823.89","1431.6","1840.8","2940","1126.79","1218.05","243","3476.8","1022.40002441406","1095.71435546875"
"2000","(1a) inadequately completed","898.37","852","400","501","639","1136.11","1311.5","1806.67","861.16","935.58","51","3408.67","818","892.857177734375"
"2000","(1b) general elementary school","1005.68","954.67","2698","568.06","738.33","1193.33","1478","2188","989.86","1021.5","121.9","8181","937.222229003906","971.333312988281"
"2000","(1c) basic vocational qualification","1219.17","1124.8","7307","695.2","895","1421.33","1755.33","3323","1206.4","1231.94","121.9","9679","1095.71435546875","1125"
"2000","(2a) intermediate vocational","1346.3","1227","5149","767","973.81","1636","2045.33","3323","1331.07","1361.53","0","6817.33","1192.85717773438","1217.14294433594"
"2000","(2b) intermediate general qualification","1140.6","1023","690","613.33","818","1315","1738.5","3067.6","1101.5","1179.7","232","4772","1022.40002441406","1073.5"
"2000","(2c_gen) general maturity certificate","1214.25","1022.96","782","511","766.88","1466","2024.8","3937","1169.41","1259.09","157","6391","1022.40002441406","1084"
"2000","(2c_voc) vocational maturity certificate","1416.6","1291.57","1442","730.48","1004.29","1704","2158.89","3476.8","1378.06","1455.14","243","17043.33","1250.76928710938","1306.66674804688"
"2000","(3a) lower tertiary education","1611.33","1457.52","1595","852.22","1125","1968.5","2454.4","4090","1576.15","1646.51","245.6","6902","1363.33337402344","1447"
"2000","(3b) higher tertiary education","1830.22","1662.04","1987","907.5","1221.67","2215.33","2949.62","5112.67","1788.73","1871.71","205","17043.33","1556.08703613281","1662.77783203125"
"2001","(0) in school","1196.56","1124.8","520","657.5","852","1444.5","1840.8","2556.5","1150.83","1242.29","0","5112.8","1073.5","1165.59997558594"
"2001","(1a) inadequately completed","889.82","852.22","313","451.33","625","1079.44","1329","2301","846.47","933.17","112","2932.8","852","920"
"2001","(1b) general elementary school","1012.91","971","2371","579.33","750","1227","1534","2152.89","995.82","1030","204.67","9203.2","954.666687011719","988.666687011719"
"2001","(1c) basic vocational qualification","1226.78","1158.67","6573","716","895","1431.6","1790","2965.33","1214.12","1239.44","28","10737","1132.14282226562","1158.66662597656"
"2001","(2a) intermediate vocational","1389.35","1278","4861","777.2","994.44","1647.22","2045.33","3408.67","1372.86","1405.84","140","10226","1222.60876464844","1250"
"2001","(2b) intermediate general qualification","1143.52","1075.45","623","602.5","818","1363.33","1711.74","2795.33","1107.51","1179.53","216.15","4090.5","1022.5","1090.66662597656"
"2001","(2c_gen) general maturity certificate","1251.14","1095.71","752","562","767","1492.8","2045.33","4260.56","1200.52","1301.76","230","10737","1023","1150.35717773438"
"2001","(2c_voc) vocational maturity certificate","1465.73","1363.33","1372","741.5","1022.5","1704","2266.67","4090","1425.68","1505.78","263.87","15338.67","1278","1351.42858886719"
"2001","(3a) lower tertiary education","1635.49","1494.23","1510","920.4","1176","1984","2556","3749.33","1599.71","1671.27","298","10737","1420","1475.23815917969"
"2001","(3b) higher tertiary education","1878.1","1704","1847","937.22","1268","2284","3068","5454","1834.86","1921.34","255.5","15338.67","1610.5","1704.16662597656"
"2002","(0) in school","1168.41","1066.67","591","600","800","1333.33","1966.67","3500","1111.1","1225.72","5","5357.14","1200","1300"
"2002","(1a) inadequately completed","868.62","864.49","285","419.35","606.67","1116.67","1252","1933.33","820.79","916.45","209.5","2857.14","850","966.666687011719"
"2002","(1b) general elementary school","1019.35","996.41","2179","550","750","1233.33","1525","2333.33","999.23","1039.47","200","4666.67","1000","1000"
"2002","(1c) basic vocational qualification","1245.19","1153.33","6304","695","900","1470","1850","3100","1216.37","1274.01","133.33","65000","1191.33337402344","1200"
