"pld0045","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Rarely","2018","Full Time","Rural Area","665","0.214664745364712","0.201087335577599","0.228242155151826"
"Rarely","2018","Part Time","Urban Area","851","0.171436979528641","0.160908923207676","0.181965035849607"
"Rarely","2018","Part Time","Rural Area","441","0.171207144547859","0.156713975719933","0.185700313375785"
"Rarely","2018","Not Working","Urban Area","766","0.150441146934123","0.140853393543914","0.160028900324333"
"Rarely","2018","Not Working","Rural Area","504","0.176885977070068","0.162996026952931","0.190775927187205"
"Never","2018","Full Time","Urban Area","3472","0.550791980490769","0.538593178342558","0.562990782638979"
"Never","2018","Full Time","Rural Area","1716","0.456930730959908","0.440458143812697","0.473403318107119"
"Never","2018","Part Time","Urban Area","2597","0.533187704060368","0.519251503770265","0.54712390435047"
"Never","2018","Part Time","Rural Area","1213","0.472276749157369","0.453068808422387","0.491484689892351"
"Never","2018","Not Working","Urban Area","3415","0.637934668705505","0.625045693882996","0.650823643528015"
"Never","2018","Not Working","Rural Area","1685","0.590861391693658","0.57296349398439","0.608759289402925"
