"pld0045","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Never","2018","1-pers.-HH","2466","0.594318399818545","0.579321304105925","0.609315495531165","5"
"Never","2018","(Married) couple without C. ","4728","0.576445991169907","0.565610824644437","0.587281157695377","5"
"Never","2018","Single parent ","1106","0.473283695834289","0.452439197436709","0.494128194231869","5"
"Never","2018","Couple + C. LE 16 ","2759","0.509797964527908","0.496523526471626","0.52307240258419","5"
"Never","2018","Couple + C. GT 16 ","1534","0.50761220165061","0.489737223466397","0.525487179834822","5"
"Never","2018","Couple + C. LE and GT 16","1078","0.525326810290818","0.504326277414675","0.546327343166961","5"
"Often","2018","1-pers.-HH","354","0.0826144418549194","0.0742061291264687","0.09102275458337","2"
"Often","2018","Single parent ","274","0.120591068255727","0.106995564529768","0.134186571981686","2"
"Often","2018","(Married) couple without C. ","623","0.0791824222325877","0.0732613130078666","0.0851035314573087","2"
"Often","2018","Couple + C. GT 16 ","375","0.123204526884683","0.111453161365072","0.134955892404295","2"
"Often","2018","Couple + C. LE and GT 16","286","0.115033469285917","0.1016152862261","0.128451652345735","2"
"Often","2018","Couple + C. LE 16 ","654","0.12623590047404","0.117416926089864","0.135054874858216","2"
"Rarely","2018","1-pers.-HH","596","0.154879283466302","0.143829317023679","0.165929249908924","4"
"Rarely","2018","Single parent ","368","0.181830423887934","0.165727778294378","0.19793306948149","4"
"Rarely","2018","(Married) couple without C. ","1437","0.185382717510029","0.1768612711944","0.193904163825659","4"
"Rarely","2018","Couple + C. GT 16 ","528","0.177953814899533","0.164278806136645","0.191628823662422","4"
"Rarely","2018","Couple + C. LE and GT 16","341","0.152269533737331","0.137159912240326","0.167379155234336","4"
"Rarely","2018","Couple + C. LE 16 ","944","0.176577056399563","0.166451750333687","0.18670236246544","4"
"Sometimes","2018","1-pers.-HH","392","0.101050350552562","0.0918449749013749","0.11025572620375","3"
"Sometimes","2018","Single parent ","227","0.115931886399451","0.102566343302241","0.129297429496661","3"
"Sometimes","2018","(Married) couple without C. ","805","0.106518990362876","0.0997541420292954","0.113283838696457","3"
"Sometimes","2018","Couple + C. LE 16 ","668","0.115380375092596","0.106896899792886","0.123863850392305","3"
"Sometimes","2018","Couple + C. GT 16 ","367","0.126907643235449","0.115006194355542","0.138809092115357","3"
"Sometimes","2018","Couple + C. LE and GT 16","277","0.133651003178495","0.119340637538474","0.147961368818517","3"
"Very often","2018","1-pers.-HH","310","0.0671375243076716","0.0594939517386798","0.0747810968766635","1"
"Very often","2018","(Married) couple without C. ","396","0.0524698787245997","0.0475805028754019","0.0573592545737975","1"
"Very often","2018","Single parent ","229","0.108362925622599","0.0953858535718527","0.121339997673345","1"
"Very often","2018","Couple + C. LE 16 ","423","0.0720087035058933","0.0651444393357264","0.0788729676760603","1"
"Very often","2018","Couple + C. GT 16 ","201","0.0643218133297246","0.05555042689175","0.0730931997676993","1"
"Very often","2018","Couple + C. LE and GT 16","190","0.073719183507438","0.0627296369390732","0.0847087300758028","1"
