"pld0043","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Rarely","2018","Single parent ","583","0.247332943632988","0.229368835938029","0.265297051327947"
"Rarely","2018","Couple + C. LE 16 ","1580","0.296036999123377","0.283921580140117","0.308152418106638"
"Rarely","2018","Couple + C. GT 16 ","889","0.289342440739658","0.273148338845284","0.305536542634033"
"Rarely","2018","Couple + C. LE and GT 16","554","0.266690856695778","0.24816100064768","0.285220712743875"
"Never","2018","1-pers.-HH","788","0.195454089727556","0.183343926638365","0.207564252816748"
"Never","2018","(Married) couple without C. ","1323","0.163164935618349","0.155065174538123","0.171264696698574"
"Never","2018","Single parent ","322","0.164420662454454","0.14898819904731","0.179853125861598"
"Never","2018","Couple + C. LE 16 ","660","0.109366368229552","0.101083476873712","0.117649259585392"
"Never","2018","Couple + C. GT 16 ","360","0.11952222215105","0.10793700612349","0.131107438178611"
"Never","2018","Couple + C. LE and GT 16","271","0.133742674212306","0.119480593372768","0.148004755051844"
