"pld0043","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Rarely","2003","Bavaria","(Married) couple without C. ","333","0.3312270384933","0.301774968002425","0.360679108984176","4"
"Rarely","2003","Bavaria","Single parent ","46","0.204397375501244","0.144131755529146","0.264662995473343","4"
"Rarely","2003","Brandenburg","Couple + C. GT 16 ","47","0.265836210487261","0.203019550708273","0.328652870266249","4"
"Rarely","2003","Brandenburg","Couple + C. LE and GT 16","17","","","","4"
"Rarely","2003","Mecklenburg-Western Pomerania","1-pers.-HH","17","","","","4"
"Rarely","2003","Mecklenburg-Western Pomerania","(Married) couple without C. ","66","0.347914150146999","0.278524094157508","0.417304206136491","4"
"Rarely","2003","Mecklenburg-Western Pomerania","Single parent ","11","","","","4"
"Rarely","2003","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","24","","","","4"
"Rarely","2003","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","26","","","","4"
"Rarely","2003","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","11","","","","4"
"Rarely","2003","Saxony","1-pers.-HH","59","0.312193402209442","0.249668662504622","0.374718141914261","4"
"Rarely","2003","Saxony","(Married) couple without C. ","212","0.358572313814767","0.319475046878364","0.397669580751169","4"
"Rarely","2003","Saxony","Single parent ","17","","","","4"
"Rarely","2003","Saxony","Couple + C. LE 16 ","62","0.244210136778271","0.190414454038853","0.298005819517689","4"
"Rarely","2003","Saxony","Couple + C. GT 16 ","76","0.239264191189533","0.191848326021186","0.286680056357879","4"
"Rarely","2003","Saxony","Couple + C. LE and GT 16","37","0.266875172546534","0.194879376150934","0.338870968942135","4"
"Rarely","2003","Saxony-Anhalt","1-pers.-HH","30","0.200216050306803","0.127707211999995","0.272724888613611","4"
"Rarely","2003","Saxony-Anhalt","(Married) couple without C. ","100","0.30298753166544","0.253703354553399","0.352271708777481","4"
"Rarely","2003","Saxony-Anhalt","Single parent ","15","","","","4"
"Rarely","2003","Saxony-Anhalt","Couple + C. LE 16 ","31","0.218173935188504","0.145480740833702","0.290867129543307","4"
"Rarely","2003","Saxony-Anhalt","Couple + C. GT 16 ","73","0.348413784963659","0.286567406154404","0.410260163772914","4"
"Rarely","2003","Saxony-Anhalt","Couple + C. LE and GT 16","24","","","","4"
"Rarely","2003","Thuringia","1-pers.-HH","37","0.297161497311343","0.215051005813857","0.37927198880883","4"
"Rarely","2003","Thuringia","(Married) couple without C. ","103","0.304906177888203","0.252811628002824","0.357000727773582","4"
"Rarely","2003","Thuringia","Single parent ","13","","","","4"
"Rarely","2003","Thuringia","Couple + C. LE 16 ","49","0.323969799010147","0.250531754493558","0.397407843526736","4"
"Rarely","2003","Thuringia","Couple + C. GT 16 ","75","0.30731481179931","0.24592759819344","0.368702025405179","4"
"Rarely","2003","Thuringia","Couple + C. LE and GT 16","20","","","","4"
"Rarely","2003","Hesse","1-pers.-HH","33","0.176956159385267","0.121814033415572","0.232098285354961","4"
"Rarely","2003","Hesse","(Married) couple without C. ","161","0.286785234233513","0.248569209478775","0.325001258988251","4"
"Rarely","2003","Hesse","Single parent ","13","","","","4"
"Rarely","2003","Hesse","Couple + C. LE 16 ","78","0.24301936511496","0.196673289296685","0.289365440933236","4"
"Rarely","2003","Hesse","Couple + C. GT 16 ","59","0.240961147208902","0.185449235732269","0.296473058685536","4"
"Rarely","2003","Hesse","Couple + C. LE and GT 16","31","0.246940933155952","0.169134026286617","0.324747840025287","4"
"Rarely","2003","Rhineland-Palatinate,Saarland","1-pers.-HH","38","0.211783580316599","0.151249778790519","0.27231738184268","4"
"Rarely","2003","Rhineland-Palatinate,Saarland","(Married) couple without C. ","112","0.278441898319248","0.23484174455658","0.322042052081917","4"
"Rarely","2003","Rhineland-Palatinate,Saarland","Single parent ","15","","","","4"
"Rarely","2003","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","72","0.231396351766633","0.181999581987447","0.280793121545819","4"
"Rarely","2003","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","48","0.270002534670542","0.205854437826755","0.334150631514328","4"
"Rarely","2003","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","32","0.212174629067822","0.143961141414624","0.280388116721021","4"
"Rarely","2003","Baden-Württemberg","1-pers.-HH","69","0.247430473438835","0.200443714056854","0.294417232820815","4"
"Rarely","2003","Bavaria","Couple + C. LE 16 ","190","0.312927026035386","0.277444123309673","0.348409928761099","4"
"Rarely","2003","Bavaria","Couple + C. GT 16 ","171","0.283541292538977","0.247079939532243","0.32000264554571","4"
"Rarely","2003","Bavaria","Couple + C. LE and GT 16","69","0.263279077848471","0.209117549793484","0.317440605903457","4"
"Rarely","2003","Berlin","1-pers.-HH","45","0.237917443764536","0.178904504495183","0.296930383033888","4"
"Rarely","2003","Berlin","(Married) couple without C. ","70","0.297226735363349","0.237375153492835","0.357078317233864","4"
"Rarely","2003","Berlin","Single parent ","17","","","","4"
"Rarely","2003","Berlin","Couple + C. LE 16 ","31","0.213562659342816","0.144173693501606","0.282951625184027","4"
"Rarely","2003","Berlin","Couple + C. GT 16 ","34","0.172311791094482","0.109754929041736","0.234868653147227","4"
"Rarely","2003","Berlin","Couple + C. LE and GT 16","11","","","","4"
"Rarely","2003","Brandenburg","1-pers.-HH","26","","","","4"
"Rarely","2003","Brandenburg","(Married) couple without C. ","94","0.253296910478177","0.207405916552393","0.29918790440396","4"
"Rarely","2003","Brandenburg","Single parent ","11","","","","4"
"Rarely","2003","Brandenburg","Couple + C. LE 16 ","52","0.394366496608627","0.316416774793648","0.472316218423606","4"
"Sometimes","2003","Schleswig-Holstein","1-pers.-HH","39","0.359353327798046","0.2643573590463","0.454349296549793","3"
"Sometimes","2003","Schleswig-Holstein","(Married) couple without C. ","100","0.401821901080859","0.341410363903104","0.462233438258614","3"
"Sometimes","2003","Schleswig-Holstein","Single parent ","8","","","","3"
"Sometimes","2003","Schleswig-Holstein","Couple + C. LE 16 ","70","0.616677240866858","0.532449651867616","0.700904829866101","3"
"Sometimes","2003","Schleswig-Holstein","Couple + C. GT 16 ","33","0.250391782054818","0.165050787692418","0.335732776417218","3"
"Sometimes","2003","Schleswig-Holstein","Couple + C. LE and GT 16","23","","","","3"
"Sometimes","2003","Hamburg","1-pers.-HH","24","","","","3"
"Sometimes","2003","Hamburg","(Married) couple without C. ","39","0.366500748257478","0.271584409062622","0.461417087452333","3"
"Sometimes","2003","Hamburg","Single parent ","5","","","","3"
"Sometimes","2003","Hamburg","Couple + C. LE 16 ","25","","","","3"
"Sometimes","2003","Hamburg","Couple + C. GT 16 ","11","","","","3"
"Sometimes","2003","Hamburg","Couple + C. LE and GT 16","9","","","","3"
"Sometimes","2003","Brandenburg","Couple + C. GT 16 ","79","0.401924327392858","0.332210085972537","0.471638568813179","3"
"Sometimes","2003","Brandenburg","Couple + C. LE and GT 16","29","","","","3"
"Sometimes","2003","Mecklenburg-Western Pomerania","1-pers.-HH","20","","","","3"
"Sometimes","2003","Mecklenburg-Western Pomerania","(Married) couple without C. ","56","0.3011168102618","0.234285711483008","0.367947909040592","3"
"Sometimes","2003","Mecklenburg-Western Pomerania","Single parent ","12","","","","3"
"Sometimes","2003","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","29","","","","3"
"Sometimes","2003","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","46","0.47684515316453","0.382208360077886","0.571481946251175","3"
"Sometimes","2003","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","12","","","","3"
