"pld0043","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"Rarely","2018","16-34 y.","Employed","1135","0.252900130567312","0.240131792580856","0.265668468553769"
"Rarely","2018","35-65 y.","Not Employed","603","0.275317102654383","0.256856581191794","0.293777624116972"
"Rarely","2018","35-65 y.","Employed","3786","0.304816328663673","0.29670850957","0.312924147757345"
"Rarely","2018","66 and older","Not Employed","1456","0.333778828550146","0.319881599059182","0.34767605804111"
"Rarely","2018","66 and older","Employed","198","0.315111232057567","0.278455029404338","0.351767434710796"
"Never","2018","16-34 y.","Not Employed","199","0.123687777308076","0.107469659125859","0.139905895490294"
"Never","2018","16-34 y.","Employed","384","0.0774447214583806","0.0695930408811874","0.0852964020355739"
"Never","2018","35-65 y.","Not Employed","549","0.247013945403932","0.22918984720925","0.264838043598614"
"Never","2018","35-65 y.","Employed","1443","0.112678103984459","0.107108869301214","0.118247338667704"
"Never","2018","66 and older","Not Employed","1201","0.286716351120993","0.273388903447165","0.300043798794821"
"Never","2018","66 and older","Employed","91","0.140177052846462","0.112783492125152","0.167570613567773"
