"m11126","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Satisfactory","2002","direct migration background","Rural Area","154","0.315008576284345","0.273582072566519","0.35643508000217"
"Satisfactory","2002","indirect migration background","Urban Area","143","0.276483034776572","0.242989467224128","0.309976602329017"
"Satisfactory","2002","indirect migration background","Rural Area","25","","",""
"Poor","2002","no migration background","Urban Area","1506","0.13877395372728","0.132699139453267","0.144848768001293"
"Poor","2002","no migration background","Rural Area","883","0.140808595483284","0.132704901392623","0.148912289573945"
"Poor","2002","direct migration background","Urban Area","390","0.16191524132843","0.14696739726205","0.176863085394809"
"Poor","2002","direct migration background","Rural Area","88","0.173170964846817","0.139425149676666","0.206916780016968"
"Poor","2002","indirect migration background","Urban Area","41","0.0698580406690613","0.0507689331693546","0.0889471481687681"
"Poor","2002","indirect migration background","Rural Area","8","","",""
"Bad ","2002","no migration background","Urban Area","412","0.0432920182033276","0.039715881921603","0.0468681544850523"
"Bad ","2002","no migration background","Rural Area","241","0.0392540943484729","0.0347295979653528","0.0437785907315929"
"Bad ","2002","direct migration background","Urban Area","102","0.0501461255167184","0.0412901213419748","0.059002129691462"
"Bad ","2002","direct migration background","Rural Area","16","","",""
"Bad ","2002","indirect migration background","Urban Area","6","","",""
"Bad ","2002","indirect migration background","Rural Area","2","","",""
