"m11126","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Good","1994","Full Time","Couple + C. GT 16 ","512","0.442523173344293","0.413915981398559","0.471130365290027","2"
"Good","1994","Part Time","(Married) couple without C. ","184","0.404320959165838","0.359078296052939","0.449563622278736","2"
"Good","1994","Part Time","Couple + C. LE and GT 16","131","0.476397041617431","0.417260164950979","0.535533918283884","2"
"Good","1994","Not Working","1-pers.-HH","152","0.184182561573856","0.156082313815751","0.21228280933196","2"
"Good","1994","Not Working","Couple + C. LE 16 ","324","0.484867346812654","0.446417310758633","0.523317382866676","2"
"Good","1994","Not Working","Couple + C. GT 16 ","285","0.343663452028658","0.310691178142601","0.376635725914714","2"
"Good","1994","Full Time","Couple + C. LE and GT 16","264","0.472035404715732","0.431337330554608","0.512733478876856","2"
"Good","1994","Part Time","1-pers.-HH","53","0.328237953504355","0.25073100042409","0.40574490658462","2"
"Good","1994","Part Time","Single parent ","54","0.372628874091243","0.290146407273456","0.45511134090903","2"
"Good","1994","Part Time","Couple + C. LE 16 ","315","0.447522798609326","0.41063479576478","0.484410801453873","2"
"Good","1994","Part Time","Couple + C. GT 16 ","215","0.419722612789933","0.376637044051343","0.462808181528523","2"
"Good","1994","Not Working","(Married) couple without C. ","347","0.218729475052964","0.197927255490737","0.239531694615191","2"
"Good","1994","Not Working","Single parent ","66","0.357567660285302","0.291308965560374","0.42382635501023","2"
"Good","1994","Not Working","Couple + C. LE and GT 16","147","0.491070690434462","0.43705115057806","0.545090230290863","2"
"Poor","1994","Full Time","(Married) couple without C. ","168","0.122661492622305","0.105658796595807","0.139664188648803","4"
"Poor","1994","Full Time","Couple + C. LE 16 ","139","0.0834605002583942","0.0702113980896211","0.0967096024271672","4"
"Poor","1994","Full Time","Couple + C. GT 16 ","110","0.109067852582002","0.0911137167104229","0.12702198845358","4"
"Poor","1994","Full Time","Single parent ","21","","","","4"
"Poor","1994","Full Time","1-pers.-HH","64","0.130993250150671","0.102483527856904","0.159502972444437","4"
"Poor","1994","Part Time","(Married) couple without C. ","73","0.168840958545452","0.13430592796345","0.203375989127455","4"
"Poor","1994","Not Working","Couple + C. LE 16 ","77","0.119282728063957","0.0943463840376634","0.14421907209025","4"
"Poor","1994","Not Working","Couple + C. LE and GT 16","39","0.11472039517446","0.0802845545848902","0.14915623576403","4"
"Poor","1994","Full Time","Couple + C. LE and GT 16","47","0.0753425107340953","0.0538248695134495","0.0968601519547412","4"
"Poor","1994","Part Time","1-pers.-HH","22","","","","4"
"Poor","1994","Part Time","Single parent ","26","","","","4"
"Poor","1994","Part Time","Couple + C. LE 16 ","78","0.10123411188997","0.0788568415452112","0.123611382234728","4"
"Poor","1994","Part Time","Couple + C. GT 16 ","68","0.11852178136476","0.0903030360047429","0.146740526724777","4"
"Poor","1994","Part Time","Couple + C. LE and GT 16","30","0.107893669800488","0.0711587494392422","0.144628590161734","4"
"Poor","1994","Not Working","1-pers.-HH","187","0.272367043562964","0.240095267927694","0.304638819198235","4"
"Poor","1994","Not Working","(Married) couple without C. ","348","0.235993363606408","0.214625861212826","0.25736086599999","4"
"Poor","1994","Not Working","Single parent ","32","0.143823976530948","0.0953121932790093","0.192335759782886","4"
