"m11126","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Very good","2001","66 and older","Rural Area","24","","","","1"
"Bad ","2002","16-34 y.","Urban Area","35","0.00874998301795978","0.00590136755471097","0.0115985984812086","5"
"Bad ","2002","16-34 y.","Rural Area","15","","","","5"
"Bad ","2002","35-65 y.","Urban Area","255","0.0371863463307053","0.0332651300817529","0.0411075625796578","5"
"Bad ","2002","35-65 y.","Rural Area","138","0.0335503990274999","0.0282097388439184","0.0388910592110814","5"
"Bad ","2002","66 and older","Urban Area","230","0.0996778943812918","0.0877127419941511","0.111643046768432","5"
"Bad ","2002","66 and older","Rural Area","106","0.0924948645201429","0.0762640341811713","0.108725694859115","5"
"Good","2002","16-34 y.","Rural Area","1117","0.504965874088563","0.48340151043601","0.526530237741116","2"
"Good","2002","16-34 y.","Urban Area","2160","0.520232821948007","0.504951787326993","0.53551385656902","2"
"Good","2002","35-65 y.","Urban Area","3791","0.399018826667295","0.388870719477756","0.409166933856834","2"
"Good","2002","35-65 y.","Rural Area","1766","0.389790922944999","0.375326147777018","0.40425569811298","2"
"Good","2002","66 and older","Rural Area","221","0.159810023710957","0.139281952854941","0.180338094566972","2"
"Good","2002","66 and older","Urban Area","455","0.181147441385986","0.165764520480604","0.196530362291369","2"
"Poor","2002","16-34 y.","Urban Area","219","0.0544709088499582","0.0475293281499282","0.0614124895499883","4"
"Poor","2002","16-34 y.","Rural Area","91","0.0480663765825631","0.0388404055051109","0.0572923476600152","4"
"Poor","2002","35-65 y.","Urban Area","1119","0.135225567359212","0.128138953891698","0.142312180826727","4"
"Poor","2002","66 and older","Urban Area","599","0.253958249519835","0.236572933941868","0.271343565097802","4"
"Poor","2002","35-65 y.","Rural Area","589","0.140726284200852","0.130412694051582","0.151039874350123","4"
"Poor","2002","66 and older","Rural Area","299","0.262545531346176","0.237894942200985","0.287196120491366","4"
"Satisfactory","2002","16-34 y.","Urban Area","781","0.204891312079565","0.192545671198533","0.217236952960597","3"
"Satisfactory","2002","35-65 y.","Urban Area","3090","0.360805252840778","0.350853239648012","0.370757266033544","3"
"Satisfactory","2002","16-34 y.","Rural Area","419","0.221194185863945","0.203292682305094","0.239095689422797","3"
"Satisfactory","2002","35-65 y.","Rural Area","1622","0.377535758634183","0.363157948471195","0.39191356879717","3"
"Satisfactory","2002","66 and older","Urban Area","1074","0.447343883603735","0.42748439357717","0.467203373630299","3"
"Satisfactory","2002","66 and older","Rural Area","571","0.460721570476041","0.432797213595353","0.48864592735673","3"
"Very good","2002","16-34 y.","Urban Area","911","0.21165497410451","0.199160700155848","0.224149248053172","1"
"Very good","2002","16-34 y.","Rural Area","423","0.218342030459995","0.200523777693927","0.236160283226064","1"
"Very good","2002","35-65 y.","Urban Area","690","0.0677640068020094","0.062555414189041","0.0729725994149778","1"
"Very good","2002","35-65 y.","Rural Area","252","0.0583966351924661","0.0514418389971028","0.0653514313878293","1"
"Very good","2002","66 and older","Urban Area","50","0.0178725311091524","0.012580811680022","0.0231642505382827","1"
"Very good","2002","66 and older","Rural Area","27","","","","1"
"Bad ","2003","16-34 y.","Urban Area","25","","","","5"
"Bad ","2003","35-65 y.","Urban Area","252","0.0380662610441986","0.0340101697345921","0.0421223523538051","5"
"Bad ","2003","16-34 y.","Rural Area","19","","","","5"
"Bad ","2003","35-65 y.","Rural Area","136","0.0346490941293287","0.0290780516868135","0.040220136571844","5"
"Bad ","2003","66 and older","Urban Area","237","0.103337307547667","0.0912814857581645","0.115393129337169","5"
"Bad ","2003","66 and older","Rural Area","120","0.102661483246045","0.0858222341851937","0.119500732306896","5"
"Good","2003","16-34 y.","Urban Area","2083","0.533901066691223","0.518286888954121","0.549515244428324","2"
"Good","2003","16-34 y.","Rural Area","1084","0.522793851677927","0.500624701964524","0.54496300139133","2"
"Good","2003","35-65 y.","Urban Area","3680","0.407172438303025","0.396758418160733","0.417586458445317","2"
"Good","2003","35-65 y.","Rural Area","1692","0.399733042729931","0.384811794205798","0.414654291254065","2"
"Good","2003","66 and older","Rural Area","265","0.200821150275175","0.178594832749783","0.223047467800567","2"
"Good","2003","66 and older","Urban Area","503","0.198361425830893","0.182568172104178","0.214154679557608","2"
"Poor","2003","16-34 y.","Urban Area","190","0.0461868316539097","0.0396172091924595","0.0527564541153598","4"
"Poor","2003","16-34 y.","Rural Area","98","0.06117484479736","0.0505380793589325","0.0718116102357876","4"
"Poor","2003","35-65 y.","Urban Area","1128","0.144682976794347","0.137226437525376","0.152139516063318","4"
"Poor","2003","35-65 y.","Rural Area","536","0.129666857072132","0.119433805245544","0.139899908898719","4"
"Poor","2003","66 and older","Urban Area","624","0.256262765140507","0.238972318385099","0.273553211895915","4"
"Poor","2003","66 and older","Rural Area","281","0.236038390948966","0.21247879226116","0.259597989636771","4"
"Satisfactory","2003","16-34 y.","Urban Area","746","0.20154870407273","0.188992340279316","0.214105067866143","3"
"Satisfactory","2003","16-34 y.","Rural Area","394","0.220079347951102","0.201690876031467","0.238467819870737","3"
"Satisfactory","2003","35-65 y.","Urban Area","2803","0.337579776519713","0.327556261724529","0.347603291314898","3"
"Satisfactory","2003","35-65 y.","Rural Area","1521","0.375459027788423","0.360708428555803","0.390209627021043","3"
"Satisfactory","2003","66 and older","Urban Area","1023","0.41702519552845","0.397497106853201","0.4365532842037","3"
"Satisfactory","2003","66 and older","Rural Area","561","0.44438622205591","0.416818073879223","0.471954370232597","3"
"Very good","2003","16-34 y.","Urban Area","877","0.211719280774044","0.198932231846153","0.224506329701934","1"
"Very good","2003","16-34 y.","Rural Area","355","0.183087744661837","0.165922573888627","0.200252915435046","1"
"Very good","2003","35-65 y.","Urban Area","687","0.0724985473387163","0.0670020378096513","0.0779950568677813","1"
"Very good","2003","35-65 y.","Rural Area","255","0.0604919782801853","0.0532301318487539","0.0677538247116167","1"
"Very good","2003","66 and older","Rural Area","21","","","","1"
"Very good","2003","66 and older","Urban Area","62","0.0250133059524833","0.0188283218102159","0.0311982900947507","1"
"Bad ","2004","16-34 y.","Rural Area","14","","","","5"
"Bad ","2004","16-34 y.","Urban Area","29","","","","5"
"Bad ","2004","35-65 y.","Urban Area","256","0.0403181548785747","0.0360727994334633","0.044563510323686","5"
"Bad ","2004","35-65 y.","Rural Area","122","0.0292717701664802","0.0240531275360844","0.034490412796876","5"
"Bad ","2004","66 and older","Urban Area","284","0.123572419434317","0.110705616789187","0.136439222079448","5"
"Bad ","2004","66 and older","Rural Area","121","0.0975833465243532","0.081370837826294","0.113795855222412","5"
"Good","2004","16-34 y.","Urban Area","1981","0.50637926846003","0.490377532081308","0.522381004838753","2"
"Good","2004","16-34 y.","Rural Area","1079","0.533345830764087","0.510836417830649","0.555855243697524","2"
"Good","2004","35-65 y.","Urban Area","3549","0.394169467786303","0.383622753946206","0.4047161816264","2"
"Good","2004","35-65 y.","Rural Area","1629","0.39460954928736","0.379477915813777","0.409741182760943","2"
"Good","2004","66 and older","Rural Area","235","0.168445228690807","0.147998040017483","0.188892417364132","2"
"Good","2004","66 and older","Urban Area","513","0.190725273578858","0.175364822877877","0.206085724279839","2"
"Poor","2004","16-34 y.","Urban Area","195","0.0591745375886633","0.0516226689866174","0.0667264061907092","4"
"Poor","2004","16-34 y.","Rural Area","85","0.0481520517590203","0.0384925810796003","0.0578115224384402","4"
"Poor","2004","35-65 y.","Urban Area","1087","0.153731217092403","0.145946635284817","0.161515798899988","4"
"Poor","2004","35-65 y.","Rural Area","534","0.145533136487423","0.134615898143888","0.156450374830958","4"
"Poor","2004","66 and older","Rural Area","308","0.254735005733024","0.230930536976797","0.278539474489251","4"
"Poor","2004","66 and older","Urban Area","649","0.272378206396255","0.254972531245677","0.289783881546832","4"
"Satisfactory","2004","16-34 y.","Urban Area","665","0.18475548086553","0.172333951613529","0.197177010117531","3"
"Satisfactory","2004","16-34 y.","Rural Area","352","0.203597049787808","0.185428748999036","0.22176535057658","3"
"Satisfactory","2004","35-65 y.","Urban Area","2723","0.340062883759912","0.329838644881669","0.350287122638155","3"
"Satisfactory","2004","35-65 y.","Rural Area","1465","0.361284769582237","0.346412998303684","0.37615654086079","3"
"Satisfactory","2004","66 and older","Rural Area","601","0.465367998481748","0.438116866280157","0.49261913068334","3"
"Satisfactory","2004","66 and older","Urban Area","1008","0.389123735312172","0.370061565529461","0.408185905094884","3"
"Very good","2004","16-34 y.","Urban Area","880","0.237201325661933","0.223587004923211","0.250815646400655","1"
"Very good","2004","16-34 y.","Rural Area","357","0.205047077727863","0.186830800035158","0.223263355420568","1"
"Very good","2004","35-65 y.","Urban Area","632","0.0717182764828078","0.0661495624576066","0.077286990508009","1"
"Very good","2004","35-65 y.","Rural Area","258","0.0693007744764991","0.0614383234214009","0.0771632255315973","1"
"Very good","2004","66 and older","Rural Area","22","","","","1"
"Very good","2004","66 and older","Urban Area","59","0.0242003652783977","0.0181921825439441","0.0302085480128513","1"
"Bad ","2005","16-34 y.","Urban Area","24","","","","5"
"Bad ","2005","16-34 y.","Rural Area","13","","","","5"
"Bad ","2005","35-65 y.","Urban Area","241","0.0382103776325638","0.033954680237064","0.0424660750280637","5"
"Bad ","2005","35-65 y.","Rural Area","136","0.0357363747462156","0.0298435329207283","0.0416292165717029","5"
"Bad ","2005","66 and older","Urban Area","265","0.116526475727239","0.104036310468029","0.129016640986449","5"
"Bad ","2005","66 and older","Rural Area","112","0.0915713769253947","0.0757275836840215","0.107415170166768","5"
"Good","2005","16-34 y.","Urban Area","1848","0.507292199666412","0.490874022240299","0.523710377092524","2"
"Good","2005","16-34 y.","Rural Area","957","0.527944073655979","0.504654238058443","0.551233909253514","2"
"Good","2005","35-65 y.","Urban Area","3293","0.389981894475792","0.379154259252943","0.400809529698641","2"
"Good","2005","35-65 y.","Rural Area","1499","0.384275636713347","0.368834252131518","0.399717021295175","2"
"Good","2005","66 and older","Urban Area","483","0.177554940277364","0.162679187998202","0.192430692556526","2"
"Good","2005","66 and older","Rural Area","255","0.186385261543164","0.164993375495513","0.207777147590814","2"
"Poor","2005","16-34 y.","Urban Area","183","0.0566752544467018","0.0490819906780079","0.0642685182153957","4"
"Poor","2005","16-34 y.","Rural Area","88","0.0520290923567898","0.0416682189884044","0.0623899657251752","4"
"Poor","2005","35-65 y.","Urban Area","1066","0.157028508451536","0.148951775423478","0.165105241479594","4"
"Poor","2005","35-65 y.","Rural Area","533","0.15277731441534","0.141356426513802","0.164198202316878","4"
"Poor","2005","66 and older","Urban Area","675","0.277618581917484","0.260185801575729","0.295051362259239","4"
"Poor","2005","66 and older","Rural Area","326","0.266952836338878","0.242652229567034","0.291253443110722","4"
"Satisfactory","2005","16-34 y.","Urban Area","726","0.222538846368572","0.208879075991509","0.236198616745635","3"
"Satisfactory","2005","16-34 y.","Rural Area","365","0.207237240568911","0.188327687821801","0.226146793316021","3"
"Satisfactory","2005","35-65 y.","Urban Area","2686","0.354323211850158","0.343705096957993","0.364941326742324","3"
"Satisfactory","2005","35-65 y.","Rural Area","1390","0.360587383114305","0.345344486318782","0.375830279909828","3"
"Satisfactory","2005","66 and older","Rural Area","560","0.437017580250313","0.40976982310245","0.464265337398176","3"
"Satisfactory","2005","66 and older","Urban Area","1066","0.410009617423621","0.390863593498695","0.429155641348546","3"
"Very good","2005","16-34 y.","Urban Area","781","0.204348672487482","0.191106829327045","0.217590515647919","1"
"Very good","2005","16-34 y.","Rural Area","342","0.205427865706498","0.186579570364083","0.224276161048913","1"
"Very good","2005","35-65 y.","Urban Area","509","0.0604560075899494","0.0551652444026509","0.0657467707772478","1"
"Very good","2005","66 and older","Urban Area","46","0.0182903846542928","0.0130740907748133","0.0235066785337722","1"
"Very good","2005","35-65 y.","Rural Area","254","0.0666232910107926","0.0587071564889352","0.0745394255326501","1"
"Very good","2005","66 and older","Rural Area","20","","","","1"
"Bad ","2006","16-34 y.","Urban Area","20","","","","5"
"Bad ","2006","35-65 y.","Urban Area","261","0.0377508297850037","0.0336443365332615","0.041857323036746","5"
"Bad ","2006","16-34 y.","Rural Area","13","","","","5"
"Bad ","2006","35-65 y.","Rural Area","151","0.046196776779158","0.0398080207500763","0.0525855328082397","5"
"Bad ","2006","66 and older","Urban Area","304","0.114395858468614","0.102904192509144","0.125887524428084","5"
"Bad ","2006","66 and older","Rural Area","164","0.113566800218564","0.0976995677465794","0.129434032690549","5"
"Good","2006","16-34 y.","Urban Area","1895","0.50303789996798","0.486693814232768","0.519381985703192","2"
"Good","2006","16-34 y.","Rural Area","1002","0.532619509317531","0.509859309639879","0.555379708995182","2"
"Good","2006","35-65 y.","Urban Area","3523","0.394190992333711","0.383662036570324","0.404719948097098","2"
"Good","2006","35-65 y.","Rural Area","1645","0.373641536272048","0.358917729037342","0.388365343506755","2"
"Good","2006","66 and older","Urban Area","604","0.196571844740146","0.182223817144487","0.210919872335805","2"
"Good","2006","66 and older","Rural Area","328","0.199726603488774","0.179733066458235","0.219720140519312","2"
"Poor","2006","16-34 y.","Urban Area","184","0.0574363865903382","0.0498305404844007","0.0650422326962758","4"
"Poor","2006","16-34 y.","Rural Area","88","0.0551622076775732","0.0447478691606093","0.0655765461945371","4"
"Poor","2006","35-65 y.","Urban Area","1042","0.134823799384722","0.127465123872458","0.142182474896986","4"
"Poor","2006","35-65 y.","Rural Area","545","0.142355258454376","0.131720649011789","0.152989867896962","4"
"Poor","2006","66 and older","Urban Area","750","0.260494235041744","0.244647935420235","0.276340534663254","4"
"Poor","2006","66 and older","Rural Area","367","0.250399751551284","0.228733474568038","0.27206602853453","4"
"Satisfactory","2006","16-34 y.","Rural Area","365","0.196392947858704","0.17827049174174","0.214515403975669","3"
"Satisfactory","2006","16-34 y.","Urban Area","724","0.221564752954462","0.207989115659148","0.235140390249776","3"
"Satisfactory","2006","35-65 y.","Urban Area","2858","0.359431366065948","0.34909292845822","0.369769803673675","3"
"Satisfactory","2006","35-65 y.","Rural Area","1528","0.368912661465453","0.354227200362325","0.383598122568582","3"
"Satisfactory","2006","66 and older","Urban Area","1207","0.403588891624664","0.385875550471647","0.421302232777681","3"
"Satisfactory","2006","66 and older","Rural Area","654","0.420755723535795","0.396067014866419","0.445444432205171","3"
"Very good","2006","16-34 y.","Urban Area","772","0.21016460963423","0.196846372875813","0.223482846392647","1"
"Very good","2006","16-34 y.","Rural Area","378","0.208650908604325","0.190114464034598","0.227187353174052","1"
"Very good","2006","35-65 y.","Urban Area","591","0.0738030124306151","0.0681698429682659","0.0794361818929643","1"
"Very good","2006","35-65 y.","Rural Area","278","0.0688937670289644","0.0611852531915191","0.0766022808664097","1"
"Very good","2006","66 and older","Urban Area","82","0.0249491701248321","0.0193179863165489","0.0305803539331153","1"
"Very good","2006","66 and older","Rural Area","23","","","","1"
"Bad ","2007","16-34 y.","Rural Area","11","","","","5"
"Bad ","2007","16-34 y.","Urban Area","19","","","","5"
"Bad ","2007","35-65 y.","Urban Area","244","0.0398887070240064","0.0354904130815503","0.0442870009664625","5"
"Bad ","2007","35-65 y.","Rural Area","132","0.0320068680307863","0.0264533468918998","0.0375603891696729","5"
"Bad ","2007","66 and older","Urban Area","268","0.0954929285683366","0.084781669187431","0.106204187949242","5"
"Bad ","2007","66 and older","Rural Area","115","0.0864171006080966","0.0721978637702819","0.100636337445911","5"
"Good","2007","16-34 y.","Rural Area","895","0.511066510943794","0.487490760461179","0.534642261426409","2"
"Good","2007","16-34 y.","Urban Area","1764","0.525230394500825","0.508269749921397","0.542191039080252","2"
"Good","2007","35-65 y.","Urban Area","3277","0.390197515925429","0.379234366675523","0.401160665175334","2"
"Good","2007","35-65 y.","Rural Area","1596","0.405881042296388","0.390387640260856","0.421374444331921","2"
"Good","2007","66 and older","Urban Area","630","0.197751330565558","0.183234789179118","0.212267871951998","2"
"Good","2007","66 and older","Rural Area","299","0.18159847357955","0.162089169685748","0.201107777473352","2"
"Poor","2007","16-34 y.","Rural Area","91","0.0499218267914877","0.0396504933702437","0.0601931602127317","4"
"Poor","2007","16-34 y.","Urban Area","156","0.0457710404872681","0.0386728497836014","0.0528692311909349","4"
"Poor","2007","35-65 y.","Urban Area","985","0.146143268169658","0.138204001441439","0.154082534897876","4"
"Poor","2007","35-65 y.","Rural Area","509","0.153467329258795","0.142095232891222","0.164839425626368","4"
"Poor","2007","66 and older","Urban Area","745","0.268770623265972","0.252613402419012","0.284927844112933","4"
"Poor","2007","66 and older","Rural Area","392","0.273007639626036","0.250462403661336","0.295552875590736","4"
"Satisfactory","2007","16-34 y.","Rural Area","369","0.217501851364076","0.198044888025748","0.236958814702404","3"
"Satisfactory","2007","16-34 y.","Urban Area","667","0.206777745319585","0.19302227902151","0.22053321161766","3"
"Satisfactory","2007","35-65 y.","Urban Area","2610","0.362318406314901","0.351515375341006","0.373121437288796","3"
"Satisfactory","2007","35-65 y.","Rural Area","1399","0.358652057322183","0.34352013100432","0.373783983640046","3"
"Satisfactory","2007","66 and older","Urban Area","1185","0.416367031293709","0.398400798526193","0.434333264061224","3"
"Satisfactory","2007","66 and older","Rural Area","671","0.442045676286051","0.416913195529594","0.467178157042508","3"
"Very good","2007","16-34 y.","Urban Area","724","0.214922666291295","0.200971089188606","0.228874243393983","1"
"Very good","2007","16-34 y.","Rural Area","361","0.216731367974419","0.197299337827207","0.236163398121631","1"
"Very good","2007","35-65 y.","Urban Area","489","0.0614521025660061","0.0560545724307014","0.0668496327013107","1"
"Very good","2007","35-65 y.","Rural Area","223","0.0499927030918473","0.0431168358618789","0.0568685703218156","1"
"Very good","2007","66 and older","Rural Area","23","","","","1"
"Very good","2007","66 and older","Urban Area","64","0.0216180863064242","0.0163176480757833","0.0269185245370652","1"
"Bad ","2008","16-34 y.","Rural Area","8","","","","5"
"Bad ","2008","16-34 y.","Urban Area","18","","","","5"
"Bad ","2008","35-65 y.","Urban Area","213","0.0363025338552035","0.0319404670151691","0.040664600695238","5"
"Bad ","2008","35-65 y.","Rural Area","137","0.043996619317454","0.0373148240145783","0.0506784146203296","5"
"Bad ","2008","66 and older","Urban Area","247","0.0957836512257103","0.0850130390286118","0.106554263422809","5"
"Bad ","2008","66 and older","Rural Area","121","0.0779402847825398","0.0642964003009802","0.0915841692640994","5"
"Good","2008","16-34 y.","Urban Area","1616","0.524621608866434","0.506976385976608","0.54226683175626","2"
"Good","2008","16-34 y.","Rural Area","822","0.505572834525304","0.480650634716377","0.530495034334231","2"
"Good","2008","35-65 y.","Urban Area","3009","0.394095986236009","0.382699882116501","0.405492090355517","2"
"Good","2008","35-65 y.","Rural Area","1462","0.39663729784514","0.38069907829907","0.412575517391211","2"
"Good","2008","66 and older","Urban Area","621","0.191366520381812","0.176969674459639","0.205763366303984","2"
"Good","2008","66 and older","Rural Area","332","0.207324958911875","0.18669250415762","0.22795741366613","2"
"Poor","2008","16-34 y.","Rural Area","99","0.0653679652622874","0.0530469594960324","0.0776889710285424","4"
"Poor","2008","16-34 y.","Urban Area","189","0.0612928583358081","0.0528175727496223","0.0697681439219939","4"
"Poor","2008","35-65 y.","Urban Area","973","0.149158313660798","0.140850215863935","0.15746641145766","4"
"Poor","2008","35-65 y.","Rural Area","486","0.142090790107149","0.130715632331401","0.153465947882897","4"
"Poor","2008","66 and older","Urban Area","717","0.252214700390067","0.236320738141924","0.268108662638211","4"
"Poor","2008","66 and older","Rural Area","340","0.231223947636951","0.209765720179992","0.25268217509391","4"
"Satisfactory","2008","16-34 y.","Urban Area","566","0.195143520523802","0.181140535217843","0.209146505829762","3"
"Satisfactory","2008","16-34 y.","Rural Area","305","0.207457548148029","0.187245085343563","0.227670010952495","3"
"Satisfactory","2008","35-65 y.","Urban Area","2364","0.348557863103096","0.337444926077901","0.35967080012829","3"
"Satisfactory","2008","35-65 y.","Rural Area","1314","0.359980193366916","0.344341883669212","0.375618503064621","3"
"Satisfactory","2008","66 and older","Urban Area","1223","0.44040763773718","0.422239022504595","0.458576252969766","3"
"Satisfactory","2008","66 and older","Rural Area","672","0.466488479876036","0.441098060286533","0.491878899465539","3"
"Very good","2008","16-34 y.","Urban Area","688","0.215009220495265","0.200493280542416","0.229525160448114","1"
"Very good","2008","16-34 y.","Rural Area","312","0.218911683450356","0.198299315450946","0.239524051449766","1"
"Very good","2008","35-65 y.","Urban Area","504","0.0718853031448941","0.0658614501193076","0.0779091561704807","1"
"Very good","2008","66 and older","Urban Area","60","0.0202274902652303","0.0150752970317668","0.0253796834986937","1"
"Very good","2008","35-65 y.","Rural Area","220","0.0572950993633404","0.0497232769381444","0.0648669217885364","1"
"Very good","2008","66 and older","Rural Area","18","","","","1"
"Bad ","2009","16-34 y.","Urban Area","14","","","","5"
"Bad ","2009","16-34 y.","Rural Area","14","","","","5"
"Bad ","2009","35-65 y.","Urban Area","197","0.0348108772416733","0.0303305854671981","0.0392911690161485","5"
"Bad ","2009","35-65 y.","Rural Area","108","0.0349875768585181","0.0288552558789136","0.0411198978381225","5"
"Bad ","2009","66 and older","Urban Area","254","0.0949411087280391","0.0840031114752541","0.105879105980824","5"
"Bad ","2009","66 and older","Rural Area","113","0.0805007524365476","0.0664729440035178","0.0945285608695774","5"
"Good","2009","16-34 y.","Urban Area","1503","0.509293277323078","0.490852143151553","0.527734411494604","2"
"Good","2009","35-65 y.","Urban Area","2673","0.382157699802807","0.370280809888976","0.394034589716639","2"
"Good","2009","16-34 y.","Rural Area","775","0.566965652456457","0.541139308322398","0.592791996590516","2"
"Good","2009","35-65 y.","Rural Area","1348","0.366231472236503","0.350153004457662","0.382309940015345","2"
"Good","2009","66 and older","Urban Area","596","0.19871100742964","0.18382158704848","0.213600427810801","2"
"Good","2009","66 and older","Rural Area","277","0.1889270506735","0.168743796078559","0.209110305268441","2"
"Poor","2009","16-34 y.","Rural Area","70","0.0494413430389608","0.0381418755541294","0.0607408105237923","4"
"Poor","2009","16-34 y.","Urban Area","155","0.06262556142571","0.0536878768987591","0.0715632459526609","4"
"Poor","2009","35-65 y.","Urban Area","864","0.145067412958204","0.136459587082494","0.153675238833915","4"
"Poor","2009","35-65 y.","Rural Area","483","0.145180255580731","0.13342336315247","0.156937148008992","4"
"Poor","2009","66 and older","Rural Area","341","0.236503641009453","0.214593934087418","0.258413347931487","4"
"Poor","2009","66 and older","Urban Area","665","0.248138704999097","0.232021550812267","0.264255859185927","4"
"Satisfactory","2009","16-34 y.","Urban Area","547","0.2176868414042","0.202463883077723","0.232909799730676","3"
"Satisfactory","2009","16-34 y.","Rural Area","287","0.195162607616134","0.174505202575384","0.215820012656885","3"
"Satisfactory","2009","35-65 y.","Urban Area","2266","0.369212367843686","0.357416706113089","0.381008029574283","3"
"Satisfactory","2009","66 and older","Urban Area","1183","0.441934170357779","0.423403388322451","0.460464952393106","3"
"Satisfactory","2009","35-65 y.","Rural Area","1331","0.396941711681239","0.380613278692809","0.413270144669668","3"
"Satisfactory","2009","66 and older","Rural Area","686","0.470397588584761","0.444662735826187","0.496132441343334","3"
"Very good","2009","16-34 y.","Urban Area","604","0.204456653659743","0.189579316682449","0.219333990637037","1"
"Very good","2009","16-34 y.","Rural Area","268","0.175925331816974","0.156079429114266","0.195771234519682","1"
"Very good","2009","35-65 y.","Urban Area","430","0.068751642153629","0.0625669668724628","0.0749363174347953","1"
"Very good","2009","35-65 y.","Rural Area","179","0.0566589836430092","0.0489433740798691","0.0643745932061492","1"
"Very good","2009","66 and older","Urban Area","61","0.0162750084854448","0.0115536203427947","0.0209963966280949","1"
"Very good","2009","66 and older","Rural Area","28","","","","1"
"Bad ","2010","16-34 y.","Urban Area","54","0.0118939794447615","0.00874986786743354","0.0150380910220895","5"
"Bad ","2010","16-34 y.","Rural Area","22","","","","5"
"Bad ","2010","35-65 y.","Urban Area","265","0.0409772726543717","0.0368340255567017","0.0451205197520416","5"
"Bad ","2010","35-65 y.","Rural Area","157","0.0404967162866109","0.034800292220079","0.0461931403531428","5"
"Bad ","2010","66 and older","Urban Area","231","0.0900318833985926","0.079205405302349","0.100858361494836","5"
"Bad ","2010","66 and older","Rural Area","112","0.0867292154088726","0.0719126014006889","0.101545829417056","5"
"Good","2010","16-34 y.","Urban Area","2176","0.489735333089133","0.475237234363243","0.504233431815022","2"
"Good","2010","16-34 y.","Rural Area","1212","0.489353231671928","0.469261670215537","0.50944479312832","2"
"Good","2010","35-65 y.","Urban Area","3747","0.390224096572923","0.380028866485381","0.400419326660464","2"
"Good","2010","35-65 y.","Rural Area","1944","0.395145451047427","0.381017696397299","0.409273205697554","2"
"Good","2010","66 and older","Urban Area","599","0.201113175157129","0.185951791530848","0.21627455878341","2"
"Good","2010","66 and older","Rural Area","283","0.194196543023965","0.173370738567069","0.21502234748086","2"
"Poor","2010","16-34 y.","Urban Area","303","0.0525803551648829","0.0461072071800681","0.0590535031496977","4"
"Poor","2010","16-34 y.","Rural Area","148","0.0691277746244009","0.058932158154859","0.0793233910939427","4"
"Poor","2010","35-65 y.","Urban Area","1157","0.153504907950492","0.145970862855014","0.161038953045969","4"
"Poor","2010","35-65 y.","Rural Area","567","0.143192102447734","0.133070006760438","0.15331419813503","4"
"Poor","2010","66 and older","Urban Area","653","0.259241978143325","0.242666472296144","0.275817483990506","4"
"Poor","2010","66 and older","Rural Area","317","0.239089647422115","0.216634619049561","0.261544675794669","4"
"Satisfactory","2010","16-34 y.","Rural Area","518","0.230315339550822","0.213393015255063","0.247237663846581","3"
"Satisfactory","2010","16-34 y.","Urban Area","930","0.21158753542585","0.199742008996702","0.223433061854999","3"
"Satisfactory","2010","35-65 y.","Urban Area","2720","0.337378872451616","0.327496836235364","0.347260908667867","3"
"Satisfactory","2010","35-65 y.","Rural Area","1530","0.360402211347453","0.346527742201542","0.374276680493364","3"
"Satisfactory","2010","66 and older","Urban Area","1136","0.424615575456877","0.405919392166496","0.443311758747259","3"
"Satisfactory","2010","66 and older","Rural Area","644","0.455838956127962","0.429618761055909","0.482059151200015","3"
"Very good","2010","16-34 y.","Urban Area","1104","0.234202796875372","0.221920332540475","0.24648526121027","1"
"Very good","2010","16-34 y.","Rural Area","478","0.205569979285073","0.189327592973282","0.221812365596863","1"
"Very good","2010","35-65 y.","Urban Area","905","0.0779148503705985","0.0723127550427715","0.0835169456984255","1"
"Very good","2010","35-65 y.","Rural Area","402","0.0607635188707754","0.0538598792948923","0.0676671584466585","1"
"Very good","2010","66 and older","Rural Area","30","0.0241456380170856","0.0160643921052873","0.0322268839288839","1"
"Very good","2010","66 and older","Urban Area","66","0.0249973878440766","0.0190923028919596","0.0309024727961936","1"
"Bad ","2011","16-34 y.","Rural Area","29","","","","5"
"Bad ","2011","16-34 y.","Urban Area","47","0.00726549978046541","0.00485588744365446","0.00967511211727636","5"
"Bad ","2011","35-65 y.","Urban Area","351","0.0371840693398547","0.0335748992131295","0.0407932394665798","5"
"Bad ","2011","35-65 y.","Rural Area","216","0.0402612574476038","0.035238191875865","0.0452843230193427","5"
"Bad ","2011","66 and older","Urban Area","283","0.0926761630160051","0.0829305321462711","0.102421793885739","5"
"Bad ","2011","66 and older","Rural Area","130","0.0766697723299463","0.064381754065352","0.0889577905945406","5"
"Good","2011","16-34 y.","Urban Area","2377","0.494943586372342","0.48075805301853","0.509129119726155","2"
"Good","2011","16-34 y.","Rural Area","1255","0.46899189618568","0.449698229426714","0.488285562944646","2"
"Good","2011","35-65 y.","Urban Area","4417","0.394979924306869","0.385655336002365","0.404304512611373","2"
"Good","2011","35-65 y.","Rural Area","2489","0.390754001839565","0.37828600376151","0.403221999917619","2"
"Good","2011","66 and older","Urban Area","870","0.237086590127933","0.222793178706209","0.251380001549657","2"
"Good","2011","66 and older","Rural Area","418","0.216937978092786","0.197902792769568","0.235973163416004","2"
"Poor","2011","16-34 y.","Urban Area","304","0.0585116572475971","0.0518523884308927","0.0651709260643016","4"
