"m11126","year","migback","n","percent","lower_confidence","upper_confidence","value"
"Bad ","2014","no migration background","713","0.0396846645014862","0.037022061901816","0.0423472671011564","5"
"Bad ","2014","direct migration background","205","0.0465037048808177","0.0407693245628021","0.0522380851988333","5"
"Bad ","2014","indirect migration background","36","0.0162721196871871","0.0106261111272653","0.021918128247109","5"
"Good","2014","no migration background","8194","0.368255967611276","0.36167736680735","0.374834568415203","2"
"Good","2014","direct migration background","2096","0.381075152302061","0.36784979279638","0.394300511807742","2"
"Good","2014","indirect migration background","865","0.437158206608938","0.415022445250609","0.459293967967266","2"
"Poor","2014","no migration background","3010","0.160973691881079","0.155961204357967","0.165986179404191","4"
"Poor","2014","direct migration background","713","0.149932545672622","0.140210495385531","0.159654595959713","4"
"Poor","2014","indirect migration background","144","0.0771639090268655","0.0652555649976689","0.0890722530560621","4"
"Satisfactory","2014","no migration background","6793","0.339270595449563","0.332812967931581","0.345728222967544","3"
"Satisfactory","2014","direct migration background","1481","0.294738081534208","0.28232222875191","0.307153934316506","3"
"Satisfactory","2014","indirect migration background","453","0.237486735838917","0.218496718653995","0.256476753023839","3"
"Very good","2014","no migration background","1940","0.091815080556596","0.0878765681681087","0.0957535929450832","1"
"Very good","2014","direct migration background","685","0.127750515610291","0.118660075652054","0.136840955568528","1"
"Very good","2014","indirect migration background","431","0.231919028838093","0.213084547204131","0.250753510472054","1"
"Bad ","2015","no migration background","682","0.0419243523613529","0.0391241417641557","0.0447245629585501","5"
"Bad ","2015","direct migration background","199","0.0484842571972525","0.0430440485376184","0.0539244658568865","5"
"Bad ","2015","indirect migration background","25","","","","5"
"Good","2015","no migration background","7735","0.368413006497742","0.361673289218756","0.375152723776728","2"
"Good","2015","indirect migration background","812","0.456072120973081","0.433114002105144","0.479030239841018","2"
"Good","2015","direct migration background","2513","0.382968970994756","0.370656577373533","0.395281364615979","2"
"Poor","2015","no migration background","2852","0.158455656258435","0.15335354424775","0.163557768269119","4"
"Poor","2015","indirect migration background","171","0.0828401898493964","0.0701346849330588","0.0955456947657339","4"
"Poor","2015","direct migration background","727","0.141477957603684","0.132650669301023","0.150305245906345","4"
"Satisfactory","2015","direct migration background","1449","0.273649741987231","0.26235756271613","0.284941921258332","3"
"Satisfactory","2015","no migration background","6620","0.341491487620736","0.334865841278088","0.348117133963384","3"
"Satisfactory","2015","indirect migration background","430","0.240015218403556","0.220328618478105","0.259701818329008","3"
"Very good","2015","no migration background","1789","0.0897154972617348","0.0857226755193665","0.0937083190041031","1"
"Very good","2015","direct migration background","1100","0.153419072217077","0.1442909570392","0.162547187394954","1"
"Very good","2015","indirect migration background","370","0.204941092887114","0.186334662795016","0.223547522979213","1"
"Bad ","2016","no migration background","658","0.0412542886340828","0.0383745055773567","0.0441340716908089","5"
"Bad ","2016","direct migration background","370","0.0452182085260732","0.0410070209910096","0.0494293960611368","5"
"Bad ","2016","indirect migration background","31","0.0142491709343718","0.00859202112603341","0.0199063207427101","5"
"Good","2016","no migration background","7171","0.376307033966006","0.369291994884597","0.383322073047415","2"
"Good","2016","indirect migration background","735","0.44962418926463","0.425879099874913","0.473369278654348","2"
"Good","2016","direct migration background","3459","0.385430404532373","0.375566375026392","0.395294434038354","2"
"Poor","2016","no migration background","2648","0.159965007196805","0.154656961080143","0.165273053313466","4"
"Poor","2016","indirect migration background","162","0.0809428852850015","0.0679238172312869","0.0939619533387161","4"
"Poor","2016","direct migration background","1147","0.154838145139372","0.147506443794138","0.162169846484606","4"
"Satisfactory","2016","direct migration background","1927","0.272034220701535","0.263015122950478","0.281053318452591","3"
"Satisfactory","2016","no migration background","6189","0.33949298455843","0.332636087600387","0.346349881516472","3"
"Satisfactory","2016","indirect migration background","425","0.251159263416182","0.230458391552528","0.271860135279837","3"
"Very good","2016","no migration background","1655","0.0829806856446767","0.0789862883896269","0.0869750828997266","1"
"Very good","2016","direct migration background","2449","0.142479021100647","0.135394774342428","0.149563267858867","1"
"Very good","2016","indirect migration background","333","0.204024491099814","0.184788688566035","0.223260293633593","1"
"Bad ","2017","no migration background","686","0.0387233374206409","0.0360931394256438","0.041353535415638","5"
"Bad ","2017","direct migration background","338","0.037662778702621","0.0339957540316967","0.0413298033735454","5"
"Bad ","2017","indirect migration background","27","","","","5"
"Good","2017","direct migration background","3891","0.381948140615908","0.372589588365473","0.391306692866343","2"
"Good","2017","no migration background","8118","0.369537523512426","0.362957359078055","0.376117687946796","2"
"Good","2017","indirect migration background","782","0.443400520315845","0.420682890936836","0.466118149694853","2"
"Poor","2017","no migration background","2877","0.156930173645878","0.151971530517599","0.161888816774157","4"
"Poor","2017","indirect migration background","180","0.0944768851398363","0.0811015070770123","0.10785226320266","4"
"Poor","2017","direct migration background","1180","0.154475639980127","0.147514392487746","0.161436887472507","4"
"Satisfactory","2017","no migration background","6904","0.343818717140011","0.337343497122794","0.350293937157229","3"
"Satisfactory","2017","direct migration background","2169","0.28861628036565","0.279888448239645","0.297344112491655","3"
"Satisfactory","2017","indirect migration background","464","0.2328213310936","0.213494833532213","0.252147828654987","3"
"Very good","2017","no migration background","2085","0.0909902482810442","0.087069584967773","0.0949109115943155","1"
"Very good","2017","direct migration background","2776","0.137297160335694","0.130668047642569","0.143926273028818","1"
"Very good","2017","indirect migration background","384","0.216474996251144","0.197641809481192","0.235308183021097","1"
"Bad ","2018","no migration background","646","0.0374251403553133","0.0347913178634333","0.0400589628471933","5"
"Bad ","2018","direct migration background","305","0.0408605364592145","0.036744186526781","0.044976886391648","5"
"Bad ","2018","indirect migration background","49","0.0232128740387287","0.0162835021394875","0.0301422459379699","5"
"Good","2018","direct migration background","3103","0.367574554487493","0.357549268685296","0.37759984028969","2"
"Good","2018","indirect migration background","759","0.420858012359564","0.398138982847672","0.443577041871455","2"
"Good","2018","no migration background","7895","0.375092018312588","0.368373639725213","0.381810396899962","2"
"Poor","2018","no migration background","2756","0.151030807499567","0.146061838772576","0.155999776226557","4"
"Poor","2018","indirect migration background","153","0.0851553539511806","0.072311093475407","0.0979996144269542","4"
"Poor","2018","direct migration background","976","0.146455532877961","0.13910387408323","0.153807191672692","4"
"Satisfactory","2018","no migration background","6622","0.344910455805654","0.338314297959925","0.351506613651384","3"
"Satisfactory","2018","direct migration background","2038","0.296655924839068","0.287157976459341","0.306153873218795","3"
"Satisfactory","2018","indirect migration background","434","0.235568006694062","0.216040039774532","0.255095973613591","3"
"Very good","2018","no migration background","2030","0.0915415780268779","0.0875398345017279","0.0955433215520279","1"
"Very good","2018","direct migration background","2463","0.148453451336263","0.141060485132176","0.15584641754035","1"
"Very good","2018","indirect migration background","419","0.235205752956465","0.215688183843995","0.254723322068935","1"
"Bad ","2019","no migration background","625","0.0355154829690686","0.0329881618145681","0.038042804123569","5"
"Bad ","2019","direct migration background","253","0.0369071834237235","0.0327266788561356","0.0410876879913115","5"
"Bad ","2019","indirect migration background","40","0.0252048383250697","0.0179148765554229","0.0324948000947165","5"
"Good","2019","no migration background","8378","0.388975256901899","0.382318015174412","0.395632498629387","2"
"Good","2019","direct migration background","2980","0.371589743962235","0.36087473174798","0.382304756176489","2"
"Good","2019","indirect migration background","767","0.447575028334051","0.424449259225934","0.470700797442168","2"
"Poor","2019","direct migration background","891","0.143435880080155","0.135663607569762","0.151208152590548","4"
"Poor","2019","no migration background","2728","0.153697426772832","0.148772496695277","0.158622356850387","4"
"Poor","2019","indirect migration background","164","0.081405643688092","0.068687733490222","0.0941235538859621","4"
"Satisfactory","2019","no migration background","6585","0.331330899754038","0.324903422666345","0.337758376841731","3"
"Satisfactory","2019","direct migration background","1751","0.304051121195239","0.293851098144032","0.314251144246446","3"
"Satisfactory","2019","indirect migration background","428","0.250938577548135","0.230774932592668","0.271102222503601","3"
"Very good","2019","no migration background","2285","0.0904809336021621","0.0865636196411586","0.0943982475631655","1"
"Very good","2019","direct migration background","1938","0.144016071338648","0.136230733485621","0.151801409191675","1"
"Very good","2019","indirect migration background","377","0.194875912104653","0.176453898409606","0.2132979257997","1"
