"ple0044_h","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Yes","1998","general elemantary","West Germany","400","0.150091731422802","0.134753762021544","0.16542970082406","1"
"Yes","1998","general elemantary","East Germany","68","0.142417681595966","0.106515795550612","0.17831956764132","1"
"Yes","1998","middle vocational","West Germany","1453","0.278886829909335","0.266120247977536","0.291653411841135","1"
"Yes","1998","middle vocational","East Germany","640","0.273438830453741","0.253923971434867","0.292953689472616","1"
"Yes","1998","vocational + Abi","West Germany","143","0.317642248596896","0.273328309316371","0.361956187877421","1"
"Yes","1998","higher education","East Germany","342","0.385151322188276","0.352104826825745","0.418197817550806","1"
"Yes","1998","in school","West Germany","6","","","","1"
"Yes","1998","in school","East Germany","2","","","","1"
"Yes","1998","inadequately","West Germany","83","0.188890274198513","0.1513217040242","0.226458844372826","1"
"Yes","1998","inadequately","East Germany","3","","","","1"
"Yes","1998","vocational + Abi","East Germany","32","0.458598743755948","0.339286022909957","0.577911464601938","1"
"Yes","1998","higher vocational","West Germany","209","0.333051504651642","0.294427978069333","0.371675031233952","1"
"Yes","1998","higher vocational","East Germany","86","0.345622387247455","0.283756633047464","0.407488141447447","1"
"Yes","1998","higher education","West Germany","446","0.401073069242749","0.371665132681707","0.43048100580379","1"
"No","1999","in school","East Germany","91","0.893186126213585","0.833243906347263","0.953128346079906","2"
"No","1999","inadequately","East Germany","9","","","","2"
"No","1999","inadequately","West Germany","324","0.809322644574004","0.770533483571332","0.848111805576677","2"
"No","1999","general elemantary","West Germany","1553","0.820559892556593","0.803713405803585","0.8374063793096","2"
"No","1999","in school","West Germany","182","0.874328937221225","0.829063204901086","0.919594669541365","2"
"No","1999","higher vocational","West Germany","362","0.691531202261722","0.653209702078474","0.729852702444969","2"
"No","1999","higher vocational","East Germany","141","0.637333259879185","0.575733741274562","0.698932778483808","2"
"No","1999","higher education","West Germany","628","0.618791023702176","0.589689899671672","0.647892147732681","2"
"No","1999","higher education","East Germany","497","0.625758917820805","0.592935476863375","0.658582358778234","2"
"No","1999","general elemantary","East Germany","295","0.863685264490891","0.828092383652184","0.899278145329597","2"
"No","1999","middle vocational","West Germany","3170","0.700899526555895","0.687781708648349","0.714017344463441","2"
"No","1999","middle vocational","East Germany","1358","0.712935896562396","0.69304956910869","0.732822224016101","2"
"No","1999","vocational + Abi","West Germany","272","0.668875994290649","0.623597478643836","0.714154509937462","2"
"No","1999","vocational + Abi","East Germany","43","0.628372794509285","0.516752213294759","0.739993375723811","2"
"Yes","1999","general elemantary","West Germany","440","0.179440107443407","0.1625936206904","0.196286594196415","1"
"Yes","1999","general elemantary","East Germany","62","0.136314735509109","0.100721854670403","0.171907616347816","1"
"Yes","1999","middle vocational","West Germany","1510","0.299100473444105","0.285982655536559","0.312218291351651","1"
"Yes","1999","middle vocational","East Germany","630","0.287064103437604","0.267177775983899","0.30695043089131","1"
"Yes","1999","vocational + Abi","West Germany","143","0.331124005709351","0.285845490062538","0.376402521356164","1"
"Yes","1999","higher education","East Germany","338","0.374241082179196","0.341417641221766","0.407064523136625","1"
"Yes","1999","in school","West Germany","24","","","","1"
"Yes","1999","in school","East Germany","11","","","","1"
"Yes","1999","inadequately","West Germany","70","0.190677355425996","0.151888194423323","0.229466516428668","1"
"Yes","1999","inadequately","East Germany","7","","","","1"
"Yes","1999","vocational + Abi","East Germany","29","","","","1"
"Yes","1999","higher vocational","West Germany","196","0.308468797738278","0.270147297555031","0.346790297921526","1"
"Yes","1999","higher vocational","East Germany","93","0.362666740120815","0.301067221516192","0.424266258725438","1"
"Yes","1999","higher education","West Germany","442","0.381208976297824","0.352107852267319","0.410310100328328","1"
"No","2000","in school","East Germany","133","0.947791379920023","0.911203992141221","0.984378767698824","2"
"No","2000","inadequately","East Germany","13","","","","2"
"No","2000","inadequately","West Germany","308","0.845007539789475","0.808032405525734","0.881982674053217","2"
"No","2000","general elemantary","West Germany","2388","0.823055594557282","0.809291445373614","0.83681974374095","2"
"No","2000","in school","West Germany","322","0.934236785360508","0.908194537506166","0.960279033214851","2"
"No","2000","higher vocational","West Germany","875","0.672339568183028","0.647209016251958","0.697470120114099","2"
"No","2000","higher vocational","East Germany","313","0.67835642800522","0.636827916320177","0.719884939690264","2"
"No","2000","higher education","West Germany","1459","0.594987861877934","0.575593282880973","0.614382440874894","2"
"No","2000","higher education","East Germany","777","0.642409618034568","0.615924207913198","0.668895028155938","2"
"No","2000","general elemantary","East Germany","411","0.842880870826634","0.810983071657634","0.874778669995633","2"
"No","2000","middle vocational","West Germany","6518","0.717134483979388","0.707961524920335","0.72630744303844","2"
"No","2000","middle vocational","East Germany","2190","0.714028562886341","0.698270878433891","0.729786247338791","2"
"No","2000","vocational + Abi","West Germany","655","0.692810903791993","0.663779203012503","0.721842604571483","2"
"No","2000","vocational + Abi","East Germany","71","0.642673211724951","0.55728787554335","0.728058547906551","2"
"Yes","2000","general elemantary","West Germany","565","0.176944405442718","0.16318025625905","0.190708554626386","1"
"Yes","2000","general elemantary","East Germany","89","0.157119129173366","0.125221330004367","0.189016928342366","1"
"Yes","2000","middle vocational","West Germany","2743","0.282865516020612","0.27369255696156","0.292038475079665","1"
"Yes","2000","middle vocational","East Germany","969","0.285971437113659","0.270213752661209","0.301729121566109","1"
"Yes","2000","vocational + Abi","West Germany","315","0.307189096208007","0.278157395428517","0.336220796987497","1"
"Yes","2000","higher education","East Germany","481","0.357590381965432","0.331104971844062","0.384075792086802","1"
"Yes","2000","in school","West Germany","26","","","","1"
"Yes","2000","in school","East Germany","9","","","","1"
"Yes","2000","inadequately","West Germany","60","0.154992460210525","0.118017325946783","0.191967594474266","1"
"Yes","2000","inadequately","East Germany","5","","","","1"
"Yes","2000","vocational + Abi","East Germany","50","0.357326788275049","0.271941452093449","0.442712124456649","1"
"Yes","2000","higher vocational","West Germany","465","0.327660431816972","0.302529879885901","0.352790983748042","1"
"Yes","2000","higher vocational","East Germany","173","0.32164357199478","0.280115060309736","0.363172083679823","1"
"Yes","2000","higher education","West Germany","1002","0.405012138122066","0.385617559125106","0.424406717119027","1"
"No","2001","inadequately","East Germany","9","","","","2"
"No","2001","general elemantary","West Germany","2036","0.807653878123777","0.792462814266996","0.822844941980559","2"
"No","2001","in school","East Germany","145","0.93858664958639","0.900790215886342","0.976383083286438","2"
"No","2001","inadequately","West Germany","232","0.832104732774199","0.788710313167887","0.875499152380512","2"
"No","2001","in school","West Germany","340","0.882197510624618","0.850037618252859","0.914357402996377","2"
"No","2001","general elemantary","East Germany","366","0.853330073921414","0.820386152731652","0.886273995111176","2"
"No","2001","higher vocational","West Germany","778","0.647114348322292","0.620133097300681","0.674095599343902","2"
"No","2001","higher vocational","East Germany","274","0.689958698621256","0.646141205286912","0.7337761919556","2"
"No","2001","higher education","West Germany","1395","0.607289953731296","0.587209293788715","0.627370613673877","2"
"No","2001","higher education","East Germany","729","0.6397339314408","0.612616645484746","0.666851217396854","2"
"No","2001","middle vocational","West Germany","5836","0.708935597595709","0.699198782600938","0.718672412590479","2"
"No","2001","middle vocational","East Germany","2093","0.73483731823296","0.718812961132262","0.750861675333657","2"
"No","2001","vocational + Abi","West Germany","627","0.690949327792371","0.66134548343374","0.720553172151001","2"
"No","2001","vocational + Abi","East Germany","77","0.652395901176675","0.566107342165111","0.738684460188239","2"
"Yes","2001","general elemantary","West Germany","550","0.192346121876223","0.177155058019441","0.207537185733004","1"
"Yes","2001","general elemantary","East Germany","77","0.146669926078586","0.113726004888824","0.179613847268348","1"
"Yes","2001","middle vocational","West Germany","2525","0.291064402404291","0.281327587409521","0.300801217399062","1"
"Yes","2001","middle vocational","East Germany","822","0.26516268176704","0.249138324666343","0.281187038867738","1"
"Yes","2001","vocational + Abi","West Germany","309","0.309050672207629","0.279446827848999","0.33865451656626","1"
"Yes","2001","higher education","East Germany","475","0.3602660685592","0.333148782603146","0.387383354515253","1"
"Yes","2001","in school","West Germany","46","0.117802489375382","0.0856425970036233","0.149962381747141","1"
"Yes","2001","in school","East Germany","10","","","","1"
"Yes","2001","higher vocational","East Germany","154","0.310041301378744","0.2662238080444","0.353858794713088","1"
"Yes","2001","higher education","West Germany","877","0.392710046268704","0.372629386326123","0.412790706211285","1"
"Yes","2001","inadequately","West Germany","53","0.167895267225801","0.124500847619488","0.211289686832113","1"
"Yes","2001","inadequately","East Germany","5","","","","1"
"Yes","2001","vocational + Abi","East Germany","40","0.347604098823325","0.261315539811761","0.433892657834889","1"
"Yes","2001","higher vocational","West Germany","427","0.352885651677708","0.325904400656098","0.379866902699319","1"
"No","2002","inadequately","East Germany","15","","","","2"
"No","2002","general elemantary","West Germany","1931","0.813144285854618","0.797594784839358","0.828693786869879","2"
"No","2002","higher vocational","West Germany","800","0.667220314492748","0.641160800909074","0.693279828076422","2"
"No","2002","higher vocational","East Germany","264","0.648998601153832","0.604351616310121","0.693645585997542","2"
"No","2002","in school","East Germany","146","0.95007198705522","0.915561366136438","0.984582607974002","2"
"No","2002","inadequately","West Germany","215","0.825766789773637","0.779660986525619","0.871872593021655","2"
"No","2002","higher education","West Germany","1817","0.600231668515408","0.583114482182556","0.61734885484826","2"
"No","2002","higher education","East Germany","787","0.677869426389954","0.652299836697485","0.703439016082422","2"
"No","2002","in school","West Germany","401","0.898431516413184","0.87067503789328","0.926187994933088","2"
"No","2002","general elemantary","East Germany","343","0.852489114639723","0.818205734359539","0.886772494919907","2"
"No","2002","middle vocational","West Germany","5900","0.713525325976815","0.703898629010704","0.723152022942926","2"
"No","2002","middle vocational","East Germany","1960","0.721934707661424","0.705288556245828","0.738580859077019","2"
"No","2002","vocational + Abi","West Germany","688","0.725931222123874","0.698395571386707","0.753466872861041","2"
"No","2002","vocational + Abi","East Germany","78","0.598546056901999","0.514281863903458","0.68281024990054","2"
"Yes","2002","general elemantary","West Germany","483","0.186855714145382","0.171306213130121","0.202405215160642","1"
"Yes","2002","general elemantary","East Germany","68","0.147510885360277","0.113227505080093","0.181794265640461","1"
"Yes","2002","middle vocational","West Germany","2573","0.286474674023185","0.276847977057074","0.296101370989296","1"
"Yes","2002","middle vocational","East Germany","823","0.278065292338576","0.261419140922981","0.294711443754172","1"
"Yes","2002","vocational + Abi","West Germany","320","0.274068777876126","0.246533127138959","0.301604428613293","1"
"Yes","2002","higher education","East Germany","496","0.322130573610046","0.296560983917578","0.347700163302515","1"
"Yes","2002","in school","West Germany","54","0.101568483586816","0.0738120050669116","0.12932496210672","1"
"Yes","2002","in school","East Germany","7","","","","1"
"Yes","2002","higher vocational","East Germany","175","0.351001398846168","0.306354414002458","0.395648383689879","1"
"Yes","2002","higher education","West Germany","1329","0.399768331484592","0.38265114515174","0.416885517817444","1"
"Yes","2002","inadequately","West Germany","45","0.174233210226363","0.128127406978345","0.220339013474381","1"
"Yes","2002","inadequately","East Germany","1","","","","1"
"Yes","2002","vocational + Abi","East Germany","52","0.401453943098001","0.31718975009946","0.485718136096542","1"
"Yes","2002","higher vocational","West Germany","456","0.332779685507252","0.306720171923578","0.358839199090926","1"
"No","2003","inadequately","East Germany","13","","","","2"
"No","2003","general elemantary","West Germany","1824","0.815474685801895","0.79954859647738","0.831400775126411","2"
"No","2003","higher vocational","West Germany","740","0.637721667159771","0.610571555865214","0.664871778454327","2"
"No","2003","higher vocational","East Germany","291","0.668573386953443","0.624739048171291","0.712407725735596","2"
"No","2003","in school","East Germany","155","0.951969746059168","0.918940081153143","0.984999410965194","2"
"No","2003","inadequately","West Germany","203","0.826704382299388","0.779691451337066","0.873717313261709","2"
"No","2003","higher education","West Germany","1805","0.625382482655508","0.608012940894562","0.642752024416455","2"
"No","2003","higher education","East Germany","773","0.678381651596282","0.652477204510373","0.704286098682191","2"
"No","2003","in school","West Germany","407","0.929958754144445","0.906219592333311","0.953697915955579","2"
"No","2003","general elemantary","East Germany","337","0.84455874253483","0.809401395904161","0.8797160891655","2"
"No","2003","middle vocational","West Germany","5656","0.717871109843441","0.708063243522711","0.72767897616417","2"
"No","2003","middle vocational","East Germany","1936","0.726124378714104","0.709454097813103","0.742794659615105","2"
"No","2003","vocational + Abi","West Germany","676","0.710671582013696","0.682310527931746","0.739032636095646","2"
"No","2003","vocational + Abi","East Germany","96","0.713153169264375","0.637963681335015","0.788342657193735","2"
"Yes","2003","general elemantary","West Germany","455","0.184525314198105","0.168599224873589","0.20045140352262","1"
"Yes","2003","general elemantary","East Germany","71","0.15544125746517","0.1202839108345","0.190598604095839","1"
"Yes","2003","middle vocational","West Germany","2432","0.282128890156559","0.27232102383583","0.291936756477289","1"
"Yes","2003","middle vocational","East Germany","813","0.273875621285896","0.257205340384895","0.290545902186897","1"
"Yes","2003","in school","West Germany","37","0.0700412458555547","0.0463020840444208","0.0937804076666885","1"
"Yes","2003","in school","East Germany","6","","","","1"
"Yes","2003","inadequately","West Germany","46","0.173295617700612","0.126282686738291","0.220308548662934","1"
"Yes","2003","inadequately","East Germany","2","","","","1"
"Yes","2003","vocational + Abi","West Germany","306","0.289328417986304","0.260967363904354","0.317689472068254","1"
"Yes","2003","higher education","East Germany","476","0.321618348403718","0.295713901317809","0.347522795489627","1"
"Yes","2003","higher vocational","East Germany","152","0.331426613046557","0.287592274264404","0.375260951828709","1"
"Yes","2003","higher education","West Germany","1178","0.374617517344492","0.357247975583545","0.391987059105438","1"
"Yes","2003","vocational + Abi","East Germany","43","0.286846830735625","0.211657342806265","0.362036318664985","1"
"Yes","2003","higher vocational","West Germany","464","0.362278332840229","0.335128221545673","0.389428444134786","1"
"No","2004","in school","East Germany","157","0.938997126760374","0.902478587622688","0.97551566589806","2"
"No","2004","inadequately","West Germany","188","0.829370021376826","0.780433060245252","0.878306982508399","2"
"No","2004","inadequately","East Germany","14","","","","2"
"No","2004","general elemantary","West Germany","1719","0.81233329824105","0.795848440931999","0.8288181555501","2"
"No","2004","higher vocational","West Germany","753","0.672949279877209","0.646193238220395","0.699705321534023","2"
"No","2004","higher vocational","East Germany","264","0.643347399665502","0.597645175317103","0.689049624013901","2"
"No","2004","higher education","West Germany","1758","0.614307864279493","0.596748720141573","0.631867008417413","2"
"No","2004","higher education","East Germany","775","0.684983480966234","0.659170116460705","0.710796845471763","2"
"No","2004","in school","West Germany","436","0.939488287721199","0.917909498351882","0.961067077090515","2"
"No","2004","general elemantary","East Germany","308","0.840138521688265","0.802541882864994","0.877735160511537","2"
"No","2004","middle vocational","West Germany","5489","0.720710024020731","0.710803518261097","0.730616529780365","2"
"No","2004","middle vocational","East Germany","1884","0.729152922365242","0.712274420533585","0.746031424196898","2"
"No","2004","vocational + Abi","West Germany","650","0.661754586102529","0.632148702615021","0.691360469590036","2"
"No","2004","vocational + Abi","East Germany","102","0.691623494262523","0.617470196948925","0.765776791576122","2"
"Yes","2004","general elemantary","West Germany","436","0.18766670175895","0.1711818444499","0.204151559068001","1"
"Yes","2004","general elemantary","East Germany","57","0.159861478311735","0.122264839488463","0.197458117135006","1"
"Yes","2004","middle vocational","West Germany","2390","0.279289975979269","0.269383470219635","0.289196481738903","1"
"Yes","2004","middle vocational","East Germany","779","0.270847077634758","0.253968575803102","0.287725579466414","1"
"Yes","2004","vocational + Abi","West Germany","331","0.338245413897471","0.308639530409964","0.367851297384979","1"
"Yes","2004","in school","West Germany","33","0.0605117122788013","0.0389329229094849","0.0820905016481177","1"
"Yes","2004","in school","East Germany","8","","","","1"
"Yes","2004","inadequately","West Germany","39","0.170629978623174","0.121693017491601","0.219566939754748","1"
"Yes","2004","inadequately","East Germany","4","","","","1"
"Yes","2004","higher education","East Germany","469","0.315016519033766","0.289203154528237","0.340829883539295","1"
"Yes","2004","vocational + Abi","East Germany","47","0.308376505737477","0.234223208423878","0.382529803051075","1"
"Yes","2004","higher vocational","East Germany","158","0.356652600334498","0.310950375986099","0.402354824682897","1"
"Yes","2004","higher vocational","West Germany","428","0.327050720122791","0.300294678465977","0.353806761779605","1"
"Yes","2004","higher education","West Germany","1194","0.385692135720507","0.368132991582587","0.403251279858427","1"
"No","2005","in school","East Germany","140","0.944840691437198","0.90768265202352","0.981998730850876","2"
"No","2005","inadequately","West Germany","177","0.762056176527798","0.706041437691232","0.818070915364364","2"
"No","2005","inadequately","East Germany","16","","","","2"
"No","2005","general elemantary","West Germany","1647","0.818107185626193","0.80130152025027","0.834912851002116","2"
"No","2005","higher vocational","West Germany","684","0.657659514432816","0.629745886426649","0.685573142438982","2"
"No","2005","higher vocational","East Germany","269","0.67362172259798","0.6284005593271","0.718842885868861","2"
"No","2005","higher education","West Germany","1713","0.604404844113878","0.58647161734881","0.622338070878946","2"
"No","2005","higher education","East Germany","771","0.681407197262963","0.655272853611541","0.707541540914384","2"
"No","2005","in school","West Germany","465","0.918625896837607","0.894684930397567","0.942566863277647","2"
"No","2005","general elemantary","East Germany","276","0.84604056688784","0.807564693553754","0.884516440221926","2"
"No","2005","middle vocational","West Germany","5234","0.71553757128447","0.705320277990098","0.725754864578843","2"
"No","2005","middle vocational","East Germany","1818","0.726343960318766","0.709039754005682","0.74364816663185","2"
"No","2005","vocational + Abi","West Germany","656","0.676247254857303","0.646571218630047","0.70592329108456","2"
"No","2005","vocational + Abi","East Germany","92","0.620502375152531","0.545075557614837","0.695929192690225","2"
"Yes","2005","general elemantary","West Germany","377","0.181892814373807","0.165087148997884","0.19869847974973","1"
"Yes","2005","general elemantary","East Germany","62","0.15395943311216","0.115483559778074","0.192435306446246","1"
"Yes","2005","middle vocational","West Germany","2256","0.284462428715529","0.274245135421157","0.294679722009902","1"
"Yes","2005","middle vocational","East Germany","732","0.273656039681234","0.25635183336815","0.290960245994318","1"
"Yes","2005","vocational + Abi","West Germany","299","0.323752745142697","0.29407670891544","0.353428781369953","1"
"Yes","2005","in school","West Germany","36","0.0813741031623932","0.0574331367223533","0.105315069602433","1"
"Yes","2005","in school","East Germany","5","","","","1"
"Yes","2005","inadequately","West Germany","45","0.237943823472202","0.181929084635636","0.293958562308768","1"
"Yes","2005","inadequately","East Germany","2","","","","1"
"Yes","2005","higher education","East Germany","450","0.318592802737037","0.292458459085616","0.344727146388459","1"
"Yes","2005","vocational + Abi","East Germany","67","0.379497624847469","0.304070807309775","0.454924442385163","1"
"Yes","2005","higher vocational","East Germany","144","0.32637827740202","0.281157114131139","0.3715994406729","1"
"Yes","2005","higher vocational","West Germany","426","0.342340485567184","0.314426857561018","0.370254113573351","1"
"Yes","2005","higher education","West Germany","1143","0.395595155886122","0.377661929121054","0.41352838265119","1"
"No","2006","in school","East Germany","68","0.913522042443695","0.848599716575492","0.978444368311898","2"
"No","2006","inadequately","West Germany","176","0.803036429063517","0.749999081848559","0.856073776278475","2"
"No","2006","inadequately","East Germany","18","","","","2"
"No","2006","general elemantary","West Germany","1700","0.826431468678863","0.810170809359223","0.842692127998504","2"
"No","2006","higher vocational","West Germany","769","0.67534503433189","0.648939892518168","0.701750176145612","2"
"No","2006","higher vocational","East Germany","271","0.642792105946751","0.596634453605834","0.688949758287667","2"
"No","2006","higher education","West Germany","1947","0.635719034975704","0.618980128874874","0.652457941076533","2"
"No","2006","higher education","East Germany","815","0.647888299461272","0.621874517032154","0.67390208189039","2"
"No","2006","in school","West Germany","299","0.935680284303537","0.908885149115897","0.962475419491177","2"
"No","2006","general elemantary","East Germany","297","0.818353015119947","0.778525677025408","0.858180353214486","2"
"No","2006","middle vocational","West Germany","5699","0.71114510505571","0.701286492512288","0.721003717599132","2"
"No","2006","middle vocational","East Germany","1935","0.718300981999371","0.701442622053901","0.73515934194484","2"
"No","2006","vocational + Abi","West Germany","686","0.651567304910078","0.622483056167455","0.680651553652701","2"
"No","2006","vocational + Abi","East Germany","98","0.628884227827243","0.555613599993289","0.702154855661197","2"
"Yes","2006","general elemantary","West Germany","384","0.173568531321137","0.157307872001496","0.189829190640777","1"
"Yes","2006","general elemantary","East Germany","63","0.181646984880053","0.141819646785514","0.221474322974592","1"
"Yes","2006","middle vocational","West Germany","2420","0.28885489494429","0.278996282400868","0.298713507487712","1"
"Yes","2006","middle vocational","East Germany","800","0.281699018000629","0.26484065805516","0.298557377946099","1"
"Yes","2006","vocational + Abi","West Germany","345","0.348432695089922","0.319348446347299","0.377516943832545","1"
"Yes","2006","in school","West Germany","23","","","","1"
"Yes","2006","in school","East Germany","4","","","","1"
"Yes","2006","inadequately","West Germany","40","0.196963570936483","0.143926223721525","0.250000918151441","1"
"Yes","2006","inadequately","East Germany","5","","","","1"
"Yes","2006","higher education","East Germany","480","0.352111700538728","0.32609791810961","0.378125482967846","1"
"Yes","2006","vocational + Abi","East Germany","69","0.371115772172757","0.297845144338803","0.444386400006711","1"
"Yes","2006","higher vocational","East Germany","143","0.357207894053249","0.311050241712333","0.403365546394166","1"
"Yes","2006","higher vocational","West Germany","439","0.32465496566811","0.298249823854388","0.351060107481832","1"
"Yes","2006","higher education","West Germany","1228","0.364280965024296","0.347542058923467","0.381019871125126","1"
"No","2007","in school","West Germany","239","0.924450308395651","0.8921401071443","0.956760509647001","2"
"No","2007","in school","East Germany","79","0.96356903172282","0.923016503165086","1.00412156028055","2"
"No","2007","inadequately","West Germany","159","0.832242758028284","0.779527651607358","0.88495786444921","2"
"No","2007","inadequately","East Germany","18","","","","2"
"No","2007","general elemantary","West Germany","1514","0.826479874580156","0.809204665573738","0.843755083586575","2"
"No","2007","higher vocational","West Germany","705","0.682298075213295","0.654809369629709","0.70978678079688","2"
"No","2007","higher vocational","East Germany","267","0.655220814529872","0.608289324548859","0.702152304510886","2"
"No","2007","higher education","West Germany","1886","0.642124964167958","0.625044915309381","0.659205013026534","2"
"No","2007","higher education","East Germany","818","0.693281643925271","0.667779422866174","0.718783864984367","2"
"No","2007","general elemantary","East Germany","279","0.830185987507736","0.789175529785759","0.871196445229713","2"
"No","2007","middle vocational","West Germany","5327","0.709582468324661","0.699338012582875","0.719826924066446","2"
"No","2007","middle vocational","East Germany","1791","0.709029512553703","0.691458702505344","0.726600322602061","2"
"No","2007","vocational + Abi","West Germany","655","0.689481588942882","0.660452848200488","0.718510329685276","2"
"No","2007","vocational + Abi","East Germany","93","0.545954608407655","0.468565929485397","0.623343287329912","2"
"Yes","2007","general elemantary","West Germany","332","0.173520125419844","0.156244916413425","0.190795334426262","1"
"Yes","2007","general elemantary","East Germany","43","0.169814012492264","0.128803554770287","0.210824470214241","1"
"Yes","2007","middle vocational","West Germany","2216","0.290417531675339","0.280173075933554","0.300661987417125","1"
"Yes","2007","middle vocational","East Germany","776","0.290970487446297","0.273399677397939","0.308541297494656","1"
"Yes","2007","inadequately","East Germany","3","","","","1"
"Yes","2007","vocational + Abi","West Germany","321","0.310518411057118","0.281489670314724","0.339547151799512","1"
"Yes","2007","higher education","East Germany","438","0.306718356074729","0.281216135015632","0.332220577133826","1"
"Yes","2007","vocational + Abi","East Germany","66","0.454045391592345","0.376656712670088","0.531434070514603","1"
"Yes","2007","higher vocational","West Germany","397","0.317701924786705","0.29021321920312","0.34519063037029","1"
"Yes","2007","in school","West Germany","18","","","","1"
"Yes","2007","in school","East Germany","3","","","","1"
"Yes","2007","inadequately","West Germany","34","0.167757241971716","0.11504213555079","0.220472348392642","1"
"Yes","2007","higher vocational","East Germany","127","0.344779185470128","0.297847695489114","0.391710675451141","1"
"Yes","2007","higher education","West Germany","1140","0.357875035832042","0.340794986973466","0.374955084690619","1"
"No","2008","in school","West Germany","258","0.938858368876032","0.910385436921756","0.967331300830308","2"
"No","2008","in school","East Germany","79","0.992274002944795","0.973206287711794","1.0113417181778","2"
"No","2008","inadequately","West Germany","129","0.784519882526533","0.721400917659751","0.847638847393316","2"
"No","2008","inadequately","East Germany","14","","","","2"
"No","2008","general elemantary","West Germany","1391","0.817323855625321","0.798928794062886","0.835718917187756","2"
"No","2008","higher vocational","West Germany","683","0.714620719248233","0.687055098310418","0.742186340186048","2"
"No","2008","higher vocational","East Germany","259","0.695500296896973","0.648482066657683","0.742518527136262","2"
"No","2008","higher education","West Germany","1896","0.659392694385141","0.642188756872617","0.676596631897665","2"
"No","2008","higher education","East Germany","813","0.683372185090456","0.657238179311253","0.709506190869659","2"
"No","2008","general elemantary","East Germany","248","0.857175403326236","0.817515755787597","0.896835050864874","2"
"No","2008","middle vocational","West Germany","5108","0.718368765505829","0.707933479113778","0.728804051897879","2"
"No","2008","middle vocational","East Germany","1737","0.712554614175944","0.694626726050171","0.730482502301717","2"
"No","2008","vocational + Abi","West Germany","608","0.678197924822287","0.647828343979535","0.708567505665039","2"
"No","2008","vocational + Abi","East Germany","97","0.638132655898104","0.563673470419039","0.712591841377169","2"
"Yes","2008","general elemantary","West Germany","304","0.182676144374679","0.164281082812244","0.201071205937114","1"
"Yes","2008","general elemantary","East Germany","51","0.142824596673764","0.103164949135126","0.182484244212403","1"
"Yes","2008","middle vocational","West Germany","2029","0.281631234494171","0.271195948102121","0.292066520886222","1"
"Yes","2008","middle vocational","East Germany","711","0.287445385824056","0.269517497698283","0.305373273949829","1"
"Yes","2008","inadequately","East Germany","5","","","","1"
"Yes","2008","vocational + Abi","West Germany","301","0.321802075177713","0.291432494334961","0.352171656020465","1"
"Yes","2008","higher education","East Germany","404","0.316627814909544","0.290493809130341","0.342761820688747","1"
"Yes","2008","vocational + Abi","East Germany","63","0.361867344101896","0.287408158622831","0.436326529580961","1"
"Yes","2008","higher vocational","West Germany","348","0.285379280751767","0.257813659813952","0.312944901689582","1"
"Yes","2008","inadequately","West Germany","34","0.215480117473467","0.152361152606685","0.278599082340249","1"
"Yes","2008","in school","West Germany","14","","","","1"
"Yes","2008","in school","East Germany","2","","","","1"
"Yes","2008","higher vocational","East Germany","109","0.304499703103027","0.257481472863738","0.351517933342317","1"
"Yes","2008","higher education","West Germany","1019","0.340607305614859","0.323403368102335","0.357811243127383","1"
"No","2009","in school","West Germany","237","0.938818015956836","0.909459736905787","0.968176295007885","2"
"No","2009","in school","East Germany","53","0.92080200579713","0.849433440570104","0.992170571024156","2"
"No","2009","inadequately","West Germany","115","0.762546248158963","0.693991136013719","0.831101360304207","2"
"No","2009","inadequately","East Germany","12","","","","2"
"No","2009","general elemantary","West Germany","1233","0.816303016332734","0.796848632597419","0.83575740006805","2"
"No","2009","higher vocational","West Germany","642","0.705787446146945","0.676764555460489","0.734810336833402","2"
"No","2009","higher vocational","East Germany","261","0.736961317156961","0.691668750169137","0.782253884144785","2"
"No","2009","higher education","West Germany","1848","0.663382434003447","0.6458036539787","0.680961214028194","2"
"No","2009","higher education","East Germany","813","0.689389461479982","0.662975617889387","0.715803305070576","2"
"No","2009","general elemantary","East Germany","215","0.846378591068346","0.802632823205997","0.890124358930695","2"
"No","2009","middle vocational","West Germany","4737","0.725389916512832","0.714600194090994","0.736179638934671","2"
"No","2009","middle vocational","East Germany","1715","0.722126770774198","0.703992530565016","0.740261010983379","2"
"No","2009","vocational + Abi","West Germany","585","0.705594311879996","0.674661763592771","0.736526860167221","2"
"No","2009","vocational + Abi","East Germany","95","0.714381180641691","0.641110525371942","0.78765183591144","2"
"Yes","2009","general elemantary","West Germany","289","0.183696983667266","0.16424259993195","0.203151367402581","1"
"Yes","2009","general elemantary","East Germany","46","0.153621408931654","0.109875641069305","0.197367176794003","1"
"Yes","2009","middle vocational","West Germany","1836","0.274610083487168","0.263820361065329","0.285399805909006","1"
"Yes","2009","middle vocational","East Germany","629","0.277873229225802","0.259738989016621","0.296007469434984","1"
"Yes","2009","inadequately","East Germany","4","","","","1"
"Yes","2009","vocational + Abi","West Germany","249","0.294405688120004","0.263473139832779","0.325338236407229","1"
"Yes","2009","higher education","East Germany","366","0.310610538520018","0.284196694929424","0.337024382110613","1"
"Yes","2009","in school","West Germany","19","","","","1"
"Yes","2009","vocational + Abi","East Germany","51","0.285618819358309","0.21234816408856","0.358889474628058","1"
