"ple0044_h","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Not a day","1999","Thuringia","Urban Area","61","1","1","1"
"Not a day","1999","Thuringia","Rural Area","144","1","1","1"
"Not a day","2000","Schleswig-Holstein","Urban Area","89","1","1","1"
"Not a day","2000","Schleswig-Holstein","Rural Area","123","1","1","1"
"Not a day","2000","Hamburg","Urban Area","68","1","1","1"
"Not a day","2000","Hamburg","Rural Area","","","",""
"Not a day","2000","Lower Saxony","Urban Area","282","1","1","1"
"Not a day","2000","Lower Saxony","Rural Area","299","1","1","1"
"Not a day","2000","Bremen","Urban Area","50","1","1","1"
"Not a day","2000","Bremen","Rural Area","","","",""
"Not a day","2000","North Rhine-Westphalia","Urban Area","1457","1","1","1"
"Not a day","2000","North Rhine-Westphalia","Rural Area","29","","",""
"Not a day","2000","Hesse","Urban Area","362","1","1","1"
"Not a day","2000","Hesse","Rural Area","73","1","1","1"
"Not a day","2000","Rhineland-Palatinate,Saarland","Urban Area","249","1","1","1"
"Not a day","2000","Rhineland-Palatinate,Saarland","Rural Area","112","1","1","1"
"Not a day","2000","Baden-Württemberg","Urban Area","703","1","1","1"
"Not a day","2000","Baden-Württemberg","Rural Area","94","1","1","1"
"Not a day","2000","Bavaria","Urban Area","515","1","1","1"
"Not a day","2000","Bavaria","Rural Area","526","1","1","1"
"Not a day","2000","Berlin","Urban Area","260","1","1","1"
"Not a day","2000","Berlin","Rural Area","","","",""
"Not a day","2000","Brandenburg","Urban Area","27","","",""
"Not a day","2000","Brandenburg","Rural Area","260","1","1","1"
"Not a day","2000","Mecklenburg-Western Pomerania","Urban Area","22","","",""
"Not a day","2000","Mecklenburg-Western Pomerania","Rural Area","156","1","1","1"
"Not a day","2000","Saxony","Urban Area","272","1","1","1"
"Not a day","2000","Saxony","Rural Area","292","1","1","1"
"Not a day","2000","Saxony-Anhalt","Urban Area","87","1","1","1"
"Not a day","2000","Saxony-Anhalt","Rural Area","246","1","1","1"
"Not a day","2000","Thuringia","Urban Area","81","1","1","1"
"Not a day","2000","Thuringia","Rural Area","222","1","1","1"
"Not a day","2001","Schleswig-Holstein","Urban Area","87","1","1","1"
"Not a day","2001","Schleswig-Holstein","Rural Area","109","1","1","1"
"Not a day","2001","Hamburg","Urban Area","75","1","1","1"
"Not a day","2001","Hamburg","Rural Area","","","",""
"Not a day","2001","Lower Saxony","Urban Area","272","1","1","1"
"Not a day","2001","Lower Saxony","Rural Area","264","1","1","1"
"Not a day","2001","Bremen","Urban Area","48","1","1","1"
"Not a day","2001","Bremen","Rural Area","","","",""
"Not a day","2001","North Rhine-Westphalia","Urban Area","1334","1","1","1"
"Not a day","2001","North Rhine-Westphalia","Rural Area","34","1","1","1"
"Not a day","2001","Hesse","Urban Area","331","1","1","1"
"Not a day","2001","Hesse","Rural Area","82","1","1","1"
"Not a day","2001","Rhineland-Palatinate,Saarland","Urban Area","256","1","1","1"
"Not a day","2001","Rhineland-Palatinate,Saarland","Rural Area","93","1","1","1"
"Not a day","2001","Baden-Württemberg","Urban Area","653","1","1","1"
"Not a day","2001","Baden-Württemberg","Rural Area","86","1","1","1"
"Not a day","2001","Bavaria","Urban Area","464","1","1","1"
"Not a day","2001","Bavaria","Rural Area","474","1","1","1"
"Not a day","2001","Berlin","Urban Area","253","1","1","1"
"Not a day","2001","Berlin","Rural Area","","","",""
"Not a day","2001","Brandenburg","Urban Area","25","","",""
"Not a day","2001","Brandenburg","Rural Area","239","1","1","1"
"Not a day","2001","Mecklenburg-Western Pomerania","Urban Area","22","","",""
"Not a day","2001","Mecklenburg-Western Pomerania","Rural Area","142","1","1","1"
"Not a day","2001","Saxony","Urban Area","242","1","1","1"
"Not a day","2001","Saxony","Rural Area","240","1","1","1"
"Not a day","2001","Saxony-Anhalt","Urban Area","68","1","1","1"
"Not a day","2001","Saxony-Anhalt","Rural Area","231","1","1","1"
"Not a day","2001","Thuringia","Urban Area","77","1","1","1"
"Not a day","2001","Thuringia","Rural Area","194","1","1","1"
"Not a day","2002","Schleswig-Holstein","Urban Area","106","1","1","1"
"Not a day","2002","Schleswig-Holstein","Rural Area","145","1","1","1"
"Not a day","2002","Hamburg","Urban Area","94","1","1","1"
"Not a day","2002","Hamburg","Rural Area","","","",""
"Not a day","2002","Lower Saxony","Urban Area","283","1","1","1"
"Not a day","2002","Lower Saxony","Rural Area","276","1","1","1"
"Not a day","2002","Bremen","Urban Area","60","1","1","1"
"Not a day","2002","Bremen","Rural Area","","","",""
"Not a day","2002","North Rhine-Westphalia","Urban Area","1447","1","1","1"
"Not a day","2002","North Rhine-Westphalia","Rural Area","34","1","1","1"
"Not a day","2002","Hesse","Urban Area","386","1","1","1"
"Not a day","2002","Hesse","Rural Area","87","1","1","1"
"Not a day","2002","Rhineland-Palatinate,Saarland","Urban Area","302","1","1","1"
"Not a day","2002","Rhineland-Palatinate,Saarland","Rural Area","110","1","1","1"
"Not a day","2002","Baden-Württemberg","Urban Area","707","1","1","1"
"Not a day","2002","Baden-Württemberg","Rural Area","85","1","1","1"
"Not a day","2002","Bavaria","Urban Area","527","1","1","1"
"Not a day","2002","Bavaria","Rural Area","503","1","1","1"
"Not a day","2002","Berlin","Urban Area","259","1","1","1"
"Not a day","2002","Berlin","Rural Area","","","",""
"Not a day","2002","Brandenburg","Urban Area","23","","",""
"Not a day","2002","Brandenburg","Rural Area","241","1","1","1"
"Not a day","2002","Mecklenburg-Western Pomerania","Urban Area","30","1","1","1"
"Not a day","2002","Mecklenburg-Western Pomerania","Rural Area","117","1","1","1"
"Not a day","2002","Saxony","Urban Area","280","1","1","1"
"Not a day","2002","Saxony","Rural Area","266","1","1","1"
"Not a day","2002","Saxony-Anhalt","Urban Area","80","1","1","1"
"Not a day","2002","Saxony-Anhalt","Rural Area","211","1","1","1"
"Not a day","2002","Thuringia","Urban Area","91","1","1","1"
"Not a day","2002","Thuringia","Rural Area","192","1","1","1"
"Not a day","2003","Schleswig-Holstein","Urban Area","112","1","1","1"
"Not a day","2003","Schleswig-Holstein","Rural Area","109","1","1","1"
"Not a day","2003","Hamburg","Urban Area","82","1","1","1"
"Not a day","2003","Hamburg","Rural Area","","","",""
"Not a day","2003","Lower Saxony","Urban Area","268","1","1","1"
"Not a day","2003","Lower Saxony","Rural Area","257","1","1","1"
"Not a day","2003","Bremen","Urban Area","47","1","1","1"
"Not a day","2003","Bremen","Rural Area","","","",""
"Not a day","2003","North Rhine-Westphalia","Urban Area","1352","1","1","1"
"Not a day","2003","North Rhine-Westphalia","Rural Area","35","1","1","1"
"Not a day","2003","Hesse","Urban Area","348","1","1","1"
"Not a day","2003","Hesse","Rural Area","71","1","1","1"
"Not a day","2003","Rhineland-Palatinate,Saarland","Urban Area","285","1","1","1"
"Not a day","2003","Rhineland-Palatinate,Saarland","Rural Area","98","1","1","1"
"Not a day","2003","Baden-Württemberg","Urban Area","681","1","1","1"
"Not a day","2003","Baden-Württemberg","Rural Area","68","1","1","1"
"Not a day","2003","Bavaria","Urban Area","499","1","1","1"
"Not a day","2003","Bavaria","Rural Area","508","1","1","1"
"Not a day","2003","Berlin","Urban Area","250","1","1","1"
"Not a day","2003","Berlin","Rural Area","","","",""
"Not a day","2003","Brandenburg","Urban Area","15","","",""
"Not a day","2003","Brandenburg","Rural Area","230","1","1","1"
"Not a day","2003","Mecklenburg-Western Pomerania","Urban Area","26","","",""
"Not a day","2003","Mecklenburg-Western Pomerania","Rural Area","139","1","1","1"
"Not a day","2003","Saxony","Urban Area","249","1","1","1"
"Not a day","2003","Saxony","Rural Area","274","1","1","1"
"Not a day","2003","Saxony-Anhalt","Urban Area","65","1","1","1"
"Not a day","2003","Saxony-Anhalt","Rural Area","202","1","1","1"
"Not a day","2003","Thuringia","Urban Area","89","1","1","1"
"Not a day","2003","Thuringia","Rural Area","186","1","1","1"
"Not a day","2004","Schleswig-Holstein","Urban Area","92","1","1","1"
"Not a day","2004","Schleswig-Holstein","Rural Area","124","1","1","1"
"Not a day","2004","Hamburg","Urban Area","82","1","1","1"
"Not a day","2004","Hamburg","Rural Area","","","",""
"Not a day","2004","Lower Saxony","Urban Area","273","1","1","1"
"Not a day","2004","Lower Saxony","Rural Area","286","1","1","1"
"Not a day","2004","Bremen","Urban Area","55","1","1","1"
"Not a day","2004","Bremen","Rural Area","","","",""
"Not a day","2004","North Rhine-Westphalia","Urban Area","1395","1","1","1"
"Not a day","2004","North Rhine-Westphalia","Rural Area","44","1","1","1"
"Not a day","2004","Hesse","Urban Area","320","1","1","1"
"Not a day","2004","Hesse","Rural Area","69","1","1","1"
"Not a day","2004","Rhineland-Palatinate,Saarland","Urban Area","269","1","1","1"
"Not a day","2004","Rhineland-Palatinate,Saarland","Rural Area","85","1","1","1"
"Not a day","2004","Baden-Württemberg","Urban Area","640","1","1","1"
"Not a day","2004","Baden-Württemberg","Rural Area","70","1","1","1"
"Not a day","2004","Bavaria","Urban Area","464","1","1","1"
"Not a day","2004","Bavaria","Rural Area","499","1","1","1"
"Not a day","2004","Berlin","Urban Area","251","1","1","1"
"Not a day","2004","Berlin","Rural Area","","","",""
"Not a day","2004","Brandenburg","Urban Area","23","","",""
"Not a day","2004","Brandenburg","Rural Area","240","1","1","1"
"Not a day","2004","Mecklenburg-Western Pomerania","Urban Area","23","","",""
"Not a day","2004","Mecklenburg-Western Pomerania","Rural Area","128","1","1","1"
"Not a day","2004","Saxony","Urban Area","233","1","1","1"
"Not a day","2004","Saxony","Rural Area","245","1","1","1"
"Not a day","2004","Saxony-Anhalt","Urban Area","64","1","1","1"
"Not a day","2004","Saxony-Anhalt","Rural Area","204","1","1","1"
"Not a day","2004","Thuringia","Urban Area","76","1","1","1"
"Not a day","2004","Thuringia","Rural Area","189","1","1","1"
"Not a day","2005","Schleswig-Holstein","Urban Area","83","1","1","1"
"Not a day","2005","Schleswig-Holstein","Rural Area","123","1","1","1"
"Not a day","2005","Hamburg","Urban Area","71","1","1","1"
"Not a day","2005","Hamburg","Rural Area","","","",""
"Not a day","2005","Lower Saxony","Urban Area","258","1","1","1"
"Not a day","2005","Lower Saxony","Rural Area","268","1","1","1"
"Not a day","2005","Bremen","Urban Area","46","1","1","1"
"Not a day","2005","Bremen","Rural Area","","","",""
"Not a day","2005","North Rhine-Westphalia","Urban Area","1262","1","1","1"
"Not a day","2005","North Rhine-Westphalia","Rural Area","35","1","1","1"
"Not a day","2005","Hesse","Urban Area","331","1","1","1"
"Not a day","2005","Hesse","Rural Area","57","1","1","1"
"Not a day","2005","Rhineland-Palatinate,Saarland","Urban Area","269","1","1","1"
"Not a day","2005","Rhineland-Palatinate,Saarland","Rural Area","82","1","1","1"
"Not a day","2005","Baden-Württemberg","Urban Area","617","1","1","1"
"Not a day","2005","Baden-Württemberg","Rural Area","78","1","1","1"
"Not a day","2005","Bavaria","Urban Area","465","1","1","1"
"Not a day","2005","Bavaria","Rural Area","473","1","1","1"
"Not a day","2005","Berlin","Urban Area","215","1","1","1"
"Not a day","2005","Berlin","Rural Area","","","",""
"Not a day","2005","Brandenburg","Urban Area","24","","",""
"Not a day","2005","Brandenburg","Rural Area","252","1","1","1"
"Not a day","2005","Mecklenburg-Western Pomerania","Urban Area","22","","",""
"Not a day","2005","Mecklenburg-Western Pomerania","Rural Area","114","1","1","1"
"Not a day","2005","Saxony","Urban Area","227","1","1","1"
"Not a day","2005","Saxony","Rural Area","223","1","1","1"
"Not a day","2005","Saxony-Anhalt","Urban Area","70","1","1","1"
"Not a day","2005","Saxony-Anhalt","Rural Area","206","1","1","1"
"Not a day","2005","Thuringia","Urban Area","72","1","1","1"
"Not a day","2005","Thuringia","Rural Area","177","1","1","1"
"Not a day","2006","Schleswig-Holstein","Urban Area","91","1","1","1"
"Not a day","2006","Schleswig-Holstein","Rural Area","110","1","1","1"
"Not a day","2006","Hamburg","Urban Area","84","1","1","1"
"Not a day","2006","Hamburg","Rural Area","","","",""
"Not a day","2006","Lower Saxony","Urban Area","277","1","1","1"
"Not a day","2006","Lower Saxony","Rural Area","309","1","1","1"
"Not a day","2006","Bremen","Urban Area","39","1","1","1"
"Not a day","2006","Bremen","Rural Area","","","",""
"Not a day","2006","North Rhine-Westphalia","Urban Area","1315","1","1","1"
"Not a day","2006","North Rhine-Westphalia","Rural Area","34","1","1","1"
"Not a day","2006","Hesse","Urban Area","335","1","1","1"
"Not a day","2006","Hesse","Rural Area","76","1","1","1"
"Not a day","2006","Rhineland-Palatinate,Saarland","Urban Area","281","1","1","1"
"Not a day","2006","Rhineland-Palatinate,Saarland","Rural Area","91","1","1","1"
"Not a day","2006","Baden-Württemberg","Urban Area","679","1","1","1"
"Not a day","2006","Baden-Württemberg","Rural Area","76","1","1","1"
"Not a day","2006","Bavaria","Urban Area","439","1","1","1"
"Not a day","2006","Bavaria","Rural Area","570","1","1","1"
"Not a day","2006","Berlin","Urban Area","235","1","1","1"
"Not a day","2006","Berlin","Rural Area","","","",""
"Not a day","2006","Brandenburg","Urban Area","28","","",""
"Not a day","2006","Brandenburg","Rural Area","255","1","1","1"
"Not a day","2006","Mecklenburg-Western Pomerania","Urban Area","23","","",""
"Not a day","2006","Mecklenburg-Western Pomerania","Rural Area","133","1","1","1"
"Not a day","2006","Saxony","Urban Area","263","1","1","1"
"Not a day","2006","Saxony","Rural Area","239","1","1","1"
"Not a day","2006","Saxony-Anhalt","Urban Area","64","1","1","1"
"Not a day","2006","Saxony-Anhalt","Rural Area","208","1","1","1"
"Not a day","2006","Thuringia","Urban Area","67","1","1","1"
"Not a day","2006","Thuringia","Rural Area","198","1","1","1"
"Not a day","2007","Schleswig-Holstein","Urban Area","67","1","1","1"
"Not a day","2007","Schleswig-Holstein","Rural Area","93","1","1","1"
"Not a day","2007","Hamburg","Urban Area","74","1","1","1"
"Not a day","2007","Hamburg","Rural Area","","","",""
"Not a day","2007","Lower Saxony","Urban Area","276","1","1","1"
"Not a day","2007","Lower Saxony","Rural Area","268","1","1","1"
"Not a day","2007","Bremen","Urban Area","36","1","1","1"
"Not a day","2007","Bremen","Rural Area","","","",""
"Not a day","2007","North Rhine-Westphalia","Urban Area","1225","1","1","1"
"Not a day","2007","North Rhine-Westphalia","Rural Area","27","","",""
"Not a day","2007","Hesse","Urban Area","340","1","1","1"
"Not a day","2007","Hesse","Rural Area","77","1","1","1"
"Not a day","2007","Rhineland-Palatinate,Saarland","Urban Area","252","1","1","1"
"Not a day","2007","Rhineland-Palatinate,Saarland","Rural Area","81","1","1","1"
"Not a day","2007","Baden-Württemberg","Urban Area","597","1","1","1"
"Not a day","2007","Baden-Württemberg","Rural Area","72","1","1","1"
"Not a day","2007","Bavaria","Urban Area","390","1","1","1"
"Not a day","2007","Bavaria","Rural Area","521","1","1","1"
"Not a day","2007","Berlin","Urban Area","225","1","1","1"
"Not a day","2007","Berlin","Rural Area","","","",""
"Not a day","2007","Brandenburg","Urban Area","18","","",""
"Not a day","2007","Brandenburg","Rural Area","200","1","1","1"
"Not a day","2007","Mecklenburg-Western Pomerania","Urban Area","23","","",""
"Not a day","2007","Mecklenburg-Western Pomerania","Rural Area","132","1","1","1"
"Not a day","2007","Saxony","Urban Area","245","1","1","1"
"Not a day","2007","Saxony","Rural Area","237","1","1","1"
"Not a day","2007","Saxony-Anhalt","Urban Area","71","1","1","1"
"Not a day","2007","Saxony-Anhalt","Rural Area","196","1","1","1"
"Not a day","2007","Thuringia","Urban Area","65","1","1","1"
"Not a day","2007","Thuringia","Rural Area","183","1","1","1"
"Not a day","2008","Schleswig-Holstein","Urban Area","64","1","1","1"
"Not a day","2008","Schleswig-Holstein","Rural Area","97","1","1","1"
"Not a day","2008","Hamburg","Urban Area","75","1","1","1"
"Not a day","2008","Hamburg","Rural Area","","","",""
"Not a day","2008","Lower Saxony","Urban Area","252","1","1","1"
"Not a day","2008","Lower Saxony","Rural Area","251","1","1","1"
"Not a day","2008","Bremen","Urban Area","28","","",""
"Not a day","2008","Bremen","Rural Area","","","",""
"Not a day","2008","North Rhine-Westphalia","Urban Area","1075","1","1","1"
"Not a day","2008","North Rhine-Westphalia","Rural Area","35","1","1","1"
"Not a day","2008","Hesse","Urban Area","285","1","1","1"
"Not a day","2008","Hesse","Rural Area","55","1","1","1"
"Not a day","2008","Rhineland-Palatinate,Saarland","Urban Area","242","1","1","1"
"Not a day","2008","Rhineland-Palatinate,Saarland","Rural Area","76","1","1","1"
"Not a day","2008","Baden-Württemberg","Urban Area","561","1","1","1"
"Not a day","2008","Baden-Württemberg","Rural Area","68","1","1","1"
"Not a day","2008","Bavaria","Urban Area","374","1","1","1"
"Not a day","2008","Bavaria","Rural Area","447","1","1","1"
"Not a day","2008","Berlin","Urban Area","198","1","1","1"
"Not a day","2008","Berlin","Rural Area","","","",""
"Not a day","2008","Brandenburg","Urban Area","20","","",""
"Not a day","2008","Brandenburg","Rural Area","200","1","1","1"
"Not a day","2008","Mecklenburg-Western Pomerania","Urban Area","24","","",""
"Not a day","2008","Mecklenburg-Western Pomerania","Rural Area","108","1","1","1"
"Not a day","2008","Saxony","Urban Area","221","1","1","1"
"Not a day","2008","Saxony","Rural Area","229","1","1","1"
"Not a day","2008","Saxony-Anhalt","Urban Area","61","1","1","1"
"Not a day","2008","Saxony-Anhalt","Rural Area","193","1","1","1"
"Not a day","2008","Thuringia","Urban Area","70","1","1","1"
"Not a day","2008","Thuringia","Rural Area","167","1","1","1"
"Not a day","2009","Schleswig-Holstein","Urban Area","49","1","1","1"
"Not a day","2009","Schleswig-Holstein","Rural Area","92","1","1","1"
"Not a day","2009","Hamburg","Urban Area","70","1","1","1"
"Not a day","2009","Hamburg","Rural Area","","","",""
"Not a day","2009","Lower Saxony","Urban Area","215","1","1","1"
"Not a day","2009","Lower Saxony","Rural Area","239","1","1","1"
"Not a day","2009","Bremen","Urban Area","26","","",""
"Not a day","2009","Bremen","Rural Area","","","",""
"Not a day","2009","North Rhine-Westphalia","Urban Area","985","1","1","1"
"Not a day","2009","North Rhine-Westphalia","Rural Area","31","1","1","1"
"Not a day","2009","Hesse","Urban Area","270","1","1","1"
"Not a day","2009","Hesse","Rural Area","42","1","1","1"
"Not a day","2009","Rhineland-Palatinate,Saarland","Urban Area","201","1","1","1"
"Not a day","2009","Rhineland-Palatinate,Saarland","Rural Area","72","1","1","1"
"Not a day","2009","Baden-Württemberg","Urban Area","508","1","1","1"
"Not a day","2009","Baden-Württemberg","Rural Area","63","1","1","1"
"Not a day","2009","Bavaria","Urban Area","337","1","1","1"
"Not a day","2009","Bavaria","Rural Area","421","1","1","1"
"Not a day","2009","Berlin","Urban Area","177","1","1","1"
"Not a day","2009","Berlin","Rural Area","","","",""
"Not a day","2009","Brandenburg","Urban Area","18","","",""
"Not a day","2009","Brandenburg","Rural Area","177","1","1","1"
"Not a day","2009","Mecklenburg-Western Pomerania","Urban Area","22","","",""
"Not a day","2009","Mecklenburg-Western Pomerania","Rural Area","90","1","1","1"
"Not a day","2009","Saxony","Urban Area","204","1","1","1"
"Not a day","2009","Saxony","Rural Area","205","1","1","1"
"Not a day","2009","Saxony-Anhalt","Urban Area","58","1","1","1"
"Not a day","2009","Saxony-Anhalt","Rural Area","156","1","1","1"
"Not a day","2009","Thuringia","Urban Area","64","1","1","1"
"Not a day","2009","Thuringia","Rural Area","143","1","1","1"
"Not a day","2010","Schleswig-Holstein","Urban Area","53","1","1","1"
"Not a day","2010","Schleswig-Holstein","Rural Area","136","1","1","1"
"Not a day","2010","Hamburg","Urban Area","117","1","1","1"
"Not a day","2010","Hamburg","Rural Area","","","",""
"Not a day","2010","Lower Saxony","Urban Area","295","1","1","1"
"Not a day","2010","Lower Saxony","Rural Area","356","1","1","1"
"Not a day","2010","Bremen","Urban Area","39","1","1","1"
"Not a day","2010","Bremen","Rural Area","","","",""
"Not a day","2010","North Rhine-Westphalia","Urban Area","1427","1","1","1"
"Not a day","2010","North Rhine-Westphalia","Rural Area","34","1","1","1"
"Not a day","2010","Hesse","Urban Area","346","1","1","1"
"Not a day","2010","Hesse","Rural Area","93","1","1","1"
"Not a day","2010","Rhineland-Palatinate,Saarland","Urban Area","303","1","1","1"
"Not a day","2010","Rhineland-Palatinate,Saarland","Rural Area","119","1","1","1"
"Not a day","2010","Baden-Württemberg","Urban Area","722","1","1","1"
"Not a day","2010","Baden-Württemberg","Rural Area","100","1","1","1"
"Not a day","2010","Bavaria","Urban Area","422","1","1","1"
"Not a day","2010","Bavaria","Rural Area","634","1","1","1"
"Not a day","2010","Berlin","Urban Area","218","1","1","1"
"Not a day","2010","Berlin","Rural Area","","","",""
"Not a day","2010","Brandenburg","Urban Area","21","","",""
"Not a day","2010","Brandenburg","Rural Area","239","1","1","1"
"Not a day","2010","Mecklenburg-Western Pomerania","Urban Area","30","1","1","1"
"Not a day","2010","Mecklenburg-Western Pomerania","Rural Area","146","1","1","1"
"Not a day","2010","Saxony","Urban Area","258","1","1","1"
"Not a day","2010","Saxony","Rural Area","286","1","1","1"
"Not a day","2010","Saxony-Anhalt","Urban Area","57","1","1","1"
"Not a day","2010","Saxony-Anhalt","Rural Area","213","1","1","1"
"Not a day","2010","Thuringia","Urban Area","98","1","1","1"
"Not a day","2010","Thuringia","Rural Area","179","1","1","1"
"Not a day","2011","Schleswig-Holstein","Urban Area","48","1","1","1"
"Not a day","2011","Schleswig-Holstein","Rural Area","128","1","1","1"
"Not a day","2011","Hamburg","Urban Area","81","1","1","1"
"Not a day","2011","Hamburg","Rural Area","","","",""
"Not a day","2011","Lower Saxony","Urban Area","226","1","1","1"
"Not a day","2011","Lower Saxony","Rural Area","267","1","1","1"
"Not a day","2011","Bremen","Urban Area","23","","",""
"Not a day","2011","Bremen","Rural Area","","","",""
"Not a day","2011","North Rhine-Westphalia","Urban Area","1036","1","1","1"
"Not a day","2011","North Rhine-Westphalia","Rural Area","22","","",""
"Not a day","2011","Hesse","Urban Area","250","1","1","1"
"Not a day","2011","Hesse","Rural Area","85","1","1","1"
"Not a day","2011","Rhineland-Palatinate,Saarland","Urban Area","184","1","1","1"
"Not a day","2011","Rhineland-Palatinate,Saarland","Rural Area","84","1","1","1"
"Not a day","2011","Baden-Württemberg","Urban Area","552","1","1","1"
"Not a day","2011","Baden-Württemberg","Rural Area","68","1","1","1"
"Not a day","2011","Bavaria","Urban Area","311","1","1","1"
"Not a day","2011","Bavaria","Rural Area","512","1","1","1"
"Not a day","2011","Berlin","Urban Area","126","1","1","1"
"Not a day","2011","Berlin","Rural Area","","","",""
"Not a day","2011","Brandenburg","Urban Area","12","","",""
"Not a day","2011","Brandenburg","Rural Area","196","1","1","1"
"Not a day","2011","Mecklenburg-Western Pomerania","Urban Area","14","","",""
"Not a day","2011","Mecklenburg-Western Pomerania","Rural Area","79","1","1","1"
"Not a day","2011","Saxony","Urban Area","158","1","1","1"
"Not a day","2011","Saxony","Rural Area","115","1","1","1"
"Not a day","2011","Saxony-Anhalt","Urban Area","35","1","1","1"
"Not a day","2011","Saxony-Anhalt","Rural Area","135","1","1","1"
"Not a day","2011","Thuringia","Urban Area","62","1","1","1"
"Not a day","2011","Thuringia","Rural Area","93","1","1","1"
"Not a day","2012","Schleswig-Holstein","Urban Area","75","1","1","1"
"Not a day","2012","Schleswig-Holstein","Rural Area","156","1","1","1"
"Not a day","2012","Hamburg","Urban Area","102","1","1","1"
"Not a day","2012","Hamburg","Rural Area","","","",""
"Not a day","2012","Lower Saxony","Urban Area","271","1","1","1"
"Not a day","2012","Lower Saxony","Rural Area","383","1","1","1"
"Not a day","2012","Bremen","Urban Area","55","1","1","1"
"Not a day","2012","Bremen","Rural Area","","","",""
"Not a day","2012","North Rhine-Westphalia","Urban Area","1511","1","1","1"
"Not a day","2012","North Rhine-Westphalia","Rural Area","42","1","1","1"
"Not a day","2012","Hesse","Urban Area","338","1","1","1"
"Not a day","2012","Hesse","Rural Area","87","1","1","1"
"Not a day","2012","Rhineland-Palatinate,Saarland","Urban Area","325","1","1","1"
"Not a day","2012","Rhineland-Palatinate,Saarland","Rural Area","117","1","1","1"
"Not a day","2012","Baden-Württemberg","Urban Area","812","1","1","1"
"Not a day","2012","Baden-Württemberg","Rural Area","112","1","1","1"
"Not a day","2012","Bavaria","Urban Area","498","1","1","1"
"Not a day","2012","Bavaria","Rural Area","772","1","1","1"
"Not a day","2012","Berlin","Urban Area","260","1","1","1"
"Not a day","2012","Berlin","Rural Area","","","",""
"Not a day","2012","Brandenburg","Urban Area","18","","",""
"Not a day","2012","Brandenburg","Rural Area","278","1","1","1"
"Not a day","2012","Mecklenburg-Western Pomerania","Urban Area","21","","",""
"Not a day","2012","Mecklenburg-Western Pomerania","Rural Area","159","1","1","1"
"Not a day","2012","Saxony","Urban Area","277","1","1","1"
"Not a day","2012","Saxony","Rural Area","293","1","1","1"
"Not a day","2012","Saxony-Anhalt","Urban Area","67","1","1","1"
"Not a day","2012","Saxony-Anhalt","Rural Area","205","1","1","1"
"Not a day","2012","Thuringia","Urban Area","97","1","1","1"
"Not a day","2012","Thuringia","Rural Area","201","1","1","1"
"Not a day","2013","Schleswig-Holstein","Urban Area","66","1","1","1"
"Not a day","2013","Schleswig-Holstein","Rural Area","176","1","1","1"
"Not a day","2013","Hamburg","Urban Area","137","1","1","1"
"Not a day","2013","Hamburg","Rural Area","","","",""
"Not a day","2013","Lower Saxony","Urban Area","344","1","1","1"
"Not a day","2013","Lower Saxony","Rural Area","393","1","1","1"
"Not a day","2013","Bremen","Urban Area","61","1","1","1"
"Not a day","2013","Bremen","Rural Area","","","",""
"Not a day","2013","North Rhine-Westphalia","Urban Area","1765","1","1","1"
"Not a day","2013","North Rhine-Westphalia","Rural Area","41","1","1","1"
"Not a day","2013","Hesse","Urban Area","406","1","1","1"
"Not a day","2013","Hesse","Rural Area","88","1","1","1"
"Not a day","2013","Rhineland-Palatinate,Saarland","Urban Area","365","1","1","1"
"Not a day","2013","Rhineland-Palatinate,Saarland","Rural Area","144","1","1","1"
"Not a day","2013","Baden-Württemberg","Urban Area","899","1","1","1"
"Not a day","2013","Baden-Württemberg","Rural Area","122","1","1","1"
"Not a day","2013","Bavaria","Urban Area","584","1","1","1"
"Not a day","2013","Bavaria","Rural Area","827","1","1","1"
"Not a day","2013","Berlin","Urban Area","296","1","1","1"
"Not a day","2013","Berlin","Rural Area","","","",""
"Not a day","2013","Brandenburg","Urban Area","22","","",""
"Not a day","2013","Brandenburg","Rural Area","246","1","1","1"
"Not a day","2013","Mecklenburg-Western Pomerania","Urban Area","25","","",""
"Not a day","2013","Mecklenburg-Western Pomerania","Rural Area","150","1","1","1"
"Not a day","2013","Saxony","Urban Area","258","1","1","1"
"Not a day","2013","Saxony","Rural Area","271","1","1","1"
"Not a day","2013","Saxony-Anhalt","Urban Area","78","1","1","1"
"Not a day","2013","Saxony-Anhalt","Rural Area","211","1","1","1"
"Not a day","2013","Thuringia","Urban Area","94","1","1","1"
"Not a day","2013","Thuringia","Rural Area","201","1","1","1"
"Not a day","2014","Schleswig-Holstein","Urban Area","83","1","1","1"
"Not a day","2014","Schleswig-Holstein","Rural Area","191","1","1","1"
"Not a day","2014","Hamburg","Urban Area","157","1","1","1"
"Not a day","2014","Hamburg","Rural Area","","","",""
"Not a day","2014","Lower Saxony","Urban Area","350","1","1","1"
"Not a day","2014","Lower Saxony","Rural Area","429","1","1","1"
"Not a day","2014","Bremen","Urban Area","80","1","1","1"
"Not a day","2014","Bremen","Rural Area","","","",""
"Not a day","2014","North Rhine-Westphalia","Urban Area","1772","1","1","1"
"Not a day","2014","North Rhine-Westphalia","Rural Area","40","1","1","1"
"Not a day","2014","Hesse","Urban Area","443","1","1","1"
"Not a day","2014","Hesse","Rural Area","79","1","1","1"
"Not a day","2014","Rhineland-Palatinate,Saarland","Urban Area","351","1","1","1"
