"year","e11102","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2010","Employed","Male","1957.7","1800","7281","502","1200","2400","3330","6600","1921.09","1994.31","0","30000","1800","1890"
"2010","Not Employed","Female","802.88","700","277","150","345","1100","1660","2800","721.89","883.87","0","4819","400","700"
"2010","Not Employed","Male","1061.08","881.89","112","70","250","1600","2550","2900","852.79","1269.37","0","8500","400","945"
"2011","Employed","Female","1199.7","1100","8134","345","574","1600","2100","4000","1180.93","1218.47","0","12000","1000","1020"
"2011","Employed","Male","2010.01","1800","8422","600","1244","2500","3500","6800","1975.5","2044.52","0","35000","1900","1915"
"2011","Not Employed","Female","702.33","443.73","367","100","286","1100","1500","2500","638.45","766.21","0","4200","400","581"
"2011","Not Employed","Male","973.42","779.21","107","100","180","1500","2218","4100","786.48","1160.36","0","4900","635","1200"
"2012","Employed","Female","1236.57","1100","8157","350","597","1680","2200","4000","1216.05","1257.09","0","24000","1000","1050"
"2012","Employed","Male","2019.62","1800","8117","530","1250","2500","3500","6400","1983.84","2055.4","0","36000","1900","1950"
"2012","Not Employed","Female","645.99","430","314","0","166","1076","1500","2400","583.61","708.37","0","2500","400","582"
"2012","Not Employed","Male","1375.65","1345.35","179","167","800","1880","2600","4000","1192.36","1558.94","0","12000","1250","1580"
"2013","Employed","Female","1272.89","1150","7880","360","600","1700","2300","4300","1252.32","1293.46","0","18000","1024","1100"
"2013","Employed","Male","2097.25","1850","7534","578","1300","2600","3600","7000","2058.89","2135.61","0","37000","1900","2000"
"2013","Not Employed","Female","933.62","780","1788","200","400","1300","1842","3300","901.29","965.95","0","6000","720","800"
"2013","Not Employed","Male","1631.62","1500","1920","424","950","2100","2900","6000","1580.04","1683.2","0","18000","1500","1570"
"2014","Employed","Female","1285.6","1150","8175","360","600","1715","2350","4300","1264.74","1306.46","0","20000","1017","1100"
"2014","Employed","Male","2097.37","1900","8010","566","1300","2600","3600","6815","2061.94","2132.8","0","25000","1900","2000"
"2014","Not Employed","Female","845.82","656.08","377","111","353","1400","1790","3000","779.04","912.6","0","4200","480","702"
"2014","Not Employed","Male","1558.22","1280","295","169","535","2067","3250","4698","1350.65","1765.79","0","25000","1100","1350"
"2015","Employed","Female","1351.9","1200","7652","400","664","1800","2400","4500","1329.91","1373.89","0","24000","1100","1100"
"2015","Employed","Male","2141.29","1900","7419","534","1300","2650","3800","7000","2102.34","2180.24","0","30000","1980","2000"
"2015","Not Employed","Female","926.7","684.21","750","90","365","1415","1900","3500","869.73","983.67","0","7000","700","820"
"2015","Not Employed","Male","1402.64","1300","812","300","570","1900","2600","4500","1334.59","1470.69","0","6200","1370","1500"
"2016","Employed","Female","1389.76","1250","7533","400","690","1850","2500","4500","1367.1","1412.42","0","20800","1131","1200"
"2016","Employed","Male","2155.57","1950","7170","570","1300","2604","3800","7400","2116.44","2194.7","0","32000","1961","2000"
"2016","Not Employed","Female","591.56","450","422","30","174","850","1490","2379","540.77","642.35","0","2900","400","450"
"2016","Not Employed","Male","840.56","500","673","50","223","1249","2000","3700","784.02","897.1","0","7000","450","548"
"2017","Employed","Female","1410.62","1260","8454","400","700","1881","2500","4550","1389.18","1432.06","0","17000","1170","1200"
"2017","Employed","Male","2188.64","2000","8249","600","1350","2700","3800","7100","2153.57","2223.71","0","36600","2000","2000"
"2017","Not Employed","Female","709.86","450","481","76","168","1100","1600","3500","652.72","767","0","4500","400","450"
"2017","Not Employed","Male","917.74","600","876","50","278","1200","2300","4500","868.71","966.77","0","7000","600","731"
"2018","Employed","Female","1458.77","1300","8192","417","750","1900","2650","4583","1437.42","1480.12","0","18400","1200","1261"
"2018","Employed","Male","2254.79","2000","8098","603","1400","2800","3900","7500","2218.28","2291.3","0","40000","2000","2000"
"2018","Not Employed","Female","715.41","623","454","60","198","1000","1500","2900","656.65","774.17","0","5698","450","550"
"2018","Not Employed","Male","909.31","611.46","891","120","250","1300","2300","3501","861.27","957.35","0","7000","678","820"
"2019","Employed","Female","1523.29","1400","8115","450","840","2000","2700","4463","1495.89","1550.69","0","40000","1346","1400"
"2019","Employed","Male","2376.3","2100","8870","700","1500","2900","4000","8000","2303.09","2449.51","0","2e+05","2150","2200"
"2019","Not Employed","Female","924.84","546.22","605","99","280","1300","2100","4700","664.5","1185.18","0","75000","450","580"
"2019","Not Employed","Male","2991.23","1000","838","108","420","2000","3011","8000","-989.02","6971.48","0","1700000","811","1050"
