"year","age_gr","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2009","35-65 y.","direct migration background","1456.28","1350","691","380","600","1899","2400","5700","1367.99","1544.57","0","12975","1300","1500"
"2009","35-65 y.","indirect migration background","1731.59","1514.74","152","501","1000","2121","3000","6851","1509.72","1953.46","100","8000","1449","1900"
"2009","35-65 y.","no migration background","1763.04","1594.68","6728","400","970","2200","3100","6100","1728.31","1797.77","0","24399","1575","1600"
"2009","66 and older","direct migration background","","","","","","","","","","","","","",""
"2009","66 and older","indirect migration background","","","","","","","","","","","","","",""
"2009","66 and older","no migration background","1214.75","400","215","120","250","1457","3000","8000","965.3","1464.2","0","11000","400","700"
"2010","16-34 y.","direct migration background","1012.15","800","435","230","400","1500","2100","3200","935.72","1088.58","28","6600","1000","1200"
"2010","16-34 y.","indirect migration background","1113.95","1008","393","284","460","1550","2000","3645","1017.8","1210.1","0","11692","1000","1220"
"2010","16-34 y.","no migration background","1251.33","1150","2947","319","591","1690","2100","4276","1220.31","1282.35","0","13620","1070","1120"
"2010","35-65 y.","direct migration background","1564.31","1388.3","1050","370","640","1920","2600","6500","1477.18","1651.44","0","24385","1350","1500"
"2010","35-65 y.","indirect migration background","1744.14","1615.61","284","400","1000","2253","2900","7000","1587.45","1900.83","0","7523","1400","1740"
"2010","35-65 y.","no migration background","1775.11","1600","8793","400","955","2200","3130","6300","1742.91","1807.31","0","30000","1580","1600"
"2010","66 and older","direct migration background","","","","","","","","","","","","","",""
"2010","66 and older","indirect migration background","","","","","","","","","","","","","",""
"2010","66 and older","no migration background","1080.79","400","197","102","300","1320","2800","8000","823.19","1338.39","0","10984","400","700"
"2011","16-34 y.","direct migration background","1259.52","1200","464","360","600","1720","2122","3500","1189.39","1329.65","0","4800","1000","1200"
"2011","16-34 y.","indirect migration background","1251.45","1100","440","320","530","1700","2150","4200","1152.82","1350.08","0","13000","1000","1200"
"2011","16-34 y.","no migration background","1241.61","1200","3285","330","610","1700","2100","4000","1212.97","1270.25","0","15000","1080","1113"
"2011","35-65 y.","direct migration background","1557.85","1400","1308","398","700","1999","2800","5699","1490.28","1625.42","0","16800","1346","1500"
"2011","35-65 y.","indirect migration background","1694.06","1500","396","400","830","2253","3500","5000","1558.74","1829.38","0","12000","1400","1620"
"2011","35-65 y.","no migration background","1821.48","1635.81","10910","400","1000","2300","3300","6367","1792.98","1849.98","0","35000","1600","1620"
"2011","66 and older","direct migration background","","","","","","","","","","","","","",""
"2011","66 and older","indirect migration background","","","","","","","","","","","","","",""
"2011","66 and older","no migration background","988.44","400","210","150","300","1200","2800","5000","755.21","1221.67","0","10984","400","668"
"2012","16-34 y.","direct migration background","1230.57","1102.92","436","350","480","1800","2100","3300","1105.68","1355.46","0","24000","1000","1200"
"2012","16-34 y.","indirect migration background","1220.23","1178.27","420","330","525","1612","2300","3500","1140.15","1300.31","0","4900","820","1100"
"2012","16-34 y.","no migration background","1251.97","1200.36","3132","316","600","1750","2150","3400","1224.09","1279.85","0","8000","1080","1150"
"2012","35-65 y.","direct migration background","1569.16","1490.8","1338","390","800","2000","2800","5200","1490.71","1647.61","0","30000","1300","1500"
"2012","35-65 y.","indirect migration background","1862.35","1693","435","400","1100","2301","3400","7800","1734.5","1990.2","0","10000","1500","1700"
"2012","35-65 y.","no migration background","1871.33","1683.09","10720","450","1048","2370","3400","6100","1842.34","1900.32","0","36000","1600","1620"
"2012","66 and older","direct migration background","","","","","","","","","","","","","",""
"2012","66 and older","indirect migration background","","","","","","","","","","","","","",""
"2012","66 and older","no migration background","798.38","400","268","130","292","900","2300","5500","641.32","955.44","0","10984","400","450"
"2013","16-34 y.","direct migration background","1220","1200","1160","300","500","1700","2200","3500","1174.66","1265.34","0","4500","900","1100"
"2013","16-34 y.","indirect migration background","1266.75","1179.01","808","300","500","1750","2500","4500","1204.66","1328.84","0","8000","800","1043"
"2013","16-34 y.","no migration background","1252.93","1200","3040","326","580","1750","2203","3800","1224.67","1281.19","0","7000","1050","1100"
