"pli0165","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","2014","66 and older","middle vocational","","","",""
"Min 1x per week","2014","66 and older","vocational + Abi","","","",""
"Min 1x per week","2014","66 and older","higher vocational","","","",""
"Min 1x per week","2014","66 and older","higher education","","","",""
"Min 1x per month","2014","16-34 y.","in school","","","",""
"Min 1x per month","2014","16-34 y.","inadequately","","","",""
"Min 1x per month","2014","16-34 y.","general elemantary","","","",""
"Min 1x per month","2014","16-34 y.","middle vocational","","","",""
"Min 1x per month","2014","16-34 y.","vocational + Abi","","","",""
"Min 1x per month","2014","16-34 y.","higher vocational","","","",""
"Min 1x per month","2014","16-34 y.","higher education","","","",""
"Min 1x per month","2014","35-65 y.","in school","","","",""
"Min 1x per month","2014","35-65 y.","inadequately","","","",""
"Min 1x per month","2014","35-65 y.","general elemantary","","","",""
"Min 1x per month","2014","35-65 y.","middle vocational","","","",""
"Min 1x per month","2014","35-65 y.","vocational + Abi","","","",""
"Min 1x per month","2014","35-65 y.","higher vocational","","","",""
"Min 1x per month","2014","35-65 y.","higher education","","","",""
"Min 1x per month","2014","66 and older","in school","","","",""
"Min 1x per month","2014","66 and older","inadequately","","","",""
"Min 1x per month","2014","66 and older","general elemantary","","","",""
"Min 1x per month","2014","66 and older","middle vocational","","","",""
"Min 1x per month","2014","66 and older","vocational + Abi","","","",""
"Min 1x per month","2014","66 and older","higher vocational","","","",""
"Min 1x per month","2014","66 and older","higher education","","","",""
"Rarely","2014","16-34 y.","in school","","","",""
"Rarely","2014","16-34 y.","inadequately","","","",""
"Rarely","2014","16-34 y.","general elemantary","","","",""
"Rarely","2014","16-34 y.","middle vocational","","","",""
"Rarely","2014","16-34 y.","vocational + Abi","","","",""
"Rarely","2014","16-34 y.","higher vocational","","","",""
"Rarely","2014","16-34 y.","higher education","","","",""
"Rarely","2014","35-65 y.","in school","","","",""
"Rarely","2014","35-65 y.","inadequately","","","",""
"Rarely","2014","35-65 y.","general elemantary","","","",""
"Rarely","2014","35-65 y.","middle vocational","","","",""
"Rarely","2014","35-65 y.","vocational + Abi","","","",""
"Rarely","2014","35-65 y.","higher vocational","","","",""
"Rarely","2014","35-65 y.","higher education","","","",""
"Rarely","2014","66 and older","in school","","","",""
"Rarely","2014","66 and older","inadequately","","","",""
"Rarely","2014","66 and older","general elemantary","","","",""
"Rarely","2014","66 and older","middle vocational","","","",""
"Rarely","2014","66 and older","vocational + Abi","","","",""
"Rarely","2014","66 and older","higher vocational","","","",""
"Rarely","2014","66 and older","higher education","","","",""
"Never","2014","16-34 y.","in school","","","",""
"Never","2014","16-34 y.","inadequately","","","",""
"Never","2014","16-34 y.","general elemantary","","","",""
"Never","2014","16-34 y.","middle vocational","","","",""
"Never","2014","16-34 y.","vocational + Abi","","","",""
"Never","2014","16-34 y.","higher vocational","","","",""
