"pli0165","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","2019","general elemantary","East Germany","58","0.690911411293489","0.596482094838997","0.785340727747982","1"
"Daily","2019","middle vocational","West Germany","371","0.736084042723878","0.697295471807348","0.774872613640407","1"
"Daily","2019","middle vocational","East Germany","53","0.664378858589637","0.561544524834928","0.767213192344346","1"
"Daily","2019","vocational + Abi","West Germany","58","0.740145532767863","0.643438468384148","0.836852597151578","1"
"Daily","2019","vocational + Abi","East Germany","6","","","","1"
"Daily","2019","higher education","East Germany","64","0.825114694651246","0.743391964768536","0.906837424533956","1"
"Min 1x per month","2019","in school","West Germany","","","","","3"
"Min 1x per month","2019","in school","East Germany","","","","","3"
"Min 1x per month","2019","inadequately","West Germany","19","","","","3"
"Min 1x per month","2019","inadequately","East Germany","2","","","","3"
"Min 1x per month","2019","general elemantary","East Germany","2","","","","3"
"Min 1x per month","2019","middle vocational","West Germany","10","","","","3"
"Min 1x per month","2019","middle vocational","East Germany","1","","","","3"
"Min 1x per month","2019","vocational + Abi","West Germany","2","","","","3"
"Min 1x per month","2019","vocational + Abi","East Germany","","","","","3"
"Min 1x per month","2019","higher vocational","West Germany","","","","","3"
"Min 1x per month","2019","higher vocational","East Germany","","","","","3"
"Min 1x per month","2019","higher education","West Germany","6","","","","3"
"Min 1x per month","2019","higher education","East Germany","1","","","","3"
"Min 1x per month","2019","general elemantary","West Germany","13","","","","3"
"Min 1x per week","2019","in school","West Germany","","","","","2"
"Min 1x per week","2019","in school","East Germany","","","","","2"
"Min 1x per week","2019","inadequately","West Germany","207","0.189322329735509","0.16702613381553","0.211618525655489","2"
"Min 1x per week","2019","inadequately","East Germany","27","","","","2"
"Min 1x per week","2019","general elemantary","West Germany","93","0.15227954371989","0.123813999259247","0.180745088180533","2"
"Min 1x per week","2019","general elemantary","East Germany","13","","","","2"
"Min 1x per week","2019","middle vocational","West Germany","70","0.134386060633975","0.104370498231634","0.164401623036315","2"
"Min 1x per week","2019","higher vocational","West Germany","","","","","2"
"Min 1x per week","2019","higher vocational","East Germany","","","","","2"
"Min 1x per week","2019","vocational + Abi","West Germany","13","","","","2"
"Min 1x per week","2019","vocational + Abi","East Germany","1","","","","2"
"Min 1x per week","2019","higher education","East Germany","8","","","","2"
"Min 1x per week","2019","middle vocational","East Germany","16","","","","2"
"Min 1x per week","2019","higher education","West Germany","61","0.114371224597349","0.0867767654654426","0.141965683729255","2"
"Never","2019","in school","West Germany","","","","","5"
"Never","2019","in school","East Germany","","","","","5"
"Never","2019","inadequately","West Germany","144","0.10067105207512","0.0835465742851174","0.117795529865123","5"
"Never","2019","inadequately","East Germany","26","","","","5"
"Never","2019","general elemantary","West Germany","34","0.0548231773038275","0.0367883905082981","0.0728579640993569","5"
"Never","2019","general elemantary","East Germany","13","","","","5"
"Never","2019","middle vocational","West Germany","21","","","","5"
"Never","2019","middle vocational","East Germany","9","","","","5"
"Never","2019","vocational + Abi","West Germany","5","","","","5"
"Never","2019","vocational + Abi","East Germany","1","","","","5"
"Never","2019","higher vocational","West Germany","","","","","5"
"Never","2019","higher vocational","East Germany","","","","","5"
"Never","2019","higher education","West Germany","21","","","","5"
"Never","2019","higher education","East Germany","2","","","","5"
"Rarely","2019","in school","West Germany","","","","","4"
"Rarely","2019","in school","East Germany","","","","","4"
"Rarely","2019","inadequately","West Germany","69","0.0631595798457203","0.04931568879675","0.0770034708946905","4"
"Rarely","2019","inadequately","East Germany","12","","","","4"
"Rarely","2019","general elemantary","West Germany","23","","","","4"
"Rarely","2019","general elemantary","East Germany","6","","","","4"
"Rarely","2019","middle vocational","West Germany","24","","","","4"
"Rarely","2019","middle vocational","East Germany","2","","","","4"
"Rarely","2019","vocational + Abi","West Germany","1","","","","4"
"Rarely","2019","higher vocational","East Germany","","","","","4"
"Rarely","2019","vocational + Abi","East Germany","","","","","4"
"Rarely","2019","higher vocational","West Germany","","","","","4"
"Rarely","2019","higher education","West Germany","22","","","","4"
"Rarely","2019","higher education","East Germany","8","","","","4"
