"year","e11102","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","Employed","higher education","3.76","4","3380","2","3","5","5","5","3.72","3.8","1","5","4","4"
"2003","Employed","higher vocational","4.01","4","1198","2","4","5","5","5","3.95","4.07","1","5","4","4"
"2003","Employed","in school","3.16","3","117","1","2","4","5","5","2.91","3.41","1","5","2","3"
"2003","Employed","inadequately","4.81","5","109","4","5","5","5","5","4.69","4.93","1","5","5","5"
"2003","Employed","middle vocational","4.25","5","6940","3","4","5","5","5","4.23","4.27","1","5","5","5"
"2003","Employed","vocational + Abi","4.03","4","872","2","4","5","5","5","3.96","4.1","1","5","4","4"
"2003","Not Employed","general elemantary","4.59","5","1484","3","5","5","5","5","4.55","4.63","1","5","5","5"
"2003","Not Employed","higher education","3.89","4","963","2","3","5","5","5","3.81","3.97","1","5","4","4"
"2003","Not Employed","higher vocational","4.27","5","480","3","4","5","5","5","4.17","4.37","1","5","5","5"
"2003","Not Employed","in school","3.37","4","496","1","2","5","5","5","3.24","3.5","1","5","3","4"
"2003","Not Employed","inadequately","4.88","5","159","5","5","5","5","5","4.8","4.96","1","5","5","5"
"2003","Not Employed","middle vocational","4.43","5","4164","3","4","5","5","5","4.4","4.46","1","5","5","5"
"2003","Not Employed","vocational + Abi","3.99","4","287","2","3","5","5","5","3.85","4.13","1","5","4","5"
"2004","Employed","general elemantary","","","","","","","","","","","","","",""
"2004","Employed","higher education","","","","","","","","","","","","","",""
"2004","Employed","higher vocational","","","","","","","","","","","","","",""
"2004","Employed","in school","","","","","","","","","","","","","",""
"2004","Employed","inadequately","","","","","","","","","","","","","",""
"2004","Employed","middle vocational","","","","","","","","","","","","","",""
"2004","Employed","vocational + Abi","","","","","","","","","","","","","",""
"2004","Not Employed","general elemantary","","","","","","","","","","","","","",""
"2004","Not Employed","higher education","","","","","","","","","","","","","",""
"2004","Not Employed","higher vocational","","","","","","","","","","","","","",""
"2004","Not Employed","in school","","","","","","","","","","","","","",""
"2004","Not Employed","inadequately","","","","","","","","","","","","","",""
"2004","Not Employed","middle vocational","","","","","","","","","","","","","",""
"2004","Not Employed","vocational + Abi","","","","","","","","","","","","","",""
"2005","Employed","general elemantary","4.48","5","1045","3","4","5","5","5","4.43","4.53","2","5","5","5"
"2005","Employed","higher education","3.98","4","3156","2","3","5","5","5","3.94","4.02","2","5","4","4"
"2005","Employed","higher vocational","4.23","4","1100","3","4","5","5","5","4.18","4.28","2","5","4","5"
"2005","Employed","in school","3.81","4","99","2","3","5","5","5","3.57","4.05","2","5","3","4"
"2005","Employed","inadequately","4.7","5","92","4","5","5","5","5","4.53","4.87","2","5","5","5"
"2005","Employed","middle vocational","4.35","5","6293","3","4","5","5","5","4.33","4.37","2","5","5","5"
"2005","Employed","vocational + Abi","4.15","4","844","2","4","5","5","5","4.08","4.22","2","5","4","4"
"2005","Not Employed","general elemantary","4.63","5","1344","4","5","5","5","5","4.59","4.67","2","5","5","5"
"2005","Not Employed","higher education","4.04","4","997","2","3","5","5","5","3.97","4.11","2","5","4","4"
