"year","age_gr","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2001","16-34 y.","Part Time","4.19","5","1765","2","4","5","5","5","4.14","4.24","2","5","4","5"
"2001","35-65 y.","Full Time","4.4","5","6071","3","4","5","5","5","4.38","4.42","2","5","5","5"
"2001","35-65 y.","Not Working","4.44","5","3195","3","4","5","5","5","4.41","4.47","2","5","5","5"
"2001","35-65 y.","Part Time","4.33","5","2908","2","4","5","5","5","4.29","4.37","2","5","5","5"
"2001","66 and older","Full Time","","","","","","","","","","","","","",""
"2001","66 and older","Not Working","4.59","5","3237","3","5","5","5","5","4.56","4.62","2","5","5","5"
"2001","66 and older","Part Time","4.18","5","125","2","4","5","5","5","3.99","4.37","2","5","4","5"
"2002","16-34 y.","Full Time","","","","","","","","","","","","","",""
"2002","16-34 y.","Not Working","","","","","","","","","","","","","",""
"2002","16-34 y.","Part Time","","","","","","","","","","","","","",""
"2002","35-65 y.","Full Time","","","","","","","","","","","","","",""
"2002","35-65 y.","Not Working","","","","","","","","","","","","","",""
"2002","35-65 y.","Part Time","","","","","","","","","","","","","",""
"2002","66 and older","Full Time","","","","","","","","","","","","","",""
"2002","66 and older","Not Working","","","","","","","","","","","","","",""
"2002","66 and older","Part Time","","","","","","","","","","","","","",""
"2003","16-34 y.","Full Time","4.11","4","2501","2","4","5","5","5","4.07","4.15","1","5","4","5"
"2003","16-34 y.","Not Working","3.92","4","1644","2","3","5","5","5","3.86","3.98","1","5","4","4"
"2003","16-34 y.","Part Time","3.93","4","1712","2","3","5","5","5","3.87","3.99","1","5","4","4"
"2003","35-65 y.","Full Time","4.21","5","6344","3","4","5","5","5","4.18","4.24","1","5","4","4"
"2003","35-65 y.","Not Working","4.31","5","3036","2","4","5","5","5","4.27","4.35","1","5","5","5"
"2003","35-65 y.","Part Time","4.13","5","3243","2","4","5","5","5","4.09","4.17","1","5","4","4"
"2003","66 and older","Full Time","4.02","4","47","2","4","5","5","5","3.62","4.42","1","5","4","5"
"2003","66 and older","Not Working","4.5","5","3451","3","4","5","5","5","4.47","4.53","1","5","5","5"
"2003","66 and older","Part Time","4.06","5","161","2","3","5","5","5","3.86","4.26","1","5","4","5"
"2004","16-34 y.","Full Time","","","","","","","","","","","","","",""
"2004","16-34 y.","Not Working","","","","","","","","","","","","","",""
"2004","16-34 y.","Part Time","","","","","","","","","","","","","",""
"2004","35-65 y.","Full Time","","","","","","","","","","","","","",""
"2004","35-65 y.","Not Working","","","","","","","","","","","","","",""
"2004","35-65 y.","Part Time","","","","","","","","","","","","","",""
"2004","66 and older","Full Time","","","","","","","","","","","","","",""
"2004","66 and older","Not Working","","","","","","","","","","","","","",""
"2004","66 and older","Part Time","","","","","","","","","","","","","",""
"2005","16-34 y.","Full Time","4.29","5","2096","3","4","5","5","5","4.25","4.33","2","5","5","5"
"2005","16-34 y.","Not Working","4.02","4","1613","2","3","5","5","5","3.96","4.08","2","5","4","4"
"2005","16-34 y.","Part Time","4.13","4","1599","2","4","5","5","5","4.08","4.18","2","5","4","4"
"2005","35-65 y.","Full Time","4.33","5","5872","3","4","5","5","5","4.31","4.35","2","5","5","5"
"2005","35-65 y.","Not Working","4.42","5","2682","3","4","5","5","5","4.39","4.45","2","5","5","5"
"2005","35-65 y.","Part Time","4.23","5","3002","2","4","5","5","5","4.19","4.27","2","5","4","5"
"2005","66 and older","Full Time","4.53","5","37","3","4","5","5","5","4.18","4.88","2","5","4","5"
"2005","66 and older","Not Working","4.53","5","3533","3","4","5","5","5","4.5","4.56","2","5","5","5"
"2005","66 and older","Part Time","4.1","4","188","2","4","5","5","5","3.94","4.26","2","5","4","5"
"2006","16-34 y.","Full Time","","","","","","","","","","","","","",""
"2006","16-34 y.","Not Working","","","","","","","","","","","","","",""
"2006","16-34 y.","Part Time","","","","","","","","","","","","","",""
"2006","35-65 y.","Full Time","","","","","","","","","","","","","",""
"2006","35-65 y.","Not Working","","","","","","","","","","","","","",""
"2006","35-65 y.","Part Time","","","","","","","","","","","","","",""
"2006","66 and older","Full Time","","","","","","","","","","","","","",""
"2006","66 and older","Not Working","","","","","","","","","","","","","",""
"2006","66 and older","Part Time","","","","","","","","","","","","","",""
"2007","16-34 y.","Full Time","4.31","5","1959","3","4","5","5","5","4.27","4.35","2","5","5","5"
"2007","16-34 y.","Not Working","4.03","4","1324","2","3","5","5","5","3.97","4.09","2","5","4","4"
"2007","16-34 y.","Part Time","4.09","4","1422","2","4","5","5","5","4.03","4.15","2","5","4","4"
"2007","35-65 y.","Full Time","4.3","5","5806","3","4","5","5","5","4.28","4.32","2","5","5","5"
"2007","35-65 y.","Not Working","4.4","5","2516","3","4","5","5","5","4.36","4.44","2","5","5","5"
"2007","35-65 y.","Part Time","4.24","5","3067","2","4","5","5","5","4.2","4.28","2","5","4","5"
"2007","66 and older","Full Time","4.35","5","54","3","4","5","5","5","4.08","4.62","2","5","4","5"
"2007","66 and older","Not Working","4.49","5","4066","3","4","5","5","5","4.46","4.52","2","5","5","5"
"2007","66 and older","Part Time","4.32","5","216","2","4","5","5","5","4.18","4.46","2","5","4","5"
"2008","16-34 y.","Full Time","4.1","4","1854","2","4","5","5","5","4.05","4.15","1","5","4","5"
"2008","16-34 y.","Not Working","3.77","4","1199","2","3","5","5","5","3.69","3.85","1","5","4","4"
"2008","16-34 y.","Part Time","3.83","4","1312","2","3","5","5","5","3.76","3.9","1","5","4","4"
"2008","35-65 y.","Full Time","4.17","5","5568","2","4","5","5","5","4.14","4.2","1","5","4","5"
"2008","35-65 y.","Not Working","4.26","5","2213","2","4","5","5","5","4.21","4.31","1","5","5","5"
"2008","35-65 y.","Part Time","4.11","4","2876","2","4","5","5","5","4.07","4.15","1","5","4","4"
"2008","66 and older","Full Time","4.12","5","58","2","4","5","5","5","3.8","4.44","1","5","4","5"
"2008","66 and older","Not Working","4.39","5","4038","3","4","5","5","5","4.36","4.42","1","5","5","5"
"2008","66 and older","Part Time","3.93","4","227","2","3","5","5","5","3.77","4.09","1","5","4","5"
"2009","16-34 y.","Full Time","4.17","4","1726","2","4","5","5","5","4.12","4.22","2","5","4","5"
"2009","16-34 y.","Not Working","3.99","4","1028","2","3","5","5","5","3.92","4.06","2","5","4","4"
"2009","16-34 y.","Part Time","4.03","4","1225","2","3","5","5","5","3.97","4.09","2","5","4","4"
"2009","35-65 y.","Full Time","4.26","5","5175","3","4","5","5","5","4.23","4.29","2","5","4","5"
"2009","35-65 y.","Not Working","4.38","5","1920","3","4","5","5","5","4.34","4.42","2","5","5","5"
"2009","35-65 y.","Part Time","4.21","5","2723","2","4","5","5","5","4.17","4.25","2","5","4","5"
"2009","66 and older","Full Time","4.44","5","66","3","4","5","5","5","4.19","4.69","2","5","4","5"
