"year","e11103","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1993","Not Working","Other degree","1434.59","1286.6","263","552","971","1738","2219","4602","1317.35","1551.83","77","6136","1329","1534"
"1993","Not Working","secondary school degree","1757.78","1534","778","740","1023","2199","3017","5624","1669.55","1846.01","251","21474","1534","1636"
"1993","Part Time","college entrance qualification","2309.13","2138.04","420","767","1329","3017","3835","5624","2186.81","2431.45","256","15339","2045","2301"
"1993","Part Time","lower secondary degree","1937.45","1790","956","869","1278","2403","3196","4857","1876.45","1998.45","256","7669","1790","1889"
"1993","Part Time","no degree/no degree yet","1918.37","1790","101","910","1278","2301","2812","7159","1713.71","2123.03","291","7159","1708","2045"
"1993","Part Time","Other degree","1712.68","1636","160","767","1125","2096","2659","3681","1577.79","1847.57","409","5987","1790","2045"
"1993","Part Time","secondary school degree","1994.45","1841","674","920","1278","2556","3323","5113","1925.67","2063.23","220","5624","1790","1843"
"1994","Full Time","college entrance qualification","2603.71","2556","924","1278","1790","3119","4090","6136","2529.62","2677.8","256","10226","2480","2556"
"1994","Full Time","lower secondary degree","2080.81","1943","2063","1125","1483","2556","3170","5057","2041.59","2120.03","153","9203","1943","2045"
"1994","Full Time","no degree/no degree yet","1950.2","1805.57","214","1125","1380","2301","2945","4090","1829.09","2071.31","460","5778","1820","2096"
"1994","Full Time","Other degree","1982.49","1808.64","469","1058","1380","2403","3068","4244","1904.85","2060.13","307","5778","1892","2096"
"1994","Full Time","secondary school degree","2220.76","2045","1968","1074","1534","2659","3579","5113","2176.06","2265.46","264","15339","2045","2045"
"1994","Not Working","college entrance qualification","2028.47","1943","442","746","1329","2556","3323","4806","1931.19","2125.75","174","10226","1841","2045"
"1994","Not Working","lower secondary degree","1403.5","1278","2375","614","910","1738","2301","3937","1372.81","1434.19","102","7669","1329","1391"
"1994","Not Working","no degree/no degree yet","2179.02","1917","481","798","1278","2608","3579","9203","2061.85","2296.19","219","15339","1790","2045"
"1994","Not Working","Other degree","1565.96","1409.28","259","562","1023","1994","2352","5113","1449.06","1682.86","415","5726","1380","1595"
"1994","Not Working","secondary school degree","1741.75","1534","762","818","1125","2045","2965","5113","1672.54","1810.96","153","10226","1534","1687"
"1994","Part Time","college entrance qualification","2503.03","2301","370","818","1534","3216","4239","10226","2357.06","2649","205","15339","2242","2556"
"1994","Part Time","lower secondary degree","2050.17","1790","897","895","1278","2418","3323","9203","1973.37","2126.97","205","15339","1790","1841"
"1994","Part Time","no degree/no degree yet","1903.76","1899.12","101","759","1278","2352","3006","5420","1698.11","2109.41","409","5778","1790","2147"
