"year","e11102","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1989","Not Employed","(2c_gen) general maturity certificate","1944.45","1692.6","164","511","1023","2556","3323","6647","1765.78","2123.12","322","6647","1534","2035"
"1989","Not Employed","(2c_voc) vocational maturity certificate","1589.04","1432","102","767","1044","1994","2556","4141","1417.69","1760.39","256","6136","1283","1687"
"1989","Not Employed","(3a) lower tertiary education","1838.54","1528.21","48","1017","1176","2122","2710","10226","1433.76","2243.32","511","10226","1432","2053"
"1989","Not Employed","(3b) higher tertiary education","2328.27","1738","68","549","920","2556","3579","33234","1375.13","3281.41","409","33234","1561","2147"
"1990","Employed","(0) in school","","","","","","","","","","","","","",""
"1990","Employed","(1a) inadequately completed","1724.52","1545.65","397","971","1227","2045","2556","4346","1641.09","1807.95","153","5573","1738","1841"
"1990","Employed","(1b) general elementary school","1791.81","1662","1144","782","1176","2224","2812","4346","1722.94","1860.68","208","20452","1738","1790"
"1990","Employed","(1c) basic vocational qualification","1921.03","1790","2106","1002","1304","2301","3017","5011","1859.71","1982.35","0","38347","1790","1892"
"1990","Employed","(2a) intermediate vocational","2136.37","2045","894","1074","1534","2556","3068","5496","2035.76","2236.98","383","38347","1994","2045"
"1990","Employed","(2b) intermediate general qualification","2019.75","1892","237","767","1176","2301","2812","5113","1794.68","2244.82","107","25565","1866","2045"
"1990","Employed","(2c_gen) general maturity certificate","1775.59","1534","187","690","1023","2301","3068","4090","1637.28","1913.9","0","6647","1534","2045"
"1990","Employed","(2c_voc) vocational maturity certificate","2144.36","1841","286","971","1329","2556","3272","5113","1868.15","2420.57","409","38347","1815","2045"
"1990","Employed","(3a) lower tertiary education","2326.99","2147","180","1125","1534","2766","3426","10226","2133.83","2520.15","614","10226","2045","2403"
"1990","Employed","(3b) higher tertiary education","2561.54","2454","360","1278","1687","3068","4090","6136","2435.39","2687.69","496","10226","2352","2608"
"1990","Not Employed","(0) in school","2331.74","2153.74","138","1023","1636","3017","3537","5496","2167.27","2496.21","205","5496","1917","2301"
"1990","Not Employed","(1a) inadequately completed","1430.58","1290.8","279","511","920","1790","2301","4090","1327.07","1534.09","153","5277","1432","1738"
"1990","Not Employed","(1b) general elementary school","1246.2","1023","945","511","741","1534","2045","3988","1154.48","1337.92","0","38347","1227","1278"
"1990","Not Employed","(1c) basic vocational qualification","1449.48","1278","981","614","920","1687","2292","4704","1364.85","1534.11","227","25565","1314","1391"
"1990","Not Employed","(2a) intermediate vocational","1656.73","1534","321","767","1023","2045","2710","4244","1556.42","1757.04","256","9520","1534","1790"
"1990","Not Employed","(2b) intermediate general qualification","1512.61","1534","108","639","895","2009","2556","3538","1365.31","1659.91","66","3988","1534","1841"
"1990","Not Employed","(2c_gen) general maturity certificate","1961.93","1782.22","143","419","1023","2556","3579","6647","1741.8","2182.06","0","9520","1611","1994"
"1990","Not Employed","(2c_voc) vocational maturity certificate","1666.95","1432","107","793","1227","2045","2556","4090","1494.81","1839.09","230","5113","1329","1790"
"1990","Not Employed","(3a) lower tertiary education","1814.49","1636","47","1180","1493","2199","2659","3579","1616.88","2012.1","268","3630","1534","2147"
"1990","Not Employed","(3b) higher tertiary education","1822.01","1636","75","511","1023","2257","3119","10226","1518.38","2125.64","0","10226","1534","2045"
"1991","Employed","(0) in school","","","","","","","","","","","","","",""
"1991","Employed","(1a) inadequately completed","1777.86","1636","386","1023","1278","2045","2608","4090","1693.25","1862.47","460","6238","1790","1943"
"1991","Employed","(1b) general elementary school","1832.14","1715.63","1123","818","1227","2301","3068","4438","1780.53","1883.75","182","7669","1790","1841"
"1991","Employed","(1c) basic vocational qualification","1974.27","1841","2098","1023","1380","2403","3068","5113","1937.08","2011.46","256","7311","1841","1943"
"1991","Employed","(2a) intermediate vocational","2160.65","2045","902","1023","1483","2556","3323","6064","2093.54","2227.76","332","10226","2045","2096"
"1991","Employed","(2b) intermediate general qualification","1922.55","1835.92","220","920","1278","2429","3068","4561","1806.76","2038.34","307","4602","1841","2045"
"1991","Employed","(2c_gen) general maturity certificate","1983.34","2034.94","181","767","1278","2454","3272","4388","1816.45","2150.23","358","10021","1790","2096"
"1991","Employed","(2c_voc) vocational maturity certificate","2027.58","1841","308","920","1278","2556","3301","6136","1917.46","2137.7","409","7669","1892","2045"
"1991","Employed","(3a) lower tertiary education","2405.64","2352","186","1125","1534","3017","3477","7669","2240.12","2571.16","260","7669","2301","2556"
"1991","Employed","(3b) higher tertiary education","2663.3","2556","366","1227","1841","3323","4003","6647","2538.85","2787.75","511","10021","2556","2812"
"1991","Not Employed","(0) in school","2391.17","2045","130","1278","1687","3068","3579","6647","2201.39","2580.95","266","7669","2045","2516"
"1991","Not Employed","(1a) inadequately completed","1504.93","1432","265","511","971","1922","2556","4499","1397.63","1612.23","210","5328","1483","1767"
"1991","Not Employed","(1b) general elementary school","1251.03","1054.34","881","520","767","1534","2147","3835","1196.56","1305.5","77","6238","1278","1329"
"1991","Not Employed","(1c) basic vocational qualification","1479.65","1329","966","677","920","1790","2403","4502","1426.11","1533.19","228","7669","1432","1534"
"1991","Not Employed","(2a) intermediate vocational","1715.85","1534","308","716","1023","2147","2761","5113","1610.69","1821.01","240","10021","1585","1815"
"1991","Not Employed","(2b) intermediate general qualification","1752.98","1534","126","818","1033","2045","2863","5113","1587.99","1917.97","383","6136","1585","2020"
"1991","Not Employed","(2c_gen) general maturity certificate","2093.71","1855.85","146","578","1278","3017","3553","10021","1901.25","2286.17","383","10021","1636","2045"
"1991","Not Employed","(2c_voc) vocational maturity certificate","1732.63","1534","103","971","1176","2045","3042","5113","1537.89","1927.37","368","6238","1483","1790"
"1991","Not Employed","(3a) lower tertiary education","1924","1732.03","55","1023","1432","2301","3068","3937","1705.39","2142.61","643","3988","1534","2096"
"1991","Not Employed","(3b) higher tertiary education","1965.37","1871.6","75","716","1534","2523","3017","6647","1750.98","2179.76","496","6647","1790","2147"
"1992","Employed","(0) in school","","","","","","","","","","","","","",""
