"year","age_gr","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2012","16-34 y.","Female","","","","","","","","","","","","","",""
"2012","16-34 y.","Male","","","","","","","","","","","","","",""
"2012","35-65 y.","Female","","","","","","","","","","","","","",""
"2012","35-65 y.","Male","","","","","","","","","","","","","",""
"2012","66 and older","Female","","","","","","","","","","","","","",""
"2012","66 and older","Male","","","","","","","","","","","","","",""
"2013","16-34 y.","Female","3.71","4","3179","3","3","4","4","5","3.68","3.74","1","5","4","4"
"2013","16-34 y.","Male","3.73","4","2464","3","3","4","5","5","3.7","3.76","1","5","4","4"
"2013","35-65 y.","Female","3.79","4","8239","3","3","4","5","5","3.77","3.81","1","5","4","4"
"2013","35-65 y.","Male","3.75","4","6685","3","3","4","5","5","3.73","3.77","1","5","4","4"
"2013","66 and older","Female","4","4","2576","3","4","5","5","5","3.97","4.03","1","5","4","4"
"2013","66 and older","Male","3.81","4","2408","3","3","4","5","5","3.78","3.84","1","5","4","4"
"2014","16-34 y.","Female","","","","","","","","","","","","","",""
"2014","16-34 y.","Male","","","","","","","","","","","","","",""
"2014","35-65 y.","Female","","","","","","","","","","","","","",""
"2014","35-65 y.","Male","","","","","","","","","","","","","",""
"2014","66 and older","Female","","","","","","","","","","","","","",""
"2014","66 and older","Male","","","","","","","","","","","","","",""
"2015","16-34 y.","Female","","","","","","","","","","","","","",""
"2015","16-34 y.","Male","","","","","","","","","","","","","",""
"2015","35-65 y.","Female","","","","","","","","","","","","","",""
"2015","35-65 y.","Male","","","","","","","","","","","","","",""
"2015","66 and older","Female","","","","","","","","","","","","","",""
"2015","66 and older","Male","","","","","","","","","","","","","",""
"2016","16-34 y.","Female","","","","","","","","","","","","","",""
"2016","16-34 y.","Male","","","","","","","","","","","","","",""
"2016","35-65 y.","Female","","","","","","","","","","","","","",""
"2016","35-65 y.","Male","","","","","","","","","","","","","",""
"2016","66 and older","Female","","","","","","","","","","","","","",""
"2016","66 and older","Male","","","","","","","","","","","","","",""
"2017","16-34 y.","Female","4.15","4","1255","3","4","5","5","5","4.1","4.2","1","5","4","4"
"2017","16-34 y.","Male","3.94","4","1981","2","3","5","5","5","3.89","3.99","1","5","4","4"
"2017","35-65 y.","Female","4.23","4","905","3","4","5","5","5","4.17","4.29","1","5","4","4"
"2017","35-65 y.","Male","4.14","4","1337","3","4","5","5","5","4.09","4.19","1","5","4","4"
"2017","66 and older","Female","4.69","5","33","4","5","5","5","5","4.4","4.98","2","5","5","5"
"2017","66 and older","Male","","","","","","","","","","","","","",""
"2018","16-34 y.","Female","3.72","4","771","2","3","5","5","5","3.65","3.79","1","5","4","4"
"2018","16-34 y.","Male","3.43","4","1282","2","3","4","5","5","3.37","3.49","1","5","3","4"
"2018","35-65 y.","Female","3.86","4","676","2","3","5","5","5","3.78","3.94","1","5","4","4"
"2018","35-65 y.","Male","3.6","4","1099","2","3","4","5","5","3.54","3.66","1","5","4","4"
"2018","66 and older","Female","","","","","","","","","","","","","",""
"2018","66 and older","Male","","","","","","","","","","","","","",""
"2019","16-34 y.","Female","3.57","4","3538","3","3","4","4","5","3.54","3.6","1","5","4","4"
"2019","16-34 y.","Male","3.6","4","3660","3","3","4","4","5","3.57","3.63","1","5","4","4"
"2019","35-65 y.","Female","3.69","4","8733","3","3","4","4","5","3.67","3.71","1","5","4","4"
"2019","35-65 y.","Male","3.67","4","8203","3","3","4","5","5","3.65","3.69","1","5","4","4"
"2019","66 and older","Female","3.91","4","2606","3","3","4","5","5","3.88","3.94","1","5","4","4"
"2019","66 and older","Male","3.8","4","2657","3","3","4","5","5","3.77","3.83","1","5","4","4"
