"plh0185","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Rarely","2014","East Germany","Male","893","0.341762611989981","0.323367976213355","0.360157247766608","2"
"Rarely","2014","West Germany","Male","3180","0.326980460632314","0.317735549788755","0.336225371475872","2"
"Rarely","2014","West Germany","Female","4100","0.349079084765516","0.340414649081377","0.357743520449654","2"
"Sometimes","2014","East Germany","Female","662","0.217044120808947","0.202430998151559","0.231657243466335","3"
"Sometimes","2014","East Germany","Male","259","0.120183059714579","0.107571888187534","0.132794231241624","3"
"Sometimes","2014","West Germany","Male","1163","0.126621936145455","0.120068280698838","0.133175591592072","3"
"Sometimes","2014","West Germany","Female","2323","0.204557919983626","0.197225848586705","0.211889991380547","3"
"Very often","2014","East Germany","Female","61","0.0219884001172848","0.0167900061484267","0.0271867940861429","5"
"Very often","2014","East Germany","Male","19","","","","5"
"Very often","2014","West Germany","Male","71","0.00603866266172787","0.00451185925403457","0.00756546606942117","5"
"Very often","2014","West Germany","Female","276","0.022923955902618","0.0202036157008085","0.0256442961044274","5"
"Very rare","2014","East Germany","Female","992","0.323879871109715","0.307291479349661","0.340468262869769","1"
"Very rare","2014","East Germany","Male","1304","0.494328540188028","0.4749384553826","0.513718624993456","1"
"Very rare","2014","West Germany","Male","5144","0.501153425556982","0.491299782211315","0.511007068902649","1"
"Very rare","2014","West Germany","Female","4027","0.33872168959505","0.330119125889415","0.347324253300684","1"
"Often","2015","East Germany","Female","220","0.0747613793123094","0.0651341842045167","0.084388574420102","4"
"Often","2015","East Germany","Male","85","0.0449994991159729","0.0367161508920387","0.0532828473399072","4"
"Often","2015","West Germany","Male","308","0.036699790483053","0.0328300574041076","0.0405695235619985","4"
"Often","2015","West Germany","Female","826","0.0794940446784812","0.0743788060129836","0.0846092833439787","4"
"Rarely","2015","East Germany","Female","1067","0.376670056999647","0.358933317471271","0.394406796528023","2"
"Rarely","2015","East Germany","Male","857","0.350920373885769","0.331850248001713","0.369990499769826","2"
"Rarely","2015","West Germany","Male","2996","0.332185330958726","0.32249169753129","0.341878964386161","2"
"Rarely","2015","West Germany","Female","3861","0.34870936243501","0.33969770810533","0.35772101676469","2"
"Sometimes","2015","East Germany","Female","634","0.233082881825237","0.217606706185552","0.248559057464923","3"
"Sometimes","2015","East Germany","Male","274","0.120161041581653","0.107168811117767","0.133153272045539","3"
"Sometimes","2015","West Germany","Male","1056","0.130792019601212","0.123852636478076","0.137731402724349","3"
"Sometimes","2015","West Germany","Female","2186","0.212998800407955","0.205256650447129","0.22074095036878","3"
"Very often","2015","East Germany","Female","56","0.0188734169674103","0.0138923539825495","0.0238544799522712","5"
"Very often","2015","East Germany","Male","19","","","","5"
"Very often","2015","West Germany","Male","69","0.00708026842987484","0.00535462794047028","0.00880590891927941","5"
"Very often","2015","West Germany","Female","246","0.0232358288135777","0.0203870466096941","0.0260846110174613","5"
"Very rare","2015","East Germany","Female","890","0.296612264895396","0.279892652976576","0.313331876814216","1"
"Very rare","2015","East Germany","Male","1171","0.478230404212793","0.458270509062613","0.498190299362973","1"
"Very rare","2015","West Germany","Male","4640","0.493242590527134","0.482952984923087","0.503532196131181","1"
"Very rare","2015","West Germany","Female","3624","0.335561963664976","0.326633044119116","0.344490883210836","1"
"Often","2016","East Germany","Female","253","0.104688920399797","0.093271352737568","0.116106488062026","4"
"Often","2016","East Germany","Male","89","0.0597429345191205","0.0500441354412718","0.0694417335969693","4"
