"year","bula_h","pgcasmin","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1985","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","","","","","","","","",""
"1985","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1985","Mecklenburg-Western Pomerania","(3a) lower tertiary education","","","","","","","","",""
"1985","Mecklenburg-Western Pomerania","(3b) higher tertiary education","","","","","","","","",""
"1985","North Rhine-Westphalia","(0) in school","8.22","9","60","7.82","8.62","5","8","9","10"
"1985","North Rhine-Westphalia","(1a) inadequately completed","6.68","7","275","6.42","6.94","3","5","8","10"
"1985","North Rhine-Westphalia","(1b) general elementary school","7.15","7.79","622","6.97","7.33","5","6","9","10"
"1985","North Rhine-Westphalia","(1c) basic vocational qualification","7.3","8","1018","7.18","7.42","5","6","9","10"
"1985","North Rhine-Westphalia","(2a) intermediate vocational","7.64","8","317","7.45","7.83","5","7","9","10"
"1985","North Rhine-Westphalia","(2b) intermediate general qualification","7.25","8","128","6.89","7.61","5","7","9","9"
"1985","North Rhine-Westphalia","(2c_gen) general maturity certificate","7.62","8","128","7.27","7.97","5","7","9","9"
"1985","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","7.6","8","126","7.3","7.9","5","7","9","10"
"1985","North Rhine-Westphalia","(3a) lower tertiary education","8.14","8","66","7.73","8.55","5","7","9","10"
"1985","North Rhine-Westphalia","(3b) higher tertiary education","7.63","8","155","7.38","7.88","5","7","9","10"
"1985","Rhineland-Palatinate,Saarland","(0) in school","","","","","","","","",""
"1985","Rhineland-Palatinate,Saarland","(1a) inadequately completed","7.76","8","54","7.24","8.28","5","7","9","10"
"1985","Rhineland-Palatinate,Saarland","(1b) general elementary school","7.1","8","235","6.84","7.36","5","6","9","9"
"1985","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","7.38","8","289","7.16","7.6","5","6","9","10"
"1985","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","8.08","8","75","7.7","8.46","6","7","9","10"
"1985","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","","","","","","","","",""
"1985","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","","","","","","","","",""
"1985","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1985","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","","","","","","","","",""
"1985","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","","","","","","","","",""
"1985","Saxony","(0) in school","","","","","","","","",""
"1985","Saxony","(1a) inadequately completed","","","","","","","","",""
"1985","Saxony","(1b) general elementary school","","","","","","","","",""
"1985","Saxony","(1c) basic vocational qualification","","","","","","","","",""
"1985","Saxony","(2a) intermediate vocational","","","","","","","","",""
"1985","Saxony","(2b) intermediate general qualification","","","","","","","","",""
"1985","Saxony","(2c_gen) general maturity certificate","","","","","","","","",""
"1985","Saxony","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1985","Saxony","(3a) lower tertiary education","","","","","","","","",""
"1985","Saxony","(3b) higher tertiary education","","","","","","","","",""
"1985","Saxony-Anhalt","(0) in school","","","","","","","","",""
"1985","Saxony-Anhalt","(1a) inadequately completed","","","","","","","","",""
"1985","Saxony-Anhalt","(1b) general elementary school","","","","","","","","",""
"1985","Saxony-Anhalt","(1c) basic vocational qualification","","","","","","","","",""
"1985","Saxony-Anhalt","(2a) intermediate vocational","","","","","","","","",""
"1985","Saxony-Anhalt","(2b) intermediate general qualification","","","","","","","","",""
"1985","Saxony-Anhalt","(2c_gen) general maturity certificate","","","","","","","","",""
"1985","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1985","Saxony-Anhalt","(3a) lower tertiary education","","","","","","","","",""
"1985","Saxony-Anhalt","(3b) higher tertiary education","","","","","","","","",""
"1985","Schleswig-Holstein","(0) in school","","","","","","","","",""
"1985","Schleswig-Holstein","(1a) inadequately completed","","","","","","","","",""
