"plh0110","year","migback","n","percent","lower_confidence","upper_confidence"
"Important","2008","indirect migration background","263","0.334091935433662","0.300668005909208","0.367515864958117"
"Less important","2008","no migration background","2007","0.144974409728632","0.139601203708866","0.150347615748399"
"Less important","2008","direct migration background","133","0.0847901973766126","0.0722146884910067","0.0973657062622185"
"Less important","2008","indirect migration background","135","0.20310521371035","0.174596448839319","0.231613978581381"
"Quite unimportant","2008","no migration background","1027","0.0802365843632672","0.076090648842912","0.0843825198836224"
"Quite unimportant","2008","direct migration background","69","0.051386032569369","0.0414191414230897","0.0613529237156483"
"Quite unimportant","2008","indirect migration background","31","0.0498052555986939","0.0343896258103165","0.0652208853870714"
"Very important","2009","no migration background","","","",""
"Very important","2009","direct migration background","","","",""
"Very important","2009","indirect migration background","","","",""
"Important","2009","no migration background","","","",""
"Important","2009","direct migration background","","","",""
"Important","2009","indirect migration background","","","",""
"Less important","2009","no migration background","","","",""
"Less important","2009","direct migration background","","","",""
"Less important","2009","indirect migration background","","","",""
"Quite unimportant","2009","no migration background","","","",""
"Quite unimportant","2009","direct migration background","","","",""
"Quite unimportant","2009","indirect migration background","","","",""
"Very important","2010","no migration background","3654","0.632129395143466","0.619258057422064","0.645000732864868"
"Very important","2010","direct migration background","1122","0.764078304335839","0.74203414540498","0.786122463266698"
"Very important","2010","indirect migration background","348","0.645702554742573","0.603309576892768","0.688095532592377"
"Important","2010","no migration background","1536","0.311557702514311","0.299196060338773","0.323919344689849"
"Important","2010","direct migration background","276","0.213599003613434","0.192319460572832","0.234878546654036"
"Important","2010","indirect migration background","124","0.279522122503595","0.239746949321065","0.319297295686125"
"Less important","2010","no migration background","177","0.0485230277891792","0.0427878585702318","0.0542581970081265"
"Less important","2010","direct migration background","24","","",""
"Less important","2010","indirect migration background","13","","",""
"Quite unimportant","2010","no migration background","25","","",""
"Quite unimportant","2010","direct migration background","3","","",""
"Quite unimportant","2010","indirect migration background","4","","",""
"Very important","2011","no migration background","","","",""
"Very important","2011","direct migration background","","","",""
"Very important","2011","indirect migration background","","","",""
"Important","2011","no migration background","","","",""
"Important","2011","direct migration background","","","",""
"Important","2011","indirect migration background","","","",""
"Less important","2011","no migration background","","","",""
"Less important","2011","direct migration background","","","",""
"Less important","2011","indirect migration background","","","",""
"Quite unimportant","2011","no migration background","","","",""
"Quite unimportant","2011","direct migration background","","","",""
"Quite unimportant","2011","indirect migration background","","","",""
"Very important","2012","no migration background","11671","0.413430971262299","0.407079990846371","0.419781951678226"
"Very important","2012","direct migration background","1970","0.573631133598421","0.555984188458166","0.591278078738676"
"Very important","2012","indirect migration background","657","0.40143712895814","0.374456496849455","0.428417761066825"
"Important","2012","no migration background","7980","0.365354916846126","0.359144758933236","0.371565074759015"
"Important","2012","direct migration background","833","0.310668466011664","0.294155575722604","0.327181356300724"
"Important","2012","indirect migration background","407","0.347423819754755","0.321215820458446","0.373631819051063"
"Less important","2012","no migration background","2245","0.137939626217456","0.133492360597035","0.142386891837877"
"Less important","2012","direct migration background","141","0.071861164027157","0.0626457673879924","0.0810765606663216"
"Less important","2012","indirect migration background","143","0.191661178785683","0.169996499713393","0.213325857857973"
"Quite unimportant","2012","no migration background","1200","0.0832744856741196","0.079711161415155","0.0868378099330843"
"Quite unimportant","2012","direct migration background","73","0.0438392363627579","0.0365336112048526","0.0511448615206633"
"Quite unimportant","2012","indirect migration background","61","0.0594778725014226","0.0464596801012975","0.0724960649015478"
"Very important","2013","no migration background","","","",""
"Very important","2013","direct migration background","","","",""
"Very important","2013","indirect migration background","","","",""
"Important","2013","no migration background","","","",""
"Important","2013","direct migration background","","","",""
"Important","2013","indirect migration background","","","",""
"Less important","2013","no migration background","","","",""
"Less important","2013","direct migration background","","","",""
"Less important","2013","indirect migration background","","","",""
"Quite unimportant","2013","no migration background","","","",""
"Quite unimportant","2013","direct migration background","","","",""
"Quite unimportant","2013","indirect migration background","","","",""
"Very important","2014","no migration background","","","",""
"Very important","2014","direct migration background","","","",""
"Very important","2014","indirect migration background","","","",""
"Important","2014","no migration background","","","",""
"Important","2014","direct migration background","","","",""
"Important","2014","indirect migration background","","","",""
"Less important","2014","no migration background","","","",""
"Less important","2014","direct migration background","","","",""
"Less important","2014","indirect migration background","","","",""
"Quite unimportant","2014","no migration background","","","",""
"Quite unimportant","2014","direct migration background","","","",""
"Quite unimportant","2014","indirect migration background","","","",""
"Very important","2015","no migration background","","","",""
"Very important","2015","direct migration background","","","",""
"Very important","2015","indirect migration background","","","",""
"Important","2015","no migration background","","","",""
"Important","2015","direct migration background","","","",""
"Important","2015","indirect migration background","","","",""
"Less important","2015","no migration background","","","",""
"Less important","2015","direct migration background","","","",""
"Less important","2015","indirect migration background","","","",""
"Quite unimportant","2015","no migration background","","","",""
"Quite unimportant","2015","direct migration background","","","",""
"Quite unimportant","2015","indirect migration background","","","",""
"Very important","2016","no migration background","9184","0.447792753580179","0.440467435216544","0.455118071943813"
"Very important","2016","direct migration background","3174","0.590328745217929","0.576497112012453","0.604160378423404"
"Very important","2016","indirect migration background","816","0.433208342775847","0.408619056551335","0.457797629000359"
"Important","2016","no migration background","5822","0.337556166813665","0.330590150666157","0.344522182961174"
"Important","2016","direct migration background","1263","0.291010224037271","0.278234578260494","0.303785869814048"
"Important","2016","indirect migration background","456","0.316329642882697","0.29325265551338","0.339406630252014"
"Less important","2016","no migration background","1715","0.1315165172676","0.126537910166143","0.136495124369057"
"Less important","2016","direct migration background","294","0.084111229503537","0.0763047160985018","0.0919177429085721"
"Less important","2016","indirect migration background","197","0.179804081625778","0.16074752776007","0.198860635491485"
"Quite unimportant","2016","no migration background","981","0.0831345623385562","0.0790675027913804","0.087201621885732"
"Quite unimportant","2016","direct migration background","125","0.0345498012412635","0.0294129561781926","0.0396866463043344"
"Quite unimportant","2016","indirect migration background","91","0.0706579327156786","0.0579418292368559","0.0833740361945013"
