"ple0181","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Daily","2017","(Married) couple without C. ","indirect migration background","","","",""
"Daily","2017","Single parent ","no migration background","","","",""
"Daily","2017","Single parent ","direct migration background","","","",""
"Daily","2017","Single parent ","indirect migration background","","","",""
"Daily","2017","Couple + C. LE 16 ","no migration background","","","",""
"Daily","2017","Couple + C. LE 16 ","direct migration background","","","",""
"Daily","2017","Couple + C. LE 16 ","indirect migration background","","","",""
"Daily","2017","Couple + C. GT 16 ","no migration background","","","",""
"Daily","2017","Couple + C. GT 16 ","direct migration background","","","",""
"Daily","2017","Couple + C. GT 16 ","indirect migration background","","","",""
"Daily","2017","Couple + C. LE and GT 16","no migration background","","","",""
"Daily","2017","Couple + C. LE and GT 16","direct migration background","","","",""
"Daily","2017","Couple + C. LE and GT 16","indirect migration background","","","",""
"Four to six days a week","2017","1-pers.-HH","no migration background","","","",""
"Four to six days a week","2017","1-pers.-HH","direct migration background","","","",""
"Four to six days a week","2017","1-pers.-HH","indirect migration background","","","",""
"Four to six days a week","2017","(Married) couple without C. ","no migration background","","","",""
"Four to six days a week","2017","(Married) couple without C. ","direct migration background","","","",""
"Four to six days a week","2017","(Married) couple without C. ","indirect migration background","","","",""
"Four to six days a week","2017","Single parent ","no migration background","","","",""
"Four to six days a week","2017","Single parent ","direct migration background","","","",""
"Four to six days a week","2017","Single parent ","indirect migration background","","","",""
"Four to six days a week","2017","Couple + C. LE 16 ","no migration background","","","",""
"Four to six days a week","2017","Couple + C. LE 16 ","direct migration background","","","",""
"Four to six days a week","2017","Couple + C. LE 16 ","indirect migration background","","","",""
"Four to six days a week","2017","Couple + C. GT 16 ","no migration background","","","",""
"Four to six days a week","2017","Couple + C. GT 16 ","direct migration background","","","",""
"Four to six days a week","2017","Couple + C. GT 16 ","indirect migration background","","","",""
"Four to six days a week","2017","Couple + C. LE and GT 16","no migration background","","","",""
"Four to six days a week","2017","Couple + C. LE and GT 16","direct migration background","","","",""
"Four to six days a week","2017","Couple + C. LE and GT 16","indirect migration background","","","",""
"Two to three days a week","2017","1-pers.-HH","no migration background","","","",""
"Two to three days a week","2017","1-pers.-HH","direct migration background","","","",""
"Two to three days a week","2017","1-pers.-HH","indirect migration background","","","",""
"Two to three days a week","2017","(Married) couple without C. ","no migration background","","","",""
"Two to three days a week","2017","(Married) couple without C. ","direct migration background","","","",""
"Two to three days a week","2017","(Married) couple without C. ","indirect migration background","","","",""
"Two to three days a week","2017","Single parent ","no migration background","","","",""
"Two to three days a week","2017","Single parent ","direct migration background","","","",""
"Two to three days a week","2017","Single parent ","indirect migration background","","","",""
"Two to three days a week","2017","Couple + C. LE 16 ","no migration background","","","",""
"Two to three days a week","2017","Couple + C. LE 16 ","direct migration background","","","",""
"Two to three days a week","2017","Couple + C. LE 16 ","indirect migration background","","","",""
"Two to three days a week","2017","Couple + C. GT 16 ","no migration background","","","",""
"Two to three days a week","2017","Couple + C. GT 16 ","direct migration background","","","",""
"Two to three days a week","2017","Couple + C. GT 16 ","indirect migration background","","","",""
"Two to three days a week","2017","Couple + C. LE and GT 16","no migration background","","","",""
"Two to three days a week","2017","Couple + C. LE and GT 16","direct migration background","","","",""
"Two to three days a week","2017","Couple + C. LE and GT 16","indirect migration background","","","",""
"Two to four days a month","2017","1-pers.-HH","no migration background","","","",""
"Two to four days a month","2017","1-pers.-HH","direct migration background","","","",""
"Two to four days a month","2017","1-pers.-HH","indirect migration background","","","",""
"Two to four days a month","2017","(Married) couple without C. ","no migration background","","","",""
"Two to four days a month","2017","(Married) couple without C. ","direct migration background","","","",""
"Two to four days a month","2017","(Married) couple without C. ","indirect migration background","","","",""
"Two to four days a month","2017","Single parent ","no migration background","","","",""
"Two to four days a month","2017","Single parent ","direct migration background","","","",""
"Two to four days a month","2017","Single parent ","indirect migration background","","","",""
"Two to four days a month","2017","Couple + C. LE 16 ","no migration background","","","",""
"Two to four days a month","2017","Couple + C. LE 16 ","direct migration background","","","",""
"Two to four days a month","2017","Couple + C. LE 16 ","indirect migration background","","","",""
"Two to four days a month","2017","Couple + C. GT 16 ","no migration background","","","",""
"Two to four days a month","2017","Couple + C. GT 16 ","direct migration background","","","",""
"Two to four days a month","2017","Couple + C. GT 16 ","indirect migration background","","","",""
"Two to four days a month","2017","Couple + C. LE and GT 16","no migration background","","","",""
"Two to four days a month","2017","Couple + C. LE and GT 16","direct migration background","","","",""
"Two to four days a month","2017","Couple + C. LE and GT 16","indirect migration background","","","",""
"Once a month or less","2017","1-pers.-HH","no migration background","","","",""
"Once a month or less","2017","1-pers.-HH","direct migration background","","","",""
"Once a month or less","2017","1-pers.-HH","indirect migration background","","","",""
"Once a month or less","2017","(Married) couple without C. ","no migration background","","","",""
"Once a month or less","2017","(Married) couple without C. ","direct migration background","","","",""
"Once a month or less","2017","(Married) couple without C. ","indirect migration background","","","",""
"Once a month or less","2017","Single parent ","no migration background","","","",""
"Once a month or less","2017","Single parent ","direct migration background","","","",""
"Once a month or less","2017","Single parent ","indirect migration background","","","",""
"Once a month or less","2017","Couple + C. LE 16 ","no migration background","","","",""
"Once a month or less","2017","Couple + C. LE 16 ","direct migration background","","","",""
"Once a month or less","2017","Couple + C. LE 16 ","indirect migration background","","","",""
