"year","e11103","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1994","Not Working","general elemantary","6.33","7","1155","3","5","8","10","10","6.19","6.47","0","10","6","7"
"1994","Not Working","higher education","6.26","7","344","3","5","8","10","10","6","6.52","0","10","6","7"
"1994","Not Working","higher vocational","6.37","7","198","3","5","8","9","10","6.01","6.73","0","10","6","7"
"1994","Not Working","in school","6.84","7","160","4","5","9","10","10","6.51","7.17","0","10","6","7"
"1994","Not Working","inadequately","4.96","5","246","2","3","7","8","10","4.66","5.26","0","10","5","5"
"1994","Not Working","middle vocational","6.27","7","2140","3","5","8","9","10","6.17","6.37","0","10","6","6"
"1994","Not Working","vocational + Abi","6.16","7","104","2","4","8","10","10","5.64","6.68","0","10","5","7"
"1994","Part Time","general elemantary","5.56","6","483","2","4","8","9","10","5.33","5.79","0","10","5","6"
"1994","Part Time","higher education","5.95","7","285","2","4","8","9","10","5.68","6.22","0","10","6","7"
"1994","Part Time","higher vocational","6.31","7","125","3","5","8","10","10","5.9","6.72","0","10","6","7"
"1994","Part Time","in school","","","","","","","","","","","","","",""
"1994","Part Time","inadequately","5.14","5","97","2","3","7","8","10","4.67","5.61","0","10","5","6"
"1994","Part Time","middle vocational","5.91","6","1179","2","4","8","9","10","5.77","6.05","0","10","6","6"
"1994","Part Time","vocational + Abi","5.59","6","80","2","3","8","9","10","5.01","6.17","0","10","5","6"
"1995","Full Time","general elemantary","6.13","6","734","3","5","8","9","10","5.98","6.28","0","10","6","7"
"1995","Full Time","higher education","6.83","7","1063","4","6","8","9","10","6.71","6.95","0","10","7","7"
"1995","Full Time","higher vocational","6.4","7","436","4","5","8","9","10","6.2","6.6","0","10","6","7"
"1995","Full Time","in school","","","","","","","","","","","","","",""
"1995","Full Time","inadequately","6.25","6","172","3","5","8","9","10","5.94","6.56","0","10","6","7"
"1995","Full Time","middle vocational","6.21","6","3081","3","5","8","9","10","6.14","6.28","0","10","6","6"
"1995","Full Time","vocational + Abi","6.14","6","238","3","5","8","9","10","5.86","6.42","0","10","6","7"
"1995","Not Working","general elemantary","6.32","7","1218","3","5","8","10","10","6.18","6.46","0","10","6","7"
"1995","Not Working","higher education","6.25","7","366","3","5","8","9","10","6","6.5","0","10","6","7"
"1995","Not Working","higher vocational","6.59","7","186","4","5","8","9","10","6.24","6.94","0","10","6","7"
"1995","Not Working","in school","6.43","7","198","3","5","8","9","10","6.12","6.74","0","10","6","7"
"1995","Not Working","inadequately","5.17","5","251","0","3","7","9","10","4.86","5.48","0","10","5","6"
"1995","Not Working","middle vocational","6.41","7","2220","3","5","8","9","10","6.31","6.51","0","10","6","7"
"1995","Not Working","vocational + Abi","6.15","6","125","2","5","8","10","10","5.68","6.62","0","10","5","7"
"1995","Part Time","general elemantary","6.05","6","494","2","5","8","9","10","5.83","6.27","0","10","6","7"
"1995","Part Time","higher education","5.91","6","326","3","4","8","9","10","5.66","6.16","0","10","6","7"
"1995","Part Time","higher vocational","6.82","7","128","3","5","8","10","10","6.39","7.25","0","10","7","8"
"1995","Part Time","in school","","","","","","","","","","","","","",""
"1995","Part Time","inadequately","5.45","5","99","3","4","7","8","9","5.03","5.87","0","10","5","6"
"1995","Part Time","middle vocational","5.94","6","1348","2","5","8","9","10","5.82","6.06","0","10","6","6"
"1995","Part Time","vocational + Abi","6.15","6.41","108","3","5","8","9","10","5.68","6.62","0","10","5","7"
