"plh0034","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Some worries","2013","higher education","2376","0.533261123130641","0.518611340298995","0.547910905962287"
"No worries","2013","in school","97","0.332597912884204","0.275219074874691","0.389976750893716"
"No worries","2013","inadequately","59","0.330674358032948","0.263955224351522","0.397393491714373"
"No worries","2013","general elemantary","452","0.255890692185834","0.235876257977594","0.275905126394074"
"No worries","2013","middle vocational","1617","0.170138076041729","0.162540813135692","0.177735338947765"
"No worries","2013","vocational + Abi","180","0.15278788653824","0.131516794590577","0.174058978485904"
"No worries","2013","higher vocational","157","0.123099292158891","0.10542200496475","0.140776579353032"
"No worries","2013","higher education","588","0.13659988281254","0.126515357698671","0.146684407926408"
"Big worries","2014","in school","48","0.120394991887635","0.0898840629689893","0.15090592080628"
"Big worries","2014","inadequately","79","0.154371388512971","0.121947720716154","0.186795056309788"
"Big worries","2014","general elemantary","564","0.208397150496704","0.193947135230196","0.222847165763212"
"Big worries","2014","middle vocational","2754","0.2267622174262","0.219402991179019","0.23412144367338"
"Big worries","2014","vocational + Abi","399","0.211819333446446","0.194092862790889","0.229545804102004"
"Big worries","2014","higher vocational","430","0.265750667986661","0.244031403954832","0.28746993201849"
"Big worries","2014","higher education","1383","0.217740599605042","0.207466769598772","0.228014429611311"
"Some worries","2014","in school","192","0.423193021273592","0.376870533613789","0.469515508933396"
"Some worries","2014","inadequately","207","0.407597212182271","0.363499805407152","0.45169461895739"
"Some worries","2014","general elemantary","1439","0.468438390672973","0.450685389275692","0.486191392070254"
"Some worries","2014","middle vocational","6711","0.542358684801621","0.533602877685249","0.551114491917993"
"Some worries","2014","vocational + Abi","1133","0.559507674946917","0.537970001609292","0.581045348284541"
"Some worries","2014","higher vocational","866","0.552724757593617","0.528277619188827","0.577171895998407"
"Some worries","2014","higher education","3487","0.566913015471468","0.554578188752398","0.579247842190539"
"No worries","2014","in school","197","0.456411986838773","0.409711562241514","0.503112411436033"
"No worries","2014","inadequately","191","0.438031399304758","0.393507053375781","0.482555745233734"
