"m11104","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"At least once a month","2007","East Germany","Female","162","0.0617180170306889","0.0524699581660254","0.0709660758953524"
"At lease once a week","2007","West Germany","Male","2676","0.350190731034431","0.339291798508442","0.36108966356042"
"At lease once a week","2007","West Germany","Female","3143","0.356348735298207","0.345942214766115","0.366755255830299"
"At lease once a week","2007","East Germany","Male","618","0.245894102480277","0.228684106232023","0.26310409872853"
"At lease once a week","2007","East Germany","Female","712","0.253820758562789","0.237095876452463","0.270545640673114"
"Almost never or never","2008","West Germany","Male","2077","0.302210277086654","0.291379697377338","0.31304085679597"
"Almost never or never","2008","West Germany","Female","2523","0.354757240568599","0.344033908624803","0.365480572512396"
"Almost never or never","2008","East Germany","Male","866","0.382964697487578","0.363098326108077","0.402831068867079"
"Almost never or never","2008","East Germany","Female","904","0.381288111939606","0.362141377201085","0.400434846678127"
"Several times a year","2008","West Germany","Male","1328","0.200845762729746","0.191396858565547","0.210294666893945"
"Several times a year","2008","West Germany","Female","1266","0.171270326564093","0.162826291004434","0.179714362123752"
"Several times a year","2008","East Germany","Male","542","0.226436241535653","0.209331945708221","0.243540537363086"
"Several times a year","2008","East Germany","Female","515","0.212608763285765","0.196479678423329","0.228737848148201"
"At least once a month","2008","West Germany","Male","606","0.0901216531237037","0.0833679643455707","0.0968753419018367"
"At least once a month","2008","West Germany","Female","552","0.0698401854878613","0.0641275827403032","0.0755527882354194"
"At least once a month","2008","East Germany","Male","161","0.0726017151129617","0.0619972014152839","0.0832062288106396"
"At least once a month","2008","East Germany","Female","172","0.0718763753865944","0.0616946857242364","0.0820580650489524"
"At lease once a week","2008","West Germany","Male","2895","0.406822307059897","0.395236412055026","0.418408202064768"
"At lease once a week","2008","West Germany","Female","3306","0.404132247379447","0.393133600971016","0.415130893787878"
"At lease once a week","2008","East Germany","Male","731","0.317997345863807","0.298965147609327","0.337029544118287"
"At lease once a week","2008","East Germany","Female","881","0.334226749388035","0.315631259185883","0.352822239590187"
"Almost never or never","2009","West Germany","Male","2267","0.347177275397669","0.335533703814012","0.358820846981326"
"Almost never or never","2009","West Germany","Female","2627","0.391986763880117","0.380607874104568","0.403365653655666"
"Almost never or never","2009","East Germany","Male","950","0.439601952684022","0.418781060452535","0.46042284491551"
"Almost never or never","2009","East Germany","Female","1080","0.495350779210302","0.475140467808208","0.515561090612397"
"Several times a year","2009","West Germany","Male","1199","0.197393276124131","0.187658398088183","0.207128154160078"
"Several times a year","2009","West Germany","Female","1120","0.154375760537793","0.145954328674876","0.162797192400709"
"Several times a year","2009","East Germany","Male","483","0.214113120551375","0.196905418298294","0.231320822804455"
"Several times a year","2009","East Germany","Female","417","0.159691889412769","0.144884364097565","0.174499414727974"
"At least once a month","2009","West Germany","Male","525","0.0874608685023919","0.0805513850399411","0.0943703519648427"
"At least once a month","2009","West Germany","Female","468","0.0688496444021649","0.0629480626188775","0.0747512261854524"
"At least once a month","2009","East Germany","Male","175","0.0774416628248055","0.0662290848327996","0.0886542408168114"
"At least once a month","2009","East Germany","Female","168","0.0732052823498589","0.0626763396696519","0.0837342250300659"
"At lease once a week","2009","West Germany","Male","2431","0.367968579975808","0.3561738597648","0.379763300186816"
"At lease once a week","2009","West Germany","Female","2856","0.384787831179925","0.3734473679299","0.39612829442995"
"At lease once a week","2009","East Germany","Male","575","0.268843263939797","0.250244844170277","0.287441683709318"
"At lease once a week","2009","East Germany","Female","686","0.271752049027069","0.253769641907214","0.289734456146925"
"Almost never or never","2010","West Germany","Male","","","",""
"Almost never or never","2010","West Germany","Female","","","",""
"Almost never or never","2010","East Germany","Male","","","",""
"Almost never or never","2010","East Germany","Female","","","",""
"Several times a year","2010","West Germany","Male","","","",""
"Several times a year","2010","West Germany","Female","","","",""
"Several times a year","2010","East Germany","Male","","","",""
"Several times a year","2010","East Germany","Female","","","",""
"At least once a month","2010","West Germany","Male","","","",""
"At least once a month","2010","West Germany","Female","","","",""
"At least once a month","2010","East Germany","Male","","","",""
"At least once a month","2010","East Germany","Female","","","",""
"At lease once a week","2010","West Germany","Male","","","",""
"At lease once a week","2010","West Germany","Female","","","",""
"At lease once a week","2010","East Germany","Male","","","",""
"At lease once a week","2010","East Germany","Female","","","",""
"Almost never or never","2011","West Germany","Male","3751","0.380787497172005","0.371256465089476","0.390318529254534"
"Almost never or never","2011","West Germany","Female","4806","0.409560141218352","0.400793091449928","0.418327190986775"
"Almost never or never","2011","East Germany","Male","1368","0.464935078380463","0.446715989455967","0.483154167304959"
"Almost never or never","2011","East Germany","Female","1660","0.468325010134801","0.451645167608197","0.485004852661405"
"Several times a year","2011","West Germany","Male","1692","0.174107188578029","0.166664173011728","0.181550204144329"
"Several times a year","2011","West Germany","Female","1816","0.143017359437689","0.136775885145004","0.149258833730373"
"Several times a year","2011","East Germany","Male","509","0.17006328906951","0.156340100425713","0.183786477713307"
"Several times a year","2011","East Germany","Female","579","0.17251866698168","0.159888988217071","0.185148345746289"
"At least once a month","2011","West Germany","Male","702","0.0712675163950738","0.066217766568349","0.0763172662217986"
"At least once a month","2011","West Germany","Female","708","0.0576966165844209","0.0535396422376926","0.0618535909311491"
"At least once a month","2011","East Germany","Male","191","0.0670937793182868","0.0579550170270002","0.0762325416095735"
"At least once a month","2011","East Germany","Female","214","0.0603595922575877","0.0523989309696627","0.0683202535455128"
"At lease once a week","2011","West Germany","Male","3826","0.373837797854893","0.364341293715984","0.383334301993802"
"At lease once a week","2011","West Germany","Female","4756","0.389725882759539","0.381031296983044","0.398420468536033"
"At lease once a week","2011","East Germany","Male","811","0.29790785323174","0.281202129610535","0.314613576852946"
"At lease once a week","2011","East Germany","Female","985","0.298796730625931","0.283496251116154","0.314097210135709"
"Almost never or never","2012","West Germany","Male","","","",""
"Almost never or never","2012","West Germany","Female","","","",""
"Almost never or never","2012","East Germany","Male","","","",""
"Almost never or never","2012","East Germany","Female","","","",""
"Several times a year","2012","West Germany","Male","","","",""
"Several times a year","2012","West Germany","Female","","","",""
"Several times a year","2012","East Germany","Male","","","",""
"Several times a year","2012","East Germany","Female","","","",""
"At least once a month","2012","West Germany","Male","","","",""
"At least once a month","2012","West Germany","Female","","","",""
"At least once a month","2012","East Germany","Male","","","",""
"At least once a month","2012","East Germany","Female","","","",""
"At lease once a week","2012","West Germany","Male","","","",""
"At lease once a week","2012","West Germany","Female","","","",""
"At lease once a week","2012","East Germany","Male","","","",""
"At lease once a week","2012","East Germany","Female","","","",""
"Almost never or never","2013","West Germany","Male","2761","0.305803355350842","0.296245560558894","0.31536115014279"
"Almost never or never","2013","West Germany","Female","3461","0.320875654992952","0.312093194128642","0.329658115857262"
"Almost never or never","2013","East Germany","Male","1005","0.376646082292061","0.358038999026123","0.395253165557999"
"Almost never or never","2013","East Germany","Female","1246","0.376244765686588","0.359229798268041","0.393259733105135"
"Several times a year","2013","West Germany","Male","1365","0.15125212234453","0.143819613871931","0.158684630817129"
"Several times a year","2013","West Germany","Female","1364","0.118299486153726","0.112223382617693","0.124375589689759"
"Several times a year","2013","East Germany","Male","460","0.175216201212899","0.16061793032808","0.189814472097718"
"Several times a year","2013","East Germany","Female","476","0.170227940927093","0.157027646646481","0.183428235207705"
"At least once a month","2013","West Germany","Male","484","0.0567206464414307","0.0519223610650773","0.0615189318177842"
"At least once a month","2013","West Germany","Female","490","0.046228132421322","0.0422776637865075","0.0501786010561365"
"At least once a month","2013","East Germany","Male","134","0.053648530069802","0.044995875399051","0.062301184740553"
"At least once a month","2013","East Germany","Female","147","0.0468867979926024","0.0394619713697689","0.054311624615436"
"At lease once a week","2013","West Germany","Male","4317","0.486223875863197","0.475855746120055","0.49659200560634"
"At lease once a week","2013","West Germany","Female","5538","0.514596726431999","0.505193908009613","0.523999544854385"
"At lease once a week","2013","East Germany","Male","1006","0.394489186425238","0.375720981773215","0.413257391077262"
"At lease once a week","2013","East Germany","Female","1245","0.406640495393717","0.389387955055686","0.423893035731748"
"Almost never or never","2014","West Germany","Male","","","",""
"Almost never or never","2014","West Germany","Female","","","",""
"Almost never or never","2014","East Germany","Male","","","",""
"Almost never or never","2014","East Germany","Female","","","",""
"Several times a year","2014","West Germany","Male","","","",""
"Several times a year","2014","West Germany","Female","","","",""
"Several times a year","2014","East Germany","Male","","","",""
"Several times a year","2014","East Germany","Female","","","",""
"At least once a month","2014","West Germany","Male","","","",""
"At least once a month","2014","West Germany","Female","","","",""
"At least once a month","2014","East Germany","Male","","","",""
"At least once a month","2014","East Germany","Female","","","",""
"At lease once a week","2014","West Germany","Male","","","",""
"At lease once a week","2014","West Germany","Female","","","",""
"At lease once a week","2014","East Germany","Male","","","",""
"At lease once a week","2014","East Germany","Female","","","",""
"Almost never or never","2015","West Germany","Male","3518","0.347012755413684","0.337622647442111","0.356402863385258"
"Almost never or never","2015","West Germany","Female","4392","0.37451599856504","0.365693076069665","0.383338921060415"
"Almost never or never","2015","East Germany","Male","1180","0.469445126588325","0.449823162976624","0.489067090200025"
"Almost never or never","2015","East Germany","Female","1337","0.445808700016393","0.427847684897338","0.463769715135448"
"Several times a year","2015","West Germany","Male","1474","0.147305384652615","0.14031418686093","0.154296582444301"
"Several times a year","2015","West Germany","Female","1476","0.118944421911428","0.113043187496242","0.124845656326614"
"Several times a year","2015","East Germany","Male","351","0.146479021484059","0.132576943846295","0.160381099121822"
"Several times a year","2015","East Germany","Female","394","0.1330634585453","0.120790484524204","0.145336432566396"
"At least once a month","2015","West Germany","Male","590","0.0603643064379116","0.0556662808468806","0.0650623320289426"
"At least once a month","2015","West Germany","Female","543","0.050736406607276","0.046735831401319","0.0547369818132331"
"At least once a month","2015","East Germany","Male","160","0.0606236282482767","0.0512409748616802","0.0700062816348733"
"At least once a month","2015","East Germany","Female","156","0.0520006532344393","0.0439776831005402","0.0600236233683385"
"At lease once a week","2015","West Germany","Male","4290","0.445317553495789","0.435513568541146","0.455121538450432"
"At lease once a week","2015","West Germany","Female","5149","0.455803172916256","0.446724218226838","0.464882127605675"
"At lease once a week","2015","East Germany","Male","794","0.32345222367934","0.305059789922062","0.341844657436618"
"At lease once a week","2015","East Germany","Female","1055","0.369127188203868","0.351689629617119","0.386564746790617"
"Almost never or never","2016","West Germany","Male","","","",""
"Almost never or never","2016","West Germany","Female","","","",""
"Almost never or never","2016","East Germany","Male","","","",""
"Almost never or never","2016","East Germany","Female","","","",""
"Several times a year","2016","West Germany","Male","","","",""
"Several times a year","2016","West Germany","Female","","","",""
"Several times a year","2016","East Germany","Male","","","",""
"Several times a year","2016","East Germany","Female","","","",""
"At least once a month","2016","West Germany","Male","","","",""
"At least once a month","2016","West Germany","Female","","","",""
"At least once a month","2016","East Germany","Male","","","",""
"At least once a month","2016","East Germany","Female","","","",""
"At lease once a week","2016","West Germany","Male","","","",""
"At lease once a week","2016","West Germany","Female","","","",""
"At lease once a week","2016","East Germany","Male","","","",""
"At lease once a week","2016","East Germany","Female","","","",""
"Almost never or never","2017","West Germany","Male","4378","0.336074923019749","0.327828388448249","0.344321457591248"
"Almost never or never","2017","West Germany","Female","5303","0.366861175148499","0.358641034706079","0.375081315590919"
"Almost never or never","2017","East Germany","Male","1284","0.422487684851411","0.404917154950165","0.440058214752656"
"Almost never or never","2017","East Germany","Female","1501","0.424788431305795","0.407991813630129","0.44158504898146"
"Several times a year","2017","West Germany","Male","1815","0.146023144288844","0.139858219366929","0.15218806921076"
"Several times a year","2017","West Germany","Female","1611","0.109146810017779","0.103828330615288","0.11446528942027"
"Several times a year","2017","East Germany","Male","445","0.146114456807807","0.133550002488061","0.158678911127552"
"Several times a year","2017","East Germany","Female","444","0.131047728253103","0.119581135182368","0.142514321323837"
"At least once a month","2017","West Germany","Male","732","0.0583010148955407","0.0542104055856784","0.062391624205403"
"At least once a month","2017","West Germany","Female","588","0.0426976315065169","0.0392493290831447","0.0461459339298892"
"At least once a month","2017","East Germany","Male","169","0.0504967230610766","0.0427078067181671","0.0582856394039861"
"At least once a month","2017","East Germany","Female","158","0.0572230674437075","0.0493306193973072","0.0651155154901079"
"At lease once a week","2017","West Germany","Male","5679","0.459600917795867","0.450900469333596","0.468301366258137"
"At lease once a week","2017","West Germany","Female","5703","0.481294383327205","0.4727723199365","0.48981644671791"
"At lease once a week","2017","East Germany","Male","1138","0.380901135279706","0.363627515940831","0.398174754618582"
"At lease once a week","2017","East Germany","Female","1224","0.386940772997395","0.370390881353824","0.403490664640966"
"Almost never or never","2018","West Germany","Male","786","0.313172673681135","0.293071697554058","0.333273649808213"
"Almost never or never","2018","West Germany","Female","769","0.61167895687324","0.584725746306799","0.638632167439681"
"Almost never or never","2018","East Germany","Male","131","0.291087553477795","0.242943444141731","0.33923166281386"
"Almost never or never","2018","East Germany","Female","133","0.558982320325535","0.492146821062967","0.625817819588102"
"Several times a year","2018","West Germany","Male","349","0.170682099795593","0.154375780460395","0.186988419130792"
"Several times a year","2018","West Germany","Female","205","0.17269414470992","0.151790350235462","0.193597939184378"
"Several times a year","2018","East Germany","Male","40","0.118149477642247","0.0839398435337193","0.152359111750775"
"Several times a year","2018","East Germany","Female","24","","",""
"At least once a month","2018","West Germany","Male","154","0.08925213903229","0.0768952305150582","0.101609047549522"
"At least once a month","2018","West Germany","Female","50","0.0363509060511035","0.0260001910661872","0.0467016210360198"
"At least once a month","2018","East Germany","Male","8","","",""
"At least once a month","2018","East Germany","Female","4","","",""
"At lease once a week","2018","West Germany","Male","756","0.426893087490981","0.405455356374844","0.448330818607119"
"At lease once a week","2018","West Germany","Female","232","0.179275992365737","0.158062464069547","0.200489520661927"
"At lease once a week","2018","East Germany","Male","163","0.557048301846449","0.504402996277935","0.609693607414962"
"At lease once a week","2018","East Germany","Female","51","0.269544204661018","0.209814257653184","0.329274151668851"
"Almost never or never","2019","West Germany","Male","3108","0.266900548499959","0.258829331864559","0.27497176513536"
"Almost never or never","2019","West Germany","Female","3493","0.283754437954827","0.275589141693873","0.29191973421578"
"Almost never or never","2019","East Germany","Male","927","0.315692710919203","0.298851675455412","0.332533746382994"
"Almost never or never","2019","East Germany","Female","1057","0.312852433672568","0.296567591191843","0.329137276153292"
"Several times a year","2019","West Germany","Male","1511","0.134413463813226","0.128189608952037","0.140637318674414"
"Several times a year","2019","West Germany","Female","1401","0.120279349201492","0.114387690620928","0.126171007782055"
"Several times a year","2019","East Germany","Male","470","0.15885578970066","0.145610920187365","0.172100659213955"
"Several times a year","2019","East Germany","Female","439","0.145386092485703","0.133005677649368","0.157766507322038"
"At least once a month","2019","West Germany","Male","598","0.0481677738992921","0.044260792768031","0.0520747550305532"
"At least once a month","2019","West Germany","Female","447","0.0419385914790504","0.0383080346670931","0.0455691482910078"
"At least once a month","2019","East Germany","Male","172","0.0649561051457135","0.0560264041385418","0.0738858061528851"
"At least once a month","2019","East Germany","Female","146","0.0496524837455368","0.0420229060875196","0.057282061403554"
"At lease once a week","2019","West Germany","Male","6321","0.550518213787523","0.54144158197825","0.559594845596796"
"At lease once a week","2019","West Germany","Female","6369","0.554027621364631","0.545024578189794","0.563030664539468"
"At lease once a week","2019","East Germany","Male","1357","0.460495394234424","0.442435252518268","0.478555535950581"
"At lease once a week","2019","East Germany","Female","1472","0.492108990096192","0.474549791160365","0.509668189032019"
