"m11104","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"Several times a year","2000","Not Employed","Male","","","","","2"
"Several times a year","2000","Employed","Female","","","","","2"
"Almost never or never","2001","Not Employed","Male","1952","0.653879576711742","0.63687868603954","0.670880467383944","1"
"Almost never or never","2001","Not Employed","Female","3335","0.690826063486092","0.678050518271579","0.703601608700606","1"
"Almost never or never","2001","Employed","Female","2638","0.402837856644753","0.39076772497599","0.414907988313516","1"
"Almost never or never","2001","Employed","Male","2981","0.39296698078912","0.381899406362642","0.404034555215598","1"
"At lease once a week","2001","Not Employed","Female","973","0.186572742612642","0.175803699716969","0.197341785508315","4"
"At lease once a week","2001","Not Employed","Male","636","0.20426299617345","0.189855490435869","0.21867050191103","4"
"At lease once a week","2001","Employed","Male","2277","0.313070340074225","0.30256172799795","0.3235789521505","4"
"At lease once a week","2001","Employed","Female","2003","0.332226334422215","0.320635027469927","0.343817641374503","4"
"At least once a month","2001","Not Employed","Male","127","0.0435099113968188","0.0362196430995166","0.0508001796941211","3"
"At least once a month","2001","Employed","Male","618","0.0833230396990388","0.0770603776851754","0.0895857017129022","3"
"At least once a month","2001","Not Employed","Female","183","0.0344988859725338","0.0294537535068996","0.0395440184381679","3"
"At least once a month","2001","Employed","Female","444","0.0706385243303427","0.0643331064011521","0.0769439422595334","3"
"Several times a year","2001","Employed","Male","1605","0.210639639437616","0.201399554321741","0.219879724553492","2"
"Several times a year","2001","Not Employed","Female","536","0.0881023079287321","0.0802669227753557","0.0959376930821085","2"
"Several times a year","2001","Not Employed","Male","293","0.0983475157179893","0.0877058291384517","0.108989202297527","2"
"Several times a year","2001","Employed","Female","1258","0.194297284602689","0.184560366558354","0.204034202647024","2"
"Almost never or never","2002","Not Employed","Male","","","","","1"
"Almost never or never","2002","Not Employed","Female","","","","","1"
"Almost never or never","2002","Employed","Female","","","","","1"
"Almost never or never","2002","Employed","Male","","","","","1"
"At lease once a week","2002","Not Employed","Female","","","","","4"
"At lease once a week","2002","Not Employed","Male","","","","","4"
"At lease once a week","2002","Employed","Male","","","","","4"
"At lease once a week","2002","Employed","Female","","","","","4"
"At least once a month","2002","Not Employed","Male","","","","","3"
"At least once a month","2002","Employed","Female","","","","","3"
"At least once a month","2002","Employed","Male","","","","","3"
"At least once a month","2002","Not Employed","Female","","","","","3"
"Several times a year","2002","Not Employed","Male","","","","","2"
"Several times a year","2002","Employed","Male","","","","","2"
"Several times a year","2002","Not Employed","Female","","","","","2"
"Several times a year","2002","Employed","Female","","","","","2"
"Almost never or never","2003","Not Employed","Male","1698","0.552641023077045","0.53535669642779","0.569925349726299","1"
"Almost never or never","2003","Not Employed","Female","2718","0.584159180605939","0.570462215078683","0.597856146133196","1"
"Almost never or never","2003","Employed","Female","1820","0.288410412563414","0.277410789236651","0.299410035890177","1"
"Almost never or never","2003","Employed","Male","2038","0.285532937291096","0.2753027311289","0.295763143453293","1"
"At lease once a week","2003","Not Employed","Female","1384","0.252566317759602","0.240491815161001","0.264640820358204","4"
"At lease once a week","2003","Not Employed","Male","922","0.267042494489735","0.251663341638607","0.282421647340863","4"
"At lease once a week","2003","Employed","Male","2870","0.367891317033935","0.356968848052062","0.378813786015808","4"
"At lease once a week","2003","Employed","Female","2693","0.405687948931674","0.393765626164979","0.41761027169837","4"
"At least once a month","2003","Not Employed","Male","159","0.0545978007939636","0.0467001358316552","0.062495465756272","3"
"At least once a month","2003","Employed","Female","573","0.0846957064241047","0.0779353281038933","0.0914560847443161","3"
"At least once a month","2003","Not Employed","Female","229","0.042763737237692","0.0371410672000588","0.0483864072753253","3"
"At least once a month","2003","Employed","Male","773","0.105147780739288","0.0982000834448245","0.112095478033752","3"
"Several times a year","2003","Not Employed","Male","400","0.125718681639256","0.114194015969978","0.137243347308534","2"
"Several times a year","2003","Employed","Male","1807","0.241427964935681","0.231734983653051","0.25112094621831","2"
"Several times a year","2003","Not Employed","Female","643","0.120510764396766","0.111463372860636","0.129558155932896","2"
"Several times a year","2003","Employed","Female","1430","0.221205932080807","0.211128096809552","0.231283767352062","2"
"Almost never or never","2004","Not Employed","Male","","","","","1"
"Almost never or never","2004","Not Employed","Female","","","","","1"
"Almost never or never","2004","Employed","Female","","","","","1"
"Almost never or never","2004","Employed","Male","","","","","1"
"At lease once a week","2004","Not Employed","Female","","","","","4"
"At lease once a week","2004","Employed","Male","","","","","4"
"At lease once a week","2004","Employed","Female","","","","","4"
"At lease once a week","2004","Not Employed","Male","","","","","4"
"At least once a month","2004","Not Employed","Male","","","","","3"
"At least once a month","2004","Employed","Female","","","","","3"
"At least once a month","2004","Not Employed","Female","","","","","3"
"At least once a month","2004","Employed","Male","","","","","3"
"Several times a year","2004","Not Employed","Male","","","","","2"
"Several times a year","2004","Employed","Male","","","","","2"
"Several times a year","2004","Not Employed","Female","","","","","2"
"Several times a year","2004","Employed","Female","","","","","2"
"Almost never or never","2005","Not Employed","Male","1732","0.573793510651058","0.556573106110495","0.591013915191622","1"
"Almost never or never","2005","Not Employed","Female","2612","0.595654702493188","0.581624218657452","0.609685186328925","1"
"Almost never or never","2005","Employed","Female","1924","0.323981791731387","0.312227009109142","0.335736574353632","1"
"Almost never or never","2005","Employed","Male","2120","0.32522434518204","0.314018077451236","0.336430612912843","1"
