"m11104","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"At least once a month","1990","(Married) couple without C. ","West Germany","181","0.0823124942712505","0.0710851840744172","0.0935398044680838"
"At least once a month","1990","(Married) couple without C. ","East Germany","27","","",""
"At least once a month","1990","Single parent ","West Germany","45","0.0913270038609909","0.0649730874408299","0.117680920281152"
"At least once a month","1990","Single parent ","East Germany","10","","",""
"At least once a month","1990","Couple + C. LE 16 ","West Germany","182","0.10209840583772","0.0890865190674302","0.115110292608009"
"At least once a month","1990","Couple + C. LE 16 ","East Germany","50","0.0348610667126974","0.0254198200653055","0.0443023133600893"
"At least once a month","1990","Couple + C. GT 16 ","West Germany","189","0.0952819889957657","0.082575449632969","0.107988528358562"
"At least once a month","1990","Couple + C. GT 16 ","East Germany","37","0.0439529981277694","0.0297214284134539","0.0581845678420849"
"At least once a month","1990","Couple + C. LE and GT 16","West Germany","71","0.0756248092860968","0.0581857109770149","0.0930639075951788"
"At least once a month","1990","Couple + C. LE and GT 16","East Germany","14","","",""
"At lease once a week","1990","1-pers.-HH","West Germany","261","0.242130171141033","0.215994719716649","0.268265622565418"
"At lease once a week","1990","1-pers.-HH","East Germany","27","","",""
"At lease once a week","1990","(Married) couple without C. ","West Germany","608","0.262511515373776","0.244537412102877","0.280485618644676"
"At lease once a week","1990","(Married) couple without C. ","East Germany","78","0.0853860346554896","0.0673672936785642","0.103404775632415"
"At lease once a week","1990","Single parent ","West Germany","150","0.330334760055165","0.287307096472221","0.373362423638108"
"At lease once a week","1990","Single parent ","East Germany","24","","",""
"At lease once a week","1990","Couple + C. LE 16 ","West Germany","558","0.304351692266289","0.284577481881027","0.324125902651551"
"At lease once a week","1990","Couple + C. LE 16 ","East Germany","208","0.141378275467074","0.123445134343782","0.159311416590366"
"At lease once a week","1990","Couple + C. GT 16 ","West Germany","625","0.327269679853366","0.306963012828668","0.347576346878064"
"At lease once a week","1990","Couple + C. GT 16 ","East Germany","143","0.175411456519504","0.149007649131753","0.201815263907254"
"At lease once a week","1990","Couple + C. LE and GT 16","West Germany","263","0.37176837558638","0.339892372634186","0.403644378538575"
"At lease once a week","1990","Couple + C. LE and GT 16","East Germany","66","0.213229198997453","0.167412229716131","0.259046168278776"
"Almost never or never","1991","1-pers.-HH","West Germany","","","",""
"Almost never or never","1991","1-pers.-HH","East Germany","","","",""
"Almost never or never","1991","(Married) couple without C. ","West Germany","","","",""
"Almost never or never","1991","(Married) couple without C. ","East Germany","","","",""
"Almost never or never","1991","Single parent ","West Germany","","","",""
"Almost never or never","1991","Single parent ","East Germany","","","",""
"Almost never or never","1991","Couple + C. LE 16 ","West Germany","","","",""
"Almost never or never","1991","Couple + C. LE 16 ","East Germany","","","",""
"Almost never or never","1991","Couple + C. GT 16 ","West Germany","","","",""
