"m11104","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Several times a year","1995","35-65 y.","Female","730","0.215079675072383","0.201327328077618","0.228832022067148"
"Several times a year","1995","66 and older","Male","55","0.114492181006893","0.0886680460967566","0.14031631591703"
"Several times a year","1995","66 and older","Female","58","0.0641052017893423","0.0484718393282936","0.079738564250391"
"At least once a month","1995","16-34 y.","Male","269","0.113392386686943","0.100796014612888","0.125988758760998"
"At least once a month","1995","16-34 y.","Female","235","0.0884525801091065","0.0773129521543408","0.0995922080638721"
"At least once a month","1995","35-65 y.","Male","246","0.0907343781945019","0.0810511300748066","0.100417626314197"
"At least once a month","1995","35-65 y.","Female","168","0.0548742543416667","0.0472518240518513","0.0624966846314822"
"At least once a month","1995","66 and older","Male","23","","",""
"At least once a month","1995","66 and older","Female","19","","",""
"At lease once a week","1995","16-34 y.","Male","1030","0.436976376015361","0.417271210264431","0.456681541766292"
"At lease once a week","1995","16-34 y.","Female","833","0.39296272859482","0.37380212617471","0.41212333101493"
"At lease once a week","1995","35-65 y.","Male","730","0.255249233264319","0.240550583441969","0.269947883086669"
"At lease once a week","1995","35-65 y.","Female","722","0.264706357905237","0.249939879311816","0.279472836498657"
"At lease once a week","1995","66 and older","Male","73","0.128068320415942","0.100966169896967","0.155170470934917"
"At lease once a week","1995","66 and older","Female","97","0.105059000446614","0.0854883130832576","0.12462968780997"
"Almost never or never","1996","16-34 y.","Male","570","0.228680118477114","0.211692577711222","0.245667659243006"
"Almost never or never","1996","16-34 y.","Female","921","0.333438354653404","0.314627983391472","0.352248725915336"
"Almost never or never","1996","35-65 y.","Male","1758","0.476251048572833","0.459270079302071","0.493232017843594"
"Almost never or never","1996","35-65 y.","Female","1998","0.529419103856296","0.51259956662193","0.546238641090661"
"Almost never or never","1996","66 and older","Male","460","0.72786772434058","0.692315555228803","0.763419893452356"
"Almost never or never","1996","66 and older","Female","800","0.819040827957821","0.794585544969106","0.843496110946535"
"Several times a year","1996","16-34 y.","Male","621","0.268493083873543","0.250567437915491","0.286418729831594"
"Several times a year","1996","16-34 y.","Female","652","0.26087612614379","0.243355677873602","0.278396574413979"
"Several times a year","1996","35-65 y.","Male","732","0.224914355526528","0.210718343618648","0.239110367434407"
"Several times a year","1996","35-65 y.","Female","599","0.189912355932399","0.176695148470916","0.203129563393882"
"Several times a year","1996","66 and older","Male","59","0.107914632228557","0.0831293869619713","0.132699877495142"
"Several times a year","1996","66 and older","Female","37","0.0469073432008706","0.0334760572179503","0.0603386291837908"
"At least once a month","1996","16-34 y.","Male","271","0.10207421608211","0.0898286943716031","0.114319737792617"
"At least once a month","1996","16-34 y.","Female","218","0.08872617657202","0.0773807779041008","0.100071575239939"
"At least once a month","1996","35-65 y.","Male","215","0.0733096750701521","0.064447692692607","0.0821716574476973"
"At least once a month","1996","35-65 y.","Female","170","0.0606966023813892","0.0526505616018695","0.0687426431609089"
"At least once a month","1996","66 and older","Male","25","","",""
"At least once a month","1996","66 and older","Female","23","","",""
"At lease once a week","1996","16-34 y.","Male","886","0.400752581567233","0.380930909129245","0.42057425400522"
"At lease once a week","1996","16-34 y.","Female","622","0.316959342630786","0.298394362595694","0.335524322665877"
"At lease once a week","1996","35-65 y.","Male","618","0.225524920830488","0.211315253395501","0.239734588265474"
"At lease once a week","1996","35-65 y.","Female","616","0.219971937829916","0.206013531194074","0.233930344465758"
"At lease once a week","1996","66 and older","Male","58","0.10021205290069","0.0762248333275951","0.124199272473785"
"At lease once a week","1996","66 and older","Female","92","0.111053542125908","0.0910947788893803","0.131012305362435"
"Almost never or never","1997","16-34 y.","Male","593","0.244514386139871","0.226937865806306","0.262090906473437"
"Almost never or never","1997","16-34 y.","Female","885","0.347238425740865","0.327852959353136","0.366623892128595"
"Almost never or never","1997","35-65 y.","Male","1788","0.503289168628651","0.486118001355464","0.520460335901837"
"Almost never or never","1997","35-65 y.","Female","2019","0.540100679506789","0.52320857722478","0.556992781788799"
"Almost never or never","1997","66 and older","Male","496","0.779097530561401","0.746625419782145","0.811569641340656"
"Almost never or never","1997","66 and older","Female","778","0.825557749294556","0.801181166724993","0.849934331864119"
"Several times a year","1997","16-34 y.","Male","564","0.247115772175383","0.229476448656597","0.264755095694169"
"Several times a year","1997","16-34 y.","Female","626","0.272900812612801","0.254763024747747","0.291038600477855"
"Several times a year","1997","35-65 y.","Male","647","0.203016181690911","0.189201868710272","0.21683049467155"
"Several times a year","1997","35-65 y.","Female","553","0.17184195248455","0.159055909235345","0.184627995733754"
"Several times a year","1997","66 and older","Male","47","0.0744458478967662","0.0538994602500735","0.094992235543459"
"Several times a year","1997","66 and older","Female","42","0.0496665612199221","0.0357111286793008","0.0636219937605435"
"At least once a month","1997","16-34 y.","Male","248","0.103120812339994","0.0906840387164021","0.115557585963586"
"At least once a month","1997","16-34 y.","Female","160","0.0647767857442074","0.0547548316184209","0.0747987398699939"
"At least once a month","1997","35-65 y.","Male","190","0.060234121525678","0.052063213192015","0.068405029859341"
"At least once a month","1997","35-65 y.","Female","141","0.0508980994205718","0.0434486845589099","0.0583475142822336"
"At least once a month","1997","66 and older","Male","17","","",""
"At least once a month","1997","66 and older","Female","7","","",""
"At lease once a week","1997","16-34 y.","Male","892","0.405249029344751","0.385172152044174","0.425325906645329"
"At lease once a week","1997","16-34 y.","Female","646","0.315083975902127","0.296168516387574","0.333999435416679"
"At lease once a week","1997","35-65 y.","Male","632","0.23346052815476","0.21893228147889","0.247988774830631"
"At lease once a week","1997","35-65 y.","Female","631","0.237159268588089","0.222743030548637","0.251575506627541"
"At lease once a week","1997","66 and older","Male","67","0.122026899941938","0.0964066882009548","0.147647111682921"
"At lease once a week","1997","66 and older","Female","104","0.116128661970434","0.0955490355374208","0.136708288403447"
"Almost never or never","1998","16-34 y.","Male","503","0.19009910040682","0.174417278327559","0.205780922486081"
"Almost never or never","1998","16-34 y.","Female","688","0.250457836290571","0.233301269114732","0.26761440346641"
"Almost never or never","1998","35-65 y.","Male","1540","0.379931564608666","0.364306950570617","0.395556178646714"
"Almost never or never","1998","35-65 y.","Female","1796","0.424342550613627","0.408582505003618","0.440102596223636"
"Almost never or never","1998","66 and older","Male","535","0.683990876783829","0.650784188308185","0.717197565259472"
"Almost never or never","1998","66 and older","Female","879","0.78388843562825","0.759642418206103","0.808134453050396"
"Several times a year","1998","16-34 y.","Male","613","0.246229263045772","0.229011369439187","0.263447156652358"
"Several times a year","1998","16-34 y.","Female","666","0.260871770182192","0.243484216401116","0.278259323963269"
"Several times a year","1998","35-65 y.","Male","931","0.248577725827948","0.234665073400311","0.262490378255585"
"Several times a year","1998","35-65 y.","Female","827","0.213042246674156","0.1999857792301","0.226098714118213"
"Several times a year","1998","66 and older","Male","101","0.148419177179941","0.12302649663043","0.173811857729453"
"Several times a year","1998","66 and older","Female","65","0.0635100486926646","0.0491436781316611","0.0778764192536681"
"At least once a month","1998","16-34 y.","Male","267","0.106343451429977","0.0940228687508425","0.118664034109111"
"At least once a month","1998","16-34 y.","Female","259","0.113009119922097","0.10047247364168","0.125545766202513"
"At least once a month","1998","35-65 y.","Male","295","0.0850406206843547","0.0760611463099498","0.0940200950587596"
"At least once a month","1998","35-65 y.","Female","238","0.0702755413690501","0.0621248144599007","0.0784262682781994"
"At least once a month","1998","66 and older","Male","25","","",""
"At least once a month","1998","66 and older","Female","22","","",""
"At lease once a week","1998","16-34 y.","Male","1022","0.457328185117431","0.437418097670109","0.477238272564752"
