"m11104","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1994","1-pers.-HH","middle vocational","417","0.626498510017308","0.590689256101924","0.662307763932691"
"Almost never or never","1994","1-pers.-HH","vocational + Abi","13","","",""
"Almost never or never","1994","1-pers.-HH","higher vocational","32","0.503015251792531","0.389096730672096","0.616933772912966"
"Almost never or never","1994","1-pers.-HH","higher education","61","0.345892411401156","0.27218974320883","0.419595079593482"
"Almost never or never","1994","(Married) couple without C. ","in school","","","",""
"Almost never or never","1994","(Married) couple without C. ","inadequately","68","0.871857996350656","0.798151939445248","0.945564053256064"
"Almost never or never","1994","(Married) couple without C. ","general elemantary","462","0.769318502843514","0.735833081271256","0.802803924415772"
"Almost never or never","1994","(Married) couple without C. ","middle vocational","1119","0.613602901439898","0.591250952983861","0.635954849895935"
"Almost never or never","1994","(Married) couple without C. ","vocational + Abi","48","0.44555838446089","0.348626283814875","0.542490485106904"
"Almost never or never","1994","(Married) couple without C. ","higher vocational","126","0.532894293657261","0.469105809603966","0.596682777710557"
"Almost never or never","1994","(Married) couple without C. ","higher education","217","0.477823523885325","0.430556108014442","0.525090939756208"
"Almost never or never","1994","Single parent ","in school","2","","",""
"Almost never or never","1994","Single parent ","inadequately","22","","",""
"Almost never or never","1994","Single parent ","general elemantary","79","0.540447157628226","0.45575043267571","0.625143882580742"
"Almost never or never","1994","Single parent ","middle vocational","151","0.539814939000571","0.481539756982188","0.598090121018954"
"Almost never or never","1994","Single parent ","vocational + Abi","4","","",""
"Almost never or never","1994","Single parent ","higher vocational","9","","",""
"Almost never or never","1994","Single parent ","higher education","24","","",""
"Almost never or never","1994","Couple + C. LE 16 ","in school","","","",""
"Almost never or never","1994","Couple + C. LE 16 ","inadequately","66","0.80861598619757","0.724489560215819","0.89274241217932"
"Almost never or never","1994","Couple + C. LE 16 ","general elemantary","242","0.62145824819453","0.571425153959923","0.671491342429136"
"Almost never or never","1994","Couple + C. LE 16 ","middle vocational","846","0.480439250513948","0.456273575964715","0.504604925063181"
"Almost never or never","1994","Couple + C. LE 16 ","vocational + Abi","52","0.36721580913758","0.280968418789949","0.453463199485211"
"Almost never or never","1994","Couple + C. LE 16 ","higher vocational","89","0.346711592873948","0.283679360144783","0.409743825603113"
"Almost never or never","1994","Couple + C. LE 16 ","higher education","209","0.31148812081535","0.271987166049881","0.350989075580818"
"Almost never or never","1994","Couple + C. GT 16 ","in school","17","","",""
"Almost never or never","1994","Couple + C. GT 16 ","inadequately","130","0.792044012586779","0.728762052908146","0.855325972265412"
"Almost never or never","1994","Couple + C. GT 16 ","general elemantary","268","0.544382720600478","0.500642025660207","0.58812341554075"
"Almost never or never","1994","Couple + C. GT 16 ","middle vocational","625","0.475773406258084","0.447761035555295","0.503785776960874"
"Almost never or never","1994","Couple + C. GT 16 ","vocational + Abi","13","","",""
"Almost never or never","1994","Couple + C. GT 16 ","higher vocational","50","0.47306727686963","0.375696991481273","0.570437562257988"
"Almost never or never","1994","Couple + C. GT 16 ","higher education","119","0.404052800028263","0.343586863674348","0.464518736382179"
"Almost never or never","1994","Couple + C. LE and GT 16","in school","16","","",""
"Almost never or never","1994","Couple + C. LE and GT 16","inadequately","73","0.78384617518055","0.701506460337247","0.866185890023853"
"Almost never or never","1994","Couple + C. LE and GT 16","general elemantary","116","0.368989527317913","0.312968513416908","0.425010541218917"
"Almost never or never","1994","Couple + C. LE and GT 16","middle vocational","227","0.445414013170906","0.399544281028633","0.49128374531318"
"Almost never or never","1994","Couple + C. LE and GT 16","vocational + Abi","10","","",""
"Almost never or never","1994","Couple + C. LE and GT 16","higher vocational","30","0.449474200957117","0.322544485148697","0.576403916765537"
"Almost never or never","1994","Couple + C. LE and GT 16","higher education","49","0.357420168321512","0.269447302861112","0.445393033781912"
"Several times a year","1994","1-pers.-HH","in school","","","",""
"Several times a year","1994","1-pers.-HH","inadequately","3","","",""
"Several times a year","1994","1-pers.-HH","general elemantary","35","0.0734342810469397","0.0460675505553662","0.100801011538513"
"Several times a year","1994","1-pers.-HH","middle vocational","97","0.143225233791385","0.117293462327232","0.169157005255538"
"Several times a year","1994","1-pers.-HH","vocational + Abi","16","","",""
"Several times a year","1994","1-pers.-HH","higher vocational","11","","",""
"Several times a year","1994","1-pers.-HH","higher education","28","","",""
"Several times a year","1994","(Married) couple without C. ","in school","","","",""
"Several times a year","1994","(Married) couple without C. ","inadequately","7","","",""
"Several times a year","1994","(Married) couple without C. ","general elemantary","60","0.0891040811709761","0.0664587082174387","0.111749454124514"
"Several times a year","1994","(Married) couple without C. ","middle vocational","272","0.136149246816621","0.120406455578918","0.151892038054324"
"Several times a year","1994","(Married) couple without C. ","vocational + Abi","20","","",""
"Several times a year","1994","(Married) couple without C. ","higher vocational","46","0.184226850944657","0.134661826185255","0.233791875704059"
"Several times a year","1994","(Married) couple without C. ","higher education","62","0.143779947867142","0.110578172794532","0.176981722939753"
"Several times a year","1994","Single parent ","in school","5","","",""
"Several times a year","1994","Single parent ","inadequately","4","","",""
"Several times a year","1994","Single parent ","general elemantary","16","","",""
"Several times a year","1994","Single parent ","middle vocational","51","0.197790431347944","0.151216651194664","0.244364211501224"
"Several times a year","1994","Single parent ","vocational + Abi","","","",""
"Several times a year","1994","Single parent ","higher vocational","2","","",""
"Several times a year","1994","Single parent ","higher education","12","","",""
"Several times a year","1994","Couple + C. LE 16 ","in school","1","","",""
"Several times a year","1994","Couple + C. LE 16 ","inadequately","8","","",""
"Several times a year","1994","Couple + C. LE 16 ","general elemantary","58","0.175824596198628","0.136556112743479","0.215093079653777"
"Several times a year","1994","Couple + C. LE 16 ","middle vocational","390","0.249725832326205","0.228789372595671","0.270662292056739"
"Several times a year","1994","Couple + C. LE 16 ","vocational + Abi","28","","",""
"Several times a year","1994","Couple + C. LE 16 ","higher vocational","58","0.310877171962989","0.249576001311113","0.372178342614866"
"Several times a year","1994","Couple + C. LE 16 ","higher education","133","0.241924677524381","0.205396551302902","0.27845280374586"
"Several times a year","1994","Couple + C. GT 16 ","in school","19","","",""
"Several times a year","1994","Couple + C. GT 16 ","inadequately","14","","",""
"Several times a year","1994","Couple + C. GT 16 ","general elemantary","80","0.155932539690557","0.124069267401628","0.187795811979485"
"Several times a year","1994","Couple + C. GT 16 ","middle vocational","233","0.203473556433217","0.180892495314785","0.226054617551649"
"Several times a year","1994","Couple + C. GT 16 ","vocational + Abi","10","","",""
"Several times a year","1994","Couple + C. GT 16 ","higher vocational","28","","",""
"Several times a year","1994","Couple + C. GT 16 ","higher education","57","0.241859957782685","0.189095128863633","0.294624786701737"
"Several times a year","1994","Couple + C. LE and GT 16","in school","22","","",""
"Several times a year","1994","Couple + C. LE and GT 16","inadequately","12","","",""
"Several times a year","1994","Couple + C. LE and GT 16","general elemantary","63","0.220301661057831","0.17218473758651","0.268418584529152"
"Several times a year","1994","Couple + C. LE and GT 16","middle vocational","80","0.18632225193404","0.150387189641784","0.222257314226297"
"Several times a year","1994","Couple + C. LE and GT 16","vocational + Abi","3","","",""
"Several times a year","1994","Couple + C. LE and GT 16","higher vocational","12","","",""
"Several times a year","1994","Couple + C. LE and GT 16","higher education","29","","",""
"At least once a month","1994","1-pers.-HH","in school","","","",""
"At least once a month","1994","1-pers.-HH","inadequately","1","","",""
"At least once a month","1994","1-pers.-HH","general elemantary","11","","",""
"At least once a month","1994","1-pers.-HH","middle vocational","48","0.0560362550237153","0.0390106995176121","0.0730618105298185"
"At least once a month","1994","1-pers.-HH","vocational + Abi","3","","",""
"At least once a month","1994","1-pers.-HH","higher vocational","4","","",""
"At least once a month","1994","1-pers.-HH","higher education","18","","",""
"At least once a month","1994","(Married) couple without C. ","in school","","","",""
"At least once a month","1994","(Married) couple without C. ","inadequately","2","","",""
"At least once a month","1994","(Married) couple without C. ","general elemantary","19","","",""
"At least once a month","1994","(Married) couple without C. ","middle vocational","81","0.0456463898828329","0.0360653502925093","0.0552274294731565"
"At least once a month","1994","(Married) couple without C. ","vocational + Abi","3","","",""
"At least once a month","1994","(Married) couple without C. ","higher vocational","15","","",""
"At least once a month","1994","(Married) couple without C. ","higher education","30","0.063575144650432","0.0404864388620369","0.0866638504388271"
"At least once a month","1994","Single parent ","in school","","","",""
"At least once a month","1994","Single parent ","inadequately","","","",""
"At least once a month","1994","Single parent ","general elemantary","8","","",""
"At least once a month","1994","Single parent ","middle vocational","16","","",""
"At least once a month","1994","Single parent ","vocational + Abi","1","","",""
"At least once a month","1994","Single parent ","higher vocational","3","","",""
"At least once a month","1994","Single parent ","higher education","11","","",""
"At least once a month","1994","Couple + C. LE 16 ","in school","","","",""
"At least once a month","1994","Couple + C. LE 16 ","inadequately","3","","",""
"At least once a month","1994","Couple + C. LE 16 ","general elemantary","18","","",""
"At least once a month","1994","Couple + C. LE 16 ","middle vocational","81","0.0491724740614832","0.0387138773311902","0.0596310707917762"
"At least once a month","1994","Couple + C. LE 16 ","vocational + Abi","11","","",""
"At least once a month","1994","Couple + C. LE 16 ","higher vocational","24","","",""
"At least once a month","1994","Couple + C. LE 16 ","higher education","42","0.0978445242576545","0.0725025708879955","0.123186477627313"
"At least once a month","1994","Couple + C. GT 16 ","in school","11","","",""
"At least once a month","1994","Couple + C. GT 16 ","inadequately","3","","",""
"At least once a month","1994","Couple + C. GT 16 ","general elemantary","45","0.0798942514835307","0.0560814737787308","0.103707029188331"
"At least once a month","1994","Couple + C. GT 16 ","middle vocational","103","0.0804527768986692","0.0651965268890454","0.095709026908293"
"At least once a month","1994","Couple + C. GT 16 ","vocational + Abi","7","","",""
"At least once a month","1994","Couple + C. GT 16 ","higher vocational","7","","",""
"At least once a month","1994","Couple + C. GT 16 ","higher education","9","","",""
"At least once a month","1994","Couple + C. LE and GT 16","in school","8","","",""
"At least once a month","1994","Couple + C. LE and GT 16","inadequately","","","",""
"At least once a month","1994","Couple + C. LE and GT 16","general elemantary","22","","",""
"At least once a month","1994","Couple + C. LE and GT 16","middle vocational","32","0.0875897313486891","0.061499285573762","0.113680177123616"
"At least once a month","1994","Couple + C. LE and GT 16","vocational + Abi","3","","",""
"At least once a month","1994","Couple + C. LE and GT 16","higher vocational","3","","",""
"At least once a month","1994","Couple + C. LE and GT 16","higher education","11","","",""
"At lease once a week","1994","1-pers.-HH","in school","","","",""
"At lease once a week","1994","1-pers.-HH","inadequately","1","","",""
"At lease once a week","1994","1-pers.-HH","general elemantary","33","0.0878181787922611","0.0581242066214592","0.117512150963063"
"At lease once a week","1994","1-pers.-HH","middle vocational","139","0.174240001167592","0.146160464635396","0.202319537699788"
"At lease once a week","1994","1-pers.-HH","vocational + Abi","19","","",""
"At lease once a week","1994","1-pers.-HH","higher vocational","27","","",""
"At lease once a week","1994","1-pers.-HH","higher education","53","0.409512967628078","0.333317855708675","0.48570807954748"
"At lease once a week","1994","(Married) couple without C. ","in school","","","",""
"At lease once a week","1994","(Married) couple without C. ","inadequately","2","","",""
"At lease once a week","1994","(Married) couple without C. ","general elemantary","67","0.115608909599791","0.0901925039512674","0.141025315248314"
"At lease once a week","1994","(Married) couple without C. ","middle vocational","351","0.204601461860648","0.186083144734529","0.223119778986768"
"At lease once a week","1994","(Married) couple without C. ","vocational + Abi","30","0.291947885915633","0.20327870770761","0.380617064123657"
"At lease once a week","1994","(Married) couple without C. ","higher vocational","48","0.219269204433412","0.16636945250337","0.272168956363454"
"At lease once a week","1994","(Married) couple without C. ","higher education","120","0.314821383597101","0.270871932343875","0.358770834850326"
"At lease once a week","1994","Single parent ","in school","13","","",""
"At lease once a week","1994","Single parent ","inadequately","1","","",""
"At lease once a week","1994","Single parent ","general elemantary","30","0.252632041010766","0.178784893692583","0.326479188328948"
"At lease once a week","1994","Single parent ","middle vocational","63","0.202167038638386","0.155209416893617","0.249124660383156"
"At lease once a week","1994","Single parent ","vocational + Abi","5","","",""
"At lease once a week","1994","Single parent ","higher vocational","4","","",""
"At lease once a week","1994","Single parent ","higher education","15","","",""
"At lease once a week","1994","Couple + C. LE 16 ","in school","","","",""
"At lease once a week","1994","Couple + C. LE 16 ","inadequately","7","","",""
"At lease once a week","1994","Couple + C. LE 16 ","general elemantary","43","0.143989178023477","0.107773297902357","0.180205058144598"
"At lease once a week","1994","Couple + C. LE 16 ","middle vocational","325","0.220662443098364","0.200604401455967","0.24072048474076"
"At lease once a week","1994","Couple + C. LE 16 ","vocational + Abi","29","","",""
"At lease once a week","1994","Couple + C. LE 16 ","higher vocational","48","0.233254740208116","0.17724457900714","0.289264901409093"
"At lease once a week","1994","Couple + C. LE 16 ","higher education","144","0.348742677402615","0.308092729980917","0.389392624824312"
"At lease once a week","1994","Couple + C. GT 16 ","in school","48","0.601482913686248","0.503031624148849","0.699934203223647"
"At lease once a week","1994","Couple + C. GT 16 ","inadequately","11","","",""
"At lease once a week","1994","Couple + C. GT 16 ","general elemantary","105","0.219790488225434","0.183420472668818","0.25616050378205"
"At lease once a week","1994","Couple + C. GT 16 ","middle vocational","260","0.24030026041003","0.216334656981682","0.264265863838377"
"At lease once a week","1994","Couple + C. GT 16 ","vocational + Abi","33","0.589725053675156","0.468263144208813","0.7111869631415"
"At lease once a week","1994","Couple + C. GT 16 ","higher vocational","16","","",""
"At lease once a week","1994","Couple + C. GT 16 ","higher education","68","0.307524603112618","0.250661580976107","0.364387625249129"
"At lease once a week","1994","Couple + C. LE and GT 16","in school","63","0.641010012558041","0.55095489103548","0.731065134080602"
"At lease once a week","1994","Couple + C. LE and GT 16","inadequately","11","","",""
"At lease once a week","1994","Couple + C. LE and GT 16","general elemantary","84","0.320042142209165","0.265883191220246","0.374201093198085"
"At lease once a week","1994","Couple + C. LE and GT 16","middle vocational","112","0.280674003546364","0.239204981577081","0.322143025515648"
"At lease once a week","1994","Couple + C. LE and GT 16","vocational + Abi","7","","",""
"At lease once a week","1994","Couple + C. LE and GT 16","higher vocational","14","","",""
"At lease once a week","1994","Couple + C. LE and GT 16","higher education","25","","",""
"Almost never or never","1995","1-pers.-HH","in school","","","",""
"Almost never or never","1995","1-pers.-HH","inadequately","26","","",""
"Almost never or never","1995","1-pers.-HH","general elemantary","279","0.798897461938745","0.758000673532831","0.839794250344659"
"Almost never or never","1995","1-pers.-HH","middle vocational","358","0.512290108102164","0.476104583698537","0.548475632505791"
"Almost never or never","1995","1-pers.-HH","vocational + Abi","18","","",""
"Almost never or never","1995","1-pers.-HH","higher vocational","20","","",""
"Almost never or never","1995","1-pers.-HH","higher education","58","0.334360903352773","0.263857347083492","0.404864459622055"
"Almost never or never","1995","(Married) couple without C. ","in school","","","",""
"Almost never or never","1995","(Married) couple without C. ","inadequately","69","0.931305977225709","0.874440725640725","0.988171228810692"
"Almost never or never","1995","(Married) couple without C. ","general elemantary","414","0.671233416586917","0.633676366456548","0.708790466717287"
"Almost never or never","1995","(Married) couple without C. ","middle vocational","923","0.490237405094101","0.467676087886166","0.512798722302035"
"Almost never or never","1995","(Married) couple without C. ","vocational + Abi","43","0.388103372633474","0.301630295450155","0.474576449816794"
"Almost never or never","1995","(Married) couple without C. ","higher vocational","100","0.407240167328034","0.346214420291637","0.46826591436443"
"Almost never or never","1995","(Married) couple without C. ","higher education","159","0.31696713397913","0.275514385866943","0.358419882091317"
"Almost never or never","1995","Single parent ","in school","7","","",""
"Almost never or never","1995","Single parent ","inadequately","15","","",""
"Almost never or never","1995","Single parent ","general elemantary","76","0.528253967263673","0.446147109723882","0.610360824803465"
"Almost never or never","1995","Single parent ","middle vocational","120","0.397508443843462","0.341568363300364","0.453448524386561"
"Almost never or never","1995","Single parent ","vocational + Abi","1","","",""
"Almost never or never","1995","Single parent ","higher vocational","7","","",""
"Almost never or never","1995","Single parent ","higher education","16","","",""
"Almost never or never","1995","Couple + C. LE 16 ","in school","","","",""
"Almost never or never","1995","Couple + C. LE 16 ","inadequately","67","0.720430656047316","0.628222728513366","0.812638583581267"
"Almost never or never","1995","Couple + C. LE 16 ","general elemantary","238","0.537850920002545","0.488178580768303","0.587523259236787"
"Almost never or never","1995","Couple + C. LE 16 ","middle vocational","626","0.334805870687857","0.312266188737906","0.357345552637807"
"Almost never or never","1995","Couple + C. LE 16 ","vocational + Abi","61","0.309027422802345","0.237870116440323","0.380184729164366"
"Almost never or never","1995","Couple + C. LE 16 ","higher vocational","60","0.210042659246803","0.158073263994112","0.262012054499493"
"Almost never or never","1995","Couple + C. LE 16 ","higher education","116","0.19630090020854","0.162389113661408","0.230212686755672"
"Almost never or never","1995","Couple + C. GT 16 ","in school","11","","",""
"Almost never or never","1995","Couple + C. GT 16 ","inadequately","133","0.807539569180788","0.746068299959604","0.869010838401973"
"Almost never or never","1995","Couple + C. GT 16 ","general elemantary","246","0.501212899647153","0.457861176204473","0.544564623089834"
"Almost never or never","1995","Couple + C. GT 16 ","middle vocational","516","0.394746024178289","0.367616475310035","0.421875573046542"
"Almost never or never","1995","Couple + C. GT 16 ","vocational + Abi","16","","",""
"Almost never or never","1995","Couple + C. GT 16 ","higher vocational","42","0.367306337611857","0.273753070622617","0.460859604601096"
"Almost never or never","1995","Couple + C. GT 16 ","higher education","81","0.290278470089768","0.235000814998338","0.345556125181197"
"Almost never or never","1995","Couple + C. LE and GT 16","in school","10","","",""
"Almost never or never","1995","Couple + C. LE and GT 16","inadequately","65","0.743919296185621","0.65167273087803","0.836165861493213"
"Almost never or never","1995","Couple + C. LE and GT 16","general elemantary","103","0.303573429674948","0.250003087806353","0.357143771543544"
"Almost never or never","1995","Couple + C. LE and GT 16","middle vocational","197","0.359104834170417","0.316409408738964","0.401800259601871"
"Almost never or never","1995","Couple + C. LE and GT 16","vocational + Abi","10","","",""
"Almost never or never","1995","Couple + C. LE and GT 16","higher vocational","16","","",""
"Almost never or never","1995","Couple + C. LE and GT 16","higher education","35","0.207557866650804","0.140616910232672","0.274498823068935"
"Several times a year","1995","1-pers.-HH","in school","","","",""
"Several times a year","1995","1-pers.-HH","inadequately","4","","",""
"Several times a year","1995","1-pers.-HH","general elemantary","38","0.0963406941434318","0.0662354498188704","0.126445938467993"
"Several times a year","1995","1-pers.-HH","middle vocational","122","0.175463167368233","0.147927594491274","0.202998740245191"
"Several times a year","1995","1-pers.-HH","vocational + Abi","12","","",""
"Several times a year","1995","1-pers.-HH","higher vocational","10","","",""
"Several times a year","1995","1-pers.-HH","higher education","35","0.180086916226466","0.12266087788039","0.237512954572543"
"Several times a year","1995","(Married) couple without C. ","in school","","","",""
"Several times a year","1995","(Married) couple without C. ","inadequately","5","","",""
"Several times a year","1995","(Married) couple without C. ","general elemantary","78","0.140901076982004","0.113085402285095","0.168716751678914"
"Several times a year","1995","(Married) couple without C. ","middle vocational","379","0.194560567188839","0.17669482335251","0.212426311025168"
"Several times a year","1995","(Married) couple without C. ","vocational + Abi","25","","",""
"Several times a year","1995","(Married) couple without C. ","higher vocational","64","0.268975884097037","0.213898799779487","0.324052968414588"
"Several times a year","1995","(Married) couple without C. ","higher education","118","0.216860846391037","0.180146529414779","0.253575163367295"
"Several times a year","1995","Single parent ","in school","3","","",""
"Several times a year","1995","Single parent ","inadequately","7","","",""
"Several times a year","1995","Single parent ","general elemantary","17","","",""
"Several times a year","1995","Single parent ","middle vocational","59","0.188588333853479","0.143873413514495","0.233303254192464"
"Several times a year","1995","Single parent ","vocational + Abi","3","","",""
"Several times a year","1995","Single parent ","higher vocational","6","","",""
"Several times a year","1995","Single parent ","higher education","18","","",""
"Several times a year","1995","Couple + C. LE 16 ","in school","","","",""
"Several times a year","1995","Couple + C. LE 16 ","inadequately","16","","",""
"Several times a year","1995","Couple + C. LE 16 ","general elemantary","74","0.232667424566903","0.190570320826914","0.274764528306891"
"Several times a year","1995","Couple + C. LE 16 ","middle vocational","510","0.293724699826251","0.271970941924037","0.315478457728466"
"Several times a year","1995","Couple + C. LE 16 ","vocational + Abi","57","0.334617829558563","0.261956941351584","0.407278717765542"
"Several times a year","1995","Couple + C. LE 16 ","higher vocational","86","0.321035202741434","0.261470079192697","0.380600326290172"
"Several times a year","1995","Couple + C. LE 16 ","higher education","174","0.295043460849218","0.256106060553237","0.3339808611452"
"Several times a year","1995","Couple + C. GT 16 ","in school","12","","",""
"Several times a year","1995","Couple + C. GT 16 ","inadequately","14","","",""
"Several times a year","1995","Couple + C. GT 16 ","general elemantary","96","0.1788823693652","0.145652846999295","0.212111891731104"
"Several times a year","1995","Couple + C. GT 16 ","middle vocational","284","0.223663996608528","0.20053601312579","0.246791980091265"
"Several times a year","1995","Couple + C. GT 16 ","vocational + Abi","14","","",""
"Several times a year","1995","Couple + C. GT 16 ","higher vocational","30","0.299449954535092","0.210564701379459","0.388335207690724"
"Several times a year","1995","Couple + C. GT 16 ","higher education","69","0.278858574463594","0.224245021329612","0.333472127597577"
"Several times a year","1995","Couple + C. LE and GT 16","in school","18","","",""
"Several times a year","1995","Couple + C. LE and GT 16","inadequately","13","","",""
"Several times a year","1995","Couple + C. LE and GT 16","general elemantary","56","0.220473622766787","0.172173459358171","0.268773786175404"
"Several times a year","1995","Couple + C. LE and GT 16","middle vocational","115","0.250452604399313","0.211892380447588","0.289012828351037"
"Several times a year","1995","Couple + C. LE and GT 16","vocational + Abi","3","","",""
"Several times a year","1995","Couple + C. LE and GT 16","higher vocational","18","","",""
"Several times a year","1995","Couple + C. LE and GT 16","higher education","48","0.314534300514632","0.237892551863511","0.391176049165754"
"At least once a month","1995","1-pers.-HH","in school","1","","",""
"At least once a month","1995","1-pers.-HH","inadequately","","","",""
"At least once a month","1995","1-pers.-HH","general elemantary","6","","",""
"At least once a month","1995","1-pers.-HH","middle vocational","49","0.0716411016618768","0.0529714943305526","0.090310708993201"
"At least once a month","1995","1-pers.-HH","vocational + Abi","11","","",""
"At least once a month","1995","1-pers.-HH","higher vocational","1","","",""
"At least once a month","1995","1-pers.-HH","higher education","15","","",""
"At least once a month","1995","(Married) couple without C. ","in school","","","",""
"At least once a month","1995","(Married) couple without C. ","inadequately","2","","",""
"At least once a month","1995","(Married) couple without C. ","general elemantary","28","","",""
"At least once a month","1995","(Married) couple without C. ","middle vocational","133","0.0668387271033601","0.0555675393178754","0.0781099148888448"
"At least once a month","1995","(Married) couple without C. ","vocational + Abi","10","","",""
"At least once a month","1995","(Married) couple without C. ","higher vocational","20","","",""
"At least once a month","1995","(Married) couple without C. ","higher education","42","0.0768318197742232","0.0531051719845993","0.100558467563847"
"At least once a month","1995","Single parent ","in school","1","","",""
"At least once a month","1995","Single parent ","inadequately","","","",""
"At least once a month","1995","Single parent ","general elemantary","10","","",""
"At least once a month","1995","Single parent ","middle vocational","31","0.110325393247425","0.0745134600748115","0.146137326420038"
"At least once a month","1995","Single parent ","vocational + Abi","1","","",""
"At least once a month","1995","Single parent ","higher vocational","2","","",""
"At least once a month","1995","Single parent ","higher education","6","","",""
"At least once a month","1995","Couple + C. LE 16 ","in school","","","",""
"At least once a month","1995","Couple + C. LE 16 ","inadequately","1","","",""
"At least once a month","1995","Couple + C. LE 16 ","general elemantary","20","","",""
"At least once a month","1995","Couple + C. LE 16 ","middle vocational","135","0.100917016070139","0.0865303839988364","0.115303648141441"
"At least once a month","1995","Couple + C. LE 16 ","vocational + Abi","7","","",""
"At least once a month","1995","Couple + C. LE 16 ","higher vocational","21","","",""
"At least once a month","1995","Couple + C. LE 16 ","higher education","60","0.122667199595192","0.0946587420781879","0.150675657112196"
"At least once a month","1995","Couple + C. GT 16 ","in school","8","","",""
"At least once a month","1995","Couple + C. GT 16 ","inadequately","1","","",""
"At least once a month","1995","Couple + C. GT 16 ","general elemantary","38","0.0642482909503221","0.042989001487494","0.0855075804131502"
"At least once a month","1995","Couple + C. GT 16 ","middle vocational","101","0.0792729208510351","0.0642780492078937","0.0942677924941766"
"At least once a month","1995","Couple + C. GT 16 ","vocational + Abi","6","","",""
"At least once a month","1995","Couple + C. GT 16 ","higher vocational","11","","",""
"At least once a month","1995","Couple + C. GT 16 ","higher education","16","","",""
"At least once a month","1995","Couple + C. LE and GT 16","in school","12","","",""
"At least once a month","1995","Couple + C. LE and GT 16","inadequately","3","","",""
"At least once a month","1995","Couple + C. LE and GT 16","general elemantary","23","","",""
"At least once a month","1995","Couple + C. LE and GT 16","middle vocational","31","0.0626409690712196","0.0410754736515086","0.0842064644909307"
"At least once a month","1995","Couple + C. LE and GT 16","vocational + Abi","7","","",""
"At least once a month","1995","Couple + C. LE and GT 16","higher vocational","3","","",""
"At least once a month","1995","Couple + C. LE and GT 16","higher education","13","","",""
"At lease once a week","1995","1-pers.-HH","in school","3","","",""
"At lease once a week","1995","1-pers.-HH","inadequately","2","","",""
"At lease once a week","1995","1-pers.-HH","general elemantary","46","0.0944881343776951","0.0646432007222482","0.124333068033142"
"At lease once a week","1995","1-pers.-HH","middle vocational","204","0.240605622867727","0.209661179249482","0.271550066485972"
"At lease once a week","1995","1-pers.-HH","vocational + Abi","20","","",""
"At lease once a week","1995","1-pers.-HH","higher vocational","29","","",""
"At lease once a week","1995","1-pers.-HH","higher education","64","0.406576085228056","0.333169114137888","0.479983056318224"
"At lease once a week","1995","(Married) couple without C. ","in school","","","",""
"At lease once a week","1995","(Married) couple without C. ","inadequately","","","",""
"At lease once a week","1995","(Married) couple without C. ","general elemantary","81","0.13957430893051","0.111868535218195","0.167280082642825"
"At lease once a week","1995","(Married) couple without C. ","middle vocational","451","0.2483633006137","0.228863734561058","0.267862866666342"
"At lease once a week","1995","(Married) couple without C. ","vocational + Abi","44","0.351531398309966","0.266809688303836","0.436253108316095"
"At lease once a week","1995","(Married) couple without C. ","higher vocational","65","0.258614780466398","0.204227536680836","0.31300202425196"
"At lease once a week","1995","(Married) couple without C. ","higher education","165","0.389340199855609","0.345900211560786","0.432780188150433"
"At lease once a week","1995","Single parent ","in school","23","","",""
"At lease once a week","1995","Single parent ","inadequately","","","",""
"At lease once a week","1995","Single parent ","general elemantary","39","0.300707117067323","0.225283852453139","0.376130381681507"
"At lease once a week","1995","Single parent ","middle vocational","84","0.303577829055634","0.251018992197904","0.356136665913363"
"At lease once a week","1995","Single parent ","vocational + Abi","8","","",""
"At lease once a week","1995","Single parent ","higher vocational","6","","",""
"At lease once a week","1995","Single parent ","higher education","28","","",""
"At lease once a week","1995","Couple + C. LE 16 ","in school","2","","",""
"At lease once a week","1995","Couple + C. LE 16 ","inadequately","7","","",""
"At lease once a week","1995","Couple + C. LE 16 ","general elemantary","55","0.173445209341426","0.135721917226658","0.211168501456194"
"At lease once a week","1995","Couple + C. LE 16 ","middle vocational","413","0.270552413415753","0.249334640381079","0.291770186450427"
"At lease once a week","1995","Couple + C. LE 16 ","vocational + Abi","37","0.312130056309999","0.240777169950415","0.383482942669584"
"At lease once a week","1995","Couple + C. LE 16 ","higher vocational","69","0.343086841308507","0.282518162427515","0.403655520189498"
"At lease once a week","1995","Couple + C. LE 16 ","higher education","177","0.38598843934705","0.344424356079959","0.42755252261414"
"At lease once a week","1995","Couple + C. GT 16 ","in school","74","0.755254568353479","0.673019431595404","0.837489705111555"
"At lease once a week","1995","Couple + C. GT 16 ","inadequately","10","","",""
"At lease once a week","1995","Couple + C. GT 16 ","general elemantary","131","0.255656440037325","0.217833722696566","0.293479157378084"
"At lease once a week","1995","Couple + C. GT 16 ","middle vocational","346","0.302317058362149","0.276826740968547","0.327807375755751"
"At lease once a week","1995","Couple + C. GT 16 ","vocational + Abi","29","","",""
"At lease once a week","1995","Couple + C. GT 16 ","higher vocational","19","","",""
"At lease once a week","1995","Couple + C. GT 16 ","higher education","93","0.384161864552676","0.324925469105272","0.443398260000079"
"At lease once a week","1995","Couple + C. LE and GT 16","in school","93","0.681860317834315","0.602705218132908","0.761015417535722"
"At lease once a week","1995","Couple + C. LE and GT 16","inadequately","5","","",""
