"m11104","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"At least once a month","1996","Employed","no migration background","519","0.0796497611382958","0.0730453342977967","0.0862541879787949","3"
"At least once a month","1996","Not Employed","indirect migration background","20","","","","3"
"At least once a month","1996","Employed","direct migration background","112","0.0823766137667663","0.0688498522872344","0.0959033752462983","3"
"At least once a month","1996","Employed","indirect migration background","53","0.159045181946424","0.121628812157213","0.196461551735635","3"
"Several times a year","1996","Not Employed","direct migration background","116","0.118565628625678","0.0987070300502055","0.13842422720115","2"
"Several times a year","1996","Not Employed","no migration background","458","0.118738981528505","0.107891270693641","0.129586692363369","2"
"Several times a year","1996","Employed","no migration background","1669","0.259699892259959","0.24900426840536","0.270395516114558","2"
"Several times a year","1996","Not Employed","indirect migration background","41","0.257198955200141","0.192806896419373","0.321591013980909","2"
"Several times a year","1996","Employed","direct migration background","310","0.205171895693172","0.185303849059983","0.225039942326361","2"
"Several times a year","1996","Employed","indirect migration background","106","0.251277828385623","0.206901385125262","0.295654271645984","2"
"Almost never or never","1997","Not Employed","no migration background","2220","0.667203649533012","0.651507141618001","0.682900157448022","1"
"Almost never or never","1997","Not Employed","direct migration background","777","0.741927220393042","0.714860665136589","0.768993775649495","1"
"Almost never or never","1997","Employed","no migration background","2527","0.372535084127277","0.360571697249602","0.384498471004953","1"
"Almost never or never","1997","Not Employed","indirect migration background","42","0.237470302573086","0.178048200378171","0.296892404768001","1"
"Almost never or never","1997","Employed","indirect migration background","87","0.215232768910602","0.173412601911289","0.257052935909915","1"
"Almost never or never","1997","Employed","direct migration background","906","0.558139830609513","0.532710014823541","0.583569646395485","1"
"At lease once a week","1997","Not Employed","no migration background","692","0.192965441308853","0.179820144577611","0.206110738040095","4"
"At lease once a week","1997","Not Employed","direct migration background","99","0.132296779940908","0.111339183369146","0.153254376512671","4"
"At lease once a week","1997","Not Employed","indirect migration background","85","0.406546117111489","0.337955710951588","0.47513652327139","4"
"At lease once a week","1997","Employed","no migration background","1732","0.307997717219766","0.296574107791183","0.31942132664835","4"
"At lease once a week","1997","Employed","direct migration background","224","0.194616449347849","0.17434333692522","0.214889561770478","4"
"At lease once a week","1997","Employed","indirect migration background","140","0.378396407711306","0.329045925973558","0.427746889449054","4"
"At least once a month","1997","Not Employed","no migration background","132","0.0349887613833893","0.0288678649795108","0.0411096577872677","3"
"At least once a month","1997","Not Employed","direct migration background","26","","","","3"
"At least once a month","1997","Not Employed","indirect migration background","22","","","","3"
"At least once a month","1997","Employed","no migration background","461","0.0713295720693957","0.0649610090411975","0.077698135097594","3"
"At least once a month","1997","Employed","direct migration background","76","0.0636484437766563","0.0511475046111824","0.0761493829421302","3"
"At least once a month","1997","Employed","indirect migration background","46","0.134865935843702","0.100107999972721","0.169623871714682","3"
"Several times a year","1997","Not Employed","no migration background","418","0.104842147774746","0.0946373987850502","0.115046896764442","2"
