"m11104","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","2015","Part Time","2441","0.322894325348165","0.312032644750297","0.333756005946032","1"
"Almost never or never","2015","Not Working","5035","0.506361819629543","0.496677833319348","0.516045805939737","1"
"At lease once a week","2015","Full Time","4323","0.484299456548868","0.474250540515562","0.494348372582174","4"
"At lease once a week","2015","Part Time","3267","0.468677285490294","0.457085382475835","0.480269188504753","4"
"At lease once a week","2015","Not Working","3698","0.358059892398202","0.348773555971863","0.367346228824541","4"
"At least once a month","2015","Full Time","667","0.0722912149517868","0.0670839217895904","0.0774985081139831","3"
"At least once a month","2015","Part Time","403","0.0594374356518998","0.0539450316965695","0.0649298396072301","3"
"At least once a month","2015","Not Working","379","0.0367458467702453","0.0331017164936292","0.0403899770468614","3"
"Several times a year","2015","Full Time","1560","0.16030385313855","0.152926569304821","0.167681136972279","2"
"Several times a year","2015","Part Time","1008","0.148990953509641","0.140719427633097","0.157262479386185","2"
"Several times a year","2015","Not Working","1127","0.0988324412020101","0.0930518553520779","0.104613027051942","2"
"Almost never or never","2016","Full Time","","","","","1"
"Almost never or never","2016","Part Time","","","","","1"
"Almost never or never","2016","Not Working","","","","","1"
"At lease once a week","2016","Full Time","","","","","4"
"At lease once a week","2016","Part Time","","","","","4"
"At lease once a week","2016","Not Working","","","","","4"
"At least once a month","2016","Full Time","","","","","3"
"At least once a month","2016","Part Time","","","","","3"
"At least once a month","2016","Not Working","","","","","3"
"Several times a year","2016","Full Time","","","","","2"
"Several times a year","2016","Part Time","","","","","2"
"Several times a year","2016","Not Working","","","","","2"
"Almost never or never","2017","Full Time","3184","0.279219856616936","0.270618960069653","0.287820753164219","1"
"Almost never or never","2017","Part Time","2563","0.315181837110712","0.30489398923417","0.325469684987254","1"
"Almost never or never","2017","Not Working","6719","0.488446506709354","0.480132738642856","0.496760274775851","1"
"At lease once a week","2017","Full Time","4972","0.493769171042631","0.48418387683634","0.503354465248923","4"
"At lease once a week","2017","Part Time","3740","0.500632483456527","0.489560486333014","0.511704480580039","4"
"At lease once a week","2017","Not Working","5032","0.383964941279253","0.375875987131635","0.392053895426872","4"
"At least once a month","2017","Full Time","695","0.0696273908861841","0.0647477519748729","0.0745070297974953","3"
"At least once a month","2017","Part Time","411","0.0504922193121889","0.045643603189123","0.0553408354352549","3"
"At least once a month","2017","Not Working","541","0.03143450050618","0.0285324053198575","0.0343365956925025","3"
"Several times a year","2017","Full Time","1600","0.157383581454248","0.150401838784289","0.164365324124207","2"
"Several times a year","2017","Not Working","1595","0.096154051505213","0.0912509049424472","0.101057198067979","2"
"Several times a year","2017","Part Time","1120","0.133693460120573","0.126157350872985","0.141229569368161","2"
"Almost never or never","2018","Full Time","63","0.252196451889799","0.183158238506601","0.321234665272997","1"
"Almost never or never","2018","Part Time","131","0.276390511669183","0.22986966546139","0.322911357876976","1"
"Almost never or never","2018","Not Working","1625","0.414500334658268","0.397813224430649","0.431187444885886","1"
"At lease once a week","2018","Full Time","60","0.536866262133706","0.457595585903055","0.616136938364357","4"
"At lease once a week","2018","Part Time","149","0.539995509935259","0.488150134440866","0.591840885429652","4"
"At lease once a week","2018","Not Working","993","0.344984607181793","0.32888256432361","0.361086650039975","4"
"At least once a month","2018","Full Time","15","","","","3"
"At least once a month","2018","Not Working","179","0.0647924794115932","0.0564542918248004","0.0731306669983861","3"
"At least once a month","2018","Part Time","22","","","","3"
"Several times a year","2018","Full Time","14","","","","2"
"Several times a year","2018","Part Time","53","0.121385500886662","0.0874138615447517","0.155357140228572","2"
"Several times a year","2018","Not Working","551","0.175722578748346","0.162831007529062","0.18861414996763","2"
"Almost never or never","2019","Full Time","2478","0.214911258416891","0.207180853383472","0.222641663450309","1"
"Almost never or never","2019","Part Time","1953","0.238859914582844","0.229364514277843","0.248355314887846","1"
"Almost never or never","2019","Not Working","4172","0.38710405625408","0.377909178806355","0.396298933701805","1"
"At lease once a week","2019","Full Time","6192","0.576181123851475","0.566881123779744","0.585481123923206","4"
"At lease once a week","2019","Part Time","4443","0.585542263057723","0.574571708191246","0.596512817924199","4"
"At lease once a week","2019","Not Working","4943","0.46637876381718","0.456961501965438","0.475796025668923","4"
"At least once a month","2019","Full Time","608","0.0589528633889739","0.054520131829789","0.0633855949481587","3"
"At least once a month","2019","Part Time","346","0.0465812394802801","0.0418881729427866","0.0512743060177736","3"
"At least once a month","2019","Not Working","411","0.0341288718166285","0.0307015154072963","0.0375562282259608","3"
"Several times a year","2019","Part Time","1004","0.129016582879153","0.121551458373314","0.136481707384992","2"
"Several times a year","2019","Full Time","1568","0.14995475434266","0.143235602862668","0.156673905822652","2"
"Several times a year","2019","Not Working","1254","0.112388308112111","0.10642604984507","0.118350566379153","2"
