"m11104","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"At least once a month","1991","Schleswig-Holstein","higher education","","","",""
"At least once a month","1991","Hamburg","in school","","","",""
"At least once a month","1991","Hamburg","inadequately","","","",""
"At least once a month","1991","Hamburg","general elemantary","","","",""
"At least once a month","1991","Hamburg","middle vocational","","","",""
"At least once a month","1991","Hamburg","vocational + Abi","","","",""
"At least once a month","1991","Hamburg","higher vocational","","","",""
"At least once a month","1991","Hamburg","higher education","","","",""
"At least once a month","1991","Lower Saxony","in school","","","",""
"At least once a month","1991","Lower Saxony","inadequately","","","",""
"At least once a month","1991","Lower Saxony","general elemantary","","","",""
"At least once a month","1991","Lower Saxony","middle vocational","","","",""
"At least once a month","1991","Lower Saxony","vocational + Abi","","","",""
"At least once a month","1991","Lower Saxony","higher vocational","","","",""
"At least once a month","1991","Lower Saxony","higher education","","","",""
"At least once a month","1991","Bremen","in school","","","",""
"At least once a month","1991","Bremen","inadequately","","","",""
"At least once a month","1991","Bremen","general elemantary","","","",""
"At least once a month","1991","Bremen","middle vocational","","","",""
"At least once a month","1991","Bremen","vocational + Abi","","","",""
"At least once a month","1991","Bremen","higher vocational","","","",""
"At least once a month","1991","Bremen","higher education","","","",""
"At least once a month","1991","North Rhine-Westphalia","in school","","","",""
"At least once a month","1991","North Rhine-Westphalia","inadequately","","","",""
"At least once a month","1991","North Rhine-Westphalia","general elemantary","","","",""
"At least once a month","1991","North Rhine-Westphalia","middle vocational","","","",""
"At least once a month","1991","North Rhine-Westphalia","vocational + Abi","","","",""
"At least once a month","1991","North Rhine-Westphalia","higher vocational","","","",""
"At least once a month","1991","North Rhine-Westphalia","higher education","","","",""
"At least once a month","1991","Hesse","in school","","","",""
"At least once a month","1991","Hesse","inadequately","","","",""
"At least once a month","1991","Hesse","general elemantary","","","",""
"At least once a month","1991","Hesse","middle vocational","","","",""
"At least once a month","1991","Hesse","vocational + Abi","","","",""
"At least once a month","1991","Hesse","higher vocational","","","",""
"At least once a month","1991","Hesse","higher education","","","",""
"At least once a month","1991","Rhineland-Palatinate,Saarland","in school","","","",""
"At least once a month","1991","Rhineland-Palatinate,Saarland","inadequately","","","",""
"At least once a month","1991","Rhineland-Palatinate,Saarland","general elemantary","","","",""
"At least once a month","1991","Rhineland-Palatinate,Saarland","middle vocational","","","",""
"At least once a month","1991","Rhineland-Palatinate,Saarland","vocational + Abi","","","",""
"At least once a month","1991","Rhineland-Palatinate,Saarland","higher vocational","","","",""
"At least once a month","1991","Rhineland-Palatinate,Saarland","higher education","","","",""
"At least once a month","1991","Baden-Württemberg","in school","","","",""
"At least once a month","1991","Baden-Württemberg","inadequately","","","",""
"At least once a month","1991","Baden-Württemberg","general elemantary","","","",""
"At least once a month","1991","Baden-Württemberg","middle vocational","","","",""
"At least once a month","1991","Baden-Württemberg","vocational + Abi","","","",""
"At least once a month","1991","Baden-Württemberg","higher vocational","","","",""
"At least once a month","1991","Baden-Württemberg","higher education","","","",""
"At least once a month","1991","Bavaria","in school","","","",""
"At least once a month","1991","Bavaria","inadequately","","","",""
"At least once a month","1991","Bavaria","general elemantary","","","",""
"At least once a month","1991","Bavaria","middle vocational","","","",""
"At least once a month","1991","Bavaria","vocational + Abi","","","",""
"At least once a month","1991","Bavaria","higher vocational","","","",""
"At least once a month","1991","Bavaria","higher education","","","",""
"At least once a month","1991","Berlin","in school","","","",""
"At least once a month","1991","Berlin","inadequately","","","",""
"At least once a month","1991","Berlin","general elemantary","","","",""
"At least once a month","1991","Berlin","middle vocational","","","",""
"At least once a month","1991","Berlin","vocational + Abi","","","",""
"At least once a month","1991","Berlin","higher vocational","","","",""
"At least once a month","1991","Berlin","higher education","","","",""
"At least once a month","1991","Brandenburg","in school","","","",""
"At least once a month","1991","Brandenburg","inadequately","","","",""
"At least once a month","1991","Brandenburg","general elemantary","","","",""
"At least once a month","1991","Brandenburg","middle vocational","","","",""
"At least once a month","1991","Brandenburg","vocational + Abi","","","",""
"At least once a month","1991","Brandenburg","higher vocational","","","",""
"At least once a month","1991","Brandenburg","higher education","","","",""
"At least once a month","1991","Mecklenburg-Western Pomerania","in school","","","",""
"At least once a month","1991","Mecklenburg-Western Pomerania","inadequately","","","",""
"At least once a month","1991","Mecklenburg-Western Pomerania","general elemantary","","","",""
"At least once a month","1991","Mecklenburg-Western Pomerania","middle vocational","","","",""
"At least once a month","1991","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"At least once a month","1991","Mecklenburg-Western Pomerania","higher vocational","","","",""
"At least once a month","1991","Mecklenburg-Western Pomerania","higher education","","","",""
"At least once a month","1991","Saxony","in school","","","",""
"At least once a month","1991","Saxony","inadequately","","","",""
"At least once a month","1991","Saxony","general elemantary","","","",""
"At least once a month","1991","Saxony","middle vocational","","","",""
"At least once a month","1991","Saxony","vocational + Abi","","","",""
"At least once a month","1991","Saxony","higher vocational","","","",""
"At least once a month","1991","Saxony","higher education","","","",""
"At least once a month","1991","Saxony-Anhalt","in school","","","",""
"At least once a month","1991","Saxony-Anhalt","inadequately","","","",""
"At least once a month","1991","Saxony-Anhalt","general elemantary","","","",""
"At least once a month","1991","Saxony-Anhalt","middle vocational","","","",""
"At least once a month","1991","Saxony-Anhalt","vocational + Abi","","","",""
"At least once a month","1991","Saxony-Anhalt","higher vocational","","","",""
"At least once a month","1991","Saxony-Anhalt","higher education","","","",""
"At least once a month","1991","Thuringia","in school","","","",""
"At least once a month","1991","Thuringia","inadequately","","","",""
"At least once a month","1991","Thuringia","general elemantary","","","",""
"At least once a month","1991","Thuringia","middle vocational","","","",""
"At least once a month","1991","Thuringia","vocational + Abi","","","",""
"At least once a month","1991","Thuringia","higher vocational","","","",""
"At least once a month","1991","Thuringia","higher education","","","",""
"At lease once a week","1991","Schleswig-Holstein","in school","","","",""
"At lease once a week","1991","Schleswig-Holstein","inadequately","","","",""
"At lease once a week","1991","Schleswig-Holstein","general elemantary","","","",""
"At lease once a week","1991","Schleswig-Holstein","middle vocational","","","",""
"At lease once a week","1991","Schleswig-Holstein","vocational + Abi","","","",""
"At lease once a week","1991","Schleswig-Holstein","higher vocational","","","",""
"At lease once a week","1991","Schleswig-Holstein","higher education","","","",""
"At lease once a week","1991","Hamburg","in school","","","",""
"At lease once a week","1991","Hamburg","inadequately","","","",""
"At lease once a week","1991","Hamburg","general elemantary","","","",""
"At lease once a week","1991","Hamburg","middle vocational","","","",""
"At lease once a week","1991","Hamburg","vocational + Abi","","","",""
"At lease once a week","1991","Hamburg","higher vocational","","","",""
"At lease once a week","1991","Hamburg","higher education","","","",""
"At lease once a week","1991","Lower Saxony","in school","","","",""
"At lease once a week","1991","Lower Saxony","inadequately","","","",""
"At lease once a week","1991","Lower Saxony","general elemantary","","","",""
"At lease once a week","1991","Lower Saxony","middle vocational","","","",""
"At lease once a week","1991","Lower Saxony","vocational + Abi","","","",""
"At lease once a week","1991","Lower Saxony","higher vocational","","","",""
"At lease once a week","1991","Lower Saxony","higher education","","","",""
"At lease once a week","1991","Bremen","in school","","","",""
"At lease once a week","1991","Bremen","inadequately","","","",""
"At lease once a week","1991","Bremen","general elemantary","","","",""
"At lease once a week","1991","Bremen","middle vocational","","","",""
"At lease once a week","1991","Bremen","vocational + Abi","","","",""
"At lease once a week","1991","Bremen","higher vocational","","","",""
"At lease once a week","1991","Bremen","higher education","","","",""
"At lease once a week","1991","North Rhine-Westphalia","in school","","","",""
"At lease once a week","1991","North Rhine-Westphalia","inadequately","","","",""
"At lease once a week","1991","North Rhine-Westphalia","general elemantary","","","",""
"At lease once a week","1991","North Rhine-Westphalia","middle vocational","","","",""
"At lease once a week","1991","North Rhine-Westphalia","vocational + Abi","","","",""
"At lease once a week","1991","North Rhine-Westphalia","higher vocational","","","",""
"At lease once a week","1991","North Rhine-Westphalia","higher education","","","",""
"At lease once a week","1991","Hesse","in school","","","",""
"At lease once a week","1991","Hesse","inadequately","","","",""
"At lease once a week","1991","Hesse","general elemantary","","","",""
"At lease once a week","1991","Hesse","middle vocational","","","",""
"At lease once a week","1991","Hesse","vocational + Abi","","","",""
"At lease once a week","1991","Hesse","higher vocational","","","",""
"At lease once a week","1991","Hesse","higher education","","","",""
"At lease once a week","1991","Rhineland-Palatinate,Saarland","in school","","","",""
"At lease once a week","1991","Rhineland-Palatinate,Saarland","inadequately","","","",""
"At lease once a week","1991","Rhineland-Palatinate,Saarland","general elemantary","","","",""
"At lease once a week","1991","Rhineland-Palatinate,Saarland","middle vocational","","","",""
"At lease once a week","1991","Rhineland-Palatinate,Saarland","vocational + Abi","","","",""
"At lease once a week","1991","Rhineland-Palatinate,Saarland","higher vocational","","","",""
"At lease once a week","1991","Rhineland-Palatinate,Saarland","higher education","","","",""
"At lease once a week","1991","Baden-Württemberg","in school","","","",""
"At lease once a week","1991","Baden-Württemberg","inadequately","","","",""
"At lease once a week","1991","Baden-Württemberg","general elemantary","","","",""
"At lease once a week","1991","Baden-Württemberg","middle vocational","","","",""
"At lease once a week","1991","Baden-Württemberg","vocational + Abi","","","",""
"At lease once a week","1991","Baden-Württemberg","higher vocational","","","",""
"At lease once a week","1991","Baden-Württemberg","higher education","","","",""
"At lease once a week","1991","Bavaria","in school","","","",""
"At lease once a week","1991","Bavaria","inadequately","","","",""
"At lease once a week","1991","Bavaria","general elemantary","","","",""
"At lease once a week","1991","Bavaria","middle vocational","","","",""
"At lease once a week","1991","Bavaria","vocational + Abi","","","",""
"At lease once a week","1991","Bavaria","higher vocational","","","",""
"At lease once a week","1991","Bavaria","higher education","","","",""
"At lease once a week","1991","Berlin","in school","","","",""
"At lease once a week","1991","Berlin","inadequately","","","",""
"At lease once a week","1991","Berlin","general elemantary","","","",""
"At lease once a week","1991","Berlin","middle vocational","","","",""
"At lease once a week","1991","Berlin","vocational + Abi","","","",""
"At lease once a week","1991","Berlin","higher vocational","","","",""
"At lease once a week","1991","Berlin","higher education","","","",""
"At lease once a week","1991","Brandenburg","in school","","","",""
"At lease once a week","1991","Brandenburg","inadequately","","","",""
"At lease once a week","1991","Brandenburg","general elemantary","","","",""
"At lease once a week","1991","Brandenburg","middle vocational","","","",""
"At lease once a week","1991","Brandenburg","vocational + Abi","","","",""
"At lease once a week","1991","Brandenburg","higher vocational","","","",""
"At lease once a week","1991","Brandenburg","higher education","","","",""
"At lease once a week","1991","Mecklenburg-Western Pomerania","in school","","","",""
"At lease once a week","1991","Mecklenburg-Western Pomerania","inadequately","","","",""
"At lease once a week","1991","Mecklenburg-Western Pomerania","general elemantary","","","",""
"At lease once a week","1991","Mecklenburg-Western Pomerania","middle vocational","","","",""
"At lease once a week","1991","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"At lease once a week","1991","Mecklenburg-Western Pomerania","higher vocational","","","",""
"At lease once a week","1991","Mecklenburg-Western Pomerania","higher education","","","",""
"At lease once a week","1991","Saxony","in school","","","",""
"At lease once a week","1991","Saxony","inadequately","","","",""
"At lease once a week","1991","Saxony","general elemantary","","","",""
"At lease once a week","1991","Saxony","middle vocational","","","",""
"At lease once a week","1991","Saxony","vocational + Abi","","","",""
"At lease once a week","1991","Saxony","higher vocational","","","",""
"At lease once a week","1991","Saxony","higher education","","","",""
"At lease once a week","1991","Saxony-Anhalt","in school","","","",""
"At lease once a week","1991","Saxony-Anhalt","inadequately","","","",""
"At lease once a week","1991","Saxony-Anhalt","general elemantary","","","",""
"At lease once a week","1991","Saxony-Anhalt","middle vocational","","","",""
"At lease once a week","1991","Saxony-Anhalt","vocational + Abi","","","",""
"At lease once a week","1991","Saxony-Anhalt","higher vocational","","","",""
"At lease once a week","1991","Saxony-Anhalt","higher education","","","",""
"At lease once a week","1991","Thuringia","in school","","","",""
"At lease once a week","1991","Thuringia","inadequately","","","",""
"At lease once a week","1991","Thuringia","general elemantary","","","",""
"At lease once a week","1991","Thuringia","middle vocational","","","",""
"At lease once a week","1991","Thuringia","vocational + Abi","","","",""
"At lease once a week","1991","Thuringia","higher vocational","","","",""
"At lease once a week","1991","Thuringia","higher education","","","",""
"Almost never or never","1992","Schleswig-Holstein","in school","1","","",""
"Almost never or never","1992","Schleswig-Holstein","inadequately","5","","",""
"Almost never or never","1992","Schleswig-Holstein","general elemantary","39","0.678249182392736","0.553652729076386","0.802845635709086"
"Almost never or never","1992","Schleswig-Holstein","middle vocational","80","0.522895667457674","0.44322951936487","0.602561815550477"
"Almost never or never","1992","Schleswig-Holstein","vocational + Abi","4","","",""
"Almost never or never","1992","Schleswig-Holstein","higher vocational","8","","",""
"Almost never or never","1992","Schleswig-Holstein","higher education","5","","",""
"Almost never or never","1992","Hamburg","in school","","","",""
"Almost never or never","1992","Hamburg","inadequately","7","","",""
"Almost never or never","1992","Hamburg","general elemantary","22","","",""
"Almost never or never","1992","Hamburg","middle vocational","50","0.617479874358399","0.512924203417324","0.722035545299474"
"Almost never or never","1992","Hamburg","vocational + Abi","1","","",""
"Almost never or never","1992","Hamburg","higher vocational","3","","",""
"Almost never or never","1992","Hamburg","higher education","2","","",""
"Almost never or never","1992","Lower Saxony","in school","","","",""
"Almost never or never","1992","Lower Saxony","inadequately","33","0.853652213774244","0.749214990401916","0.958089437146572"
"Almost never or never","1992","Lower Saxony","general elemantary","142","0.678933786991762","0.617928447874416","0.739939126109108"
"Almost never or never","1992","Lower Saxony","middle vocational","232","0.50503421178152","0.460445747361121","0.549622676201918"
"Almost never or never","1992","Lower Saxony","vocational + Abi","9","","",""
"Almost never or never","1992","Lower Saxony","higher vocational","26","","",""
"Almost never or never","1992","Lower Saxony","higher education","20","","",""
"Almost never or never","1992","Bremen","in school","","","",""
"Almost never or never","1992","Bremen","inadequately","1","","",""
"Almost never or never","1992","Bremen","general elemantary","19","","",""
"Almost never or never","1992","Bremen","middle vocational","30","0.610343443049271","0.477795023056206","0.742891863042337"
"Almost never or never","1992","Bremen","vocational + Abi","2","","",""
"Almost never or never","1992","Bremen","higher vocational","2","","",""
"Almost never or never","1992","Bremen","higher education","","","",""
"Almost never or never","1992","North Rhine-Westphalia","in school","5","","",""
"Almost never or never","1992","North Rhine-Westphalia","inadequately","144","0.858291344171582","0.805397465940231","0.911185222402932"
"Almost never or never","1992","North Rhine-Westphalia","general elemantary","364","0.665145043352343","0.626570507051968","0.703719579652717"
"Almost never or never","1992","North Rhine-Westphalia","middle vocational","587","0.505850982312344","0.477610304599976","0.534091660024713"
"Almost never or never","1992","North Rhine-Westphalia","vocational + Abi","32","0.327664206924877","0.230151613872516","0.425176799977238"
"Almost never or never","1992","North Rhine-Westphalia","higher vocational","52","0.32934048450469","0.252040835077512","0.406640133931867"
"Almost never or never","1992","North Rhine-Westphalia","higher education","58","0.261102739675132","0.201411009651888","0.320794469698377"
"Almost never or never","1992","Hesse","in school","4","","",""
"Almost never or never","1992","Hesse","inadequately","60","0.828739148373053","0.737849567596093","0.919628729150013"
"Almost never or never","1992","Hesse","general elemantary","176","0.744814834119498","0.690445816528431","0.799183851710565"
"Almost never or never","1992","Hesse","middle vocational","225","0.548685393220774","0.501207300988571","0.596163485452978"
"Almost never or never","1992","Hesse","vocational + Abi","13","","",""
"Almost never or never","1992","Hesse","higher vocational","24","","",""
"Almost never or never","1992","Hesse","higher education","35","0.374331749584031","0.275441250658621","0.473222248509442"
"Almost never or never","1992","Rhineland-Palatinate,Saarland","in school","","","",""
"Almost never or never","1992","Rhineland-Palatinate,Saarland","inadequately","25","","",""
"Almost never or never","1992","Rhineland-Palatinate,Saarland","general elemantary","143","0.755805626290641","0.696852628470293","0.814758624110988"
"Almost never or never","1992","Rhineland-Palatinate,Saarland","middle vocational","176","0.584018065627375","0.529844813636122","0.638191317618629"
"Almost never or never","1992","Rhineland-Palatinate,Saarland","vocational + Abi","3","","",""
"Almost never or never","1992","Rhineland-Palatinate,Saarland","higher vocational","16","","",""
"Almost never or never","1992","Rhineland-Palatinate,Saarland","higher education","12","","",""
"Almost never or never","1992","Baden-Württemberg","in school","2","","",""
"Almost never or never","1992","Baden-Württemberg","inadequately","148","0.751613962155234","0.688840886726168","0.814387037584299"
"Almost never or never","1992","Baden-Württemberg","general elemantary","295","0.637061503736316","0.593864680068815","0.680258327403817"
"Almost never or never","1992","Baden-Württemberg","middle vocational","360","0.492169857643076","0.456903859160724","0.527435856125427"
"Almost never or never","1992","Baden-Württemberg","vocational + Abi","23","","",""
"Almost never or never","1992","Baden-Württemberg","higher vocational","37","0.390125921119548","0.290990442454301","0.489261399784795"
"Almost never or never","1992","Baden-Württemberg","higher education","44","0.439919321369506","0.343589707615153","0.536248935123859"
"Almost never or never","1992","Bavaria","in school","1","","",""
"Almost never or never","1992","Bavaria","inadequately","54","0.768006457649608","0.668409991395314","0.867602923903903"
"Almost never or never","1992","Bavaria","general elemantary","235","0.63090823761962","0.582705910969586","0.679110564269654"
"Almost never or never","1992","Bavaria","middle vocational","351","0.462424333080088","0.428046179194871","0.496802486965305"
"Almost never or never","1992","Bavaria","vocational + Abi","17","","",""
"Almost never or never","1992","Bavaria","higher vocational","37","0.366425319342143","0.273374302611292","0.459476336072994"
"Almost never or never","1992","Bavaria","higher education","53","0.34455689461499","0.269255963281733","0.419857825948247"
"Almost never or never","1992","Berlin","in school","4","","",""
"Almost never or never","1992","Berlin","inadequately","21","","",""
"Almost never or never","1992","Berlin","general elemantary","60","0.676259057123943","0.581670298650315","0.770847815597571"
"Almost never or never","1992","Berlin","middle vocational","146","0.560216540317659","0.499054038772262","0.621379041863057"
"Almost never or never","1992","Berlin","vocational + Abi","9","","",""
"Almost never or never","1992","Berlin","higher vocational","14","","",""
"Almost never or never","1992","Berlin","higher education","64","0.453569547392738","0.371973435697603","0.535165659087872"
"Almost never or never","1992","Brandenburg","in school","","","",""
"Almost never or never","1992","Brandenburg","inadequately","2","","",""
"Almost never or never","1992","Brandenburg","general elemantary","44","0.644646612667028","0.533317179219481","0.755976046114575"
"Almost never or never","1992","Brandenburg","middle vocational","260","0.753090235973897","0.708106721917103","0.798073750030691"
"Almost never or never","1992","Brandenburg","vocational + Abi","6","","",""
"Almost never or never","1992","Brandenburg","higher vocational","38","0.819427488671284","0.709455964195828","0.929399013146739"
"Almost never or never","1992","Brandenburg","higher education","96","0.596064750287463","0.519310777907505","0.672818722667421"
"Almost never or never","1992","Mecklenburg-Western Pomerania","in school","2","","",""
"Almost never or never","1992","Mecklenburg-Western Pomerania","inadequately","2","","",""
"Almost never or never","1992","Mecklenburg-Western Pomerania","general elemantary","28","","",""
"Almost never or never","1992","Mecklenburg-Western Pomerania","middle vocational","167","0.746852827644958","0.690413124261441","0.803292531028475"
"Almost never or never","1992","Mecklenburg-Western Pomerania","vocational + Abi","1","","",""
"Almost never or never","1992","Mecklenburg-Western Pomerania","higher vocational","22","","",""
"Almost never or never","1992","Mecklenburg-Western Pomerania","higher education","54","0.594840429008506","0.495065849277483","0.694615008739529"
"Almost never or never","1992","Saxony","in school","2","","",""
"Almost never or never","1992","Saxony","inadequately","6","","",""
"Almost never or never","1992","Saxony","general elemantary","103","0.817526039311219","0.753085406822396","0.881966671800043"
"Almost never or never","1992","Saxony","middle vocational","466","0.746552343927141","0.713060823846006","0.780043864008276"
"Almost never or never","1992","Saxony","vocational + Abi","13","","",""
"Almost never or never","1992","Saxony","higher vocational","41","0.729385947778168","0.61789565863206","0.840876236924276"
"Almost never or never","1992","Saxony","higher education","126","0.519400426054557","0.457467595658127","0.581333256450987"
"Almost never or never","1992","Saxony-Anhalt","in school","4","","",""
"Almost never or never","1992","Saxony-Anhalt","inadequately","1","","",""
"Almost never or never","1992","Saxony-Anhalt","general elemantary","73","0.77633953609347","0.695866582553305","0.856812489633634"
"Almost never or never","1992","Saxony-Anhalt","middle vocational","297","0.730954623912187","0.688237117275573","0.773672130548802"
"Almost never or never","1992","Saxony-Anhalt","vocational + Abi","7","","",""
"Almost never or never","1992","Saxony-Anhalt","higher vocational","30","0.607783622201514","0.473784991083447","0.741782253319581"
"Almost never or never","1992","Saxony-Anhalt","higher education","95","0.585590482739942","0.512183579242748","0.658997386237136"
"Almost never or never","1992","Thuringia","in school","2","","",""
"Almost never or never","1992","Thuringia","inadequately","2","","",""
"Almost never or never","1992","Thuringia","general elemantary","46","0.800222993254098","0.705881703428661","0.894564283079534"
"Almost never or never","1992","Thuringia","middle vocational","302","0.73323485146297","0.69152944938138","0.77494025354456"
"Almost never or never","1992","Thuringia","vocational + Abi","5","","",""
"Almost never or never","1992","Thuringia","higher vocational","22","","",""
"Almost never or never","1992","Thuringia","higher education","69","0.549045126487242","0.462162411972115","0.635927841002368"
"Several times a year","1992","Schleswig-Holstein","in school","","","",""
"Several times a year","1992","Schleswig-Holstein","inadequately","","","",""
"Several times a year","1992","Schleswig-Holstein","general elemantary","4","","",""
"Several times a year","1992","Schleswig-Holstein","middle vocational","28","","",""
"Several times a year","1992","Schleswig-Holstein","vocational + Abi","","","",""
"Several times a year","1992","Schleswig-Holstein","higher vocational","2","","",""
"Several times a year","1992","Schleswig-Holstein","higher education","","","",""
"Several times a year","1992","Hamburg","in school","1","","",""
"Several times a year","1992","Hamburg","inadequately","","","",""
"Several times a year","1992","Hamburg","general elemantary","2","","",""
"Several times a year","1992","Hamburg","middle vocational","11","","",""
"Several times a year","1992","Hamburg","vocational + Abi","1","","",""
"Several times a year","1992","Hamburg","higher vocational","2","","",""
"Several times a year","1992","Hamburg","higher education","2","","",""
"Several times a year","1992","Lower Saxony","in school","1","","",""
"Several times a year","1992","Lower Saxony","inadequately","4","","",""
"Several times a year","1992","Lower Saxony","general elemantary","22","","",""
"Several times a year","1992","Lower Saxony","middle vocational","81","0.15352562103567","0.12137629553346","0.18567494653788"
"Several times a year","1992","Lower Saxony","vocational + Abi","6","","",""
"Several times a year","1992","Lower Saxony","higher vocational","11","","",""
"Several times a year","1992","Lower Saxony","higher education","16","","",""
"Several times a year","1992","Bremen","in school","","","",""
"Several times a year","1992","Bremen","inadequately","1","","",""
"Several times a year","1992","Bremen","general elemantary","2","","",""
"Several times a year","1992","Bremen","middle vocational","11","","",""
"Several times a year","1992","Bremen","vocational + Abi","","","",""
"Several times a year","1992","Bremen","higher vocational","","","",""
"Several times a year","1992","Bremen","higher education","1","","",""
"Several times a year","1992","North Rhine-Westphalia","in school","3","","",""
"Several times a year","1992","North Rhine-Westphalia","inadequately","11","","",""
"Several times a year","1992","North Rhine-Westphalia","general elemantary","70","0.109062434423772","0.0835838439726818","0.134541024874862"
"Several times a year","1992","North Rhine-Westphalia","middle vocational","206","0.160007811246003","0.139299577257212","0.180716045234795"
"Several times a year","1992","North Rhine-Westphalia","vocational + Abi","21","","",""
"Several times a year","1992","North Rhine-Westphalia","higher vocational","42","0.338100236010336","0.260292501760145","0.415907970260527"
"Several times a year","1992","North Rhine-Westphalia","higher education","42","0.210617786376795","0.155205303023829","0.266030269729761"
"Several times a year","1992","Hesse","in school","1","","",""
"Several times a year","1992","Hesse","inadequately","1","","",""
"Several times a year","1992","Hesse","general elemantary","30","0.0970432072578858","0.0601271194914491","0.133959295024322"
"Several times a year","1992","Hesse","middle vocational","70","0.160087045705388","0.125101625028648","0.195072466382128"
"Several times a year","1992","Hesse","vocational + Abi","3","","",""
"Several times a year","1992","Hesse","higher vocational","6","","",""
"Several times a year","1992","Hesse","higher education","26","","",""
"Several times a year","1992","Rhineland-Palatinate,Saarland","in school","","","",""
"Several times a year","1992","Rhineland-Palatinate,Saarland","inadequately","1","","",""
"Several times a year","1992","Rhineland-Palatinate,Saarland","general elemantary","19","","",""
"Several times a year","1992","Rhineland-Palatinate,Saarland","middle vocational","43","0.125721890068245","0.0892830298480024","0.162160750288488"
"Several times a year","1992","Rhineland-Palatinate,Saarland","vocational + Abi","2","","",""
"Several times a year","1992","Rhineland-Palatinate,Saarland","higher vocational","4","","",""
"Several times a year","1992","Rhineland-Palatinate,Saarland","higher education","7","","",""
"Several times a year","1992","Baden-Württemberg","in school","3","","",""
"Several times a year","1992","Baden-Württemberg","inadequately","16","","",""
"Several times a year","1992","Baden-Württemberg","general elemantary","56","0.125568962824343","0.0958010386848132","0.155336886963872"
"Several times a year","1992","Baden-Württemberg","middle vocational","133","0.169369946305452","0.142911676788251","0.195828215822653"
"Several times a year","1992","Baden-Württemberg","vocational + Abi","10","","",""
"Several times a year","1992","Baden-Württemberg","higher vocational","27","","",""
"Several times a year","1992","Baden-Württemberg","higher education","18","","",""
"Several times a year","1992","Bavaria","in school","5","","",""
"Several times a year","1992","Bavaria","inadequately","5","","",""
"Several times a year","1992","Bavaria","general elemantary","72","0.166160375210156","0.128979233358632","0.203341517061681"
"Several times a year","1992","Bavaria","middle vocational","178","0.208155448266291","0.180162008397433","0.236148888135149"
"Several times a year","1992","Bavaria","vocational + Abi","18","","",""
"Several times a year","1992","Bavaria","higher vocational","17","","",""
"Several times a year","1992","Bavaria","higher education","25","","",""
"Several times a year","1992","Berlin","in school","3","","",""
"Several times a year","1992","Berlin","inadequately","","","",""
"Several times a year","1992","Berlin","general elemantary","14","","",""
"Several times a year","1992","Berlin","middle vocational","43","0.188378748809395","0.140197229621145","0.236560267997645"
"Several times a year","1992","Berlin","vocational + Abi","1","","",""
"Several times a year","1992","Berlin","higher vocational","8","","",""
"Several times a year","1992","Berlin","higher education","35","0.191098539798047","0.126658386296185","0.255538693299909"
"Several times a year","1992","Brandenburg","in school","2","","",""
"Several times a year","1992","Brandenburg","inadequately","2","","",""
"Several times a year","1992","Brandenburg","general elemantary","13","","",""
"Several times a year","1992","Brandenburg","middle vocational","52","0.13263815143653","0.0972551128250047","0.168021190048055"
"Several times a year","1992","Brandenburg","vocational + Abi","5","","",""
"Several times a year","1992","Brandenburg","higher vocational","4","","",""
"Several times a year","1992","Brandenburg","higher education","34","0.221899105781027","0.156902003075324","0.286896208486731"
"Several times a year","1992","Mecklenburg-Western Pomerania","in school","1","","",""
"Several times a year","1992","Mecklenburg-Western Pomerania","inadequately","","","",""
"Several times a year","1992","Mecklenburg-Western Pomerania","general elemantary","9","","",""
"Several times a year","1992","Mecklenburg-Western Pomerania","middle vocational","39","0.147452984805904","0.101430864780785","0.193475104831024"
"Several times a year","1992","Mecklenburg-Western Pomerania","vocational + Abi","2","","",""
"Several times a year","1992","Mecklenburg-Western Pomerania","higher vocational","2","","",""
"Several times a year","1992","Mecklenburg-Western Pomerania","higher education","19","","",""
"Several times a year","1992","Saxony","in school","3","","",""
"Several times a year","1992","Saxony","inadequately","1","","",""
"Several times a year","1992","Saxony","general elemantary","16","","",""
"Several times a year","1992","Saxony","middle vocational","95","0.129628981322083","0.103766877372139","0.155491085272027"
"Several times a year","1992","Saxony","vocational + Abi","10","","",""
"Several times a year","1992","Saxony","higher vocational","14","","",""
"Several times a year","1992","Saxony","higher education","61","0.238037728316862","0.185245776480689","0.290829680153034"
"Several times a year","1992","Saxony-Anhalt","in school","4","","",""
"Several times a year","1992","Saxony-Anhalt","inadequately","1","","",""
"Several times a year","1992","Saxony-Anhalt","general elemantary","11","","",""
"Several times a year","1992","Saxony-Anhalt","middle vocational","62","0.13022268927614","0.0978040122635978","0.162641366288682"
"Several times a year","1992","Saxony-Anhalt","vocational + Abi","","","",""
"Several times a year","1992","Saxony-Anhalt","higher vocational","14","","",""
"Several times a year","1992","Saxony-Anhalt","higher education","44","0.183913616044407","0.126183816816405","0.24164341527241"
"Several times a year","1992","Thuringia","in school","2","","",""
"Several times a year","1992","Thuringia","inadequately","","","",""
"Several times a year","1992","Thuringia","general elemantary","12","","",""
"Several times a year","1992","Thuringia","middle vocational","71","0.148313783870357","0.114798972114201","0.181828595626513"
"Several times a year","1992","Thuringia","vocational + Abi","3","","",""
"Several times a year","1992","Thuringia","higher vocational","4","","",""
"Several times a year","1992","Thuringia","higher education","32","0.253386598132006","0.177441013516738","0.329332182747274"
