"m11104","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"At least once a month","1998","indirect migration background","Urban Area","64","0.141346577572256","0.111051795256765","0.171641359887746","3"
"At least once a month","1998","indirect migration background","Rural Area","13","","","","3"
"Several times a year","1998","no migration background","Urban Area","1491","0.200620537552215","0.191137073697642","0.210104001406787","2"
"Several times a year","1998","no migration background","Rural Area","1146","0.248249896753904","0.235413745206694","0.261086048301115","2"
"Several times a year","1998","direct migration background","Urban Area","349","0.178859632051256","0.162051326801208","0.195667937301303","2"
"Several times a year","1998","direct migration background","Rural Area","65","0.165735223743135","0.129431185907204","0.202039261579066","2"
"Several times a year","1998","indirect migration background","Urban Area","120","0.216656483467453","0.180832142773556","0.25248082416135","2"
"Several times a year","1998","indirect migration background","Rural Area","32","0.291822733647929","0.198420352915835","0.385225114380024","2"
"Almost never or never","1999","no migration background","Urban Area","2917","0.463969566274948","0.451921742035874","0.476017390514022","1"
"Almost never or never","1999","no migration background","Rural Area","2110","0.506909044030854","0.491862301379712","0.521955786681996","1"
"Almost never or never","1999","direct migration background","Rural Area","232","0.59839933276681","0.547114694577682","0.649683970955938","1"
"Almost never or never","1999","direct migration background","Urban Area","1225","0.619670918559568","0.597525057675653","0.641816779443483","1"
"Almost never or never","1999","indirect migration background","Rural Area","20","","","","1"
"Almost never or never","1999","indirect migration background","Urban Area","130","0.233806820814295","0.197567489410262","0.270046152218328","1"
"At lease once a week","1999","no migration background","Urban Area","1853","0.282693583705225","0.27181482145547","0.29357234595498","4"
"At lease once a week","1999","no migration background","Rural Area","918","0.225509881232783","0.21293208126715","0.238087681198415","4"
"At lease once a week","1999","direct migration background","Urban Area","258","0.184147360367565","0.166465789210422","0.201828931524707","4"
"At lease once a week","1999","direct migration background","Rural Area","46","0.170476028599486","0.131135457255951","0.209816599943021","4"
"At lease once a week","1999","indirect migration background","Urban Area","183","0.368421612107383","0.327119845614162","0.409723378600604","4"
"At lease once a week","1999","indirect migration background","Rural Area","30","0.426401802856042","0.3218787056069","0.530924900105184","4"
"At least once a month","1999","no migration background","Rural Area","266","0.0576539281973672","0.050638832199407","0.0646690241953274","3"
"At least once a month","1999","no migration background","Urban Area","472","0.0651552159241285","0.0591929203642658","0.0711175114839912","3"
"At least once a month","1999","direct migration background","Rural Area","19","","","","3"
"At least once a month","1999","direct migration background","Urban Area","94","0.0556578758949753","0.045199596545529","0.0661161552444216","3"
"At least once a month","1999","indirect migration background","Urban Area","66","0.12294388125499","0.0948281360719448","0.151059626438036","3"
"At least once a month","1999","indirect migration background","Rural Area","10","","","","3"
"Several times a year","1999","no migration background","Rural Area","947","0.209927146538996","0.197670213146119","0.222184079931873","2"
"Several times a year","1999","no migration background","Urban Area","1340","0.188181634095699","0.178739129478217","0.19762413871318","2"
"Several times a year","1999","direct migration background","Urban Area","269","0.140523845177892","0.124670381160193","0.156377309195592","2"
"Several times a year","1999","direct migration background","Rural Area","54","0.148273466651392","0.111096295400668","0.185450637902115","2"
"Several times a year","1999","indirect migration background","Urban Area","145","0.274827685823332","0.236603935505556","0.313051436141108","2"
"Several times a year","1999","indirect migration background","Rural Area","26","","","","2"
"Almost never or never","2000","no migration background","Urban Area","","","","","1"
"Almost never or never","2000","no migration background","Rural Area","","","","","1"
"Almost never or never","2000","direct migration background","Rural Area","","","","","1"
"Almost never or never","2000","direct migration background","Urban Area","","","","","1"
"Almost never or never","2000","indirect migration background","Rural Area","","","","","1"
"Almost never or never","2000","indirect migration background","Urban Area","","","","","1"
"At lease once a week","2000","no migration background","Rural Area","","","","","4"
"At lease once a week","2000","no migration background","Urban Area","","","","","4"
"At lease once a week","2000","direct migration background","Urban Area","","","","","4"
"At lease once a week","2000","direct migration background","Rural Area","","","","","4"
"At lease once a week","2000","indirect migration background","Urban Area","","","","","4"
"At lease once a week","2000","indirect migration background","Rural Area","","","","","4"
"At least once a month","2000","no migration background","Urban Area","","","","","3"
"At least once a month","2000","no migration background","Rural Area","","","","","3"
"At least once a month","2000","direct migration background","Rural Area","","","","","3"
"At least once a month","2000","direct migration background","Urban Area","","","","","3"
"At least once a month","2000","indirect migration background","Urban Area","","","","","3"
"At least once a month","2000","indirect migration background","Rural Area","","","","","3"
"Several times a year","2000","no migration background","Urban Area","","","","","2"
"Several times a year","2000","no migration background","Rural Area","","","","","2"
"Several times a year","2000","direct migration background","Rural Area","","","","","2"
"Several times a year","2000","direct migration background","Urban Area","","","","","2"
"Several times a year","2000","indirect migration background","Urban Area","","","","","2"
"Several times a year","2000","indirect migration background","Rural Area","","","","","2"
"Almost never or never","2001","no migration background","Urban Area","5086","0.467232847318005","0.458032548554207","0.476433146081802","1"
"Almost never or never","2001","no migration background","Rural Area","3639","0.548482427173146","0.536713956742729","0.560250897603562","1"
"Almost never or never","2001","direct migration background","Urban Area","1601","0.631521560414425","0.612294181963242","0.650748938865607","1"
"Almost never or never","2001","direct migration background","Rural Area","327","0.625783719373035","0.583535706007751","0.66803173273832","1"
"Almost never or never","2001","indirect migration background","Rural Area","31","0.347957893654021","0.253167704188615","0.442748083119427","1"
"Almost never or never","2001","indirect migration background","Urban Area","222","0.304107713934552","0.269377866763353","0.33883756110575","1"
"At lease once a week","2001","no migration background","Urban Area","3490","0.302219263076076","0.293751141474932","0.310687384677221","4"
"At lease once a week","2001","no migration background","Rural Area","1638","0.238725549356755","0.228644136259429","0.248806962454082","4"
"At lease once a week","2001","direct migration background","Urban Area","388","0.173952234375732","0.158843171485028","0.189061297266437","4"
"At lease once a week","2001","direct migration background","Rural Area","90","0.219070348396277","0.182960091439713","0.25518060535284","4"
"At lease once a week","2001","indirect migration background","Urban Area","252","0.396349267055519","0.35942175584965","0.433276778261388","4"
"At lease once a week","2001","indirect migration background","Rural Area","31","0.349168880716358","0.254302104078666","0.444035657354049","4"
"At least once a month","2001","no migration background","Urban Area","762","0.0669362615476249","0.0623278324613567","0.0715446906338932","3"
"At least once a month","2001","no migration background","Rural Area","398","0.0520668289511231","0.0468130625660247","0.0573205953362215","3"
"At least once a month","2001","direct migration background","Urban Area","124","0.0634105150190236","0.0536970267086093","0.0731240033294378","3"
"At least once a month","2001","direct migration background","Rural Area","19","","","","3"
"At least once a month","2001","indirect migration background","Urban Area","61","0.077103570773833","0.0569648504247057","0.0972422911229603","3"
"At least once a month","2001","indirect migration background","Rural Area","8","","","","3"
"Several times a year","2001","no migration background","Urban Area","1959","0.163611628058294","0.156790163879082","0.170433092237505","2"
"Several times a year","2001","no migration background","Rural Area","1194","0.160725194518976","0.152039682894387","0.169410706143565","2"
"Several times a year","2001","direct migration background","Rural Area","68","0.109786431604801","0.0824932438878676","0.137079619321733","2"
"Several times a year","2001","direct migration background","Urban Area","305","0.131115690190819","0.117662407968519","0.14456897241312","2"
"Several times a year","2001","indirect migration background","Urban Area","139","0.222439448236096","0.191042231065732","0.25383666540646","2"
"Several times a year","2001","indirect migration background","Rural Area","27","","","","2"
"Almost never or never","2002","no migration background","Urban Area","","","","","1"
"Almost never or never","2002","no migration background","Rural Area","","","","","1"
"Almost never or never","2002","direct migration background","Urban Area","","","","","1"
"Almost never or never","2002","direct migration background","Rural Area","","","","","1"
"Almost never or never","2002","indirect migration background","Urban Area","","","","","1"
"Almost never or never","2002","indirect migration background","Rural Area","","","","","1"
"At lease once a week","2002","no migration background","Urban Area","","","","","4"
"At lease once a week","2002","no migration background","Rural Area","","","","","4"
"At lease once a week","2002","direct migration background","Urban Area","","","","","4"
"At lease once a week","2002","direct migration background","Rural Area","","","","","4"
"At lease once a week","2002","indirect migration background","Urban Area","","","","","4"
"At lease once a week","2002","indirect migration background","Rural Area","","","","","4"
"At least once a month","2002","no migration background","Urban Area","","","","","3"
"At least once a month","2002","no migration background","Rural Area","","","","","3"
"At least once a month","2002","direct migration background","Rural Area","","","","","3"
"At least once a month","2002","direct migration background","Urban Area","","","","","3"
"At least once a month","2002","indirect migration background","Urban Area","","","","","3"
"At least once a month","2002","indirect migration background","Rural Area","","","","","3"
"Several times a year","2002","no migration background","Urban Area","","","","","2"
"Several times a year","2002","no migration background","Rural Area","","","","","2"
"Several times a year","2002","direct migration background","Rural Area","","","","","2"
"Several times a year","2002","direct migration background","Urban Area","","","","","2"
"Several times a year","2002","indirect migration background","Urban Area","","","","","2"
"Several times a year","2002","indirect migration background","Rural Area","","","","","2"
"Almost never or never","2003","no migration background","Urban Area","3942","0.367682325919871","0.359053134430767","0.376311517408976","1"
"Almost never or never","2003","no migration background","Rural Area","2565","0.413014359246772","0.401275245480294","0.42475347301325","1"
"Almost never or never","2003","direct migration background","Urban Area","1272","0.563612870406083","0.542693520339601","0.584532220472565","1"
"Almost never or never","2003","direct migration background","Rural Area","263","0.557960825752789","0.512576968054374","0.603344683451204","1"
"Almost never or never","2003","indirect migration background","Urban Area","195","0.270776546213381","0.237524232468387","0.304028859958376","1"
"Almost never or never","2003","indirect migration background","Rural Area","37","0.516004922476836","0.418056942073021","0.61395290288065","1"
"At lease once a week","2003","no migration background","Rural Area","2204","0.310176743035323","0.299148342538683","0.321205143531963","4"
"At lease once a week","2003","no migration background","Urban Area","4812","0.368062905261681","0.359431847594337","0.376693962929026","4"
"At lease once a week","2003","direct migration background","Urban Area","436","0.211120688603676","0.193906266410484","0.228335110796867","4"
"At lease once a week","2003","direct migration background","Rural Area","92","0.22011157571675","0.182249287797521","0.25797386363598","4"
"At lease once a week","2003","indirect migration background","Urban Area","289","0.427423540688335","0.390403917295602","0.464443164081068","4"
"At lease once a week","2003","indirect migration background","Rural Area","36","0.287876220468062","0.199134318773624","0.3766181221625","4"
"At least once a month","2003","no migration background","Urban Area","999","0.0817553095203672","0.0768518424260636","0.0866587766146708","3"
"At least once a month","2003","no migration background","Rural Area","511","0.0715688545358978","0.0654230905097986","0.0777146185619971","3"
"At least once a month","2003","direct migration background","Rural Area","25","","","","3"
"At least once a month","2003","direct migration background","Urban Area","125","0.0595690541815685","0.0495852609520629","0.0695528474110741","3"
"At least once a month","2003","indirect migration background","Urban Area","68","0.0929042668391178","0.0711807354692503","0.114627798208985","3"
"At least once a month","2003","indirect migration background","Rural Area","6","","","","3"
"Several times a year","2003","no migration background","Urban Area","2241","0.18249945929808","0.175586867939455","0.189412050656706","2"
"Several times a year","2003","no migration background","Rural Area","1478","0.205240043182007","0.195610891349245","0.21486919501477","2"
"Several times a year","2003","direct migration background","Urban Area","326","0.165697386808672","0.150013944113298","0.181380829504046","2"
"Several times a year","2003","direct migration background","Rural Area","80","0.163658783949394","0.129849919431348","0.19746764846744","2"
"Several times a year","2003","indirect migration background","Urban Area","134","0.208895646259166","0.178475057523332","0.239316234994999","2"
"Several times a year","2003","indirect migration background","Rural Area","21","","","","2"
"Almost never or never","2004","no migration background","Urban Area","","","","","1"
"Almost never or never","2004","no migration background","Rural Area","","","","","1"
"Almost never or never","2004","direct migration background","Urban Area","","","","","1"
"Almost never or never","2004","direct migration background","Rural Area","","","","","1"
"Almost never or never","2004","indirect migration background","Rural Area","","","","","1"
"Almost never or never","2004","indirect migration background","Urban Area","","","","","1"
"At lease once a week","2004","no migration background","Rural Area","","","","","4"
"At lease once a week","2004","no migration background","Urban Area","","","","","4"
"At lease once a week","2004","direct migration background","Rural Area","","","","","4"
"At lease once a week","2004","direct migration background","Urban Area","","","","","4"
"At lease once a week","2004","indirect migration background","Urban Area","","","","","4"
"At lease once a week","2004","indirect migration background","Rural Area","","","","","4"
"At least once a month","2004","no migration background","Urban Area","","","","","3"
"At least once a month","2004","no migration background","Rural Area","","","","","3"
"At least once a month","2004","direct migration background","Rural Area","","","","","3"
"At least once a month","2004","direct migration background","Urban Area","","","","","3"
"At least once a month","2004","indirect migration background","Urban Area","","","","","3"
"At least once a month","2004","indirect migration background","Rural Area","","","","","3"
"Several times a year","2004","no migration background","Urban Area","","","","","2"
"Several times a year","2004","no migration background","Rural Area","","","","","2"
"Several times a year","2004","direct migration background","Rural Area","","","","","2"
"Several times a year","2004","direct migration background","Urban Area","","","","","2"
"Several times a year","2004","indirect migration background","Urban Area","","","","","2"
"Several times a year","2004","indirect migration background","Rural Area","","","","","2"
"Almost never or never","2005","no migration background","Urban Area","4109","0.402855244013367","0.39375547610381","0.411955011922925","1"
"Almost never or never","2005","no migration background","Rural Area","2657","0.445200512159811","0.432946740968044","0.457454283351578","1"
"Almost never or never","2005","direct migration background","Urban Area","1145","0.550875088659559","0.528848815949761","0.572901361369357","1"
"Almost never or never","2005","direct migration background","Rural Area","243","0.600786270976411","0.553265799212053","0.648306742740768","1"
"Almost never or never","2005","indirect migration background","Urban Area","202","0.249252161039248","0.217633013475794","0.280871308602703","1"
"Almost never or never","2005","indirect migration background","Rural Area","32","0.391440927234277","0.298085853134827","0.484796001333728","1"
"At lease once a week","2005","no migration background","Rural Area","1898","0.276294920443707","0.265269601185349","0.287320239702065","4"
"At lease once a week","2005","no migration background","Urban Area","4105","0.339969352996419","0.331180788811577","0.348757917181262","4"
"At lease once a week","2005","direct migration background","Rural Area","84","0.221138673813122","0.180868785069789","0.261408562556455","4"
"At lease once a week","2005","direct migration background","Urban Area","381","0.211489139572439","0.193405795409951","0.229572483734927","4"
"At lease once a week","2005","indirect migration background","Urban Area","282","0.379860010033192","0.344383547991704","0.41533647207468","4"
"At lease once a week","2005","indirect migration background","Rural Area","30","0.193509448186549","0.117947321829576","0.269071574543522","4"
"At least once a month","2005","no migration background","Urban Area","931","0.0833776894459465","0.0782486488851365","0.0885067300067565","3"
"At least once a month","2005","no migration background","Rural Area","466","0.0755009699494992","0.0689868851365124","0.082015054762486","3"
"At least once a month","2005","direct migration background","Urban Area","121","0.0661523715103669","0.0551460652799414","0.0771586777407924","3"
"At least once a month","2005","direct migration background","Rural Area","21","","","","3"
"At least once a month","2005","indirect migration background","Rural Area","8","","","","3"
"At least once a month","2005","indirect migration background","Urban Area","80","0.121288775093463","0.097426214840578","0.145151335346348","3"
"Several times a year","2005","no migration background","Urban Area","2015","0.173797713544267","0.166767294376578","0.180828132711956","2"
"Several times a year","2005","no migration background","Rural Area","1298","0.203003597446983","0.193086057442509","0.212921137451457","2"
"Several times a year","2005","direct migration background","Rural Area","60","0.134418152104251","0.101320206340647","0.167516097867855","2"
"Several times a year","2005","direct migration background","Urban Area","312","0.171483400257635","0.154792009544071","0.188174790971198","2"
"Several times a year","2005","indirect migration background","Rural Area","35","0.300912534706082","0.213184310476166","0.388640758935997","2"
"Several times a year","2005","indirect migration background","Urban Area","155","0.249599053834097","0.217965222139075","0.281232885529119","2"
"Almost never or never","2006","no migration background","Urban Area","","","","","1"
"Almost never or never","2006","no migration background","Rural Area","","","","","1"
"Almost never or never","2006","direct migration background","Urban Area","","","","","1"
"Almost never or never","2006","direct migration background","Rural Area","","","","","1"
"Almost never or never","2006","indirect migration background","Urban Area","","","","","1"
"Almost never or never","2006","indirect migration background","Rural Area","","","","","1"
"At lease once a week","2006","no migration background","Urban Area","","","","","4"
"At lease once a week","2006","no migration background","Rural Area","","","","","4"
"At lease once a week","2006","direct migration background","Urban Area","","","","","4"
"At lease once a week","2006","direct migration background","Rural Area","","","","","4"
"At lease once a week","2006","indirect migration background","Urban Area","","","","","4"
"At lease once a week","2006","indirect migration background","Rural Area","","","","","4"
"At least once a month","2006","no migration background","Urban Area","","","","","3"
"At least once a month","2006","no migration background","Rural Area","","","","","3"
"At least once a month","2006","direct migration background","Urban Area","","","","","3"
"At least once a month","2006","direct migration background","Rural Area","","","","","3"
"At least once a month","2006","indirect migration background","Urban Area","","","","","3"
"At least once a month","2006","indirect migration background","Rural Area","","","","","3"
"Several times a year","2006","no migration background","Urban Area","","","","","2"
"Several times a year","2006","no migration background","Rural Area","","","","","2"
"Several times a year","2006","direct migration background","Rural Area","","","","","2"
"Several times a year","2006","direct migration background","Urban Area","","","","","2"
"Several times a year","2006","indirect migration background","Urban Area","","","","","2"
"Several times a year","2006","indirect migration background","Rural Area","","","","","2"
"Almost never or never","2007","no migration background","Urban Area","4026","0.385683885613959","0.376654268620064","0.394713502607853","1"
"Almost never or never","2007","no migration background","Rural Area","2733","0.431367868809605","0.419266147222699","0.443469590396511","1"
"Almost never or never","2007","direct migration background","Urban Area","988","0.552337563289539","0.528871990575793","0.575803136003285","1"
"Almost never or never","2007","direct migration background","Rural Area","228","0.572072825091477","0.523279531362276","0.620866118820679","1"
"Almost never or never","2007","indirect migration background","Urban Area","194","0.271235718508801","0.237620926066689","0.304850510950913","1"
"Almost never or never","2007","indirect migration background","Rural Area","38","0.321135611291066","0.234663745984661","0.407607476597471","1"
"At lease once a week","2007","no migration background","Rural Area","2005","0.310661417996664","0.299353894051824","0.321968941941505","4"
"At lease once a week","2007","no migration background","Urban Area","4387","0.369257239915294","0.360304658579783","0.378209821250805","4"
"At lease once a week","2007","direct migration background","Rural Area","91","0.245610106996881","0.203160801329139","0.288059412664623","4"
"At lease once a week","2007","direct migration background","Urban Area","368","0.215040217560966","0.195652035475655","0.234428399646278","4"
"At lease once a week","2007","indirect migration background","Urban Area","266","0.385377800302245","0.348580926568164","0.422174674036325","4"
"At lease once a week","2007","indirect migration background","Rural Area","32","0.338979015513848","0.251312628169755","0.426645402857942","4"
"At least once a month","2007","no migration background","Urban Area","856","0.0716471917075734","0.0668629430618806","0.0764314403532661","3"
"At least once a month","2007","no migration background","Rural Area","443","0.0685909085834063","0.0624148546914943","0.0747669624753183","3"
"At least once a month","2007","direct migration background","Rural Area","18","","","","3"
"At least once a month","2007","direct migration background","Urban Area","91","0.0588834595799982","0.0477745379342977","0.0699923812256986","3"
"At least once a month","2007","indirect migration background","Rural Area","15","","","","3"
"At least once a month","2007","indirect migration background","Urban Area","82","0.117419594809062","0.0930801378863554","0.141759051731769","3"
"Several times a year","2007","no migration background","Urban Area","1894","0.173411682763174","0.166388379259452","0.180434986266896","2"
"Several times a year","2007","no migration background","Rural Area","1253","0.189379804610325","0.179806032082184","0.198953577138466","2"
"Several times a year","2007","direct migration background","Rural Area","58","0.138506113136478","0.104440978150761","0.172571248122195","2"
"Several times a year","2007","direct migration background","Urban Area","278","0.173738759569496","0.155859044653328","0.191618474485664","2"
"Several times a year","2007","indirect migration background","Rural Area","27","","","","2"
"Several times a year","2007","indirect migration background","Urban Area","130","0.225966886379892","0.19434661263147","0.257587160128314","2"
"Almost never or never","2008","no migration background","Urban Area","3087","0.305975695893839","0.297192365019496","0.314759026768181","1"
"Almost never or never","2008","no migration background","Rural Area","2098","0.346577635869546","0.334618867679594","0.358536404059498","1"
"Almost never or never","2008","direct migration background","Urban Area","802","0.505190489562431","0.480348298539072","0.53003268058579","1"
"Almost never or never","2008","direct migration background","Rural Area","184","0.499947881612746","0.447339692148832","0.552556071076661","1"
"Almost never or never","2008","indirect migration background","Rural Area","27","","","","1"
"Almost never or never","2008","indirect migration background","Urban Area","172","0.224715069539787","0.192725677465805","0.25670446161377","1"
"At lease once a week","2008","no migration background","Rural Area","2268","0.359616790902464","0.347557295633508","0.371676286171421","4"
"At lease once a week","2008","no migration background","Urban Area","4725","0.433162535906052","0.423717944916047","0.442607126896057","4"
"At lease once a week","2008","direct migration background","Rural Area","92","0.26612147751184","0.21962335626746","0.31261959875622","4"
"At lease once a week","2008","direct migration background","Urban Area","409","0.26356019023186","0.241669884387353","0.285450496076368","4"
"At lease once a week","2008","indirect migration background","Urban Area","281","0.445847131031692","0.407752216982449","0.483942045080936","4"
"At lease once a week","2008","indirect migration background","Rural Area","38","0.369962335061296","0.280147388839612","0.459777281282981","4"
"At least once a month","2008","no migration background","Urban Area","842","0.0760105023881033","0.0709592536269884","0.0810617511492182","3"
"At least once a month","2008","no migration background","Rural Area","436","0.0774377356866255","0.0707209212728496","0.0841545501004015","3"
"At least once a month","2008","direct migration background","Urban Area","91","0.0547088224686872","0.0434094381402901","0.0660082067970843","3"
"At least once a month","2008","direct migration background","Rural Area","28","","","","3"
"At least once a month","2008","indirect migration background","Rural Area","15","","","","3"
"At least once a month","2008","indirect migration background","Urban Area","79","0.135939976022373","0.109673321150079","0.162206630894667","3"
"Several times a year","2008","no migration background","Urban Area","1920","0.184851265812006","0.177452520434366","0.192250011189647","2"
"Several times a year","2008","no migration background","Rural Area","1281","0.216367837541364","0.206020189195045","0.226715485887683","2"
"Several times a year","2008","direct migration background","Urban Area","254","0.176540497737021","0.157595847536016","0.195485147938027","2"
"Several times a year","2008","direct migration background","Rural Area","43","0.126853325865378","0.0918364106424119","0.161870241088345","2"
"Several times a year","2008","indirect migration background","Urban Area","122","0.193497823406147","0.163221716447474","0.22377393036482","2"
"Several times a year","2008","indirect migration background","Rural Area","31","0.186817162687828","0.11430863451992","0.259325690855735","2"
"Almost never or never","2009","no migration background","Urban Area","3414","0.359477203799737","0.350008238629114","0.368946168970359","1"
"Almost never or never","2009","no migration background","Rural Area","2442","0.423359412931379","0.410633805483405","0.436085020379352","1"
"Almost never or never","2009","direct migration background","Urban Area","702","0.494873735778072","0.468163806449841","0.521583665106302","1"
"Almost never or never","2009","direct migration background","Rural Area","184","0.560023298097413","0.505206873971581","0.614839722223245","1"
"Almost never or never","2009","indirect migration background","Urban Area","144","0.192999376793183","0.161288774084974","0.224709979501391","1"
"Almost never or never","2009","indirect migration background","Rural Area","38","0.295700992426462","0.21229368525365","0.379108299599275","1"
"At lease once a week","2009","no migration background","Urban Area","4026","0.39481857952263","0.385172715614138","0.404464443431121","4"
"At lease once a week","2009","no migration background","Rural Area","1841","0.316357022200662","0.304379286475827","0.328334757925497","4"
"At lease once a week","2009","direct migration background","Urban Area","334","0.266095584048879","0.242487315039008","0.289703853058749","4"
"At lease once a week","2009","direct migration background","Rural Area","66","0.245064496879911","0.197565117166226","0.292563876593595","4"
"At lease once a week","2009","indirect migration background","Urban Area","247","0.423052849014811","0.383356100428299","0.462749597601324","4"
"At lease once a week","2009","indirect migration background","Rural Area","34","0.328173794789311","0.242355557416039","0.413992032162583","4"
"At least once a month","2009","no migration background","Urban Area","715","0.0711663544123253","0.0660928753186289","0.0762398335060217","3"
"At least once a month","2009","no migration background","Rural Area","419","0.0805746096315493","0.0735644378546765","0.0875847814084221","3"
"At least once a month","2009","direct migration background","Rural Area","22","","","","3"
"At least once a month","2009","direct migration background","Urban Area","96","0.0720902980781364","0.0582732003458249","0.085907395810448","3"
"At least once a month","2009","indirect migration background","Rural Area","13","","","","3"
"At least once a month","2009","indirect migration background","Urban Area","71","0.136236851201734","0.108673358857379","0.16380034354609","3"
"Several times a year","2009","no migration background","Urban Area","1710","0.174537862265308","0.167047670247511","0.182028054283106","2"
"Several times a year","2009","no migration background","Rural Area","1089","0.17970895523641","0.169820233564737","0.189597676908083","2"
"Several times a year","2009","direct migration background","Rural Area","43","0.125879141942377","0.089247579518737","0.162510704366017","2"
"Several times a year","2009","direct migration background","Urban Area","214","0.166940382094913","0.147017860600024","0.186862903589802","2"
"Several times a year","2009","indirect migration background","Rural Area","30","0.20960514910255","0.135213840971098","0.283996457234001","2"
"Several times a year","2009","indirect migration background","Urban Area","133","0.247710922990272","0.21302489542082","0.282396950559723","2"
"Almost never or never","2010","no migration background","Urban Area","","","","","1"
"Almost never or never","2010","no migration background","Rural Area","","","","","1"
"Almost never or never","2010","direct migration background","Urban Area","","","","","1"
"Almost never or never","2010","direct migration background","Rural Area","","","","","1"
"Almost never or never","2010","indirect migration background","Rural Area","","","","","1"
"Almost never or never","2010","indirect migration background","Urban Area","","","","","1"
"At lease once a week","2010","no migration background","Urban Area","","","","","4"
"At lease once a week","2010","no migration background","Rural Area","","","","","4"
"At lease once a week","2010","direct migration background","Urban Area","","","","","4"
"At lease once a week","2010","direct migration background","Rural Area","","","","","4"
"At lease once a week","2010","indirect migration background","Urban Area","","","","","4"
"At lease once a week","2010","indirect migration background","Rural Area","","","","","4"
"At least once a month","2010","no migration background","Urban Area","","","","","3"
"At least once a month","2010","no migration background","Rural Area","","","","","3"
"At least once a month","2010","direct migration background","Rural Area","","","","","3"
"At least once a month","2010","direct migration background","Urban Area","","","","","3"
"At least once a month","2010","indirect migration background","Urban Area","","","","","3"
"At least once a month","2010","indirect migration background","Rural Area","","","","","3"
"Several times a year","2010","no migration background","Urban Area","","","","","2"
"Several times a year","2010","no migration background","Rural Area","","","","","2"
"Several times a year","2010","direct migration background","Urban Area","","","","","2"
"Several times a year","2010","direct migration background","Rural Area","","","","","2"
"Several times a year","2010","indirect migration background","Urban Area","","","","","2"
"Several times a year","2010","indirect migration background","Rural Area","","","","","2"
"Almost never or never","2011","no migration background","Urban Area","5378","0.374493395336436","0.366703788345665","0.382283002327207","1"
"Almost never or never","2011","no migration background","Rural Area","3992","0.436323894875214","0.426076949813389","0.446570839937038","1"
"Almost never or never","2011","direct migration background","Urban Area","1345","0.521325595497833","0.501613257231278","0.541037933764389","1"
"Almost never or never","2011","direct migration background","Rural Area","441","0.569862304424015","0.535072898748189","0.604651710099842","1"
"Almost never or never","2011","indirect migration background","Urban Area","336","0.272130936161542","0.245325943082749","0.298935929240336","1"
"Almost never or never","2011","indirect migration background","Rural Area","93","0.319030145471985","0.260305525851533","0.377754765092437","1"
"At lease once a week","2011","no migration background","Urban Area","6108","0.403196996670674","0.395302005298357","0.41109198804299","4"
"At lease once a week","2011","no migration background","Rural Area","2930","0.336555380747967","0.326791876852991","0.346318884642943","4"
"At lease once a week","2011","direct migration background","Urban Area","642","0.267472641728375","0.250005770260401","0.284939513196349","4"
"At lease once a week","2011","direct migration background","Rural Area","187","0.26645896945268","0.235392945696585","0.297524993208774","4"
"At lease once a week","2011","indirect migration background","Urban Area","428","0.435679972550252","0.405816064413225","0.465543880687279","4"
"At lease once a week","2011","indirect migration background","Rural Area","83","0.270441307368545","0.21447752750486","0.32640508723223","4"
"At least once a month","2011","no migration background","Urban Area","1021","0.0703062566859808","0.0661914971789064","0.0744210161930552","3"
"At least once a month","2011","no migration background","Rural Area","545","0.0591745600114955","0.0542993071997395","0.0640498128232514","3"
"At least once a month","2011","direct migration background","Urban Area","117","0.0458661744120244","0.0376112248957923","0.0541211239282565","3"
"At least once a month","2011","direct migration background","Rural Area","29","","","","3"
"At least once a month","2011","indirect migration background","Urban Area","86","0.0832071020998109","0.0665723654596509","0.0998418387399709","3"
"At least once a month","2011","indirect migration background","Rural Area","17","","","","3"
"Several times a year","2011","no migration background","Urban Area","2323","0.15200335130691","0.146225036949435","0.157781665664385","2"
"Several times a year","2011","no migration background","Rural Area","1531","0.167946164365324","0.160222278370701","0.175670050359946","2"
"Several times a year","2011","direct migration background","Rural Area","121","0.128945150938993","0.105395550044705","0.15249475183328","2"
"Several times a year","2011","direct migration background","Urban Area","363","0.165335588361767","0.15067664600364","0.179994530719895","2"
"Several times a year","2011","indirect migration background","Rural Area","49","0.333564874549127","0.274161720672012","0.392968028426242","2"
"Several times a year","2011","indirect migration background","Urban Area","209","0.208981989188395","0.184494304394784","0.233469673982006","2"
"Almost never or never","2012","no migration background","Urban Area","","","","","1"
"Almost never or never","2012","direct migration background","Urban Area","","","","","1"
"Almost never or never","2012","no migration background","Rural Area","","","","","1"
"Almost never or never","2012","direct migration background","Rural Area","","","","","1"
"Almost never or never","2012","indirect migration background","Urban Area","","","","","1"
"Almost never or never","2012","indirect migration background","Rural Area","","","","","1"
"At lease once a week","2012","no migration background","Urban Area","","","","","4"
"At lease once a week","2012","no migration background","Rural Area","","","","","4"
"At lease once a week","2012","direct migration background","Urban Area","","","","","4"
"At lease once a week","2012","direct migration background","Rural Area","","","","","4"
"At lease once a week","2012","indirect migration background","Urban Area","","","","","4"
"At lease once a week","2012","indirect migration background","Rural Area","","","","","4"
"At least once a month","2012","no migration background","Urban Area","","","","","3"
"At least once a month","2012","no migration background","Rural Area","","","","","3"
"At least once a month","2012","direct migration background","Urban Area","","","","","3"
"At least once a month","2012","direct migration background","Rural Area","","","","","3"
