"plb0050","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes","2018","Single parent ","Male","","","","","1"
"Yes","2018","Single parent ","Female","","","","","1"
"Yes","2018","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2018","Couple + C. LE 16 ","Female","","","","","1"
"Yes","2018","(Married) couple without C. ","Male","","","","","1"
"Yes","2018","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2018","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2018","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","2018","Couple + C. LE and GT 16","Female","","","","","1"
"Yes","2018","(Married) couple without C. ","Female","","","","","1"
"No","2019","1-pers.-HH","Male","535","0.435820993654675","0.405913593192707","0.465728394116644","2"
"No","2019","1-pers.-HH","Female","444","0.408147031468589","0.378014343158627","0.438279719778552","2"
"No","2019","(Married) couple without C. ","Male","1188","0.453810477031607","0.432711974105545","0.474908979957669","2"
"No","2019","(Married) couple without C. ","Female","1101","0.493096268661936","0.471713346955702","0.514479190368171","2"
"No","2019","Single parent ","Male","182","0.490336896120942","0.437042858388618","0.543630933853266","2"
"No","2019","Single parent ","Female","484","0.505880773505752","0.474336219044492","0.537425327967012","2"
"No","2019","Couple + C. LE 16 ","Male","1100","0.423941617251534","0.403517671896612","0.444365562606455","2"
"No","2019","Couple + C. LE 16 ","Female","957","0.491548401746148","0.468693293102798","0.514403510389498","2"
"No","2019","Couple + C. GT 16 ","Male","547","0.42132115259496","0.391790612770824","0.450851692419097","2"
"No","2019","Couple + C. GT 16 ","Female","511","0.505204302567972","0.474324121849028","0.536084483286916","2"
"No","2019","Couple + C. LE and GT 16","Male","401","0.447921906831178","0.41365497354435","0.482188840118006","2"
"No","2019","Couple + C. LE and GT 16","Female","384","0.546755886847445","0.510419371315566","0.583092402379325","2"
"Yes","2019","1-pers.-HH","Male","521","0.564179006345325","0.534271605883356","0.594086406807293","1"
"Yes","2019","1-pers.-HH","Female","578","0.591852968531411","0.561720280221448","0.621985656841373","1"
"Yes","2019","Single parent ","Male","156","0.509663103879058","0.456369066146734","0.562957141611382","1"
"Yes","2019","Single parent ","Female","481","0.494119226494248","0.462574672032988","0.525663780955508","1"
"Yes","2019","Couple + C. LE 16 ","Male","1149","0.576058382748466","0.555634437393545","0.596482328103388","1"
"Yes","2019","Couple + C. LE 16 ","Female","881","0.508451598253852","0.485596489610502","0.531306706897202","1"
"Yes","2019","(Married) couple without C. ","Male","951","0.546189522968393","0.525091020042331","0.567288025894455","1"
"Yes","2019","Couple + C. GT 16 ","Male","527","0.57867884740504","0.549148307580903","0.608209387229176","1"
"Yes","2019","Couple + C. GT 16 ","Female","496","0.494795697432028","0.463915516713084","0.525675878150972","1"
"Yes","2019","Couple + C. LE and GT 16","Female","337","0.453244113152555","0.416907597620675","0.489580628684434","1"
"Yes","2019","(Married) couple without C. ","Female","999","0.506903731338064","0.485520809631829","0.528286653044298","1"
"Yes","2019","Couple + C. LE and GT 16","Male","408","0.552078093168822","0.517811159881994","0.58634502645565","1"
